" Daily soil water balance output for Almonds in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almonds at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","717.22","0.09","1.05","0.0","3.67","1.05","3.85","0.0","0.0","0.0","0.0","59.48","124.64","498.58","249.29","439.1","373.93","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","717.22","0.09","1.03","0.0","3.08","1.03","3.16","0.0","0.0","0.0","0.0","62.64","124.64","498.58","249.29","435.94","373.93","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","717.22","0.09","1.0","0.0","2.82","1.0","2.82","0.0","0.0","0.0","0.0","65.46","124.64","498.58","249.29","433.12","373.93","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","717.22","0.09","0.98","0.0","2.69","0.98","2.62","0.0","0.0","0.0","0.0","68.08","124.64","498.58","249.29","430.5","373.93","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","717.22","0.09","0.95","0.0","3.98","0.95","3.78","0.0","0.0","0.0","0.0","71.86","124.64","498.58","249.29","426.72","373.93","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","717.22","0.09","0.93","0.0","3.34","0.93","3.09","0.0","0.0","0.0","0.0","74.95","124.64","498.58","249.29","423.63","373.93","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","717.22","0.09","0.9","0.0","2.96","0.9","2.66","0.0","0.0","0.0","0.0","77.62","124.64","498.58","249.29","420.96","373.93","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","717.22","0.09","0.88","0.0","2.7","0.88","2.36","0.0","0.0","0.0","0.0","79.98","124.64","498.58","249.29","418.6","373.93","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","717.22","0.09","0.85","0.0","2.54","0.85","2.16","0.0","0.0","0.0","0.0","82.14","124.64","498.58","249.29","416.44","373.93","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","717.22","0.09","0.83","0.0","3.11","0.83","2.57","0.0","0.0","0.0","0.0","84.7","124.64","498.58","249.29","413.88","373.93","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","717.22","0.09","0.8","0.0","2.52","0.8","2.02","0.0","0.0","0.0","0.0","86.72","124.64","498.58","249.29","411.86","373.93","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","717.22","0.09","0.78","0.0","2.07","0.78","1.6","0.0","0.0","0.0","0.0","88.32","124.64","498.58","249.29","410.26","373.93","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","717.22","0.09","0.75","0.0","2.26","0.75","1.7","0.0","0.0","0.0","0.0","90.02","124.64","498.58","249.29","408.56","373.93","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","717.22","0.09","0.73","0.0","4.17","0.73","3.02","0.0","0.0","0.0","0.0","93.04","124.64","498.58","249.29","405.54","373.93","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","717.22","0.09","0.7","0.0","3.49","0.7","2.44","0.0","0.0","0.0","0.0","95.49","124.64","498.58","249.29","403.09","373.93","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","717.22","0.09","0.68","0.0","3.14","0.68","2.12","0.0","0.0","0.0","0.0","97.61","124.64","498.58","249.29","400.97","373.93","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","717.22","0.09","0.65","0.0","2.32","0.65","1.51","0.0","0.0","0.0","0.0","99.11","124.64","498.58","249.29","399.47","373.93","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","717.22","1.17","0.0","0.0","1.32","1.17","1.54","18.6","18.6","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","717.22","1.13","0.0","0.0","2.14","1.13","2.43","15.24","15.24","0.0","0.0","13.59","26.4","498.58","249.29","484.99","472.18","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","717.22","1.12","0.0","0.0","2.99","1.12","3.34","0.0","0.0","0.0","0.0","16.93","26.4","498.58","249.29","481.65","472.18","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","717.22","1.06","0.0","0.0","1.72","1.06","1.82","0.0","0.0","0.0","0.0","18.74","26.4","498.58","249.29","479.84","472.18","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","717.22","0.93","0.0","0.0","1.91","0.93","1.79","0.0","0.0","0.0","0.0","20.53","26.4","498.58","249.29","478.05","472.18","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","717.22","0.86","0.0","0.0","1.67","0.86","1.43","0.0","0.0","0.0","0.0","21.96","26.4","498.58","249.29","476.62","472.18","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","717.22","0.81","0.0","0.0","1.23","0.81","1.0","0.0","0.0","0.0","0.0","22.96","26.4","498.58","249.29","475.62","472.18","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","717.22","1.18","0.0","0.0","1.09","1.18","1.28","2.21","2.21","0.0","0.0","22.04","26.4","498.58","249.29","476.54","472.18","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","717.22","1.17","0.0","0.0","1.23","1.17","1.44","6.76","6.76","0.0","0.0","16.72","26.4","498.58","249.29","481.86","472.18","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","717.22","1.17","0.0","0.0","1.24","1.17","1.45","0.0","0.0","0.0","0.0","18.17","26.4","498.58","249.29","480.41","472.18","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","717.22","1.17","0.0","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","19.84","26.4","498.58","249.29","478.74","472.18","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","717.22","1.17","0.0","0.0","1.39","1.17","1.62","0.0","0.0","0.0","0.0","21.46","26.4","498.58","249.29","477.12","472.18","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","717.22","1.09","0.0","0.0","1.39","1.09","1.51","0.0","0.0","0.0","0.0","22.97","26.4","498.58","249.29","475.61","472.18","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","717.22","1.14","0.0","0.0","1.93","1.14","2.21","1.66","1.66","0.0","0.0","23.52","26.4","498.58","249.29","475.06","472.18","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","717.22","1.13","0.0","0.0","2.73","1.13","3.08","2.02","2.02","0.0","0.0","24.57","26.4","498.58","249.29","474.01","472.18","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","717.22","1.12","0.0","0.0","1.45","1.12","1.63","0.0","0.0","0.0","0.0","26.2","26.4","498.58","249.29","472.38","472.18","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","717.22","1.02","0.0","0.0","1.32","1.02","1.35","0.0","0.0","0.0","0.0","27.55","26.4","498.58","249.29","471.03","472.18","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","717.22","0.94","0.0","0.0","1.34","0.94","1.26","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","717.22","0.87","0.0","0.0","1.57","0.87","1.36","0.0","0.0","0.0","0.0","27.76","26.4","498.58","249.29","470.82","472.18","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","717.22","0.81","0.0","0.0","1.49","0.81","1.21","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","717.22","0.77","0.0","0.0","1.34","0.77","1.03","0.0","0.0","0.0","0.0","27.43","26.4","498.58","249.29","471.15","472.18","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","717.22","0.73","0.0","0.0","1.32","0.73","0.97","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","717.22","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","27.37","26.4","498.58","249.29","471.21","472.18","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","717.22","1.18","0.0","0.0","1.05","1.18","1.24","3.55","3.55","0.0","0.0","23.82","26.4","498.58","249.29","474.76","472.18","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","717.22","1.17","0.0","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","25.59","26.4","498.58","249.29","472.98","472.18","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","717.22","1.16","0.0","0.0","2.02","1.16","2.34","0.0","0.0","0.0","0.0","27.94","26.4","498.58","249.29","470.64","472.18","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","717.22","1.12","0.0","0.0","1.6","1.12","1.8","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","717.22","1.02","0.0","0.0","1.37","1.02","1.39","0.0","0.0","0.0","0.0","27.79","26.4","498.58","249.29","470.78","472.18","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","717.22","0.96","0.0","0.0","1.01","0.96","0.97","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","717.22","0.89","0.0","0.0","1.29","0.89","1.15","0.0","0.0","0.0","0.0","27.55","26.4","498.58","249.29","471.03","472.18","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","717.22","0.85","0.0","0.0","1.16","0.85","0.98","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","717.22","0.8","0.0","0.0","1.23","0.8","0.99","0.0","0.0","0.0","0.0","27.39","26.4","498.58","249.29","471.19","472.18","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","717.22","1.18","0.0","0.0","1.03","1.18","1.21","2.99","2.99","0.0","0.0","24.4","26.4","498.58","249.29","474.18","472.18","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","717.22","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","25.3","26.4","498.58","249.29","473.28","472.18","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","717.22","1.18","0.0","0.0","1.29","1.18","1.52","0.0","0.0","0.0","0.0","26.82","26.4","498.58","249.29","471.76","472.18","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","717.22","1.18","0.0","0.0","0.95","1.18","1.12","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","717.22","1.18","0.0","0.0","0.65","1.18","0.77","0.0","0.0","0.0","0.0","27.17","26.4","498.58","249.29","471.41","472.18","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","717.22","1.18","0.0","0.0","1.04","1.18","1.23","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","717.22","1.07","0.0","0.0","1.22","1.07","1.31","0.02","0.02","0.0","0.0","27.69","26.4","498.58","249.29","470.89","472.18","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","717.22","1.17","0.0","0.0","1.14","1.17","1.34","9.01","9.01","0.0","0.0","18.68","26.4","498.58","249.29","479.9","472.18","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","717.22","1.18","0.0","0.0","0.93","1.18","1.1","0.23","0.23","0.0","0.0","19.54","26.4","498.58","249.29","479.04","472.18","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","717.22","1.17","0.0","0.0","1.35","1.17","1.59","0.0","0.0","0.0","0.0","21.13","26.4","498.58","249.29","477.45","472.18","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","717.22","1.15","0.0","0.0","1.66","1.15","1.91","9.32","9.32","0.0","0.0","13.72","26.4","498.58","249.29","484.86","472.18","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","717.22","1.15","0.0","0.0","1.73","1.15","1.99","0.0","0.0","0.0","0.0","15.72","26.4","498.58","249.29","482.86","472.18","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","717.22","1.16","0.0","0.0","0.97","1.16","1.13","0.0","0.0","0.0","0.0","16.84","26.4","498.58","249.29","481.73","472.18","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","717.22","1.17","0.0","0.0","0.99","1.17","1.15","0.0","0.0","0.0","0.0","18.0","26.4","498.58","249.29","480.58","472.18","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","717.22","1.1","0.0","0.0","1.17","1.1","1.29","0.0","0.0","0.0","0.0","19.29","26.4","498.58","249.29","479.29","472.18","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","717.22","1.19","0.0","0.0","0.83","1.19","0.99","3.17","3.17","0.0","0.0","17.1","26.4","498.58","249.29","481.48","472.18","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","717.22","1.19","0.0","0.0","0.63","1.19","0.75","1.4","1.4","0.0","0.0","16.46","26.4","498.58","249.29","482.12","472.18","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","717.22","1.19","0.0","0.0","0.7","1.19","0.83","2.38","2.38","0.0","0.0","14.91","26.4","498.58","249.29","483.67","472.18","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","717.22","1.17","0.0","0.0","1.24","1.17","1.45","14.27","14.27","0.0","0.0","2.09","26.4","498.58","249.29","496.49","472.18","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","717.22","1.16","0.0","0.0","1.56","1.16","1.81","2.56","2.56","0.0","0.0","1.34","26.4","498.58","249.29","497.24","472.18","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","717.22","1.17","0.0","0.0","1.0","1.17","1.17","0.03","0.03","0.0","0.0","2.48","26.4","498.58","249.29","496.1","472.18","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","717.22","1.18","0.0","0.0","0.94","1.18","1.11","4.28","3.59","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","717.22","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","1.64","26.4","498.58","249.29","496.94","472.18","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","717.22","1.18","0.0","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","2.35","26.4","498.58","249.29","496.23","472.18","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","717.22","1.19","0.0","0.0","0.72","1.19","0.86","2.01","2.01","0.0","0.0","1.2","26.4","498.58","249.29","497.38","472.18","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","717.22","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","2.3","26.4","498.58","249.29","496.28","472.18","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","717.22","1.19","0.0","0.0","0.8","1.19","0.95","0.0","0.0","0.0","0.0","3.25","26.4","498.58","249.29","495.33","472.18","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","717.22","1.19","0.0","0.0","1.0","1.19","1.19","0.0","0.0","0.0","0.0","4.44","26.4","498.58","249.29","494.14","472.18","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","717.22","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","5.89","26.4","498.58","249.29","492.69","472.18","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","717.22","1.18","0.0","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","7.16","26.4","498.58","249.29","491.42","472.18","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","717.22","1.08","0.0","0.0","1.14","1.08","1.23","0.0","0.0","0.0","0.0","8.39","26.4","498.58","249.29","490.19","472.18","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","717.22","1.18","0.0","0.0","0.99","1.18","1.17","1.78","1.78","0.0","0.0","7.78","26.4","498.58","249.29","490.8","472.18","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","717.22","1.18","0.0","0.0","0.89","1.18","1.05","11.4","8.83","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","717.22","1.19","0.0","0.0","0.83","1.19","0.99","11.28","0.99","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","717.22","1.19","0.0","0.0","0.65","1.19","0.78","5.87","0.78","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","717.22","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","0.86","26.4","498.58","249.29","497.72","472.18","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","717.22","1.19","0.0","0.0","0.94","1.19","1.12","0.49","0.49","0.0","0.0","1.49","26.4","498.58","249.29","497.09","472.18","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","717.22","1.19","0.0","0.0","0.89","1.19","1.06","0.59","0.59","0.0","0.0","1.95","26.4","498.58","249.29","496.63","472.18","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","717.22","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.1","26.4","498.58","249.29","495.47","472.18","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","717.22","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","4.21","26.4","498.58","249.29","494.37","472.18","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","717.22","1.17","0.0","0.0","1.36","1.17","1.59","1.62","1.62","0.0","0.0","4.17","26.4","498.58","249.29","494.41","472.18","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","717.22","1.19","0.0","0.0","0.75","1.19","0.89","1.14","1.14","0.0","0.0","3.93","26.4","498.58","249.29","494.65","472.18","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","717.22","1.18","0.0","0.0","1.02","1.18","1.2","2.68","2.68","0.0","0.0","2.45","26.4","498.58","249.29","496.13","472.18","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","717.22","1.18","0.0","0.0","0.9","1.18","1.07","7.78","3.51","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","717.22","1.19","0.0","0.0","0.78","1.19","0.93","2.89","0.93","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","717.22","1.17","0.0","0.0","1.2","1.17","1.41","28.9","1.41","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","717.22","1.17","0.0","0.0","1.25","1.17","1.46","8.8","1.46","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","717.22","1.18","0.0","0.0","1.1","1.18","1.29","10.62","1.29","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","717.22","1.18","0.0","0.0","1.1","1.18","1.29","0.0","0.0","0.0","0.0","1.29","26.4","498.58","249.29","497.29","472.18","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","717.22","1.18","0.0","0.0","1.11","1.18","1.31","1.09","1.09","0.0","0.0","1.51","26.4","498.58","249.29","497.07","472.18","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","717.22","1.17","0.0","0.0","1.37","1.17","1.6","8.71","3.11","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","717.22","1.17","0.0","0.0","1.17","1.17","1.37","1.12","1.12","0.0","0.0","0.25","26.4","498.58","249.29","498.33","472.18","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","717.22","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","1.47","26.4","498.58","249.29","497.11","472.18","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","717.22","1.17","0.0","0.0","1.13","1.17","1.33","0.0","0.0","0.0","0.0","2.79","26.4","498.58","249.29","495.79","472.18","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","717.22","1.15","0.0","0.0","1.28","1.15","1.47","0.0","0.0","0.0","0.0","4.26","26.4","498.58","249.29","494.32","472.18","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","717.22","1.07","0.0","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.25","26.4","498.58","249.29","493.33","472.18","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","717.22","1.0","0.0","0.0","1.08","1.0","1.08","0.0","0.0","0.0","0.0","6.33","26.4","498.58","249.29","492.25","472.18","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","717.22","1.16","0.0","0.0","1.59","1.16","1.84","2.9","2.9","0.0","0.0","5.27","26.4","498.58","249.29","493.31","472.18","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","717.22","1.14","0.0","0.0","2.22","1.14","2.54","1.0","1.0","0.0","0.0","6.8","26.4","498.58","249.29","491.77","472.18","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","717.22","1.09","0.0","0.0","2.68","1.09","2.91","1.55","1.55","0.0","0.0","8.17","26.4","498.58","249.29","490.41","472.18","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","717.22","1.0","0.0","0.0","1.2","1.0","1.2","0.27","0.27","0.0","0.0","9.1","26.4","498.58","249.29","489.48","472.18","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","717.22","0.94","0.0","0.0","1.14","0.94","1.07","0.31","0.31","0.0","0.0","9.86","26.4","498.58","249.29","488.72","472.18","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","717.22","0.87","0.0","0.0","1.44","0.87","1.25","0.0","0.0","0.0","0.0","11.11","26.4","498.58","249.29","487.47","472.18","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","717.22","0.82","0.0","0.0","1.42","0.82","1.16","0.0","0.0","0.0","0.0","12.27","26.4","498.58","249.29","486.31","472.18","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","717.22","0.77","0.0","0.0","1.6","0.77","1.23","0.0","0.0","0.0","0.0","13.5","26.4","498.58","249.29","485.08","472.18","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","717.22","0.72","0.0","0.0","1.89","0.72","1.35","0.0","0.0","0.0","0.0","14.85","26.4","498.58","249.29","483.73","472.18","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","717.22","0.67","0.0","0.0","2.03","0.67","1.37","0.0","0.0","0.0","0.0","16.22","26.4","498.58","249.29","482.36","472.18","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","717.22","0.64","0.0","0.0","2.01","0.64","1.28","0.0","0.0","0.0","0.0","17.5","26.4","498.58","249.29","481.08","472.18","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","717.22","0.61","0.0","0.0","1.97","0.61","1.19","0.0","0.0","0.0","0.0","18.69","26.4","498.58","249.29","479.89","472.18","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","717.22","0.58","0.0","0.0","1.79","0.58","1.04","0.0","0.0","0.0","0.0","19.73","26.4","498.58","249.29","478.85","472.18","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","717.22","0.56","0.0","0.0","1.83","0.56","1.02","0.0","0.0","0.0","0.0","20.75","26.4","498.58","249.29","477.83","472.18","0.0","","","","","","",""
