" Daily soil water balance output for Alfalfa in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for  Alfalfa at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","532.86","0.09","0.9","0.0","3.67","0.9","3.3","0.0","0.0","0.0","0.0","77.46","107.37","498.58","249.29","421.12","391.21","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","532.86","0.09","0.9","0.0","3.08","0.9","2.77","0.0","0.0","0.0","0.0","80.24","107.37","498.58","249.29","418.34","391.21","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","532.86","0.09","0.9","0.0","2.82","0.9","2.54","0.0","0.0","0.0","0.0","82.77","107.37","498.58","249.29","415.81","391.21","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","532.86","0.09","0.9","0.0","2.69","0.9","2.42","0.0","0.0","0.0","0.0","85.19","107.37","498.58","249.29","413.39","391.21","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","532.86","0.09","0.9","0.0","3.98","0.9","3.58","0.0","0.0","0.0","0.0","88.78","107.37","498.58","249.29","409.8","391.21","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","532.86","0.09","0.9","0.0","3.34","0.9","3.01","0.0","0.0","0.0","0.0","91.78","107.37","498.58","249.29","406.8","391.21","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","532.86","0.09","0.9","0.0","2.96","0.9","2.66","0.0","0.0","0.0","0.0","94.45","107.37","498.58","249.29","404.13","391.21","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","532.86","0.09","0.9","0.0","2.7","0.9","2.43","0.0","0.0","0.0","0.0","96.88","107.37","498.58","249.29","401.7","391.21","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","532.86","0.09","0.9","0.0","2.54","0.9","2.29","0.0","0.0","0.0","0.0","99.16","107.37","498.58","249.29","399.42","391.21","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","532.86","0.09","0.9","0.0","3.11","0.9","2.8","0.0","0.0","0.0","0.0","101.96","107.37","498.58","249.29","396.62","391.21","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","532.86","0.09","0.9","0.0","2.52","0.9","2.27","0.0","0.0","0.0","0.0","104.23","107.37","498.58","249.29","394.35","391.21","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","532.86","0.09","0.9","0.0","2.07","0.9","1.86","0.0","0.0","0.0","0.0","106.09","107.37","498.58","249.29","392.49","391.21","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","532.86","0.09","0.9","0.0","2.26","0.9","2.03","0.0","0.0","0.0","0.0","0.0","107.37","498.58","249.29","498.58","391.21","108.13","","","","","","",""
"2015.0","10.0","29.0","302.0","532.86","0.09","0.9","0.0","4.17","0.9","3.75","0.0","0.0","0.0","0.0","3.75","107.37","498.58","249.29","494.83","391.21","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","532.86","0.09","0.9","0.0","3.49","0.9","3.14","0.0","0.0","0.0","0.0","6.89","107.37","498.58","249.29","491.69","391.21","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","532.86","0.09","0.9","0.0","3.14","0.9","2.83","0.0","0.0","0.0","0.0","9.72","107.37","498.58","249.29","488.86","391.21","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","532.86","0.09","0.9","0.0","2.32","0.9","2.09","0.0","0.0","0.0","0.0","11.81","107.37","498.58","249.29","486.77","391.21","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","532.86","1.17","0.9","0.0","1.32","1.17","1.54","18.6","13.35","0.0","0.0","0.0","107.37","498.58","249.29","498.58","391.21","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","532.86","1.13","0.9","0.0","2.14","1.13","2.43","15.24","2.43","0.0","0.0","0.0","107.37","498.58","249.29","498.58","391.21","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","532.86","1.12","0.9","0.0","2.99","1.12","3.34","0.0","0.0","0.0","0.0","3.34","107.37","498.58","249.29","495.24","391.21","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","532.86","1.06","0.9","0.0","1.72","1.06","1.82","0.0","0.0","0.0","0.0","5.16","107.37","498.58","249.29","493.42","391.21","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","532.86","0.93","0.9","0.0","1.91","0.93","1.79","0.0","0.0","0.0","0.0","6.94","107.37","498.58","249.29","491.64","391.21","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","532.86","0.86","0.9","0.0","1.67","0.9","1.5","0.0","0.0","0.0","0.0","8.44","107.37","498.58","249.29","490.14","391.21","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","532.86","0.81","0.9","0.0","1.23","0.9","1.11","0.0","0.0","0.0","0.0","9.55","107.37","498.58","249.29","489.03","391.21","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","532.86","1.18","0.9","0.0","1.09","1.18","1.28","2.21","2.21","0.0","0.0","8.62","107.37","498.58","249.29","489.96","391.21","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","532.86","1.17","0.9","0.0","1.23","1.17","1.44","6.76","6.76","0.0","0.0","3.3","107.37","498.58","249.29","495.28","391.21","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","532.86","1.17","0.9","0.0","1.24","1.17","1.45","0.0","0.0","0.0","0.0","4.76","107.37","498.58","249.29","493.82","391.21","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","532.86","1.17","0.9","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","6.43","107.37","498.58","249.29","492.15","391.21","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","532.86","1.17","0.9","0.0","1.39","1.17","1.62","0.0","0.0","0.0","0.0","8.05","107.37","498.58","249.29","490.53","391.21","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","532.86","1.09","0.9","0.0","1.39","1.09","1.51","0.0","0.0","0.0","0.0","9.56","107.37","498.58","249.29","489.02","391.21","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","532.86","1.14","0.9","0.0","1.93","1.14","2.21","1.66","1.66","0.0","0.0","10.1","107.37","498.58","249.29","488.48","391.21","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","532.86","1.13","0.9","0.0","2.73","1.13","3.08","2.02","2.02","0.0","0.0","11.16","107.37","498.58","249.29","487.42","391.21","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","532.86","1.12","0.9","0.0","1.45","1.12","1.63","0.0","0.0","0.0","0.0","12.79","107.37","498.58","249.29","485.79","391.21","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","532.86","1.02","0.9","0.0","1.32","1.02","1.35","0.0","0.0","0.0","0.0","14.14","107.37","498.58","249.29","484.44","391.21","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","532.86","0.94","0.9","0.0","1.34","0.94","1.26","0.0","0.0","0.0","0.0","15.4","107.37","498.58","249.29","483.18","391.21","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","532.86","0.87","0.9","0.0","1.57","0.9","1.41","0.0","0.0","0.0","0.0","16.81","107.37","498.58","249.29","481.77","391.21","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","532.86","0.81","0.9","0.0","1.49","0.9","1.34","0.0","0.0","0.0","0.0","18.15","107.37","498.58","249.29","480.43","391.21","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","532.86","0.77","0.9","0.0","1.34","0.9","1.21","0.0","0.0","0.0","0.0","19.36","107.37","498.58","249.29","479.22","391.21","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","532.86","0.73","0.9","0.0","1.32","0.9","1.19","0.0","0.0","0.0","0.0","20.54","107.37","498.58","249.29","478.04","391.21","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","532.86","0.7","0.9","0.0","1.38","0.9","1.24","0.0","0.0","0.0","0.0","21.79","107.37","498.58","249.29","476.79","391.21","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","532.86","1.18","0.9","0.0","1.05","1.18","1.24","3.55","3.55","0.0","0.0","19.47","107.37","498.58","249.29","479.11","391.21","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","532.86","1.17","0.9","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","21.25","107.37","498.58","249.29","477.33","391.21","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","532.86","1.16","0.9","0.0","2.02","1.16","2.34","0.0","0.0","0.0","0.0","23.59","107.37","498.58","249.29","474.99","391.21","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","532.86","1.12","0.9","0.0","1.6","1.12","1.8","0.0","0.0","0.0","0.0","25.39","107.37","498.58","249.29","473.19","391.21","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","532.86","1.02","0.9","0.0","1.37","1.02","1.39","0.0","0.0","0.0","0.0","26.79","107.37","498.58","249.29","471.79","391.21","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","532.86","0.96","0.9","0.0","1.01","0.96","0.97","0.0","0.0","0.0","0.0","27.75","107.37","498.58","249.29","470.83","391.21","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","532.86","0.89","0.9","0.0","1.29","0.9","1.16","0.0","0.0","0.0","0.0","28.91","107.37","498.58","249.29","469.67","391.21","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","532.86","0.85","0.9","0.0","1.16","0.9","1.04","0.0","0.0","0.0","0.0","29.96","107.37","498.58","249.29","468.62","391.21","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","532.86","0.8","0.9","0.0","1.23","0.9","1.11","0.0","0.0","0.0","0.0","31.06","107.37","498.58","249.29","467.52","391.21","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","532.86","1.18","0.9","0.0","1.03","1.18","1.21","2.99","2.99","0.0","0.0","29.29","107.37","498.58","249.29","469.29","391.21","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","532.86","1.18","0.9","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","30.19","107.37","498.58","249.29","468.39","391.21","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","532.86","1.18","0.9","0.0","1.29","1.18","1.52","0.0","0.0","0.0","0.0","31.71","107.37","498.58","249.29","466.87","391.21","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","532.86","1.18","0.9","0.0","0.95","1.18","1.12","0.0","0.0","0.0","0.0","32.83","107.37","498.58","249.29","465.75","391.21","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","532.86","1.18","0.9","0.0","0.65","1.18","0.77","0.0","0.0","0.0","0.0","33.6","107.37","498.58","249.29","464.98","391.21","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","532.86","1.18","0.9","0.0","1.04","1.18","1.23","0.0","0.0","0.0","0.0","34.83","107.37","498.58","249.29","463.75","391.21","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","532.86","1.07","0.9","0.0","1.22","1.07","1.31","0.02","0.02","0.0","0.0","36.12","107.37","498.58","249.29","462.46","391.21","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","532.86","1.17","0.9","0.0","1.14","1.17","1.34","9.01","9.01","0.0","0.0","28.44","107.37","498.58","249.29","470.13","391.21","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","532.86","1.18","0.9","0.0","0.93","1.18","1.1","0.23","0.23","0.0","0.0","29.31","107.37","498.58","249.29","469.27","391.21","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","532.86","1.17","0.9","0.0","1.35","1.17","1.59","0.0","0.0","0.0","0.0","30.9","107.37","498.58","249.29","467.68","391.21","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","532.86","1.15","0.9","0.0","1.66","1.15","1.91","9.32","9.32","0.0","0.0","23.49","107.37","498.58","249.29","475.09","391.21","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","532.86","1.15","0.9","0.0","1.73","1.15","1.99","0.0","0.0","0.0","0.0","25.48","107.37","498.58","249.29","473.1","391.21","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","532.86","1.16","0.9","0.0","0.97","1.16","1.13","0.0","0.0","0.0","0.0","26.61","107.37","498.58","249.29","471.97","391.21","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","532.86","1.17","0.9","0.0","0.99","1.17","1.15","0.0","0.0","0.0","0.0","27.77","107.37","498.58","249.29","470.81","391.21","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","532.86","1.1","0.9","0.0","1.17","1.1","1.29","0.0","0.0","0.0","0.0","29.05","107.37","498.58","249.29","469.53","391.21","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","532.86","1.19","0.9","0.0","0.83","1.19","0.99","3.17","3.17","0.0","0.0","26.87","107.37","498.58","249.29","471.71","391.21","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","532.86","1.19","0.9","0.0","0.63","1.19","0.75","1.4","1.4","0.0","0.0","26.22","107.37","498.58","249.29","472.36","391.21","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","532.86","1.19","0.9","0.0","0.7","1.19","0.83","2.38","2.38","0.0","0.0","24.68","107.37","498.58","249.29","473.9","391.21","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","532.86","1.17","0.9","0.0","1.24","1.17","1.45","14.27","14.27","0.0","0.0","11.86","107.37","498.58","249.29","486.72","391.21","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","532.86","1.16","0.9","0.0","1.56","1.16","1.81","2.56","2.56","0.0","0.0","11.1","107.37","498.58","249.29","487.48","391.21","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","532.86","1.17","0.9","0.0","1.0","1.17","1.17","0.03","0.03","0.0","0.0","12.24","107.37","498.58","249.29","486.34","391.21","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","532.86","1.18","0.9","0.0","0.94","1.18","1.11","4.28","4.28","0.0","0.0","9.07","107.37","498.58","249.29","489.51","391.21","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","532.86","1.17","0.9","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","10.72","107.37","498.58","249.29","487.86","391.21","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","532.86","1.18","0.9","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","11.42","107.37","498.58","249.29","487.16","391.21","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","532.86","1.19","0.9","0.0","0.72","1.19","0.86","2.01","2.01","0.0","0.0","10.27","107.37","498.58","249.29","488.31","391.21","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","532.86","1.19","0.9","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","11.38","107.37","498.58","249.29","487.2","391.21","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","532.86","1.19","0.9","0.0","0.8","1.19","0.95","0.0","0.0","0.0","0.0","12.33","107.37","498.58","249.29","486.25","391.21","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","532.86","1.19","0.9","0.0","1.0","1.19","1.19","0.0","0.0","0.0","0.0","13.51","107.37","498.58","249.29","485.07","391.21","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","532.86","1.18","0.9","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","14.97","107.25","498.58","249.29","483.61","391.33","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","532.86","1.18","0.9","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","16.24","107.25","498.58","249.29","482.34","391.33","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","532.86","1.08","0.9","0.0","1.14","1.08","1.23","0.0","0.0","0.0","0.0","17.46","107.25","498.58","249.29","481.12","391.33","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","532.86","1.18","0.9","0.0","0.99","1.18","1.17","1.78","1.78","0.0","0.0","16.85","107.25","498.58","249.29","481.73","391.33","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","532.86","1.18","0.9","0.0","0.89","1.18","1.05","11.4","11.4","0.0","0.0","6.51","107.25","498.58","249.29","492.07","391.33","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","532.86","1.19","0.9","0.0","0.83","1.19","0.99","11.28","7.49","0.0","0.0","0.0","107.25","498.58","249.29","498.58","391.33","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","532.86","1.19","0.9","0.0","0.65","1.19","0.78","5.87","0.78","0.0","0.0","0.0","107.25","498.58","249.29","498.58","391.33","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","532.86","1.19","0.9","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","0.86","107.25","498.58","249.29","497.72","391.33","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","532.86","1.19","0.9","0.0","0.94","1.19","1.12","0.49","0.49","0.0","0.0","1.49","107.25","498.58","249.29","497.09","391.33","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","532.86","1.19","0.9","0.0","0.89","1.19","1.06","0.59","0.59","0.0","0.0","1.95","107.25","498.58","249.29","496.63","391.33","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","532.86","1.19","0.9","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.1","107.25","498.58","249.29","495.47","391.33","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","532.86","1.19","0.9","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","4.21","107.25","498.58","249.29","494.37","391.33","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","532.86","1.17","0.9","0.0","1.36","1.17","1.59","1.62","1.62","0.0","0.0","4.17","107.25","498.58","249.29","494.41","391.33","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","532.86","1.19","0.9","0.0","0.75","1.19","0.89","1.14","1.14","0.0","0.0","3.93","107.25","498.58","249.29","494.65","391.33","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","532.86","1.18","0.9","0.0","1.02","1.18","1.2","2.68","2.68","0.0","0.0","2.45","107.25","498.58","249.29","496.13","391.33","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","532.86","1.18","0.9","0.0","0.9","1.18","1.07","7.78","3.51","0.0","0.0","0.0","107.25","498.58","249.29","498.58","391.33","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","532.86","1.19","0.9","0.0","0.78","1.19","0.93","2.89","0.93","0.0","0.0","0.0","107.25","498.58","249.29","498.58","391.33","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","532.86","1.17","0.9","0.0","1.2","1.17","1.41","28.9","1.41","0.0","0.0","0.0","107.25","498.58","249.29","498.58","391.33","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","532.86","1.17","0.9","0.0","1.25","1.17","1.46","8.8","1.46","0.0","0.0","0.0","107.25","498.58","249.29","498.58","391.33","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","532.86","1.18","0.9","0.0","1.1","1.18","1.29","10.62","1.29","0.0","0.0","0.0","107.25","498.58","249.29","498.58","391.33","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","532.86","1.18","0.9","0.0","1.1","1.18","1.29","0.0","0.0","0.0","0.0","1.29","107.25","498.58","249.29","497.29","391.33","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","532.86","1.18","0.9","0.0","1.11","1.18","1.31","1.09","1.09","0.0","0.0","1.51","107.25","498.58","249.29","497.07","391.33","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","532.86","1.17","0.9","0.0","1.37","1.17","1.6","8.71","3.11","0.0","0.0","0.0","107.25","498.58","249.29","498.58","391.33","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","532.86","1.17","0.9","0.0","1.17","1.17","1.37","1.12","1.12","0.0","0.0","0.25","107.25","498.58","249.29","498.33","391.33","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","532.86","1.17","0.9","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","1.47","107.25","498.58","249.29","497.11","391.33","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","532.86","1.17","0.9","0.0","1.13","1.17","1.33","0.0","0.0","0.0","0.0","2.79","107.25","498.58","249.29","495.79","391.33","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","532.86","1.15","0.9","0.0","1.28","1.15","1.47","0.0","0.0","0.0","0.0","4.26","107.25","498.58","249.29","494.32","391.33","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","532.86","1.07","0.9","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.25","107.25","498.58","249.29","493.33","391.33","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","532.86","1.0","0.9","0.0","1.08","1.0","1.08","0.0","0.0","0.0","0.0","6.33","107.25","498.58","249.29","492.25","391.33","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","532.86","1.16","0.9","0.0","1.59","1.16","1.84","2.9","2.9","0.0","0.0","5.27","107.25","498.58","249.29","493.31","391.33","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","532.86","1.14","0.9","0.0","2.22","1.14","2.54","1.0","1.0","0.0","0.0","6.8","107.25","498.58","249.29","491.77","391.33","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","532.86","1.09","0.9","0.0","2.68","1.09","2.91","1.55","1.55","0.0","0.0","8.17","107.25","498.58","249.29","490.41","391.33","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","532.86","1.0","0.9","0.0","1.2","1.0","1.2","0.27","0.27","0.0","0.0","9.1","107.25","498.58","249.29","489.48","391.33","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","532.86","0.94","0.9","0.0","1.14","0.94","1.07","0.31","0.31","0.0","0.0","9.86","107.25","498.58","249.29","488.72","391.33","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","532.86","0.87","0.9","0.0","1.44","0.9","1.3","0.0","0.0","0.0","0.0","11.16","107.25","498.58","249.29","487.42","391.33","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","532.86","0.82","0.9","0.0","1.42","0.9","1.28","0.0","0.0","0.0","0.0","12.43","107.25","498.58","249.29","486.15","391.33","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","532.86","0.77","0.9","0.0","1.6","0.9","1.44","0.0","0.0","0.0","0.0","13.87","107.25","498.58","249.29","484.71","391.33","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","532.86","0.72","0.9","0.0","1.89","0.9","1.7","0.0","0.0","0.0","0.0","15.57","107.25","498.58","249.29","483.01","391.33","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","532.86","0.67","0.9","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","17.4","107.25","498.58","249.29","481.18","391.33","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","532.86","0.64","0.9","0.0","2.01","0.9","1.81","0.0","0.0","0.0","0.0","19.21","107.25","498.58","249.29","479.37","391.33","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","532.86","0.61","0.9","0.0","1.97","0.9","1.77","0.0","0.0","0.0","0.0","20.98","107.25","498.58","249.29","477.6","391.33","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","532.86","0.58","0.9","0.0","1.79","0.9","1.61","0.0","0.0","0.0","0.0","22.59","107.25","498.58","249.29","475.99","391.33","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","532.86","0.56","0.9","0.0","1.83","0.9","1.65","0.0","0.0","0.0","0.0","24.24","107.25","498.58","249.29","474.34","391.33","0.0","","","","","","",""
