" Daily soil water balance output for Native Vegetation in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Native Vegetation in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","15.0","288.0","21629.8666755","0.1","0.4","0.0","3.64","0.4","1.456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","16.0","289.0","21629.8666755","0.1","0.41","0.0","3.77","0.41","1.5457","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","21629.8666755","0.1","0.42","0.0","3.05","0.42","1.281","0.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","21629.8666755","0.1","0.42","0.0","2.61","0.42","1.0962","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","21629.8666755","0.1","0.43","0.0","2.7","0.43","1.161","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","21629.8666755","0.1","0.44","0.0","4.16","0.44","1.8304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","21629.8666755","0.1","0.45","0.0","3.41","0.45","1.5345","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","21629.8666755","0.1","0.45","0.0","2.98","0.45","1.341","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","21629.8666755","0.1","0.46","0.0","2.63","0.46","1.2098","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","21629.8666755","0.1","0.47","0.0","2.48","0.47","1.1656","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","21629.8666755","0.1","0.48","0.0","3.16","0.48","1.5168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","21629.8666755","0.1","0.48","0.0","2.48","0.48","1.1904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","21629.8666755","0.1","0.49","0.0","2.07","0.49","1.0143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","21629.8666755","0.1","0.5","0.0","2.25","0.5","1.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","21629.8666755","0.1","0.51","0.0","4.25","0.51","2.1675","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","21629.8666755","0.1","0.52","0.0","3.55","0.52","1.846","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","21629.8666755","0.1","0.52","0.0","3.17","0.52","1.6484","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","21629.8666755","0.1","0.53","0.0","2.19","0.53","1.1607","1.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","21629.8666755","1.17","0.54","0.0","1.26","1.17","1.4742","16.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","21629.8666755","1.13","0.55","0.0","2.17","1.13","2.4521","8.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","21629.8666755","1.12","0.55","0.0","3.03","1.12","3.3936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","21629.8666755","1.05","0.56","0.0","1.71","1.05","1.7955","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","21629.8666755","0.93","0.57","0.0","1.89","0.93","1.7577","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","21629.8666755","0.86","0.58","0.0","1.65","0.86","1.419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","21629.8666755","0.81","0.58","0.0","1.2","0.81","0.972","0.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","21629.8666755","1.18","0.59","0.0","1.07","1.18","1.2626","5.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","21629.8666755","1.17","0.6","0.0","1.27","1.17","1.4859","5.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","21629.8666755","1.17","0.61","0.0","1.22","1.17","1.4274","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","21629.8666755","1.17","0.62","0.0","1.41","1.17","1.6497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","21629.8666755","1.17","0.62","0.0","1.36","1.17","1.5912","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","21629.8666755","1.09","0.63","0.0","1.35","1.09","1.4715","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","21629.8666755","1.14","0.64","0.0","1.9","1.14","2.166","1.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","21629.8666755","1.13","0.65","0.0","2.7","1.13","3.051","1.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","21629.8666755","1.13","0.65","0.0","1.45","1.13","1.6385","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","21629.8666755","1.02","0.66","0.0","1.31","1.02","1.3362","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","21629.8666755","0.94","0.67","0.0","1.33","0.94","1.2502","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","21629.8666755","0.87","0.68","0.0","1.59","0.87","1.3833","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","21629.8666755","0.81","0.68","0.0","1.47","0.81","1.1907","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","21629.8666755","0.77","0.69","0.0","1.3","0.77","1.001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","21629.8666755","0.74","0.7","0.0","1.35","0.74","0.999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","21629.8666755","0.7","0.71","0.0","1.38","0.71","0.9798","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","21629.8666755","1.18","0.72","0.0","1.06","1.18","1.2508","2.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","21629.8666755","1.17","0.72","0.0","1.6","1.17","1.872","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","21629.8666755","1.16","0.73","0.0","2.18","1.16","2.5288","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","21629.8666755","1.1","0.74","0.0","1.62","1.1","1.782","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","21629.8666755","1.0","0.75","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","21629.8666755","0.94","0.75","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","21629.8666755","0.88","0.76","0.0","1.25","0.88","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","21629.8666755","0.84","0.77","0.0","1.15","0.84","0.966","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","21629.8666755","0.8","0.78","0.0","1.14","0.8","0.912","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","21629.8666755","1.18","0.78","0.0","1.0","1.18","1.18","3.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","21629.8666755","1.19","0.79","0.0","0.73","1.19","0.8687","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","21629.8666755","1.18","0.8","0.0","1.23","1.18","1.4514","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","21629.8666755","1.18","0.81","0.0","0.92","1.18","1.0856","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","21629.8666755","1.18","0.82","0.0","0.6","1.18","0.708","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","21629.8666755","1.18","0.82","0.0","0.99","1.18","1.1682","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","21629.8666755","1.09","0.83","0.0","1.27","1.09","1.3843","1.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","21629.8666755","1.17","0.84","0.0","1.12","1.17","1.3104","8.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","21629.8666755","1.18","0.85","0.0","0.9","1.18","1.062","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","21629.8666755","1.18","0.85","0.0","1.34","1.18","1.5812","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","21629.8666755","1.16","0.86","0.0","1.63","1.16","1.8908","11.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","21629.8666755","1.15","0.87","0.0","1.84","1.15","2.116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","21629.8666755","1.16","0.88","0.0","0.93","1.16","1.0788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","21629.8666755","1.17","0.88","0.0","0.96","1.17","1.1232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","21629.8666755","1.11","0.89","0.0","1.13","1.11","1.2543","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","21629.8666755","1.19","0.9","0.0","0.8","1.19","0.952","4.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","21629.8666755","1.2","0.91","0.0","0.6","1.2","0.72","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","21629.8666755","1.19","0.92","0.0","0.65","1.19","0.7735","2.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","21629.8666755","1.17","0.92","0.0","1.22","1.17","1.4274","12.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","21629.8666755","1.17","0.93","0.0","1.51","1.17","1.7667","0.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","21629.8666755","1.17","0.94","0.0","1.02","1.17","1.1934","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","21629.8666755","1.18","0.95","0.0","0.91","1.18","1.0738","4.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","21629.8666755","1.17","0.95","0.0","1.45","1.17","1.6965","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","21629.8666755","1.18","0.96","0.0","0.59","1.18","0.6962","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","21629.8666755","1.19","0.97","0.0","0.72","1.19","0.8568","1.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","21629.8666755","1.19","0.98","0.0","0.93","1.19","1.1067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","21629.8666755","1.19","0.98","0.0","0.76","1.19","0.9044","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","21629.8666755","1.19","0.99","0.0","1.01","1.19","1.2019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","21629.8666755","1.18","1.0","0.0","1.29","1.18","1.5222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","21629.8666755","1.17","1.0","0.0","1.13","1.17","1.3221","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","21629.8666755","1.07","1.0","0.0","1.15","1.07","1.2305","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","21629.8666755","1.18","1.0","0.0","0.95","1.18","1.121","4.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","21629.8666755","1.19","1.0","0.0","0.87","1.19","1.0353","14.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","21629.8666755","1.19","1.0","0.0","0.83","1.19","0.9877","12.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","21629.8666755","1.19","1.0","0.0","0.63","1.19","0.7497","8.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","21629.8666755","1.19","1.0","0.0","0.69","1.19","0.8211","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","21629.8666755","1.19","1.0","0.0","0.9","1.19","1.071","0.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","21629.8666755","1.18","1.0","0.0","0.89","1.18","1.0502","1.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","21629.8666755","1.18","1.0","0.0","0.97","1.18","1.1446","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","21629.8666755","1.18","1.0","0.0","0.92","1.18","1.0856","1.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","21629.8666755","1.17","1.0","0.0","1.32","1.17","1.5444","1.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","21629.8666755","1.19","1.0","0.0","0.71","1.19","0.8449","1.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","21629.8666755","1.18","1.0","0.0","0.95","1.18","1.121","4.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","21629.8666755","1.19","1.0","0.0","0.88","1.19","1.0472","6.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","21629.8666755","1.19","1.0","0.0","0.77","1.19","0.9163","9.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","21629.8666755","1.17","1.0","0.0","1.16","1.17","1.3572","28.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","21629.8666755","1.17","1.0","0.0","1.25","1.17","1.4625","4.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","21629.8666755","1.18","1.0","0.0","1.07","1.18","1.2626","10.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","21629.8666755","1.18","1.0","0.0","1.08","1.18","1.2744","0.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","21629.8666755","1.18","1.0","0.0","1.09","1.18","1.2862","2.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","21629.8666755","1.16","1.0","0.0","1.39","1.16","1.6124","8.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","21629.8666755","1.17","1.0","0.0","1.16","1.17","1.3572","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","21629.8666755","1.17","1.0","0.0","1.07","1.17","1.2519","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","21629.8666755","1.17","1.0","0.0","1.09","1.17","1.2753","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","21629.8666755","1.15","1.0","0.0","1.29","1.15","1.4835","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","21629.8666755","1.07","1.0","0.0","0.92","1.07","0.9844","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","21629.8666755","1.18","1.0","0.0","1.04","1.18","1.2272","2.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","21629.8666755","1.16","1.0","0.0","1.58","1.16","1.8328","3.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","21629.8666755","1.13","1.0","0.0","2.29","1.13","2.5877","3.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","21629.8666755","1.12","1.0","0.0","2.66","1.12","2.9792","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","21629.8666755","1.13","1.0","0.0","1.14","1.13","1.2882","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","21629.8666755","1.04","1.0","0.0","1.1","1.04","1.144","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","21629.8666755","0.95","1.0","0.0","1.47","1.0","1.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","21629.8666755","0.88","1.0","0.0","1.4","1.0","1.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","21629.8666755","0.82","1.0","0.0","1.6","1.0","1.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
