" Daily soil water balance output for Alfalfa in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Alfalfa in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","3064.15","0.08","0.9","0.0","3.77","0.9","3.39","0.0","0.0","0.0","0.0","74.83","120.45","569.98","284.99","495.15","449.53","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","3064.15","0.08","0.9","0.0","3.05","0.9","2.75","0.14","0.14","0.0","0.0","77.43","120.45","569.98","284.99","492.54","449.53","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","3064.15","0.08","0.9","0.0","2.6","0.9","2.34","0.0","0.0","0.0","0.0","79.77","120.45","569.98","284.99","490.2","449.53","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","3064.15","0.08","0.9","0.0","2.7","0.9","2.43","0.0","0.0","0.0","0.0","82.2","120.45","569.98","284.99","487.77","449.53","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","3064.15","0.08","0.9","0.0","4.17","0.9","3.75","0.0","0.0","0.0","0.0","85.96","120.45","569.98","284.99","484.02","449.53","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","3064.15","0.08","0.9","0.0","3.41","0.9","3.07","0.0","0.0","0.0","0.0","89.03","120.45","569.98","284.99","480.95","449.53","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","3064.15","0.08","0.9","0.0","2.98","0.9","2.68","0.0","0.0","0.0","0.0","91.71","120.45","569.98","284.99","478.27","449.53","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","3064.15","0.08","0.9","0.0","2.63","0.9","2.37","0.0","0.0","0.0","0.0","94.08","120.45","569.98","284.99","475.9","449.53","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","3064.15","0.08","0.9","0.0","2.48","0.9","2.23","0.0","0.0","0.0","0.0","96.31","120.45","569.98","284.99","473.67","449.53","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","3064.15","0.08","0.9","0.0","3.16","0.9","2.84","0.0","0.0","0.0","0.0","99.15","120.45","569.98","284.99","470.83","449.53","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","3064.15","0.08","0.9","0.0","2.48","0.9","2.23","0.0","0.0","0.0","0.0","101.38","120.45","569.98","284.99","468.59","449.53","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","3064.15","0.08","0.9","0.0","2.07","0.9","1.86","0.0","0.0","0.0","0.0","103.25","120.45","569.98","284.99","466.73","449.53","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","3064.15","0.08","0.9","0.0","2.25","0.9","2.03","0.0","0.0","0.0","0.0","105.27","120.45","569.98","284.99","464.71","449.53","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","3064.15","0.08","0.9","0.0","4.26","0.9","3.83","0.0","0.0","0.0","0.0","109.11","120.45","569.98","284.99","460.87","449.53","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","3064.15","0.08","0.9","0.0","3.56","0.9","3.2","0.0","0.0","0.0","0.0","112.31","120.45","569.98","284.99","457.67","449.53","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","3064.15","0.08","0.9","0.0","3.17","0.9","2.85","0.0","0.0","0.0","0.0","115.16","120.45","569.98","284.99","454.81","449.53","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","3064.15","0.08","0.9","0.0","2.2","0.9","1.98","1.35","1.35","0.0","0.0","115.79","120.45","569.98","284.99","454.18","449.53","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","3064.15","1.17","0.9","0.0","1.25","1.17","1.46","16.49","16.49","0.0","0.0","100.76","120.45","569.98","284.99","469.21","449.53","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","3064.15","1.13","0.9","0.0","2.17","1.13","2.46","8.53","8.53","0.0","0.0","94.69","120.45","569.98","284.99","475.28","449.53","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","3064.15","1.12","0.9","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","98.09","120.45","569.98","284.99","471.89","449.53","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","3064.15","1.05","0.9","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","99.88","120.45","569.98","284.99","470.1","449.53","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","3064.15","0.93","0.9","0.0","1.89","0.93","1.76","0.0","0.0","0.0","0.0","101.64","120.45","569.98","284.99","468.33","449.53","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","3064.15","0.86","0.9","0.0","1.65","0.9","1.49","0.0","0.0","0.0","0.0","103.13","120.45","569.98","284.99","466.85","449.53","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","3064.15","0.81","0.9","0.0","1.2","0.9","1.08","0.07","0.07","0.0","0.0","104.14","120.45","569.98","284.99","465.84","449.53","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","3064.15","1.18","0.9","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","100.01","120.45","569.98","284.99","469.97","449.53","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","3064.15","1.17","0.9","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","96.28","120.45","569.98","284.99","473.69","449.53","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","3064.15","1.17","0.9","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","97.71","120.45","569.98","284.99","472.27","449.53","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","3064.15","1.17","0.9","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","99.34","120.45","569.98","284.99","470.63","449.53","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","3064.15","1.17","0.9","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","100.92","120.45","569.98","284.99","469.06","449.53","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","3064.15","1.1","0.9","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","102.39","120.45","569.98","284.99","467.59","449.53","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","3064.15","1.14","0.9","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","102.59","120.45","569.98","284.99","467.38","449.53","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","3064.15","1.13","0.9","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","104.21","120.45","569.98","284.99","465.77","449.53","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","3064.15","1.13","0.9","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","105.84","120.45","569.98","284.99","464.13","449.53","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","3064.15","1.03","0.9","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","107.19","120.45","569.98","284.99","462.79","449.53","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","3064.15","0.95","0.9","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","108.44","120.45","569.98","284.99","461.53","449.53","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","3064.15","0.87","0.9","0.0","1.59","0.9","1.43","0.0","0.0","0.0","0.0","109.87","120.45","569.98","284.99","460.1","449.53","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","3064.15","0.81","0.9","0.0","1.47","0.9","1.32","0.0","0.0","0.0","0.0","111.2","120.45","569.98","284.99","458.78","449.53","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","3064.15","0.77","0.9","0.0","1.3","0.9","1.17","0.0","0.0","0.0","0.0","112.37","120.45","569.98","284.99","457.61","449.53","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","3064.15","0.74","0.9","0.0","1.35","0.9","1.22","0.0","0.0","0.0","0.0","113.58","120.45","569.98","284.99","456.39","449.53","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","3064.15","0.7","0.9","0.0","1.38","0.9","1.24","0.0","0.0","0.0","0.0","114.82","120.45","569.98","284.99","455.15","449.53","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","3064.15","1.18","0.9","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","113.7","120.45","569.98","284.99","456.27","449.53","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","3064.15","1.17","0.9","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","115.57","120.45","569.98","284.99","454.41","449.53","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","3064.15","1.16","0.9","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","118.09","120.45","569.98","284.99","451.89","449.53","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","3064.15","1.1","0.9","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","119.87","120.45","569.98","284.99","450.11","449.53","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","3064.15","1.0","0.9","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","0.0","120.45","569.98","284.99","569.98","449.53","121.23","","","","","","",""
"2015.0","11.0","30.0","334.0","3064.15","0.94","0.9","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","0.94","120.45","569.98","284.99","569.03","449.53","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","3064.15","0.88","0.9","0.0","1.24","0.9","1.12","0.0","0.0","0.0","0.0","2.06","120.45","569.98","284.99","567.92","449.53","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","3064.15","0.84","0.9","0.0","1.15","0.9","1.04","0.0","0.0","0.0","0.0","3.09","120.45","569.98","284.99","566.88","449.53","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","3064.15","0.8","0.9","0.0","1.15","0.9","1.04","0.0","0.0","0.0","0.0","4.13","120.45","569.98","284.99","565.85","449.53","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","3064.15","1.18","0.9","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","1.31","120.45","569.98","284.99","568.67","449.53","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","3064.15","1.19","0.9","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","2.17","120.45","569.98","284.99","567.8","449.53","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","3064.15","1.18","0.9","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","3.63","120.45","569.98","284.99","566.35","449.53","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","3064.15","1.18","0.9","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","4.71","120.45","569.98","284.99","565.26","449.53","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","3064.15","1.18","0.9","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","5.42","120.45","569.98","284.99","564.55","449.53","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","3064.15","1.18","0.9","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","6.6","120.45","569.98","284.99","563.38","449.53","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","3064.15","1.17","0.9","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","6.57","120.45","569.98","284.99","563.41","449.53","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","3064.15","1.18","0.9","0.0","1.12","1.18","1.32","8.07","7.89","0.0","0.0","0.0","120.45","569.98","284.99","569.98","449.53","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","3064.15","1.18","0.9","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","0.87","120.45","569.98","284.99","569.11","449.53","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","3064.15","1.18","0.9","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","2.44","120.45","569.98","284.99","567.53","449.53","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","3064.15","1.15","0.9","0.0","1.64","1.15","1.89","10.97","4.34","0.0","0.0","0.0","120.45","569.98","284.99","569.98","449.53","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","3064.15","1.15","0.9","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","2.12","120.45","569.98","284.99","567.86","449.53","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","3064.15","1.16","0.9","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","3.2","120.45","569.98","284.99","566.78","449.53","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","3064.15","1.17","0.9","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","4.32","120.45","569.98","284.99","565.66","449.53","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","3064.15","1.1","0.9","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","5.56","120.45","569.98","284.99","564.41","449.53","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","3064.15","1.19","0.9","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","1.88","120.45","569.98","284.99","568.09","449.53","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","3064.15","1.2","0.9","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","0.99","120.45","569.98","284.99","568.99","449.53","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","3064.15","1.19","0.9","0.0","0.65","1.19","0.78","2.49","1.77","0.0","0.0","0.0","120.45","569.98","284.99","569.98","449.53","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","3064.15","1.17","0.9","0.0","1.22","1.17","1.43","12.67","1.43","0.0","0.0","0.0","120.45","569.98","284.99","569.98","449.53","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","3064.15","1.17","0.9","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","1.31","120.45","569.98","284.99","568.67","449.53","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","3064.15","1.17","0.9","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","1.94","120.45","569.98","284.99","568.03","449.53","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","3064.15","1.18","0.9","0.0","0.91","1.18","1.08","4.58","3.02","0.0","0.0","0.0","120.45","569.98","284.99","569.98","449.53","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","3064.15","1.17","0.9","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","1.7","120.45","569.98","284.99","568.28","449.53","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","3064.15","1.18","0.9","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","2.39","120.45","569.98","284.99","567.59","449.53","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","3064.15","1.19","0.9","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","1.42","120.45","569.98","284.99","568.55","449.53","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","3064.15","1.19","0.9","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","2.53","120.45","569.98","284.99","567.45","449.53","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","3064.15","1.19","0.9","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","3.44","120.45","569.98","284.99","566.53","449.53","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","3064.15","1.19","0.9","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","4.64","120.45","569.98","284.99","565.34","449.53","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","3064.15","1.18","0.9","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","6.16","119.79","569.98","284.99","563.81","450.19","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","3064.15","1.17","0.9","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","7.48","119.79","569.98","284.99","562.49","450.19","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","3064.15","1.07","0.9","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","8.71","119.79","569.98","284.99","561.26","450.19","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","3064.15","1.18","0.9","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","5.77","119.79","569.98","284.99","564.2","450.19","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","3064.15","1.19","0.9","0.0","0.87","1.19","1.03","14.96","6.81","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","3064.15","1.19","0.9","0.0","0.83","1.19","0.99","12.99","0.99","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","3064.15","1.19","0.9","0.0","0.63","1.19","0.75","8.15","0.75","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","3064.15","1.19","0.9","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","119.79","569.98","284.99","569.15","450.19","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","3064.15","1.19","0.9","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","1.28","119.79","569.98","284.99","568.69","450.19","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","3064.15","1.18","0.9","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","1.31","119.79","569.98","284.99","568.67","450.19","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","3064.15","1.18","0.9","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","2.25","119.79","569.98","284.99","567.73","450.19","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","3064.15","1.18","0.9","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","2.15","119.79","569.98","284.99","567.82","450.19","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","3064.15","1.17","0.9","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","2.27","119.79","569.98","284.99","567.71","450.19","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","3064.15","1.19","0.9","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","1.18","119.79","569.98","284.99","568.79","450.19","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","3064.15","1.18","0.9","0.0","0.95","1.18","1.12","3.95","2.31","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","3064.15","1.18","0.9","0.0","0.88","1.18","1.04","6.37","1.04","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","3064.15","1.19","0.9","0.0","0.77","1.19","0.92","9.38","0.92","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","3064.15","1.17","0.9","0.0","1.17","1.17","1.37","28.89","1.37","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","3064.15","1.17","0.9","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","3064.15","1.18","0.9","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","3064.15","1.18","0.9","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","119.79","569.98","284.99","569.41","450.19","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","3064.15","1.18","0.9","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","3064.15","1.16","0.9","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","3064.15","1.17","0.9","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","119.79","569.98","284.99","569.54","450.19","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","3064.15","1.17","0.9","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","119.79","569.98","284.99","568.29","450.19","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","3064.15","1.17","0.9","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","119.79","569.98","284.99","567.01","450.19","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","3064.15","1.15","0.9","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","119.79","569.98","284.99","565.53","450.19","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","3064.15","1.07","0.9","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","119.79","569.98","284.99","564.54","450.19","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","3064.15","1.18","0.9","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","119.79","569.98","284.99","565.25","450.19","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","3064.15","1.16","0.9","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","119.79","569.98","284.99","567.17","450.19","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","3064.15","1.13","0.9","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","119.79","569.98","284.99","567.45","450.19","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","3064.15","1.12","0.9","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","119.79","569.98","284.99","564.84","450.19","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","3064.15","1.12","0.9","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","119.79","569.98","284.99","563.76","450.19","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","3064.15","1.04","0.9","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","119.79","569.98","284.99","562.65","450.19","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","3064.15","0.95","0.9","0.0","1.47","0.95","1.39","0.0","0.0","0.0","0.0","8.72","119.79","569.98","284.99","561.26","450.19","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","3064.15","0.88","0.9","0.0","1.4","0.9","1.26","0.0","0.0","0.0","0.0","9.98","119.79","569.98","284.99","560.0","450.19","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","3064.15","0.82","0.9","0.0","1.6","0.9","1.44","0.0","0.0","0.0","0.0","11.42","119.79","569.98","284.99","558.56","450.19","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","3064.15","0.76","0.9","0.0","1.88","0.9","1.69","0.0","0.0","0.0","0.0","13.11","119.79","569.98","284.99","556.87","450.19","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","3064.15","0.71","0.9","0.0","2.02","0.9","1.82","0.0","0.0","0.0","0.0","14.93","119.79","569.98","284.99","555.05","450.19","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","3064.15","0.67","0.9","0.0","1.96","0.9","1.76","0.0","0.0","0.0","0.0","16.69","119.79","569.98","284.99","553.28","450.19","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","3064.15","0.63","0.9","0.0","1.92","0.9","1.73","0.0","0.0","0.0","0.0","18.42","119.79","569.98","284.99","551.56","450.19","0.0","","","","","","",""
