" Daily soil water balance output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","2969.63","0.08","0.0","0.0","3.87","0.08","0.32","0.0","0.0","0.0","0.0","26.01","28.8","409.65","204.83","383.64","380.85","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","2969.63","0.08","0.0","0.0","3.06","0.08","0.25","0.41","0.41","0.0","0.0","25.85","28.8","409.65","204.83","383.8","380.85","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","2969.63","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","26.06","28.8","409.65","204.83","383.59","380.85","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","2969.63","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","26.27","28.8","409.65","204.83","383.38","380.85","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","2969.63","0.08","0.0","0.0","4.55","0.08","0.37","0.0","0.0","0.0","0.0","26.64","28.8","409.65","204.83","383.01","380.85","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","2969.63","0.08","0.0","0.0","3.61","0.08","0.29","0.0","0.0","0.0","0.0","26.93","28.8","409.65","204.83","382.72","380.85","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","2969.63","0.08","0.0","0.0","3.07","0.08","0.25","0.0","0.0","0.0","0.0","27.18","28.8","409.65","204.83","382.47","380.85","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","2969.63","0.08","0.0","0.0","2.59","0.08","0.21","0.0","0.0","0.0","0.0","27.39","28.8","409.65","204.83","382.26","380.85","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","2969.63","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","27.59","28.8","409.65","204.83","382.06","380.85","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","2969.63","0.08","0.0","0.0","3.31","0.08","0.27","0.0","0.0","0.0","0.0","27.86","28.8","409.65","204.83","381.79","380.85","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","2969.63","0.08","0.0","0.0","2.47","0.08","0.2","0.0","0.0","0.0","0.0","28.06","28.8","409.65","204.83","381.59","380.85","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","2969.63","0.08","0.0","0.0","2.1","0.08","0.17","0.0","0.0","0.0","0.0","28.23","28.8","409.65","204.83","381.42","380.85","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","2969.63","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","28.41","28.8","409.65","204.83","381.25","380.85","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","2969.63","0.08","0.0","0.0","4.4","0.08","0.35","0.0","0.0","0.0","0.0","28.76","28.8","409.65","204.83","380.89","380.85","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","2969.63","0.08","0.0","0.0","3.72","0.08","0.3","0.0","0.0","0.0","0.0","29.06","28.8","409.65","204.83","380.59","380.85","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","2969.63","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","2969.63","0.08","0.0","0.0","1.91","0.08","0.15","0.01","0.01","0.0","0.0","28.94","28.8","409.65","204.83","380.71","380.85","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","2969.63","1.17","0.0","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","21.11","28.8","409.65","204.83","388.54","380.85","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","2969.63","1.13","0.0","0.0","2.22","1.13","2.51","10.9","10.9","0.0","0.0","12.72","28.8","409.65","204.83","396.93","380.85","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","2969.63","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","16.16","28.8","409.65","204.83","393.5","380.85","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","2969.63","1.05","0.0","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","17.9","28.8","409.65","204.83","391.75","380.85","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","2969.63","0.93","0.0","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","19.64","28.8","409.65","204.83","390.01","380.85","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","2969.63","0.86","0.0","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","21.05","28.8","409.65","204.83","388.61","380.85","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","2969.63","0.81","0.0","0.0","1.15","0.81","0.94","0.0","0.0","0.0","0.0","21.98","28.8","409.65","204.83","387.67","380.85","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","2969.63","1.18","0.0","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","20.37","28.8","409.65","204.83","389.28","380.85","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","2969.63","1.17","0.0","0.0","1.3","1.17","1.52","10.25","10.25","0.0","0.0","11.64","28.8","409.65","204.83","398.01","380.85","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","2969.63","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","13.04","28.8","409.65","204.83","396.61","380.85","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","2969.63","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","14.66","28.8","409.65","204.83","395.0","380.85","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","2969.63","1.17","0.0","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","16.19","28.8","409.65","204.83","393.47","380.85","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","2969.63","1.1","0.0","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","17.65","28.8","409.65","204.83","392.0","380.85","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","2969.63","0.97","0.0","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","18.88","28.8","409.65","204.83","390.77","380.85","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","2969.63","1.11","0.0","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","18.34","28.8","409.65","204.83","391.31","380.85","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","2969.63","1.14","0.0","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","19.99","28.8","409.65","204.83","389.66","380.85","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","2969.63","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","21.49","28.8","409.65","204.83","388.16","380.85","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","2969.63","1.08","0.0","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","22.91","28.8","409.65","204.83","386.74","380.85","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","2969.63","0.97","0.0","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","24.49","28.8","409.65","204.83","385.16","380.85","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","2969.63","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","25.79","28.8","409.65","204.83","383.86","380.85","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","2969.63","0.84","0.0","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","26.86","28.8","409.65","204.83","382.79","380.85","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","2969.63","0.79","0.0","0.0","1.43","0.79","1.13","0.0","0.0","0.0","0.0","27.99","28.8","409.65","204.83","381.66","380.85","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","2969.63","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","29.02","28.8","409.65","204.83","380.63","380.85","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","2969.63","0.72","0.0","0.0","1.05","0.72","0.76","1.29","1.29","0.0","0.0","27.73","28.8","409.65","204.83","381.92","380.85","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","2969.63","0.68","0.0","0.0","1.77","0.68","1.21","0.0","0.0","0.0","0.0","28.94","28.8","409.65","204.83","380.71","380.85","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","2969.63","0.64","0.0","0.0","2.45","0.64","1.56","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","2969.63","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","29.82","28.8","409.65","204.83","379.83","380.85","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","2969.63","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","2969.63","0.58","0.0","0.0","0.99","0.58","0.58","0.0","0.0","0.0","0.0","29.38","28.8","409.65","204.83","380.28","380.85","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","2969.63","0.57","0.0","0.0","1.18","0.57","0.67","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","2969.63","0.55","0.0","0.0","1.12","0.55","0.62","0.0","0.0","0.0","0.0","29.42","28.8","409.65","204.83","380.23","380.85","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","2969.63","0.54","0.0","0.0","1.06","0.54","0.58","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","2969.63","1.18","0.0","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","22.94","28.8","409.65","204.83","386.71","380.85","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","2969.63","1.19","0.0","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","23.79","28.8","409.65","204.83","385.86","380.85","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","2969.63","1.18","0.0","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","25.14","28.8","409.65","204.83","384.51","380.85","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","2969.63","1.18","0.0","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","26.16","28.8","409.65","204.83","383.49","380.85","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","2969.63","1.19","0.0","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","26.81","28.8","409.65","204.83","382.84","380.85","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","2969.63","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","27.88","28.8","409.65","204.83","381.77","380.85","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","2969.63","1.17","0.0","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","27.61","28.8","409.65","204.83","382.04","380.85","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","2969.63","1.18","0.0","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","23.65","28.8","409.65","204.83","386.01","380.85","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","2969.63","1.18","0.0","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","24.4","28.8","409.65","204.83","385.25","380.85","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","2969.63","1.18","0.0","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","25.76","28.8","409.65","204.83","383.89","380.85","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","2969.63","1.16","0.0","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","16.76","28.8","409.65","204.83","392.89","380.85","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","2969.63","1.15","0.0","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","19.06","28.8","409.65","204.83","390.59","380.85","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","2969.63","1.16","0.0","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","20.06","28.8","409.65","204.83","389.6","380.85","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","2969.63","1.17","0.0","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","21.14","28.8","409.65","204.83","388.51","380.85","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","2969.63","1.11","0.0","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","22.36","28.8","409.65","204.83","387.29","380.85","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","2969.63","1.19","0.0","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","15.89","28.8","409.65","204.83","393.77","380.85","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","2969.63","1.2","0.0","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","15.85","28.8","409.65","204.83","393.8","380.85","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","2969.63","1.2","0.0","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","10.81","28.8","409.65","204.83","398.84","380.85","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","2969.63","1.17","0.0","0.0","1.13","1.17","1.33","6.74","6.74","0.0","0.0","5.4","28.8","409.65","204.83","404.25","380.85","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","2969.63","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","6.99","28.8","409.65","204.83","402.66","380.85","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","2969.63","1.17","0.0","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","7.88","28.8","409.65","204.83","401.78","380.85","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","2969.63","1.19","0.0","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","6.32","28.8","409.65","204.83","403.33","380.85","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","2969.63","1.17","0.0","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","8.11","28.8","409.65","204.83","401.54","380.85","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","2969.63","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","8.78","28.8","409.65","204.83","400.87","380.85","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","2969.63","1.18","0.0","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","8.83","28.8","409.65","204.83","400.82","380.85","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","2969.63","1.18","0.0","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","9.91","28.8","409.65","204.83","399.74","380.85","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","2969.63","1.18","0.0","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","10.78","28.8","409.65","204.83","398.87","380.85","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","2969.63","1.11","0.0","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","11.97","28.8","409.65","204.83","397.68","380.85","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","2969.63","1.01","0.0","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","13.39","28.8","409.65","204.83","396.26","380.85","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","2969.63","0.94","0.0","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","14.52","28.8","409.65","204.83","395.13","380.85","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","2969.63","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","15.57","28.8","409.65","204.83","394.08","380.85","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","2969.63","0.85","0.0","0.0","0.87","0.85","0.74","0.13","0.13","0.0","0.0","16.18","28.8","409.65","204.83","393.47","380.85","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","2969.63","1.19","0.0","0.0","0.84","1.19","1.0","14.51","14.51","0.0","0.0","2.67","28.8","409.65","204.83","406.99","380.85","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","2969.63","1.19","0.0","0.0","0.82","1.19","0.97","15.08","3.64","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","2969.63","1.2","0.0","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","2969.63","1.2","0.0","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","28.8","409.65","204.83","408.9","380.85","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","2969.63","1.19","0.0","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","2969.63","1.18","0.0","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","2969.63","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","28.8","409.65","204.83","408.52","380.85","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","2969.63","1.18","0.0","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","28.8","409.65","204.83","407.41","380.85","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","2969.63","1.17","0.0","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","2969.63","1.19","0.0","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","2969.63","1.19","0.0","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","2969.63","1.19","0.0","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","2969.63","1.19","0.0","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","2969.63","1.17","0.0","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","2969.63","1.17","0.0","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","2969.63","1.18","0.0","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","2969.63","1.18","0.0","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","28.8","409.65","204.83","408.39","380.85","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","2969.63","1.18","0.0","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","28.8","409.65","204.83","407.35","380.85","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","2969.63","1.16","0.0","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","2969.63","1.18","0.0","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","2969.63","1.17","0.0","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","28.8","409.65","204.83","408.3","380.85","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","2969.63","1.18","0.0","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","28.8","409.65","204.83","407.12","380.85","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","2969.63","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","28.8","409.65","204.83","405.55","380.85","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","2969.63","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","28.8","409.65","204.83","404.5","380.85","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","2969.63","1.1","0.0","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","28.8","409.65","204.83","403.52","380.85","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","2969.63","1.16","0.0","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","28.8","409.65","204.83","407.67","380.85","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","2969.63","1.14","0.0","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","28.8","409.65","204.83","404.95","380.85","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","2969.63","1.08","0.0","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","28.8","409.65","204.83","402.14","380.85","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","2969.63","1.01","0.0","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","28.8","409.65","204.83","401.06","380.85","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","2969.63","0.95","0.0","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","28.8","409.65","204.83","400.6","380.85","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","2969.63","0.87","0.0","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.36","28.8","409.65","204.83","399.29","380.85","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","2969.63","0.82","0.0","0.0","1.36","0.82","1.12","0.0","0.0","0.0","0.0","11.48","28.8","409.65","204.83","398.18","380.85","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","2969.63","0.77","0.0","0.0","1.59","0.77","1.23","0.0","0.0","0.0","0.0","12.7","28.8","409.65","204.83","396.95","380.85","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","2969.63","0.72","0.0","0.0","1.92","0.72","1.38","0.0","0.0","0.0","0.0","14.08","28.8","409.65","204.83","395.57","380.85","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","2969.63","0.67","0.0","0.0","2.05","0.67","1.38","0.0","0.0","0.0","0.0","15.47","28.8","409.65","204.83","394.19","380.85","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","2969.63","0.64","0.0","0.0","1.92","0.64","1.23","0.0","0.0","0.0","0.0","16.69","28.8","409.65","204.83","392.96","380.85","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","2969.63","0.61","0.0","0.0","1.88","0.61","1.15","0.0","0.0","0.0","0.0","17.84","28.8","409.65","204.83","391.81","380.85","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","2969.63","0.59","0.0","0.0","1.71","0.59","1.0","0.0","0.0","0.0","0.0","18.84","28.8","409.65","204.83","390.81","380.85","0.0","","","","","","",""
