" Daily soil water balance output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","3663.5","0.08","0.0","0.0","3.93","0.08","0.32","0.0","0.0","0.0","0.0","22.82","22.5","182.88","91.44","160.06","160.38","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","3663.5","0.08","0.0","0.0","2.96","0.08","0.24","2.76","2.76","0.0","0.0","20.06","22.5","182.88","91.44","162.82","160.38","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","3663.5","0.08","0.0","0.0","2.48","0.08","0.2","0.11","0.11","0.0","0.0","20.14","22.5","182.88","91.44","162.74","160.38","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","3663.5","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","20.36","22.5","182.88","91.44","162.52","160.38","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","3663.5","0.08","0.0","0.0","4.68","0.08","0.37","0.0","0.0","0.0","0.0","20.73","22.5","182.88","91.44","162.15","160.38","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","3663.5","0.08","0.0","0.0","3.66","0.08","0.29","0.0","0.0","0.0","0.0","21.02","22.5","182.88","91.44","161.86","160.38","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","3663.5","0.08","0.0","0.0","3.17","0.08","0.25","0.0","0.0","0.0","0.0","21.28","22.5","182.88","91.44","161.6","160.38","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","3663.5","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","21.48","22.5","182.88","91.44","161.4","160.38","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","3663.5","0.08","0.0","0.0","2.57","0.08","0.2","0.0","0.0","0.0","0.0","21.69","22.5","182.88","91.44","161.19","160.38","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","3663.5","0.08","0.0","0.0","3.42","0.08","0.27","0.0","0.0","0.0","0.0","21.96","22.5","182.88","91.44","160.92","160.38","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","3663.5","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","22.16","22.5","182.88","91.44","160.72","160.38","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","3663.5","0.08","0.0","0.0","2.19","0.08","0.17","0.0","0.0","0.0","0.0","22.33","22.5","182.88","91.44","160.55","160.38","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","3663.5","0.08","0.0","0.0","2.2","0.08","0.17","0.0","0.0","0.0","0.0","22.51","22.5","182.88","91.44","160.37","160.38","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","3663.5","0.08","0.0","0.0","4.44","0.08","0.35","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","3663.5","0.08","0.0","0.0","3.82","0.08","0.3","0.0","0.0","0.0","0.0","22.8","22.5","182.88","91.44","160.08","160.38","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","3663.5","0.08","0.0","0.0","3.38","0.08","0.27","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","3663.5","0.08","0.0","0.0","1.79","0.08","0.14","0.0","0.0","0.0","0.0","22.64","22.5","182.88","91.44","160.24","160.38","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","3663.5","1.17","0.0","0.0","1.2","1.17","1.41","9.97","9.97","0.0","0.0","12.67","22.5","182.88","91.44","170.21","160.38","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","3663.5","1.13","0.0","0.0","2.18","1.13","2.47","7.72","7.72","0.0","0.0","7.42","22.5","182.88","91.44","175.46","160.38","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","3663.5","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","10.85","22.5","182.88","91.44","172.03","160.38","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","3663.5","1.05","0.0","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","12.61","22.5","182.88","91.44","170.27","160.38","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","3663.5","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","14.35","22.5","182.88","91.44","168.53","160.38","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","3663.5","0.86","0.0","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","15.77","22.5","182.88","91.44","167.11","160.38","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","3663.5","0.82","0.0","0.0","1.14","0.82","0.93","0.0","0.0","0.0","0.0","16.7","22.5","182.88","91.44","166.18","160.38","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","3663.5","1.18","0.0","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","13.42","22.5","182.88","91.44","169.46","160.38","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","3663.5","1.17","0.0","0.0","1.29","1.17","1.51","10.75","10.75","0.0","0.0","4.18","22.5","182.88","91.44","178.7","160.38","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","3663.5","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","5.59","22.5","182.88","91.44","177.29","160.38","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","3663.5","1.17","0.0","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","7.19","22.5","182.88","91.44","175.69","160.38","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","3663.5","1.17","0.0","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","8.73","22.5","182.88","91.44","174.15","160.38","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","3663.5","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","10.21","22.5","182.88","91.44","172.67","160.38","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","3663.5","1.15","0.0","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","10.21","22.5","182.88","91.44","172.67","160.38","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","3663.5","1.12","0.0","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","9.68","22.5","182.88","91.44","173.2","160.38","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","3663.5","1.14","0.0","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","11.31","22.5","182.88","91.44","171.57","160.38","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","3663.5","1.15","0.0","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","12.8","22.5","182.88","91.44","170.08","160.38","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","3663.5","1.08","0.0","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","14.22","22.5","182.88","91.44","168.66","160.38","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","3663.5","0.97","0.0","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","15.82","22.5","182.88","91.44","167.06","160.38","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","3663.5","0.89","0.0","0.0","1.48","0.89","1.32","0.0","0.0","0.0","0.0","17.14","22.5","182.88","91.44","165.74","160.38","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","3663.5","0.84","0.0","0.0","1.31","0.84","1.1","0.0","0.0","0.0","0.0","18.24","22.5","182.88","91.44","164.64","160.38","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","3663.5","0.79","0.0","0.0","1.51","0.79","1.19","0.0","0.0","0.0","0.0","19.43","22.5","182.88","91.44","163.45","160.38","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","3663.5","0.75","0.0","0.0","1.36","0.75","1.02","0.0","0.0","0.0","0.0","20.45","22.5","182.88","91.44","162.43","160.38","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","3663.5","0.72","0.0","0.0","1.02","0.72","0.74","1.19","1.19","0.0","0.0","20.0","22.5","182.88","91.44","162.88","160.38","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","3663.5","0.68","0.0","0.0","1.78","0.68","1.22","0.0","0.0","0.0","0.0","21.22","22.5","182.88","91.44","161.66","160.38","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","3663.5","0.64","0.0","0.0","2.51","0.64","1.6","0.0","0.0","0.0","0.0","22.82","22.5","182.88","91.44","160.06","160.38","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","3663.5","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","3663.5","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","23.31","22.5","182.88","91.44","159.57","160.38","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","3663.5","0.58","0.0","0.0","1.02","0.58","0.59","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","3663.5","0.57","0.0","0.0","1.17","0.57","0.66","0.0","0.0","0.0","0.0","23.16","22.5","182.88","91.44","159.72","160.38","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","3663.5","0.55","0.0","0.0","1.11","0.55","0.61","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","3663.5","0.54","0.0","0.0","1.12","0.54","0.61","0.0","0.0","0.0","0.0","23.11","22.5","182.88","91.44","159.77","160.38","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","3663.5","1.18","0.0","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","15.57","22.5","182.88","91.44","167.31","160.38","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","3663.5","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","16.47","22.5","182.88","91.44","166.41","160.38","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","3663.5","1.18","0.0","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","17.85","22.5","182.88","91.44","165.03","160.38","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","3663.5","1.18","0.0","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","18.87","22.5","182.88","91.44","164.01","160.38","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","3663.5","1.18","0.0","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","19.53","22.5","182.88","91.44","163.35","160.38","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","3663.5","1.18","0.0","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","20.59","22.5","182.88","91.44","162.29","160.38","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","3663.5","1.17","0.0","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","20.46","22.5","182.88","91.44","162.42","160.38","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","3663.5","1.18","0.0","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","18.32","22.5","182.88","91.44","164.56","160.38","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","3663.5","1.18","0.0","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","19.25","22.5","182.88","91.44","163.63","160.38","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","3663.5","1.18","0.0","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","20.71","22.5","182.88","91.44","162.17","160.38","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","3663.5","1.16","0.0","0.0","1.53","1.16","1.77","10.75","10.75","0.0","0.0","11.74","22.5","182.88","91.44","171.14","160.38","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","3663.5","1.15","0.0","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","14.07","22.5","182.88","91.44","168.81","160.38","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","3663.5","1.16","0.0","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","15.06","22.5","182.88","91.44","167.82","160.38","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","3663.5","1.17","0.0","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","16.16","22.5","182.88","91.44","166.72","160.38","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","3663.5","1.1","0.0","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","17.44","22.5","182.88","91.44","165.44","160.38","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","3663.5","1.19","0.0","0.0","0.67","1.19","0.8","9.68","9.68","0.0","0.0","8.56","22.5","182.88","91.44","174.32","160.38","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","3663.5","1.2","0.0","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","8.79","22.5","182.88","91.44","174.09","160.38","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","3663.5","1.2","0.0","0.0","0.58","1.2","0.69","5.03","5.03","0.0","0.0","4.45","22.5","182.88","91.44","178.43","160.38","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","3663.5","1.18","0.0","0.0","1.08","1.18","1.27","4.97","4.97","0.0","0.0","0.75","22.5","182.88","91.44","182.13","160.38","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","3663.5","1.17","0.0","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","2.24","22.5","182.88","91.44","180.64","160.38","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","3663.5","1.18","0.0","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","3.32","22.5","182.88","91.44","179.56","160.38","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","3663.5","1.18","0.0","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","3.3","22.5","182.88","91.44","179.58","160.38","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","3663.5","1.17","0.0","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","5.13","22.5","182.88","91.44","177.75","160.38","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","3663.5","1.12","0.0","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","5.78","22.5","182.88","91.44","177.1","160.38","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","3663.5","1.06","0.0","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","5.97","22.5","182.88","91.44","176.91","160.38","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","3663.5","1.0","0.0","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","6.91","22.5","182.88","91.44","175.97","160.38","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","3663.5","0.95","0.0","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","7.65","22.5","182.88","91.44","175.23","160.38","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","3663.5","0.9","0.0","0.0","1.09","0.9","0.98","0.0","0.0","0.0","0.0","8.63","22.5","182.88","91.44","174.25","160.38","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","3663.5","0.84","0.0","0.0","1.45","0.84","1.22","0.0","0.0","0.0","0.0","9.84","22.5","182.88","91.44","173.04","160.38","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","3663.5","0.8","0.0","0.0","1.22","0.8","0.97","0.0","0.0","0.0","0.0","10.82","22.5","182.88","91.44","172.06","160.38","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","3663.5","0.76","0.0","0.0","1.21","0.76","0.92","0.0","0.0","0.0","0.0","11.74","22.5","182.88","91.44","171.14","160.38","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","3663.5","0.74","0.0","0.0","0.87","0.74","0.64","0.17","0.17","0.0","0.0","12.21","22.5","182.88","91.44","170.67","160.38","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","3663.5","1.19","0.0","0.0","0.85","1.19","1.01","18.14","13.22","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","3663.5","1.19","0.0","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","3663.5","1.2","0.0","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","3663.5","1.2","0.0","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","22.5","182.88","91.44","182.22","160.38","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","3663.5","1.19","0.0","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","3663.5","1.18","0.0","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","3663.5","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","22.5","182.88","91.44","181.72","160.38","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","3663.5","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","22.5","182.88","91.44","180.55","160.38","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","3663.5","1.17","0.0","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","3663.5","1.19","0.0","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","3663.5","1.19","0.0","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","3663.5","1.19","0.0","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","3663.5","1.19","0.0","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","3663.5","1.17","0.0","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","3663.5","1.17","0.0","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","3663.5","1.18","0.0","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","3663.5","1.18","0.0","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","22.5","182.88","91.44","181.56","160.38","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","3663.5","1.18","0.0","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","22.5","182.88","91.44","181.25","160.38","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","3663.5","1.16","0.0","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","3663.5","1.18","0.0","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","3663.5","1.17","0.0","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","22.5","182.88","91.44","181.86","160.38","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","3663.5","1.18","0.0","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","22.5","182.88","91.44","180.67","160.38","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","3663.5","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","22.5","182.88","91.44","179.03","160.38","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","3663.5","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","22.5","182.88","91.44","177.98","160.38","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","3663.5","1.1","0.0","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","22.5","182.88","91.44","177.14","160.38","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","3663.5","1.16","0.0","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","22.5","182.88","91.44","181.37","160.38","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","3663.5","1.14","0.0","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","22.5","182.88","91.44","178.61","160.38","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","3663.5","1.08","0.0","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","22.5","182.88","91.44","175.81","160.38","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","3663.5","1.01","0.0","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","22.5","182.88","91.44","174.74","160.38","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","3663.5","0.95","0.0","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","22.5","182.88","91.44","174.59","160.38","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","3663.5","0.88","0.0","0.0","1.53","0.88","1.34","0.02","0.02","0.0","0.0","9.61","22.5","182.88","91.44","173.27","160.38","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","3663.5","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","10.75","22.5","182.88","91.44","172.13","160.38","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","3663.5","0.77","0.0","0.0","1.63","0.77","1.26","0.0","0.0","0.0","0.0","12.01","22.5","182.88","91.44","170.87","160.38","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","3663.5","0.72","0.0","0.0","1.96","0.72","1.41","0.0","0.0","0.0","0.0","13.41","22.5","182.88","91.44","169.47","160.38","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","3663.5","0.67","0.0","0.0","2.08","0.67","1.4","0.0","0.0","0.0","0.0","14.81","22.5","182.88","91.44","168.07","160.38","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","3663.5","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","16.06","22.5","182.88","91.44","166.82","160.38","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","3663.5","0.61","0.0","0.0","1.91","0.61","1.16","0.0","0.0","0.0","0.0","17.22","22.5","182.88","91.44","165.66","160.38","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","3663.5","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","18.25","22.5","182.88","91.44","164.63","160.38","0.0","","","","","","",""
