" Daily soil water balance output for Potatoes in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Potatoes in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","594.68","0.08","0.0","0.0","3.92","0.08","0.32","0.0","0.0","0.0","0.0","24.34","25.65","208.48","104.24","184.14","182.83","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","594.68","0.08","0.0","0.0","3.0","0.08","0.24","1.57","1.57","0.0","0.0","23.01","25.65","208.48","104.24","185.47","182.83","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","594.68","0.08","0.0","0.0","2.58","0.08","0.21","0.14","0.14","0.0","0.0","23.08","25.65","208.48","104.24","185.4","182.83","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","594.68","0.08","0.0","0.0","2.66","0.08","0.21","0.0","0.0","0.0","0.0","23.29","25.65","208.48","104.24","185.19","182.83","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","594.68","0.08","0.0","0.0","4.49","0.08","0.36","0.0","0.0","0.0","0.0","23.66","25.65","208.48","104.24","184.83","182.83","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","594.68","0.08","0.0","0.0","3.54","0.08","0.28","0.0","0.0","0.0","0.0","23.94","25.65","208.48","104.24","184.54","182.83","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","594.68","0.08","0.0","0.0","3.11","0.08","0.25","0.0","0.0","0.0","0.0","24.19","25.65","208.48","104.24","184.29","182.83","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","594.68","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","24.4","25.65","208.48","104.24","184.08","182.83","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","594.68","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","24.6","25.65","208.48","104.24","183.88","182.83","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","594.68","0.08","0.0","0.0","3.35","0.08","0.27","0.0","0.0","0.0","0.0","24.87","25.65","208.48","104.24","183.61","182.83","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","594.68","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","25.07","25.65","208.48","104.24","183.41","182.83","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","594.68","0.08","0.0","0.0","2.16","0.08","0.17","0.0","0.0","0.0","0.0","25.25","25.65","208.48","104.24","183.24","182.83","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","594.68","0.08","0.0","0.0","2.21","0.08","0.18","0.0","0.0","0.0","0.0","25.42","25.65","208.48","104.24","183.06","182.83","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","594.68","0.08","0.0","0.0","4.42","0.08","0.35","0.0","0.0","0.0","0.0","25.78","25.65","208.48","104.24","182.71","182.83","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","594.68","0.08","0.0","0.0","3.73","0.08","0.3","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","594.68","0.08","0.0","0.0","3.3","0.08","0.26","0.0","0.0","0.0","0.0","25.91","25.65","208.48","104.24","182.57","182.83","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","594.68","0.08","0.0","0.0","2.01","0.08","0.16","0.22","0.22","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","594.68","1.17","0.0","0.0","1.2","1.17","1.41","8.46","8.46","0.0","0.0","18.6","25.65","208.48","104.24","189.89","182.83","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","594.68","1.13","0.0","0.0","2.15","1.13","2.44","9.09","9.09","0.0","0.0","11.94","25.65","208.48","104.24","196.54","182.83","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","594.68","1.12","0.0","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","15.39","25.65","208.48","104.24","193.09","182.83","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","594.68","1.05","0.0","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","17.17","25.65","208.48","104.24","191.31","182.83","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","594.68","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","18.91","25.65","208.48","104.24","189.58","182.83","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","594.68","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","20.32","25.65","208.48","104.24","188.16","182.83","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","594.68","0.81","0.0","0.0","1.19","0.81","0.97","0.01","0.01","0.0","0.0","21.28","25.65","208.48","104.24","187.2","182.83","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","594.68","1.18","0.0","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","18.1","25.65","208.48","104.24","190.38","182.83","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","594.68","1.17","0.0","0.0","1.27","1.17","1.48","8.55","8.55","0.0","0.0","11.04","25.65","208.48","104.24","197.45","182.83","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","594.68","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","12.45","25.65","208.48","104.24","196.03","182.83","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","594.68","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","14.06","25.65","208.48","104.24","194.42","182.83","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","594.68","1.17","0.0","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","15.62","25.65","208.48","104.24","192.87","182.83","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","594.68","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","17.09","25.65","208.48","104.24","191.39","182.83","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","594.68","0.97","0.0","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","18.01","25.65","208.48","104.24","190.47","182.83","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","594.68","1.11","0.0","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","17.58","25.65","208.48","104.24","190.9","182.83","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","594.68","1.14","0.0","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","19.22","25.65","208.48","104.24","189.26","182.83","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","594.68","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","20.73","25.65","208.48","104.24","187.76","182.83","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","594.68","1.07","0.0","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","22.16","25.65","208.48","104.24","186.33","182.83","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","594.68","0.97","0.0","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","23.71","25.65","208.48","104.24","184.77","182.83","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","594.68","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","25.01","25.65","208.48","104.24","183.47","182.83","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","594.68","0.84","0.0","0.0","1.29","0.84","1.08","0.0","0.0","0.0","0.0","26.09","25.65","208.48","104.24","182.39","182.83","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","594.68","0.79","0.0","0.0","1.46","0.79","1.15","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","594.68","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","26.68","25.65","208.48","104.24","181.81","182.83","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","594.68","1.18","0.0","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","24.62","25.65","208.48","104.24","183.87","182.83","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","594.68","1.17","0.0","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","26.56","25.65","208.48","104.24","181.92","182.83","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","594.68","1.15","0.0","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","594.68","1.08","0.0","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","27.42","25.65","208.48","104.24","181.06","182.83","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","594.68","0.99","0.0","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","594.68","0.93","0.0","0.0","1.01","0.93","0.94","0.0","0.0","0.0","0.0","26.59","25.65","208.48","104.24","181.89","182.83","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","594.68","0.88","0.0","0.0","1.2","0.88","1.05","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","594.68","0.83","0.0","0.0","1.11","0.83","0.92","0.0","0.0","0.0","0.0","26.57","25.65","208.48","104.24","181.91","182.83","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","594.68","0.79","0.0","0.0","1.16","0.79","0.92","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","594.68","1.18","0.0","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","19.11","25.65","208.48","104.24","189.37","182.83","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","594.68","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","20.01","25.65","208.48","104.24","188.47","182.83","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","594.68","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","21.46","25.65","208.48","104.24","187.02","182.83","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","594.68","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","22.55","25.65","208.48","104.24","185.93","182.83","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","594.68","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","23.22","25.65","208.48","104.24","185.26","182.83","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","594.68","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","24.36","25.65","208.48","104.24","184.12","182.83","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","594.68","1.09","0.0","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","24.95","25.65","208.48","104.24","183.53","182.83","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","594.68","1.18","0.0","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","18.98","25.65","208.48","104.24","189.51","182.83","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","594.68","1.18","0.0","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","19.51","25.65","208.48","104.24","188.97","182.83","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","594.68","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","21.02","25.65","208.48","104.24","187.47","182.83","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","594.68","1.16","0.0","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","12.51","25.65","208.48","104.24","195.98","182.83","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","594.68","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","14.75","25.65","208.48","104.24","193.74","182.83","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","594.68","1.16","0.0","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","15.78","25.65","208.48","104.24","192.7","182.83","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","594.68","1.17","0.0","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","16.91","25.65","208.48","104.24","191.57","182.83","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","594.68","1.1","0.0","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","18.19","25.65","208.48","104.24","190.29","182.83","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","594.68","1.19","0.0","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","11.61","25.65","208.48","104.24","196.87","182.83","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","594.68","1.2","0.0","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","11.27","25.65","208.48","104.24","197.22","182.83","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","594.68","1.2","0.0","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","7.51","25.65","208.48","104.24","200.98","182.83","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","594.68","1.17","0.0","0.0","1.15","1.17","1.35","8.62","8.62","0.0","0.0","0.24","25.65","208.48","104.24","208.25","182.83","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","594.68","1.17","0.0","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","1.86","25.65","208.48","104.24","206.62","182.83","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","594.68","1.17","0.0","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","2.86","25.65","208.48","104.24","205.63","182.83","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","594.68","1.19","0.0","0.0","0.87","1.19","1.03","4.18","3.89","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","594.68","1.17","0.0","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","1.76","25.65","208.48","104.24","206.72","182.83","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","594.68","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","2.44","25.65","208.48","104.24","206.04","182.83","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","594.68","1.19","0.0","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","2.28","25.65","208.48","104.24","206.2","182.83","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","594.68","1.19","0.0","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","3.15","25.65","208.48","104.24","205.34","182.83","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","594.68","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","4.07","25.65","208.48","104.24","204.41","182.83","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","594.68","1.19","0.0","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","5.3","25.65","208.48","104.24","203.18","182.83","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","594.68","1.18","0.0","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","6.92","25.65","208.48","104.24","201.56","182.83","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","594.68","1.15","0.0","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","8.27","25.65","208.48","104.24","200.21","182.83","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","594.68","1.05","0.0","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","9.52","25.65","208.48","104.24","198.96","182.83","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","594.68","0.99","0.0","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","9.78","25.65","208.48","104.24","198.7","182.83","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","594.68","1.18","0.0","0.0","0.88","1.18","1.04","15.0","10.83","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","594.68","1.19","0.0","0.0","0.83","1.19","0.99","15.19","0.99","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","594.68","1.2","0.0","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","594.68","1.19","0.0","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","25.65","208.48","104.24","207.69","182.83","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","594.68","1.19","0.0","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","25.65","208.48","104.24","208.3","182.83","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","594.68","1.18","0.0","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","25.65","208.48","104.24","208.46","182.83","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","594.68","1.18","0.0","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","25.65","208.48","104.24","207.32","182.83","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","594.68","1.18","0.0","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","25.65","208.48","104.24","206.36","182.83","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","594.68","1.17","0.0","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","25.65","208.48","104.24","206.8","182.83","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","594.68","1.19","0.0","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","594.68","1.19","0.0","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","594.68","1.19","0.0","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","594.68","1.19","0.0","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","594.68","1.17","0.0","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","594.68","1.17","0.0","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","594.68","1.18","0.0","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","594.68","1.18","0.0","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","25.65","208.48","104.24","207.26","182.83","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","594.68","1.18","0.0","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","25.65","208.48","104.24","206.31","182.83","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","594.68","1.16","0.0","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","594.68","1.17","0.0","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","25.65","208.48","104.24","208.22","182.83","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","594.68","1.17","0.0","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","25.65","208.48","104.24","206.92","182.83","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","594.68","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","25.65","208.48","104.24","205.7","182.83","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","594.68","1.14","0.0","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","25.65","208.48","104.24","204.17","182.83","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","594.68","1.06","0.0","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","25.65","208.48","104.24","203.19","182.83","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","594.68","0.99","0.0","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","25.65","208.48","104.24","202.62","182.83","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","594.68","1.16","0.0","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","25.65","208.48","104.24","207.85","182.83","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","594.68","1.14","0.0","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","25.65","208.48","104.24","205.71","182.83","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","594.68","1.08","0.0","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","25.65","208.48","104.24","202.86","182.83","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","594.68","1.0","0.0","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","25.65","208.48","104.24","201.77","182.83","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","594.68","0.94","0.0","0.0","1.07","0.94","1.01","0.4","0.4","0.0","0.0","7.32","25.65","208.48","104.24","201.17","182.83","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","594.68","0.87","0.0","0.0","1.51","0.87","1.31","0.0","0.0","0.0","0.0","8.63","25.65","208.48","104.24","199.85","182.83","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","594.68","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","9.77","25.65","208.48","104.24","198.71","182.83","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","594.68","0.77","0.0","0.0","1.63","0.77","1.25","0.0","0.0","0.0","0.0","11.02","25.65","208.48","104.24","197.47","182.83","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","594.68","0.72","0.0","0.0","1.9","0.72","1.36","0.0","0.0","0.0","0.0","12.38","25.65","208.48","104.24","196.11","182.83","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","594.68","0.67","0.0","0.0","2.02","0.67","1.36","0.0","0.0","0.0","0.0","13.74","25.65","208.48","104.24","194.75","182.83","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","594.68","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","14.98","25.65","208.48","104.24","193.5","182.83","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","594.68","0.61","0.0","0.0","1.92","0.61","1.17","0.0","0.0","0.0","0.0","16.15","25.65","208.48","104.24","192.33","182.83","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","594.68","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","17.18","25.65","208.48","104.24","191.31","182.83","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","594.68","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","25.65","208.48","104.24","190.27","182.83","0.0","","","","","","",""
