" Daily soil water balance output for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","393.64","0.08","0.0","0.0","3.93","0.08","0.32","0.0","0.0","0.0","0.0","10.72","18.0","256.03","128.02","245.32","238.03","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","393.64","0.08","0.0","0.0","2.96","0.08","0.24","2.76","2.76","0.0","0.0","8.19","18.0","256.03","128.02","247.84","238.03","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","393.64","0.08","0.0","0.0","2.48","0.08","0.2","0.11","0.11","0.0","0.0","8.28","18.0","256.03","128.02","247.75","238.03","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","393.64","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","8.49","18.0","256.03","128.02","247.54","238.03","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","393.64","0.08","0.0","0.0","4.68","0.08","0.37","0.0","0.0","0.0","0.0","8.87","18.0","256.03","128.02","247.16","238.03","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","393.64","0.08","0.0","0.0","3.66","0.08","0.29","0.0","0.0","0.0","0.0","9.16","18.0","256.03","128.02","246.87","238.03","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","393.64","0.08","0.0","0.0","3.17","0.08","0.25","0.0","0.0","0.0","0.0","9.41","18.0","256.03","128.02","246.62","238.03","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","393.64","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","9.62","18.0","256.03","128.02","246.41","238.03","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","393.64","0.08","0.0","0.0","2.57","0.08","0.2","0.0","0.0","0.0","0.0","9.83","18.0","256.03","128.02","246.21","238.03","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","393.64","0.08","0.0","0.0","3.42","0.08","0.27","0.0","0.0","0.0","0.0","10.1","18.0","256.03","128.02","245.93","238.03","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","393.64","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","10.3","18.0","256.03","128.02","245.74","238.03","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","393.64","0.08","0.0","0.0","2.19","0.08","0.17","0.0","0.0","0.0","0.0","10.47","18.0","256.03","128.02","245.56","238.03","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","393.64","0.08","0.0","0.0","2.2","0.08","0.17","0.0","0.0","0.0","0.0","10.65","18.0","256.03","128.02","245.39","238.03","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","393.64","0.08","0.0","0.0","4.44","0.08","0.35","0.0","0.0","0.0","0.0","11.0","18.0","256.03","128.02","245.04","238.03","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","393.64","0.08","0.0","0.0","3.82","0.08","0.3","0.0","0.0","0.0","0.0","11.3","18.0","256.03","128.02","244.73","238.03","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","393.64","0.08","0.0","0.0","3.38","0.08","0.27","0.0","0.0","0.0","0.0","11.57","18.0","256.03","128.02","244.47","238.03","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","393.64","0.08","0.0","0.0","1.79","0.08","0.14","0.0","0.0","0.0","0.0","11.71","18.0","256.03","128.02","244.32","238.03","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","393.64","1.17","0.0","0.0","1.2","1.17","1.41","9.97","9.97","0.0","0.0","3.14","18.0","256.03","128.02","252.89","238.03","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","393.64","1.13","0.0","0.0","2.18","1.13","2.47","7.72","5.61","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","393.64","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","3.43","18.0","256.03","128.02","252.6","238.03","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","393.64","1.05","0.0","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","5.19","18.0","256.03","128.02","250.84","238.03","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","393.64","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","6.93","18.0","256.03","128.02","249.1","238.03","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","393.64","0.86","0.0","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","8.35","18.0","256.03","128.02","247.68","238.03","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","393.64","0.82","0.0","0.0","1.14","0.82","0.93","0.0","0.0","0.0","0.0","9.28","18.0","256.03","128.02","246.75","238.03","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","393.64","1.18","0.0","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","6.0","18.0","256.03","128.02","250.03","238.03","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","393.64","1.17","0.0","0.0","1.29","1.17","1.51","10.75","7.5","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","393.64","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","1.42","18.0","256.03","128.02","254.62","238.03","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","393.64","1.17","0.0","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","3.02","18.0","256.03","128.02","253.02","238.03","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","393.64","1.17","0.0","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","4.56","18.0","256.03","128.02","251.47","238.03","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","393.64","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","6.03","18.0","256.03","128.02","250.0","238.03","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","393.64","1.15","0.0","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","6.03","18.0","256.03","128.02","250.0","238.03","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","393.64","1.12","0.0","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","5.5","18.0","256.03","128.02","250.53","238.03","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","393.64","1.14","0.0","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","7.13","18.0","256.03","128.02","248.9","238.03","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","393.64","1.15","0.0","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","8.63","18.0","256.03","128.02","247.41","238.03","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","393.64","1.08","0.0","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","10.05","18.0","256.03","128.02","245.99","238.03","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","393.64","0.97","0.0","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","11.65","18.0","256.03","128.02","244.39","238.03","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","393.64","0.89","0.0","0.0","1.48","0.89","1.32","0.0","0.0","0.0","0.0","12.97","18.0","256.03","128.02","243.06","238.03","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","393.64","0.84","0.0","0.0","1.31","0.84","1.1","0.0","0.0","0.0","0.0","14.07","18.0","256.03","128.02","241.96","238.03","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","393.64","0.79","0.0","0.0","1.51","0.79","1.19","0.0","0.0","0.0","0.0","15.26","18.0","256.03","128.02","240.77","238.03","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","393.64","0.75","0.0","0.0","1.36","0.75","1.02","0.0","0.0","0.0","0.0","16.28","18.0","256.03","128.02","239.75","238.03","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","393.64","0.72","0.0","0.0","1.02","0.72","0.74","1.19","1.19","0.0","0.0","15.83","18.0","256.03","128.02","240.21","238.03","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","393.64","0.68","0.0","0.0","1.78","0.68","1.22","0.0","0.0","0.0","0.0","17.04","18.0","256.03","128.02","238.99","238.03","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","393.64","0.64","0.0","0.0","2.51","0.64","1.6","0.0","0.0","0.0","0.0","18.64","18.0","256.03","128.02","237.39","238.03","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","393.64","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","393.64","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","18.81","18.0","256.03","128.02","237.22","238.03","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","393.64","0.58","0.0","0.0","1.02","0.58","0.59","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","393.64","0.57","0.0","0.0","1.17","0.57","0.66","0.0","0.0","0.0","0.0","18.66","18.0","256.03","128.02","237.37","238.03","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","393.64","0.55","0.0","0.0","1.11","0.55","0.61","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","393.64","0.54","0.0","0.0","1.12","0.54","0.61","0.0","0.0","0.0","0.0","18.61","18.0","256.03","128.02","237.43","238.03","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","393.64","1.18","0.0","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","11.07","18.0","256.03","128.02","244.97","238.03","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","393.64","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","11.97","18.0","256.03","128.02","244.06","238.03","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","393.64","1.18","0.0","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","13.35","18.0","256.03","128.02","242.68","238.03","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","393.64","1.18","0.0","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","14.37","18.0","256.03","128.02","241.66","238.03","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","393.64","1.18","0.0","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","15.03","18.0","256.03","128.02","241.01","238.03","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","393.64","1.18","0.0","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","16.09","18.0","256.03","128.02","239.94","238.03","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","393.64","1.17","0.0","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","15.96","18.0","256.03","128.02","240.07","238.03","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","393.64","1.18","0.0","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","13.82","18.0","256.03","128.02","242.21","238.03","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","393.64","1.18","0.0","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","14.75","18.0","256.03","128.02","241.28","238.03","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","393.64","1.18","0.0","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","16.21","18.0","256.03","128.02","239.82","238.03","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","393.64","1.16","0.0","0.0","1.53","1.16","1.77","10.75","10.75","0.0","0.0","7.24","18.0","256.03","128.02","248.79","238.03","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","393.64","1.15","0.0","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","9.57","18.0","256.03","128.02","246.46","238.03","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","393.64","1.16","0.0","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","10.56","18.0","256.03","128.02","245.48","238.03","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","393.64","1.17","0.0","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","11.66","18.0","256.03","128.02","244.37","238.03","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","393.64","1.1","0.0","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","12.94","18.0","256.03","128.02","243.09","238.03","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","393.64","1.19","0.0","0.0","0.67","1.19","0.8","9.68","9.68","0.0","0.0","4.06","18.0","256.03","128.02","251.97","238.03","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","393.64","1.2","0.0","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","4.29","18.0","256.03","128.02","251.74","238.03","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","393.64","1.2","0.0","0.0","0.58","1.2","0.69","5.03","4.98","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","393.64","1.18","0.0","0.0","1.08","1.18","1.27","4.97","1.27","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","393.64","1.17","0.0","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","1.49","18.0","256.03","128.02","254.54","238.03","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","393.64","1.18","0.0","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","2.57","18.0","256.03","128.02","253.47","238.03","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","393.64","1.18","0.0","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","2.55","18.0","256.03","128.02","253.49","238.03","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","393.64","1.17","0.0","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","4.38","18.0","256.03","128.02","251.65","238.03","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","393.64","1.12","0.0","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","5.03","18.0","256.03","128.02","251.0","238.03","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","393.64","1.06","0.0","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","5.21","18.0","256.03","128.02","250.82","238.03","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","393.64","1.0","0.0","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","6.15","18.0","256.03","128.02","249.88","238.03","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","393.64","0.95","0.0","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","6.89","18.0","256.03","128.02","249.14","238.03","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","393.64","0.9","0.0","0.0","1.09","0.9","0.98","0.0","0.0","0.0","0.0","7.87","18.0","256.03","128.02","248.16","238.03","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","393.64","0.84","0.0","0.0","1.45","0.84","1.22","0.0","0.0","0.0","0.0","9.09","18.0","256.03","128.02","246.94","238.03","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","393.64","0.8","0.0","0.0","1.22","0.8","0.97","0.0","0.0","0.0","0.0","10.06","18.0","256.03","128.02","245.97","238.03","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","393.64","0.76","0.0","0.0","1.21","0.76","0.92","0.0","0.0","0.0","0.0","10.98","18.0","256.03","128.02","245.05","238.03","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","393.64","0.74","0.0","0.0","0.87","0.74","0.64","0.17","0.17","0.0","0.0","11.45","18.0","256.03","128.02","244.58","238.03","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","393.64","1.19","0.0","0.0","0.85","1.19","1.01","18.14","12.46","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","393.64","1.19","0.0","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","393.64","1.2","0.0","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","393.64","1.2","0.0","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","18.0","256.03","128.02","255.37","238.03","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","393.64","1.19","0.0","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","393.64","1.18","0.0","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","393.64","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","18.0","256.03","128.02","254.87","238.03","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","393.64","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","18.0","256.03","128.02","253.7","238.03","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","393.64","1.17","0.0","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","393.64","1.19","0.0","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","393.64","1.19","0.0","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","393.64","1.19","0.0","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","393.64","1.19","0.0","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","393.64","1.17","0.0","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","393.64","1.17","0.0","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","393.64","1.18","0.0","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","393.64","1.18","0.0","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","18.0","256.03","128.02","254.71","238.03","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","393.64","1.18","0.0","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","18.0","256.03","128.02","254.4","238.03","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","393.64","1.16","0.0","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","393.64","1.18","0.0","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","393.64","1.17","0.0","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","18.0","256.03","128.02","255.01","238.03","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","393.64","1.18","0.0","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","18.0","256.03","128.02","253.82","238.03","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","393.64","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","18.0","256.03","128.02","252.18","238.03","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","393.64","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","18.0","256.03","128.02","251.14","238.03","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","393.64","1.1","0.0","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","18.0","256.03","128.02","250.3","238.03","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","393.64","1.16","0.0","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","18.0","256.03","128.02","254.53","238.03","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","393.64","1.14","0.0","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","18.0","256.03","128.02","251.76","238.03","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","393.64","1.08","0.0","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","18.0","256.03","128.02","248.96","238.03","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","393.64","1.01","0.0","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","18.0","256.03","128.02","247.89","238.03","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","393.64","0.95","0.0","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","18.0","256.03","128.02","247.74","238.03","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","393.64","0.88","0.0","0.0","1.53","0.88","1.34","0.02","0.02","0.0","0.0","9.61","18.0","256.03","128.02","246.42","238.03","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","393.64","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","10.75","18.0","256.03","128.02","245.28","238.03","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","393.64","0.77","0.0","0.0","1.63","0.77","1.26","0.0","0.0","0.0","0.0","12.01","18.0","256.03","128.02","244.02","238.03","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","393.64","0.72","0.0","0.0","1.96","0.72","1.41","0.0","0.0","0.0","0.0","13.41","18.0","256.03","128.02","242.62","238.03","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","393.64","0.67","0.0","0.0","2.08","0.67","1.4","0.0","0.0","0.0","0.0","14.81","18.0","256.03","128.02","241.22","238.03","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","393.64","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","16.06","18.0","256.03","128.02","239.97","238.03","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","393.64","0.61","0.0","0.0","1.91","0.61","1.16","0.0","0.0","0.0","0.0","17.22","18.0","256.03","128.02","238.81","238.03","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","393.64","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","18.25","18.0","256.03","128.02","237.78","238.03","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","393.64","0.56","0.0","0.0","1.83","0.56","1.03","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
