" Daily soil water balance output for Fallow in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","15.0","288.0","11382.15051","0.08","0.08","0.0","3.77","0.08","0.3016","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","16.0","289.0","11382.15051","0.08","0.08","0.0","3.92","0.08","0.3136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","11382.15051","0.08","0.08","0.0","3.0","0.08","0.24","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","11382.15051","0.08","0.08","0.0","2.58","0.08","0.2064","0.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","11382.15051","0.08","0.08","0.0","2.66","0.08","0.2128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","11382.15051","0.08","0.08","0.0","4.49","0.08","0.3592","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","11382.15051","0.08","0.08","0.0","3.54","0.08","0.2832","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","11382.15051","0.08","0.08","0.0","3.11","0.08","0.2488","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","11382.15051","0.08","0.08","0.0","2.63","0.08","0.2104","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","11382.15051","0.08","0.08","0.0","2.53","0.08","0.2024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","11382.15051","0.08","0.08","0.0","3.35","0.08","0.268","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","11382.15051","0.08","0.08","0.0","2.51","0.08","0.2008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","11382.15051","0.08","0.08","0.0","2.16","0.08","0.1728","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","11382.15051","0.08","0.08","0.0","2.21","0.08","0.1768","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","11382.15051","0.08","0.08","0.0","4.42","0.08","0.3536","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","11382.15051","0.08","0.08","0.0","3.73","0.08","0.2984","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","11382.15051","0.08","0.08","0.0","3.3","0.08","0.264","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","11382.15051","0.08","0.08","0.0","2.01","0.08","0.1608","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","11382.15051","1.17","1.17","0.0","1.2","1.17","1.404","8.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","11382.15051","1.13","1.13","0.0","2.15","1.13","2.4295","9.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","11382.15051","1.12","1.12","0.0","3.09","1.12","3.4608","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","11382.15051","1.05","1.05","0.0","1.7","1.05","1.785","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","11382.15051","0.93","0.93","0.0","1.86","0.93","1.7298","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","11382.15051","0.86","0.86","0.0","1.65","0.86","1.419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","11382.15051","0.81","0.81","0.0","1.19","0.81","0.9639","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","11382.15051","1.18","1.18","0.0","1.0","1.18","1.18","4.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","11382.15051","1.17","1.17","0.0","1.27","1.17","1.4859","8.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","11382.15051","1.17","1.17","0.0","1.21","1.17","1.4157","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","11382.15051","1.17","1.17","0.0","1.38","1.17","1.6146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","11382.15051","1.17","1.17","0.0","1.33","1.17","1.5561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","11382.15051","1.1","1.1","0.0","1.34","1.1","1.474","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","11382.15051","0.97","0.97","0.0","1.79","0.97","1.7363","0.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","11382.15051","1.11","1.11","0.0","2.67","1.11","2.9637","3.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","11382.15051","1.14","1.14","0.0","1.44","1.14","1.6416","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","11382.15051","1.15","1.15","0.0","1.31","1.15","1.5065","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","11382.15051","1.07","1.07","0.0","1.33","1.07","1.4231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","11382.15051","0.97","0.97","0.0","1.61","0.97","1.5617","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","11382.15051","0.89","0.89","0.0","1.46","0.89","1.2994","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","11382.15051","0.84","0.84","0.0","1.29","0.84","1.0836","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","11382.15051","0.79","0.79","0.0","1.46","0.79","1.1534","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","11382.15051","0.75","0.75","0.0","1.37","0.75","1.0275","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","11382.15051","1.18","1.18","0.0","1.03","1.18","1.2154","2.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","11382.15051","1.17","1.17","0.0","1.67","1.17","1.9539","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","11382.15051","1.15","1.15","0.0","2.35","1.15","2.7025","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","11382.15051","1.08","1.08","0.0","1.64","1.08","1.7712","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","11382.15051","0.99","0.99","0.0","1.35","0.99","1.3365","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","11382.15051","0.93","0.93","0.0","1.01","0.93","0.9393","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","11382.15051","0.88","0.88","0.0","1.2","0.88","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","11382.15051","0.83","0.83","0.0","1.11","0.83","0.9213","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","11382.15051","0.79","0.79","0.0","1.16","0.79","0.9164","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","11382.15051","1.18","1.18","0.0","1.01","1.18","1.1918","7.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","11382.15051","1.18","1.18","0.0","0.76","1.18","0.8968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","11382.15051","1.18","1.18","0.0","1.23","1.18","1.4514","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","11382.15051","1.18","1.18","0.0","0.92","1.18","1.0856","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","11382.15051","1.18","1.18","0.0","0.57","1.18","0.6726","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","11382.15051","1.18","1.18","0.0","0.96","1.18","1.1328","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","11382.15051","1.09","1.09","0.0","1.31","1.09","1.4279","0.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","11382.15051","1.18","1.18","0.0","1.08","1.18","1.2744","7.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","11382.15051","1.18","1.18","0.0","0.85","1.18","1.003","0.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","11382.15051","1.18","1.18","0.0","1.28","1.18","1.5104","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","11382.15051","1.16","1.16","0.0","1.59","1.16","1.8444","10.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","11382.15051","1.15","1.15","0.0","1.95","1.15","2.2425","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","11382.15051","1.16","1.16","0.0","0.89","1.16","1.0324","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","11382.15051","1.17","1.17","0.0","0.97","1.17","1.1349","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","11382.15051","1.1","1.1","0.0","1.17","1.1","1.287","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","11382.15051","1.19","1.19","0.0","0.73","1.19","0.8687","7.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","11382.15051","1.2","1.2","0.0","0.59","1.2","0.708","1.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","11382.15051","1.2","1.2","0.0","0.61","1.2","0.732","4.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","11382.15051","1.17","1.17","0.0","1.15","1.17","1.3455","8.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","11382.15051","1.17","1.17","0.0","1.39","1.17","1.6263","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","11382.15051","1.17","1.17","0.0","1.0","1.17","1.17","0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","11382.15051","1.19","1.19","0.0","0.87","1.19","1.0353","4.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","11382.15051","1.17","1.17","0.0","1.5","1.17","1.755","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","11382.15051","1.18","1.18","0.0","0.58","1.18","0.6844","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","11382.15051","1.19","1.19","0.0","0.72","1.19","0.8568","1.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","11382.15051","1.19","1.19","0.0","0.93","1.19","1.1067","0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","11382.15051","1.19","1.19","0.0","0.78","1.19","0.9282","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","11382.15051","1.19","1.19","0.0","1.04","1.19","1.2376","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","11382.15051","1.18","1.18","0.0","1.37","1.18","1.6166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","11382.15051","1.15","1.15","0.0","1.17","1.15","1.3455","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","11382.15051","1.05","1.05","0.0","1.19","1.05","1.2495","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","11382.15051","0.99","0.99","0.0","0.92","0.99","0.9108","0.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","11382.15051","1.18","1.18","0.0","0.88","1.18","1.0384","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","11382.15051","1.19","1.19","0.0","0.83","1.19","0.9877","15.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","11382.15051","1.2","1.2","0.0","0.6","1.2","0.72","9.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","11382.15051","1.19","1.19","0.0","0.66","1.19","0.7854","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","11382.15051","1.19","1.19","0.0","0.86","1.19","1.0234","1.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","11382.15051","1.18","1.18","0.0","0.9","1.18","1.062","1.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","11382.15051","1.18","1.18","0.0","0.99","1.18","1.1682","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","11382.15051","1.18","1.18","0.0","0.97","1.18","1.1446","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","11382.15051","1.17","1.17","0.0","1.37","1.17","1.6029","2.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","11382.15051","1.19","1.19","0.0","0.69","1.19","0.8211","2.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","11382.15051","1.19","1.19","0.0","0.86","1.19","1.0234","2.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","11382.15051","1.19","1.19","0.0","0.85","1.19","1.0115","6.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","11382.15051","1.19","1.19","0.0","0.82","1.19","0.9758","3.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","11382.15051","1.17","1.17","0.0","1.19","1.17","1.3923","34.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","11382.15051","1.17","1.17","0.0","1.28","1.17","1.4976","4.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","11382.15051","1.18","1.18","0.0","1.05","1.18","1.239","18.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","11382.15051","1.18","1.18","0.0","1.13","1.18","1.3334","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","11382.15051","1.18","1.18","0.0","1.15","1.18","1.357","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","11382.15051","1.16","1.16","0.0","1.41","1.16","1.6356","11.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","11382.15051","1.17","1.17","0.0","1.13","1.17","1.3221","1.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","11382.15051","1.17","1.17","0.0","1.16","1.17","1.3572","0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","11382.15051","1.17","1.17","0.0","1.04","1.17","1.2168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","11382.15051","1.14","1.14","0.0","1.35","1.14","1.539","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","11382.15051","1.06","1.06","0.0","0.92","1.06","0.9752","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","11382.15051","0.99","0.99","0.0","1.04","0.99","1.0296","0.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","11382.15051","1.16","1.16","0.0","1.56","1.16","1.8096","7.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","11382.15051","1.14","1.14","0.0","2.38","1.14","2.7132","0.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","11382.15051","1.08","1.08","0.0","2.65","1.08","2.862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","11382.15051","1.0","1.0","0.0","1.1","1.0","1.1","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","11382.15051","0.94","0.94","0.0","1.07","0.94","1.0058","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","11382.15051","0.87","0.87","0.0","1.51","0.87","1.3137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","11382.15051","0.82","0.82","0.0","1.39","0.82","1.1398","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","11382.15051","0.77","0.77","0.0","1.63","0.77","1.2551","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","11382.15051","0.72","0.72","0.0","1.9","0.72","1.368","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","11382.15051","0.67","0.67","0.0","2.02","0.67","1.3534","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
