" Daily soil water balance output for Almonds in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almond in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","46.04","0.08","1.0","0.0","3.93","1.0","3.92","0.0","0.0","0.0","0.0","29.74","123.63","494.54","247.27","464.79","370.9","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","46.04","0.08","0.98","0.0","2.96","0.98","2.89","2.76","2.76","0.0","0.0","29.87","123.63","494.54","247.27","464.67","370.9","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","46.04","0.08","0.95","0.0","2.48","0.95","2.37","0.11","0.11","0.0","0.0","32.13","123.63","494.54","247.27","462.41","370.9","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","46.04","0.08","0.93","0.0","2.63","0.93","2.45","0.0","0.0","0.0","0.0","34.58","123.63","494.54","247.27","459.96","370.9","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","46.04","0.08","0.91","0.0","4.68","0.91","4.26","0.0","0.0","0.0","0.0","38.85","123.63","494.54","247.27","455.69","370.9","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","46.04","0.08","0.89","0.0","3.66","0.89","3.25","0.0","0.0","0.0","0.0","42.1","123.63","494.54","247.27","452.44","370.9","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","46.04","0.08","0.87","0.0","3.17","0.87","2.75","0.0","0.0","0.0","0.0","44.85","123.63","494.54","247.27","449.69","370.9","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","46.04","0.08","0.85","0.0","2.61","0.85","2.21","0.0","0.0","0.0","0.0","47.06","123.63","494.54","247.27","447.48","370.9","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","46.04","0.08","0.82","0.0","2.57","0.82","2.12","0.0","0.0","0.0","0.0","49.17","123.63","494.54","247.27","445.36","370.9","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","46.04","0.08","0.8","0.0","3.42","0.8","2.74","0.0","0.0","0.0","0.0","51.92","123.63","494.54","247.27","442.62","370.9","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","46.04","0.08","0.78","0.0","2.51","0.78","1.96","0.0","0.0","0.0","0.0","53.88","123.63","494.54","247.27","440.66","370.9","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","46.04","0.08","0.76","0.0","2.19","0.76","1.66","0.0","0.0","0.0","0.0","55.54","123.63","494.54","247.27","439.0","370.9","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","46.04","0.08","0.74","0.0","2.2","0.74","1.62","0.0","0.0","0.0","0.0","57.16","123.63","494.54","247.27","437.38","370.9","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","46.04","0.08","0.72","0.0","4.44","0.72","3.18","0.0","0.0","0.0","0.0","60.33","123.63","494.54","247.27","434.2","370.9","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","46.04","0.08","0.69","0.0","3.82","0.69","2.65","0.0","0.0","0.0","0.0","62.98","123.63","494.54","247.27","431.55","370.9","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","46.04","0.08","0.67","0.0","3.38","0.67","2.27","0.0","0.0","0.0","0.0","65.25","123.63","494.54","247.27","429.28","370.9","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","46.04","0.08","0.65","0.0","1.79","0.65","1.16","0.0","0.0","0.0","0.0","66.42","123.63","494.54","247.27","428.12","370.9","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","46.04","1.17","0.0","0.0","1.2","1.17","1.41","9.97","9.97","0.0","0.0","24.75","24.75","494.54","247.27","469.79","469.79","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","46.04","1.13","0.0","0.0","2.18","1.13","2.47","7.72","7.72","0.0","0.0","19.5","24.75","494.54","247.27","475.04","469.79","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","46.04","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","22.93","24.75","494.54","247.27","471.6","469.79","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","46.04","1.05","0.0","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","24.69","24.75","494.54","247.27","469.84","469.79","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","46.04","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","26.43","24.75","494.54","247.27","468.11","469.79","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","46.04","0.86","0.0","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","24.75","24.75","494.54","247.27","469.79","469.79","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","46.04","0.82","0.0","0.0","1.14","0.82","0.93","0.0","0.0","0.0","0.0","25.68","24.75","494.54","247.27","468.86","469.79","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","46.04","1.18","0.0","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","21.25","24.75","494.54","247.27","473.29","469.79","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","46.04","1.17","0.0","0.0","1.29","1.17","1.51","10.75","10.75","0.0","0.0","12.01","24.75","494.54","247.27","482.53","469.79","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","46.04","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","13.42","24.75","494.54","247.27","481.11","469.79","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","46.04","1.17","0.0","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","15.02","24.75","494.54","247.27","479.51","469.79","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","46.04","1.17","0.0","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","16.57","24.75","494.54","247.27","477.97","469.79","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","46.04","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","18.04","24.75","494.54","247.27","476.5","469.79","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","46.04","1.15","0.0","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","18.04","24.75","494.54","247.27","476.5","469.79","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","46.04","1.12","0.0","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","17.51","24.75","494.54","247.27","477.03","469.79","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","46.04","1.14","0.0","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","19.14","24.75","494.54","247.27","475.4","469.79","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","46.04","1.15","0.0","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","20.63","24.75","494.54","247.27","473.91","469.79","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","46.04","1.08","0.0","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","22.05","24.75","494.54","247.27","472.49","469.79","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","46.04","0.97","0.0","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","23.65","24.75","494.54","247.27","470.89","469.79","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","46.04","0.89","0.0","0.0","1.48","0.89","1.32","0.0","0.0","0.0","0.0","24.98","24.75","494.54","247.27","469.56","469.79","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","46.04","0.84","0.0","0.0","1.31","0.84","1.1","0.0","0.0","0.0","0.0","24.75","24.75","494.54","247.27","469.79","469.79","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","46.04","0.79","0.0","0.0","1.51","0.79","1.19","0.0","0.0","0.0","0.0","25.94","24.75","494.54","247.27","468.6","469.79","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","46.04","0.75","0.0","0.0","1.36","0.75","1.02","0.0","0.0","0.0","0.0","24.75","24.75","494.54","247.27","469.79","469.79","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","46.04","0.72","0.0","0.0","1.02","0.72","0.74","1.19","1.19","0.0","0.0","24.3","24.75","494.54","247.27","470.24","469.79","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","46.04","0.68","0.0","0.0","1.78","0.68","1.22","0.0","0.0","0.0","0.0","25.52","24.75","494.54","247.27","469.02","469.79","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","46.04","0.64","0.0","0.0","2.51","0.64","1.6","0.0","0.0","0.0","0.0","24.75","24.75","494.54","247.27","469.79","469.79","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","46.04","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","25.77","24.75","494.54","247.27","468.77","469.79","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","46.04","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","24.75","24.75","494.54","247.27","469.79","469.79","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","46.04","0.58","0.0","0.0","1.02","0.58","0.59","0.0","0.0","0.0","0.0","25.34","24.75","494.54","247.27","469.2","469.79","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","46.04","0.57","0.0","0.0","1.17","0.57","0.66","0.0","0.0","0.0","0.0","24.75","24.75","494.54","247.27","469.79","469.79","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","46.04","0.55","0.0","0.0","1.11","0.55","0.61","0.0","0.0","0.0","0.0","25.36","24.75","494.54","247.27","469.17","469.79","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","46.04","0.54","0.0","0.0","1.12","0.54","0.61","0.0","0.0","0.0","0.0","24.75","24.75","494.54","247.27","469.79","469.79","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","46.04","1.18","0.0","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","18.4","24.75","494.54","247.27","476.14","469.79","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","46.04","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","19.3","24.75","494.54","247.27","475.24","469.79","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","46.04","1.18","0.0","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","20.68","24.75","494.54","247.27","473.85","469.79","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","46.04","1.18","0.0","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","21.71","24.75","494.54","247.27","472.83","469.79","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","46.04","1.18","0.0","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","22.36","24.75","494.54","247.27","472.18","469.79","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","46.04","1.18","0.0","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","23.43","24.75","494.54","247.27","471.11","469.79","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","46.04","1.17","0.0","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","23.29","24.75","494.54","247.27","471.25","469.79","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","46.04","1.18","0.0","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","21.16","24.75","494.54","247.27","473.38","469.79","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","46.04","1.18","0.0","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","22.09","24.75","494.54","247.27","472.45","469.79","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","46.04","1.18","0.0","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","23.55","24.75","494.54","247.27","470.99","469.79","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","46.04","1.16","0.0","0.0","1.53","1.16","1.77","10.75","10.75","0.0","0.0","14.57","24.75","494.54","247.27","479.97","469.79","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","46.04","1.15","0.0","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","16.9","24.75","494.54","247.27","477.63","469.79","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","46.04","1.16","0.0","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","17.89","24.75","494.54","247.27","476.65","469.79","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","46.04","1.17","0.0","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","19.0","24.75","494.54","247.27","475.54","469.79","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","46.04","1.1","0.0","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","20.28","24.75","494.54","247.27","474.26","469.79","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","46.04","1.19","0.0","0.0","0.67","1.19","0.8","9.68","9.68","0.0","0.0","11.39","24.75","494.54","247.27","483.14","469.79","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","46.04","1.2","0.0","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","11.62","24.75","494.54","247.27","482.91","469.79","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","46.04","1.2","0.0","0.0","0.58","1.2","0.69","5.03","5.03","0.0","0.0","7.29","24.75","494.54","247.27","487.25","469.79","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","46.04","1.18","0.0","0.0","1.08","1.18","1.27","4.97","4.97","0.0","0.0","3.59","24.75","494.54","247.27","490.95","469.79","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","46.04","1.17","0.0","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","5.08","24.75","494.54","247.27","489.46","469.79","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","46.04","1.18","0.0","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","6.15","24.75","494.54","247.27","488.38","469.79","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","46.04","1.18","0.0","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","6.14","24.75","494.54","247.27","488.4","469.79","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","46.04","1.17","0.0","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","7.97","24.75","494.54","247.27","486.57","469.79","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","46.04","1.12","0.0","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","8.62","24.75","494.54","247.27","485.92","469.79","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","46.04","1.06","0.0","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","8.8","24.75","494.54","247.27","485.74","469.79","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","46.04","1.0","0.0","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","9.74","24.75","494.54","247.27","484.8","469.79","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","46.04","0.95","0.0","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","10.48","24.75","494.54","247.27","484.05","469.79","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","46.04","0.9","0.0","0.0","1.09","0.9","0.98","0.0","0.0","0.0","0.0","11.46","24.75","494.54","247.27","483.07","469.79","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","46.04","0.84","0.0","0.0","1.45","0.84","1.22","0.0","0.0","0.0","0.0","12.68","24.75","494.54","247.27","481.86","469.79","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","46.04","0.8","0.0","0.0","1.22","0.8","0.97","0.0","0.0","0.0","0.0","13.65","24.75","494.54","247.27","480.89","469.79","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","46.04","0.76","0.0","0.0","1.21","0.76","0.92","0.0","0.0","0.0","0.0","14.57","24.75","494.54","247.27","479.97","469.79","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","46.04","0.74","0.0","0.0","0.87","0.74","0.64","0.17","0.17","0.0","0.0","15.04","24.75","494.54","247.27","479.49","469.79","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","46.04","1.19","0.0","0.0","0.85","1.19","1.01","18.14","16.05","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","46.04","1.19","0.0","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","46.04","1.2","0.0","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","46.04","1.2","0.0","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","24.75","494.54","247.27","493.87","469.79","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","46.04","1.19","0.0","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","46.04","1.18","0.0","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","46.04","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","24.75","494.54","247.27","493.38","469.79","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","46.04","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","24.75","494.54","247.27","492.21","469.79","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","46.04","1.17","0.0","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","46.04","1.19","0.0","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","46.04","1.19","0.0","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","46.04","1.19","0.0","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","46.04","1.19","0.0","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","46.04","1.17","0.0","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","46.04","1.17","0.0","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","46.04","1.18","0.0","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","46.04","1.18","0.0","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","24.75","494.54","247.27","493.22","469.79","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","46.04","1.18","0.0","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","24.75","494.54","247.27","492.91","469.79","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","46.04","1.16","0.0","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","46.04","1.18","0.0","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","24.75","494.54","247.27","494.54","469.79","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","46.04","1.17","0.0","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","24.75","494.54","247.27","493.52","469.79","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","46.04","1.18","0.0","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","24.75","494.54","247.27","492.33","469.79","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","46.04","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","24.75","494.54","247.27","490.69","469.79","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","46.04","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","24.75","494.54","247.27","489.64","469.79","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","46.04","1.1","0.0","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","24.75","494.54","247.27","488.8","469.79","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","46.04","1.16","0.0","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","24.75","494.54","247.27","493.03","469.79","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","46.04","1.14","0.0","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","24.75","494.54","247.27","490.27","469.79","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","46.04","1.08","0.0","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","24.75","494.54","247.27","487.47","469.79","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","46.04","1.01","0.0","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","24.75","494.54","247.27","486.4","469.79","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","46.04","0.95","0.0","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","24.75","494.54","247.27","486.25","469.79","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","46.04","0.88","0.0","0.0","1.53","0.88","1.34","0.02","0.02","0.0","0.0","9.61","24.75","494.54","247.27","484.93","469.79","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","46.04","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","10.75","24.75","494.54","247.27","483.79","469.79","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","46.04","0.77","0.0","0.0","1.63","0.77","1.26","0.0","0.0","0.0","0.0","12.01","24.75","494.54","247.27","482.53","469.79","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","46.04","0.72","0.0","0.0","1.96","0.72","1.41","0.0","0.0","0.0","0.0","13.41","24.75","494.54","247.27","481.12","469.79","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","46.04","0.67","0.0","0.0","2.08","0.67","1.4","0.0","0.0","0.0","0.0","14.81","24.75","494.54","247.27","479.72","469.79","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","46.04","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","16.06","24.75","494.54","247.27","478.48","469.79","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","46.04","0.61","0.0","0.0","1.91","0.61","1.16","0.0","0.0","0.0","0.0","17.22","24.75","494.54","247.27","477.32","469.79","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","46.04","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","18.25","24.75","494.54","247.27","476.29","469.79","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","46.04","0.56","0.0","0.0","1.83","0.56","1.03","0.0","0.0","0.0","0.0","19.28","24.75","494.54","247.27","475.26","469.79","0.0","","","","","","",""
