" Daily soil water balance output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","226.18","0.08","0.8","0.0","3.87","0.8","3.1","0.0","0.0","0.0","0.0","25.38","30.52","128.0","64.0","102.62","97.48","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","226.18","0.08","0.8","0.0","3.06","0.8","2.45","0.56","0.56","0.0","0.0","27.26","30.52","128.0","64.0","100.74","97.48","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","226.18","0.08","0.8","0.0","2.56","0.8","2.05","0.0","0.0","0.0","0.0","29.31","30.52","128.0","64.0","98.69","97.48","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","226.18","0.08","0.8","0.0","2.61","0.8","2.09","0.0","0.0","0.0","0.0","0.0","30.52","128.0","64.0","128.0","97.48","31.4","","","","","","",""
"2015.0","10.0","20.0","293.0","226.18","0.08","0.8","0.0","4.53","0.8","3.62","0.0","0.0","0.0","0.0","3.62","30.52","128.0","64.0","124.38","97.48","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","226.18","0.08","0.8","0.0","3.6","0.8","2.88","0.0","0.0","0.0","0.0","6.5","30.52","128.0","64.0","121.5","97.48","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","226.18","0.08","0.8","0.0","3.07","0.8","2.46","0.0","0.0","0.0","0.0","8.96","30.52","128.0","64.0","119.04","97.48","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","226.18","0.08","0.8","0.0","2.6","0.8","2.08","0.0","0.0","0.0","0.0","11.04","30.52","128.0","64.0","116.96","97.48","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","226.18","0.08","0.8","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","13.03","30.52","128.0","64.0","114.97","97.48","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","226.18","0.08","0.8","0.0","3.3","0.8","2.64","0.0","0.0","0.0","0.0","15.67","30.52","128.0","64.0","112.33","97.48","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","226.18","0.08","0.8","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","17.65","30.52","128.0","64.0","110.35","97.48","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","226.18","0.08","0.8","0.0","2.1","0.8","1.68","0.0","0.0","0.0","0.0","19.33","30.52","128.0","64.0","108.67","97.48","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","226.18","0.08","0.8","0.0","2.22","0.8","1.78","0.0","0.0","0.0","0.0","21.1","30.52","128.0","64.0","106.9","97.48","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","226.18","0.08","0.8","0.0","4.4","0.8","3.52","0.0","0.0","0.0","0.0","24.62","30.52","128.0","64.0","103.38","97.48","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","226.18","0.08","0.8","0.0","3.72","0.8","2.98","0.0","0.0","0.0","0.0","27.6","30.52","128.0","64.0","100.4","97.48","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","226.18","0.08","0.8","0.0","3.28","0.8","2.62","0.0","0.0","0.0","0.0","30.22","30.52","128.0","64.0","97.78","97.48","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","226.18","0.08","0.8","0.0","1.93","0.8","1.54","0.0","0.0","0.0","0.0","0.0","30.52","128.0","64.0","128.0","97.48","31.77","","","","","","",""
"2015.0","11.0","2.0","306.0","226.18","1.17","0.8","0.0","1.25","1.17","1.46","8.26","1.46","0.0","0.0","0.0","30.52","128.0","64.0","128.0","97.48","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","226.18","1.13","0.8","0.0","2.21","1.13","2.5","10.52","2.5","0.0","0.0","0.0","30.52","128.0","64.0","128.0","97.48","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","226.18","1.11","0.8","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","3.43","30.52","128.0","64.0","124.57","97.48","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","226.18","1.05","0.8","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","5.19","30.52","128.0","64.0","122.81","97.48","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","226.18","0.93","0.8","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","6.93","30.52","128.0","64.0","121.07","97.48","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","226.18","0.86","0.8","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","8.33","30.52","128.0","64.0","119.67","97.48","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","226.18","0.81","0.8","0.0","1.16","0.81","0.94","0.0","0.0","0.0","0.0","9.28","30.52","128.0","64.0","118.72","97.48","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","226.18","1.18","0.8","0.0","0.99","1.18","1.17","3.06","3.06","0.0","0.0","7.39","30.52","128.0","64.0","120.61","97.48","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","226.18","1.17","0.8","0.0","1.3","1.17","1.52","9.92","8.9","0.0","0.0","0.0","30.52","128.0","64.0","128.0","97.48","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","226.18","1.17","0.8","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","1.4","30.52","128.0","64.0","126.6","97.48","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","226.18","1.17","0.8","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","3.02","30.52","128.0","64.0","124.98","97.48","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","226.18","1.17","0.8","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","4.56","30.52","128.0","64.0","123.44","97.48","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","226.18","1.1","0.8","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","6.02","30.52","128.0","64.0","121.98","97.48","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","226.18","0.97","0.8","0.0","1.81","0.97","1.76","0.67","0.67","0.0","0.0","7.11","30.52","128.0","64.0","120.89","97.48","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","226.18","1.11","0.8","0.0","2.65","1.11","2.95","3.39","3.39","0.0","0.0","6.67","30.52","128.0","64.0","121.33","97.48","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","226.18","1.14","0.8","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","8.32","30.52","128.0","64.0","119.68","97.48","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","226.18","1.15","0.8","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","9.82","30.52","128.0","64.0","118.18","97.48","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","226.18","1.08","0.8","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","11.24","30.52","128.0","64.0","116.76","97.48","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","226.18","0.97","0.8","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","12.82","30.52","128.0","64.0","115.18","97.48","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","226.18","0.89","0.8","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","14.12","30.52","128.0","64.0","113.88","97.48","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","226.18","0.84","0.8","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","15.19","30.52","128.0","64.0","112.81","97.48","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","226.18","0.79","0.8","0.0","1.43","0.8","1.14","0.0","0.0","0.0","0.0","16.34","30.52","128.0","64.0","111.66","97.48","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","226.18","0.75","0.8","0.0","1.37","0.8","1.1","0.0","0.0","0.0","0.0","17.43","30.52","128.0","64.0","110.57","97.48","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","226.18","0.72","0.8","0.0","1.05","0.8","0.84","1.43","1.43","0.0","0.0","16.84","30.52","128.0","64.0","111.16","97.48","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","226.18","0.68","0.8","0.0","1.76","0.8","1.41","0.0","0.0","0.0","0.0","18.25","30.52","128.0","64.0","109.75","97.48","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","226.18","0.64","0.8","0.0","2.44","0.8","1.95","0.0","0.0","0.0","0.0","20.2","30.52","128.0","64.0","107.8","97.48","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","226.18","0.61","0.8","0.0","1.67","0.8","1.34","0.0","0.0","0.0","0.0","21.54","30.52","128.0","64.0","106.46","97.48","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","226.18","0.59","0.8","0.0","1.37","0.8","1.1","0.0","0.0","0.0","0.0","22.64","30.52","128.0","64.0","105.36","97.48","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","226.18","0.58","0.8","0.0","0.99","0.8","0.79","0.0","0.0","0.0","0.0","23.43","30.52","128.0","64.0","104.57","97.48","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","226.18","0.57","0.8","0.0","1.18","0.8","0.94","0.0","0.0","0.0","0.0","24.37","30.52","128.0","64.0","103.63","97.48","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","226.18","0.55","0.8","0.0","1.12","0.8","0.9","0.0","0.0","0.0","0.0","25.27","30.52","128.0","64.0","102.73","97.48","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","226.18","0.54","0.8","0.0","1.06","0.8","0.85","0.0","0.0","0.0","0.0","26.12","32.0","128.0","64.0","101.88","96.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","226.18","1.18","0.8","0.0","0.99","1.18","1.17","7.02","7.02","0.0","0.0","20.27","32.0","128.0","64.0","107.73","96.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","226.18","1.19","0.8","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","21.12","32.0","128.0","64.0","106.88","96.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","226.18","1.18","0.8","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","22.47","32.0","128.0","64.0","105.53","96.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","226.18","1.18","0.8","0.0","0.89","1.18","1.05","0.03","0.03","0.0","0.0","23.49","32.0","128.0","64.0","104.51","96.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","226.18","1.19","0.8","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","24.14","32.0","128.0","64.0","103.86","96.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","226.18","1.19","0.8","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","25.21","32.0","128.0","64.0","102.79","96.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","226.18","1.17","0.8","0.0","1.36","1.17","1.59","1.81","1.81","0.0","0.0","24.98","32.0","128.0","64.0","103.02","96.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","226.18","1.18","0.8","0.0","1.08","1.18","1.27","5.57","5.57","0.0","0.0","20.68","32.0","128.0","64.0","107.32","96.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","226.18","1.18","0.8","0.0","0.83","1.18","0.98","0.26","0.26","0.0","0.0","21.41","32.0","128.0","64.0","106.59","96.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","226.18","1.18","0.8","0.0","1.29","1.18","1.52","0.11","0.11","0.0","0.0","22.81","32.0","128.0","64.0","105.19","96.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","226.18","1.16","0.8","0.0","1.57","1.16","1.82","10.76","10.76","0.0","0.0","13.87","32.0","128.0","64.0","114.13","96.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","226.18","1.15","0.8","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","16.17","32.0","128.0","64.0","111.83","96.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","226.18","1.16","0.8","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","17.17","32.0","128.0","64.0","110.83","96.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","226.18","1.17","0.8","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","18.25","32.0","128.0","64.0","109.75","96.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","226.18","1.11","0.8","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","19.47","32.0","128.0","64.0","108.53","96.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","226.18","1.19","0.8","0.0","0.72","1.19","0.86","7.24","7.24","0.0","0.0","13.09","32.0","128.0","64.0","114.91","96.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","226.18","1.2","0.8","0.0","0.55","1.2","0.66","0.77","0.77","0.0","0.0","12.97","32.0","128.0","64.0","115.03","96.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","226.18","1.2","0.8","0.0","0.59","1.2","0.71","5.55","5.55","0.0","0.0","8.13","32.0","128.0","64.0","119.87","96.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","226.18","1.17","0.8","0.0","1.14","1.17","1.34","7.23","7.23","0.0","0.0","2.24","32.0","128.0","64.0","125.76","96.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","226.18","1.17","0.8","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","3.84","32.0","128.0","64.0","124.16","96.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","226.18","1.17","0.8","0.0","1.02","1.17","1.2","0.33","0.33","0.0","0.0","4.71","32.0","128.0","64.0","123.29","96.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","226.18","1.19","0.8","0.0","0.87","1.19","1.03","2.87","2.87","0.0","0.0","2.87","32.0","128.0","64.0","125.13","96.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","226.18","1.17","0.8","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","4.66","32.0","128.0","64.0","123.34","96.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","226.18","1.18","0.8","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","5.33","32.0","128.0","64.0","122.67","96.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","226.18","1.18","0.8","0.0","0.72","1.18","0.85","0.88","0.88","0.0","0.0","5.31","32.0","128.0","64.0","122.69","96.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","226.18","1.18","0.8","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","6.39","32.0","128.0","64.0","121.61","96.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","226.18","1.18","0.8","0.0","0.75","1.18","0.89","0.0","0.0","0.0","0.0","7.28","32.0","128.0","64.0","120.72","96.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","226.18","1.12","0.8","0.0","1.05","1.12","1.17","0.0","0.0","0.0","0.0","8.45","32.0","128.0","64.0","119.55","96.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","226.18","1.01","0.8","0.0","1.4","1.01","1.41","0.0","0.0","0.0","0.0","9.86","32.0","128.0","64.0","118.14","96.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","226.18","0.94","0.8","0.0","1.2","0.94","1.13","0.0","0.0","0.0","0.0","10.99","30.76","128.0","64.0","117.01","97.24","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","226.18","0.88","0.8","0.0","1.18","0.88","1.04","0.0","0.0","0.0","0.0","12.03","30.76","128.0","64.0","115.97","97.24","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","226.18","0.85","0.8","0.0","0.87","0.85","0.74","0.21","0.21","0.0","0.0","12.56","30.76","128.0","64.0","115.44","97.24","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","226.18","1.19","0.8","0.0","0.84","1.19","1.0","14.73","13.56","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","226.18","1.19","0.8","0.0","0.82","1.19","0.97","15.06","0.97","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","226.18","1.2","0.8","0.0","0.6","1.2","0.72","14.78","0.72","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","226.18","1.2","0.8","0.0","0.64","1.2","0.76","0.0","0.0","0.0","0.0","0.76","30.76","128.0","64.0","127.24","97.24","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","226.18","1.19","0.8","0.0","0.81","1.19","0.96","2.05","1.73","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","226.18","1.18","0.8","0.0","0.9","1.18","1.07","1.35","1.07","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","226.18","1.18","0.8","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","30.76","128.0","64.0","126.86","97.24","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","226.18","1.18","0.8","0.0","0.94","1.18","1.11","0.0","0.0","0.0","0.0","2.25","30.76","128.0","64.0","125.75","97.24","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","226.18","1.17","0.8","0.0","1.31","1.17","1.53","3.8","3.78","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","226.18","1.19","0.8","0.0","0.66","1.19","0.79","2.17","0.79","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","226.18","1.19","0.8","0.0","0.82","1.19","0.97","3.11","0.97","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","226.18","1.19","0.8","0.0","0.81","1.19","0.96","6.82","0.96","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","226.18","1.19","0.8","0.0","0.78","1.19","0.93","2.4","0.93","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","226.18","1.17","0.8","0.0","1.14","1.17","1.34","30.4","1.34","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","226.18","1.17","0.8","0.0","1.28","1.17","1.5","4.51","1.5","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","226.18","1.18","0.8","0.0","1.02","1.18","1.2","18.83","1.2","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","226.18","1.18","0.8","0.0","1.07","1.18","1.26","0.01","0.01","0.0","0.0","1.25","30.76","128.0","64.0","126.75","97.24","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","226.18","1.18","0.8","0.0","1.1","1.18","1.3","0.26","0.26","0.0","0.0","2.29","30.76","128.0","64.0","125.71","97.24","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","226.18","1.16","0.8","0.0","1.42","1.16","1.65","10.6","3.94","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","226.18","1.18","0.8","0.0","1.12","1.18","1.32","1.61","1.32","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","226.18","1.17","0.8","0.0","1.17","1.17","1.37","0.03","0.03","0.0","0.0","1.34","30.76","128.0","64.0","126.66","97.24","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","226.18","1.18","0.8","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.53","30.76","128.0","64.0","125.47","97.24","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","226.18","1.17","0.8","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","30.76","128.0","64.0","123.9","97.24","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","226.18","1.18","0.8","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","30.76","128.0","64.0","122.85","97.24","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","226.18","1.1","0.8","0.0","1.01","1.1","1.11","0.15","0.15","0.0","0.0","6.11","30.76","128.0","64.0","121.89","97.24","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","226.18","1.16","0.8","0.0","1.55","1.16","1.79","6.06","6.06","0.0","0.0","1.85","30.76","128.0","64.0","126.15","97.24","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","226.18","1.14","0.8","0.0","2.42","1.14","2.76","0.12","0.12","0.0","0.0","4.49","30.76","128.0","64.0","123.51","97.24","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","226.18","1.08","0.8","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.3","30.76","128.0","64.0","120.7","97.24","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","226.18","1.01","0.8","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.38","30.76","128.0","64.0","119.62","97.24","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","226.18","0.95","0.8","0.0","1.04","0.95","0.98","0.49","0.49","0.0","0.0","8.87","30.76","128.0","64.0","119.13","97.24","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","226.18","0.87","0.8","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.18","30.76","128.0","64.0","117.82","97.24","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","226.18","0.82","0.8","0.0","1.37","0.82","1.13","0.0","0.0","0.0","0.0","11.3","30.76","128.0","64.0","116.7","97.24","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","226.18","0.77","0.8","0.0","1.6","0.8","1.28","0.0","0.0","0.0","0.0","12.58","30.76","128.0","64.0","115.42","97.24","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","226.18","0.72","0.8","0.0","1.91","0.8","1.53","0.0","0.0","0.0","0.0","14.11","30.76","128.0","64.0","113.89","97.24","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","226.18","0.67","0.8","0.0","2.05","0.8","1.64","0.0","0.0","0.0","0.0","15.75","30.76","128.0","64.0","112.25","97.24","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","226.18","0.64","0.8","0.0","1.92","0.8","1.54","0.0","0.0","0.0","0.0","17.29","30.76","128.0","64.0","110.71","97.24","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","226.18","0.61","0.8","0.0","1.88","0.8","1.5","0.0","0.0","0.0","0.0","18.79","30.76","128.0","64.0","109.21","97.24","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","226.18","0.59","0.8","0.0","1.72","0.8","1.38","0.0","0.0","0.0","0.0","20.17","30.76","128.0","64.0","107.83","97.24","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","226.18","0.56","0.8","0.0","1.79","0.8","1.43","0.0","0.0","0.0","0.0","21.6","30.76","128.0","64.0","106.4","97.24","0.0","","","","","","",""
