" Daily soil water balance output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","300.9","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","300.9","0.08","0.0","0.0","3.05","0.08","0.25","0.14","0.14","0.0","0.0","25.61","25.5","336.8","168.4","311.19","311.3","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","300.9","0.08","0.0","0.0","2.6","0.08","0.22","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","300.9","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","25.72","25.5","336.8","168.4","311.08","311.3","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","300.9","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","300.9","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","25.78","25.5","336.8","168.4","311.02","311.3","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","300.9","0.08","0.0","0.0","2.98","0.08","0.25","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","300.9","0.08","0.0","0.0","2.63","0.08","0.22","0.0","0.0","0.0","0.0","25.72","25.5","336.8","168.4","311.09","311.3","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","300.9","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","300.9","0.08","0.0","0.0","3.16","0.08","0.26","0.0","0.0","0.0","0.0","25.76","25.5","336.8","168.4","311.04","311.3","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","300.9","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","300.9","0.08","0.0","0.0","2.07","0.08","0.17","0.0","0.0","0.0","0.0","25.67","25.5","336.8","168.4","311.13","311.3","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","300.9","0.08","0.0","0.0","2.25","0.08","0.18","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","300.9","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","25.85","25.5","336.8","168.4","310.96","311.3","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","300.9","0.08","0.0","0.0","3.56","0.08","0.29","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","300.9","0.08","0.0","0.0","3.17","0.08","0.26","0.0","0.0","0.0","0.0","25.76","25.5","336.8","168.4","311.05","311.3","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","300.9","0.08","0.0","0.0","2.2","0.08","0.18","1.35","1.35","0.0","0.0","24.41","25.5","336.8","168.4","312.4","311.3","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","300.9","1.17","0.0","0.0","1.25","1.17","1.46","16.49","16.49","0.0","0.0","9.38","25.5","336.8","168.4","327.42","311.3","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","300.9","1.13","0.0","0.0","2.17","1.13","2.46","8.53","8.53","0.0","0.0","3.31","25.5","336.8","168.4","333.49","311.3","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","300.9","1.12","0.0","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","6.7","25.5","336.8","168.4","330.1","311.3","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","300.9","1.05","0.0","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","8.5","25.5","336.8","168.4","328.31","311.3","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","300.9","0.93","0.0","0.0","1.89","0.93","1.76","0.0","0.0","0.0","0.0","10.26","25.5","336.8","168.4","326.55","311.3","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","300.9","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","11.67","25.5","336.8","168.4","325.13","311.3","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","300.9","0.81","0.0","0.0","1.2","0.81","0.98","0.07","0.07","0.0","0.0","12.58","25.5","336.8","168.4","324.22","311.3","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","300.9","1.18","0.0","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","8.45","25.5","336.8","168.4","328.36","311.3","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","300.9","1.17","0.0","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","4.72","25.5","336.8","168.4","332.08","311.3","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","300.9","1.17","0.0","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","6.15","25.5","336.8","168.4","330.65","311.3","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","300.9","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","7.79","25.5","336.8","168.4","329.02","311.3","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","300.9","1.17","0.0","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","9.36","25.5","336.8","168.4","327.44","311.3","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","300.9","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","10.83","25.5","336.8","168.4","325.97","311.3","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","300.9","1.14","0.0","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","11.03","25.5","336.8","168.4","325.77","311.3","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","300.9","1.13","0.0","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","12.65","25.5","336.8","168.4","324.15","311.3","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","300.9","1.13","0.0","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","14.28","25.5","336.8","168.4","322.52","311.3","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","300.9","1.03","0.0","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","15.63","25.5","336.8","168.4","321.18","311.3","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","300.9","0.95","0.0","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","16.89","25.5","336.8","168.4","319.92","311.3","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","300.9","0.87","0.0","0.0","1.59","0.87","1.38","0.0","0.0","0.0","0.0","18.27","25.5","336.8","168.4","318.54","311.3","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","300.9","0.81","0.0","0.0","1.47","0.81","1.2","0.0","0.0","0.0","0.0","19.46","25.5","336.8","168.4","317.34","311.3","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","300.9","0.77","0.0","0.0","1.3","0.77","1.01","0.0","0.0","0.0","0.0","20.47","25.5","336.8","168.4","316.33","311.3","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","300.9","0.74","0.0","0.0","1.35","0.74","0.99","0.0","0.0","0.0","0.0","21.46","25.5","336.8","168.4","315.34","311.3","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","300.9","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","22.44","25.5","336.8","168.4","314.37","311.3","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","300.9","1.18","0.0","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","21.31","25.5","336.8","168.4","315.49","311.3","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","300.9","1.17","0.0","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","23.18","25.5","336.8","168.4","313.62","311.3","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","300.9","1.16","0.0","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","25.7","25.5","336.8","168.4","311.1","311.3","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","300.9","1.1","0.0","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","300.9","1.0","0.0","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","26.86","25.5","336.8","168.4","309.94","311.3","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","300.9","0.94","0.0","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","300.9","0.88","0.0","0.0","1.24","0.88","1.1","0.0","0.0","0.0","0.0","26.6","25.5","336.8","168.4","310.21","311.3","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","300.9","0.84","0.0","0.0","1.15","0.84","0.96","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","300.9","0.8","0.0","0.0","1.15","0.8","0.92","0.0","0.0","0.0","0.0","26.42","25.5","336.8","168.4","310.39","311.3","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","300.9","1.18","0.0","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","22.42","25.5","336.8","168.4","314.39","311.3","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","300.9","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","23.28","25.5","336.8","168.4","313.52","311.3","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","300.9","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","24.74","25.5","336.8","168.4","312.07","311.3","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","300.9","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","25.82","25.5","336.8","168.4","310.98","311.3","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","300.9","1.18","0.0","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","300.9","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","26.67","25.5","336.8","168.4","310.13","311.3","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","300.9","1.17","0.0","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","25.16","25.5","336.8","168.4","311.64","311.3","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","300.9","1.18","0.0","0.0","1.12","1.18","1.32","8.07","8.07","0.0","0.0","18.41","25.5","336.8","168.4","318.4","311.3","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","300.9","1.18","0.0","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","19.28","25.5","336.8","168.4","317.53","311.3","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","300.9","1.18","0.0","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","20.85","25.5","336.8","168.4","315.95","311.3","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","300.9","1.15","0.0","0.0","1.64","1.15","1.89","10.97","10.97","0.0","0.0","11.78","25.5","336.8","168.4","325.03","311.3","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","300.9","1.15","0.0","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","13.89","25.5","336.8","168.4","322.91","311.3","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","300.9","1.16","0.0","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","14.97","25.5","336.8","168.4","321.83","311.3","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","300.9","1.17","0.0","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","16.09","25.5","336.8","168.4","320.71","311.3","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","300.9","1.1","0.0","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","17.34","25.5","336.8","168.4","319.47","311.3","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","300.9","1.19","0.0","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","13.66","25.5","336.8","168.4","323.15","311.3","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","300.9","1.2","0.0","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","12.77","25.5","336.8","168.4","324.04","311.3","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","300.9","1.19","0.0","0.0","0.65","1.19","0.78","2.49","2.49","0.0","0.0","11.05","25.5","336.8","168.4","325.75","311.3","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","300.9","1.17","0.0","0.0","1.22","1.17","1.43","12.67","12.48","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","300.9","1.17","0.0","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","1.31","25.5","336.8","168.4","335.49","311.3","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","300.9","1.17","0.0","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","1.94","25.5","336.8","168.4","334.86","311.3","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","300.9","1.18","0.0","0.0","0.91","1.18","1.08","4.58","3.02","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","300.9","1.17","0.0","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","1.7","25.5","336.8","168.4","335.1","311.3","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","300.9","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","2.39","25.5","336.8","168.4","334.42","311.3","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","300.9","1.19","0.0","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","1.42","25.5","336.8","168.4","335.38","311.3","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","300.9","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","2.53","25.5","336.8","168.4","334.28","311.3","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","300.9","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","3.44","25.5","336.8","168.4","333.36","311.3","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","300.9","1.19","0.0","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","4.64","25.5","336.8","168.4","332.16","311.3","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","300.9","1.18","0.0","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","6.16","25.5","336.8","168.4","330.64","311.3","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","300.9","1.17","0.0","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","7.48","25.5","336.8","168.4","329.32","311.3","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","300.9","1.07","0.0","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","8.71","25.5","336.8","168.4","328.09","311.3","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","300.9","1.18","0.0","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","5.77","25.5","336.8","168.4","331.03","311.3","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","300.9","1.19","0.0","0.0","0.87","1.19","1.03","14.96","6.81","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","300.9","1.19","0.0","0.0","0.83","1.19","0.99","12.99","0.99","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","300.9","1.19","0.0","0.0","0.63","1.19","0.75","8.15","0.75","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","300.9","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","25.5","336.8","168.4","335.98","311.3","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","300.9","1.19","0.0","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","1.28","25.5","336.8","168.4","335.52","311.3","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","300.9","1.18","0.0","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","1.31","25.5","336.8","168.4","335.49","311.3","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","300.9","1.18","0.0","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","2.25","25.5","336.8","168.4","334.56","311.3","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","300.9","1.18","0.0","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","2.15","25.5","336.8","168.4","334.65","311.3","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","300.9","1.17","0.0","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","2.27","25.5","336.8","168.4","334.54","311.3","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","300.9","1.19","0.0","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","1.18","25.5","336.8","168.4","335.62","311.3","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","300.9","1.18","0.0","0.0","0.95","1.18","1.12","3.95","2.31","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","300.9","1.18","0.0","0.0","0.88","1.18","1.04","6.37","1.04","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","300.9","1.19","0.0","0.0","0.77","1.19","0.92","9.38","0.92","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","300.9","1.17","0.0","0.0","1.17","1.17","1.37","28.89","1.37","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","300.9","1.17","0.0","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","300.9","1.18","0.0","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","300.9","1.18","0.0","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","25.5","336.8","168.4","336.24","311.3","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","300.9","1.18","0.0","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","300.9","1.16","0.0","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","300.9","1.17","0.0","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","25.5","336.8","168.4","336.37","311.3","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","300.9","1.17","0.0","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","25.5","336.8","168.4","335.11","311.3","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","300.9","1.17","0.0","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","25.5","336.8","168.4","333.84","311.3","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","300.9","1.15","0.0","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","25.5","336.8","168.4","332.35","311.3","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","300.9","1.07","0.0","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","25.5","336.8","168.4","331.37","311.3","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","300.9","1.18","0.0","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","25.5","336.8","168.4","332.08","311.3","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","300.9","1.16","0.0","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","25.5","336.8","168.4","333.99","311.3","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","300.9","1.13","0.0","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","25.5","336.8","168.4","334.28","311.3","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","300.9","1.12","0.0","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","25.5","336.8","168.4","331.67","311.3","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","300.9","1.12","0.0","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","25.5","336.8","168.4","330.59","311.3","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","300.9","1.04","0.0","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","25.5","336.8","168.4","329.48","311.3","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","300.9","0.95","0.0","0.0","1.47","0.95","1.39","0.0","0.0","0.0","0.0","8.72","25.5","336.8","168.4","328.09","311.3","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","300.9","0.88","0.0","0.0","1.4","0.88","1.23","0.0","0.0","0.0","0.0","9.95","25.5","336.8","168.4","326.85","311.3","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","300.9","0.82","0.0","0.0","1.6","0.82","1.31","0.0","0.0","0.0","0.0","11.26","25.5","336.8","168.4","325.55","311.3","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","300.9","0.76","0.0","0.0","1.88","0.76","1.42","0.0","0.0","0.0","0.0","12.68","25.5","336.8","168.4","324.12","311.3","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","300.9","0.71","0.0","0.0","2.02","0.71","1.43","0.0","0.0","0.0","0.0","14.11","25.5","336.8","168.4","322.69","311.3","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","300.9","0.67","0.0","0.0","1.96","0.67","1.3","0.0","0.0","0.0","0.0","15.41","25.5","336.8","168.4","321.39","311.3","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","300.9","0.63","0.0","0.0","1.92","0.63","1.21","0.0","0.0","0.0","0.0","16.63","25.5","336.8","168.4","320.18","311.3","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","300.9","0.61","0.0","0.0","1.75","0.61","1.06","0.0","0.0","0.0","0.0","17.69","25.5","336.8","168.4","319.12","311.3","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","300.9","0.58","0.0","0.0","1.85","0.58","1.07","0.0","0.0","0.0","0.0","18.76","25.5","336.8","168.4","318.04","311.3","0.0","","","","","","",""
