" Daily soil water balance output for Olives in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Olives in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","1418.65","0.08","0.7","0.0","3.87","0.7","2.71","0.0","0.0","0.0","0.0","50.32","87.15","395.02","197.51","344.7","307.87","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","1418.65","0.08","0.7","0.0","3.07","0.7","2.15","0.46","0.46","0.0","0.0","52.01","87.15","395.02","197.51","343.01","307.87","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","1418.65","0.08","0.7","0.0","2.72","0.7","1.9","0.25","0.25","0.0","0.0","53.66","87.15","395.02","197.51","341.36","307.87","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","1418.65","0.08","0.7","0.0","2.76","0.7","1.93","0.0","0.0","0.0","0.0","55.6","87.15","395.02","197.51","339.42","307.87","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","1418.65","0.08","0.7","0.0","4.23","0.7","2.96","0.0","0.0","0.0","0.0","58.56","98.76","395.02","197.51","336.46","296.27","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","1418.65","0.08","0.7","0.0","3.4","0.7","2.38","0.0","0.0","0.0","0.0","60.94","98.76","395.02","197.51","334.08","296.27","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","1418.65","0.08","0.7","0.0","3.1","0.7","2.17","0.0","0.0","0.0","0.0","63.11","98.76","395.02","197.51","331.91","296.27","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","1418.65","0.08","0.7","0.0","2.7","0.7","1.89","0.0","0.0","0.0","0.0","65.0","98.76","395.02","197.51","330.02","296.27","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","1418.65","0.08","0.7","0.0","2.55","0.7","1.79","0.0","0.0","0.0","0.0","66.78","98.76","395.02","197.51","328.24","296.27","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","1418.65","0.08","0.7","0.0","3.28","0.7","2.3","0.0","0.0","0.0","0.0","69.08","98.76","395.02","197.51","325.94","296.27","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","1418.65","0.08","0.7","0.0","2.56","0.7","1.79","0.0","0.0","0.0","0.0","70.87","98.76","395.02","197.51","324.15","296.27","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","1418.65","0.08","0.7","0.0","2.18","0.7","1.53","0.0","0.0","0.0","0.0","72.4","98.76","395.02","197.51","322.62","296.27","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","1418.65","0.08","0.7","0.0","2.28","0.7","1.6","0.11","0.11","0.0","0.0","73.88","98.76","395.02","197.51","321.14","296.27","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","1418.65","0.08","0.7","0.0","4.38","0.7","3.07","0.0","0.0","0.0","0.0","76.95","98.76","395.02","197.51","318.07","296.27","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","1418.65","0.08","0.7","0.0","3.64","0.7","2.55","0.0","0.0","0.0","0.0","79.5","98.76","395.02","197.51","315.52","296.27","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","1418.65","0.08","0.7","0.0","3.24","0.7","2.27","0.0","0.0","0.0","0.0","81.76","98.76","395.02","197.51","313.26","296.27","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","1418.65","0.08","0.7","0.0","2.27","0.7","1.59","0.0","0.0","0.0","0.0","83.35","98.76","395.02","197.51","311.67","296.27","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","1418.65","1.17","0.7","0.0","1.22","1.17","1.43","13.87","13.87","0.0","0.0","70.91","98.76","395.02","197.51","324.11","296.27","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","1418.65","1.14","0.7","0.0","2.1","1.14","2.39","10.1","10.1","0.0","0.0","63.2","98.76","395.02","197.51","331.82","296.27","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","1418.65","1.12","0.7","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","66.61","98.76","395.02","197.51","328.41","296.27","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","1418.65","1.05","0.7","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","68.43","98.76","395.02","197.51","326.59","296.27","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","1418.65","0.93","0.7","0.0","1.87","0.93","1.75","0.0","0.0","0.0","0.0","70.18","98.76","395.02","197.51","324.84","296.27","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","1418.65","0.86","0.7","0.0","1.66","0.86","1.43","0.0","0.0","0.0","0.0","71.61","98.76","395.02","197.51","323.41","296.27","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","1418.65","0.81","0.7","0.0","1.24","0.81","1.01","0.0","0.0","0.0","0.0","72.62","98.76","395.02","197.51","322.4","296.27","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","1418.65","1.18","0.7","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","69.67","98.76","395.02","197.51","325.35","296.27","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","1418.65","1.17","0.7","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","63.32","98.76","395.02","197.51","331.7","296.27","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","1418.65","1.17","0.7","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","64.76","98.76","395.02","197.51","330.26","296.27","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","1418.65","1.17","0.7","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","66.4","98.76","395.02","197.51","328.62","296.27","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","1418.65","1.17","0.7","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","67.93","98.76","395.02","197.51","327.09","296.27","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","1418.65","1.09","0.7","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","69.44","98.76","395.02","197.51","325.58","296.27","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","1418.65","1.15","0.7","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","69.5","98.76","395.02","197.51","325.52","296.27","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","1418.65","1.13","0.7","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","70.5","98.76","395.02","197.51","324.52","296.27","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","1418.65","1.13","0.7","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","72.13","98.76","395.02","197.51","322.89","296.27","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","1418.65","1.03","0.7","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","73.48","98.76","395.02","197.51","321.54","296.27","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","1418.65","0.95","0.7","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","74.75","98.76","395.02","197.51","320.28","296.27","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","1418.65","0.87","0.7","0.0","1.57","0.87","1.37","0.0","0.0","0.0","0.0","76.11","98.76","395.02","197.51","318.91","296.27","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","1418.65","0.82","0.7","0.0","1.46","0.82","1.19","0.0","0.0","0.0","0.0","77.31","98.76","395.02","197.51","317.71","296.27","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","1418.65","0.77","0.7","0.0","1.31","0.77","1.01","0.0","0.0","0.0","0.0","78.32","98.76","395.02","197.51","316.7","296.27","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","1418.65","0.74","0.7","0.0","1.44","0.74","1.06","0.0","0.0","0.0","0.0","79.38","98.76","395.02","197.51","315.64","296.27","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","1418.65","0.7","0.7","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","80.35","98.76","395.02","197.51","314.67","296.27","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","1418.65","1.18","0.7","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","78.14","98.76","395.02","197.51","316.88","296.27","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","1418.65","1.17","0.7","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","79.92","98.76","395.02","197.51","315.1","296.27","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","1418.65","1.16","0.7","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","82.35","98.76","395.02","197.51","312.67","296.27","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","1418.65","1.12","0.7","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","84.11","98.76","395.02","197.51","310.91","296.27","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","1418.65","1.02","0.7","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","85.48","98.76","395.02","197.51","309.54","296.27","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","1418.65","0.96","0.7","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","86.47","98.76","395.02","197.51","308.56","296.27","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","1418.65","0.89","0.7","0.0","1.25","0.89","1.12","0.0","0.0","0.0","0.0","87.58","98.76","395.02","197.51","307.44","296.27","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","1418.65","0.85","0.7","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","88.53","98.76","395.02","197.51","306.49","296.27","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","1418.65","0.8","0.7","0.0","1.3","0.8","1.04","0.0","0.0","0.0","0.0","89.58","98.76","395.02","197.51","305.44","296.27","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","1418.65","1.18","0.7","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","85.97","98.76","395.02","197.51","309.05","296.27","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","1418.65","1.18","0.7","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","86.9","98.76","395.02","197.51","308.12","296.27","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","1418.65","1.18","0.7","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","88.49","98.76","395.02","197.51","306.53","296.27","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","1418.65","1.18","0.7","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","89.62","98.76","395.02","197.51","305.4","296.27","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","1418.65","1.18","0.7","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","90.36","98.76","395.02","197.51","304.66","296.27","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","1418.65","1.17","0.7","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","91.58","98.76","395.02","197.51","303.44","296.27","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","1418.65","1.17","0.7","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","91.65","98.76","395.02","197.51","303.37","296.27","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","1418.65","1.18","0.7","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","85.8","98.76","395.02","197.51","309.22","296.27","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","1418.65","1.18","0.7","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","86.46","98.76","395.02","197.51","308.57","296.27","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","1418.65","1.18","0.7","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","87.98","98.76","395.02","197.51","307.04","296.27","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","1418.65","1.15","0.7","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","80.12","98.76","395.02","197.51","314.9","296.27","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","1418.65","1.15","0.7","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","82.17","98.76","395.02","197.51","312.85","296.27","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","1418.65","1.16","0.7","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","83.27","98.76","395.02","197.51","311.75","296.27","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","1418.65","1.17","0.7","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","84.46","98.76","395.02","197.51","310.56","296.27","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","1418.65","1.09","0.7","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","85.8","98.76","395.02","197.51","309.22","296.27","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","1418.65","1.19","0.7","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","80.84","98.76","395.02","197.51","314.18","296.27","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","1418.65","1.19","0.7","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","79.59","98.76","395.02","197.51","315.43","296.27","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","1418.65","1.19","0.7","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","77.92","98.76","395.02","197.51","317.1","296.27","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","1418.65","1.17","0.7","0.0","1.22","1.17","1.43","12.24","12.24","0.0","0.0","67.11","98.76","395.02","197.51","327.91","296.27","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","1418.65","1.17","0.7","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","68.32","98.76","395.02","197.51","326.7","296.27","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","1418.65","1.17","0.7","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","68.87","98.76","395.02","197.51","326.15","296.27","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","1418.65","1.18","0.7","0.0","0.91","1.18","1.08","4.96","4.96","0.0","0.0","64.99","98.76","395.02","197.51","330.03","296.27","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","1418.65","1.17","0.7","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","66.65","98.76","395.02","197.51","328.37","296.27","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","1418.65","1.18","0.7","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","67.34","98.76","395.02","197.51","327.68","296.27","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","1418.65","1.19","0.7","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","66.67","98.76","395.02","197.51","328.35","296.27","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","1418.65","1.19","0.7","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","67.6","98.76","395.02","197.51","327.43","296.27","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","1418.65","1.19","0.7","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","68.57","98.76","395.02","197.51","326.45","296.27","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","1418.65","1.19","0.7","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","69.74","98.76","395.02","197.51","325.28","296.27","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","1418.65","1.18","0.7","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","71.23","98.76","395.02","197.51","323.79","296.27","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","1418.65","1.18","0.7","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","72.5","86.72","395.02","197.51","322.52","308.3","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","1418.65","1.07","0.7","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","73.75","86.72","395.02","197.51","321.27","308.3","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","1418.65","1.0","0.7","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","74.24","86.72","395.02","197.51","320.78","308.3","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","1418.65","1.18","0.7","0.0","0.92","1.18","1.09","16.91","16.91","0.0","0.0","58.42","86.72","395.02","197.51","336.6","308.3","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","1418.65","1.19","0.7","0.0","0.84","1.19","1.0","13.14","13.14","0.0","0.0","46.28","86.72","395.02","197.51","348.74","308.3","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","1418.65","1.2","0.7","0.0","0.62","1.2","0.74","4.52","4.52","0.0","0.0","42.5","86.72","395.02","197.51","352.52","308.3","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","1418.65","1.19","0.7","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","43.31","86.72","395.02","197.51","351.71","308.3","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","1418.65","1.18","0.7","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","43.58","86.72","395.02","197.51","351.44","308.3","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","1418.65","1.18","0.7","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","44.25","86.72","395.02","197.51","350.77","308.3","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","1418.65","1.18","0.7","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","45.37","86.72","395.02","197.51","349.65","308.3","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","1418.65","1.18","0.7","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","46.52","86.72","395.02","197.51","348.5","308.3","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","1418.65","1.16","0.7","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","46.93","86.72","395.02","197.51","348.09","308.3","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","1418.65","1.19","0.7","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","46.15","86.72","395.02","197.51","348.87","308.3","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","1418.65","1.18","0.7","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","44.77","86.72","395.02","197.51","350.25","308.3","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","1418.65","1.18","0.7","0.0","0.93","1.18","1.1","5.84","5.84","0.0","0.0","40.03","86.72","395.02","197.51","354.99","308.3","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","1418.65","1.19","0.7","0.0","0.83","1.19","0.99","1.4","1.4","0.0","0.0","39.61","86.72","395.02","197.51","355.41","308.3","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","1418.65","1.17","0.7","0.0","1.26","1.17","1.47","34.61","34.61","0.0","0.0","6.48","86.72","395.02","197.51","388.54","308.3","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","1418.65","1.17","0.7","0.0","1.26","1.17","1.47","6.57","6.57","0.0","0.0","1.38","86.72","395.02","197.51","393.64","308.3","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","1418.65","1.18","0.7","0.0","1.1","1.18","1.29","15.1","2.67","0.0","0.0","0.0","86.72","395.02","197.51","395.02","308.3","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","1418.65","1.17","0.7","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","86.72","395.02","197.51","393.75","308.3","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","1418.65","1.17","0.7","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","86.72","395.02","197.51","392.52","308.3","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","1418.65","1.16","0.7","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","86.72","395.02","197.51","395.02","308.3","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","1418.65","1.17","0.7","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","86.72","395.02","197.51","394.42","308.3","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","1418.65","1.17","0.7","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","86.72","395.02","197.51","393.23","308.3","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","1418.65","1.17","0.7","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","86.72","395.02","197.51","391.91","308.3","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","1418.65","1.14","0.7","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","86.72","395.02","197.51","390.43","308.3","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","1418.65","1.06","0.7","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","86.72","395.02","197.51","389.44","308.3","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","1418.65","0.99","0.7","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","86.72","395.02","197.51","388.4","308.3","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","1418.65","1.16","0.7","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","86.72","395.02","197.51","392.13","308.3","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","1418.65","1.14","0.7","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","86.72","395.02","197.51","390.19","308.3","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","1418.65","1.08","0.7","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","86.72","395.02","197.51","388.36","308.3","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","1418.65","1.0","0.7","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","86.72","395.02","197.51","387.22","308.3","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","1418.65","0.93","0.7","0.0","1.14","0.93","1.06","0.1","0.1","0.0","0.0","8.77","86.72","395.02","197.51","386.25","308.3","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","1418.65","0.86","0.7","0.0","1.5","0.86","1.3","0.0","0.0","0.0","0.0","10.06","86.72","395.02","197.51","384.96","308.3","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","1418.65","0.81","0.7","0.0","1.43","0.81","1.16","0.0","0.0","0.0","0.0","11.22","86.72","395.02","197.51","383.8","308.3","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","1418.65","0.76","0.7","0.0","1.64","0.76","1.25","0.0","0.0","0.0","0.0","12.47","86.72","395.02","197.51","382.55","308.3","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","1418.65","0.71","0.7","0.0","1.87","0.71","1.33","0.0","0.0","0.0","0.0","13.8","86.72","395.02","197.51","381.22","308.3","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","1418.65","0.67","0.7","0.0","1.98","0.7","1.39","0.0","0.0","0.0","0.0","15.19","86.72","395.02","197.51","379.83","308.3","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","1418.65","0.63","0.7","0.0","1.99","0.7","1.39","0.0","0.0","0.0","0.0","16.58","86.72","395.02","197.51","378.44","308.3","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","1418.65","0.6","0.7","0.0","1.96","0.7","1.37","0.0","0.0","0.0","0.0","17.95","86.72","395.02","197.51","377.07","308.3","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","1418.65","0.58","0.7","0.0","1.8","0.7","1.26","0.0","0.0","0.0","0.0","19.21","86.72","395.02","197.51","375.81","308.3","0.0","","","","","","",""
