" Daily soil water balance output for Potatoes in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Potatoes in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","3143.77","0.08","0.0","0.0","3.87","0.08","0.31","0.0","0.0","0.0","0.0","24.61","24.3","197.51","98.76","172.9","173.21","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","3143.77","0.08","0.0","0.0","3.07","0.08","0.25","0.46","0.46","0.0","0.0","24.15","24.3","197.51","98.76","173.36","173.21","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","3143.77","0.08","0.0","0.0","2.72","0.08","0.22","0.25","0.25","0.0","0.0","24.12","24.3","197.51","98.76","173.39","173.21","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","3143.77","0.08","0.0","0.0","2.76","0.08","0.22","0.0","0.0","0.0","0.0","24.35","24.3","197.51","98.76","173.16","173.21","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","3143.77","0.08","0.0","0.0","4.23","0.08","0.34","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","3143.77","0.08","0.0","0.0","3.4","0.08","0.27","0.0","0.0","0.0","0.0","24.57","24.3","197.51","98.76","172.94","173.21","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","3143.77","0.08","0.0","0.0","3.1","0.08","0.25","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","3143.77","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","24.52","24.3","197.51","98.76","172.99","173.21","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","3143.77","0.08","0.0","0.0","2.55","0.08","0.21","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","3143.77","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","24.56","24.3","197.51","98.76","172.95","173.21","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","3143.77","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","3143.77","0.08","0.0","0.0","2.18","0.08","0.17","0.0","0.0","0.0","0.0","24.47","24.3","197.51","98.76","173.04","173.21","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","3143.77","0.08","0.0","0.0","2.28","0.08","0.18","0.11","0.11","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","3143.77","0.08","0.0","0.0","4.38","0.08","0.35","0.0","0.0","0.0","0.0","24.65","24.3","197.51","98.76","172.86","173.21","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","3143.77","0.08","0.0","0.0","3.64","0.08","0.29","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","3143.77","0.08","0.0","0.0","3.24","0.08","0.26","0.0","0.0","0.0","0.0","24.56","24.3","197.51","98.76","172.95","173.21","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","3143.77","0.08","0.0","0.0","2.27","0.08","0.18","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","3143.77","1.17","0.0","0.0","1.22","1.17","1.43","13.87","13.87","0.0","0.0","11.86","24.3","197.51","98.76","185.65","173.21","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","3143.77","1.14","0.0","0.0","2.1","1.14","2.39","10.1","10.1","0.0","0.0","4.14","24.3","197.51","98.76","193.37","173.21","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","3143.77","1.12","0.0","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","7.56","24.3","197.51","98.76","189.95","173.21","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","3143.77","1.05","0.0","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","9.38","24.3","197.51","98.76","188.13","173.21","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","3143.77","0.93","0.0","0.0","1.87","0.93","1.75","0.0","0.0","0.0","0.0","11.13","24.3","197.51","98.76","186.38","173.21","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","3143.77","0.86","0.0","0.0","1.66","0.86","1.43","0.0","0.0","0.0","0.0","12.56","24.3","197.51","98.76","184.95","173.21","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","3143.77","0.81","0.0","0.0","1.24","0.81","1.01","0.0","0.0","0.0","0.0","13.56","24.3","197.51","98.76","183.95","173.21","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","3143.77","1.18","0.0","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","10.62","24.3","197.51","98.76","186.89","173.21","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","3143.77","1.17","0.0","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","4.27","24.3","197.51","98.76","193.24","173.21","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","3143.77","1.17","0.0","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","5.71","24.3","197.51","98.76","191.8","173.21","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","3143.77","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","7.35","24.3","197.51","98.76","190.16","173.21","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","3143.77","1.17","0.0","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","8.88","24.3","197.51","98.76","188.64","173.21","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","3143.77","1.09","0.0","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","10.39","24.3","197.51","98.76","187.13","173.21","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","3143.77","1.15","0.0","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","10.44","24.3","197.51","98.76","187.07","173.21","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","3143.77","1.13","0.0","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","11.45","24.3","197.51","98.76","186.06","173.21","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","3143.77","1.13","0.0","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","13.08","24.3","197.51","98.76","184.43","173.21","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","3143.77","1.03","0.0","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","14.42","24.3","197.51","98.76","183.09","173.21","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","3143.77","0.95","0.0","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","15.69","24.3","197.51","98.76","181.82","173.21","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","3143.77","0.87","0.0","0.0","1.57","0.87","1.37","0.0","0.0","0.0","0.0","17.06","24.3","197.51","98.76","180.45","173.21","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","3143.77","0.82","0.0","0.0","1.46","0.82","1.19","0.0","0.0","0.0","0.0","18.25","24.3","197.51","98.76","179.26","173.21","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","3143.77","0.77","0.0","0.0","1.31","0.77","1.01","0.0","0.0","0.0","0.0","19.27","24.3","197.51","98.76","178.24","173.21","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","3143.77","0.74","0.0","0.0","1.44","0.74","1.06","0.0","0.0","0.0","0.0","20.33","24.3","197.51","98.76","177.18","173.21","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","3143.77","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","21.3","24.3","197.51","98.76","176.21","173.21","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","3143.77","1.18","0.0","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","19.09","24.3","197.51","98.76","178.42","173.21","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","3143.77","1.17","0.0","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","20.87","24.3","197.51","98.76","176.64","173.21","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","3143.77","1.16","0.0","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","23.3","24.3","197.51","98.76","174.21","173.21","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","3143.77","1.12","0.0","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","25.06","24.3","197.51","98.76","172.45","173.21","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","3143.77","1.02","0.0","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","3143.77","0.96","0.0","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","25.29","24.3","197.51","98.76","172.22","173.21","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","3143.77","0.89","0.0","0.0","1.25","0.89","1.12","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","3143.77","0.85","0.0","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","25.25","24.3","197.51","98.76","172.26","173.21","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","3143.77","0.8","0.0","0.0","1.3","0.8","1.04","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","3143.77","1.18","0.0","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","20.7","24.3","197.51","98.76","176.81","173.21","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","3143.77","1.18","0.0","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","21.62","24.3","197.51","98.76","175.89","173.21","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","3143.77","1.18","0.0","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","23.21","24.3","197.51","98.76","174.3","173.21","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","3143.77","1.18","0.0","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","24.34","24.3","197.51","98.76","173.17","173.21","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","3143.77","1.18","0.0","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","3143.77","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","25.52","24.3","197.51","98.76","171.99","173.21","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","3143.77","1.17","0.0","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","24.18","24.3","197.51","98.76","173.33","173.21","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","3143.77","1.18","0.0","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","18.33","24.3","197.51","98.76","179.18","173.21","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","3143.77","1.18","0.0","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","18.99","24.3","197.51","98.76","178.52","173.21","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","3143.77","1.18","0.0","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","20.52","24.3","197.51","98.76","177.0","173.21","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","3143.77","1.15","0.0","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","12.65","24.3","197.51","98.76","184.86","173.21","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","3143.77","1.15","0.0","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","14.7","24.3","197.51","98.76","182.81","173.21","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","3143.77","1.16","0.0","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","15.8","24.3","197.51","98.76","181.71","173.21","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","3143.77","1.17","0.0","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","16.99","24.3","197.51","98.76","180.52","173.21","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","3143.77","1.09","0.0","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","18.33","24.3","197.51","98.76","179.18","173.21","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","3143.77","1.19","0.0","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","13.37","24.3","197.51","98.76","184.14","173.21","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","3143.77","1.19","0.0","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","12.12","24.3","197.51","98.76","185.39","173.21","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","3143.77","1.19","0.0","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","10.46","24.3","197.51","98.76","187.05","173.21","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","3143.77","1.17","0.0","0.0","1.22","1.17","1.43","12.24","11.88","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","3143.77","1.17","0.0","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","1.21","24.3","197.51","98.76","196.3","173.21","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","3143.77","1.17","0.0","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","1.76","24.3","197.51","98.76","195.75","173.21","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","3143.77","1.18","0.0","0.0","0.91","1.18","1.08","4.96","2.83","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","3143.77","1.17","0.0","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","1.67","24.3","197.51","98.76","195.84","173.21","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","3143.77","1.18","0.0","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","2.35","24.3","197.51","98.76","195.16","173.21","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","3143.77","1.19","0.0","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","1.69","24.3","197.51","98.76","195.82","173.21","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","3143.77","1.19","0.0","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","2.61","24.3","197.51","98.76","194.9","173.21","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","3143.77","1.19","0.0","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","3.58","24.3","197.51","98.76","193.93","173.21","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","3143.77","1.19","0.0","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","4.76","24.3","197.51","98.76","192.75","173.21","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","3143.77","1.18","0.0","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","6.25","24.3","197.51","98.76","191.26","173.21","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","3143.77","1.18","0.0","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","7.52","24.3","197.51","98.76","189.99","173.21","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","3143.77","1.07","0.0","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","8.76","24.3","197.51","98.76","188.75","173.21","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","3143.77","1.0","0.0","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","9.26","24.3","197.51","98.76","188.26","173.21","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","3143.77","1.18","0.0","0.0","0.92","1.18","1.09","16.91","10.34","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","3143.77","1.19","0.0","0.0","0.84","1.19","1.0","13.14","1.0","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","3143.77","1.2","0.0","0.0","0.62","1.2","0.74","4.52","0.74","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","3143.77","1.19","0.0","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","0.81","24.3","197.51","98.76","196.7","173.21","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","3143.77","1.18","0.0","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","1.08","24.3","197.51","98.76","196.43","173.21","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","3143.77","1.18","0.0","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","1.76","24.3","197.51","98.76","195.75","173.21","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","3143.77","1.18","0.0","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","2.87","24.3","197.51","98.76","194.64","173.21","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","3143.77","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","4.03","24.3","197.51","98.76","193.48","173.21","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","3143.77","1.16","0.0","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","4.43","24.3","197.51","98.76","193.08","173.21","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","3143.77","1.19","0.0","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","3.65","24.3","197.51","98.76","193.86","173.21","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","3143.77","1.18","0.0","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","2.27","24.3","197.51","98.76","195.24","173.21","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","3143.77","1.18","0.0","0.0","0.93","1.18","1.1","5.84","3.37","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","3143.77","1.19","0.0","0.0","0.83","1.19","0.99","1.4","0.99","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","3143.77","1.17","0.0","0.0","1.26","1.17","1.47","34.61","1.47","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","3143.77","1.17","0.0","0.0","1.26","1.17","1.47","6.57","1.47","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","3143.77","1.18","0.0","0.0","1.1","1.18","1.29","15.1","1.29","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","3143.77","1.17","0.0","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","24.3","197.51","98.76","196.24","173.21","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","3143.77","1.17","0.0","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","24.3","197.51","98.76","195.01","173.21","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","3143.77","1.16","0.0","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","24.3","197.51","98.76","197.51","173.21","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","3143.77","1.17","0.0","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","24.3","197.51","98.76","196.91","173.21","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","3143.77","1.17","0.0","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","24.3","197.51","98.76","195.71","173.21","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","3143.77","1.17","0.0","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","24.3","197.51","98.76","194.4","173.21","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","3143.77","1.14","0.0","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","24.3","197.51","98.76","192.92","173.21","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","3143.77","1.06","0.0","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","24.3","197.51","98.76","191.93","173.21","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","3143.77","0.99","0.0","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","24.3","197.51","98.76","190.88","173.21","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","3143.77","1.16","0.0","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","24.3","197.51","98.76","194.62","173.21","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","3143.77","1.14","0.0","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","24.3","197.51","98.76","192.68","173.21","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","3143.77","1.08","0.0","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","24.3","197.51","98.76","190.85","173.21","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","3143.77","1.0","0.0","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","24.3","197.51","98.76","189.71","173.21","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","3143.77","0.93","0.0","0.0","1.14","0.93","1.06","0.1","0.1","0.0","0.0","8.77","24.3","197.51","98.76","188.74","173.21","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","3143.77","0.86","0.0","0.0","1.5","0.86","1.3","0.0","0.0","0.0","0.0","10.06","24.3","197.51","98.76","187.45","173.21","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","3143.77","0.81","0.0","0.0","1.43","0.81","1.16","0.0","0.0","0.0","0.0","11.22","24.3","197.51","98.76","186.29","173.21","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","3143.77","0.76","0.0","0.0","1.64","0.76","1.25","0.0","0.0","0.0","0.0","12.47","24.3","197.51","98.76","185.04","173.21","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","3143.77","0.71","0.0","0.0","1.87","0.71","1.33","0.0","0.0","0.0","0.0","13.8","24.3","197.51","98.76","183.71","173.21","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","3143.77","0.67","0.0","0.0","1.98","0.67","1.33","0.0","0.0","0.0","0.0","15.13","24.3","197.51","98.76","182.38","173.21","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","3143.77","0.63","0.0","0.0","1.99","0.63","1.26","0.0","0.0","0.0","0.0","16.39","24.3","197.51","98.76","181.12","173.21","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","3143.77","0.6","0.0","0.0","1.96","0.6","1.18","0.0","0.0","0.0","0.0","17.57","24.3","197.51","98.76","179.94","173.21","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","3143.77","0.58","0.0","0.0","1.8","0.58","1.04","0.0","0.0","0.0","0.0","18.62","24.3","197.51","98.76","178.89","173.21","0.0","","","","","","",""
