" Daily soil water balance output for Other Deciduous in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Other Deciduous in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","132.1","0.08","0.87","0.0","3.87","0.87","3.38","0.0","0.0","0.0","0.0","47.59","109.73","438.91","219.46","391.32","329.18","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","132.1","0.08","0.87","0.0","3.06","0.87","2.66","0.41","0.41","0.0","0.0","49.84","109.73","438.91","219.46","389.07","329.18","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","132.1","0.08","0.86","0.0","2.56","0.86","2.21","0.0","0.0","0.0","0.0","52.05","109.73","438.91","219.46","386.86","329.18","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","132.1","0.08","0.86","0.0","2.6","0.86","2.24","0.0","0.0","0.0","0.0","54.29","109.73","438.91","219.46","384.62","329.18","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","132.1","0.08","0.86","0.0","4.55","0.86","3.89","0.0","0.0","0.0","0.0","58.18","109.73","438.91","219.46","380.73","329.18","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","132.1","0.08","0.85","0.0","3.61","0.85","3.07","0.0","0.0","0.0","0.0","61.26","109.73","438.91","219.46","377.66","329.18","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","132.1","0.08","0.85","0.0","3.07","0.85","2.6","0.0","0.0","0.0","0.0","63.85","109.73","438.91","219.46","375.06","329.18","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","132.1","0.08","0.84","0.0","2.59","0.84","2.18","0.0","0.0","0.0","0.0","66.03","109.73","438.91","219.46","372.88","329.18","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","132.1","0.08","0.84","0.0","2.49","0.84","2.08","0.0","0.0","0.0","0.0","68.12","109.73","438.91","219.46","370.79","329.18","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","132.1","0.08","0.83","0.0","3.31","0.83","2.76","0.0","0.0","0.0","0.0","70.87","109.73","438.91","219.46","368.04","329.18","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","132.1","0.08","0.83","0.0","2.47","0.83","2.04","0.0","0.0","0.0","0.0","72.92","109.73","438.91","219.46","365.99","329.18","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","132.1","0.08","0.82","0.0","2.1","0.82","1.73","0.0","0.0","0.0","0.0","74.65","109.73","438.91","219.46","364.27","329.18","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","132.1","0.08","0.82","0.0","2.22","0.82","1.82","0.0","0.0","0.0","0.0","76.46","109.73","438.91","219.46","362.45","329.18","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","132.1","0.08","0.81","0.0","4.4","0.81","3.58","0.0","0.0","0.0","0.0","80.04","109.73","438.91","219.46","358.87","329.18","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","132.1","0.08","0.81","0.0","3.72","0.81","3.01","0.0","0.0","0.0","0.0","83.06","109.73","438.91","219.46","355.86","329.18","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","132.1","0.08","0.8","0.0","3.28","0.8","2.64","0.0","0.0","0.0","0.0","85.69","109.73","438.91","219.46","353.22","329.18","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","132.1","0.08","0.8","0.0","1.91","0.8","1.53","0.01","0.01","0.0","0.0","87.21","109.73","438.91","219.46","351.7","329.18","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","132.1","1.17","0.0","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","132.1","1.13","0.0","0.0","2.22","1.13","2.51","10.9","10.9","0.0","0.0","13.21","21.6","438.91","219.46","425.7","417.31","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","132.1","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","16.64","21.6","438.91","219.46","422.27","417.31","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","132.1","1.05","0.0","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","18.39","21.6","438.91","219.46","420.52","417.31","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","132.1","0.93","0.0","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","20.13","21.6","438.91","219.46","418.78","417.31","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","132.1","0.86","0.0","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","21.53","21.6","438.91","219.46","417.38","417.31","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","132.1","0.81","0.0","0.0","1.15","0.81","0.94","0.0","0.0","0.0","0.0","22.47","21.6","438.91","219.46","416.44","417.31","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","132.1","1.18","0.0","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","19.69","21.6","438.91","219.46","419.22","417.31","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","132.1","1.17","0.0","0.0","1.3","1.17","1.52","10.25","10.25","0.0","0.0","10.96","21.6","438.91","219.46","427.95","417.31","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","132.1","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","12.36","21.6","438.91","219.46","426.55","417.31","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","132.1","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","13.97","21.6","438.91","219.46","424.94","417.31","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","132.1","1.17","0.0","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","15.5","21.6","438.91","219.46","423.41","417.31","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","132.1","1.1","0.0","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","16.97","21.6","438.91","219.46","421.94","417.31","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","132.1","0.97","0.0","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","18.2","21.6","438.91","219.46","420.72","417.31","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","132.1","1.11","0.0","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","17.66","21.6","438.91","219.46","421.25","417.31","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","132.1","1.14","0.0","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","19.31","21.6","438.91","219.46","419.6","417.31","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","132.1","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","20.81","21.6","438.91","219.46","418.1","417.31","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","132.1","1.08","0.0","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","22.23","21.6","438.91","219.46","416.68","417.31","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","132.1","0.97","0.0","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","132.1","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","22.9","21.6","438.91","219.46","416.01","417.31","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","132.1","0.84","0.0","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","132.1","0.79","0.0","0.0","1.43","0.79","1.13","0.0","0.0","0.0","0.0","22.73","21.6","438.91","219.46","416.18","417.31","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","132.1","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","132.1","0.72","0.0","0.0","1.05","0.72","0.76","1.29","1.29","0.0","0.0","21.07","21.6","438.91","219.46","417.84","417.31","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","132.1","0.68","0.0","0.0","1.77","0.68","1.21","0.0","0.0","0.0","0.0","22.28","21.6","438.91","219.46","416.63","417.31","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","132.1","0.64","0.0","0.0","2.45","0.64","1.56","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","132.1","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","22.62","21.6","438.91","219.46","416.29","417.31","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","132.1","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","132.1","0.58","0.0","0.0","0.99","0.58","0.58","0.0","0.0","0.0","0.0","22.18","21.6","438.91","219.46","416.74","417.31","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","132.1","0.57","0.0","0.0","1.18","0.57","0.67","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","132.1","0.55","0.0","0.0","1.12","0.55","0.62","0.0","0.0","0.0","0.0","22.22","21.6","438.91","219.46","416.69","417.31","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","132.1","0.54","0.0","0.0","1.06","0.54","0.58","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","132.1","1.18","0.0","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","15.74","21.6","438.91","219.46","423.17","417.31","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","132.1","1.19","0.0","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","16.59","21.6","438.91","219.46","422.32","417.31","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","132.1","1.18","0.0","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","17.94","21.6","438.91","219.46","420.97","417.31","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","132.1","1.18","0.0","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","18.96","21.6","438.91","219.46","419.95","417.31","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","132.1","1.19","0.0","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","19.61","21.6","438.91","219.46","419.3","417.31","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","132.1","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","20.68","21.6","438.91","219.46","418.23","417.31","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","132.1","1.17","0.0","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","20.41","21.6","438.91","219.46","418.5","417.31","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","132.1","1.18","0.0","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","16.45","21.6","438.91","219.46","422.47","417.31","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","132.1","1.18","0.0","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","17.2","21.6","438.91","219.46","421.72","417.31","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","132.1","1.18","0.0","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","18.56","21.6","438.91","219.46","420.35","417.31","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","132.1","1.16","0.0","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","9.56","21.6","438.91","219.46","429.35","417.31","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","132.1","1.15","0.0","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","11.86","21.6","438.91","219.46","427.05","417.31","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","132.1","1.16","0.0","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","12.86","21.6","438.91","219.46","426.06","417.31","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","132.1","1.17","0.0","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","13.94","21.6","438.91","219.46","424.97","417.31","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","132.1","1.11","0.0","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","15.16","21.6","438.91","219.46","423.75","417.31","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","132.1","1.19","0.0","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","8.69","21.6","438.91","219.46","430.23","417.31","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","132.1","1.2","0.0","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","8.65","21.6","438.91","219.46","430.26","417.31","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","132.1","1.2","0.0","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","3.61","21.6","438.91","219.46","435.3","417.31","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","132.1","1.17","0.0","0.0","1.13","1.17","1.33","6.74","4.94","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","132.1","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","1.59","21.6","438.91","219.46","437.32","417.31","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","132.1","1.17","0.0","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","2.48","21.6","438.91","219.46","436.43","417.31","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","132.1","1.19","0.0","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","0.92","21.6","438.91","219.46","437.99","417.31","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","132.1","1.17","0.0","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","2.71","21.6","438.91","219.46","436.2","417.31","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","132.1","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","3.39","21.6","438.91","219.46","435.53","417.31","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","132.1","1.18","0.0","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","3.43","21.6","438.91","219.46","435.48","417.31","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","132.1","1.18","0.0","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","4.51","21.6","438.91","219.46","434.4","417.31","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","132.1","1.18","0.0","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","5.39","21.6","438.91","219.46","433.52","417.31","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","132.1","1.11","0.0","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","6.57","21.6","438.91","219.46","432.34","417.31","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","132.1","1.01","0.0","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","7.99","21.6","438.91","219.46","430.92","417.31","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","132.1","0.94","0.0","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","9.13","21.6","438.91","219.46","429.79","417.31","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","132.1","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","10.17","21.6","438.91","219.46","428.74","417.31","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","132.1","0.85","0.0","0.0","0.87","0.85","0.74","0.13","0.13","0.0","0.0","10.78","21.6","438.91","219.46","428.13","417.31","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","132.1","1.19","0.0","0.0","0.84","1.19","1.0","14.51","11.78","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","132.1","1.19","0.0","0.0","0.82","1.19","0.97","15.08","0.97","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","132.1","1.2","0.0","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","132.1","1.2","0.0","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","21.6","438.91","219.46","438.16","417.31","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","132.1","1.19","0.0","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","132.1","1.18","0.0","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","132.1","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","21.6","438.91","219.46","437.78","417.31","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","132.1","1.18","0.0","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","21.6","438.91","219.46","436.67","417.31","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","132.1","1.17","0.0","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","132.1","1.19","0.0","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","132.1","1.19","0.0","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","132.1","1.19","0.0","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","132.1","1.19","0.0","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","132.1","1.17","0.0","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","132.1","1.17","0.0","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","132.1","1.18","0.0","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","132.1","1.18","0.0","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","21.6","438.91","219.46","437.65","417.31","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","132.1","1.18","0.0","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","21.6","438.91","219.46","436.61","417.31","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","132.1","1.16","0.0","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","132.1","1.18","0.0","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","132.1","1.17","0.0","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","21.6","438.91","219.46","437.56","417.31","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","132.1","1.18","0.0","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","21.6","438.91","219.46","436.38","417.31","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","132.1","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","21.6","438.91","219.46","434.81","417.31","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","132.1","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","21.6","438.91","219.46","433.76","417.31","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","132.1","1.1","0.0","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","21.6","438.91","219.46","432.78","417.31","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","132.1","1.16","0.0","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","21.6","438.91","219.46","436.93","417.31","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","132.1","1.14","0.0","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","21.6","438.91","219.46","434.21","417.31","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","132.1","1.08","0.0","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","21.6","438.91","219.46","431.4","417.31","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","132.1","1.01","0.0","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","21.6","438.91","219.46","430.32","417.31","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","132.1","0.95","0.0","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","21.6","438.91","219.46","429.86","417.31","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","132.1","0.87","0.0","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.36","21.6","438.91","219.46","428.56","417.31","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","132.1","0.82","0.0","0.0","1.36","0.82","1.12","0.0","0.0","0.0","0.0","11.48","21.6","438.91","219.46","427.44","417.31","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","132.1","0.77","0.0","0.0","1.59","0.77","1.23","0.0","0.0","0.0","0.0","12.7","21.6","438.91","219.46","426.21","417.31","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","132.1","0.72","0.0","0.0","1.92","0.72","1.38","0.0","0.0","0.0","0.0","14.08","21.6","438.91","219.46","424.83","417.31","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","132.1","0.67","0.0","0.0","2.05","0.67","1.38","0.0","0.0","0.0","0.0","15.47","21.6","438.91","219.46","423.45","417.31","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","132.1","0.64","0.0","0.0","1.92","0.64","1.23","0.0","0.0","0.0","0.0","16.69","21.6","438.91","219.46","422.22","417.31","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","132.1","0.61","0.0","0.0","1.88","0.61","1.15","0.0","0.0","0.0","0.0","17.84","21.6","438.91","219.46","421.07","417.31","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","132.1","0.59","0.0","0.0","1.71","0.59","1.0","0.0","0.0","0.0","0.0","18.84","21.6","438.91","219.46","420.07","417.31","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","132.1","0.56","0.0","0.0","1.78","0.56","1.01","0.0","0.0","0.0","0.0","19.85","21.6","438.91","219.46","419.06","417.31","0.0","","","","","","",""
