" Daily soil water balance output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","201.49","0.08","0.0","0.0","3.87","0.08","0.32","0.0","0.0","0.0","0.0","11.16","24.0","316.99","158.5","305.83","292.99","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","201.49","0.08","0.0","0.0","3.06","0.08","0.25","0.41","0.41","0.0","0.0","11.0","24.0","316.99","158.5","305.99","292.99","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","201.49","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","11.21","24.0","316.99","158.5","305.78","292.99","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","201.49","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","11.42","24.0","316.99","158.5","305.57","292.99","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","201.49","0.08","0.0","0.0","4.55","0.08","0.37","0.0","0.0","0.0","0.0","11.79","24.0","316.99","158.5","305.2","292.99","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","201.49","0.08","0.0","0.0","3.61","0.08","0.29","0.0","0.0","0.0","0.0","12.08","24.0","316.99","158.5","304.91","292.99","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","201.49","0.08","0.0","0.0","3.07","0.08","0.25","0.0","0.0","0.0","0.0","12.33","24.0","316.99","158.5","304.66","292.99","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","201.49","0.08","0.0","0.0","2.59","0.08","0.21","0.0","0.0","0.0","0.0","12.54","24.0","316.99","158.5","304.45","292.99","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","201.49","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","12.74","24.0","316.99","158.5","304.25","292.99","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","201.49","0.08","0.0","0.0","3.31","0.08","0.27","0.0","0.0","0.0","0.0","13.01","24.0","316.99","158.5","303.98","292.99","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","201.49","0.08","0.0","0.0","2.47","0.08","0.2","0.0","0.0","0.0","0.0","13.21","24.0","316.99","158.5","303.78","292.99","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","201.49","0.08","0.0","0.0","2.1","0.08","0.17","0.0","0.0","0.0","0.0","13.38","24.0","316.99","158.5","303.61","292.99","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","201.49","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","13.56","24.0","316.99","158.5","303.43","292.99","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","201.49","0.08","0.0","0.0","4.4","0.08","0.35","0.0","0.0","0.0","0.0","13.91","24.0","316.99","158.5","303.08","292.99","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","201.49","0.08","0.0","0.0","3.72","0.08","0.3","0.0","0.0","0.0","0.0","14.21","24.0","316.99","158.5","302.78","292.99","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","201.49","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","14.47","24.0","316.99","158.5","302.52","292.99","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","201.49","0.08","0.0","0.0","1.91","0.08","0.15","0.01","0.01","0.0","0.0","14.62","24.0","316.99","158.5","302.38","292.99","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","201.49","1.17","0.0","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","8.25","24.0","316.99","158.5","308.74","292.99","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","201.49","1.13","0.0","0.0","2.22","1.13","2.51","10.9","10.76","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","201.49","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","3.43","24.0","316.99","158.5","313.56","292.99","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","201.49","1.05","0.0","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","5.18","24.0","316.99","158.5","311.81","292.99","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","201.49","0.93","0.0","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","6.92","24.0","316.99","158.5","310.08","292.99","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","201.49","0.86","0.0","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","8.32","24.0","316.99","158.5","308.67","292.99","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","201.49","0.81","0.0","0.0","1.15","0.81","0.94","0.0","0.0","0.0","0.0","9.26","24.0","316.99","158.5","307.73","292.99","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","201.49","1.18","0.0","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","7.65","24.0","316.99","158.5","309.35","292.99","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","201.49","1.17","0.0","0.0","1.3","1.17","1.52","10.25","9.16","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","201.49","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","1.4","24.0","316.99","158.5","315.59","292.99","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","201.49","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","3.02","24.0","316.99","158.5","313.98","292.99","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","201.49","1.17","0.0","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","4.55","24.0","316.99","158.5","312.45","292.99","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","201.49","1.1","0.0","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","6.01","24.0","316.99","158.5","310.98","292.99","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","201.49","0.97","0.0","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","7.24","24.0","316.99","158.5","309.75","292.99","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","201.49","1.11","0.0","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","6.7","24.0","316.99","158.5","310.29","292.99","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","201.49","1.14","0.0","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","8.35","24.0","316.99","158.5","308.64","292.99","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","201.49","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","9.86","24.0","316.99","158.5","307.14","292.99","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","201.49","1.08","0.0","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","11.28","24.0","316.99","158.5","305.72","292.99","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","201.49","0.97","0.0","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","12.85","24.0","316.99","158.5","304.14","292.99","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","201.49","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","14.15","24.0","316.99","158.5","302.84","292.99","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","201.49","0.84","0.0","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","15.23","24.0","316.99","158.5","301.77","292.99","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","201.49","0.79","0.0","0.0","1.43","0.79","1.13","0.0","0.0","0.0","0.0","16.36","24.0","316.99","158.5","300.64","292.99","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","201.49","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","17.38","24.0","316.99","158.5","299.61","292.99","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","201.49","0.72","0.0","0.0","1.05","0.72","0.76","1.29","1.29","0.0","0.0","16.85","24.0","316.99","158.5","300.14","292.99","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","201.49","0.68","0.0","0.0","1.77","0.68","1.21","0.0","0.0","0.0","0.0","18.07","24.0","316.99","158.5","298.93","292.99","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","201.49","0.64","0.0","0.0","2.45","0.64","1.56","0.0","0.0","0.0","0.0","19.63","24.0","316.99","158.5","297.36","292.99","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","201.49","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","20.65","24.0","316.99","158.5","296.34","292.99","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","201.49","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","21.47","24.0","316.99","158.5","295.53","292.99","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","201.49","0.58","0.0","0.0","0.99","0.58","0.58","0.0","0.0","0.0","0.0","22.04","24.0","316.99","158.5","294.95","292.99","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","201.49","0.57","0.0","0.0","1.18","0.57","0.67","0.0","0.0","0.0","0.0","22.71","24.0","316.99","158.5","294.28","292.99","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","201.49","0.55","0.0","0.0","1.12","0.55","0.62","0.0","0.0","0.0","0.0","23.33","24.0","316.99","158.5","293.66","292.99","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","201.49","0.54","0.0","0.0","1.06","0.54","0.58","0.0","0.0","0.0","0.0","23.91","24.0","316.99","158.5","293.08","292.99","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","201.49","1.18","0.0","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","18.05","24.0","316.99","158.5","298.95","292.99","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","201.49","1.19","0.0","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","18.9","24.0","316.99","158.5","298.09","292.99","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","201.49","1.18","0.0","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","20.25","24.0","316.99","158.5","296.75","292.99","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","201.49","1.18","0.0","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","21.27","24.0","316.99","158.5","295.72","292.99","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","201.49","1.19","0.0","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","21.92","24.0","316.99","158.5","295.07","292.99","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","201.49","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","22.99","24.0","316.99","158.5","294.01","292.99","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","201.49","1.17","0.0","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","22.72","24.0","316.99","158.5","294.27","292.99","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","201.49","1.18","0.0","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","18.75","24.0","316.99","158.5","298.24","292.99","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","201.49","1.18","0.0","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","19.5","24.0","316.99","158.5","297.49","292.99","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","201.49","1.18","0.0","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","20.87","24.0","316.99","158.5","296.12","292.99","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","201.49","1.16","0.0","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","11.87","24.0","316.99","158.5","305.13","292.99","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","201.49","1.15","0.0","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","14.16","24.0","316.99","158.5","302.83","292.99","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","201.49","1.16","0.0","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","15.16","24.0","316.99","158.5","301.83","292.99","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","201.49","1.17","0.0","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","16.25","24.0","316.99","158.5","300.74","292.99","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","201.49","1.11","0.0","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","17.47","24.0","316.99","158.5","299.53","292.99","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","201.49","1.19","0.0","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","10.99","24.0","316.99","158.5","306.0","292.99","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","201.49","1.2","0.0","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","10.96","24.0","316.99","158.5","306.03","292.99","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","201.49","1.2","0.0","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","5.92","24.0","316.99","158.5","311.07","292.99","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","201.49","1.17","0.0","0.0","1.13","1.17","1.33","6.74","6.74","0.0","0.0","0.5","24.0","316.99","158.5","316.49","292.99","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","201.49","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","2.1","24.0","316.99","158.5","314.9","292.99","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","201.49","1.17","0.0","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","2.98","24.0","316.99","158.5","314.01","292.99","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","201.49","1.19","0.0","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","1.42","24.0","316.99","158.5","315.57","292.99","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","201.49","1.17","0.0","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","3.22","24.0","316.99","158.5","313.77","292.99","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","201.49","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","3.89","24.0","316.99","158.5","313.1","292.99","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","201.49","1.18","0.0","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","3.93","24.0","316.99","158.5","313.06","292.99","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","201.49","1.18","0.0","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","5.02","24.0","316.99","158.5","311.98","292.99","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","201.49","1.18","0.0","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","5.89","24.0","316.99","158.5","311.1","292.99","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","201.49","1.11","0.0","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","7.07","24.0","316.99","158.5","309.92","292.99","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","201.49","1.01","0.0","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","8.5","24.0","316.99","158.5","308.5","292.99","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","201.49","0.94","0.0","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","9.63","24.0","316.99","158.5","307.36","292.99","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","201.49","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","10.68","24.0","316.99","158.5","306.31","292.99","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","201.49","0.85","0.0","0.0","0.87","0.85","0.74","0.13","0.13","0.0","0.0","11.29","24.0","316.99","158.5","305.71","292.99","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","201.49","1.19","0.0","0.0","0.84","1.19","1.0","14.51","12.28","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","201.49","1.19","0.0","0.0","0.82","1.19","0.97","15.08","0.97","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","201.49","1.2","0.0","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","201.49","1.2","0.0","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","24.0","316.99","158.5","316.24","292.99","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","201.49","1.19","0.0","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","201.49","1.18","0.0","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","201.49","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","24.0","316.99","158.5","315.86","292.99","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","201.49","1.18","0.0","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","24.0","316.99","158.5","314.75","292.99","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","201.49","1.17","0.0","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","201.49","1.19","0.0","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","201.49","1.19","0.0","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","201.49","1.19","0.0","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","201.49","1.19","0.0","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","201.49","1.17","0.0","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","201.49","1.17","0.0","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","201.49","1.18","0.0","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","201.49","1.18","0.0","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","24.0","316.99","158.5","315.73","292.99","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","201.49","1.18","0.0","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","24.0","316.99","158.5","314.69","292.99","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","201.49","1.16","0.0","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","201.49","1.18","0.0","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","201.49","1.17","0.0","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","24.0","316.99","158.5","315.64","292.99","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","201.49","1.18","0.0","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","24.0","316.99","158.5","314.46","292.99","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","201.49","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","24.0","316.99","158.5","312.89","292.99","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","201.49","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","24.0","316.99","158.5","311.84","292.99","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","201.49","1.1","0.0","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","24.0","316.99","158.5","310.86","292.99","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","201.49","1.16","0.0","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","24.0","316.99","158.5","315.01","292.99","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","201.49","1.14","0.0","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","24.0","316.99","158.5","312.29","292.99","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","201.49","1.08","0.0","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","24.0","316.99","158.5","309.48","292.99","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","201.49","1.01","0.0","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","24.0","316.99","158.5","308.4","292.99","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","201.49","0.95","0.0","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","24.0","316.99","158.5","307.94","292.99","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","201.49","0.87","0.0","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.36","24.0","316.99","158.5","306.64","292.99","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","201.49","0.82","0.0","0.0","1.36","0.82","1.12","0.0","0.0","0.0","0.0","11.48","24.0","316.99","158.5","305.52","292.99","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","201.49","0.77","0.0","0.0","1.59","0.77","1.23","0.0","0.0","0.0","0.0","12.7","24.0","316.99","158.5","304.29","292.99","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","201.49","0.72","0.0","0.0","1.92","0.72","1.38","0.0","0.0","0.0","0.0","14.08","24.0","316.99","158.5","302.91","292.99","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","201.49","0.67","0.0","0.0","2.05","0.67","1.38","0.0","0.0","0.0","0.0","15.47","24.0","316.99","158.5","301.53","292.99","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","201.49","0.64","0.0","0.0","1.92","0.64","1.23","0.0","0.0","0.0","0.0","16.69","24.0","316.99","158.5","300.3","292.99","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","201.49","0.61","0.0","0.0","1.88","0.61","1.15","0.0","0.0","0.0","0.0","17.84","24.0","316.99","158.5","299.15","292.99","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","201.49","0.59","0.0","0.0","1.71","0.59","1.0","0.0","0.0","0.0","0.0","18.84","24.0","316.99","158.5","298.15","292.99","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","201.49","0.56","0.0","0.0","1.78","0.56","1.01","0.0","0.0","0.0","0.0","19.85","24.0","316.99","158.5","297.14","292.99","0.0","","","","","","",""
