" Daily soil water balance output for Fallow in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","15.0","288.0","6452.998812","0.08","0.08","0.0","3.65","0.08","0.292","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","16.0","289.0","6452.998812","0.08","0.08","0.0","3.77","0.08","0.3016","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","6452.998812","0.08","0.08","0.0","3.05","0.08","0.244","0.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","6452.998812","0.08","0.08","0.0","2.6","0.08","0.208","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","6452.998812","0.08","0.08","0.0","2.7","0.08","0.216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","6452.998812","0.08","0.08","0.0","4.17","0.08","0.3336","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","6452.998812","0.08","0.08","0.0","3.41","0.08","0.2728","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","6452.998812","0.08","0.08","0.0","2.98","0.08","0.2384","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","6452.998812","0.08","0.08","0.0","2.63","0.08","0.2104","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","6452.998812","0.08","0.08","0.0","2.48","0.08","0.1984","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","6452.998812","0.08","0.08","0.0","3.16","0.08","0.2528","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","6452.998812","0.08","0.08","0.0","2.48","0.08","0.1984","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","6452.998812","0.08","0.08","0.0","2.07","0.08","0.1656","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","6452.998812","0.08","0.08","0.0","2.25","0.08","0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","6452.998812","0.08","0.08","0.0","4.26","0.08","0.3408","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","6452.998812","0.08","0.08","0.0","3.56","0.08","0.2848","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","6452.998812","0.08","0.08","0.0","3.17","0.08","0.2536","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","6452.998812","0.08","0.08","0.0","2.2","0.08","0.176","1.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","6452.998812","1.17","1.17","0.0","1.25","1.17","1.4625","16.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","6452.998812","1.13","1.13","0.0","2.17","1.13","2.4521","8.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","6452.998812","1.12","1.12","0.0","3.04","1.12","3.4048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","6452.998812","1.05","1.05","0.0","1.71","1.05","1.7955","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","6452.998812","0.93","0.93","0.0","1.89","0.93","1.7577","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","6452.998812","0.86","0.86","0.0","1.65","0.86","1.419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","6452.998812","0.81","0.81","0.0","1.2","0.81","0.972","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","6452.998812","1.18","1.18","0.0","1.07","1.18","1.2626","5.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","6452.998812","1.17","1.17","0.0","1.27","1.17","1.4859","5.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","6452.998812","1.17","1.17","0.0","1.22","1.17","1.4274","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","6452.998812","1.17","1.17","0.0","1.4","1.17","1.638","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","6452.998812","1.17","1.17","0.0","1.35","1.17","1.5795","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","6452.998812","1.1","1.1","0.0","1.34","1.1","1.474","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","6452.998812","1.14","1.14","0.0","1.9","1.14","2.166","1.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","6452.998812","1.13","1.13","0.0","2.71","1.13","3.0623","1.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","6452.998812","1.13","1.13","0.0","1.45","1.13","1.6385","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","6452.998812","1.03","1.03","0.0","1.31","1.03","1.3493","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","6452.998812","0.95","0.95","0.0","1.33","0.95","1.2635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","6452.998812","0.87","0.87","0.0","1.59","0.87","1.3833","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","6452.998812","0.81","0.81","0.0","1.47","0.81","1.1907","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","6452.998812","0.77","0.77","0.0","1.3","0.77","1.001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","6452.998812","0.74","0.74","0.0","1.35","0.74","0.999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","6452.998812","0.7","0.7","0.0","1.38","0.7","0.966","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","6452.998812","1.18","1.18","0.0","1.06","1.18","1.2508","2.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","6452.998812","1.17","1.17","0.0","1.6","1.17","1.872","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","6452.998812","1.16","1.16","0.0","2.18","1.16","2.5288","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","6452.998812","1.1","1.1","0.0","1.62","1.1","1.782","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","6452.998812","1.0","1.0","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","6452.998812","0.94","0.94","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","6452.998812","0.88","0.88","0.0","1.24","0.88","1.0912","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","6452.998812","0.84","0.84","0.0","1.15","0.84","0.966","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","6452.998812","0.8","0.8","0.0","1.15","0.8","0.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","6452.998812","1.18","1.18","0.0","1.0","1.18","1.18","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","6452.998812","1.19","1.19","0.0","0.73","1.19","0.8687","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","6452.998812","1.18","1.18","0.0","1.23","1.18","1.4514","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","6452.998812","1.18","1.18","0.0","0.92","1.18","1.0856","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","6452.998812","1.18","1.18","0.0","0.6","1.18","0.708","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","6452.998812","1.18","1.18","0.0","0.99","1.18","1.1682","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","6452.998812","1.17","1.17","0.0","1.27","1.17","1.4859","1.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","6452.998812","1.18","1.18","0.0","1.12","1.18","1.3216","8.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","6452.998812","1.18","1.18","0.0","0.89","1.18","1.0502","0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","6452.998812","1.18","1.18","0.0","1.34","1.18","1.5812","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","6452.998812","1.15","1.15","0.0","1.64","1.15","1.886","10.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","6452.998812","1.15","1.15","0.0","1.84","1.15","2.116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","6452.998812","1.16","1.16","0.0","0.93","1.16","1.0788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","6452.998812","1.17","1.17","0.0","0.96","1.17","1.1232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","6452.998812","1.1","1.1","0.0","1.13","1.1","1.243","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","6452.998812","1.19","1.19","0.0","0.8","1.19","0.952","4.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","6452.998812","1.2","1.2","0.0","0.6","1.2","0.72","1.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","6452.998812","1.19","1.19","0.0","0.65","1.19","0.7735","2.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","6452.998812","1.17","1.17","0.0","1.22","1.17","1.4274","12.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","6452.998812","1.17","1.17","0.0","1.51","1.17","1.7667","0.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","6452.998812","1.17","1.17","0.0","1.02","1.17","1.1934","0.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","6452.998812","1.18","1.18","0.0","0.91","1.18","1.0738","4.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","6452.998812","1.17","1.17","0.0","1.45","1.17","1.6965","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","6452.998812","1.18","1.18","0.0","0.58","1.18","0.6844","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","6452.998812","1.19","1.19","0.0","0.72","1.19","0.8568","1.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","6452.998812","1.19","1.19","0.0","0.93","1.19","1.1067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","6452.998812","1.19","1.19","0.0","0.77","1.19","0.9163","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","6452.998812","1.19","1.19","0.0","1.01","1.19","1.2019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","6452.998812","1.18","1.18","0.0","1.29","1.18","1.5222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","6452.998812","1.17","1.17","0.0","1.13","1.17","1.3221","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","6452.998812","1.07","1.07","0.0","1.15","1.07","1.2305","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","6452.998812","1.18","1.18","0.0","0.95","1.18","1.121","4.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","6452.998812","1.19","1.19","0.0","0.87","1.19","1.0353","14.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","6452.998812","1.19","1.19","0.0","0.83","1.19","0.9877","12.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","6452.998812","1.19","1.19","0.0","0.63","1.19","0.7497","8.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","6452.998812","1.19","1.19","0.0","0.69","1.19","0.8211","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","6452.998812","1.19","1.19","0.0","0.9","1.19","1.071","0.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","6452.998812","1.18","1.18","0.0","0.89","1.18","1.0502","1.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","6452.998812","1.18","1.18","0.0","0.97","1.18","1.1446","0.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","6452.998812","1.18","1.18","0.0","0.92","1.18","1.0856","1.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","6452.998812","1.17","1.17","0.0","1.33","1.17","1.5561","1.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","6452.998812","1.19","1.19","0.0","0.71","1.19","0.8449","1.93","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","6452.998812","1.18","1.18","0.0","0.95","1.18","1.121","3.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","6452.998812","1.18","1.18","0.0","0.88","1.18","1.0384","6.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","6452.998812","1.19","1.19","0.0","0.77","1.19","0.9163","9.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","6452.998812","1.17","1.17","0.0","1.17","1.17","1.3689","28.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","6452.998812","1.17","1.17","0.0","1.25","1.17","1.4625","4.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","6452.998812","1.18","1.18","0.0","1.07","1.18","1.2626","10.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","6452.998812","1.18","1.18","0.0","1.08","1.18","1.2744","0.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","6452.998812","1.18","1.18","0.0","1.1","1.18","1.298","2.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","6452.998812","1.16","1.16","0.0","1.39","1.16","1.6124","8.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","6452.998812","1.17","1.17","0.0","1.16","1.17","1.3572","0.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","6452.998812","1.17","1.17","0.0","1.07","1.17","1.2519","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","6452.998812","1.17","1.17","0.0","1.09","1.17","1.2753","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","6452.998812","1.15","1.15","0.0","1.29","1.15","1.4835","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","6452.998812","1.07","1.07","0.0","0.92","1.07","0.9844","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","6452.998812","1.18","1.18","0.0","1.05","1.18","1.239","1.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","6452.998812","1.16","1.16","0.0","1.58","1.16","1.8328","3.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","6452.998812","1.13","1.13","0.0","2.3","1.13","2.599","2.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","6452.998812","1.12","1.12","0.0","2.67","1.12","2.9904","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","6452.998812","1.12","1.12","0.0","1.14","1.12","1.2768","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","6452.998812","1.04","1.04","0.0","1.1","1.04","1.144","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","6452.998812","0.95","0.95","0.0","1.47","0.95","1.3965","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","6452.998812","0.88","0.88","0.0","1.4","0.88","1.232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","6452.998812","0.82","0.82","0.0","1.6","0.82","1.312","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","6452.998812","0.76","0.76","0.0","1.88","0.76","1.4288","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","6452.998812","0.71","0.71","0.0","2.02","0.71","1.4342","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
