" Daily soil water balance output for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","1693.98","0.08","0.59","0.0","3.87","0.59","2.3","0.0","0.0","0.0","0.0","28.89","134.11","536.45","268.22","507.56","402.34","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","1693.98","0.08","0.59","0.0","3.06","0.59","1.8","0.41","0.41","0.0","0.0","30.27","134.11","536.45","268.22","506.18","402.34","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","1693.98","0.08","0.58","0.0","2.56","0.58","1.48","0.0","0.0","0.0","0.0","31.75","134.11","536.45","268.22","504.69","402.34","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","1693.98","0.08","0.57","0.0","2.6","0.57","1.48","0.0","0.0","0.0","0.0","33.24","134.11","536.45","268.22","503.21","402.34","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","1693.98","0.08","0.56","0.0","4.55","0.56","2.56","0.0","0.0","0.0","0.0","35.8","134.11","536.45","268.22","500.65","402.34","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","1693.98","0.08","0.56","0.0","3.61","0.56","2.0","0.0","0.0","0.0","0.0","37.81","134.11","536.45","268.22","498.64","402.34","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","1693.98","0.08","0.55","0.0","3.07","0.55","1.68","0.0","0.0","0.0","0.0","39.49","134.11","536.45","268.22","496.96","402.34","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","1693.98","0.08","0.54","0.0","2.59","0.54","1.4","0.0","0.0","0.0","0.0","40.88","134.11","536.45","268.22","495.56","402.34","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","1693.98","0.08","0.53","0.0","2.49","0.53","1.32","0.0","0.0","0.0","0.0","42.21","134.11","536.45","268.22","494.24","402.34","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","1693.98","0.08","0.52","0.0","3.31","0.52","1.73","0.0","0.0","0.0","0.0","43.94","134.11","536.45","268.22","492.51","402.34","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","1693.98","0.08","0.52","0.0","2.47","0.52","1.27","0.0","0.0","0.0","0.0","45.21","134.11","536.45","268.22","491.23","402.34","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","1693.98","0.08","0.51","0.0","2.1","0.51","1.07","0.0","0.0","0.0","0.0","46.28","134.11","536.45","268.22","490.17","402.34","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","1693.98","0.08","0.5","0.0","2.22","0.5","1.11","0.0","0.0","0.0","0.0","47.39","134.11","536.45","268.22","489.06","402.34","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","1693.98","0.08","0.49","0.0","4.4","0.49","2.17","0.0","0.0","0.0","0.0","49.56","134.11","536.45","268.22","486.89","402.34","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","1693.98","0.08","0.48","0.0","3.72","0.48","1.8","0.0","0.0","0.0","0.0","51.36","134.11","536.45","268.22","485.09","402.34","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","1693.98","0.08","0.48","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","52.92","134.11","536.45","268.22","483.53","402.34","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","1693.98","0.08","0.47","0.0","1.91","0.47","0.89","0.01","0.01","0.0","0.0","53.8","134.11","536.45","268.22","482.64","402.34","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","1693.98","1.17","0.46","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","47.44","134.11","536.45","268.22","489.01","402.34","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","1693.98","1.13","0.45","0.0","2.22","1.13","2.51","10.9","10.9","0.0","0.0","39.05","134.11","536.45","268.22","497.4","402.34","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","1693.98","1.11","0.44","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","42.48","134.11","536.45","268.22","493.97","402.34","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","1693.98","1.05","0.44","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","44.23","134.11","536.45","268.22","492.22","402.34","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","1693.98","0.93","0.43","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","45.96","134.11","536.45","268.22","490.48","402.34","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","1693.98","0.86","0.42","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","47.37","134.11","536.45","268.22","489.08","402.34","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","1693.98","0.81","0.41","0.0","1.15","0.81","0.94","0.0","0.0","0.0","0.0","48.31","134.11","536.45","268.22","488.14","402.34","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","1693.98","1.18","0.41","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","46.69","134.11","536.45","268.22","489.75","402.34","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","1693.98","1.17","0.4","0.0","1.3","1.17","1.52","10.25","10.25","0.0","0.0","37.96","134.11","536.45","268.22","498.49","402.34","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","1693.98","1.17","0.39","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","39.37","134.11","536.45","268.22","497.08","402.34","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","1693.98","1.17","0.38","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","40.98","134.11","536.45","268.22","495.47","402.34","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","1693.98","1.17","0.37","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","42.51","134.11","536.45","268.22","493.94","402.34","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","1693.98","1.1","0.37","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","43.97","134.11","536.45","268.22","492.48","402.34","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","1693.98","0.97","0.36","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","45.2","134.11","536.45","268.22","491.25","402.34","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","1693.98","1.11","0.35","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","44.66","134.11","536.45","268.22","491.78","402.34","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","1693.98","1.14","0.0","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","1693.98","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","27.9","26.4","536.45","268.22","508.54","510.05","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","1693.98","1.08","0.0","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","1693.98","0.97","0.0","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","27.97","26.4","536.45","268.22","508.47","510.05","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","1693.98","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","1693.98","0.84","0.0","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","27.47","26.4","536.45","268.22","508.97","510.05","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","1693.98","0.79","0.0","0.0","1.43","0.79","1.13","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","1693.98","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","27.43","26.4","536.45","268.22","509.02","510.05","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","1693.98","0.72","0.0","0.0","1.05","0.72","0.76","1.29","1.29","0.0","0.0","26.14","26.4","536.45","268.22","510.31","510.05","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","1693.98","0.68","0.0","0.0","1.77","0.68","1.21","0.0","0.0","0.0","0.0","27.35","26.4","536.45","268.22","509.1","510.05","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","1693.98","0.64","0.0","0.0","2.45","0.64","1.56","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","1693.98","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","27.42","26.4","536.45","268.22","509.03","510.05","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","1693.98","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","1693.98","0.58","0.0","0.0","0.99","0.58","0.58","0.0","0.0","0.0","0.0","26.98","26.4","536.45","268.22","509.47","510.05","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","1693.98","0.57","0.0","0.0","1.18","0.57","0.67","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","1693.98","0.55","0.0","0.0","1.12","0.55","0.62","0.0","0.0","0.0","0.0","27.02","26.4","536.45","268.22","509.43","510.05","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","1693.98","0.54","0.0","0.0","1.06","0.54","0.58","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","1693.98","1.18","0.0","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","20.54","26.4","536.45","268.22","515.91","510.05","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","1693.98","1.19","0.0","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","21.39","26.4","536.45","268.22","515.06","510.05","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","1693.98","1.18","0.0","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","22.74","26.4","536.45","268.22","513.71","510.05","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","1693.98","1.18","0.0","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","23.76","26.4","536.45","268.22","512.69","510.05","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","1693.98","1.19","0.0","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","24.41","26.4","536.45","268.22","512.04","510.05","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","1693.98","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","25.48","26.4","536.45","268.22","510.97","510.05","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","1693.98","1.17","0.0","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","25.21","26.4","536.45","268.22","511.23","510.05","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","1693.98","1.18","0.0","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","21.25","26.4","536.45","268.22","515.2","510.05","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","1693.98","1.18","0.0","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","22.0","26.4","536.45","268.22","514.45","510.05","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","1693.98","1.18","0.0","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","23.36","26.4","536.45","268.22","513.08","510.05","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","1693.98","1.16","0.0","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","14.36","26.4","536.45","268.22","522.09","510.05","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","1693.98","1.15","0.0","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","16.66","26.4","536.45","268.22","519.79","510.05","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","1693.98","1.16","0.0","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","17.66","26.4","536.45","268.22","518.79","510.05","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","1693.98","1.17","0.0","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","18.74","26.4","536.45","268.22","517.71","510.05","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","1693.98","1.11","0.0","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","19.96","26.4","536.45","268.22","516.49","510.05","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","1693.98","1.19","0.0","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","13.49","26.4","536.45","268.22","522.96","510.05","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","1693.98","1.2","0.0","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","13.45","26.4","536.45","268.22","522.99","510.05","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","1693.98","1.2","0.0","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","8.41","26.4","536.45","268.22","528.04","510.05","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","1693.98","1.17","0.0","0.0","1.13","1.17","1.33","6.74","6.74","0.0","0.0","3.0","26.4","536.45","268.22","533.45","510.05","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","1693.98","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","4.59","26.4","536.45","268.22","531.86","510.05","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","1693.98","1.17","0.0","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","5.48","26.4","536.45","268.22","530.97","510.05","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","1693.98","1.19","0.0","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","3.92","26.4","536.45","268.22","532.53","510.05","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","1693.98","1.17","0.0","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","5.71","26.4","536.45","268.22","530.74","510.05","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","1693.98","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","6.38","26.4","536.45","268.22","530.06","510.05","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","1693.98","1.18","0.0","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","6.43","26.4","536.45","268.22","530.02","510.05","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","1693.98","1.18","0.0","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","7.51","26.4","536.45","268.22","528.94","510.05","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","1693.98","1.18","0.0","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","8.38","26.4","536.45","268.22","528.06","510.05","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","1693.98","1.11","0.0","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","9.57","26.4","536.45","268.22","526.88","510.05","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","1693.98","1.01","0.0","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","10.99","26.4","536.45","268.22","525.46","510.05","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","1693.98","0.94","0.0","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","12.12","26.4","536.45","268.22","524.32","510.05","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","1693.98","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","13.17","26.4","536.45","268.22","523.28","510.05","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","1693.98","0.85","0.0","0.0","0.87","0.85","0.74","0.13","0.13","0.0","0.0","13.78","26.4","536.45","268.22","522.67","510.05","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","1693.98","1.19","0.0","0.0","0.84","1.19","1.0","14.51","14.51","0.0","0.0","0.27","26.4","536.45","268.22","536.18","510.05","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","1693.98","1.19","0.0","0.0","0.82","1.19","0.97","15.08","1.24","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","1693.98","1.2","0.0","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","1693.98","1.2","0.0","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","26.4","536.45","268.22","535.69","510.05","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","1693.98","1.19","0.0","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","1693.98","1.18","0.0","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","1693.98","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","26.4","536.45","268.22","535.31","510.05","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","1693.98","1.18","0.0","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","26.4","536.45","268.22","534.21","510.05","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","1693.98","1.17","0.0","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","1693.98","1.19","0.0","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","1693.98","1.19","0.0","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","1693.98","1.19","0.0","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","1693.98","1.19","0.0","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","1693.98","1.17","0.0","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","1693.98","1.17","0.0","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","1693.98","1.18","0.0","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","1693.98","1.18","0.0","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","26.4","536.45","268.22","535.19","510.05","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","1693.98","1.18","0.0","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","26.4","536.45","268.22","534.14","510.05","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","1693.98","1.16","0.0","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","1693.98","1.18","0.0","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","1693.98","1.17","0.0","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","26.4","536.45","268.22","535.09","510.05","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","1693.98","1.18","0.0","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","26.4","536.45","268.22","533.92","510.05","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","1693.98","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","26.4","536.45","268.22","532.35","510.05","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","1693.98","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","26.4","536.45","268.22","531.3","510.05","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","1693.98","1.1","0.0","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","26.4","536.45","268.22","530.31","510.05","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","1693.98","1.16","0.0","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","26.4","536.45","268.22","534.47","510.05","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","1693.98","1.14","0.0","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","26.4","536.45","268.22","531.75","510.05","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","1693.98","1.08","0.0","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","26.4","536.45","268.22","528.93","510.05","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","1693.98","1.01","0.0","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","26.4","536.45","268.22","527.86","510.05","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","1693.98","0.95","0.0","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","26.4","536.45","268.22","527.39","510.05","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","1693.98","0.87","0.0","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.36","26.4","536.45","268.22","526.09","510.05","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","1693.98","0.82","0.0","0.0","1.36","0.82","1.12","0.0","0.0","0.0","0.0","11.48","26.4","536.45","268.22","524.97","510.05","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","1693.98","0.77","0.0","0.0","1.59","0.77","1.23","0.0","0.0","0.0","0.0","12.7","26.4","536.45","268.22","523.75","510.05","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","1693.98","0.72","0.0","0.0","1.92","0.72","1.38","0.0","0.0","0.0","0.0","14.08","26.4","536.45","268.22","522.37","510.05","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","1693.98","0.67","0.0","0.0","2.05","0.67","1.38","0.0","0.0","0.0","0.0","15.47","26.4","536.45","268.22","520.98","510.05","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","1693.98","0.64","0.0","0.0","1.92","0.64","1.23","0.0","0.0","0.0","0.0","16.69","26.4","536.45","268.22","519.75","510.05","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","1693.98","0.61","0.0","0.0","1.88","0.61","1.15","0.0","0.0","0.0","0.0","17.84","26.4","536.45","268.22","518.61","510.05","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","1693.98","0.59","0.0","0.0","1.71","0.59","1.0","0.0","0.0","0.0","0.0","18.84","26.4","536.45","268.22","517.6","510.05","0.0","","","","","","",""
