" Daily soil water balance output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","26.91","0.08","1.0","0.0","3.77","1.0","3.76","0.0","0.0","0.0","0.0","53.09","140.12","560.48","280.24","507.38","420.36","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","26.91","0.08","0.98","0.0","3.05","0.98","2.98","0.14","0.14","0.0","0.0","55.93","140.12","560.48","280.24","504.55","420.36","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","26.91","0.08","0.95","0.0","2.6","0.95","2.48","0.0","0.0","0.0","0.0","58.41","140.12","560.48","280.24","502.06","420.36","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","26.91","0.08","0.93","0.0","2.7","0.93","2.52","0.0","0.0","0.0","0.0","60.93","140.12","560.48","280.24","499.55","420.36","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","26.91","0.08","0.91","0.0","4.17","0.91","3.8","0.0","0.0","0.0","0.0","64.73","140.12","560.48","280.24","495.75","420.36","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","26.91","0.08","0.89","0.0","3.41","0.89","3.03","0.0","0.0","0.0","0.0","67.76","140.12","560.48","280.24","492.72","420.36","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","26.91","0.08","0.87","0.0","2.98","0.87","2.58","0.0","0.0","0.0","0.0","70.34","140.12","560.48","280.24","490.13","420.36","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","26.91","0.08","0.85","0.0","2.63","0.85","2.22","0.0","0.0","0.0","0.0","72.57","140.12","560.48","280.24","487.91","420.36","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","26.91","0.08","0.82","0.0","2.48","0.82","2.04","0.0","0.0","0.0","0.0","74.61","140.12","560.48","280.24","485.86","420.36","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","26.91","0.08","0.8","0.0","3.16","0.8","2.53","0.0","0.0","0.0","0.0","77.15","140.12","560.48","280.24","483.33","420.36","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","26.91","0.08","0.78","0.0","2.48","0.78","1.94","0.0","0.0","0.0","0.0","79.08","140.12","560.48","280.24","481.39","420.36","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","26.91","0.08","0.76","0.0","2.07","0.76","1.57","0.0","0.0","0.0","0.0","80.65","140.12","560.48","280.24","479.82","420.36","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","26.91","0.08","0.74","0.0","2.25","0.74","1.66","0.0","0.0","0.0","0.0","82.31","140.12","560.48","280.24","478.17","420.36","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","26.91","0.08","0.72","0.0","4.26","0.72","3.05","0.0","0.0","0.0","0.0","85.36","140.12","560.48","280.24","475.12","420.36","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","26.91","0.08","0.69","0.0","3.56","0.69","2.47","0.0","0.0","0.0","0.0","87.83","140.12","560.48","280.24","472.65","420.36","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","26.91","0.08","0.67","0.0","3.17","0.67","2.13","0.0","0.0","0.0","0.0","89.96","140.12","560.48","280.24","470.52","420.36","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","26.91","0.08","0.65","0.0","2.2","0.65","1.43","1.35","1.35","0.0","0.0","90.04","140.12","560.48","280.24","470.44","420.36","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","26.91","1.17","0.0","0.0","1.25","1.17","1.46","16.49","16.49","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","26.91","1.13","0.0","0.0","2.17","1.13","2.46","8.53","8.53","0.0","0.0","21.98","28.05","560.48","280.24","538.5","532.43","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","26.91","1.12","0.0","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","25.37","28.05","560.48","280.24","535.11","532.43","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","26.91","1.05","0.0","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","27.17","28.05","560.48","280.24","533.31","532.43","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","26.91","0.93","0.0","0.0","1.89","0.93","1.76","0.0","0.0","0.0","0.0","28.93","28.05","560.48","280.24","531.55","532.43","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","26.91","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","26.91","0.81","0.0","0.0","1.2","0.81","0.98","0.07","0.07","0.0","0.0","28.96","28.05","560.48","280.24","531.52","532.43","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","26.91","1.18","0.0","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","23.57","28.05","560.48","280.24","536.91","532.43","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","26.91","1.17","0.0","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","19.84","28.05","560.48","280.24","540.63","532.43","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","26.91","1.17","0.0","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","21.27","28.05","560.48","280.24","539.21","532.43","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","26.91","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","22.9","28.05","560.48","280.24","537.57","532.43","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","26.91","1.17","0.0","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","24.48","28.05","560.48","280.24","536.0","532.43","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","26.91","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","25.95","28.05","560.48","280.24","534.53","532.43","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","26.91","1.14","0.0","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","26.15","28.05","560.48","280.24","534.32","532.43","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","26.91","1.13","0.0","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","27.77","28.05","560.48","280.24","532.71","532.43","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","26.91","1.13","0.0","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","29.4","28.05","560.48","280.24","531.07","532.43","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","26.91","1.03","0.0","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","26.91","0.95","0.0","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","29.31","28.05","560.48","280.24","531.17","532.43","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","26.91","0.87","0.0","0.0","1.59","0.87","1.38","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","26.91","0.81","0.0","0.0","1.47","0.81","1.2","0.0","0.0","0.0","0.0","29.25","28.05","560.48","280.24","531.23","532.43","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","26.91","0.77","0.0","0.0","1.3","0.77","1.01","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","26.91","0.74","0.0","0.0","1.35","0.74","0.99","0.0","0.0","0.0","0.0","29.04","28.05","560.48","280.24","531.43","532.43","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","26.91","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","26.91","1.18","0.0","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","26.93","28.05","560.48","280.24","533.55","532.43","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","26.91","1.17","0.0","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","28.8","28.05","560.48","280.24","531.68","532.43","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","26.91","1.16","0.0","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","26.91","1.1","0.0","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","29.83","28.05","560.48","280.24","530.65","532.43","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","26.91","1.0","0.0","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","26.91","0.94","0.0","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","28.99","28.05","560.48","280.24","531.48","532.43","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","26.91","0.88","0.0","0.0","1.24","0.88","1.1","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","26.91","0.84","0.0","0.0","1.15","0.84","0.96","0.0","0.0","0.0","0.0","29.01","28.05","560.48","280.24","531.46","532.43","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","26.91","0.8","0.0","0.0","1.15","0.8","0.92","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","26.91","1.18","0.0","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","25.23","28.05","560.48","280.24","535.25","532.43","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","26.91","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","26.1","28.05","560.48","280.24","534.38","532.43","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","26.91","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","27.55","28.05","560.48","280.24","532.93","532.43","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","26.91","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","28.63","28.05","560.48","280.24","531.84","532.43","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","26.91","1.18","0.0","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","26.91","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","29.22","28.05","560.48","280.24","531.25","532.43","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","26.91","1.17","0.0","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","27.71","28.05","560.48","280.24","532.76","532.43","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","26.91","1.18","0.0","0.0","1.12","1.18","1.32","8.07","8.07","0.0","0.0","20.96","28.05","560.48","280.24","539.52","532.43","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","26.91","1.18","0.0","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","21.83","28.05","560.48","280.24","538.65","532.43","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","26.91","1.18","0.0","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","23.4","28.05","560.48","280.24","537.07","532.43","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","26.91","1.15","0.0","0.0","1.64","1.15","1.89","10.97","10.97","0.0","0.0","14.33","28.05","560.48","280.24","546.15","532.43","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","26.91","1.15","0.0","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","16.44","28.05","560.48","280.24","544.03","532.43","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","26.91","1.16","0.0","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","17.52","28.05","560.48","280.24","542.95","532.43","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","26.91","1.17","0.0","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","18.64","28.05","560.48","280.24","541.83","532.43","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","26.91","1.1","0.0","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","19.89","28.05","560.48","280.24","540.59","532.43","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","26.91","1.19","0.0","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","16.21","28.05","560.48","280.24","544.27","532.43","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","26.91","1.2","0.0","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","15.32","28.05","560.48","280.24","545.16","532.43","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","26.91","1.19","0.0","0.0","0.65","1.19","0.78","2.49","2.49","0.0","0.0","13.6","28.05","560.48","280.24","546.87","532.43","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","26.91","1.17","0.0","0.0","1.22","1.17","1.43","12.67","12.67","0.0","0.0","2.36","28.05","560.48","280.24","558.12","532.43","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","26.91","1.17","0.0","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","3.67","28.05","560.48","280.24","556.81","532.43","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","26.91","1.17","0.0","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","4.3","28.05","560.48","280.24","556.17","532.43","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","26.91","1.18","0.0","0.0","0.91","1.18","1.08","4.58","4.58","0.0","0.0","0.8","28.05","560.48","280.24","559.68","532.43","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","26.91","1.17","0.0","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","2.5","28.05","560.48","280.24","557.97","532.43","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","26.91","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","3.19","28.05","560.48","280.24","557.29","532.43","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","26.91","1.19","0.0","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","2.22","28.05","560.48","280.24","558.25","532.43","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","26.91","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.33","28.05","560.48","280.24","557.15","532.43","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","26.91","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","4.24","28.05","560.48","280.24","556.23","532.43","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","26.91","1.19","0.0","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","5.44","28.05","560.48","280.24","555.04","532.43","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","26.91","1.18","0.0","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","6.97","28.05","560.48","280.24","553.51","532.43","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","26.91","1.17","0.0","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","8.29","28.05","560.48","280.24","552.19","532.43","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","26.91","1.07","0.0","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","9.51","28.05","560.48","280.24","550.96","532.43","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","26.91","1.18","0.0","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","6.58","28.05","560.48","280.24","553.9","532.43","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","26.91","1.19","0.0","0.0","0.87","1.19","1.03","14.96","7.61","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","26.91","1.19","0.0","0.0","0.83","1.19","0.99","12.99","0.99","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","26.91","1.19","0.0","0.0","0.63","1.19","0.75","8.15","0.75","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","26.91","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","28.05","560.48","280.24","559.65","532.43","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","26.91","1.19","0.0","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","1.28","28.05","560.48","280.24","559.19","532.43","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","26.91","1.18","0.0","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","1.31","28.05","560.48","280.24","559.17","532.43","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","26.91","1.18","0.0","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","2.25","28.05","560.48","280.24","558.23","532.43","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","26.91","1.18","0.0","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","2.15","28.05","560.48","280.24","558.32","532.43","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","26.91","1.17","0.0","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","2.27","28.05","560.48","280.24","558.21","532.43","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","26.91","1.19","0.0","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","1.18","28.05","560.48","280.24","559.29","532.43","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","26.91","1.18","0.0","0.0","0.95","1.18","1.12","3.95","2.31","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","26.91","1.18","0.0","0.0","0.88","1.18","1.04","6.37","1.04","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","26.91","1.19","0.0","0.0","0.77","1.19","0.92","9.38","0.92","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","26.91","1.17","0.0","0.0","1.17","1.17","1.37","28.89","1.37","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","26.91","1.17","0.0","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","26.91","1.18","0.0","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","26.91","1.18","0.0","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","28.05","560.48","280.24","559.92","532.43","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","26.91","1.18","0.0","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","26.91","1.16","0.0","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","26.91","1.17","0.0","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","28.05","560.48","280.24","560.04","532.43","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","26.91","1.17","0.0","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","28.05","560.48","280.24","558.79","532.43","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","26.91","1.17","0.0","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","28.05","560.48","280.24","557.51","532.43","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","26.91","1.15","0.0","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","28.05","560.48","280.24","556.03","532.43","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","26.91","1.07","0.0","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","28.05","560.48","280.24","555.04","532.43","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","26.91","1.18","0.0","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","28.05","560.48","280.24","555.75","532.43","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","26.91","1.16","0.0","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","28.05","560.48","280.24","557.67","532.43","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","26.91","1.13","0.0","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","28.05","560.48","280.24","557.95","532.43","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","26.91","1.12","0.0","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","28.05","560.48","280.24","555.34","532.43","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","26.91","1.12","0.0","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","28.05","560.48","280.24","554.26","532.43","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","26.91","1.04","0.0","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","28.05","560.48","280.24","553.15","532.43","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","26.91","0.95","0.0","0.0","1.47","0.95","1.39","0.0","0.0","0.0","0.0","8.72","28.05","560.48","280.24","551.76","532.43","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","26.91","0.88","0.0","0.0","1.4","0.88","1.23","0.0","0.0","0.0","0.0","9.95","28.05","560.48","280.24","550.53","532.43","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","26.91","0.82","0.0","0.0","1.6","0.82","1.31","0.0","0.0","0.0","0.0","11.26","28.05","560.48","280.24","549.22","532.43","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","26.91","0.76","0.0","0.0","1.88","0.76","1.42","0.0","0.0","0.0","0.0","12.68","28.05","560.48","280.24","547.79","532.43","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","26.91","0.71","0.0","0.0","2.02","0.71","1.43","0.0","0.0","0.0","0.0","14.11","28.05","560.48","280.24","546.37","532.43","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","26.91","0.67","0.0","0.0","1.96","0.67","1.3","0.0","0.0","0.0","0.0","15.41","28.05","560.48","280.24","545.06","532.43","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","26.91","0.63","0.0","0.0","1.92","0.63","1.21","0.0","0.0","0.0","0.0","16.63","28.05","560.48","280.24","543.85","532.43","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","26.91","0.61","0.0","0.0","1.75","0.61","1.06","0.0","0.0","0.0","0.0","17.69","28.05","560.48","280.24","542.79","532.43","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","26.91","0.58","0.0","0.0","1.85","0.58","1.07","0.0","0.0","0.0","0.0","18.76","28.05","560.48","280.24","541.72","532.43","0.0","","","","","","",""
