" Daily soil water balance output for Native Vegetation in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Native Vegetation in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","15.0","288.0","13683.2664015","0.08","0.4","0.0","3.77","0.4","1.508","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","16.0","289.0","13683.2664015","0.08","0.41","0.0","3.95","0.41","1.6195","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","13683.2664015","0.08","0.42","0.0","2.96","0.42","1.2432","3.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","13683.2664015","0.08","0.42","0.0","2.55","0.42","1.071","0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","13683.2664015","0.08","0.43","0.0","2.67","0.43","1.1481","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","13683.2664015","0.08","0.44","0.0","4.56","0.44","2.0064","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","13683.2664015","0.08","0.45","0.0","3.58","0.45","1.611","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","13683.2664015","0.08","0.45","0.0","3.17","0.45","1.4265","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","13683.2664015","0.08","0.46","0.0","2.63","0.46","1.2098","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","13683.2664015","0.08","0.47","0.0","2.58","0.47","1.2126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","13683.2664015","0.08","0.48","0.0","3.42","0.48","1.6416","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","13683.2664015","0.08","0.48","0.0","2.54","0.48","1.2192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","13683.2664015","0.08","0.49","0.0","2.22","0.49","1.0878","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","13683.2664015","0.08","0.5","0.0","2.22","0.5","1.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","13683.2664015","0.08","0.51","0.0","4.43","0.51","2.2593","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","13683.2664015","0.08","0.52","0.0","3.77","0.52","1.9604","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","13683.2664015","0.08","0.52","0.0","3.35","0.52","1.742","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","13683.2664015","0.08","0.53","0.0","1.92","0.53","1.0176","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","13683.2664015","1.17","0.54","0.0","1.2","1.17","1.404","8.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","13683.2664015","1.13","0.55","0.0","2.13","1.13","2.4069","8.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","13683.2664015","1.12","0.55","0.0","3.08","1.12","3.4496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","13683.2664015","1.05","0.56","0.0","1.7","1.05","1.785","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","13683.2664015","0.93","0.57","0.0","1.86","0.93","1.7298","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","13683.2664015","0.86","0.58","0.0","1.67","0.86","1.4362","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","13683.2664015","0.81","0.58","0.0","1.17","0.81","0.9477","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","13683.2664015","1.18","0.59","0.0","0.99","1.18","1.1682","5.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","13683.2664015","1.17","0.6","0.0","1.27","1.17","1.4859","9.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","13683.2664015","1.17","0.61","0.0","1.22","1.17","1.4274","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","13683.2664015","1.17","0.62","0.0","1.38","1.17","1.6146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","13683.2664015","1.17","0.62","0.0","1.33","1.17","1.5561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","13683.2664015","1.1","0.63","0.0","1.35","1.1","1.485","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","13683.2664015","1.15","0.64","0.0","1.73","1.15","1.9895","0.72","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","13683.2664015","1.12","0.65","0.0","2.63","1.12","2.9456","4.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","13683.2664015","1.14","0.65","0.0","1.43","1.14","1.6302","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","13683.2664015","1.15","0.66","0.0","1.31","1.15","1.5065","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","13683.2664015","1.08","0.67","0.0","1.33","1.08","1.4364","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","13683.2664015","0.97","0.68","0.0","1.62","0.97","1.5714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","13683.2664015","0.89","0.68","0.0","1.47","0.89","1.3083","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","13683.2664015","0.84","0.69","0.0","1.31","0.84","1.1004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","13683.2664015","0.79","0.7","0.0","1.5","0.79","1.185","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","13683.2664015","0.75","0.71","0.0","1.35","0.75","1.0125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","13683.2664015","1.18","0.72","0.0","1.01","1.18","1.1918","1.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","13683.2664015","1.17","0.72","0.0","1.68","1.17","1.9656","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","13683.2664015","1.15","0.73","0.0","2.39","1.15","2.7485","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","13683.2664015","1.07","0.74","0.0","1.64","1.07","1.7548","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","13683.2664015","0.98","0.75","0.0","1.36","0.98","1.3328","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","13683.2664015","0.92","0.75","0.0","1.03","0.92","0.9476","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","13683.2664015","0.87","0.76","0.0","1.19","0.87","1.0353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","13683.2664015","0.83","0.77","0.0","1.1","0.83","0.913","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","13683.2664015","0.79","0.78","0.0","1.19","0.79","0.9401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","13683.2664015","1.18","0.78","0.0","1.02","1.18","1.2036","8.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","13683.2664015","1.18","0.79","0.0","0.78","1.18","0.9204","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","13683.2664015","1.18","0.8","0.0","1.25","1.18","1.475","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","13683.2664015","1.18","0.81","0.0","0.93","1.18","1.0974","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","13683.2664015","1.18","0.82","0.0","0.57","1.18","0.6726","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","13683.2664015","1.18","0.82","0.0","0.95","1.18","1.121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","13683.2664015","1.17","0.83","0.0","1.32","1.17","1.5444","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","13683.2664015","1.18","0.84","0.0","1.06","1.18","1.2508","5.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","13683.2664015","1.18","0.85","0.0","0.84","1.18","0.9912","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","13683.2664015","1.18","0.85","0.0","1.24","1.18","1.4632","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","13683.2664015","1.16","0.86","0.0","1.56","1.16","1.8096","10.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","13683.2664015","1.15","0.87","0.0","1.97","1.15","2.2655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","13683.2664015","1.16","0.88","0.0","0.88","1.16","1.0208","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","13683.2664015","1.17","0.88","0.0","0.98","1.17","1.1466","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","13683.2664015","1.1","0.89","0.0","1.2","1.1","1.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","13683.2664015","1.19","0.9","0.0","0.7","1.19","0.833","9.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","13683.2664015","1.2","0.91","0.0","0.59","1.2","0.708","0.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","13683.2664015","1.2","0.92","0.0","0.61","1.2","0.732","4.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","13683.2664015","1.18","0.92","0.0","1.11","1.18","1.3098","7.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","13683.2664015","1.17","0.93","0.0","1.33","1.17","1.5561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","13683.2664015","1.17","0.94","0.0","0.98","1.17","1.1466","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","13683.2664015","1.19","0.95","0.0","0.86","1.19","1.0234","2.68","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","13683.2664015","1.17","0.95","0.0","1.51","1.17","1.7667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","13683.2664015","1.18","0.96","0.0","0.58","1.18","0.6844","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","13683.2664015","1.18","0.97","0.0","0.72","1.18","0.8496","0.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","13683.2664015","1.18","0.98","0.0","0.92","1.18","1.0856","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","13683.2664015","1.18","0.98","0.0","0.79","1.18","0.9322","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","13683.2664015","1.11","0.99","0.0","1.05","1.11","1.1655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","13683.2664015","1.01","1.0","0.0","1.39","1.01","1.4039","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","13683.2664015","0.94","1.0","0.0","1.18","1.0","1.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","13683.2664015","0.88","1.0","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","13683.2664015","0.84","1.0","0.0","0.92","1.0","0.92","0.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","13683.2664015","1.18","1.0","0.0","0.89","1.18","1.0502","14.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","13683.2664015","1.19","1.0","0.0","0.83","1.19","0.9877","16.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","13683.2664015","1.2","1.0","0.0","0.59","1.2","0.708","10.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","13683.2664015","1.2","1.0","0.0","0.65","1.2","0.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","13683.2664015","1.19","1.0","0.0","0.85","1.19","1.0115","1.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","13683.2664015","1.18","1.0","0.0","0.9","1.18","1.062","1.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","13683.2664015","1.18","1.0","0.0","1.0","1.18","1.18","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","13683.2664015","1.18","1.0","0.0","1.0","1.18","1.18","0.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","13683.2664015","1.16","1.0","0.0","1.4","1.16","1.624","2.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","13683.2664015","1.19","1.0","0.0","0.69","1.19","0.8211","2.52","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","13683.2664015","1.19","1.0","0.0","0.83","1.19","0.9877","2.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","13683.2664015","1.19","1.0","0.0","0.84","1.19","0.9996","6.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","13683.2664015","1.19","1.0","0.0","0.84","1.19","0.9996","2.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","13683.2664015","1.17","1.0","0.0","1.2","1.17","1.404","34.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","13683.2664015","1.17","1.0","0.0","1.29","1.17","1.5093","3.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","13683.2664015","1.18","1.0","0.0","1.05","1.18","1.239","19.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","13683.2664015","1.18","1.0","0.0","1.17","1.18","1.3806","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","13683.2664015","1.17","1.0","0.0","1.19","1.17","1.3923","0.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","13683.2664015","1.16","1.0","0.0","1.41","1.16","1.6356","10.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","13683.2664015","1.18","1.0","0.0","1.11","1.18","1.3098","1.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","13683.2664015","1.17","1.0","0.0","1.19","1.17","1.3923","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","13683.2664015","1.18","1.0","0.0","1.05","1.18","1.239","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","13683.2664015","1.17","1.0","0.0","1.38","1.17","1.6146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","13683.2664015","1.17","1.0","0.0","0.93","1.17","1.0881","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","13683.2664015","1.09","1.0","0.0","1.07","1.09","1.1663","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","13683.2664015","1.16","1.0","0.0","1.54","1.16","1.7864","7.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","13683.2664015","1.14","1.0","0.0","2.37","1.14","2.7018","0.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","13683.2664015","1.08","1.0","0.0","2.63","1.08","2.8404","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","13683.2664015","1.01","1.0","0.0","1.1","1.01","1.111","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","13683.2664015","0.95","1.0","0.0","1.06","1.0","1.06","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","13683.2664015","0.87","1.0","0.0","1.53","1.0","1.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","13683.2664015","0.82","1.0","0.0","1.4","1.0","1.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","13683.2664015","0.77","1.0","0.0","1.65","1.0","1.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","13683.2664015","0.72","1.0","0.0","1.92","1.0","1.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
