" Daily soil water balance output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","2229.73","0.08","0.0","0.0","3.92","0.08","0.32","0.0","0.0","0.0","0.0","31.67","31.35","601.67","300.83","570.0","570.32","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","2229.73","0.08","0.0","0.0","3.0","0.08","0.24","1.57","1.57","0.0","0.0","30.1","31.35","601.67","300.83","571.57","570.32","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","2229.73","0.08","0.0","0.0","2.58","0.08","0.21","0.14","0.14","0.0","0.0","30.17","31.35","601.67","300.83","571.5","570.32","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","2229.73","0.08","0.0","0.0","2.66","0.08","0.21","0.0","0.0","0.0","0.0","30.38","31.35","601.67","300.83","571.29","570.32","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","2229.73","0.08","0.0","0.0","4.49","0.08","0.36","0.0","0.0","0.0","0.0","30.74","31.35","601.67","300.83","570.93","570.32","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","2229.73","0.08","0.0","0.0","3.54","0.08","0.28","0.0","0.0","0.0","0.0","31.03","31.35","601.67","300.83","570.64","570.32","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","2229.73","0.08","0.0","0.0","3.11","0.08","0.25","0.0","0.0","0.0","0.0","31.28","31.35","601.67","300.83","570.39","570.32","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","2229.73","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","31.49","31.35","601.67","300.83","570.18","570.32","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","2229.73","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","2229.73","0.08","0.0","0.0","3.35","0.08","0.27","0.0","0.0","0.0","0.0","31.62","31.35","601.67","300.83","570.05","570.32","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","2229.73","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","2229.73","0.08","0.0","0.0","2.16","0.08","0.17","0.0","0.0","0.0","0.0","31.52","31.35","601.67","300.83","570.15","570.32","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","2229.73","0.08","0.0","0.0","2.21","0.08","0.18","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","2229.73","0.08","0.0","0.0","4.42","0.08","0.35","0.0","0.0","0.0","0.0","31.7","31.35","601.67","300.83","569.97","570.32","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","2229.73","0.08","0.0","0.0","3.73","0.08","0.3","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","2229.73","0.08","0.0","0.0","3.3","0.08","0.26","0.0","0.0","0.0","0.0","31.61","31.35","601.67","300.83","570.06","570.32","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","2229.73","0.08","0.0","0.0","2.01","0.08","0.16","0.22","0.22","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","2229.73","1.17","0.0","0.0","1.2","1.17","1.41","8.46","8.46","0.0","0.0","24.3","31.35","601.67","300.83","577.37","570.32","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","2229.73","1.13","0.0","0.0","2.15","1.13","2.44","9.09","9.09","0.0","0.0","17.64","31.35","601.67","300.83","584.02","570.32","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","2229.73","1.12","0.0","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","21.09","31.35","601.67","300.83","580.58","570.32","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","2229.73","1.05","0.0","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","22.87","31.35","601.67","300.83","578.8","570.32","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","2229.73","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","24.61","31.35","601.67","300.83","577.06","570.32","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","2229.73","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","26.02","31.35","601.67","300.83","575.65","570.32","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","2229.73","0.81","0.0","0.0","1.19","0.81","0.97","0.01","0.01","0.0","0.0","26.98","31.35","601.67","300.83","574.69","570.32","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","2229.73","1.18","0.0","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","23.8","31.35","601.67","300.83","577.87","570.32","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","2229.73","1.17","0.0","0.0","1.27","1.17","1.48","8.55","8.55","0.0","0.0","16.74","31.35","601.67","300.83","584.93","570.32","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","2229.73","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","18.15","31.35","601.67","300.83","583.52","570.32","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","2229.73","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","19.76","31.35","601.67","300.83","581.91","570.32","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","2229.73","1.17","0.0","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","21.32","31.35","601.67","300.83","580.35","570.32","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","2229.73","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","22.79","31.35","601.67","300.83","578.88","570.32","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","2229.73","0.97","0.0","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","23.71","31.35","601.67","300.83","577.96","570.32","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","2229.73","1.11","0.0","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","23.28","31.35","601.67","300.83","578.38","570.32","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","2229.73","1.14","0.0","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","24.92","31.35","601.67","300.83","576.75","570.32","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","2229.73","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","26.43","31.35","601.67","300.83","575.24","570.32","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","2229.73","1.07","0.0","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","27.86","31.35","601.67","300.83","573.81","570.32","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","2229.73","0.97","0.0","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","29.41","31.35","601.67","300.83","572.26","570.32","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","2229.73","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","30.71","31.35","601.67","300.83","570.96","570.32","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","2229.73","0.84","0.0","0.0","1.29","0.84","1.08","0.0","0.0","0.0","0.0","31.79","31.35","601.67","300.83","569.88","570.32","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","2229.73","0.79","0.0","0.0","1.46","0.79","1.15","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","2229.73","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","32.38","31.35","601.67","300.83","569.29","570.32","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","2229.73","1.18","0.0","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","30.32","31.35","601.67","300.83","571.35","570.32","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","2229.73","1.17","0.0","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","32.26","31.35","601.67","300.83","569.41","570.32","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","2229.73","1.15","0.0","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","2229.73","1.08","0.0","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","33.12","31.35","601.67","300.83","568.55","570.32","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","2229.73","0.99","0.0","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","2229.73","0.93","0.0","0.0","1.01","0.93","0.94","0.0","0.0","0.0","0.0","32.29","31.35","601.67","300.83","569.38","570.32","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","2229.73","0.88","0.0","0.0","1.2","0.88","1.05","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","2229.73","0.83","0.0","0.0","1.11","0.83","0.92","0.0","0.0","0.0","0.0","32.27","31.35","601.67","300.83","569.4","570.32","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","2229.73","0.79","0.0","0.0","1.16","0.79","0.92","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","2229.73","1.18","0.0","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","24.81","31.35","601.67","300.83","576.86","570.32","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","2229.73","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","25.71","31.35","601.67","300.83","575.96","570.32","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","2229.73","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","27.16","31.35","601.67","300.83","574.51","570.32","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","2229.73","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","28.25","31.35","601.67","300.83","573.42","570.32","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","2229.73","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","28.92","31.35","601.67","300.83","572.74","570.32","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","2229.73","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","30.06","31.35","601.67","300.83","571.61","570.32","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","2229.73","1.09","0.0","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","30.65","31.35","601.67","300.83","571.01","570.32","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","2229.73","1.18","0.0","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","24.68","31.35","601.67","300.83","576.99","570.32","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","2229.73","1.18","0.0","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","25.21","31.35","601.67","300.83","576.46","570.32","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","2229.73","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","26.72","31.35","601.67","300.83","574.95","570.32","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","2229.73","1.16","0.0","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","18.21","31.35","601.67","300.83","583.46","570.32","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","2229.73","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","20.45","31.35","601.67","300.83","581.22","570.32","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","2229.73","1.16","0.0","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","21.48","31.35","601.67","300.83","580.19","570.32","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","2229.73","1.17","0.0","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","22.61","31.35","601.67","300.83","579.06","570.32","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","2229.73","1.1","0.0","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","23.89","31.35","601.67","300.83","577.78","570.32","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","2229.73","1.19","0.0","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","17.31","31.35","601.67","300.83","584.36","570.32","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","2229.73","1.2","0.0","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","16.97","31.35","601.67","300.83","584.7","570.32","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","2229.73","1.2","0.0","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","13.21","31.35","601.67","300.83","588.46","570.32","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","2229.73","1.17","0.0","0.0","1.15","1.17","1.35","8.62","8.62","0.0","0.0","5.94","31.35","601.67","300.83","595.73","570.32","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","2229.73","1.17","0.0","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","7.56","31.35","601.67","300.83","594.11","570.32","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","2229.73","1.17","0.0","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","8.56","31.35","601.67","300.83","593.11","570.32","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","2229.73","1.19","0.0","0.0","0.87","1.19","1.03","4.18","4.18","0.0","0.0","5.41","31.35","601.67","300.83","596.26","570.32","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","2229.73","1.17","0.0","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","7.17","31.35","601.67","300.83","594.5","570.32","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","2229.73","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","7.85","31.35","601.67","300.83","593.82","570.32","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","2229.73","1.19","0.0","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","7.69","31.35","601.67","300.83","593.98","570.32","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","2229.73","1.19","0.0","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","8.55","31.35","601.67","300.83","593.12","570.32","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","2229.73","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","9.48","31.35","601.67","300.83","592.19","570.32","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","2229.73","1.19","0.0","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","10.71","31.35","601.67","300.83","590.96","570.32","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","2229.73","1.18","0.0","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","12.33","31.35","601.67","300.83","589.34","570.32","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","2229.73","1.15","0.0","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","13.68","31.35","601.67","300.83","587.99","570.32","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","2229.73","1.05","0.0","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","14.93","31.35","601.67","300.83","586.74","570.32","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","2229.73","0.99","0.0","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","15.19","31.35","601.67","300.83","586.48","570.32","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","2229.73","1.18","0.0","0.0","0.88","1.18","1.04","15.0","15.0","0.0","0.0","1.23","31.35","601.67","300.83","600.44","570.32","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","2229.73","1.19","0.0","0.0","0.83","1.19","0.99","15.19","2.22","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","2229.73","1.2","0.0","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","2229.73","1.19","0.0","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","31.35","601.67","300.83","600.88","570.32","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","2229.73","1.19","0.0","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","31.35","601.67","300.83","601.48","570.32","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","2229.73","1.18","0.0","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","31.35","601.67","300.83","601.65","570.32","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","2229.73","1.18","0.0","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","31.35","601.67","300.83","600.51","570.32","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","2229.73","1.18","0.0","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","31.35","601.67","300.83","599.55","570.32","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","2229.73","1.17","0.0","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","31.35","601.67","300.83","599.98","570.32","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","2229.73","1.19","0.0","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","2229.73","1.19","0.0","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","2229.73","1.19","0.0","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","2229.73","1.19","0.0","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","2229.73","1.17","0.0","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","2229.73","1.17","0.0","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","2229.73","1.18","0.0","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","2229.73","1.18","0.0","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","31.35","601.67","300.83","600.45","570.32","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","2229.73","1.18","0.0","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","31.35","601.67","300.83","599.5","570.32","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","2229.73","1.16","0.0","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","2229.73","1.17","0.0","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","31.35","601.67","300.83","601.41","570.32","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","2229.73","1.17","0.0","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","31.35","601.67","300.83","600.11","570.32","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","2229.73","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","31.35","601.67","300.83","598.89","570.32","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","2229.73","1.14","0.0","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","31.35","601.67","300.83","597.35","570.32","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","2229.73","1.06","0.0","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","31.35","601.67","300.83","596.37","570.32","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","2229.73","0.99","0.0","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","31.35","601.67","300.83","595.81","570.32","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","2229.73","1.16","0.0","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","31.35","601.67","300.83","601.03","570.32","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","2229.73","1.14","0.0","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","31.35","601.67","300.83","598.9","570.32","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","2229.73","1.08","0.0","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","31.35","601.67","300.83","596.04","570.32","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","2229.73","1.0","0.0","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","31.35","601.67","300.83","594.96","570.32","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","2229.73","0.94","0.0","0.0","1.07","0.94","1.01","0.4","0.4","0.0","0.0","7.32","31.35","601.67","300.83","594.35","570.32","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","2229.73","0.87","0.0","0.0","1.51","0.87","1.31","0.0","0.0","0.0","0.0","8.63","31.35","601.67","300.83","593.04","570.32","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","2229.73","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","9.77","31.35","601.67","300.83","591.9","570.32","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","2229.73","0.77","0.0","0.0","1.63","0.77","1.25","0.0","0.0","0.0","0.0","11.02","31.35","601.67","300.83","590.65","570.32","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","2229.73","0.72","0.0","0.0","1.9","0.72","1.36","0.0","0.0","0.0","0.0","12.38","31.35","601.67","300.83","589.29","570.32","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","2229.73","0.67","0.0","0.0","2.02","0.67","1.36","0.0","0.0","0.0","0.0","13.74","31.35","601.67","300.83","587.93","570.32","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","2229.73","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","14.98","31.35","601.67","300.83","586.68","570.32","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","2229.73","0.61","0.0","0.0","1.92","0.61","1.17","0.0","0.0","0.0","0.0","16.15","31.35","601.67","300.83","585.52","570.32","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","2229.73","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","17.18","31.35","601.67","300.83","584.49","570.32","0.0","","","","","","",""
