" Daily soil water balance output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","875.57","0.08","0.61","0.0","3.92","0.61","2.4","0.0","0.0","0.0","0.0","51.02","28.5","231.65","115.82","180.63","203.15","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","875.57","0.08","0.6","0.0","3.0","0.6","1.8","1.57","1.57","0.0","0.0","51.25","28.5","231.65","115.82","180.4","203.15","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","875.57","0.08","0.0","0.0","2.58","0.08","0.21","0.14","0.14","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","875.57","0.08","0.0","0.0","2.66","0.08","0.21","0.0","0.0","0.0","0.0","28.71","28.5","231.65","115.82","202.93","203.15","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","875.57","0.08","0.0","0.0","4.49","0.08","0.36","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","875.57","0.08","0.0","0.0","3.54","0.08","0.28","0.0","0.0","0.0","0.0","28.78","28.5","231.65","115.82","202.86","203.15","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","875.57","0.08","0.0","0.0","3.11","0.08","0.25","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","875.57","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","28.71","28.5","231.65","115.82","202.94","203.15","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","875.57","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","875.57","0.08","0.0","0.0","3.35","0.08","0.27","0.0","0.0","0.0","0.0","28.77","28.5","231.65","115.82","202.88","203.15","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","875.57","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","875.57","0.08","0.0","0.0","2.16","0.08","0.17","0.0","0.0","0.0","0.0","28.67","28.5","231.65","115.82","202.98","203.15","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","875.57","0.08","0.0","0.0","2.21","0.08","0.18","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","875.57","0.08","0.0","0.0","4.42","0.08","0.35","0.0","0.0","0.0","0.0","28.85","28.5","231.65","115.82","202.8","203.15","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","875.57","0.08","0.0","0.0","3.73","0.08","0.3","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","875.57","0.08","0.0","0.0","3.3","0.08","0.26","0.0","0.0","0.0","0.0","28.76","28.5","231.65","115.82","202.89","203.15","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","875.57","0.08","0.0","0.0","2.01","0.08","0.16","0.22","0.22","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","875.57","1.17","0.0","0.0","1.2","1.17","1.41","8.46","8.46","0.0","0.0","21.45","28.5","231.65","115.82","210.2","203.15","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","875.57","1.13","0.0","0.0","2.15","1.13","2.44","9.09","9.09","0.0","0.0","14.79","28.5","231.65","115.82","216.85","203.15","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","875.57","1.12","0.0","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","18.24","28.5","231.65","115.82","213.41","203.15","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","875.57","1.05","0.0","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","20.02","28.5","231.65","115.82","211.63","203.15","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","875.57","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","21.76","28.5","231.65","115.82","209.89","203.15","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","875.57","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","23.17","28.5","231.65","115.82","208.48","203.15","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","875.57","0.81","0.0","0.0","1.19","0.81","0.97","0.01","0.01","0.0","0.0","24.13","28.5","231.65","115.82","207.52","203.15","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","875.57","1.18","0.0","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","20.95","28.5","231.65","115.82","210.7","203.15","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","875.57","1.17","0.0","0.0","1.27","1.17","1.48","8.55","8.55","0.0","0.0","13.89","28.5","231.65","115.82","217.76","203.15","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","875.57","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","15.3","28.5","231.65","115.82","216.35","203.15","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","875.57","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","16.91","28.5","231.65","115.82","214.73","203.15","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","875.57","1.17","0.0","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","18.47","28.5","231.65","115.82","213.18","203.15","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","875.57","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","19.94","28.5","231.65","115.82","211.71","203.15","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","875.57","0.97","0.0","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","20.86","28.5","231.65","115.82","210.79","203.15","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","875.57","1.11","0.0","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","20.43","28.5","231.65","115.82","211.21","203.15","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","875.57","1.14","0.0","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","22.07","28.5","231.65","115.82","209.58","203.15","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","875.57","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","23.58","28.5","231.65","115.82","208.07","203.15","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","875.57","1.07","0.0","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","25.01","28.5","231.65","115.82","206.64","203.15","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","875.57","0.97","0.0","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","26.56","28.5","231.65","115.82","205.09","203.15","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","875.57","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","27.86","28.5","231.65","115.82","203.79","203.15","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","875.57","0.84","0.0","0.0","1.29","0.84","1.08","0.0","0.0","0.0","0.0","28.94","28.5","231.65","115.82","202.7","203.15","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","875.57","0.79","0.0","0.0","1.46","0.79","1.15","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","875.57","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","29.53","28.5","231.65","115.82","202.12","203.15","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","875.57","1.18","0.0","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","27.47","28.5","231.65","115.82","204.18","203.15","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","875.57","1.17","0.0","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","29.41","28.5","231.65","115.82","202.23","203.15","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","875.57","1.15","0.0","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","875.57","1.08","0.0","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","30.27","28.5","231.65","115.82","201.38","203.15","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","875.57","0.99","0.0","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","875.57","0.93","0.0","0.0","1.01","0.93","0.94","0.0","0.0","0.0","0.0","29.44","28.5","231.65","115.82","202.21","203.15","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","875.57","0.88","0.0","0.0","1.2","0.88","1.05","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","875.57","0.83","0.0","0.0","1.11","0.83","0.92","0.0","0.0","0.0","0.0","29.42","28.5","231.65","115.82","202.22","203.15","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","875.57","0.79","0.0","0.0","1.16","0.79","0.92","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","875.57","1.18","0.0","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","21.96","28.5","231.65","115.82","209.69","203.15","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","875.57","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","22.86","28.5","231.65","115.82","208.79","203.15","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","875.57","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","24.31","28.5","231.65","115.82","207.33","203.15","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","875.57","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","25.4","28.5","231.65","115.82","206.25","203.15","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","875.57","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","26.07","28.5","231.65","115.82","205.57","203.15","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","875.57","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","27.21","28.5","231.65","115.82","204.44","203.15","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","875.57","1.09","0.0","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","27.8","28.5","231.65","115.82","203.84","203.15","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","875.57","1.18","0.0","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","21.83","28.5","231.65","115.82","209.82","203.15","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","875.57","1.18","0.0","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","22.36","28.5","231.65","115.82","209.29","203.15","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","875.57","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","23.87","28.5","231.65","115.82","207.78","203.15","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","875.57","1.16","0.0","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","15.36","28.5","231.65","115.82","216.29","203.15","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","875.57","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","17.6","28.5","231.65","115.82","214.05","203.15","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","875.57","1.16","0.0","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","18.63","28.5","231.65","115.82","213.02","203.15","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","875.57","1.17","0.0","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","19.76","28.5","231.65","115.82","211.89","203.15","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","875.57","1.1","0.0","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","21.04","28.5","231.65","115.82","210.61","203.15","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","875.57","1.19","0.0","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","14.46","28.5","231.65","115.82","217.19","203.15","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","875.57","1.2","0.0","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","14.12","28.5","231.65","115.82","217.53","203.15","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","875.57","1.2","0.0","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","10.36","28.5","231.65","115.82","221.29","203.15","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","875.57","1.17","0.0","0.0","1.15","1.17","1.35","8.62","8.62","0.0","0.0","3.09","28.5","231.65","115.82","228.56","203.15","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","875.57","1.17","0.0","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","4.71","28.5","231.65","115.82","226.94","203.15","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","875.57","1.17","0.0","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","5.71","28.5","231.65","115.82","225.94","203.15","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","875.57","1.19","0.0","0.0","0.87","1.19","1.03","4.18","4.18","0.0","0.0","2.56","28.5","231.65","115.82","229.09","203.15","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","875.57","1.17","0.0","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","4.32","28.5","231.65","115.82","227.33","203.15","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","875.57","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","5.0","28.5","231.65","115.82","226.65","203.15","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","875.57","1.19","0.0","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","4.84","28.5","231.65","115.82","226.81","203.15","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","875.57","1.19","0.0","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","5.7","28.5","231.65","115.82","225.95","203.15","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","875.57","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","6.63","28.5","231.65","115.82","225.02","203.15","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","875.57","1.19","0.0","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","7.86","28.5","231.65","115.82","223.79","203.15","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","875.57","1.18","0.0","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","9.48","28.5","231.65","115.82","222.17","203.15","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","875.57","1.15","0.0","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","10.83","28.5","231.65","115.82","220.82","203.15","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","875.57","1.05","0.0","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","12.08","28.5","231.65","115.82","219.57","203.15","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","875.57","0.99","0.0","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","12.34","28.5","231.65","115.82","219.31","203.15","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","875.57","1.18","0.0","0.0","0.88","1.18","1.04","15.0","13.38","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","875.57","1.19","0.0","0.0","0.83","1.19","0.99","15.19","0.99","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","875.57","1.2","0.0","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","875.57","1.19","0.0","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","28.5","231.65","115.82","230.86","203.15","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","875.57","1.19","0.0","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","28.5","231.65","115.82","231.46","203.15","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","875.57","1.18","0.0","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","28.5","231.65","115.82","231.62","203.15","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","875.57","1.18","0.0","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","28.5","231.65","115.82","230.48","203.15","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","875.57","1.18","0.0","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","28.5","231.65","115.82","229.53","203.15","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","875.57","1.17","0.0","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","28.5","231.65","115.82","229.96","203.15","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","875.57","1.19","0.0","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","875.57","1.19","0.0","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","875.57","1.19","0.0","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","875.57","1.19","0.0","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","875.57","1.17","0.0","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","875.57","1.17","0.0","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","875.57","1.18","0.0","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","875.57","1.18","0.0","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","28.5","231.65","115.82","230.43","203.15","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","875.57","1.18","0.0","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","28.5","231.65","115.82","229.48","203.15","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","875.57","1.16","0.0","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","875.57","1.17","0.0","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","28.5","231.65","115.82","231.39","203.15","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","875.57","1.17","0.0","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","28.5","231.65","115.82","230.09","203.15","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","875.57","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","28.5","231.65","115.82","228.87","203.15","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","875.57","1.14","0.0","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","28.5","231.65","115.82","227.33","203.15","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","875.57","1.06","0.0","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","28.5","231.65","115.82","226.35","203.15","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","875.57","0.99","0.0","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","28.5","231.65","115.82","225.79","203.15","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","875.57","1.16","0.0","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","28.5","231.65","115.82","231.01","203.15","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","875.57","1.14","0.0","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","28.5","231.65","115.82","228.88","203.15","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","875.57","1.08","0.0","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","28.5","231.65","115.82","226.02","203.15","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","875.57","1.0","0.0","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","28.5","231.65","115.82","224.94","203.15","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","875.57","0.94","0.0","0.0","1.07","0.94","1.01","0.4","0.4","0.0","0.0","7.32","28.5","231.65","115.82","224.33","203.15","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","875.57","0.87","0.0","0.0","1.51","0.87","1.31","0.0","0.0","0.0","0.0","8.63","28.5","231.65","115.82","223.02","203.15","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","875.57","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","9.77","28.5","231.65","115.82","221.88","203.15","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","875.57","0.77","0.0","0.0","1.63","0.77","1.25","0.0","0.0","0.0","0.0","11.02","28.5","231.65","115.82","220.63","203.15","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","875.57","0.72","0.0","0.0","1.9","0.72","1.36","0.0","0.0","0.0","0.0","12.38","28.5","231.65","115.82","219.27","203.15","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","875.57","0.67","0.0","0.0","2.02","0.67","1.36","0.0","0.0","0.0","0.0","13.74","28.5","231.65","115.82","217.91","203.15","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","875.57","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","14.98","28.5","231.65","115.82","216.66","203.15","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","875.57","0.61","0.0","0.0","1.92","0.61","1.17","0.0","0.0","0.0","0.0","16.15","28.5","231.65","115.82","215.5","203.15","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","875.57","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","17.18","28.5","231.65","115.82","214.47","203.15","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","875.57","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","28.5","231.65","115.82","213.43","203.15","0.0","","","","","","",""
