" Daily soil water balance output for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","7218.93","0.08","0.9","0.0","3.87","0.9","3.48","0.0","0.0","0.0","0.0","72.18","124.88","536.45","268.22","464.27","411.56","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","7218.93","0.08","0.9","0.0","3.06","0.9","2.75","0.41","0.41","0.0","0.0","74.52","124.88","536.45","268.22","461.93","411.56","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","7218.93","0.08","0.9","0.0","2.56","0.9","2.3","0.0","0.0","0.0","0.0","76.82","124.88","536.45","268.22","459.62","411.56","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","7218.93","0.08","0.9","0.0","2.6","0.9","2.34","0.0","0.0","0.0","0.0","79.16","124.88","536.45","268.22","457.28","411.56","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","7218.93","0.08","0.9","0.0","4.55","0.9","4.1","0.0","0.0","0.0","0.0","83.26","124.88","536.45","268.22","453.19","411.56","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","7218.93","0.08","0.9","0.0","3.61","0.9","3.25","0.0","0.0","0.0","0.0","86.51","124.88","536.45","268.22","449.94","411.56","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","7218.93","0.08","0.9","0.0","3.07","0.9","2.76","0.0","0.0","0.0","0.0","89.27","124.88","536.45","268.22","447.18","411.56","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","7218.93","0.08","0.9","0.0","2.59","0.9","2.33","0.0","0.0","0.0","0.0","91.6","124.88","536.45","268.22","444.85","411.56","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","7218.93","0.08","0.9","0.0","2.49","0.9","2.24","0.0","0.0","0.0","0.0","93.84","124.88","536.45","268.22","442.61","411.56","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","7218.93","0.08","0.9","0.0","3.31","0.9","2.98","0.0","0.0","0.0","0.0","96.82","124.88","536.45","268.22","439.63","411.56","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","7218.93","0.08","0.9","0.0","2.47","0.9","2.22","0.0","0.0","0.0","0.0","99.05","124.88","536.45","268.22","437.4","411.56","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","7218.93","0.08","0.9","0.0","2.1","0.9","1.89","0.0","0.0","0.0","0.0","100.94","124.88","536.45","268.22","435.51","411.56","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","7218.93","0.08","0.9","0.0","2.22","0.9","2.0","0.0","0.0","0.0","0.0","102.93","124.88","536.45","268.22","433.52","411.56","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","7218.93","0.08","0.9","0.0","4.4","0.9","3.96","0.0","0.0","0.0","0.0","106.89","124.88","536.45","268.22","429.56","411.56","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","7218.93","0.08","0.9","0.0","3.72","0.9","3.35","0.0","0.0","0.0","0.0","110.24","124.88","536.45","268.22","426.21","411.56","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","7218.93","0.08","0.9","0.0","3.28","0.9","2.95","0.0","0.0","0.0","0.0","113.19","124.88","536.45","268.22","423.26","411.56","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","7218.93","0.08","0.9","0.0","1.91","0.9","1.72","0.01","0.01","0.0","0.0","114.9","124.88","536.45","268.22","421.55","411.56","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","7218.93","1.17","0.9","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","108.53","124.88","536.45","268.22","427.91","411.56","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","7218.93","1.13","0.9","0.0","2.22","1.13","2.51","10.9","10.9","0.0","0.0","100.15","124.88","536.45","268.22","436.3","411.56","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","7218.93","1.11","0.9","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","103.58","124.88","536.45","268.22","432.87","411.56","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","7218.93","1.05","0.9","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","105.32","124.88","536.45","268.22","431.13","411.56","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","7218.93","0.93","0.9","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","107.06","124.88","536.45","268.22","429.39","411.56","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","7218.93","0.86","0.9","0.0","1.64","0.9","1.48","0.0","0.0","0.0","0.0","108.54","124.88","536.45","268.22","427.91","411.56","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","7218.93","0.81","0.9","0.0","1.15","0.9","1.04","0.0","0.0","0.0","0.0","109.57","124.88","536.45","268.22","426.87","411.56","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","7218.93","1.18","0.9","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","107.96","124.88","536.45","268.22","428.49","411.56","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","7218.93","1.17","0.9","0.0","1.3","1.17","1.52","10.25","10.25","0.0","0.0","99.23","124.88","536.45","268.22","437.22","411.56","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","7218.93","1.17","0.9","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","100.63","124.88","536.45","268.22","435.81","411.56","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","7218.93","1.17","0.9","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","102.25","124.88","536.45","268.22","434.2","411.56","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","7218.93","1.17","0.9","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","103.78","124.88","536.45","268.22","432.67","411.56","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","7218.93","1.1","0.9","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","105.24","124.88","536.45","268.22","431.21","411.56","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","7218.93","0.97","0.9","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","106.47","124.88","536.45","268.22","429.98","411.56","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","7218.93","1.11","0.9","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","105.93","124.88","536.45","268.22","430.52","411.56","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","7218.93","1.14","0.9","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","107.58","124.88","536.45","268.22","428.87","411.56","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","7218.93","1.15","0.9","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","109.09","124.88","536.45","268.22","427.36","411.56","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","7218.93","1.08","0.9","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","110.51","124.88","536.45","268.22","425.94","411.56","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","7218.93","0.97","0.9","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","112.08","124.88","536.45","268.22","424.37","411.56","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","7218.93","0.89","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","113.39","124.88","536.45","268.22","423.05","411.56","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","7218.93","0.84","0.9","0.0","1.28","0.9","1.15","0.0","0.0","0.0","0.0","114.55","124.88","536.45","268.22","421.9","411.56","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","7218.93","0.79","0.9","0.0","1.43","0.9","1.29","0.0","0.0","0.0","0.0","115.83","124.88","536.45","268.22","420.61","411.56","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","7218.93","0.75","0.9","0.0","1.37","0.9","1.23","0.0","0.0","0.0","0.0","117.07","124.88","536.45","268.22","419.38","411.56","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","7218.93","0.72","0.9","0.0","1.05","0.9","0.95","1.29","1.29","0.0","0.0","116.72","124.88","536.45","268.22","419.73","411.56","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","7218.93","0.68","0.9","0.0","1.77","0.9","1.59","0.0","0.0","0.0","0.0","118.31","124.88","536.45","268.22","418.13","411.56","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","7218.93","0.64","0.9","0.0","2.45","0.9","2.21","0.0","0.0","0.0","0.0","120.52","124.88","536.45","268.22","415.93","411.56","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","7218.93","0.61","0.9","0.0","1.67","0.9","1.5","0.0","0.0","0.0","0.0","122.02","124.88","536.45","268.22","414.43","411.56","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","7218.93","0.59","0.9","0.0","1.37","0.9","1.23","0.0","0.0","0.0","0.0","123.26","124.88","536.45","268.22","413.19","411.56","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","7218.93","0.58","0.9","0.0","0.99","0.9","0.89","0.0","0.0","0.0","0.0","124.15","124.88","536.45","268.22","412.3","411.56","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","7218.93","0.57","0.9","0.0","1.18","0.9","1.06","0.0","0.0","0.0","0.0","0.0","124.88","536.45","268.22","536.45","411.56","125.21","","","","","","",""
"2015.0","12.0","2.0","336.0","7218.93","0.55","0.9","0.0","1.12","0.9","1.01","0.0","0.0","0.0","0.0","1.01","124.88","536.45","268.22","535.44","411.56","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","7218.93","0.54","0.9","0.0","1.06","0.9","0.95","0.0","0.0","0.0","0.0","1.96","124.88","536.45","268.22","534.49","411.56","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","7218.93","1.18","0.9","0.0","0.99","1.18","1.17","7.03","3.13","0.0","0.0","0.0","124.88","536.45","268.22","536.45","411.56","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","7218.93","1.19","0.9","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","0.85","124.88","536.45","268.22","535.59","411.56","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","7218.93","1.18","0.9","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","2.2","124.88","536.45","268.22","534.25","411.56","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","7218.93","1.18","0.9","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","3.22","124.88","536.45","268.22","533.23","411.56","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","7218.93","1.19","0.9","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","3.87","124.88","536.45","268.22","532.57","411.56","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","7218.93","1.19","0.9","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","4.94","124.88","536.45","268.22","531.51","411.56","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","7218.93","1.17","0.9","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","4.68","124.88","536.45","268.22","531.77","411.56","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","7218.93","1.18","0.9","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","0.71","124.88","536.45","268.22","535.74","411.56","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","7218.93","1.18","0.9","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","1.46","124.88","536.45","268.22","534.99","411.56","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","7218.93","1.18","0.9","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","2.83","124.88","536.45","268.22","533.62","411.56","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","7218.93","1.16","0.9","0.0","1.56","1.16","1.81","10.81","4.63","0.0","0.0","0.0","124.88","536.45","268.22","536.45","411.56","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","7218.93","1.15","0.9","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","2.3","124.88","536.45","268.22","534.15","411.56","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","7218.93","1.16","0.9","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","3.3","124.88","536.45","268.22","533.15","411.56","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","7218.93","1.17","0.9","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","4.38","124.88","536.45","268.22","532.07","411.56","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","7218.93","1.11","0.9","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","5.6","124.88","536.45","268.22","530.85","411.56","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","7218.93","1.19","0.9","0.0","0.72","1.19","0.86","7.33","6.46","0.0","0.0","0.0","124.88","536.45","268.22","536.45","411.56","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","7218.93","1.2","0.9","0.0","0.55","1.2","0.66","0.69","0.66","0.0","0.0","0.0","124.88","536.45","268.22","536.45","411.56","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","7218.93","1.2","0.9","0.0","0.59","1.2","0.71","5.75","0.71","0.0","0.0","0.0","124.88","536.45","268.22","536.45","411.56","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","7218.93","1.17","0.9","0.0","1.13","1.17","1.33","6.74","1.33","0.0","0.0","0.0","124.88","536.45","268.22","536.45","411.56","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","7218.93","1.17","0.9","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","1.59","124.88","536.45","268.22","534.86","411.56","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","7218.93","1.17","0.9","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","2.48","124.88","536.45","268.22","533.97","411.56","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","7218.93","1.19","0.9","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","0.92","124.88","536.45","268.22","535.53","411.56","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","7218.93","1.17","0.9","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","2.71","124.88","536.45","268.22","533.74","411.56","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","7218.93","1.18","0.9","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","3.39","124.88","536.45","268.22","533.06","411.56","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","7218.93","1.18","0.9","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","3.43","124.88","536.45","268.22","533.02","411.56","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","7218.93","1.18","0.9","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","4.51","124.88","536.45","268.22","531.94","411.56","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","7218.93","1.18","0.9","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","5.39","124.88","536.45","268.22","531.06","411.56","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","7218.93","1.11","0.9","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","6.57","124.88","536.45","268.22","529.88","411.56","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","7218.93","1.01","0.9","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","7.99","123.17","536.45","268.22","528.46","413.28","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","7218.93","0.94","0.9","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","9.13","123.17","536.45","268.22","527.32","413.28","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","7218.93","0.88","0.9","0.0","1.19","0.9","1.07","0.0","0.0","0.0","0.0","10.2","123.17","536.45","268.22","526.25","413.28","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","7218.93","0.85","0.9","0.0","0.87","0.9","0.78","0.13","0.13","0.0","0.0","10.85","123.17","536.45","268.22","525.6","413.28","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","7218.93","1.19","0.9","0.0","0.84","1.19","1.0","14.51","11.85","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","7218.93","1.19","0.9","0.0","0.82","1.19","0.97","15.08","0.97","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","7218.93","1.2","0.9","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","7218.93","1.2","0.9","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","123.17","536.45","268.22","535.69","413.28","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","7218.93","1.19","0.9","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","7218.93","1.18","0.9","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","7218.93","1.18","0.9","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","123.17","536.45","268.22","535.31","413.28","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","7218.93","1.18","0.9","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","123.17","536.45","268.22","534.21","413.28","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","7218.93","1.17","0.9","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","7218.93","1.19","0.9","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","7218.93","1.19","0.9","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","7218.93","1.19","0.9","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","7218.93","1.19","0.9","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","7218.93","1.17","0.9","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","7218.93","1.17","0.9","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","7218.93","1.18","0.9","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","7218.93","1.18","0.9","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","123.17","536.45","268.22","535.19","413.28","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","7218.93","1.18","0.9","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","123.17","536.45","268.22","534.14","413.28","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","7218.93","1.16","0.9","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","7218.93","1.18","0.9","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","7218.93","1.17","0.9","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","123.17","536.45","268.22","535.09","413.28","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","7218.93","1.18","0.9","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","123.17","536.45","268.22","533.92","413.28","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","7218.93","1.17","0.9","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","123.17","536.45","268.22","532.35","413.28","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","7218.93","1.18","0.9","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","123.17","536.45","268.22","531.3","413.28","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","7218.93","1.1","0.9","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","123.17","536.45","268.22","530.31","413.28","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","7218.93","1.16","0.9","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","123.17","536.45","268.22","534.47","413.28","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","7218.93","1.14","0.9","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","123.17","536.45","268.22","531.75","413.28","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","7218.93","1.08","0.9","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","123.17","536.45","268.22","528.93","413.28","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","7218.93","1.01","0.9","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","123.17","536.45","268.22","527.86","413.28","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","7218.93","0.95","0.9","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","123.17","536.45","268.22","527.39","413.28","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","7218.93","0.87","0.9","0.0","1.49","0.9","1.34","0.0","0.0","0.0","0.0","10.39","123.17","536.45","268.22","526.05","413.28","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","7218.93","0.82","0.9","0.0","1.36","0.9","1.22","0.0","0.0","0.0","0.0","11.62","123.17","536.45","268.22","524.83","413.28","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","7218.93","0.77","0.9","0.0","1.59","0.9","1.43","0.0","0.0","0.0","0.0","13.05","123.17","536.45","268.22","523.4","413.28","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","7218.93","0.72","0.9","0.0","1.92","0.9","1.73","0.0","0.0","0.0","0.0","14.78","123.17","536.45","268.22","521.67","413.28","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","7218.93","0.67","0.9","0.0","2.05","0.9","1.85","0.0","0.0","0.0","0.0","16.62","123.17","536.45","268.22","519.83","413.28","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","7218.93","0.64","0.9","0.0","1.92","0.9","1.73","0.0","0.0","0.0","0.0","18.35","123.17","536.45","268.22","518.1","413.28","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","7218.93","0.61","0.9","0.0","1.88","0.9","1.69","0.0","0.0","0.0","0.0","20.04","123.17","536.45","268.22","516.41","413.28","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","7218.93","0.59","0.9","0.0","1.71","0.9","1.54","0.0","0.0","0.0","0.0","21.58","123.17","536.45","268.22","514.87","413.28","0.0","","","","","","",""
