" Daily soil water balance output for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","483.26","0.08","0.91","0.0","3.77","0.91","3.44","0.0","0.0","0.0","0.0","42.61","118.65","474.62","237.31","432.01","355.96","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","483.26","0.08","0.91","0.0","3.05","0.91","2.76","0.14","0.14","0.0","0.0","45.23","118.65","474.62","237.31","429.39","355.96","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","483.26","0.08","0.9","0.0","2.6","0.9","2.33","0.0","0.0","0.0","0.0","47.56","118.65","474.62","237.31","427.05","355.96","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","483.26","0.08","0.89","0.0","2.7","0.89","2.41","0.0","0.0","0.0","0.0","49.97","118.65","474.62","237.31","424.65","355.96","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","483.26","0.08","0.88","0.0","4.17","0.88","3.69","0.0","0.0","0.0","0.0","53.66","118.65","474.62","237.31","420.96","355.96","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","483.26","0.08","0.88","0.0","3.41","0.88","2.99","0.0","0.0","0.0","0.0","56.65","118.65","474.62","237.31","417.97","355.96","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","483.26","0.08","0.87","0.0","2.98","0.87","2.59","0.0","0.0","0.0","0.0","59.24","118.65","474.62","237.31","415.38","355.96","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","483.26","0.08","0.86","0.0","2.63","0.86","2.27","0.0","0.0","0.0","0.0","61.51","118.65","474.62","237.31","413.11","355.96","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","483.26","0.08","0.86","0.0","2.48","0.86","2.12","0.0","0.0","0.0","0.0","63.63","118.65","474.62","237.31","410.99","355.96","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","483.26","0.08","0.85","0.0","3.16","0.85","2.68","0.0","0.0","0.0","0.0","66.32","118.65","474.62","237.31","408.3","355.96","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","483.26","0.08","0.84","0.0","2.48","0.84","2.09","0.0","0.0","0.0","0.0","68.4","118.65","474.62","237.31","406.21","355.96","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","483.26","0.08","0.84","0.0","2.07","0.84","1.73","0.0","0.0","0.0","0.0","70.13","118.65","474.62","237.31","404.49","355.96","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","483.26","0.08","0.83","0.0","2.25","0.83","1.86","0.0","0.0","0.0","0.0","71.99","118.65","474.62","237.31","402.62","355.96","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","483.26","0.08","0.82","0.0","4.26","0.82","3.5","0.0","0.0","0.0","0.0","75.49","118.65","474.62","237.31","399.13","355.96","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","483.26","0.08","0.81","0.0","3.56","0.81","2.9","0.0","0.0","0.0","0.0","78.39","118.65","474.62","237.31","396.23","355.96","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","483.26","0.08","0.81","0.0","3.17","0.81","2.56","0.0","0.0","0.0","0.0","80.95","118.65","474.62","237.31","393.67","355.96","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","483.26","0.08","0.8","0.0","2.2","0.8","1.76","1.35","1.35","0.0","0.0","81.36","118.65","474.62","237.31","393.26","355.96","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","483.26","1.17","0.0","0.0","1.25","1.17","1.46","16.49","16.49","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","483.26","1.13","0.0","0.0","2.17","1.13","2.46","8.53","8.53","0.0","0.0","16.88","22.95","474.62","237.31","457.74","451.67","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","483.26","1.12","0.0","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","20.27","22.95","474.62","237.31","454.35","451.67","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","483.26","1.05","0.0","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","22.07","22.95","474.62","237.31","452.55","451.67","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","483.26","0.93","0.0","0.0","1.89","0.93","1.76","0.0","0.0","0.0","0.0","23.83","22.95","474.62","237.31","450.79","451.67","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","483.26","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","483.26","0.81","0.0","0.0","1.2","0.81","0.98","0.07","0.07","0.0","0.0","23.86","22.95","474.62","237.31","450.76","451.67","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","483.26","1.18","0.0","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","18.47","22.95","474.62","237.31","456.15","451.67","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","483.26","1.17","0.0","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","14.74","22.95","474.62","237.31","459.88","451.67","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","483.26","1.17","0.0","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","16.17","22.95","474.62","237.31","458.45","451.67","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","483.26","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","17.8","22.95","474.62","237.31","456.81","451.67","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","483.26","1.17","0.0","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","19.38","22.95","474.62","237.31","455.24","451.67","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","483.26","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","20.85","22.95","474.62","237.31","453.77","451.67","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","483.26","1.14","0.0","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","21.05","22.95","474.62","237.31","453.57","451.67","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","483.26","1.13","0.0","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","22.67","22.95","474.62","237.31","451.95","451.67","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","483.26","1.13","0.0","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","24.3","22.95","474.62","237.31","450.32","451.67","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","483.26","1.03","0.0","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","483.26","0.95","0.0","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","24.21","22.95","474.62","237.31","450.41","451.67","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","483.26","0.87","0.0","0.0","1.59","0.87","1.38","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","483.26","0.81","0.0","0.0","1.47","0.81","1.2","0.0","0.0","0.0","0.0","24.15","22.95","474.62","237.31","450.47","451.67","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","483.26","0.77","0.0","0.0","1.3","0.77","1.01","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","483.26","0.74","0.0","0.0","1.35","0.74","0.99","0.0","0.0","0.0","0.0","23.94","22.95","474.62","237.31","450.67","451.67","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","483.26","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","483.26","1.18","0.0","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","21.83","22.95","474.62","237.31","452.79","451.67","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","483.26","1.17","0.0","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","23.7","22.95","474.62","237.31","450.92","451.67","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","483.26","1.16","0.0","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","483.26","1.1","0.0","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","24.73","22.95","474.62","237.31","449.89","451.67","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","483.26","1.0","0.0","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","483.26","0.94","0.0","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","23.89","22.95","474.62","237.31","450.72","451.67","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","483.26","0.88","0.0","0.0","1.24","0.88","1.1","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","483.26","0.84","0.0","0.0","1.15","0.84","0.96","0.0","0.0","0.0","0.0","23.91","22.95","474.62","237.31","450.7","451.67","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","483.26","0.8","0.0","0.0","1.15","0.8","0.92","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","483.26","1.18","0.0","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","20.13","22.95","474.62","237.31","454.49","451.67","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","483.26","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","21.0","22.95","474.62","237.31","453.62","451.67","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","483.26","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","22.45","22.95","474.62","237.31","452.17","451.67","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","483.26","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","23.53","22.95","474.62","237.31","451.08","451.67","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","483.26","1.18","0.0","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","483.26","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","24.12","22.95","474.62","237.31","450.5","451.67","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","483.26","1.17","0.0","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","22.61","22.95","474.62","237.31","452.01","451.67","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","483.26","1.18","0.0","0.0","1.12","1.18","1.32","8.07","8.07","0.0","0.0","15.86","22.95","474.62","237.31","458.76","451.67","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","483.26","1.18","0.0","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","16.73","22.95","474.62","237.31","457.89","451.67","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","483.26","1.18","0.0","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","18.3","22.95","474.62","237.31","456.32","451.67","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","483.26","1.15","0.0","0.0","1.64","1.15","1.89","10.97","10.97","0.0","0.0","9.23","22.95","474.62","237.31","465.39","451.67","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","483.26","1.15","0.0","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","11.34","22.95","474.62","237.31","463.28","451.67","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","483.26","1.16","0.0","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","12.42","22.95","474.62","237.31","462.2","451.67","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","483.26","1.17","0.0","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","13.54","22.95","474.62","237.31","461.08","451.67","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","483.26","1.1","0.0","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","14.79","22.95","474.62","237.31","459.83","451.67","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","483.26","1.19","0.0","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","11.11","22.95","474.62","237.31","463.51","451.67","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","483.26","1.2","0.0","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","10.22","22.95","474.62","237.31","464.4","451.67","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","483.26","1.19","0.0","0.0","0.65","1.19","0.78","2.49","2.49","0.0","0.0","8.5","22.95","474.62","237.31","466.12","451.67","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","483.26","1.17","0.0","0.0","1.22","1.17","1.43","12.67","9.93","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","483.26","1.17","0.0","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","1.31","22.95","474.62","237.31","473.31","451.67","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","483.26","1.17","0.0","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","1.94","22.95","474.62","237.31","472.68","451.67","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","483.26","1.18","0.0","0.0","0.91","1.18","1.08","4.58","3.02","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","483.26","1.17","0.0","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","1.7","22.95","474.62","237.31","472.92","451.67","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","483.26","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","2.39","22.95","474.62","237.31","472.23","451.67","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","483.26","1.19","0.0","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","1.42","22.95","474.62","237.31","473.2","451.67","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","483.26","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","2.53","22.95","474.62","237.31","472.09","451.67","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","483.26","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","3.44","22.95","474.62","237.31","471.18","451.67","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","483.26","1.19","0.0","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","4.64","22.95","474.62","237.31","469.98","451.67","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","483.26","1.18","0.0","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","6.16","22.95","474.62","237.31","468.45","451.67","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","483.26","1.17","0.0","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","7.48","22.95","474.62","237.31","467.13","451.67","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","483.26","1.07","0.0","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","8.71","22.95","474.62","237.31","465.91","451.67","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","483.26","1.18","0.0","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","5.77","22.95","474.62","237.31","468.84","451.67","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","483.26","1.19","0.0","0.0","0.87","1.19","1.03","14.96","6.81","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","483.26","1.19","0.0","0.0","0.83","1.19","0.99","12.99","0.99","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","483.26","1.19","0.0","0.0","0.63","1.19","0.75","8.15","0.75","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","483.26","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","22.95","474.62","237.31","473.79","451.67","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","483.26","1.19","0.0","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","1.28","22.95","474.62","237.31","473.33","451.67","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","483.26","1.18","0.0","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","1.31","22.95","474.62","237.31","473.31","451.67","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","483.26","1.18","0.0","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","2.25","22.95","474.62","237.31","472.37","451.67","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","483.26","1.18","0.0","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","2.15","22.95","474.62","237.31","472.46","451.67","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","483.26","1.17","0.0","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","2.27","22.95","474.62","237.31","472.35","451.67","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","483.26","1.19","0.0","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","1.18","22.95","474.62","237.31","473.44","451.67","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","483.26","1.18","0.0","0.0","0.95","1.18","1.12","3.95","2.31","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","483.26","1.18","0.0","0.0","0.88","1.18","1.04","6.37","1.04","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","483.26","1.19","0.0","0.0","0.77","1.19","0.92","9.38","0.92","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","483.26","1.17","0.0","0.0","1.17","1.17","1.37","28.89","1.37","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","483.26","1.17","0.0","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","483.26","1.18","0.0","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","483.26","1.18","0.0","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","22.95","474.62","237.31","474.06","451.67","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","483.26","1.18","0.0","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","483.26","1.16","0.0","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","483.26","1.17","0.0","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","22.95","474.62","237.31","474.18","451.67","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","483.26","1.17","0.0","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","22.95","474.62","237.31","472.93","451.67","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","483.26","1.17","0.0","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","22.95","474.62","237.31","471.65","451.67","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","483.26","1.15","0.0","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","22.95","474.62","237.31","470.17","451.67","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","483.26","1.07","0.0","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","22.95","474.62","237.31","469.18","451.67","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","483.26","1.18","0.0","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","22.95","474.62","237.31","469.9","451.67","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","483.26","1.16","0.0","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","22.95","474.62","237.31","471.81","451.67","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","483.26","1.13","0.0","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","22.95","474.62","237.31","472.09","451.67","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","483.26","1.12","0.0","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","22.95","474.62","237.31","469.48","451.67","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","483.26","1.12","0.0","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","22.95","474.62","237.31","468.4","451.67","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","483.26","1.04","0.0","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","22.95","474.62","237.31","467.29","451.67","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","483.26","0.95","0.0","0.0","1.47","0.95","1.39","0.0","0.0","0.0","0.0","8.72","22.95","474.62","237.31","465.9","451.67","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","483.26","0.88","0.0","0.0","1.4","0.88","1.23","0.0","0.0","0.0","0.0","9.95","22.95","474.62","237.31","464.67","451.67","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","483.26","0.82","0.0","0.0","1.6","0.82","1.31","0.0","0.0","0.0","0.0","11.26","22.95","474.62","237.31","463.36","451.67","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","483.26","0.76","0.0","0.0","1.88","0.76","1.42","0.0","0.0","0.0","0.0","12.68","22.95","474.62","237.31","461.94","451.67","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","483.26","0.71","0.0","0.0","2.02","0.71","1.43","0.0","0.0","0.0","0.0","14.11","22.95","474.62","237.31","460.51","451.67","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","483.26","0.67","0.0","0.0","1.96","0.67","1.3","0.0","0.0","0.0","0.0","15.41","22.95","474.62","237.31","459.2","451.67","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","483.26","0.63","0.0","0.0","1.92","0.63","1.21","0.0","0.0","0.0","0.0","16.63","22.95","474.62","237.31","457.99","451.67","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","483.26","0.61","0.0","0.0","1.75","0.61","1.06","0.0","0.0","0.0","0.0","17.69","22.95","474.62","237.31","456.93","451.67","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","483.26","0.58","0.0","0.0","1.85","0.58","1.07","0.0","0.0","0.0","0.0","18.76","22.95","474.62","237.31","455.86","451.67","0.0","","","","","","",""
