" Daily soil water balance output for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","28.02","0.08","0.97","0.0","3.87","0.97","3.74","0.0","0.0","0.0","0.0","35.4","113.61","454.45","227.22","419.05","340.84","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","28.02","0.08","0.96","0.0","3.06","0.96","2.93","0.41","0.41","0.0","0.0","37.92","113.61","454.45","227.22","416.53","340.84","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","28.02","0.08","0.95","0.0","2.56","0.95","2.42","0.0","0.0","0.0","0.0","40.34","113.61","454.45","227.22","414.11","340.84","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","28.02","0.08","0.94","0.0","2.6","0.94","2.43","0.0","0.0","0.0","0.0","42.77","113.61","454.45","227.22","411.68","340.84","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","28.02","0.08","0.92","0.0","4.55","0.92","4.21","0.0","0.0","0.0","0.0","46.98","113.61","454.45","227.22","407.47","340.84","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","28.02","0.08","0.91","0.0","3.61","0.91","3.3","0.0","0.0","0.0","0.0","50.28","113.61","454.45","227.22","404.17","340.84","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","28.02","0.08","0.9","0.0","3.07","0.9","2.78","0.0","0.0","0.0","0.0","53.06","113.61","454.45","227.22","401.39","340.84","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","28.02","0.08","0.89","0.0","2.59","0.89","2.31","0.0","0.0","0.0","0.0","55.37","113.61","454.45","227.22","399.08","340.84","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","28.02","0.08","0.88","0.0","2.49","0.88","2.2","0.0","0.0","0.0","0.0","57.57","113.61","454.45","227.22","396.88","340.84","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","28.02","0.08","0.87","0.0","3.31","0.87","2.89","0.0","0.0","0.0","0.0","60.46","113.61","454.45","227.22","393.99","340.84","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","28.02","0.08","0.86","0.0","2.47","0.86","2.13","0.0","0.0","0.0","0.0","62.59","113.61","454.45","227.22","391.86","340.84","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","28.02","0.08","0.85","0.0","2.1","0.85","1.79","0.0","0.0","0.0","0.0","64.38","113.61","454.45","227.22","390.07","340.84","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","28.02","0.08","0.84","0.0","2.22","0.84","1.87","0.0","0.0","0.0","0.0","66.25","113.61","454.45","227.22","388.2","340.84","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","28.02","0.08","0.83","0.0","4.4","0.83","3.66","0.0","0.0","0.0","0.0","69.91","113.61","454.45","227.22","384.54","340.84","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","28.02","0.08","0.82","0.0","3.72","0.82","3.05","0.0","0.0","0.0","0.0","72.96","113.61","454.45","227.22","381.49","340.84","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","28.02","0.08","0.81","0.0","3.28","0.81","2.66","0.0","0.0","0.0","0.0","75.62","113.61","454.45","227.22","378.83","340.84","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","28.02","0.08","0.8","0.0","1.91","0.8","1.53","0.01","0.01","0.0","0.0","77.13","113.61","454.45","227.22","377.31","340.84","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","28.02","1.17","0.0","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","28.02","1.13","0.0","0.0","2.22","1.13","2.51","10.9","10.9","0.0","0.0","13.21","21.6","454.45","227.22","441.24","432.85","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","28.02","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","16.64","21.6","454.45","227.22","437.81","432.85","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","28.02","1.05","0.0","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","18.39","21.6","454.45","227.22","436.06","432.85","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","28.02","0.93","0.0","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","20.13","21.6","454.45","227.22","434.32","432.85","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","28.02","0.86","0.0","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","21.53","21.6","454.45","227.22","432.92","432.85","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","28.02","0.81","0.0","0.0","1.15","0.81","0.94","0.0","0.0","0.0","0.0","22.47","21.6","454.45","227.22","431.98","432.85","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","28.02","1.18","0.0","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","19.69","21.6","454.45","227.22","434.76","432.85","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","28.02","1.17","0.0","0.0","1.3","1.17","1.52","10.25","10.25","0.0","0.0","10.96","21.6","454.45","227.22","443.49","432.85","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","28.02","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","12.36","21.6","454.45","227.22","442.09","432.85","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","28.02","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","13.97","21.6","454.45","227.22","440.48","432.85","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","28.02","1.17","0.0","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","15.5","21.6","454.45","227.22","438.95","432.85","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","28.02","1.1","0.0","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","16.97","21.6","454.45","227.22","437.48","432.85","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","28.02","0.97","0.0","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","18.2","21.6","454.45","227.22","436.25","432.85","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","28.02","1.11","0.0","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","17.66","21.6","454.45","227.22","436.79","432.85","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","28.02","1.14","0.0","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","19.31","21.6","454.45","227.22","435.14","432.85","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","28.02","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","20.81","21.6","454.45","227.22","433.64","432.85","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","28.02","1.08","0.0","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","22.23","21.6","454.45","227.22","432.22","432.85","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","28.02","0.97","0.0","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","28.02","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","22.9","21.6","454.45","227.22","431.55","432.85","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","28.02","0.84","0.0","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","28.02","0.79","0.0","0.0","1.43","0.79","1.13","0.0","0.0","0.0","0.0","22.73","21.6","454.45","227.22","431.72","432.85","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","28.02","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","28.02","0.72","0.0","0.0","1.05","0.72","0.76","1.29","1.29","0.0","0.0","21.07","21.6","454.45","227.22","433.38","432.85","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","28.02","0.68","0.0","0.0","1.77","0.68","1.21","0.0","0.0","0.0","0.0","22.28","21.6","454.45","227.22","432.17","432.85","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","28.02","0.64","0.0","0.0","2.45","0.64","1.56","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","28.02","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","22.62","21.6","454.45","227.22","431.83","432.85","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","28.02","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","28.02","0.58","0.0","0.0","0.99","0.58","0.58","0.0","0.0","0.0","0.0","22.18","21.6","454.45","227.22","432.27","432.85","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","28.02","0.57","0.0","0.0","1.18","0.57","0.67","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","28.02","0.55","0.0","0.0","1.12","0.55","0.62","0.0","0.0","0.0","0.0","22.22","21.6","454.45","227.22","432.23","432.85","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","28.02","0.54","0.0","0.0","1.06","0.54","0.58","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","28.02","1.18","0.0","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","15.74","21.6","454.45","227.22","438.71","432.85","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","28.02","1.19","0.0","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","16.59","21.6","454.45","227.22","437.86","432.85","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","28.02","1.18","0.0","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","17.94","21.6","454.45","227.22","436.51","432.85","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","28.02","1.18","0.0","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","18.96","21.6","454.45","227.22","435.49","432.85","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","28.02","1.19","0.0","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","19.61","21.6","454.45","227.22","434.84","432.85","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","28.02","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","20.68","21.6","454.45","227.22","433.77","432.85","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","28.02","1.17","0.0","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","20.41","21.6","454.45","227.22","434.03","432.85","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","28.02","1.18","0.0","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","16.45","21.6","454.45","227.22","438.0","432.85","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","28.02","1.18","0.0","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","17.2","21.6","454.45","227.22","437.25","432.85","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","28.02","1.18","0.0","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","18.56","21.6","454.45","227.22","435.89","432.85","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","28.02","1.16","0.0","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","9.56","21.6","454.45","227.22","444.89","432.85","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","28.02","1.15","0.0","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","11.86","21.6","454.45","227.22","442.59","432.85","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","28.02","1.16","0.0","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","12.86","21.6","454.45","227.22","441.59","432.85","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","28.02","1.17","0.0","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","13.94","21.6","454.45","227.22","440.51","432.85","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","28.02","1.11","0.0","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","15.16","21.6","454.45","227.22","439.29","432.85","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","28.02","1.19","0.0","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","8.69","21.6","454.45","227.22","445.76","432.85","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","28.02","1.2","0.0","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","8.65","21.6","454.45","227.22","445.8","432.85","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","28.02","1.2","0.0","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","3.61","21.6","454.45","227.22","450.84","432.85","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","28.02","1.17","0.0","0.0","1.13","1.17","1.33","6.74","4.94","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","28.02","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","1.59","21.6","454.45","227.22","452.86","432.85","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","28.02","1.17","0.0","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","2.48","21.6","454.45","227.22","451.97","432.85","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","28.02","1.19","0.0","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","0.92","21.6","454.45","227.22","453.53","432.85","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","28.02","1.17","0.0","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","2.71","21.6","454.45","227.22","451.74","432.85","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","28.02","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","3.39","21.6","454.45","227.22","451.06","432.85","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","28.02","1.18","0.0","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","3.43","21.6","454.45","227.22","451.02","432.85","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","28.02","1.18","0.0","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","4.51","21.6","454.45","227.22","449.94","432.85","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","28.02","1.18","0.0","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","5.39","21.6","454.45","227.22","449.06","432.85","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","28.02","1.11","0.0","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","6.57","21.6","454.45","227.22","447.88","432.85","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","28.02","1.01","0.0","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","7.99","21.6","454.45","227.22","446.46","432.85","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","28.02","0.94","0.0","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","9.13","21.6","454.45","227.22","445.32","432.85","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","28.02","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","10.17","21.6","454.45","227.22","444.27","432.85","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","28.02","0.85","0.0","0.0","0.87","0.85","0.74","0.13","0.13","0.0","0.0","10.78","21.6","454.45","227.22","443.67","432.85","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","28.02","1.19","0.0","0.0","0.84","1.19","1.0","14.51","11.78","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","28.02","1.19","0.0","0.0","0.82","1.19","0.97","15.08","0.97","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","28.02","1.2","0.0","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","28.02","1.2","0.0","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","21.6","454.45","227.22","453.7","432.85","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","28.02","1.19","0.0","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","28.02","1.18","0.0","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","28.02","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","21.6","454.45","227.22","453.31","432.85","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","28.02","1.18","0.0","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","21.6","454.45","227.22","452.21","432.85","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","28.02","1.17","0.0","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","28.02","1.19","0.0","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","28.02","1.19","0.0","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","28.02","1.19","0.0","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","28.02","1.19","0.0","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","28.02","1.17","0.0","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","28.02","1.17","0.0","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","28.02","1.18","0.0","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","28.02","1.18","0.0","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","21.6","454.45","227.22","453.19","432.85","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","28.02","1.18","0.0","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","21.6","454.45","227.22","452.14","432.85","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","28.02","1.16","0.0","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","28.02","1.18","0.0","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","28.02","1.17","0.0","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","21.6","454.45","227.22","453.1","432.85","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","28.02","1.18","0.0","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","21.6","454.45","227.22","451.92","432.85","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","28.02","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","21.6","454.45","227.22","450.35","432.85","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","28.02","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","21.6","454.45","227.22","449.3","432.85","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","28.02","1.1","0.0","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","21.6","454.45","227.22","448.32","432.85","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","28.02","1.16","0.0","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","21.6","454.45","227.22","452.47","432.85","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","28.02","1.14","0.0","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","21.6","454.45","227.22","449.75","432.85","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","28.02","1.08","0.0","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","21.6","454.45","227.22","446.94","432.85","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","28.02","1.01","0.0","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","21.6","454.45","227.22","445.86","432.85","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","28.02","0.95","0.0","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","21.6","454.45","227.22","445.4","432.85","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","28.02","0.87","0.0","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.36","21.6","454.45","227.22","444.09","432.85","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","28.02","0.82","0.0","0.0","1.36","0.82","1.12","0.0","0.0","0.0","0.0","11.48","21.6","454.45","227.22","442.97","432.85","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","28.02","0.77","0.0","0.0","1.59","0.77","1.23","0.0","0.0","0.0","0.0","12.7","21.6","454.45","227.22","441.75","432.85","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","28.02","0.72","0.0","0.0","1.92","0.72","1.38","0.0","0.0","0.0","0.0","14.08","21.6","454.45","227.22","440.37","432.85","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","28.02","0.67","0.0","0.0","2.05","0.67","1.38","0.0","0.0","0.0","0.0","15.47","21.6","454.45","227.22","438.98","432.85","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","28.02","0.64","0.0","0.0","1.92","0.64","1.23","0.0","0.0","0.0","0.0","16.69","21.6","454.45","227.22","437.76","432.85","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","28.02","0.61","0.0","0.0","1.88","0.61","1.15","0.0","0.0","0.0","0.0","17.84","21.6","454.45","227.22","436.61","432.85","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","28.02","0.59","0.0","0.0","1.71","0.59","1.0","0.0","0.0","0.0","0.0","18.84","21.6","454.45","227.22","435.61","432.85","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","28.02","0.56","0.0","0.0","1.78","0.56","1.01","0.0","0.0","0.0","0.0","19.85","21.6","454.45","227.22","434.6","432.85","0.0","","","","","","",""
