" Daily soil water balance output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","8005.09","0.08","0.95","0.0","3.77","0.95","3.58","0.0","0.0","0.0","0.0","14.92","53.34","227.99","114.0","213.07","174.65","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","8005.09","0.08","0.95","0.0","3.05","0.95","2.9","0.14","0.14","0.0","0.0","17.68","53.34","227.99","114.0","210.31","174.65","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","8005.09","0.08","0.95","0.0","2.6","0.95","2.47","0.0","0.0","0.0","0.0","20.15","53.34","227.99","114.0","207.84","174.65","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","8005.09","0.08","0.95","0.0","2.7","0.95","2.57","0.0","0.0","0.0","0.0","22.72","53.34","227.99","114.0","205.27","174.65","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","8005.09","0.08","0.95","0.0","4.17","0.95","3.96","0.0","0.0","0.0","0.0","26.68","53.34","227.99","114.0","201.31","174.65","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","8005.09","0.08","0.95","0.0","3.41","0.95","3.24","0.0","0.0","0.0","0.0","29.92","53.34","227.99","114.0","198.07","174.65","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","8005.09","0.08","0.95","0.0","2.98","0.95","2.83","0.0","0.0","0.0","0.0","32.75","53.34","227.99","114.0","195.24","174.65","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","8005.09","0.08","0.95","0.0","2.63","0.95","2.5","0.0","0.0","0.0","0.0","35.25","53.34","227.99","114.0","192.74","174.65","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","8005.09","0.08","0.95","0.0","2.48","0.95","2.36","0.0","0.0","0.0","0.0","37.6","53.34","227.99","114.0","190.39","174.65","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","8005.09","0.08","0.95","0.0","3.16","0.95","3.0","0.0","0.0","0.0","0.0","40.61","53.34","227.99","114.0","187.38","174.65","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","8005.09","0.08","0.95","0.0","2.48","0.95","2.36","0.0","0.0","0.0","0.0","42.96","53.34","227.99","114.0","185.03","174.65","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","8005.09","0.08","0.95","0.0","2.07","0.95","1.97","0.0","0.0","0.0","0.0","44.93","53.34","227.99","114.0","183.06","174.65","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","8005.09","0.08","0.95","0.0","2.25","0.95","2.14","0.0","0.0","0.0","0.0","47.07","53.34","227.99","114.0","180.92","174.65","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","8005.09","0.08","0.95","0.0","4.26","0.95","4.05","0.0","0.0","0.0","0.0","51.11","53.34","227.99","114.0","176.88","174.65","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","8005.09","0.08","0.95","0.0","3.56","0.95","3.38","0.0","0.0","0.0","0.0","0.0","53.34","227.99","114.0","227.99","174.65","54.49","","","","","","",""
"2015.0","10.0","31.0","304.0","8005.09","0.08","0.95","0.0","3.17","0.95","3.01","0.0","0.0","0.0","0.0","3.01","53.34","227.99","114.0","224.98","174.65","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","8005.09","0.08","0.95","0.0","2.2","0.95","2.09","1.35","1.35","0.0","0.0","3.75","53.34","227.99","114.0","224.24","174.65","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","8005.09","1.17","0.95","0.0","1.25","1.17","1.46","16.49","5.21","0.0","0.0","0.0","53.34","227.99","114.0","227.99","174.65","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","8005.09","1.13","0.95","0.0","2.17","1.13","2.46","8.53","2.46","0.0","0.0","0.0","53.34","227.99","114.0","227.99","174.65","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","8005.09","1.12","0.95","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","3.39","53.34","227.99","114.0","224.6","174.65","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","8005.09","1.05","0.95","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","5.19","53.34","227.99","114.0","222.8","174.65","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","8005.09","0.93","0.95","0.0","1.89","0.95","1.8","0.0","0.0","0.0","0.0","6.98","53.34","227.99","114.0","221.01","174.65","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","8005.09","0.86","0.95","0.0","1.65","0.95","1.57","0.0","0.0","0.0","0.0","8.55","53.34","227.99","114.0","219.44","174.65","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","8005.09","0.81","0.95","0.0","1.2","0.95","1.14","0.07","0.07","0.0","0.0","9.62","53.34","227.99","114.0","218.37","174.65","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","8005.09","1.18","0.95","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","5.49","53.34","227.99","114.0","222.5","174.65","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","8005.09","1.17","0.95","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","1.76","53.34","227.99","114.0","226.23","174.65","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","8005.09","1.17","0.95","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","3.19","53.34","227.99","114.0","224.8","174.65","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","8005.09","1.17","0.95","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","4.83","53.34","227.99","114.0","223.16","174.65","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","8005.09","1.17","0.95","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","6.4","53.34","227.99","114.0","221.59","174.65","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","8005.09","1.1","0.95","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","7.87","53.34","227.99","114.0","220.12","174.65","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","8005.09","1.14","0.95","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","8.07","53.34","227.99","114.0","219.92","174.65","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","8005.09","1.13","0.95","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","9.69","53.34","227.99","114.0","218.3","174.65","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","8005.09","1.13","0.95","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","11.33","53.34","227.99","114.0","216.66","174.65","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","8005.09","1.03","0.95","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","12.67","53.34","227.99","114.0","215.32","174.65","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","8005.09","0.95","0.95","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","13.93","53.34","227.99","114.0","214.06","174.65","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","8005.09","0.87","0.95","0.0","1.59","0.95","1.51","0.0","0.0","0.0","0.0","15.44","53.34","227.99","114.0","212.55","174.65","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","8005.09","0.81","0.95","0.0","1.47","0.95","1.4","0.0","0.0","0.0","0.0","16.84","53.34","227.99","114.0","211.15","174.65","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","8005.09","0.77","0.95","0.0","1.3","0.95","1.24","0.0","0.0","0.0","0.0","18.07","53.34","227.99","114.0","209.92","174.65","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","8005.09","0.74","0.95","0.0","1.35","0.95","1.28","0.0","0.0","0.0","0.0","19.36","53.34","227.99","114.0","208.63","174.65","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","8005.09","0.7","0.95","0.0","1.38","0.95","1.31","0.0","0.0","0.0","0.0","20.67","53.34","227.99","114.0","207.32","174.65","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","8005.09","1.18","0.95","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","19.55","53.34","227.99","114.0","208.44","174.65","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","8005.09","1.17","0.95","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","21.41","53.34","227.99","114.0","206.58","174.65","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","8005.09","1.16","0.95","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","23.93","53.34","227.99","114.0","204.06","174.65","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","8005.09","1.1","0.95","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","25.71","53.34","227.99","114.0","202.28","174.65","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","8005.09","1.0","0.95","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","27.07","53.34","227.99","114.0","200.92","174.65","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","8005.09","0.94","0.95","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","28.02","53.34","227.99","114.0","199.97","174.65","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","8005.09","0.88","0.95","0.0","1.24","0.95","1.18","0.0","0.0","0.0","0.0","29.2","53.34","227.99","114.0","198.79","174.65","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","8005.09","0.84","0.95","0.0","1.15","0.95","1.09","0.0","0.0","0.0","0.0","30.29","53.34","227.99","114.0","197.7","174.65","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","8005.09","0.8","0.95","0.0","1.15","0.95","1.09","0.0","0.0","0.0","0.0","31.39","53.34","227.99","114.0","196.6","174.65","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","8005.09","1.18","0.95","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","28.57","53.34","227.99","114.0","199.42","174.65","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","8005.09","1.19","0.95","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","29.43","53.34","227.99","114.0","198.56","174.65","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","8005.09","1.18","0.95","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","30.88","53.34","227.99","114.0","197.11","174.65","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","8005.09","1.18","0.95","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","31.97","53.34","227.99","114.0","196.02","174.65","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","8005.09","1.18","0.95","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","32.68","53.34","227.99","114.0","195.31","174.65","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","8005.09","1.18","0.95","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","33.85","53.34","227.99","114.0","194.14","174.65","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","8005.09","1.17","0.95","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","33.83","53.34","227.99","114.0","194.16","174.65","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","8005.09","1.18","0.95","0.0","1.12","1.18","1.32","8.07","8.07","0.0","0.0","27.07","53.34","227.99","114.0","200.92","174.65","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","8005.09","1.18","0.95","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","27.94","53.34","227.99","114.0","200.05","174.65","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","8005.09","1.18","0.95","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","29.52","53.34","227.99","114.0","198.47","174.65","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","8005.09","1.15","0.95","0.0","1.64","1.15","1.89","10.97","10.97","0.0","0.0","20.44","53.34","227.99","114.0","207.55","174.65","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","8005.09","1.15","0.95","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","22.56","53.34","227.99","114.0","205.43","174.65","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","8005.09","1.16","0.95","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","23.64","53.34","227.99","114.0","204.35","174.65","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","8005.09","1.17","0.95","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","24.76","53.34","227.99","114.0","203.23","174.65","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","8005.09","1.1","0.95","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","26.0","53.34","227.99","114.0","201.99","174.65","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","8005.09","1.19","0.95","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","22.32","53.34","227.99","114.0","205.67","174.65","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","8005.09","1.2","0.95","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","21.43","53.34","227.99","114.0","206.56","174.65","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","8005.09","1.19","0.95","0.0","0.65","1.19","0.78","2.49","2.49","0.0","0.0","19.72","53.34","227.99","114.0","208.27","174.65","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","8005.09","1.17","0.95","0.0","1.22","1.17","1.43","12.67","12.67","0.0","0.0","8.48","53.34","227.99","114.0","219.51","174.65","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","8005.09","1.17","0.95","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","9.79","53.34","227.99","114.0","218.2","174.65","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","8005.09","1.17","0.95","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","10.42","53.34","227.99","114.0","217.57","174.65","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","8005.09","1.18","0.95","0.0","0.91","1.18","1.08","4.58","4.58","0.0","0.0","6.92","53.34","227.99","114.0","221.07","174.65","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","8005.09","1.17","0.95","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","8.62","53.34","227.99","114.0","219.37","174.65","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","8005.09","1.18","0.95","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","9.3","53.34","227.99","114.0","218.69","174.65","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","8005.09","1.19","0.95","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","8.34","53.34","227.99","114.0","219.65","174.65","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","8005.09","1.19","0.95","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","9.44","53.34","227.99","114.0","218.55","174.65","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","8005.09","1.19","0.95","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","10.36","53.34","227.99","114.0","217.63","174.65","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","8005.09","1.19","0.95","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","11.56","53.34","227.99","114.0","216.43","174.65","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","8005.09","1.18","0.95","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","13.08","54.95","227.99","114.0","214.91","173.04","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","8005.09","1.17","0.95","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","14.4","54.95","227.99","114.0","213.59","173.04","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","8005.09","1.07","0.95","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","15.63","54.95","227.99","114.0","212.36","173.04","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","8005.09","1.18","0.95","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","12.69","54.95","227.99","114.0","215.3","173.04","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","8005.09","1.19","0.95","0.0","0.87","1.19","1.03","14.96","13.72","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","8005.09","1.19","0.95","0.0","0.83","1.19","0.99","12.99","0.99","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","8005.09","1.19","0.95","0.0","0.63","1.19","0.75","8.15","0.75","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","8005.09","1.19","0.95","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","54.95","227.99","114.0","227.17","173.04","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","8005.09","1.19","0.95","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","1.28","54.95","227.99","114.0","226.71","173.04","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","8005.09","1.18","0.95","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","1.31","54.95","227.99","114.0","226.68","173.04","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","8005.09","1.18","0.95","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","2.25","54.95","227.99","114.0","225.74","173.04","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","8005.09","1.18","0.95","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","2.15","54.95","227.99","114.0","225.84","173.04","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","8005.09","1.17","0.95","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","2.27","54.95","227.99","114.0","225.72","173.04","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","8005.09","1.19","0.95","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","1.18","54.95","227.99","114.0","226.81","173.04","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","8005.09","1.18","0.95","0.0","0.95","1.18","1.12","3.95","2.31","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","8005.09","1.18","0.95","0.0","0.88","1.18","1.04","6.37","1.04","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","8005.09","1.19","0.95","0.0","0.77","1.19","0.92","9.38","0.92","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","8005.09","1.17","0.95","0.0","1.17","1.17","1.37","28.89","1.37","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","8005.09","1.17","0.95","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","8005.09","1.18","0.95","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","8005.09","1.18","0.95","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","54.95","227.99","114.0","227.43","173.04","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","8005.09","1.18","0.95","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","8005.09","1.16","0.95","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","54.95","227.99","114.0","227.99","173.04","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","8005.09","1.17","0.95","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","54.95","227.99","114.0","227.55","173.04","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","8005.09","1.17","0.95","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","54.95","227.99","114.0","226.3","173.04","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","8005.09","1.17","0.95","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","54.95","227.99","114.0","225.02","173.04","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","8005.09","1.15","0.95","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","54.95","227.99","114.0","223.54","173.04","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","8005.09","1.07","0.95","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","54.95","227.99","114.0","222.55","173.04","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","8005.09","1.18","0.95","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","54.95","227.99","114.0","223.27","173.04","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","8005.09","1.16","0.95","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","54.95","227.99","114.0","225.18","173.04","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","8005.09","1.13","0.95","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","54.95","227.99","114.0","225.47","173.04","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","8005.09","1.12","0.95","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","54.95","227.99","114.0","222.85","173.04","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","8005.09","1.12","0.95","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","54.95","227.99","114.0","221.77","173.04","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","8005.09","1.04","0.95","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","54.95","227.99","114.0","220.66","173.04","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","8005.09","0.95","0.95","0.0","1.47","0.95","1.4","0.0","0.0","0.0","0.0","8.72","54.95","227.99","114.0","219.27","173.04","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","8005.09","0.88","0.95","0.0","1.4","0.95","1.33","0.0","0.0","0.0","0.0","10.05","54.95","227.99","114.0","217.94","173.04","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","8005.09","0.82","0.95","0.0","1.6","0.95","1.52","0.0","0.0","0.0","0.0","11.57","54.95","227.99","114.0","216.42","173.04","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","8005.09","0.76","0.95","0.0","1.88","0.95","1.79","0.0","0.0","0.0","0.0","13.36","54.95","227.99","114.0","214.63","173.04","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","8005.09","0.71","0.95","0.0","2.02","0.95","1.92","0.0","0.0","0.0","0.0","15.28","54.95","227.99","114.0","212.71","173.04","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","8005.09","0.67","0.95","0.0","1.96","0.95","1.86","0.0","0.0","0.0","0.0","17.14","54.95","227.99","114.0","210.85","173.04","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","8005.09","0.63","0.95","0.0","1.92","0.95","1.82","0.0","0.0","0.0","0.0","18.96","54.95","227.99","114.0","209.03","173.04","0.0","","","","","","",""
