" Daily soil water balance output for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","13.12","0.08","0.7","0.0","3.87","0.7","2.71","0.0","0.0","0.0","0.0","36.67","80.11","351.13","175.56","314.46","271.02","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","13.12","0.08","0.7","0.0","3.06","0.7","2.14","0.41","0.41","0.0","0.0","38.4","80.11","351.13","175.56","312.73","271.02","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","13.12","0.08","0.7","0.0","2.56","0.7","1.79","0.0","0.0","0.0","0.0","40.19","80.11","351.13","175.56","310.94","271.02","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","13.12","0.08","0.7","0.0","2.6","0.7","1.82","0.0","0.0","0.0","0.0","42.01","80.11","351.13","175.56","309.12","271.02","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","13.12","0.08","0.7","0.0","4.55","0.7","3.19","0.0","0.0","0.0","0.0","45.2","80.11","351.13","175.56","305.93","271.02","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","13.12","0.08","0.7","0.0","3.61","0.7","2.53","0.0","0.0","0.0","0.0","47.73","80.11","351.13","175.56","303.4","271.02","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","13.12","0.08","0.7","0.0","3.07","0.7","2.15","0.0","0.0","0.0","0.0","49.87","80.11","351.13","175.56","301.26","271.02","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","13.12","0.08","0.7","0.0","2.59","0.7","1.81","0.0","0.0","0.0","0.0","51.69","87.78","351.13","175.56","299.44","263.35","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","13.12","0.08","0.7","0.0","2.49","0.7","1.74","0.0","0.0","0.0","0.0","53.43","87.78","351.13","175.56","297.7","263.35","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","13.12","0.08","0.7","0.0","3.31","0.7","2.32","0.0","0.0","0.0","0.0","55.75","87.78","351.13","175.56","295.38","263.35","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","13.12","0.08","0.7","0.0","2.47","0.7","1.73","0.0","0.0","0.0","0.0","57.48","87.78","351.13","175.56","293.65","263.35","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","13.12","0.08","0.7","0.0","2.1","0.7","1.47","0.0","0.0","0.0","0.0","58.95","87.78","351.13","175.56","292.18","263.35","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","13.12","0.08","0.7","0.0","2.22","0.7","1.55","0.0","0.0","0.0","0.0","60.5","87.78","351.13","175.56","290.63","263.35","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","13.12","0.08","0.7","0.0","4.4","0.7","3.08","0.0","0.0","0.0","0.0","63.58","87.78","351.13","175.56","287.55","263.35","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","13.12","0.08","0.7","0.0","3.72","0.7","2.6","0.0","0.0","0.0","0.0","66.18","87.78","351.13","175.56","284.95","263.35","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","13.12","0.08","0.7","0.0","3.28","0.7","2.3","0.0","0.0","0.0","0.0","68.48","87.78","351.13","175.56","282.65","263.35","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","13.12","0.08","0.7","0.0","1.91","0.7","1.34","0.01","0.01","0.0","0.0","69.81","87.78","351.13","175.56","281.32","263.35","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","13.12","1.17","0.7","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","63.44","87.78","351.13","175.56","287.69","263.35","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","13.12","1.13","0.7","0.0","2.22","1.13","2.51","10.9","10.9","0.0","0.0","55.05","87.78","351.13","175.56","296.08","263.35","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","13.12","1.11","0.7","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","58.48","87.78","351.13","175.56","292.65","263.35","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","13.12","1.05","0.7","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","60.23","87.78","351.13","175.56","290.9","263.35","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","13.12","0.93","0.7","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","61.97","87.78","351.13","175.56","289.16","263.35","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","13.12","0.86","0.7","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","63.37","87.78","351.13","175.56","287.76","263.35","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","13.12","0.81","0.7","0.0","1.15","0.81","0.94","0.0","0.0","0.0","0.0","64.31","87.78","351.13","175.56","286.82","263.35","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","13.12","1.18","0.7","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","62.7","87.78","351.13","175.56","288.43","263.35","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","13.12","1.17","0.7","0.0","1.3","1.17","1.52","10.25","10.25","0.0","0.0","53.97","87.78","351.13","175.56","297.16","263.35","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","13.12","1.17","0.7","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","55.37","87.78","351.13","175.56","295.76","263.35","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","13.12","1.17","0.7","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","56.98","87.78","351.13","175.56","294.15","263.35","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","13.12","1.17","0.7","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","58.51","87.78","351.13","175.56","292.62","263.35","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","13.12","1.1","0.7","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","59.98","87.78","351.13","175.56","291.15","263.35","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","13.12","0.97","0.7","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","61.2","87.78","351.13","175.56","289.92","263.35","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","13.12","1.11","0.7","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","60.67","87.78","351.13","175.56","290.46","263.35","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","13.12","1.14","0.7","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","62.32","87.78","351.13","175.56","288.81","263.35","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","13.12","1.15","0.7","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","63.82","87.78","351.13","175.56","287.31","263.35","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","13.12","1.08","0.7","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","65.24","87.78","351.13","175.56","285.89","263.35","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","13.12","0.97","0.7","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","66.82","87.78","351.13","175.56","284.31","263.35","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","13.12","0.89","0.7","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","68.12","87.78","351.13","175.56","283.01","263.35","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","13.12","0.84","0.7","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","69.19","87.78","351.13","175.56","281.94","263.35","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","13.12","0.79","0.7","0.0","1.43","0.79","1.13","0.0","0.0","0.0","0.0","70.32","87.78","351.13","175.56","280.81","263.35","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","13.12","0.75","0.7","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","71.35","87.78","351.13","175.56","279.78","263.35","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","13.12","0.72","0.7","0.0","1.05","0.72","0.76","1.29","1.29","0.0","0.0","70.82","87.78","351.13","175.56","280.31","263.35","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","13.12","0.68","0.7","0.0","1.77","0.7","1.24","0.0","0.0","0.0","0.0","72.06","87.78","351.13","175.56","279.07","263.35","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","13.12","0.64","0.7","0.0","2.45","0.7","1.72","0.0","0.0","0.0","0.0","73.77","87.78","351.13","175.56","277.36","263.35","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","13.12","0.61","0.7","0.0","1.67","0.7","1.17","0.0","0.0","0.0","0.0","74.94","87.78","351.13","175.56","276.19","263.35","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","13.12","0.59","0.7","0.0","1.37","0.7","0.96","0.0","0.0","0.0","0.0","75.9","87.78","351.13","175.56","275.23","263.35","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","13.12","0.58","0.7","0.0","0.99","0.7","0.69","0.0","0.0","0.0","0.0","76.59","87.78","351.13","175.56","274.53","263.35","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","13.12","0.57","0.7","0.0","1.18","0.7","0.83","0.0","0.0","0.0","0.0","77.42","87.78","351.13","175.56","273.71","263.35","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","13.12","0.55","0.7","0.0","1.12","0.7","0.78","0.0","0.0","0.0","0.0","78.2","87.78","351.13","175.56","272.92","263.35","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","13.12","0.54","0.7","0.0","1.06","0.7","0.74","0.0","0.0","0.0","0.0","78.95","87.78","351.13","175.56","272.18","263.35","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","13.12","1.18","0.7","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","73.09","87.78","351.13","175.56","278.04","263.35","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","13.12","1.19","0.7","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","73.94","87.78","351.13","175.56","277.19","263.35","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","13.12","1.18","0.7","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","75.29","87.78","351.13","175.56","275.84","263.35","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","13.12","1.18","0.7","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","76.31","87.78","351.13","175.56","274.82","263.35","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","13.12","1.19","0.7","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","76.96","87.78","351.13","175.56","274.17","263.35","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","13.12","1.19","0.7","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","78.03","87.78","351.13","175.56","273.1","263.35","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","13.12","1.17","0.7","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","77.76","87.78","351.13","175.56","273.37","263.35","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","13.12","1.18","0.7","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","73.79","87.78","351.13","175.56","277.34","263.35","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","13.12","1.18","0.7","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","74.54","87.78","351.13","175.56","276.59","263.35","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","13.12","1.18","0.7","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","75.91","87.78","351.13","175.56","275.22","263.35","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","13.12","1.16","0.7","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","66.91","87.78","351.13","175.56","284.22","263.35","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","13.12","1.15","0.7","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","69.2","87.78","351.13","175.56","281.93","263.35","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","13.12","1.16","0.7","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","70.2","87.78","351.13","175.56","280.93","263.35","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","13.12","1.17","0.7","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","71.29","87.78","351.13","175.56","279.84","263.35","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","13.12","1.11","0.7","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","72.5","87.78","351.13","175.56","278.62","263.35","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","13.12","1.19","0.7","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","66.03","87.78","351.13","175.56","285.1","263.35","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","13.12","1.2","0.7","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","66.0","87.78","351.13","175.56","285.13","263.35","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","13.12","1.2","0.7","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","60.96","87.78","351.13","175.56","290.17","263.35","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","13.12","1.17","0.7","0.0","1.13","1.17","1.33","6.74","6.74","0.0","0.0","55.54","87.78","351.13","175.56","295.58","263.35","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","13.12","1.17","0.7","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","57.14","87.78","351.13","175.56","293.99","263.35","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","13.12","1.17","0.7","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","58.02","87.78","351.13","175.56","293.11","263.35","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","13.12","1.19","0.7","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","56.46","87.78","351.13","175.56","294.67","263.35","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","13.12","1.17","0.7","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","58.26","87.78","351.13","175.56","292.87","263.35","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","13.12","1.18","0.7","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","58.93","87.78","351.13","175.56","292.2","263.35","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","13.12","1.18","0.7","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","58.97","87.78","351.13","175.56","292.16","263.35","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","13.12","1.18","0.7","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","60.06","87.78","351.13","175.56","291.07","263.35","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","13.12","1.18","0.7","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","60.93","87.78","351.13","175.56","290.2","263.35","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","13.12","1.11","0.7","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","62.11","87.78","351.13","175.56","289.02","263.35","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","13.12","1.01","0.7","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","63.53","87.78","351.13","175.56","287.59","263.35","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","13.12","0.94","0.7","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","64.67","78.07","351.13","175.56","286.46","273.06","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","13.12","0.88","0.7","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","65.72","78.07","351.13","175.56","285.41","273.06","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","13.12","0.85","0.7","0.0","0.87","0.85","0.74","0.13","0.13","0.0","0.0","66.33","78.07","351.13","175.56","284.8","273.06","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","13.12","1.19","0.7","0.0","0.84","1.19","1.0","14.51","14.51","0.0","0.0","52.81","78.07","351.13","175.56","298.32","273.06","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","13.12","1.19","0.7","0.0","0.82","1.19","0.97","15.08","15.08","0.0","0.0","38.71","78.07","351.13","175.56","312.42","273.06","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","13.12","1.2","0.7","0.0","0.6","1.2","0.72","15.82","15.82","0.0","0.0","23.6","78.07","351.13","175.56","327.53","273.06","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","13.12","1.2","0.7","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","24.36","78.07","351.13","175.56","326.77","273.06","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","13.12","1.19","0.7","0.0","0.81","1.19","0.96","2.11","2.11","0.0","0.0","23.21","78.07","351.13","175.56","327.92","273.06","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","13.12","1.18","0.7","0.0","0.9","1.18","1.07","1.36","1.36","0.0","0.0","22.91","78.07","351.13","175.56","328.22","273.06","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","13.12","1.18","0.7","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","24.05","78.07","351.13","175.56","327.08","273.06","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","13.12","1.18","0.7","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","25.15","78.07","351.13","175.56","325.98","273.06","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","13.12","1.17","0.7","0.0","1.3","1.17","1.52","4.02","4.02","0.0","0.0","22.65","78.07","351.13","175.56","328.48","273.06","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","13.12","1.19","0.7","0.0","0.66","1.19","0.79","2.04","2.04","0.0","0.0","21.4","78.07","351.13","175.56","329.73","273.06","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","13.12","1.19","0.7","0.0","0.81","1.19","0.96","3.1","3.1","0.0","0.0","19.26","78.07","351.13","175.56","331.87","273.06","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","13.12","1.19","0.7","0.0","0.81","1.19","0.96","6.85","6.85","0.0","0.0","13.37","78.07","351.13","175.56","337.76","273.06","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","13.12","1.19","0.7","0.0","0.78","1.19","0.93","2.21","2.21","0.0","0.0","12.09","78.07","351.13","175.56","339.04","273.06","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","13.12","1.17","0.7","0.0","1.14","1.17","1.34","29.61","13.43","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","13.12","1.17","0.7","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","13.12","1.18","0.7","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","13.12","1.18","0.7","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","78.07","351.13","175.56","349.87","273.06","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","13.12","1.18","0.7","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","78.07","351.13","175.56","348.82","273.06","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","13.12","1.16","0.7","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","13.12","1.18","0.7","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","13.12","1.17","0.7","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","78.07","351.13","175.56","349.78","273.06","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","13.12","1.18","0.7","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","78.07","351.13","175.56","348.6","273.06","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","13.12","1.17","0.7","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","78.07","351.13","175.56","347.03","273.06","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","13.12","1.18","0.7","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","78.07","351.13","175.56","345.98","273.06","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","13.12","1.1","0.7","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","78.07","351.13","175.56","345.0","273.06","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","13.12","1.16","0.7","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","78.07","351.13","175.56","349.15","273.06","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","13.12","1.14","0.7","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","78.07","351.13","175.56","346.43","273.06","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","13.12","1.08","0.7","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","78.07","351.13","175.56","343.62","273.06","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","13.12","1.01","0.7","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","78.07","351.13","175.56","342.54","273.06","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","13.12","0.95","0.7","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","78.07","351.13","175.56","342.08","273.06","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","13.12","0.87","0.7","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.36","78.07","351.13","175.56","340.77","273.06","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","13.12","0.82","0.7","0.0","1.36","0.82","1.12","0.0","0.0","0.0","0.0","11.48","78.07","351.13","175.56","339.65","273.06","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","13.12","0.77","0.7","0.0","1.59","0.77","1.23","0.0","0.0","0.0","0.0","12.7","78.07","351.13","175.56","338.43","273.06","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","13.12","0.72","0.7","0.0","1.92","0.72","1.38","0.0","0.0","0.0","0.0","14.08","78.07","351.13","175.56","337.05","273.06","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","13.12","0.67","0.7","0.0","2.05","0.7","1.44","0.0","0.0","0.0","0.0","15.52","78.07","351.13","175.56","335.61","273.06","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","13.12","0.64","0.7","0.0","1.92","0.7","1.34","0.0","0.0","0.0","0.0","16.86","78.07","351.13","175.56","334.27","273.06","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","13.12","0.61","0.7","0.0","1.88","0.7","1.32","0.0","0.0","0.0","0.0","18.18","78.07","351.13","175.56","332.95","273.06","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","13.12","0.59","0.7","0.0","1.71","0.7","1.2","0.0","0.0","0.0","0.0","19.37","78.07","351.13","175.56","331.75","273.06","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","13.12","0.56","0.7","0.0","1.78","0.7","1.25","0.0","0.0","0.0","0.0","20.62","78.07","351.13","175.56","330.51","273.06","0.0","","","","","","",""
