" Daily soil water balance output for Riparian in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Riparian in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","15.0","288.0","9619.2293085","0.08","1.06","0.0","3.64","1.06","3.8584","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","16.0","289.0","9619.2293085","0.08","1.05","0.0","3.77","1.05","3.9585","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","9619.2293085","0.08","1.05","0.0","3.05","1.05","3.2025","0.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","9619.2293085","0.08","1.05","0.0","2.61","1.05","2.7405","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","9619.2293085","0.08","1.04","0.0","2.7","1.04","2.808","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","9619.2293085","0.08","1.04","0.0","4.16","1.04","4.3264","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","9619.2293085","0.08","1.04","0.0","3.41","1.04","3.5464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","9619.2293085","0.08","1.03","0.0","2.98","1.03","3.0694","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","9619.2293085","0.08","1.03","0.0","2.63","1.03","2.7089","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","9619.2293085","0.08","1.03","0.0","2.48","1.03","2.5544","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","9619.2293085","0.08","1.02","0.0","3.16","1.02","3.2232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","9619.2293085","0.08","1.02","0.0","2.48","1.02","2.5296","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","9619.2293085","0.08","1.02","0.0","2.07","1.02","2.1114","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","9619.2293085","0.08","1.01","0.0","2.25","1.01","2.2725","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","9619.2293085","0.08","1.01","0.0","4.25","1.01","4.2925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","9619.2293085","0.08","1.01","0.0","3.55","1.01","3.5855","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","9619.2293085","0.08","1.0","0.0","3.17","1.0","3.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","9619.2293085","0.08","1.0","0.0","2.19","1.0","2.19","1.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","9619.2293085","1.17","1.0","0.0","1.26","1.17","1.4742","16.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","9619.2293085","1.14","0.99","0.0","2.17","1.14","2.4738","8.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","9619.2293085","1.12","0.99","0.0","3.03","1.12","3.3936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","9619.2293085","1.06","0.99","0.0","1.71","1.06","1.8126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","9619.2293085","0.94","0.98","0.0","1.89","0.98","1.8522","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","9619.2293085","0.86","0.98","0.0","1.65","0.98","1.617","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","9619.2293085","0.81","0.98","0.0","1.2","0.98","1.176","0.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","9619.2293085","1.18","0.97","0.0","1.07","1.18","1.2626","5.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","9619.2293085","1.17","0.97","0.0","1.27","1.17","1.4859","5.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","9619.2293085","1.17","0.97","0.0","1.22","1.17","1.4274","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","9619.2293085","1.17","0.96","0.0","1.41","1.17","1.6497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","9619.2293085","1.17","0.96","0.0","1.36","1.17","1.5912","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","9619.2293085","1.09","0.96","0.0","1.35","1.09","1.4715","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","9619.2293085","1.15","0.95","0.0","1.9","1.15","2.185","1.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","9619.2293085","1.13","0.95","0.0","2.7","1.13","3.051","1.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","9619.2293085","1.13","0.95","0.0","1.45","1.13","1.6385","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","9619.2293085","1.03","0.95","0.0","1.31","1.03","1.3493","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","9619.2293085","0.95","0.94","0.0","1.33","0.95","1.2635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","9619.2293085","0.87","0.94","0.0","1.59","0.94","1.4946","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","9619.2293085","0.82","0.94","0.0","1.47","0.94","1.3818","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","9619.2293085","0.77","0.93","0.0","1.3","0.93","1.209","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","9619.2293085","0.73","0.93","0.0","1.35","0.93","1.2555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","9619.2293085","0.7","0.93","0.0","1.38","0.93","1.2834","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","9619.2293085","1.18","0.92","0.0","1.06","1.18","1.2508","2.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","9619.2293085","1.17","0.92","0.0","1.6","1.17","1.872","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","9619.2293085","1.16","0.92","0.0","2.18","1.16","2.5288","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","9619.2293085","1.14","0.91","0.0","1.62","1.14","1.8468","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","9619.2293085","1.03","0.91","0.0","1.36","1.03","1.4008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","9619.2293085","0.97","0.91","0.0","1.0","0.97","0.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","9619.2293085","0.9","0.9","0.0","1.25","0.9","1.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","9619.2293085","0.85","0.9","0.0","1.15","0.9","1.035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","9619.2293085","0.8","0.9","0.0","1.14","0.9","1.026","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","9619.2293085","1.18","0.89","0.0","1.0","1.18","1.18","3.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","9619.2293085","1.18","0.89","0.0","0.73","1.18","0.8614","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","9619.2293085","1.18","0.89","0.0","1.23","1.18","1.4514","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","9619.2293085","1.18","0.88","0.0","0.92","1.18","1.0856","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","9619.2293085","1.18","0.88","0.0","0.6","1.18","0.708","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","9619.2293085","1.16","0.88","0.0","0.99","1.16","1.1484","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","9619.2293085","1.17","0.87","0.0","1.27","1.17","1.4859","1.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","9619.2293085","1.18","0.87","0.0","1.12","1.18","1.3216","8.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","9619.2293085","1.18","0.87","0.0","0.9","1.18","1.062","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","9619.2293085","1.18","0.86","0.0","1.34","1.18","1.5812","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","9619.2293085","1.15","0.86","0.0","1.63","1.15","1.8745","11.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","9619.2293085","1.15","0.86","0.0","1.84","1.15","2.116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","9619.2293085","1.16","0.85","0.0","0.93","1.16","1.0788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","9619.2293085","1.17","0.85","0.0","0.96","1.17","1.1232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","9619.2293085","1.09","0.85","0.0","1.13","1.09","1.2317","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","9619.2293085","1.19","0.84","0.0","0.8","1.19","0.952","4.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","9619.2293085","1.19","0.84","0.0","0.6","1.19","0.714","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","9619.2293085","1.19","0.84","0.0","0.65","1.19","0.7735","2.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","9619.2293085","1.17","0.83","0.0","1.22","1.17","1.4274","12.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","9619.2293085","1.16","0.83","0.0","1.51","1.16","1.7516","0.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","9619.2293085","1.17","0.83","0.0","1.02","1.17","1.1934","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","9619.2293085","1.18","0.82","0.0","0.91","1.18","1.0738","4.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","9619.2293085","1.17","0.82","0.0","1.45","1.17","1.6965","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","9619.2293085","1.18","0.82","0.0","0.59","1.18","0.6962","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","9619.2293085","1.19","0.81","0.0","0.72","1.19","0.8568","1.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","9619.2293085","1.19","0.81","0.0","0.93","1.19","1.1067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","9619.2293085","1.19","0.81","0.0","0.76","1.19","0.9044","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","9619.2293085","1.19","0.8","0.0","1.01","1.19","1.2019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","9619.2293085","1.18","0.8","0.0","1.29","1.18","1.5222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","9619.2293085","1.18","0.8","0.0","1.13","1.18","1.3334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","9619.2293085","1.08","0.8","0.0","1.15","1.08","1.242","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","9619.2293085","1.01","0.8","0.0","0.95","1.01","0.9595","4.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","9619.2293085","1.18","0.8","0.0","0.87","1.18","1.0266","14.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","9619.2293085","1.19","0.8","0.0","0.83","1.19","0.9877","12.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","9619.2293085","1.19","0.8","0.0","0.63","1.19","0.7497","8.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","9619.2293085","1.19","0.8","0.0","0.69","1.19","0.8211","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","9619.2293085","1.19","0.8","0.0","0.9","1.19","1.071","0.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","9619.2293085","1.19","0.8","0.0","0.89","1.19","1.0591","1.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","9619.2293085","1.19","0.8","0.0","0.97","1.19","1.1543","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","9619.2293085","1.19","0.8","0.0","0.92","1.19","1.0948","1.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","9619.2293085","1.16","0.8","0.0","1.32","1.16","1.5312","1.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","9619.2293085","1.18","0.8","0.0","0.71","1.18","0.8378","1.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","9619.2293085","1.18","0.8","0.0","0.95","1.18","1.121","4.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","9619.2293085","1.18","0.8","0.0","0.88","1.18","1.0384","6.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","9619.2293085","1.18","0.8","0.0","0.77","1.18","0.9086","9.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","9619.2293085","1.17","0.8","0.0","1.16","1.17","1.3572","28.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","9619.2293085","1.17","0.8","0.0","1.25","1.17","1.4625","4.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","9619.2293085","1.18","0.8","0.0","1.07","1.18","1.2626","10.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","9619.2293085","1.17","0.8","0.0","1.08","1.17","1.2636","0.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","9619.2293085","1.17","0.8","0.0","1.09","1.17","1.2753","2.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","9619.2293085","1.16","0.8","0.0","1.39","1.16","1.6124","8.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","9619.2293085","1.17","0.8","0.0","1.16","1.17","1.3572","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","9619.2293085","1.17","0.8","0.0","1.07","1.17","1.2519","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","9619.2293085","1.17","0.8","0.0","1.09","1.17","1.2753","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","9619.2293085","1.14","0.8","0.0","1.29","1.14","1.4706","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","9619.2293085","1.06","0.8","0.0","0.92","1.06","0.9752","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","9619.2293085","0.98","0.8","0.0","1.04","0.98","1.0192","2.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","9619.2293085","1.16","0.8","0.0","1.58","1.16","1.8328","3.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","9619.2293085","1.14","0.8","0.0","2.29","1.14","2.6106","3.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","9619.2293085","1.08","0.8","0.0","2.66","1.08","2.8728","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","9619.2293085","1.0","0.8","0.0","1.14","1.0","1.14","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","9619.2293085","0.93","0.8","0.0","1.1","0.93","1.023","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","9619.2293085","0.86","0.8","0.0","1.47","0.86","1.2642","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","9619.2293085","0.81","0.8","0.0","1.4","0.81","1.134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","9619.2293085","0.76","0.8","0.0","1.6","0.8","1.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","9619.2293085","0.71","0.8","0.0","1.88","0.8","1.504","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
