" Daily soil water balance output for Urban Landscape in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","189.26","0.09","0.8","0.0","3.66","0.8","2.93","0.0","0.0","0.0","0.0","24.91","31.45","128.0","64.0","103.09","96.55","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","189.26","0.09","0.8","0.0","3.08","0.8","2.46","0.0","0.0","0.0","0.0","27.38","31.45","128.0","64.0","100.62","96.55","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","189.26","0.09","0.8","0.0","2.81","0.8","2.25","0.0","0.0","0.0","0.0","29.62","31.45","128.0","64.0","98.38","96.55","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","189.26","0.09","0.8","0.0","2.68","0.8","2.14","0.0","0.0","0.0","0.0","0.0","31.45","128.0","64.0","128.0","96.55","31.77","","","","","","",""
"2015.0","10.0","20.0","293.0","189.26","0.09","0.8","0.0","3.97","0.8","3.18","0.0","0.0","0.0","0.0","3.18","31.45","128.0","64.0","124.82","96.55","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","189.26","0.09","0.8","0.0","3.34","0.8","2.67","0.0","0.0","0.0","0.0","5.85","31.45","128.0","64.0","122.15","96.55","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","189.26","0.09","0.8","0.0","2.95","0.8","2.36","0.0","0.0","0.0","0.0","8.21","31.45","128.0","64.0","119.79","96.55","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","189.26","0.09","0.8","0.0","2.69","0.8","2.15","0.0","0.0","0.0","0.0","10.36","31.45","128.0","64.0","117.64","96.55","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","189.26","0.09","0.8","0.0","2.53","0.8","2.02","0.0","0.0","0.0","0.0","12.38","31.45","128.0","64.0","115.62","96.55","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","189.26","0.09","0.8","0.0","3.1","0.8","2.48","0.0","0.0","0.0","0.0","14.86","31.45","128.0","64.0","113.14","96.55","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","189.26","0.09","0.8","0.0","2.52","0.8","2.02","0.0","0.0","0.0","0.0","16.88","31.45","128.0","64.0","111.12","96.55","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","189.26","0.09","0.8","0.0","2.07","0.8","1.66","0.0","0.0","0.0","0.0","18.54","31.45","128.0","64.0","109.46","96.55","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","189.26","0.09","0.8","0.0","2.25","0.8","1.8","0.0","0.0","0.0","0.0","20.34","31.45","128.0","64.0","107.66","96.55","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","189.26","0.09","0.8","0.0","4.15","0.8","3.32","0.0","0.0","0.0","0.0","23.66","31.45","128.0","64.0","104.34","96.55","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","189.26","0.09","0.8","0.0","3.48","0.8","2.78","0.0","0.0","0.0","0.0","26.44","31.45","128.0","64.0","101.56","96.55","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","189.26","0.09","0.8","0.0","3.13","0.8","2.5","0.0","0.0","0.0","0.0","28.94","31.45","128.0","64.0","99.06","96.55","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","189.26","0.09","0.8","0.0","2.31","0.8","1.85","0.0","0.0","0.0","0.0","30.79","31.45","128.0","64.0","97.21","96.55","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","189.26","1.17","0.8","0.0","1.3","1.17","1.52","18.54","18.54","0.0","0.0","13.77","31.45","128.0","64.0","114.23","96.55","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","189.26","1.13","0.8","0.0","2.14","1.13","2.43","15.28","15.28","0.0","0.0","0.92","31.45","128.0","64.0","127.08","96.55","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","189.26","1.12","0.8","0.0","2.99","1.12","3.34","0.0","0.0","0.0","0.0","4.26","31.45","128.0","64.0","123.74","96.55","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","189.26","1.06","0.8","0.0","1.72","1.06","1.82","0.0","0.0","0.0","0.0","6.07","31.45","128.0","64.0","121.93","96.55","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","189.26","0.93","0.8","0.0","1.91","0.93","1.79","0.0","0.0","0.0","0.0","7.86","31.45","128.0","64.0","120.14","96.55","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","189.26","0.86","0.8","0.0","1.67","0.86","1.43","0.0","0.0","0.0","0.0","9.29","31.45","128.0","64.0","118.71","96.55","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","189.26","0.81","0.8","0.0","1.24","0.81","1.01","0.0","0.0","0.0","0.0","10.3","31.45","128.0","64.0","117.7","96.55","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","189.26","1.18","0.8","0.0","1.09","1.18","1.28","2.24","2.24","0.0","0.0","9.34","31.45","128.0","64.0","118.66","96.55","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","189.26","1.17","0.8","0.0","1.23","1.17","1.44","6.89","6.89","0.0","0.0","3.89","31.45","128.0","64.0","124.11","96.55","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","189.26","1.17","0.8","0.0","1.24","1.17","1.45","0.0","0.0","0.0","0.0","5.35","31.45","128.0","64.0","122.65","96.55","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","189.26","1.17","0.8","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","7.02","31.45","128.0","64.0","120.98","96.55","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","189.26","1.17","0.8","0.0","1.39","1.17","1.62","0.0","0.0","0.0","0.0","8.64","31.45","128.0","64.0","119.36","96.55","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","189.26","1.09","0.8","0.0","1.39","1.09","1.51","0.0","0.0","0.0","0.0","10.15","31.45","128.0","64.0","117.85","96.55","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","189.26","1.14","0.8","0.0","1.93","1.14","2.21","1.63","1.63","0.0","0.0","10.72","31.45","128.0","64.0","117.28","96.55","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","189.26","1.13","0.8","0.0","2.72","1.13","3.07","2.1","2.1","0.0","0.0","11.69","31.45","128.0","64.0","116.31","96.55","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","189.26","1.12","0.8","0.0","1.46","1.12","1.64","0.0","0.0","0.0","0.0","13.33","31.45","128.0","64.0","114.67","96.55","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","189.26","1.02","0.8","0.0","1.32","1.02","1.35","0.0","0.0","0.0","0.0","14.68","31.45","128.0","64.0","113.32","96.55","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","189.26","0.94","0.8","0.0","1.34","0.94","1.26","0.0","0.0","0.0","0.0","15.94","31.45","128.0","64.0","112.06","96.55","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","189.26","0.87","0.8","0.0","1.57","0.87","1.36","0.0","0.0","0.0","0.0","17.3","31.45","128.0","64.0","110.7","96.55","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","189.26","0.81","0.8","0.0","1.49","0.81","1.21","0.0","0.0","0.0","0.0","18.51","31.45","128.0","64.0","109.49","96.55","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","189.26","0.77","0.8","0.0","1.34","0.8","1.07","0.0","0.0","0.0","0.0","19.58","31.45","128.0","64.0","108.42","96.55","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","189.26","0.73","0.8","0.0","1.32","0.8","1.06","0.0","0.0","0.0","0.0","20.64","31.45","128.0","64.0","107.36","96.55","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","189.26","0.7","0.8","0.0","1.38","0.8","1.1","0.0","0.0","0.0","0.0","21.74","31.45","128.0","64.0","106.26","96.55","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","189.26","1.18","0.8","0.0","1.05","1.18","1.24","3.56","3.56","0.0","0.0","19.42","31.45","128.0","64.0","108.58","96.55","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","189.26","1.17","0.8","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","21.19","31.45","128.0","64.0","106.81","96.55","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","189.26","1.16","0.8","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","23.55","31.45","128.0","64.0","104.45","96.55","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","189.26","1.12","0.8","0.0","1.6","1.12","1.8","0.0","0.0","0.0","0.0","25.34","31.45","128.0","64.0","102.66","96.55","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","189.26","1.02","0.8","0.0","1.37","1.02","1.39","0.0","0.0","0.0","0.0","26.74","31.45","128.0","64.0","101.26","96.55","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","189.26","0.96","0.8","0.0","1.01","0.96","0.97","0.0","0.0","0.0","0.0","27.7","31.45","128.0","64.0","100.3","96.55","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","189.26","0.89","0.8","0.0","1.29","0.89","1.15","0.0","0.0","0.0","0.0","28.86","31.45","128.0","64.0","99.14","96.55","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","189.26","0.84","0.8","0.0","1.17","0.84","0.99","0.0","0.0","0.0","0.0","29.84","31.45","128.0","64.0","98.16","96.55","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","189.26","0.8","0.8","0.0","1.22","0.8","0.98","0.0","0.0","0.0","0.0","30.82","32.0","128.0","64.0","97.18","96.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","189.26","1.18","0.8","0.0","1.03","1.18","1.21","2.99","2.99","0.0","0.0","29.05","32.0","128.0","64.0","98.95","96.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","189.26","1.18","0.8","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","29.95","32.0","128.0","64.0","98.05","96.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","189.26","1.18","0.8","0.0","1.29","1.18","1.52","0.0","0.0","0.0","0.0","31.47","32.0","128.0","64.0","96.53","96.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","189.26","1.18","0.8","0.0","0.95","1.18","1.12","0.0","0.0","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","32.59","","","","","","",""
"2015.0","12.0","8.0","342.0","189.26","1.18","0.8","0.0","0.65","1.18","0.77","0.0","0.0","0.0","0.0","0.77","32.0","128.0","64.0","127.23","96.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","189.26","1.18","0.8","0.0","1.04","1.18","1.23","0.0","0.0","0.0","0.0","2.0","32.0","128.0","64.0","126.0","96.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","189.26","1.07","0.8","0.0","1.22","1.07","1.31","0.02","0.02","0.0","0.0","3.29","32.0","128.0","64.0","124.71","96.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","189.26","1.17","0.8","0.0","1.14","1.17","1.34","9.16","4.62","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","189.26","1.18","0.8","0.0","0.93","1.18","1.1","0.23","0.23","0.0","0.0","0.87","32.0","128.0","64.0","127.13","96.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","189.26","1.17","0.8","0.0","1.35","1.17","1.59","0.0","0.0","0.0","0.0","2.45","32.0","128.0","64.0","125.55","96.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","189.26","1.15","0.8","0.0","1.66","1.15","1.91","9.39","4.37","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","189.26","1.15","0.8","0.0","1.73","1.15","1.99","0.0","0.0","0.0","0.0","1.99","32.0","128.0","64.0","126.01","96.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","189.26","1.16","0.8","0.0","0.97","1.16","1.13","0.0","0.0","0.0","0.0","3.12","32.0","128.0","64.0","124.88","96.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","189.26","1.17","0.8","0.0","0.99","1.17","1.15","0.0","0.0","0.0","0.0","4.28","32.0","128.0","64.0","123.72","96.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","189.26","1.1","0.8","0.0","1.17","1.1","1.29","0.0","0.0","0.0","0.0","5.56","32.0","128.0","64.0","122.44","96.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","189.26","1.19","0.8","0.0","0.83","1.19","0.99","3.08","3.08","0.0","0.0","3.47","32.0","128.0","64.0","124.53","96.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","189.26","1.19","0.8","0.0","0.63","1.19","0.75","1.38","1.38","0.0","0.0","2.84","32.0","128.0","64.0","125.16","96.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","189.26","1.19","0.8","0.0","0.7","1.19","0.83","2.4","2.4","0.0","0.0","1.27","32.0","128.0","64.0","126.73","96.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","189.26","1.17","0.8","0.0","1.24","1.17","1.45","14.42","2.73","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","189.26","1.16","0.8","0.0","1.56","1.16","1.81","2.56","1.81","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","189.26","1.17","0.8","0.0","1.0","1.17","1.17","0.03","0.03","0.0","0.0","1.14","32.0","128.0","64.0","126.86","96.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","189.26","1.18","0.8","0.0","0.94","1.18","1.11","4.27","2.25","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","189.26","1.17","0.8","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","1.64","32.0","128.0","64.0","126.36","96.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","189.26","1.18","0.8","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","2.35","32.0","128.0","64.0","125.65","96.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","189.26","1.19","0.8","0.0","0.72","1.19","0.86","2.01","2.01","0.0","0.0","1.2","32.0","128.0","64.0","126.8","96.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","189.26","1.19","0.8","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","2.3","32.0","128.0","64.0","125.7","96.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","189.26","1.19","0.8","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","3.24","32.0","128.0","64.0","124.76","96.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","189.26","1.19","0.8","0.0","1.0","1.19","1.19","0.0","0.0","0.0","0.0","4.43","32.0","128.0","64.0","123.57","96.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","189.26","1.18","0.8","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","5.88","32.0","128.0","64.0","122.12","96.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","189.26","1.18","0.8","0.0","1.09","1.18","1.28","0.0","0.0","0.0","0.0","7.16","30.87","128.0","64.0","120.84","97.13","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","189.26","1.08","0.8","0.0","1.14","1.08","1.23","0.0","0.0","0.0","0.0","8.39","30.87","128.0","64.0","119.61","97.13","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","189.26","1.18","0.8","0.0","0.99","1.18","1.17","1.76","1.76","0.0","0.0","7.8","30.87","128.0","64.0","120.2","97.13","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","189.26","1.18","0.8","0.0","0.89","1.18","1.05","11.38","8.85","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","189.26","1.19","0.8","0.0","0.83","1.19","0.99","11.3","0.99","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","189.26","1.19","0.8","0.0","0.65","1.19","0.78","5.97","0.78","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","189.26","1.19","0.8","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","0.86","30.87","128.0","64.0","127.14","97.13","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","189.26","1.19","0.8","0.0","0.94","1.19","1.12","0.49","0.49","0.0","0.0","1.49","30.87","128.0","64.0","126.51","97.13","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","189.26","1.19","0.8","0.0","0.88","1.19","1.05","0.62","0.62","0.0","0.0","1.91","30.87","128.0","64.0","126.09","97.13","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","189.26","1.19","0.8","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.06","30.87","128.0","64.0","124.94","97.13","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","189.26","1.19","0.8","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","4.17","30.87","128.0","64.0","123.83","97.13","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","189.26","1.17","0.8","0.0","1.35","1.17","1.57","1.67","1.67","0.0","0.0","4.07","30.87","128.0","64.0","123.93","97.13","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","189.26","1.19","0.8","0.0","0.75","1.19","0.89","1.16","1.16","0.0","0.0","3.8","30.87","128.0","64.0","124.2","97.13","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","189.26","1.18","0.8","0.0","1.02","1.18","1.2","2.68","2.68","0.0","0.0","2.33","30.87","128.0","64.0","125.67","97.13","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","189.26","1.18","0.8","0.0","0.89","1.18","1.05","7.73","3.38","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","189.26","1.19","0.8","0.0","0.78","1.19","0.93","2.91","0.93","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","189.26","1.17","0.8","0.0","1.2","1.17","1.41","28.66","1.41","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","189.26","1.17","0.8","0.0","1.24","1.17","1.45","8.71","1.45","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","189.26","1.18","0.8","0.0","1.1","1.18","1.29","10.7","1.29","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","189.26","1.18","0.8","0.0","1.1","1.18","1.29","0.0","0.0","0.0","0.0","1.29","30.87","128.0","64.0","126.71","97.13","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","189.26","1.18","0.8","0.0","1.11","1.18","1.31","1.1","1.1","0.0","0.0","1.5","30.87","128.0","64.0","126.5","97.13","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","189.26","1.17","0.8","0.0","1.37","1.17","1.6","8.68","3.1","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","189.26","1.17","0.8","0.0","1.17","1.17","1.37","1.18","1.18","0.0","0.0","0.19","30.87","128.0","64.0","127.81","97.13","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","189.26","1.17","0.8","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","1.41","30.87","128.0","64.0","126.59","97.13","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","189.26","1.17","0.8","0.0","1.13","1.17","1.33","0.0","0.0","0.0","0.0","2.73","30.87","128.0","64.0","125.27","97.13","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","189.26","1.15","0.8","0.0","1.28","1.15","1.47","0.0","0.0","0.0","0.0","4.2","30.87","128.0","64.0","123.8","97.13","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","189.26","1.07","0.8","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.19","30.87","128.0","64.0","122.81","97.13","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","189.26","1.0","0.8","0.0","1.08","1.0","1.08","0.0","0.0","0.0","0.0","6.27","30.87","128.0","64.0","121.73","97.13","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","189.26","1.16","0.8","0.0","1.59","1.16","1.84","2.96","2.96","0.0","0.0","5.15","30.87","128.0","64.0","122.85","97.13","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","189.26","1.14","0.8","0.0","2.21","1.14","2.53","1.0","1.0","0.0","0.0","6.67","30.87","128.0","64.0","121.33","97.13","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","189.26","1.09","0.8","0.0","2.68","1.09","2.91","1.53","1.53","0.0","0.0","8.06","30.87","128.0","64.0","119.94","97.13","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","189.26","1.0","0.8","0.0","1.2","1.0","1.2","0.28","0.28","0.0","0.0","8.98","30.87","128.0","64.0","119.02","97.13","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","189.26","0.94","0.8","0.0","1.14","0.94","1.07","0.31","0.31","0.0","0.0","9.74","30.87","128.0","64.0","118.26","97.13","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","189.26","0.87","0.8","0.0","1.45","0.87","1.26","0.0","0.0","0.0","0.0","11.0","30.87","128.0","64.0","117.0","97.13","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","189.26","0.82","0.8","0.0","1.42","0.82","1.16","0.0","0.0","0.0","0.0","12.16","30.87","128.0","64.0","115.84","97.13","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","189.26","0.77","0.8","0.0","1.6","0.8","1.28","0.0","0.0","0.0","0.0","13.44","30.87","128.0","64.0","114.56","97.13","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","189.26","0.72","0.8","0.0","1.89","0.8","1.51","0.0","0.0","0.0","0.0","14.96","30.87","128.0","64.0","113.04","97.13","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","189.26","0.67","0.8","0.0","2.04","0.8","1.63","0.0","0.0","0.0","0.0","16.59","30.87","128.0","64.0","111.41","97.13","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","189.26","0.64","0.8","0.0","2.01","0.8","1.61","0.0","0.0","0.0","0.0","18.2","30.87","128.0","64.0","109.8","97.13","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","189.26","0.61","0.8","0.0","1.97","0.8","1.58","0.0","0.0","0.0","0.0","19.77","30.87","128.0","64.0","108.23","97.13","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","189.26","0.58","0.8","0.0","1.79","0.8","1.43","0.0","0.0","0.0","0.0","21.2","30.87","128.0","64.0","106.8","97.13","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","189.26","0.56","0.8","0.0","1.82","0.8","1.46","0.0","0.0","0.0","0.0","22.66","30.87","128.0","64.0","105.34","97.13","0.0","","","","","","",""
