" Daily soil water balance output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","12794.36","0.1","0.8","0.0","3.73","0.8","2.98","0.0","0.0","0.0","0.0","12.44","28.71","120.0","60.0","107.56","91.29","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","12794.36","0.1","0.8","0.0","3.04","0.8","2.43","0.02","0.02","0.0","0.0","14.85","28.71","120.0","60.0","105.15","91.29","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","12794.36","0.1","0.8","0.0","2.6","0.8","2.08","0.0","0.0","0.0","0.0","16.93","28.71","120.0","60.0","103.07","91.29","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","12794.36","0.1","0.8","0.0","2.68","0.8","2.14","0.0","0.0","0.0","0.0","19.08","28.71","120.0","60.0","100.92","91.29","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","12794.36","0.1","0.8","0.0","4.1","0.8","3.28","0.0","0.0","0.0","0.0","22.36","28.71","120.0","60.0","97.64","91.29","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","12794.36","0.1","0.8","0.0","3.4","0.8","2.72","0.0","0.0","0.0","0.0","25.08","28.71","120.0","60.0","94.92","91.29","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","12794.36","0.1","0.8","0.0","2.94","0.8","2.35","0.0","0.0","0.0","0.0","27.43","28.71","120.0","60.0","92.57","91.29","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","12794.36","0.1","0.8","0.0","2.62","0.8","2.1","0.0","0.0","0.0","0.0","0.0","28.71","120.0","60.0","120.0","91.29","29.52","","","","","","",""
"2015.0","10.0","24.0","297.0","12794.36","0.1","0.8","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","1.98","28.71","120.0","60.0","118.02","91.29","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","12794.36","0.1","0.8","0.0","3.11","0.8","2.49","0.0","0.0","0.0","0.0","4.46","28.71","120.0","60.0","115.54","91.29","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","12794.36","0.1","0.8","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","6.44","28.71","120.0","60.0","113.56","91.29","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","12794.36","0.1","0.8","0.0","2.04","0.8","1.63","0.0","0.0","0.0","0.0","8.07","28.71","120.0","60.0","111.93","91.29","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","12794.36","0.1","0.8","0.0","2.24","0.8","1.79","0.0","0.0","0.0","0.0","9.86","28.71","120.0","60.0","110.14","91.29","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","12794.36","0.1","0.8","0.0","4.18","0.8","3.34","0.0","0.0","0.0","0.0","13.21","28.71","120.0","60.0","106.79","91.29","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","12794.36","0.1","0.8","0.0","3.5","0.8","2.8","0.0","0.0","0.0","0.0","16.01","28.71","120.0","60.0","103.99","91.29","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","12794.36","0.1","0.8","0.0","3.13","0.8","2.5","0.0","0.0","0.0","0.0","18.51","28.71","120.0","60.0","101.49","91.29","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","12794.36","0.1","0.8","0.0","2.18","0.8","1.74","2.43","2.43","0.0","0.0","17.83","28.71","120.0","60.0","102.17","91.29","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","12794.36","1.17","0.8","0.0","1.3","1.17","1.52","18.24","18.24","0.0","0.0","1.1","28.71","120.0","60.0","118.9","91.29","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","12794.36","1.13","0.8","0.0","2.18","1.13","2.47","7.14","3.57","0.0","0.0","0.0","28.71","120.0","60.0","120.0","91.29","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","12794.36","1.12","0.8","0.0","3.01","1.12","3.36","0.0","0.0","0.0","0.0","3.36","28.71","120.0","60.0","116.64","91.29","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","12794.36","1.05","0.8","0.0","1.71","1.05","1.8","0.0","0.0","0.0","0.0","5.16","28.71","120.0","60.0","114.84","91.29","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","12794.36","0.93","0.8","0.0","1.9","0.93","1.77","0.0","0.0","0.0","0.0","6.93","28.71","120.0","60.0","113.07","91.29","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","12794.36","0.86","0.8","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","8.35","28.71","120.0","60.0","111.65","91.29","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","12794.36","0.81","0.8","0.0","1.2","0.81","0.98","0.18","0.18","0.0","0.0","9.15","28.71","120.0","60.0","110.85","91.29","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","12794.36","1.18","0.8","0.0","1.07","1.18","1.26","6.43","6.43","0.0","0.0","3.98","28.71","120.0","60.0","116.02","91.29","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","12794.36","1.17","0.8","0.0","1.28","1.17","1.5","3.5","3.5","0.0","0.0","1.97","28.71","120.0","60.0","118.03","91.29","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","12794.36","1.17","0.8","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","3.4","28.71","120.0","60.0","116.6","91.29","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","12794.36","1.17","0.8","0.0","1.41","1.17","1.65","0.0","0.0","0.0","0.0","5.05","28.71","120.0","60.0","114.95","91.29","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","12794.36","1.17","0.8","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","6.64","28.71","120.0","60.0","113.36","91.29","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","12794.36","1.09","0.8","0.0","1.35","1.09","1.47","0.0","0.0","0.0","0.0","8.11","28.71","120.0","60.0","111.89","91.29","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","12794.36","1.14","0.8","0.0","1.92","1.14","2.19","1.76","1.76","0.0","0.0","8.54","28.71","120.0","60.0","111.46","91.29","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","12794.36","1.13","0.8","0.0","2.68","1.13","3.02","0.99","0.99","0.0","0.0","10.58","28.71","120.0","60.0","109.42","91.29","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","12794.36","1.13","0.8","0.0","1.46","1.13","1.65","0.0","0.0","0.0","0.0","12.22","28.71","120.0","60.0","107.78","91.29","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","12794.36","1.02","0.8","0.0","1.32","1.02","1.35","0.0","0.0","0.0","0.0","13.58","28.71","120.0","60.0","106.42","91.29","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","12794.36","0.94","0.8","0.0","1.33","0.94","1.26","0.0","0.0","0.0","0.0","14.83","28.71","120.0","60.0","105.17","91.29","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","12794.36","0.87","0.8","0.0","1.59","0.87","1.38","0.0","0.0","0.0","0.0","16.21","28.71","120.0","60.0","103.79","91.29","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","12794.36","0.81","0.8","0.0","1.47","0.81","1.2","0.0","0.0","0.0","0.0","17.41","28.71","120.0","60.0","102.59","91.29","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","12794.36","0.77","0.8","0.0","1.31","0.8","1.05","0.0","0.0","0.0","0.0","18.46","28.71","120.0","60.0","101.54","91.29","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","12794.36","0.74","0.8","0.0","1.32","0.8","1.06","0.0","0.0","0.0","0.0","19.51","28.71","120.0","60.0","100.49","91.29","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","12794.36","0.7","0.8","0.0","1.38","0.8","1.1","0.0","0.0","0.0","0.0","20.62","28.71","120.0","60.0","99.38","91.29","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","12794.36","1.18","0.8","0.0","1.06","1.18","1.25","1.88","1.88","0.0","0.0","19.99","28.71","120.0","60.0","100.01","91.29","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","12794.36","1.17","0.8","0.0","1.61","1.17","1.88","0.0","0.0","0.0","0.0","21.87","28.71","120.0","60.0","98.13","91.29","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","12794.36","1.16","0.8","0.0","2.16","1.16","2.5","0.0","0.0","0.0","0.0","24.36","28.71","120.0","60.0","95.64","91.29","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","12794.36","1.1","0.8","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","26.14","28.71","120.0","60.0","93.86","91.29","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","12794.36","1.0","0.8","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","27.51","28.71","120.0","60.0","92.49","91.29","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","12794.36","0.94","0.8","0.0","0.99","0.94","0.93","0.0","0.0","0.0","0.0","28.45","28.71","120.0","60.0","91.55","91.29","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","12794.36","0.88","0.8","0.0","1.25","0.88","1.1","0.0","0.0","0.0","0.0","0.0","28.71","120.0","60.0","120.0","91.29","29.55","","","","","","",""
"2015.0","12.0","2.0","336.0","12794.36","0.84","0.8","0.0","1.16","0.84","0.97","0.0","0.0","0.0","0.0","0.97","28.71","120.0","60.0","119.03","91.29","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","12794.36","0.8","0.8","0.0","1.12","0.8","0.9","0.0","0.0","0.0","0.0","1.87","28.71","120.0","60.0","118.13","91.29","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","12794.36","1.18","0.8","0.0","0.99","1.18","1.17","2.28","2.28","0.0","0.0","0.76","30.0","120.0","60.0","119.24","90.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","12794.36","1.19","0.8","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","1.62","30.0","120.0","60.0","118.38","90.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","12794.36","1.18","0.8","0.0","1.2","1.18","1.42","0.0","0.0","0.0","0.0","3.04","30.0","120.0","60.0","116.96","90.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","12794.36","1.18","0.8","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","4.13","30.0","120.0","60.0","115.87","90.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","12794.36","1.18","0.8","0.0","0.61","1.18","0.72","0.0","0.0","0.0","0.0","4.85","30.0","120.0","60.0","115.15","90.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","12794.36","1.18","0.8","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","6.02","30.0","120.0","60.0","113.98","90.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","12794.36","1.09","0.8","0.0","1.27","1.09","1.39","0.95","0.95","0.0","0.0","6.46","30.0","120.0","60.0","113.54","90.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","12794.36","1.17","0.8","0.0","1.13","1.17","1.33","9.85","7.78","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","12794.36","1.18","0.8","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","1.02","30.0","120.0","60.0","118.98","90.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","12794.36","1.18","0.8","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","2.6","30.0","120.0","60.0","117.4","90.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","12794.36","1.16","0.8","0.0","1.62","1.16","1.87","11.46","4.47","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","12794.36","1.15","0.8","0.0","1.83","1.15","2.11","0.0","0.0","0.0","0.0","2.11","30.0","120.0","60.0","117.89","90.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","12794.36","1.16","0.8","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","3.19","30.0","120.0","60.0","116.81","90.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","12794.36","1.17","0.8","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","4.29","30.0","120.0","60.0","115.71","90.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","12794.36","1.11","0.8","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","5.51","30.0","120.0","60.0","114.49","90.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","12794.36","1.19","0.8","0.0","0.81","1.19","0.96","2.92","2.92","0.0","0.0","3.56","30.0","120.0","60.0","116.44","90.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","12794.36","1.2","0.8","0.0","0.6","1.2","0.72","1.35","1.35","0.0","0.0","2.92","30.0","120.0","60.0","117.08","90.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","12794.36","1.19","0.8","0.0","0.65","1.19","0.78","2.14","2.14","0.0","0.0","1.56","30.0","120.0","60.0","118.44","90.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","12794.36","1.17","0.8","0.0","1.22","1.17","1.43","12.44","2.99","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","12794.36","1.17","0.8","0.0","1.51","1.17","1.76","0.51","0.51","0.0","0.0","1.25","30.0","120.0","60.0","118.75","90.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","12794.36","1.17","0.8","0.0","1.02","1.17","1.19","0.27","0.27","0.0","0.0","2.17","30.0","120.0","60.0","117.83","90.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","12794.36","1.18","0.8","0.0","0.91","1.18","1.08","4.01","3.25","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","12794.36","1.17","0.8","0.0","1.44","1.17","1.69","0.0","0.0","0.0","0.0","1.69","30.0","120.0","60.0","118.31","90.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","12794.36","1.18","0.8","0.0","0.59","1.18","0.7","0.0","0.0","0.0","0.0","2.39","30.0","120.0","60.0","117.61","90.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","12794.36","1.19","0.8","0.0","0.72","1.19","0.86","1.75","1.75","0.0","0.0","1.49","30.0","120.0","60.0","118.51","90.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","12794.36","1.19","0.8","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","2.6","30.0","120.0","60.0","117.4","90.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","12794.36","1.19","0.8","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","3.49","30.0","120.0","60.0","116.51","90.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","12794.36","1.19","0.8","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","4.69","30.0","120.0","60.0","115.31","90.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","12794.36","1.18","0.8","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","6.21","30.0","120.0","60.0","113.79","90.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","12794.36","1.17","0.8","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","7.53","28.9","120.0","60.0","112.47","91.1","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","12794.36","1.07","0.8","0.0","1.14","1.07","1.22","0.0","0.0","0.0","0.0","8.75","28.9","120.0","60.0","111.25","91.1","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","12794.36","1.18","0.8","0.0","0.94","1.18","1.11","6.2","6.2","0.0","0.0","3.66","28.9","120.0","60.0","116.34","91.1","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","12794.36","1.19","0.8","0.0","0.86","1.19","1.02","13.28","4.68","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","12794.36","1.19","0.8","0.0","0.83","1.19","0.99","12.79","0.99","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","12794.36","1.19","0.8","0.0","0.64","1.19","0.76","9.44","0.76","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","12794.36","1.19","0.8","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","28.9","120.0","60.0","119.18","91.1","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","12794.36","1.19","0.8","0.0","0.89","1.19","1.06","0.32","0.32","0.0","0.0","1.56","28.9","120.0","60.0","118.44","91.1","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","12794.36","1.18","0.8","0.0","0.88","1.18","1.04","1.25","1.25","0.0","0.0","1.36","28.9","120.0","60.0","118.64","91.1","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","12794.36","1.18","0.8","0.0","0.96","1.18","1.14","0.4","0.4","0.0","0.0","2.09","28.9","120.0","60.0","117.91","91.1","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","12794.36","1.18","0.8","0.0","0.91","1.18","1.08","2.18","2.18","0.0","0.0","0.99","28.9","120.0","60.0","119.01","91.1","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","12794.36","1.17","0.8","0.0","1.29","1.17","1.51","1.36","1.36","0.0","0.0","1.14","28.9","120.0","60.0","118.86","91.1","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","12794.36","1.19","0.8","0.0","0.71","1.19","0.85","1.86","1.86","0.0","0.0","0.12","28.9","120.0","60.0","119.88","91.1","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","12794.36","1.18","0.8","0.0","0.95","1.18","1.12","4.73","1.24","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","12794.36","1.19","0.8","0.0","0.87","1.19","1.03","6.06","1.03","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","12794.36","1.19","0.8","0.0","0.76","1.19","0.9","14.18","0.9","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","12794.36","1.17","0.8","0.0","1.14","1.17","1.34","24.41","1.34","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","12794.36","1.17","0.8","0.0","1.24","1.17","1.45","3.3","1.45","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","12794.36","1.18","0.8","0.0","1.07","1.18","1.26","6.34","1.26","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","12794.36","1.18","0.8","0.0","1.07","1.18","1.26","1.03","1.03","0.0","0.0","0.23","28.9","120.0","60.0","119.77","91.1","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","12794.36","1.18","0.8","0.0","1.08","1.18","1.27","3.53","1.5","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","12794.36","1.16","0.8","0.0","1.38","1.16","1.61","5.96","1.61","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","12794.36","1.17","0.8","0.0","1.16","1.17","1.36","0.79","0.79","0.0","0.0","0.57","28.9","120.0","60.0","119.43","91.1","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","12794.36","1.17","0.8","0.0","1.05","1.17","1.23","0.0","0.0","0.0","0.0","1.8","28.9","120.0","60.0","118.2","91.1","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","12794.36","1.17","0.8","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","3.08","28.9","120.0","60.0","116.92","91.1","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","12794.36","1.15","0.8","0.0","1.28","1.15","1.48","0.04","0.04","0.0","0.0","4.51","28.9","120.0","60.0","115.49","91.1","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","12794.36","1.07","0.8","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.5","28.9","120.0","60.0","114.5","91.1","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","12794.36","1.18","0.8","0.0","1.02","1.18","1.2","3.24","3.24","0.0","0.0","3.46","28.9","120.0","60.0","116.54","91.1","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","12794.36","1.16","0.8","0.0","1.58","1.16","1.83","2.17","2.17","0.0","0.0","3.12","28.9","120.0","60.0","116.88","91.1","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","12794.36","1.13","0.8","0.0","2.27","1.13","2.56","4.23","4.23","0.0","0.0","1.45","28.9","120.0","60.0","118.55","91.1","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","12794.36","1.12","0.8","0.0","2.64","1.12","2.96","0.39","0.39","0.0","0.0","4.03","28.9","120.0","60.0","115.97","91.1","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","12794.36","1.13","0.8","0.0","1.13","1.13","1.28","0.35","0.35","0.0","0.0","4.95","28.9","120.0","60.0","115.05","91.1","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","12794.36","1.04","0.8","0.0","1.1","1.04","1.15","0.02","0.02","0.0","0.0","6.08","28.9","120.0","60.0","113.92","91.1","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","12794.36","0.95","0.8","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","7.47","28.9","120.0","60.0","112.53","91.1","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","12794.36","0.88","0.8","0.0","1.4","0.88","1.24","0.0","0.0","0.0","0.0","8.7","28.9","120.0","60.0","111.3","91.1","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","12794.36","0.82","0.8","0.0","1.59","0.82","1.3","0.0","0.0","0.0","0.0","10.01","28.9","120.0","60.0","109.99","91.1","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","12794.36","0.76","0.8","0.0","1.88","0.8","1.5","0.0","0.0","0.0","0.0","11.51","28.9","120.0","60.0","108.49","91.1","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","12794.36","0.71","0.8","0.0","2.04","0.8","1.63","0.0","0.0","0.0","0.0","13.14","28.9","120.0","60.0","106.86","91.1","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","12794.36","0.67","0.8","0.0","1.97","0.8","1.58","0.0","0.0","0.0","0.0","14.72","28.9","120.0","60.0","105.28","91.1","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","12794.36","0.63","0.8","0.0","1.91","0.8","1.53","0.0","0.0","0.0","0.0","16.25","28.9","120.0","60.0","103.75","91.1","0.0","","","","","","",""
