" Daily soil water balance output for Tomato in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","1200.49","0.08","0.0","0.0","3.87","0.08","0.32","0.0","0.0","0.0","0.0","24.32","24.0","292.48","146.24","268.16","268.48","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","1200.49","0.08","0.0","0.0","3.06","0.08","0.25","0.41","0.41","0.0","0.0","23.91","24.0","292.48","146.24","268.57","268.48","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","1200.49","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","24.11","24.0","292.48","146.24","268.37","268.48","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","1200.49","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","1200.49","0.08","0.0","0.0","4.55","0.08","0.37","0.0","0.0","0.0","0.0","24.37","24.0","292.48","146.24","268.11","268.48","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","1200.49","0.08","0.0","0.0","3.61","0.08","0.29","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","1200.49","0.08","0.0","0.0","3.07","0.08","0.25","0.0","0.0","0.0","0.0","24.25","24.0","292.48","146.24","268.23","268.48","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","1200.49","0.08","0.0","0.0","2.59","0.08","0.21","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","1200.49","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","24.2","24.0","292.48","146.24","268.28","268.48","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","1200.49","0.08","0.0","0.0","3.31","0.08","0.27","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","1200.49","0.08","0.0","0.0","2.47","0.08","0.2","0.0","0.0","0.0","0.0","24.2","24.0","292.48","146.24","268.28","268.48","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","1200.49","0.08","0.0","0.0","2.1","0.08","0.17","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","1200.49","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","24.18","24.0","292.48","146.24","268.3","268.48","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","1200.49","0.08","0.0","0.0","4.4","0.08","0.35","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","1200.49","0.08","0.0","0.0","3.72","0.08","0.3","0.0","0.0","0.0","0.0","24.3","24.0","292.48","146.24","268.18","268.48","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","1200.49","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","1200.49","0.08","0.0","0.0","1.91","0.08","0.15","0.01","0.01","0.0","0.0","24.14","24.0","292.48","146.24","268.34","268.48","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","1200.49","1.17","0.0","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","16.31","24.0","292.48","146.24","276.17","268.48","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","1200.49","1.13","0.0","0.0","2.22","1.13","2.51","10.9","10.9","0.0","0.0","7.92","24.0","292.48","146.24","284.56","268.48","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","1200.49","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","11.36","24.0","292.48","146.24","281.12","268.48","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","1200.49","1.05","0.0","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","13.1","24.0","292.48","146.24","279.38","268.48","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","1200.49","0.93","0.0","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","14.84","24.0","292.48","146.24","277.64","268.48","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","1200.49","0.86","0.0","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","16.25","24.0","292.48","146.24","276.23","268.48","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","1200.49","0.81","0.0","0.0","1.15","0.81","0.94","0.0","0.0","0.0","0.0","17.18","24.0","292.48","146.24","275.3","268.48","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","1200.49","1.18","0.0","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","15.57","24.0","292.48","146.24","276.91","268.48","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","1200.49","1.17","0.0","0.0","1.3","1.17","1.52","10.25","10.25","0.0","0.0","6.84","24.0","292.48","146.24","285.64","268.48","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","1200.49","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","8.24","24.0","292.48","146.24","284.24","268.48","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","1200.49","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","9.86","24.0","292.48","146.24","282.62","268.48","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","1200.49","1.17","0.0","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","11.39","24.0","292.48","146.24","281.09","268.48","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","1200.49","1.1","0.0","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","12.85","24.0","292.48","146.24","279.63","268.48","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","1200.49","0.97","0.0","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","14.08","24.0","292.48","146.24","278.4","268.48","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","1200.49","1.11","0.0","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","13.54","24.0","292.48","146.24","278.94","268.48","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","1200.49","1.14","0.0","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","15.19","24.0","292.48","146.24","277.29","268.48","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","1200.49","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","16.69","24.0","292.48","146.24","275.79","268.48","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","1200.49","1.08","0.0","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","18.11","24.0","292.48","146.24","274.37","268.48","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","1200.49","0.97","0.0","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","19.69","24.0","292.48","146.24","272.79","268.48","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","1200.49","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","20.99","24.0","292.48","146.24","271.49","268.48","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","1200.49","0.84","0.0","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","22.06","24.0","292.48","146.24","270.42","268.48","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","1200.49","0.79","0.0","0.0","1.43","0.79","1.13","0.0","0.0","0.0","0.0","23.19","24.0","292.48","146.24","269.29","268.48","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","1200.49","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","24.22","24.0","292.48","146.24","268.26","268.48","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","1200.49","0.72","0.0","0.0","1.05","0.72","0.76","1.29","1.29","0.0","0.0","22.93","24.0","292.48","146.24","269.55","268.48","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","1200.49","0.68","0.0","0.0","1.77","0.68","1.21","0.0","0.0","0.0","0.0","24.14","24.0","292.48","146.24","268.34","268.48","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","1200.49","0.64","0.0","0.0","2.45","0.64","1.56","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","1200.49","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","25.02","24.0","292.48","146.24","267.46","268.48","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","1200.49","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","1200.49","0.58","0.0","0.0","0.99","0.58","0.58","0.0","0.0","0.0","0.0","24.58","24.0","292.48","146.24","267.9","268.48","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","1200.49","0.57","0.0","0.0","1.18","0.57","0.67","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","1200.49","0.55","0.0","0.0","1.12","0.55","0.62","0.0","0.0","0.0","0.0","24.62","24.0","292.48","146.24","267.86","268.48","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","1200.49","0.54","0.0","0.0","1.06","0.54","0.58","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","1200.49","1.18","0.0","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","18.14","24.0","292.48","146.24","274.34","268.48","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","1200.49","1.19","0.0","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","18.99","24.0","292.48","146.24","273.49","268.48","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","1200.49","1.18","0.0","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","20.34","24.0","292.48","146.24","272.14","268.48","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","1200.49","1.18","0.0","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","21.36","24.0","292.48","146.24","271.12","268.48","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","1200.49","1.19","0.0","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","22.01","24.0","292.48","146.24","270.47","268.48","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","1200.49","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","23.08","24.0","292.48","146.24","269.4","268.48","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","1200.49","1.17","0.0","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","22.81","24.0","292.48","146.24","269.67","268.48","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","1200.49","1.18","0.0","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","18.85","24.0","292.48","146.24","273.63","268.48","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","1200.49","1.18","0.0","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","19.6","24.0","292.48","146.24","272.88","268.48","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","1200.49","1.18","0.0","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","20.96","24.0","292.48","146.24","271.52","268.48","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","1200.49","1.16","0.0","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","11.96","24.0","292.48","146.24","280.52","268.48","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","1200.49","1.15","0.0","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","14.26","24.0","292.48","146.24","278.22","268.48","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","1200.49","1.16","0.0","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","15.26","24.0","292.48","146.24","277.22","268.48","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","1200.49","1.17","0.0","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","16.34","24.0","292.48","146.24","276.14","268.48","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","1200.49","1.11","0.0","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","17.56","24.0","292.48","146.24","274.92","268.48","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","1200.49","1.19","0.0","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","11.09","24.0","292.48","146.24","281.39","268.48","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","1200.49","1.2","0.0","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","11.05","24.0","292.48","146.24","281.43","268.48","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","1200.49","1.2","0.0","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","6.01","24.0","292.48","146.24","286.47","268.48","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","1200.49","1.17","0.0","0.0","1.13","1.17","1.33","6.74","6.74","0.0","0.0","0.6","24.0","292.48","146.24","291.88","268.48","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","1200.49","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","2.19","24.0","292.48","146.24","290.29","268.48","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","1200.49","1.17","0.0","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","3.08","24.0","292.48","146.24","289.4","268.48","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","1200.49","1.19","0.0","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","1.52","24.0","292.48","146.24","290.96","268.48","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","1200.49","1.17","0.0","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","3.31","24.0","292.48","146.24","289.17","268.48","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","1200.49","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","3.98","24.0","292.48","146.24","288.5","268.48","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","1200.49","1.18","0.0","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","4.03","24.0","292.48","146.24","288.45","268.48","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","1200.49","1.18","0.0","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","5.11","24.0","292.48","146.24","287.37","268.48","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","1200.49","1.18","0.0","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","5.98","24.0","292.48","146.24","286.5","268.48","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","1200.49","1.11","0.0","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","7.17","24.0","292.48","146.24","285.31","268.48","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","1200.49","1.01","0.0","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","8.59","24.0","292.48","146.24","283.89","268.48","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","1200.49","0.94","0.0","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","9.72","24.0","292.48","146.24","282.76","268.48","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","1200.49","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","10.77","24.0","292.48","146.24","281.71","268.48","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","1200.49","0.85","0.0","0.0","0.87","0.85","0.74","0.13","0.13","0.0","0.0","11.38","24.0","292.48","146.24","281.1","268.48","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","1200.49","1.19","0.0","0.0","0.84","1.19","1.0","14.51","12.38","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","1200.49","1.19","0.0","0.0","0.82","1.19","0.97","15.08","0.97","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","1200.49","1.2","0.0","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","1200.49","1.2","0.0","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","24.0","292.48","146.24","291.73","268.48","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","1200.49","1.19","0.0","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","1200.49","1.18","0.0","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","1200.49","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","24.0","292.48","146.24","291.34","268.48","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","1200.49","1.18","0.0","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","24.0","292.48","146.24","290.24","268.48","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","1200.49","1.17","0.0","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","1200.49","1.19","0.0","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","1200.49","1.19","0.0","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","1200.49","1.19","0.0","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","1200.49","1.19","0.0","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","1200.49","1.17","0.0","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","1200.49","1.17","0.0","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","1200.49","1.18","0.0","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","1200.49","1.18","0.0","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","24.0","292.48","146.24","291.22","268.48","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","1200.49","1.18","0.0","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","24.0","292.48","146.24","290.17","268.48","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","1200.49","1.16","0.0","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","1200.49","1.18","0.0","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","1200.49","1.17","0.0","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","24.0","292.48","146.24","291.13","268.48","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","1200.49","1.18","0.0","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","24.0","292.48","146.24","289.95","268.48","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","1200.49","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","24.0","292.48","146.24","288.38","268.48","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","1200.49","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","24.0","292.48","146.24","287.33","268.48","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","1200.49","1.1","0.0","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","24.0","292.48","146.24","286.35","268.48","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","1200.49","1.16","0.0","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","24.0","292.48","146.24","290.5","268.48","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","1200.49","1.14","0.0","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","24.0","292.48","146.24","287.78","268.48","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","1200.49","1.08","0.0","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","24.0","292.48","146.24","284.97","268.48","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","1200.49","1.01","0.0","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","24.0","292.48","146.24","283.89","268.48","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","1200.49","0.95","0.0","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","24.0","292.48","146.24","283.43","268.48","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","1200.49","0.87","0.0","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.36","24.0","292.48","146.24","282.12","268.48","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","1200.49","0.82","0.0","0.0","1.36","0.82","1.12","0.0","0.0","0.0","0.0","11.48","24.0","292.48","146.24","281.0","268.48","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","1200.49","0.77","0.0","0.0","1.59","0.77","1.23","0.0","0.0","0.0","0.0","12.7","24.0","292.48","146.24","279.78","268.48","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","1200.49","0.72","0.0","0.0","1.92","0.72","1.38","0.0","0.0","0.0","0.0","14.08","24.0","292.48","146.24","278.4","268.48","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","1200.49","0.67","0.0","0.0","2.05","0.67","1.38","0.0","0.0","0.0","0.0","15.47","24.0","292.48","146.24","277.01","268.48","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","1200.49","0.64","0.0","0.0","1.92","0.64","1.23","0.0","0.0","0.0","0.0","16.69","24.0","292.48","146.24","275.79","268.48","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","1200.49","0.61","0.0","0.0","1.88","0.61","1.15","0.0","0.0","0.0","0.0","17.84","24.0","292.48","146.24","274.64","268.48","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","1200.49","0.59","0.0","0.0","1.71","0.59","1.0","0.0","0.0","0.0","0.0","18.84","24.0","292.48","146.24","273.64","268.48","0.0","","","","","","",""
