" Daily soil water balance output for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","15.0","288.0","2498.6022075","0.08","1.06","0.0","3.75","1.06","3.975","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","16.0","289.0","2498.6022075","0.08","1.05","0.0","3.92","1.05","4.116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","2498.6022075","0.08","1.05","0.0","2.98","1.05","3.129","2.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","2498.6022075","0.08","1.05","0.0","2.49","1.05","2.6145","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","2498.6022075","0.08","1.04","0.0","2.61","1.04","2.7144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","2498.6022075","0.08","1.04","0.0","4.69","1.04","4.8776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","2498.6022075","0.08","1.04","0.0","3.67","1.04","3.8168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","2498.6022075","0.08","1.03","0.0","3.16","1.03","3.2548","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","2498.6022075","0.08","1.03","0.0","2.61","1.03","2.6883","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","2498.6022075","0.08","1.03","0.0","2.56","1.03","2.6368","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","2498.6022075","0.08","1.02","0.0","3.41","1.02","3.4782","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","2498.6022075","0.08","1.02","0.0","2.5","1.02","2.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","2498.6022075","0.08","1.02","0.0","2.17","1.02","2.2134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","2498.6022075","0.08","1.01","0.0","2.2","1.01","2.222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","2498.6022075","0.08","1.01","0.0","4.43","1.01","4.4743","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","2498.6022075","0.08","1.01","0.0","3.81","1.01","3.8481","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","2498.6022075","0.08","1.0","0.0","3.37","1.0","3.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","2498.6022075","0.08","1.0","0.0","1.78","1.0","1.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","2498.6022075","1.17","1.0","0.0","1.2","1.17","1.404","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","2498.6022075","1.13","0.99","0.0","2.2","1.13","2.486","8.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","2498.6022075","1.12","0.99","0.0","3.08","1.12","3.4496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","2498.6022075","1.05","0.99","0.0","1.68","1.05","1.764","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","2498.6022075","0.93","0.98","0.0","1.86","0.98","1.8228","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","2498.6022075","0.86","0.98","0.0","1.65","0.98","1.617","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","2498.6022075","0.82","0.98","0.0","1.14","0.98","1.1172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","2498.6022075","1.18","0.97","0.0","0.97","1.18","1.1446","4.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","2498.6022075","1.17","0.97","0.0","1.29","1.17","1.5093","10.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","2498.6022075","1.17","0.97","0.0","1.2","1.17","1.404","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","2498.6022075","1.17","0.96","0.0","1.37","1.17","1.6029","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","2498.6022075","1.17","0.96","0.0","1.31","1.17","1.5327","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","2498.6022075","1.1","0.96","0.0","1.34","1.1","1.474","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","2498.6022075","1.15","0.95","0.0","1.72","1.15","1.978","1.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","2498.6022075","1.12","0.95","0.0","2.6","1.12","2.912","3.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","2498.6022075","1.14","0.95","0.0","1.43","1.14","1.6302","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","2498.6022075","1.15","0.95","0.0","1.3","1.15","1.495","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","2498.6022075","1.09","0.94","0.0","1.31","1.09","1.4279","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","2498.6022075","0.97","0.94","0.0","1.65","0.97","1.6005","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","2498.6022075","0.9","0.94","0.0","1.48","0.94","1.3912","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","2498.6022075","0.84","0.93","0.0","1.31","0.93","1.2183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","2498.6022075","0.79","0.93","0.0","1.5","0.93","1.395","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","2498.6022075","0.75","0.93","0.0","1.36","0.93","1.2648","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","2498.6022075","0.72","0.92","0.0","1.03","0.92","0.9476","1.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","2498.6022075","0.68","0.92","0.0","1.79","0.92","1.6468","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","2498.6022075","0.64","0.92","0.0","2.52","0.92","2.3184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","2498.6022075","0.61","0.91","0.0","1.68","0.91","1.5288","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","2498.6022075","0.59","0.91","0.0","1.38","0.91","1.2558","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","2498.6022075","0.58","0.91","0.0","1.01","0.91","0.9191","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","2498.6022075","0.56","0.9","0.0","1.16","0.9","1.044","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","2498.6022075","0.55","0.9","0.0","1.11","0.9","0.999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","2498.6022075","0.54","0.9","0.0","1.1","0.9","0.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","2498.6022075","1.18","0.89","0.0","1.0","1.18","1.18","7.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","2498.6022075","1.18","0.89","0.0","0.75","1.18","0.885","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","2498.6022075","1.18","0.89","0.0","1.16","1.18","1.3688","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","2498.6022075","1.18","0.88","0.0","0.89","1.18","1.0502","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","2498.6022075","1.18","0.88","0.0","0.55","1.18","0.649","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","2498.6022075","1.18","0.88","0.0","0.89","1.18","1.0502","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","2498.6022075","1.16","0.87","0.0","1.38","1.16","1.6008","1.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","2498.6022075","1.18","0.87","0.0","1.05","1.18","1.239","3.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","2498.6022075","1.18","0.87","0.0","0.81","1.18","0.9558","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","2498.6022075","1.18","0.86","0.0","1.24","1.18","1.4632","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","2498.6022075","1.16","0.86","0.0","1.52","1.16","1.7632","10.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","2498.6022075","1.15","0.86","0.0","2.04","1.15","2.346","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","2498.6022075","1.16","0.85","0.0","0.85","1.16","0.986","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","2498.6022075","1.17","0.85","0.0","0.95","1.17","1.1115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","2498.6022075","1.1","0.85","0.0","1.15","1.1","1.265","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","2498.6022075","1.19","0.84","0.0","0.67","1.19","0.7973","9.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","2498.6022075","1.2","0.84","0.0","0.55","1.2","0.66","0.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","2498.6022075","1.2","0.84","0.0","0.57","1.2","0.684","5.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","2498.6022075","1.18","0.83","0.0","1.08","1.18","1.2744","4.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","2498.6022075","1.18","0.83","0.0","1.27","1.18","1.4986","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","2498.6022075","1.18","0.83","0.0","1.0","1.18","1.18","0.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","2498.6022075","1.18","0.82","0.0","0.85","1.18","1.003","0.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","2498.6022075","1.17","0.82","0.0","1.56","1.17","1.8252","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","2498.6022075","1.13","0.82","0.0","0.58","1.13","0.6554","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","2498.6022075","1.07","0.81","0.0","0.73","1.07","0.7811","0.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","2498.6022075","1.01","0.81","0.0","0.95","1.01","0.9595","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","2498.6022075","0.96","0.81","0.0","0.77","0.96","0.7392","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","2498.6022075","0.9","0.8","0.0","1.09","0.9","0.981","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","2498.6022075","0.84","0.8","0.0","1.45","0.84","1.218","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","2498.6022075","0.8","0.8","0.0","1.22","0.8","0.976","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","2498.6022075","0.76","0.8","0.0","1.21","0.8","0.968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","2498.6022075","0.74","0.8","0.0","0.86","0.8","0.688","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","2498.6022075","1.19","0.8","0.0","0.85","1.19","1.0115","18.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","2498.6022075","1.19","0.8","0.0","0.81","1.19","0.9639","14.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","2498.6022075","1.2","0.8","0.0","0.59","1.2","0.708","16.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","2498.6022075","1.2","0.8","0.0","0.62","1.2","0.744","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","2498.6022075","1.19","0.8","0.0","0.79","1.19","0.9401","2.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","2498.6022075","1.18","0.8","0.0","0.91","1.18","1.0738","1.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","2498.6022075","1.18","0.8","0.0","0.98","1.18","1.1564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","2498.6022075","1.18","0.8","0.0","0.98","1.18","1.1564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","2498.6022075","1.16","0.8","0.0","1.35","1.16","1.566","5.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","2498.6022075","1.19","0.8","0.0","0.65","1.19","0.7735","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","2498.6022075","1.19","0.8","0.0","0.78","1.19","0.9282","2.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","2498.6022075","1.19","0.8","0.0","0.79","1.19","0.9401","7.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","2498.6022075","1.19","0.8","0.0","0.81","1.19","0.9639","1.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","2498.6022075","1.17","0.8","0.0","1.17","1.17","1.3689","27.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","2498.6022075","1.17","0.8","0.0","1.31","1.17","1.5327","4.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","2498.6022075","1.18","0.8","0.0","1.02","1.18","1.2036","18.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","2498.6022075","1.18","0.8","0.0","1.11","1.18","1.3098","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","2498.6022075","1.17","0.8","0.0","1.15","1.17","1.3455","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","2498.6022075","1.16","0.8","0.0","1.41","1.16","1.6356","10.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","2498.6022075","1.18","0.8","0.0","1.08","1.18","1.2744","1.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","2498.6022075","1.17","0.8","0.0","1.21","1.17","1.4157","0.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","2498.6022075","1.18","0.8","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","2498.6022075","1.17","0.8","0.0","1.39","1.17","1.6263","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","2498.6022075","1.17","0.8","0.0","0.89","1.17","1.0413","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","2498.6022075","1.09","0.8","0.0","1.02","1.09","1.1118","0.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","2498.6022075","1.16","0.8","0.0","1.51","1.16","1.7516","5.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","2498.6022075","1.14","0.8","0.0","2.43","1.14","2.7702","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","2498.6022075","1.09","0.8","0.0","2.58","1.09","2.8122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","2498.6022075","1.02","0.8","0.0","1.06","1.02","1.0812","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","2498.6022075","0.96","0.8","0.0","1.04","0.96","0.9984","0.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","2498.6022075","0.88","0.8","0.0","1.53","0.88","1.3464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","2498.6022075","0.83","0.8","0.0","1.38","0.83","1.1454","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","2498.6022075","0.77","0.8","0.0","1.62","0.8","1.296","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","2498.6022075","0.72","0.8","0.0","1.97","0.8","1.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
