" Daily soil water balance output for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","317.58","0.08","0.88","0.0","3.92","0.88","3.43","0.0","0.0","0.0","0.0","43.97","123.07","492.27","246.14","448.31","369.21","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","317.58","0.08","0.87","0.0","3.0","0.87","2.61","1.57","1.57","0.0","0.0","45.01","123.07","492.27","246.14","447.27","369.21","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","317.58","0.08","0.87","0.0","2.58","0.87","2.23","0.14","0.14","0.0","0.0","47.1","123.07","492.27","246.14","445.17","369.21","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","317.58","0.08","0.86","0.0","2.66","0.86","2.29","0.0","0.0","0.0","0.0","49.39","123.07","492.27","246.14","442.88","369.21","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","317.58","0.08","0.86","0.0","4.49","0.86","3.85","0.0","0.0","0.0","0.0","53.24","123.07","492.27","246.14","439.04","369.21","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","317.58","0.08","0.85","0.0","3.54","0.85","3.02","0.0","0.0","0.0","0.0","56.25","123.07","492.27","246.14","436.02","369.21","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","317.58","0.08","0.85","0.0","3.11","0.85","2.63","0.0","0.0","0.0","0.0","58.89","123.07","492.27","246.14","433.39","369.21","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","317.58","0.08","0.84","0.0","2.63","0.84","2.22","0.0","0.0","0.0","0.0","61.11","123.07","492.27","246.14","431.17","369.21","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","317.58","0.08","0.84","0.0","2.53","0.84","2.12","0.0","0.0","0.0","0.0","63.22","123.07","492.27","246.14","429.05","369.21","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","317.58","0.08","0.83","0.0","3.35","0.83","2.79","0.0","0.0","0.0","0.0","66.02","123.07","492.27","246.14","426.26","369.21","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","317.58","0.08","0.83","0.0","2.51","0.83","2.08","0.0","0.0","0.0","0.0","68.09","123.07","492.27","246.14","424.18","369.21","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","317.58","0.08","0.82","0.0","2.16","0.82","1.78","0.0","0.0","0.0","0.0","69.87","123.07","492.27","246.14","422.4","369.21","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","317.58","0.08","0.82","0.0","2.21","0.82","1.81","0.0","0.0","0.0","0.0","71.68","123.07","492.27","246.14","420.59","369.21","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","317.58","0.08","0.81","0.0","4.42","0.81","3.6","0.0","0.0","0.0","0.0","75.28","123.07","492.27","246.14","416.99","369.21","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","317.58","0.08","0.81","0.0","3.73","0.81","3.02","0.0","0.0","0.0","0.0","78.3","123.07","492.27","246.14","413.97","369.21","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","317.58","0.08","0.8","0.0","3.3","0.8","2.66","0.0","0.0","0.0","0.0","80.96","123.07","492.27","246.14","411.32","369.21","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","317.58","0.08","0.8","0.0","2.01","0.8","1.61","0.22","0.22","0.0","0.0","82.34","123.07","492.27","246.14","409.93","369.21","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","317.58","1.17","0.0","0.0","1.2","1.17","1.41","8.46","8.46","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","317.58","1.13","0.0","0.0","2.15","1.13","2.44","9.09","9.09","0.0","0.0","19.0","25.65","492.27","246.14","473.28","466.62","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","317.58","1.12","0.0","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","22.44","25.65","492.27","246.14","469.83","466.62","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","317.58","1.05","0.0","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","24.23","25.65","492.27","246.14","468.05","466.62","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","317.58","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","25.96","25.65","492.27","246.14","466.31","466.62","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","317.58","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","317.58","0.81","0.0","0.0","1.19","0.81","0.97","0.01","0.01","0.0","0.0","26.61","25.65","492.27","246.14","465.67","466.62","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","317.58","1.18","0.0","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","22.25","25.65","492.27","246.14","470.03","466.62","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","317.58","1.17","0.0","0.0","1.27","1.17","1.48","8.55","8.55","0.0","0.0","15.18","25.65","492.27","246.14","477.09","466.62","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","317.58","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","16.6","25.65","492.27","246.14","475.67","466.62","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","317.58","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","18.21","25.65","492.27","246.14","474.06","466.62","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","317.58","1.17","0.0","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","19.77","25.65","492.27","246.14","472.51","466.62","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","317.58","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","21.24","25.65","492.27","246.14","471.03","466.62","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","317.58","0.97","0.0","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","22.16","25.65","492.27","246.14","470.11","466.62","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","317.58","1.11","0.0","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","21.73","25.65","492.27","246.14","470.54","466.62","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","317.58","1.14","0.0","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","23.37","25.65","492.27","246.14","468.9","466.62","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","317.58","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","24.88","25.65","492.27","246.14","467.4","466.62","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","317.58","1.07","0.0","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","26.3","25.65","492.27","246.14","465.97","466.62","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","317.58","0.97","0.0","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","317.58","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","26.95","25.65","492.27","246.14","465.32","466.62","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","317.58","0.84","0.0","0.0","1.29","0.84","1.08","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","317.58","0.79","0.0","0.0","1.46","0.79","1.15","0.0","0.0","0.0","0.0","26.8","25.65","492.27","246.14","465.47","466.62","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","317.58","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","317.58","1.18","0.0","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","24.8","25.65","492.27","246.14","467.47","466.62","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","317.58","1.17","0.0","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","26.75","25.65","492.27","246.14","465.52","466.62","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","317.58","1.15","0.0","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","317.58","1.08","0.0","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","27.42","25.65","492.27","246.14","464.85","466.62","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","317.58","0.99","0.0","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","317.58","0.93","0.0","0.0","1.01","0.93","0.94","0.0","0.0","0.0","0.0","26.59","25.65","492.27","246.14","465.68","466.62","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","317.58","0.88","0.0","0.0","1.2","0.88","1.05","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","317.58","0.83","0.0","0.0","1.11","0.83","0.92","0.0","0.0","0.0","0.0","26.57","25.65","492.27","246.14","465.7","466.62","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","317.58","0.79","0.0","0.0","1.16","0.79","0.92","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","317.58","1.18","0.0","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","19.11","25.65","492.27","246.14","473.16","466.62","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","317.58","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","20.01","25.65","492.27","246.14","472.26","466.62","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","317.58","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","21.46","25.65","492.27","246.14","470.81","466.62","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","317.58","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","22.55","25.65","492.27","246.14","469.73","466.62","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","317.58","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","23.22","25.65","492.27","246.14","469.05","466.62","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","317.58","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","24.36","25.65","492.27","246.14","467.91","466.62","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","317.58","1.09","0.0","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","24.95","25.65","492.27","246.14","467.32","466.62","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","317.58","1.18","0.0","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","18.98","25.65","492.27","246.14","473.3","466.62","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","317.58","1.18","0.0","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","19.51","25.65","492.27","246.14","472.77","466.62","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","317.58","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","21.02","25.65","492.27","246.14","471.26","466.62","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","317.58","1.16","0.0","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","12.51","25.65","492.27","246.14","479.77","466.62","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","317.58","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","14.75","25.65","492.27","246.14","477.53","466.62","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","317.58","1.16","0.0","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","15.78","25.65","492.27","246.14","476.5","466.62","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","317.58","1.17","0.0","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","16.91","25.65","492.27","246.14","475.36","466.62","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","317.58","1.1","0.0","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","18.19","25.65","492.27","246.14","474.08","466.62","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","317.58","1.19","0.0","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","11.61","25.65","492.27","246.14","480.66","466.62","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","317.58","1.2","0.0","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","11.27","25.65","492.27","246.14","481.01","466.62","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","317.58","1.2","0.0","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","7.51","25.65","492.27","246.14","484.77","466.62","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","317.58","1.17","0.0","0.0","1.15","1.17","1.35","8.62","8.62","0.0","0.0","0.24","25.65","492.27","246.14","492.04","466.62","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","317.58","1.17","0.0","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","1.86","25.65","492.27","246.14","490.41","466.62","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","317.58","1.17","0.0","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","2.86","25.65","492.27","246.14","489.42","466.62","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","317.58","1.19","0.0","0.0","0.87","1.19","1.03","4.18","3.89","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","317.58","1.17","0.0","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","1.76","25.65","492.27","246.14","490.52","466.62","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","317.58","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","2.44","25.65","492.27","246.14","489.83","466.62","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","317.58","1.19","0.0","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","2.28","25.65","492.27","246.14","489.99","466.62","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","317.58","1.19","0.0","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","3.15","25.65","492.27","246.14","489.13","466.62","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","317.58","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","4.07","25.65","492.27","246.14","488.2","466.62","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","317.58","1.19","0.0","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","5.3","25.65","492.27","246.14","486.97","466.62","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","317.58","1.18","0.0","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","6.92","25.65","492.27","246.14","485.35","466.62","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","317.58","1.15","0.0","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","8.27","25.65","492.27","246.14","484.0","466.62","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","317.58","1.05","0.0","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","9.52","25.65","492.27","246.14","482.75","466.62","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","317.58","0.99","0.0","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","9.78","25.65","492.27","246.14","482.49","466.62","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","317.58","1.18","0.0","0.0","0.88","1.18","1.04","15.0","10.83","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","317.58","1.19","0.0","0.0","0.83","1.19","0.99","15.19","0.99","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","317.58","1.2","0.0","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","317.58","1.19","0.0","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","25.65","492.27","246.14","491.49","466.62","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","317.58","1.19","0.0","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","25.65","492.27","246.14","492.09","466.62","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","317.58","1.18","0.0","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","25.65","492.27","246.14","492.25","466.62","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","317.58","1.18","0.0","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","25.65","492.27","246.14","491.11","466.62","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","317.58","1.18","0.0","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","25.65","492.27","246.14","490.15","466.62","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","317.58","1.17","0.0","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","25.65","492.27","246.14","490.59","466.62","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","317.58","1.19","0.0","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","317.58","1.19","0.0","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","317.58","1.19","0.0","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","317.58","1.19","0.0","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","317.58","1.17","0.0","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","317.58","1.17","0.0","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","317.58","1.18","0.0","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","317.58","1.18","0.0","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","25.65","492.27","246.14","491.06","466.62","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","317.58","1.18","0.0","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","25.65","492.27","246.14","490.1","466.62","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","317.58","1.16","0.0","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","317.58","1.17","0.0","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","25.65","492.27","246.14","492.01","466.62","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","317.58","1.17","0.0","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","25.65","492.27","246.14","490.72","466.62","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","317.58","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","25.65","492.27","246.14","489.5","466.62","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","317.58","1.14","0.0","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","25.65","492.27","246.14","487.96","466.62","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","317.58","1.06","0.0","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","25.65","492.27","246.14","486.98","466.62","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","317.58","0.99","0.0","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","25.65","492.27","246.14","486.42","466.62","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","317.58","1.16","0.0","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","25.65","492.27","246.14","491.64","466.62","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","317.58","1.14","0.0","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","25.65","492.27","246.14","489.5","466.62","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","317.58","1.08","0.0","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","25.65","492.27","246.14","486.65","466.62","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","317.58","1.0","0.0","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","25.65","492.27","246.14","485.57","466.62","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","317.58","0.94","0.0","0.0","1.07","0.94","1.01","0.4","0.4","0.0","0.0","7.32","25.65","492.27","246.14","484.96","466.62","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","317.58","0.87","0.0","0.0","1.51","0.87","1.31","0.0","0.0","0.0","0.0","8.63","25.65","492.27","246.14","483.64","466.62","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","317.58","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","9.77","25.65","492.27","246.14","482.51","466.62","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","317.58","0.77","0.0","0.0","1.63","0.77","1.25","0.0","0.0","0.0","0.0","11.02","25.65","492.27","246.14","481.26","466.62","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","317.58","0.72","0.0","0.0","1.9","0.72","1.36","0.0","0.0","0.0","0.0","12.38","25.65","492.27","246.14","479.9","466.62","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","317.58","0.67","0.0","0.0","2.02","0.67","1.36","0.0","0.0","0.0","0.0","13.74","25.65","492.27","246.14","478.54","466.62","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","317.58","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","14.98","25.65","492.27","246.14","477.29","466.62","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","317.58","0.61","0.0","0.0","1.92","0.61","1.17","0.0","0.0","0.0","0.0","16.15","25.65","492.27","246.14","476.12","466.62","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","317.58","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","17.18","25.65","492.27","246.14","475.1","466.62","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","317.58","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","25.65","492.27","246.14","474.06","466.62","0.0","","","","","","",""
