" Daily soil water balance output for Corn in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","41211.48","0.08","0.0","0.0","3.87","0.08","0.31","0.0","0.0","0.0","0.0","32.71","32.4","460.86","230.43","428.14","428.46","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","41211.48","0.08","0.0","0.0","3.07","0.08","0.25","0.46","0.46","0.0","0.0","32.25","32.4","460.86","230.43","428.6","428.46","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","41211.48","0.08","0.0","0.0","2.72","0.08","0.22","0.25","0.25","0.0","0.0","32.22","32.4","460.86","230.43","428.63","428.46","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","41211.48","0.08","0.0","0.0","2.76","0.08","0.22","0.0","0.0","0.0","0.0","32.45","32.4","460.86","230.43","428.41","428.46","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","41211.48","0.08","0.0","0.0","4.23","0.08","0.34","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","41211.48","0.08","0.0","0.0","3.4","0.08","0.27","0.0","0.0","0.0","0.0","32.67","32.4","460.86","230.43","428.18","428.46","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","41211.48","0.08","0.0","0.0","3.1","0.08","0.25","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","41211.48","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","32.62","32.4","460.86","230.43","428.24","428.46","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","41211.48","0.08","0.0","0.0","2.55","0.08","0.21","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","41211.48","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","32.66","32.4","460.86","230.43","428.19","428.46","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","41211.48","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","41211.48","0.08","0.0","0.0","2.18","0.08","0.17","0.0","0.0","0.0","0.0","32.57","32.4","460.86","230.43","428.28","428.46","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","41211.48","0.08","0.0","0.0","2.28","0.08","0.18","0.11","0.11","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","41211.48","0.08","0.0","0.0","4.38","0.08","0.35","0.0","0.0","0.0","0.0","32.75","32.4","460.86","230.43","428.11","428.46","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","41211.48","0.08","0.0","0.0","3.64","0.08","0.29","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","41211.48","0.08","0.0","0.0","3.24","0.08","0.26","0.0","0.0","0.0","0.0","32.66","32.4","460.86","230.43","428.2","428.46","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","41211.48","0.08","0.0","0.0","2.27","0.08","0.18","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","41211.48","1.17","0.0","0.0","1.22","1.17","1.43","13.87","13.87","0.0","0.0","19.96","32.4","460.86","230.43","440.9","428.46","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","41211.48","1.14","0.0","0.0","2.1","1.14","2.39","10.1","10.1","0.0","0.0","12.24","32.4","460.86","230.43","448.61","428.46","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","41211.48","1.12","0.0","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","15.66","32.4","460.86","230.43","445.2","428.46","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","41211.48","1.05","0.0","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","17.48","32.4","460.86","230.43","443.38","428.46","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","41211.48","0.93","0.0","0.0","1.87","0.93","1.75","0.0","0.0","0.0","0.0","19.23","32.4","460.86","230.43","441.63","428.46","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","41211.48","0.86","0.0","0.0","1.66","0.86","1.43","0.0","0.0","0.0","0.0","20.66","32.4","460.86","230.43","440.2","428.46","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","41211.48","0.81","0.0","0.0","1.24","0.81","1.01","0.0","0.0","0.0","0.0","21.66","32.4","460.86","230.43","439.19","428.46","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","41211.48","1.18","0.0","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","18.72","32.4","460.86","230.43","442.14","428.46","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","41211.48","1.17","0.0","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","12.37","32.4","460.86","230.43","448.49","428.46","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","41211.48","1.17","0.0","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","13.81","32.4","460.86","230.43","447.05","428.46","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","41211.48","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","15.45","32.4","460.86","230.43","445.41","428.46","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","41211.48","1.17","0.0","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","16.98","32.4","460.86","230.43","443.88","428.46","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","41211.48","1.09","0.0","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","18.49","32.4","460.86","230.43","442.37","428.46","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","41211.48","1.15","0.0","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","18.54","32.4","460.86","230.43","442.31","428.46","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","41211.48","1.13","0.0","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","19.55","32.4","460.86","230.43","441.31","428.46","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","41211.48","1.13","0.0","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","21.18","32.4","460.86","230.43","439.68","428.46","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","41211.48","1.03","0.0","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","22.52","32.4","460.86","230.43","438.33","428.46","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","41211.48","0.95","0.0","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","23.79","32.4","460.86","230.43","437.07","428.46","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","41211.48","0.87","0.0","0.0","1.57","0.87","1.37","0.0","0.0","0.0","0.0","25.16","32.4","460.86","230.43","435.7","428.46","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","41211.48","0.82","0.0","0.0","1.46","0.82","1.19","0.0","0.0","0.0","0.0","26.35","32.4","460.86","230.43","434.5","428.46","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","41211.48","0.77","0.0","0.0","1.31","0.77","1.01","0.0","0.0","0.0","0.0","27.37","32.4","460.86","230.43","433.49","428.46","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","41211.48","0.74","0.0","0.0","1.44","0.74","1.06","0.0","0.0","0.0","0.0","28.43","32.4","460.86","230.43","432.43","428.46","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","41211.48","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","29.4","32.4","460.86","230.43","431.46","428.46","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","41211.48","1.18","0.0","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","27.19","32.4","460.86","230.43","433.67","428.46","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","41211.48","1.17","0.0","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","28.97","32.4","460.86","230.43","431.89","428.46","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","41211.48","1.16","0.0","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","31.4","32.4","460.86","230.43","429.46","428.46","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","41211.48","1.12","0.0","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","33.16","32.4","460.86","230.43","427.7","428.46","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","41211.48","1.02","0.0","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","41211.48","0.96","0.0","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","33.39","32.4","460.86","230.43","427.47","428.46","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","41211.48","0.89","0.0","0.0","1.25","0.89","1.12","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","41211.48","0.85","0.0","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","33.35","32.4","460.86","230.43","427.51","428.46","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","41211.48","0.8","0.0","0.0","1.3","0.8","1.04","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","41211.48","1.18","0.0","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","28.8","32.4","460.86","230.43","432.06","428.46","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","41211.48","1.18","0.0","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","29.72","32.4","460.86","230.43","431.14","428.46","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","41211.48","1.18","0.0","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","31.31","32.4","460.86","230.43","429.55","428.46","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","41211.48","1.18","0.0","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","32.44","32.4","460.86","230.43","428.42","428.46","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","41211.48","1.18","0.0","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","41211.48","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","33.62","32.4","460.86","230.43","427.24","428.46","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","41211.48","1.17","0.0","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","32.28","32.4","460.86","230.43","428.58","428.46","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","41211.48","1.18","0.0","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","26.43","32.4","460.86","230.43","434.42","428.46","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","41211.48","1.18","0.0","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","27.09","32.4","460.86","230.43","433.77","428.46","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","41211.48","1.18","0.0","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","28.62","32.4","460.86","230.43","432.24","428.46","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","41211.48","1.15","0.0","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","20.75","32.4","460.86","230.43","440.11","428.46","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","41211.48","1.15","0.0","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","22.8","32.4","460.86","230.43","438.06","428.46","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","41211.48","1.16","0.0","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","23.9","32.4","460.86","230.43","436.95","428.46","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","41211.48","1.17","0.0","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","25.09","32.4","460.86","230.43","435.77","428.46","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","41211.48","1.09","0.0","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","26.43","32.4","460.86","230.43","434.43","428.46","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","41211.48","1.19","0.0","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","21.47","32.4","460.86","230.43","439.39","428.46","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","41211.48","1.19","0.0","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","20.22","32.4","460.86","230.43","440.63","428.46","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","41211.48","1.19","0.0","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","18.56","32.4","460.86","230.43","442.3","428.46","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","41211.48","1.17","0.0","0.0","1.22","1.17","1.43","12.24","12.24","0.0","0.0","7.74","32.4","460.86","230.43","453.11","428.46","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","41211.48","1.17","0.0","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","8.96","32.4","460.86","230.43","451.9","428.46","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","41211.48","1.17","0.0","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","9.5","32.4","460.86","230.43","451.36","428.46","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","41211.48","1.18","0.0","0.0","0.91","1.18","1.08","4.96","4.96","0.0","0.0","5.62","32.4","460.86","230.43","455.24","428.46","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","41211.48","1.17","0.0","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","7.28","32.4","460.86","230.43","453.57","428.46","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","41211.48","1.18","0.0","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","7.97","32.4","460.86","230.43","452.89","428.46","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","41211.48","1.19","0.0","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","7.31","32.4","460.86","230.43","453.55","428.46","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","41211.48","1.19","0.0","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","8.23","32.4","460.86","230.43","452.63","428.46","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","41211.48","1.19","0.0","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","9.2","32.4","460.86","230.43","451.66","428.46","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","41211.48","1.19","0.0","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","10.37","32.4","460.86","230.43","450.48","428.46","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","41211.48","1.18","0.0","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","11.86","32.4","460.86","230.43","448.99","428.46","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","41211.48","1.18","0.0","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","13.13","32.4","460.86","230.43","447.72","428.46","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","41211.48","1.07","0.0","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","14.38","32.4","460.86","230.43","446.48","428.46","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","41211.48","1.0","0.0","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","14.87","32.4","460.86","230.43","445.98","428.46","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","41211.48","1.18","0.0","0.0","0.92","1.18","1.09","16.91","15.96","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","41211.48","1.19","0.0","0.0","0.84","1.19","1.0","13.14","1.0","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","41211.48","1.2","0.0","0.0","0.62","1.2","0.74","4.52","0.74","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","41211.48","1.19","0.0","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","0.81","32.4","460.86","230.43","460.05","428.46","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","41211.48","1.18","0.0","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","1.08","32.4","460.86","230.43","459.78","428.46","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","41211.48","1.18","0.0","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","1.76","32.4","460.86","230.43","459.1","428.46","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","41211.48","1.18","0.0","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","2.87","32.4","460.86","230.43","457.99","428.46","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","41211.48","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","4.03","32.4","460.86","230.43","456.83","428.46","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","41211.48","1.16","0.0","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","4.43","32.4","460.86","230.43","456.43","428.46","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","41211.48","1.19","0.0","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","3.65","32.4","460.86","230.43","457.2","428.46","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","41211.48","1.18","0.0","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","2.27","32.4","460.86","230.43","458.59","428.46","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","41211.48","1.18","0.0","0.0","0.93","1.18","1.1","5.84","3.37","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","41211.48","1.19","0.0","0.0","0.83","1.19","0.99","1.4","0.99","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","41211.48","1.17","0.0","0.0","1.26","1.17","1.47","34.61","1.47","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","41211.48","1.17","0.0","0.0","1.26","1.17","1.47","6.57","1.47","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","41211.48","1.18","0.0","0.0","1.1","1.18","1.29","15.1","1.29","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","41211.48","1.17","0.0","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","32.4","460.86","230.43","459.58","428.46","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","41211.48","1.17","0.0","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","32.4","460.86","230.43","458.36","428.46","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","41211.48","1.16","0.0","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","41211.48","1.17","0.0","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","32.4","460.86","230.43","460.26","428.46","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","41211.48","1.17","0.0","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","32.4","460.86","230.43","459.06","428.46","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","41211.48","1.17","0.0","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","32.4","460.86","230.43","457.75","428.46","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","41211.48","1.14","0.0","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","32.4","460.86","230.43","456.27","428.46","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","41211.48","1.06","0.0","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","32.4","460.86","230.43","455.28","428.46","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","41211.48","0.99","0.0","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","32.4","460.86","230.43","454.23","428.46","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","41211.48","1.16","0.0","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","32.4","460.86","230.43","457.96","428.46","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","41211.48","1.14","0.0","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","32.4","460.86","230.43","456.03","428.46","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","41211.48","1.08","0.0","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","32.4","460.86","230.43","454.2","428.46","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","41211.48","1.0","0.0","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","32.4","460.86","230.43","453.05","428.46","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","41211.48","0.93","0.0","0.0","1.14","0.93","1.06","0.1","0.1","0.0","0.0","8.77","32.4","460.86","230.43","452.09","428.46","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","41211.48","0.86","0.0","0.0","1.5","0.86","1.3","0.0","0.0","0.0","0.0","10.06","32.4","460.86","230.43","450.79","428.46","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","41211.48","0.81","0.0","0.0","1.43","0.81","1.16","0.0","0.0","0.0","0.0","11.22","32.4","460.86","230.43","449.63","428.46","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","41211.48","0.76","0.0","0.0","1.64","0.76","1.25","0.0","0.0","0.0","0.0","12.47","32.4","460.86","230.43","448.39","428.46","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","41211.48","0.71","0.0","0.0","1.87","0.71","1.33","0.0","0.0","0.0","0.0","13.8","32.4","460.86","230.43","447.06","428.46","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","41211.48","0.67","0.0","0.0","1.98","0.67","1.33","0.0","0.0","0.0","0.0","15.13","32.4","460.86","230.43","445.73","428.46","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","41211.48","0.63","0.0","0.0","1.99","0.63","1.26","0.0","0.0","0.0","0.0","16.39","32.4","460.86","230.43","444.47","428.46","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","41211.48","0.6","0.0","0.0","1.96","0.6","1.18","0.0","0.0","0.0","0.0","17.57","32.4","460.86","230.43","443.28","428.46","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","41211.48","0.58","0.0","0.0","1.8","0.58","1.04","0.0","0.0","0.0","0.0","18.62","32.4","460.86","230.43","442.24","428.46","0.0","","","","","","",""
