" Daily soil water balance output for Water Surface in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Water Surface in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","15.0","288.0","18128.710062","0.08","1.1","0.0","3.79","1.1","4.169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","16.0","289.0","18128.710062","0.08","1.1","0.0","3.88","1.1","4.268","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","18128.710062","0.08","1.1","0.0","3.05","1.1","3.355","0.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","18128.710062","0.08","1.1","0.0","2.68","1.1","2.948","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","18128.710062","0.08","1.1","0.0","2.75","1.1","3.025","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","18128.710062","0.08","1.1","0.0","4.28","1.1","4.708","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","18128.710062","0.08","1.1","0.0","3.42","1.1","3.762","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","18128.710062","0.08","1.1","0.0","3.1","1.1","3.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","18128.710062","0.08","1.1","0.0","2.68","1.1","2.948","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","18128.710062","0.08","1.1","0.0","2.53","1.1","2.783","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","18128.710062","0.08","1.1","0.0","3.28","1.1","3.608","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","18128.710062","0.08","1.1","0.0","2.54","1.1","2.794","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","18128.710062","0.08","1.1","0.0","2.17","1.1","2.387","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","18128.710062","0.08","1.1","0.0","2.26","1.1","2.486","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","18128.710062","0.08","1.1","0.0","4.4","1.1","4.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","18128.710062","0.08","1.1","0.0","3.66","1.1","4.026","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","18128.710062","0.08","1.1","0.0","3.24","1.1","3.564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","18128.710062","0.08","1.1","0.0","2.22","1.1","2.442","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","18128.710062","1.17","1.1","0.0","1.21","1.1","1.331","13.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","18128.710062","1.14","1.1","0.0","2.12","1.1","2.332","9.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","18128.710062","1.12","1.1","0.0","3.07","1.1","3.377","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","18128.710062","1.06","1.1","0.0","1.72","1.1","1.892","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","18128.710062","0.94","1.1","0.0","1.87","1.1","2.057","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","18128.710062","0.86","1.1","0.0","1.65","1.1","1.815","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","18128.710062","0.81","1.1","0.0","1.23","1.1","1.353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","18128.710062","1.18","1.1","0.0","1.04","1.1","1.144","4.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","18128.710062","1.17","1.1","0.0","1.24","1.1","1.364","7.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","18128.710062","1.17","1.1","0.0","1.22","1.1","1.342","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","18128.710062","1.17","1.1","0.0","1.4","1.1","1.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","18128.710062","1.17","1.1","0.0","1.35","1.1","1.485","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","18128.710062","1.09","1.1","0.0","1.37","1.1","1.507","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","18128.710062","1.15","1.1","0.0","1.83","1.1","2.013","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","18128.710062","1.13","1.1","0.0","2.74","1.1","3.014","2.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","18128.710062","1.13","1.1","0.0","1.44","1.1","1.584","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","18128.710062","1.03","1.1","0.0","1.31","1.1","1.441","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","18128.710062","0.95","1.1","0.0","1.34","1.1","1.474","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","18128.710062","0.87","1.1","0.0","1.58","1.1","1.738","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","18128.710062","0.82","1.1","0.0","1.46","1.1","1.606","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","18128.710062","0.77","1.1","0.0","1.3","1.1","1.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","18128.710062","0.73","1.1","0.0","1.44","1.1","1.584","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","18128.710062","0.7","1.1","0.0","1.38","1.1","1.518","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","18128.710062","1.18","1.1","0.0","1.03","1.1","1.133","3.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","18128.710062","1.17","1.1","0.0","1.55","1.1","1.705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","18128.710062","1.16","1.1","0.0","2.15","1.1","2.365","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","18128.710062","1.14","1.1","0.0","1.59","1.1","1.749","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","18128.710062","1.03","1.1","0.0","1.34","1.1","1.474","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","18128.710062","0.97","1.1","0.0","1.02","1.1","1.122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","18128.710062","0.9","1.1","0.0","1.24","1.1","1.364","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","18128.710062","0.85","1.1","0.0","1.12","1.1","1.232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","18128.710062","0.8","1.1","0.0","1.26","1.1","1.386","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","18128.710062","1.18","1.1","0.0","1.04","1.1","1.144","5.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","18128.710062","1.18","1.1","0.0","0.77","1.1","0.847","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","18128.710062","1.18","1.1","0.0","1.32","1.1","1.452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","18128.710062","1.18","1.1","0.0","0.95","1.1","1.045","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","18128.710062","1.18","1.1","0.0","0.61","1.1","0.671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","18128.710062","1.16","1.1","0.0","1.02","1.1","1.122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","18128.710062","1.17","1.1","0.0","1.23","1.1","1.353","1.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","18128.710062","1.18","1.1","0.0","1.1","1.1","1.21","7.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","18128.710062","1.18","1.1","0.0","0.9","1.1","0.99","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","18128.710062","1.18","1.1","0.0","1.31","1.1","1.441","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","18128.710062","1.15","1.1","0.0","1.66","1.1","1.826","10.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","18128.710062","1.15","1.1","0.0","1.82","1.1","2.002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","18128.710062","1.16","1.1","0.0","0.93","1.1","1.023","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","18128.710062","1.17","1.1","0.0","1.01","1.1","1.111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","18128.710062","1.09","1.1","0.0","1.21","1.1","1.331","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","18128.710062","1.19","1.1","0.0","0.78","1.1","0.858","5.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","18128.710062","1.19","1.1","0.0","0.63","1.1","0.693","1.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","18128.710062","1.19","1.1","0.0","0.67","1.1","0.737","2.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","18128.710062","1.17","1.1","0.0","1.21","1.1","1.331","11.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","18128.710062","1.16","1.1","0.0","1.5","1.1","1.65","0.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","18128.710062","1.17","1.1","0.0","0.98","1.1","1.078","0.68","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","18128.710062","1.18","1.1","0.0","0.9","1.1","0.99","5.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","18128.710062","1.17","1.1","0.0","1.44","1.1","1.584","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","18128.710062","1.18","1.1","0.0","0.58","1.1","0.638","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","18128.710062","1.19","1.1","0.0","0.71","1.1","0.781","1.66","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","18128.710062","1.19","1.1","0.0","0.92","1.1","1.012","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","18128.710062","1.19","1.1","0.0","0.8","1.1","0.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","18128.710062","1.19","1.1","0.0","1.0","1.1","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","18128.710062","1.18","1.1","0.0","1.29","1.1","1.419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","18128.710062","1.18","1.1","0.0","1.1","1.1","1.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","18128.710062","1.08","1.1","0.0","1.16","1.1","1.276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","18128.710062","1.01","1.1","0.0","0.97","1.1","1.067","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","18128.710062","1.18","1.1","0.0","0.91","1.1","1.001","18.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","18128.710062","1.19","1.1","0.0","0.84","1.1","0.924","13.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","18128.710062","1.19","1.1","0.0","0.61","1.1","0.671","5.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","18128.710062","1.19","1.1","0.0","0.7","1.1","0.77","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","18128.710062","1.19","1.1","0.0","0.94","1.1","1.034","0.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","18128.710062","1.19","1.1","0.0","0.9","1.1","0.99","0.52","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","18128.710062","1.19","1.1","0.0","0.99","1.1","1.089","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","18128.710062","1.19","1.1","0.0","0.97","1.1","1.067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","18128.710062","1.16","1.1","0.0","1.43","1.1","1.573","1.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","18128.710062","1.18","1.1","0.0","0.73","1.1","0.803","1.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","18128.710062","1.18","1.1","0.0","0.96","1.1","1.056","2.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","18128.710062","1.18","1.1","0.0","0.91","1.1","1.001","6.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","18128.710062","1.18","1.1","0.0","0.82","1.1","0.902","2.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","18128.710062","1.17","1.1","0.0","1.24","1.1","1.364","35.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","18128.710062","1.17","1.1","0.0","1.26","1.1","1.386","6.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","18128.710062","1.18","1.1","0.0","1.09","1.1","1.199","16.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","18128.710062","1.17","1.1","0.0","1.16","1.1","1.276","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","18128.710062","1.17","1.1","0.0","1.15","1.1","1.265","0.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","18128.710062","1.16","1.1","0.0","1.4","1.1","1.54","11.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","18128.710062","1.17","1.1","0.0","1.16","1.1","1.276","0.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","18128.710062","1.17","1.1","0.0","1.12","1.1","1.232","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","18128.710062","1.17","1.1","0.0","1.11","1.1","1.221","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","18128.710062","1.14","1.1","0.0","1.31","1.1","1.441","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","18128.710062","1.06","1.1","0.0","0.93","1.1","1.023","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","18128.710062","0.98","1.1","0.0","1.1","1.1","1.21","0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","18128.710062","1.16","1.1","0.0","1.58","1.1","1.738","6.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","18128.710062","1.14","1.1","0.0","2.32","1.1","2.552","0.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","18128.710062","1.08","1.1","0.0","2.72","1.1","2.992","0.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","18128.710062","1.0","1.1","0.0","1.16","1.1","1.276","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","18128.710062","0.93","1.1","0.0","1.13","1.1","1.243","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","18128.710062","0.86","1.1","0.0","1.5","1.1","1.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","18128.710062","0.81","1.1","0.0","1.42","1.1","1.562","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","18128.710062","0.76","1.1","0.0","1.63","1.1","1.793","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","18128.710062","0.71","1.1","0.0","1.87","1.1","2.057","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","18128.710062","0.67","1.1","0.0","1.99","1.1","2.189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","18128.710062","0.63","1.1","0.0","1.97","1.1","2.167","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
