" Daily soil water balance output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","5695.75","0.08","0.95","0.0","3.87","0.95","3.68","0.0","0.0","0.0","0.0","26.51","57.61","241.4","120.7","214.89","183.79","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","5695.75","0.08","0.95","0.0","3.07","0.95","2.92","0.46","0.46","0.0","0.0","28.97","57.61","241.4","120.7","212.43","183.79","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","5695.75","0.08","0.95","0.0","2.72","0.95","2.58","0.25","0.25","0.0","0.0","31.31","57.61","241.4","120.7","210.1","183.79","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","5695.75","0.08","0.95","0.0","2.76","0.95","2.62","0.0","0.0","0.0","0.0","33.93","57.61","241.4","120.7","207.47","183.79","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","5695.75","0.08","0.95","0.0","4.23","0.95","4.02","0.0","0.0","0.0","0.0","37.95","57.61","241.4","120.7","203.46","183.79","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","5695.75","0.08","0.95","0.0","3.4","0.95","3.23","0.0","0.0","0.0","0.0","41.18","57.61","241.4","120.7","200.23","183.79","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","5695.75","0.08","0.95","0.0","3.1","0.95","2.95","0.0","0.0","0.0","0.0","44.12","57.61","241.4","120.7","197.28","183.79","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","5695.75","0.08","0.95","0.0","2.7","0.95","2.57","0.0","0.0","0.0","0.0","46.69","57.61","241.4","120.7","194.72","183.79","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","5695.75","0.08","0.95","0.0","2.55","0.95","2.42","0.0","0.0","0.0","0.0","49.11","57.61","241.4","120.7","192.29","183.79","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","5695.75","0.08","0.95","0.0","3.28","0.95","3.12","0.0","0.0","0.0","0.0","52.22","57.61","241.4","120.7","189.18","183.79","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","5695.75","0.08","0.95","0.0","2.56","0.95","2.43","0.0","0.0","0.0","0.0","54.66","57.61","241.4","120.7","186.75","183.79","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","5695.75","0.08","0.95","0.0","2.18","0.95","2.07","0.0","0.0","0.0","0.0","56.73","57.61","241.4","120.7","184.67","183.79","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","5695.75","0.08","0.95","0.0","2.28","0.95","2.17","0.11","0.11","0.0","0.0","0.0","57.61","241.4","120.7","241.4","183.79","58.78","","","","","","",""
"2015.0","10.0","29.0","302.0","5695.75","0.08","0.95","0.0","4.38","0.95","4.16","0.0","0.0","0.0","0.0","4.16","57.61","241.4","120.7","237.24","183.79","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","5695.75","0.08","0.95","0.0","3.64","0.95","3.46","0.0","0.0","0.0","0.0","7.62","57.61","241.4","120.7","233.78","183.79","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","5695.75","0.08","0.95","0.0","3.24","0.95","3.08","0.0","0.0","0.0","0.0","10.7","57.61","241.4","120.7","230.7","183.79","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","5695.75","0.08","0.95","0.0","2.27","0.95","2.16","0.0","0.0","0.0","0.0","12.85","57.61","241.4","120.7","228.55","183.79","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","5695.75","1.17","0.95","0.0","1.22","1.17","1.43","13.87","13.87","0.0","0.0","0.41","57.61","241.4","120.7","240.99","183.79","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","5695.75","1.14","0.95","0.0","2.1","1.14","2.39","10.1","2.8","0.0","0.0","0.0","57.61","241.4","120.7","241.4","183.79","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","5695.75","1.12","0.95","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","3.42","57.61","241.4","120.7","237.98","183.79","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","5695.75","1.05","0.95","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","5.24","57.61","241.4","120.7","236.16","183.79","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","5695.75","0.93","0.95","0.0","1.87","0.95","1.78","0.0","0.0","0.0","0.0","7.01","57.61","241.4","120.7","234.39","183.79","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","5695.75","0.86","0.95","0.0","1.66","0.95","1.58","0.0","0.0","0.0","0.0","8.59","57.61","241.4","120.7","232.81","183.79","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","5695.75","0.81","0.95","0.0","1.24","0.95","1.18","0.0","0.0","0.0","0.0","9.77","57.61","241.4","120.7","231.63","183.79","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","5695.75","1.18","0.95","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","6.83","57.61","241.4","120.7","234.58","183.79","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","5695.75","1.17","0.95","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","0.47","57.61","241.4","120.7","240.93","183.79","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","5695.75","1.17","0.95","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","1.92","57.61","241.4","120.7","239.49","183.79","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","5695.75","1.17","0.95","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.55","57.61","241.4","120.7","237.85","183.79","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","5695.75","1.17","0.95","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","5.08","57.61","241.4","120.7","236.32","183.79","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","5695.75","1.09","0.95","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","6.59","57.61","241.4","120.7","234.81","183.79","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","5695.75","1.15","0.95","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","6.65","57.61","241.4","120.7","234.75","183.79","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","5695.75","1.13","0.95","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","7.65","57.61","241.4","120.7","233.75","183.79","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","5695.75","1.13","0.95","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","9.28","57.61","241.4","120.7","232.12","183.79","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","5695.75","1.03","0.95","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","10.63","57.61","241.4","120.7","230.77","183.79","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","5695.75","0.95","0.95","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","11.9","57.61","241.4","120.7","229.5","183.79","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","5695.75","0.87","0.95","0.0","1.57","0.95","1.49","0.0","0.0","0.0","0.0","13.39","57.61","241.4","120.7","228.01","183.79","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","5695.75","0.82","0.95","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","14.78","57.61","241.4","120.7","226.62","183.79","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","5695.75","0.77","0.95","0.0","1.31","0.95","1.24","0.0","0.0","0.0","0.0","16.02","57.61","241.4","120.7","225.38","183.79","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","5695.75","0.74","0.95","0.0","1.44","0.95","1.37","0.0","0.0","0.0","0.0","17.39","57.61","241.4","120.7","224.01","183.79","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","5695.75","0.7","0.95","0.0","1.38","0.95","1.31","0.0","0.0","0.0","0.0","18.7","57.61","241.4","120.7","222.7","183.79","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","5695.75","1.18","0.95","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","16.5","57.61","241.4","120.7","224.91","183.79","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","5695.75","1.17","0.95","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","18.27","57.61","241.4","120.7","223.13","183.79","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","5695.75","1.16","0.95","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","20.7","57.61","241.4","120.7","220.7","183.79","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","5695.75","1.12","0.95","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","22.47","57.61","241.4","120.7","218.93","183.79","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","5695.75","1.02","0.95","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","23.83","57.61","241.4","120.7","217.57","183.79","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","5695.75","0.96","0.95","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","24.82","57.61","241.4","120.7","216.58","183.79","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","5695.75","0.89","0.95","0.0","1.25","0.95","1.19","0.0","0.0","0.0","0.0","26.01","57.61","241.4","120.7","215.4","183.79","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","5695.75","0.85","0.95","0.0","1.12","0.95","1.06","0.0","0.0","0.0","0.0","27.07","57.61","241.4","120.7","214.33","183.79","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","5695.75","0.8","0.95","0.0","1.3","0.95","1.24","0.0","0.0","0.0","0.0","28.31","57.61","241.4","120.7","213.1","183.79","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","5695.75","1.18","0.95","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","24.7","57.61","241.4","120.7","216.7","183.79","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","5695.75","1.18","0.95","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","25.62","57.61","241.4","120.7","215.78","183.79","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","5695.75","1.18","0.95","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","27.21","57.61","241.4","120.7","214.19","183.79","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","5695.75","1.18","0.95","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","28.35","57.61","241.4","120.7","213.06","183.79","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","5695.75","1.18","0.95","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","29.09","57.61","241.4","120.7","212.31","183.79","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","5695.75","1.17","0.95","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","30.31","57.61","241.4","120.7","211.09","183.79","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","5695.75","1.17","0.95","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","30.38","57.61","241.4","120.7","211.03","183.79","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","5695.75","1.18","0.95","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","24.53","57.61","241.4","120.7","216.87","183.79","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","5695.75","1.18","0.95","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","25.18","57.61","241.4","120.7","216.22","183.79","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","5695.75","1.18","0.95","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","26.71","57.61","241.4","120.7","214.69","183.79","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","5695.75","1.15","0.95","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","18.85","57.61","241.4","120.7","222.55","183.79","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","5695.75","1.15","0.95","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","20.9","57.61","241.4","120.7","220.5","183.79","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","5695.75","1.16","0.95","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","22.0","57.61","241.4","120.7","219.4","183.79","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","5695.75","1.17","0.95","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","23.19","57.61","241.4","120.7","218.21","183.79","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","5695.75","1.09","0.95","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","24.53","57.61","241.4","120.7","216.87","183.79","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","5695.75","1.19","0.95","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","19.57","57.61","241.4","120.7","221.84","183.79","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","5695.75","1.19","0.95","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","18.32","57.61","241.4","120.7","223.08","183.79","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","5695.75","1.19","0.95","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","16.65","57.61","241.4","120.7","224.75","183.79","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","5695.75","1.17","0.95","0.0","1.22","1.17","1.43","12.24","12.24","0.0","0.0","5.84","57.61","241.4","120.7","235.56","183.79","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","5695.75","1.17","0.95","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","7.05","57.61","241.4","120.7","234.35","183.79","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","5695.75","1.17","0.95","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","7.6","57.61","241.4","120.7","233.8","183.79","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","5695.75","1.18","0.95","0.0","0.91","1.18","1.08","4.96","4.96","0.0","0.0","3.72","57.61","241.4","120.7","237.69","183.79","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","5695.75","1.17","0.95","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","5.38","57.61","241.4","120.7","236.02","183.79","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","5695.75","1.18","0.95","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","6.07","57.61","241.4","120.7","235.33","183.79","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","5695.75","1.19","0.95","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","5.4","57.61","241.4","120.7","236.0","183.79","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","5695.75","1.19","0.95","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","6.32","57.61","241.4","120.7","235.08","183.79","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","5695.75","1.19","0.95","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","7.3","57.61","241.4","120.7","234.1","183.79","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","5695.75","1.19","0.95","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","8.47","57.61","241.4","120.7","232.93","183.79","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","5695.75","1.18","0.95","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","9.96","57.09","241.4","120.7","231.44","184.31","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","5695.75","1.18","0.95","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","11.23","57.09","241.4","120.7","230.17","184.31","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","5695.75","1.07","0.95","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","12.48","57.09","241.4","120.7","228.92","184.31","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","5695.75","1.0","0.95","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","12.97","57.09","241.4","120.7","228.43","184.31","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","5695.75","1.18","0.95","0.0","0.92","1.18","1.09","16.91","14.06","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","5695.75","1.19","0.95","0.0","0.84","1.19","1.0","13.14","1.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","5695.75","1.2","0.95","0.0","0.62","1.2","0.74","4.52","0.74","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","5695.75","1.19","0.95","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","0.81","57.09","241.4","120.7","240.59","184.31","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","5695.75","1.18","0.95","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","1.08","57.09","241.4","120.7","240.32","184.31","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","5695.75","1.18","0.95","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","1.76","57.09","241.4","120.7","239.65","184.31","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","5695.75","1.18","0.95","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","2.87","57.09","241.4","120.7","238.53","184.31","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","5695.75","1.18","0.95","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","4.03","57.09","241.4","120.7","237.38","184.31","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","5695.75","1.16","0.95","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","4.43","57.09","241.4","120.7","236.97","184.31","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","5695.75","1.19","0.95","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","3.65","57.09","241.4","120.7","237.75","184.31","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","5695.75","1.18","0.95","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","2.27","57.09","241.4","120.7","239.13","184.31","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","5695.75","1.18","0.95","0.0","0.93","1.18","1.1","5.84","3.37","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","5695.75","1.19","0.95","0.0","0.83","1.19","0.99","1.4","0.99","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","5695.75","1.17","0.95","0.0","1.26","1.17","1.47","34.61","1.47","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","5695.75","1.17","0.95","0.0","1.26","1.17","1.47","6.57","1.47","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","5695.75","1.18","0.95","0.0","1.1","1.18","1.29","15.1","1.29","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","5695.75","1.17","0.95","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","57.09","241.4","120.7","240.13","184.31","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","5695.75","1.17","0.95","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","57.09","241.4","120.7","238.91","184.31","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","5695.75","1.16","0.95","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","5695.75","1.17","0.95","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","57.09","241.4","120.7","240.81","184.31","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","5695.75","1.17","0.95","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","57.09","241.4","120.7","239.61","184.31","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","5695.75","1.17","0.95","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","57.09","241.4","120.7","238.29","184.31","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","5695.75","1.14","0.95","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","57.09","241.4","120.7","236.81","184.31","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","5695.75","1.06","0.95","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","57.09","241.4","120.7","235.82","184.31","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","5695.75","0.99","0.95","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","57.09","241.4","120.7","234.78","184.31","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","5695.75","1.16","0.95","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","57.09","241.4","120.7","238.51","184.31","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","5695.75","1.14","0.95","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","57.09","241.4","120.7","236.57","184.31","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","5695.75","1.08","0.95","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","57.09","241.4","120.7","234.74","184.31","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","5695.75","1.0","0.95","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","57.09","241.4","120.7","233.6","184.31","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","5695.75","0.93","0.95","0.0","1.14","0.95","1.08","0.1","0.1","0.0","0.0","8.79","57.09","241.4","120.7","232.61","184.31","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","5695.75","0.86","0.95","0.0","1.5","0.95","1.43","0.0","0.0","0.0","0.0","10.21","57.09","241.4","120.7","231.19","184.31","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","5695.75","0.81","0.95","0.0","1.43","0.95","1.36","0.0","0.0","0.0","0.0","11.57","57.09","241.4","120.7","229.83","184.31","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","5695.75","0.76","0.95","0.0","1.64","0.95","1.56","0.0","0.0","0.0","0.0","13.13","57.09","241.4","120.7","228.27","184.31","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","5695.75","0.71","0.95","0.0","1.87","0.95","1.78","0.0","0.0","0.0","0.0","14.91","57.09","241.4","120.7","226.5","184.31","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","5695.75","0.67","0.95","0.0","1.98","0.95","1.88","0.0","0.0","0.0","0.0","16.79","57.09","241.4","120.7","224.61","184.31","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","5695.75","0.63","0.95","0.0","1.99","0.95","1.89","0.0","0.0","0.0","0.0","18.68","57.09","241.4","120.7","222.72","184.31","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","5695.75","0.6","0.95","0.0","1.96","0.95","1.86","0.0","0.0","0.0","0.0","20.54","57.09","241.4","120.7","220.86","184.31","0.0","","","","","","",""
