" Daily soil water balance output for Native Vegetation in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Native Vegetation at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","",""
"2015.0","11.0","5.0","309.0","1510.503444","1.06","0.56","0.0","1.73","1.06","1.8338","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","6.0","310.0","1510.503444","0.93","0.57","0.0","1.92","0.93","1.7856","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","7.0","311.0","1510.503444","0.86","0.58","0.0","1.67","0.86","1.4362","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","8.0","312.0","1510.503444","0.81","0.58","0.0","1.25","0.81","1.0125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","9.0","313.0","1510.503444","1.18","0.59","0.0","1.1","1.18","1.298","2.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","10.0","314.0","1510.503444","1.17","0.6","0.0","1.23","1.17","1.4391","7.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","11.0","315.0","1510.503444","1.17","0.61","0.0","1.24","1.17","1.4508","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","12.0","316.0","1510.503444","1.17","0.62","0.0","1.43","1.17","1.6731","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","13.0","317.0","1510.503444","1.17","0.62","0.0","1.4","1.17","1.638","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","14.0","318.0","1510.503444","1.09","0.63","0.0","1.39","1.09","1.5151","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","15.0","319.0","1510.503444","1.14","0.64","0.0","1.93","1.14","2.2002","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","16.0","320.0","1510.503444","1.13","0.65","0.0","2.71","1.13","3.0623","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","17.0","321.0","1510.503444","1.12","0.65","0.0","1.46","1.12","1.6352","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","18.0","322.0","1510.503444","1.02","0.66","0.0","1.32","1.02","1.3464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","19.0","323.0","1510.503444","0.94","0.67","0.0","1.34","0.94","1.2596","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","20.0","324.0","1510.503444","0.87","0.68","0.0","1.57","0.87","1.3659","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","21.0","325.0","1510.503444","0.81","0.68","0.0","1.5","0.81","1.215","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","22.0","326.0","1510.503444","0.77","0.69","0.0","1.35","0.77","1.0395","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","23.0","327.0","1510.503444","0.73","0.7","0.0","1.31","0.73","0.9563","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","24.0","328.0","1510.503444","0.7","0.71","0.0","1.38","0.71","0.9798","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","25.0","329.0","1510.503444","1.18","0.72","0.0","1.06","1.18","1.2508","3.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","26.0","330.0","1510.503444","1.17","0.72","0.0","1.52","1.17","1.7784","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","27.0","331.0","1510.503444","1.16","0.73","0.0","2.02","1.16","2.3432","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","28.0","332.0","1510.503444","1.12","0.74","0.0","1.6","1.12","1.792","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","29.0","333.0","1510.503444","1.02","0.75","0.0","1.37","1.02","1.3974","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","30.0","334.0","1510.503444","0.96","0.75","0.0","1.01","0.96","0.9696","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","1.0","335.0","1510.503444","0.89","0.76","0.0","1.29","0.89","1.1481","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","2.0","336.0","1510.503444","0.84","0.77","0.0","1.17","0.84","0.9828","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","3.0","337.0","1510.503444","0.8","0.78","0.0","1.21","0.8","0.968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","4.0","338.0","1510.503444","1.18","0.78","0.0","1.02","1.18","1.2036","3.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","5.0","339.0","1510.503444","1.18","0.79","0.0","0.76","1.18","0.8968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","6.0","340.0","1510.503444","1.18","0.8","0.0","1.28","1.18","1.5104","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","7.0","341.0","1510.503444","1.18","0.81","0.0","0.95","1.18","1.121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","8.0","342.0","1510.503444","1.18","0.82","0.0","0.65","1.18","0.767","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","9.0","343.0","1510.503444","1.18","0.82","0.0","1.04","1.18","1.2272","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","10.0","344.0","1510.503444","1.07","0.83","0.0","1.22","1.07","1.3054","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","11.0","345.0","1510.503444","1.17","0.84","0.0","1.14","1.17","1.3338","9.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","12.0","346.0","1510.503444","1.18","0.85","0.0","0.93","1.18","1.0974","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","13.0","347.0","1510.503444","1.17","0.85","0.0","1.35","1.17","1.5795","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","14.0","348.0","1510.503444","1.15","0.86","0.0","1.65","1.15","1.8975","9.52","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","15.0","349.0","1510.503444","1.15","0.87","0.0","1.73","1.15","1.9895","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","16.0","350.0","1510.503444","1.16","0.88","0.0","0.97","1.16","1.1252","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","17.0","351.0","1510.503444","1.17","0.88","0.0","0.98","1.17","1.1466","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","18.0","352.0","1510.503444","1.1","0.89","0.0","1.16","1.1","1.276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","19.0","353.0","1510.503444","1.19","0.9","0.0","0.83","1.19","0.9877","2.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","20.0","354.0","1510.503444","1.19","0.91","0.0","0.63","1.19","0.7497","1.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","21.0","355.0","1510.503444","1.19","0.92","0.0","0.7","1.19","0.833","2.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","22.0","356.0","1510.503444","1.17","0.92","0.0","1.24","1.17","1.4508","15.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","23.0","357.0","1510.503444","1.16","0.93","0.0","1.56","1.16","1.8096","2.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","24.0","358.0","1510.503444","1.17","0.94","0.0","1.01","1.17","1.1817","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","25.0","359.0","1510.503444","1.18","0.95","0.0","0.94","1.18","1.1092","4.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","26.0","360.0","1510.503444","1.17","0.95","0.0","1.4","1.17","1.638","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","27.0","361.0","1510.503444","1.18","0.96","0.0","0.6","1.18","0.708","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","28.0","362.0","1510.503444","1.19","0.97","0.0","0.72","1.19","0.8568","2.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","29.0","363.0","1510.503444","1.19","0.98","0.0","0.93","1.19","1.1067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","30.0","364.0","1510.503444","1.19","0.98","0.0","0.79","1.19","0.9401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","12.0","31.0","365.0","1510.503444","1.19","0.99","0.0","1.0","1.19","1.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","1.0","1.0","1510.503444","1.18","1.0","0.0","1.23","1.18","1.4514","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","2.0","2.0","1510.503444","1.18","1.0","0.0","1.09","1.18","1.2862","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","3.0","3.0","1510.503444","1.08","1.0","0.0","1.14","1.08","1.2312","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","4.0","4.0","1510.503444","1.18","1.0","0.0","0.99","1.18","1.1682","1.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","5.0","5.0","1510.503444","1.18","1.0","0.0","0.89","1.18","1.0502","11.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","6.0","6.0","1510.503444","1.19","1.0","0.0","0.83","1.19","0.9877","11.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","7.0","7.0","1510.503444","1.19","1.0","0.0","0.66","1.19","0.7854","6.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","8.0","8.0","1510.503444","1.19","1.0","0.0","0.72","1.19","0.8568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","9.0","9.0","1510.503444","1.19","1.0","0.0","0.94","1.19","1.1186","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","10.0","10.0","1510.503444","1.19","1.0","0.0","0.88","1.19","1.0472","0.66","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","11.0","11.0","1510.503444","1.19","1.0","0.0","0.97","1.19","1.1543","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","12.0","12.0","1510.503444","1.19","1.0","0.0","0.93","1.19","1.1067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","13.0","13.0","1510.503444","1.17","1.0","0.0","1.33","1.17","1.5561","1.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","14.0","14.0","1510.503444","1.19","1.0","0.0","0.75","1.19","0.8925","1.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","15.0","15.0","1510.503444","1.18","1.0","0.0","1.02","1.18","1.2036","2.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","16.0","16.0","1510.503444","1.18","1.0","0.0","0.89","1.18","1.0502","7.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","17.0","17.0","1510.503444","1.19","1.0","0.0","0.78","1.19","0.9282","2.85","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","18.0","18.0","1510.503444","1.17","1.0","0.0","1.2","1.17","1.404","27.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","19.0","19.0","1510.503444","1.17","1.0","0.0","1.24","1.17","1.4508","8.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","20.0","20.0","1510.503444","1.18","1.0","0.0","1.11","1.18","1.3098","10.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","21.0","21.0","1510.503444","1.18","1.0","0.0","1.11","1.18","1.3098","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","22.0","22.0","1510.503444","1.18","1.0","0.0","1.11","1.18","1.3098","1.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","23.0","23.0","1510.503444","1.17","1.0","0.0","1.37","1.17","1.6029","8.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","24.0","24.0","1510.503444","1.17","1.0","0.0","1.17","1.17","1.3689","1.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","25.0","25.0","1510.503444","1.17","1.0","0.0","1.03","1.17","1.2051","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","26.0","26.0","1510.503444","1.17","1.0","0.0","1.13","1.17","1.3221","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","27.0","27.0","1510.503444","1.15","1.0","0.0","1.28","1.15","1.472","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","28.0","28.0","1510.503444","1.07","1.0","0.0","0.92","1.07","0.9844","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","29.0","29.0","1510.503444","1.0","1.0","0.0","1.08","1.0","1.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","30.0","30.0","1510.503444","1.16","1.0","0.0","1.59","1.16","1.8444","3.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","1.0","31.0","31.0","1510.503444","1.14","1.0","0.0","2.2","1.14","2.508","0.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","1.0","32.0","1510.503444","1.09","1.0","0.0","2.67","1.09","2.9103","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","2.0","33.0","1510.503444","1.0","1.0","0.0","1.19","1.0","1.19","0.29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","3.0","34.0","1510.503444","0.94","1.0","0.0","1.13","1.0","1.13","0.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","4.0","35.0","1510.503444","0.87","1.0","0.0","1.45","1.0","1.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
