" Daily soil water balance output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","1904.36","0.08","0.0","0.0","3.87","0.08","0.31","0.0","0.0","0.0","0.0","27.31","27.0","356.62","178.31","329.3","329.62","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","1904.36","0.08","0.0","0.0","3.07","0.08","0.25","0.46","0.46","0.0","0.0","26.85","27.0","356.62","178.31","329.76","329.62","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","1904.36","0.08","0.0","0.0","2.72","0.08","0.22","0.25","0.25","0.0","0.0","26.82","27.0","356.62","178.31","329.79","329.62","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","1904.36","0.08","0.0","0.0","2.76","0.08","0.22","0.0","0.0","0.0","0.0","27.05","27.0","356.62","178.31","329.57","329.62","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","1904.36","0.08","0.0","0.0","4.23","0.08","0.34","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","1904.36","0.08","0.0","0.0","3.4","0.08","0.27","0.0","0.0","0.0","0.0","27.27","27.0","356.62","178.31","329.34","329.62","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","1904.36","0.08","0.0","0.0","3.1","0.08","0.25","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","1904.36","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","27.22","27.0","356.62","178.31","329.4","329.62","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","1904.36","0.08","0.0","0.0","2.55","0.08","0.21","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","1904.36","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","27.26","27.0","356.62","178.31","329.35","329.62","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","1904.36","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","1904.36","0.08","0.0","0.0","2.18","0.08","0.17","0.0","0.0","0.0","0.0","27.17","27.0","356.62","178.31","329.44","329.62","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","1904.36","0.08","0.0","0.0","2.28","0.08","0.18","0.11","0.11","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","1904.36","0.08","0.0","0.0","4.38","0.08","0.35","0.0","0.0","0.0","0.0","27.35","27.0","356.62","178.31","329.27","329.62","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","1904.36","0.08","0.0","0.0","3.64","0.08","0.29","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","1904.36","0.08","0.0","0.0","3.24","0.08","0.26","0.0","0.0","0.0","0.0","27.26","27.0","356.62","178.31","329.36","329.62","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","1904.36","0.08","0.0","0.0","2.27","0.08","0.18","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","1904.36","1.17","0.0","0.0","1.22","1.17","1.43","13.87","13.87","0.0","0.0","14.56","27.0","356.62","178.31","342.06","329.62","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","1904.36","1.14","0.0","0.0","2.1","1.14","2.39","10.1","10.1","0.0","0.0","6.84","27.0","356.62","178.31","349.77","329.62","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","1904.36","1.12","0.0","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","10.26","27.0","356.62","178.31","346.35","329.62","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","1904.36","1.05","0.0","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","12.08","27.0","356.62","178.31","344.53","329.62","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","1904.36","0.93","0.0","0.0","1.87","0.93","1.75","0.0","0.0","0.0","0.0","13.83","27.0","356.62","178.31","342.79","329.62","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","1904.36","0.86","0.0","0.0","1.66","0.86","1.43","0.0","0.0","0.0","0.0","15.26","27.0","356.62","178.31","341.36","329.62","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","1904.36","0.81","0.0","0.0","1.24","0.81","1.01","0.0","0.0","0.0","0.0","16.26","27.0","356.62","178.31","340.35","329.62","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","1904.36","1.18","0.0","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","13.32","27.0","356.62","178.31","343.29","329.62","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","1904.36","1.17","0.0","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","6.97","27.0","356.62","178.31","349.65","329.62","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","1904.36","1.17","0.0","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","8.41","27.0","356.62","178.31","348.21","329.62","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","1904.36","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","10.05","27.0","356.62","178.31","346.57","329.62","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","1904.36","1.17","0.0","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","11.58","27.0","356.62","178.31","345.04","329.62","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","1904.36","1.09","0.0","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","13.09","27.0","356.62","178.31","343.53","329.62","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","1904.36","1.15","0.0","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","13.14","27.0","356.62","178.31","343.47","329.62","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","1904.36","1.13","0.0","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","14.15","27.0","356.62","178.31","342.47","329.62","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","1904.36","1.13","0.0","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","15.78","27.0","356.62","178.31","340.84","329.62","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","1904.36","1.03","0.0","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","17.12","27.0","356.62","178.31","339.49","329.62","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","1904.36","0.95","0.0","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","18.39","27.0","356.62","178.31","338.22","329.62","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","1904.36","0.87","0.0","0.0","1.57","0.87","1.37","0.0","0.0","0.0","0.0","19.76","27.0","356.62","178.31","336.85","329.62","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","1904.36","0.82","0.0","0.0","1.46","0.82","1.19","0.0","0.0","0.0","0.0","20.95","27.0","356.62","178.31","335.66","329.62","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","1904.36","0.77","0.0","0.0","1.31","0.77","1.01","0.0","0.0","0.0","0.0","21.97","27.0","356.62","178.31","334.65","329.62","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","1904.36","0.74","0.0","0.0","1.44","0.74","1.06","0.0","0.0","0.0","0.0","23.03","27.0","356.62","178.31","333.59","329.62","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","1904.36","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","24.0","27.0","356.62","178.31","332.62","329.62","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","1904.36","1.18","0.0","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","21.79","27.0","356.62","178.31","334.83","329.62","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","1904.36","1.17","0.0","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","23.57","27.0","356.62","178.31","333.05","329.62","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","1904.36","1.16","0.0","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","26.0","27.0","356.62","178.31","330.62","329.62","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","1904.36","1.12","0.0","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","27.76","27.0","356.62","178.31","328.85","329.62","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","1904.36","1.02","0.0","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","1904.36","0.96","0.0","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","27.99","27.0","356.62","178.31","328.63","329.62","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","1904.36","0.89","0.0","0.0","1.25","0.89","1.12","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","1904.36","0.85","0.0","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","27.95","27.0","356.62","178.31","328.67","329.62","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","1904.36","0.8","0.0","0.0","1.3","0.8","1.04","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","1904.36","1.18","0.0","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","23.4","27.0","356.62","178.31","333.22","329.62","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","1904.36","1.18","0.0","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","24.32","27.0","356.62","178.31","332.3","329.62","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","1904.36","1.18","0.0","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","25.91","27.0","356.62","178.31","330.71","329.62","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","1904.36","1.18","0.0","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","27.04","27.0","356.62","178.31","329.57","329.62","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","1904.36","1.18","0.0","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","1904.36","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","28.22","27.0","356.62","178.31","328.4","329.62","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","1904.36","1.17","0.0","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","26.88","27.0","356.62","178.31","329.74","329.62","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","1904.36","1.18","0.0","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","21.03","27.0","356.62","178.31","335.58","329.62","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","1904.36","1.18","0.0","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","21.69","27.0","356.62","178.31","334.93","329.62","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","1904.36","1.18","0.0","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","23.22","27.0","356.62","178.31","333.4","329.62","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","1904.36","1.15","0.0","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","15.35","27.0","356.62","178.31","341.27","329.62","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","1904.36","1.15","0.0","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","17.4","27.0","356.62","178.31","339.22","329.62","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","1904.36","1.16","0.0","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","18.5","27.0","356.62","178.31","338.11","329.62","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","1904.36","1.17","0.0","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","19.69","27.0","356.62","178.31","336.92","329.62","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","1904.36","1.09","0.0","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","21.03","27.0","356.62","178.31","335.58","329.62","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","1904.36","1.19","0.0","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","16.07","27.0","356.62","178.31","340.55","329.62","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","1904.36","1.19","0.0","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","14.82","27.0","356.62","178.31","341.79","329.62","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","1904.36","1.19","0.0","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","13.16","27.0","356.62","178.31","343.46","329.62","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","1904.36","1.17","0.0","0.0","1.22","1.17","1.43","12.24","12.24","0.0","0.0","2.34","27.0","356.62","178.31","354.27","329.62","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","1904.36","1.17","0.0","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","3.56","27.0","356.62","178.31","353.06","329.62","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","1904.36","1.17","0.0","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","4.1","27.0","356.62","178.31","352.51","329.62","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","1904.36","1.18","0.0","0.0","0.91","1.18","1.08","4.96","4.96","0.0","0.0","0.22","27.0","356.62","178.31","356.4","329.62","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","1904.36","1.17","0.0","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","1.88","27.0","356.62","178.31","354.73","329.62","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","1904.36","1.18","0.0","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","2.57","27.0","356.62","178.31","354.05","329.62","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","1904.36","1.19","0.0","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","1.91","27.0","356.62","178.31","354.71","329.62","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","1904.36","1.19","0.0","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","2.83","27.0","356.62","178.31","353.79","329.62","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","1904.36","1.19","0.0","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","3.8","27.0","356.62","178.31","352.82","329.62","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","1904.36","1.19","0.0","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","4.97","27.0","356.62","178.31","351.64","329.62","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","1904.36","1.18","0.0","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","6.46","27.0","356.62","178.31","350.15","329.62","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","1904.36","1.18","0.0","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","7.73","27.0","356.62","178.31","348.88","329.62","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","1904.36","1.07","0.0","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","8.98","27.0","356.62","178.31","347.64","329.62","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","1904.36","1.0","0.0","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","9.47","27.0","356.62","178.31","347.14","329.62","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","1904.36","1.18","0.0","0.0","0.92","1.18","1.09","16.91","10.56","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","1904.36","1.19","0.0","0.0","0.84","1.19","1.0","13.14","1.0","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","1904.36","1.2","0.0","0.0","0.62","1.2","0.74","4.52","0.74","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","1904.36","1.19","0.0","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","0.81","27.0","356.62","178.31","355.81","329.62","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","1904.36","1.18","0.0","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","1.08","27.0","356.62","178.31","355.53","329.62","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","1904.36","1.18","0.0","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","1.76","27.0","356.62","178.31","354.86","329.62","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","1904.36","1.18","0.0","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","2.87","27.0","356.62","178.31","353.75","329.62","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","1904.36","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","4.03","27.0","356.62","178.31","352.59","329.62","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","1904.36","1.16","0.0","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","4.43","27.0","356.62","178.31","352.18","329.62","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","1904.36","1.19","0.0","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","3.65","27.0","356.62","178.31","352.96","329.62","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","1904.36","1.18","0.0","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","2.27","27.0","356.62","178.31","354.35","329.62","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","1904.36","1.18","0.0","0.0","0.93","1.18","1.1","5.84","3.37","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","1904.36","1.19","0.0","0.0","0.83","1.19","0.99","1.4","0.99","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","1904.36","1.17","0.0","0.0","1.26","1.17","1.47","34.61","1.47","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","1904.36","1.17","0.0","0.0","1.26","1.17","1.47","6.57","1.47","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","1904.36","1.18","0.0","0.0","1.1","1.18","1.29","15.1","1.29","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","1904.36","1.17","0.0","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","27.0","356.62","178.31","355.34","329.62","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","1904.36","1.17","0.0","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","27.0","356.62","178.31","354.12","329.62","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","1904.36","1.16","0.0","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","1904.36","1.17","0.0","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","27.0","356.62","178.31","356.02","329.62","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","1904.36","1.17","0.0","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","27.0","356.62","178.31","354.82","329.62","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","1904.36","1.17","0.0","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","27.0","356.62","178.31","353.51","329.62","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","1904.36","1.14","0.0","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","27.0","356.62","178.31","352.03","329.62","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","1904.36","1.06","0.0","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","27.0","356.62","178.31","351.04","329.62","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","1904.36","0.99","0.0","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","27.0","356.62","178.31","349.99","329.62","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","1904.36","1.16","0.0","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","27.0","356.62","178.31","353.72","329.62","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","1904.36","1.14","0.0","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","27.0","356.62","178.31","351.79","329.62","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","1904.36","1.08","0.0","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","27.0","356.62","178.31","349.96","329.62","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","1904.36","1.0","0.0","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","27.0","356.62","178.31","348.81","329.62","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","1904.36","0.93","0.0","0.0","1.14","0.93","1.06","0.1","0.1","0.0","0.0","8.77","27.0","356.62","178.31","347.85","329.62","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","1904.36","0.86","0.0","0.0","1.5","0.86","1.3","0.0","0.0","0.0","0.0","10.06","27.0","356.62","178.31","346.55","329.62","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","1904.36","0.81","0.0","0.0","1.43","0.81","1.16","0.0","0.0","0.0","0.0","11.22","27.0","356.62","178.31","345.39","329.62","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","1904.36","0.76","0.0","0.0","1.64","0.76","1.25","0.0","0.0","0.0","0.0","12.47","27.0","356.62","178.31","344.15","329.62","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","1904.36","0.71","0.0","0.0","1.87","0.71","1.33","0.0","0.0","0.0","0.0","13.8","27.0","356.62","178.31","342.81","329.62","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","1904.36","0.67","0.0","0.0","1.98","0.67","1.33","0.0","0.0","0.0","0.0","15.13","27.0","356.62","178.31","341.49","329.62","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","1904.36","0.63","0.0","0.0","1.99","0.63","1.26","0.0","0.0","0.0","0.0","16.39","27.0","356.62","178.31","340.23","329.62","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","1904.36","0.6","0.0","0.0","1.96","0.6","1.18","0.0","0.0","0.0","0.0","17.57","27.0","356.62","178.31","339.04","329.62","0.0","","","","","","",""
