" Daily soil water balance output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","2613.8","0.08","0.0","0.0","3.87","0.08","0.32","0.0","0.0","0.0","0.0","26.72","26.4","536.45","268.22","509.73","510.05","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","2613.8","0.08","0.0","0.0","3.06","0.08","0.25","0.41","0.41","0.0","0.0","26.31","26.4","536.45","268.22","510.14","510.05","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","2613.8","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","26.51","26.4","536.45","268.22","509.93","510.05","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","2613.8","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","2613.8","0.08","0.0","0.0","4.55","0.08","0.37","0.0","0.0","0.0","0.0","26.77","26.4","536.45","268.22","509.68","510.05","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","2613.8","0.08","0.0","0.0","3.61","0.08","0.29","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","2613.8","0.08","0.0","0.0","3.07","0.08","0.25","0.0","0.0","0.0","0.0","26.65","26.4","536.45","268.22","509.8","510.05","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","2613.8","0.08","0.0","0.0","2.59","0.08","0.21","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","2613.8","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","26.6","26.4","536.45","268.22","509.85","510.05","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","2613.8","0.08","0.0","0.0","3.31","0.08","0.27","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","2613.8","0.08","0.0","0.0","2.47","0.08","0.2","0.0","0.0","0.0","0.0","26.6","26.4","536.45","268.22","509.85","510.05","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","2613.8","0.08","0.0","0.0","2.1","0.08","0.17","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","2613.8","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","26.58","26.4","536.45","268.22","509.87","510.05","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","2613.8","0.08","0.0","0.0","4.4","0.08","0.35","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","2613.8","0.08","0.0","0.0","3.72","0.08","0.3","0.0","0.0","0.0","0.0","26.7","26.4","536.45","268.22","509.75","510.05","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","2613.8","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","2613.8","0.08","0.0","0.0","1.91","0.08","0.15","0.01","0.01","0.0","0.0","26.54","26.4","536.45","268.22","509.9","510.05","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","2613.8","1.17","0.0","0.0","1.25","1.17","1.46","7.83","7.83","0.0","0.0","18.71","26.4","536.45","268.22","517.73","510.05","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","2613.8","1.13","0.0","0.0","2.22","1.13","2.51","10.9","10.9","0.0","0.0","10.32","26.4","536.45","268.22","526.12","510.05","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","2613.8","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","13.76","26.4","536.45","268.22","522.69","510.05","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","2613.8","1.05","0.0","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","15.5","26.4","536.45","268.22","520.95","510.05","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","2613.8","0.93","0.0","0.0","1.87","0.93","1.74","0.0","0.0","0.0","0.0","17.24","26.4","536.45","268.22","519.21","510.05","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","2613.8","0.86","0.0","0.0","1.64","0.86","1.4","0.0","0.0","0.0","0.0","18.65","26.4","536.45","268.22","517.8","510.05","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","2613.8","0.81","0.0","0.0","1.15","0.81","0.94","0.0","0.0","0.0","0.0","19.58","26.4","536.45","268.22","516.87","510.05","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","2613.8","1.18","0.0","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","17.97","26.4","536.45","268.22","518.48","510.05","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","2613.8","1.17","0.0","0.0","1.3","1.17","1.52","10.25","10.25","0.0","0.0","9.24","26.4","536.45","268.22","527.21","510.05","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","2613.8","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","10.64","26.4","536.45","268.22","525.8","510.05","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","2613.8","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","12.26","26.4","536.45","268.22","524.19","510.05","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","2613.8","1.17","0.0","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","13.79","26.4","536.45","268.22","522.66","510.05","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","2613.8","1.1","0.0","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","15.25","26.4","536.45","268.22","521.2","510.05","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","2613.8","0.97","0.0","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","16.48","26.4","536.45","268.22","519.97","510.05","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","2613.8","1.11","0.0","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","15.94","26.4","536.45","268.22","520.51","510.05","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","2613.8","1.14","0.0","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","17.59","26.4","536.45","268.22","518.86","510.05","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","2613.8","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","19.09","26.4","536.45","268.22","517.35","510.05","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","2613.8","1.08","0.0","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","20.51","26.4","536.45","268.22","515.93","510.05","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","2613.8","0.97","0.0","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","22.09","26.4","536.45","268.22","514.36","510.05","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","2613.8","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","23.39","26.4","536.45","268.22","513.06","510.05","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","2613.8","0.84","0.0","0.0","1.28","0.84","1.07","0.0","0.0","0.0","0.0","24.46","26.4","536.45","268.22","511.98","510.05","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","2613.8","0.79","0.0","0.0","1.43","0.79","1.13","0.0","0.0","0.0","0.0","25.59","26.4","536.45","268.22","510.85","510.05","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","2613.8","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","26.62","26.4","536.45","268.22","509.83","510.05","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","2613.8","0.72","0.0","0.0","1.05","0.72","0.76","1.29","1.29","0.0","0.0","25.33","26.4","536.45","268.22","511.12","510.05","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","2613.8","0.68","0.0","0.0","1.77","0.68","1.21","0.0","0.0","0.0","0.0","26.54","26.4","536.45","268.22","509.9","510.05","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","2613.8","0.64","0.0","0.0","2.45","0.64","1.56","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","2613.8","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","27.42","26.4","536.45","268.22","509.03","510.05","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","2613.8","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","2613.8","0.58","0.0","0.0","0.99","0.58","0.58","0.0","0.0","0.0","0.0","26.98","26.4","536.45","268.22","509.47","510.05","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","2613.8","0.57","0.0","0.0","1.18","0.57","0.67","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","2613.8","0.55","0.0","0.0","1.12","0.55","0.62","0.0","0.0","0.0","0.0","27.02","26.4","536.45","268.22","509.43","510.05","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","2613.8","0.54","0.0","0.0","1.06","0.54","0.58","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","2613.8","1.18","0.0","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","20.54","26.4","536.45","268.22","515.91","510.05","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","2613.8","1.19","0.0","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","21.39","26.4","536.45","268.22","515.06","510.05","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","2613.8","1.18","0.0","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","22.74","26.4","536.45","268.22","513.71","510.05","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","2613.8","1.18","0.0","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","23.76","26.4","536.45","268.22","512.69","510.05","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","2613.8","1.19","0.0","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","24.41","26.4","536.45","268.22","512.04","510.05","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","2613.8","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","25.48","26.4","536.45","268.22","510.97","510.05","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","2613.8","1.17","0.0","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","25.21","26.4","536.45","268.22","511.23","510.05","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","2613.8","1.18","0.0","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","21.25","26.4","536.45","268.22","515.2","510.05","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","2613.8","1.18","0.0","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","22.0","26.4","536.45","268.22","514.45","510.05","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","2613.8","1.18","0.0","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","23.36","26.4","536.45","268.22","513.08","510.05","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","2613.8","1.16","0.0","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","14.36","26.4","536.45","268.22","522.09","510.05","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","2613.8","1.15","0.0","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","16.66","26.4","536.45","268.22","519.79","510.05","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","2613.8","1.16","0.0","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","17.66","26.4","536.45","268.22","518.79","510.05","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","2613.8","1.17","0.0","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","18.74","26.4","536.45","268.22","517.71","510.05","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","2613.8","1.11","0.0","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","19.96","26.4","536.45","268.22","516.49","510.05","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","2613.8","1.19","0.0","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","13.49","26.4","536.45","268.22","522.96","510.05","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","2613.8","1.2","0.0","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","13.45","26.4","536.45","268.22","522.99","510.05","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","2613.8","1.2","0.0","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","8.41","26.4","536.45","268.22","528.04","510.05","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","2613.8","1.17","0.0","0.0","1.13","1.17","1.33","6.74","6.74","0.0","0.0","3.0","26.4","536.45","268.22","533.45","510.05","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","2613.8","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","4.59","26.4","536.45","268.22","531.86","510.05","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","2613.8","1.17","0.0","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","5.48","26.4","536.45","268.22","530.97","510.05","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","2613.8","1.19","0.0","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","3.92","26.4","536.45","268.22","532.53","510.05","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","2613.8","1.17","0.0","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","5.71","26.4","536.45","268.22","530.74","510.05","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","2613.8","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","6.38","26.4","536.45","268.22","530.06","510.05","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","2613.8","1.18","0.0","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","6.43","26.4","536.45","268.22","530.02","510.05","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","2613.8","1.18","0.0","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","7.51","26.4","536.45","268.22","528.94","510.05","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","2613.8","1.18","0.0","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","8.38","26.4","536.45","268.22","528.06","510.05","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","2613.8","1.11","0.0","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","9.57","26.4","536.45","268.22","526.88","510.05","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","2613.8","1.01","0.0","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","10.99","26.4","536.45","268.22","525.46","510.05","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","2613.8","0.94","0.0","0.0","1.21","0.94","1.14","0.0","0.0","0.0","0.0","12.12","26.4","536.45","268.22","524.32","510.05","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","2613.8","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","13.17","26.4","536.45","268.22","523.28","510.05","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","2613.8","0.85","0.0","0.0","0.87","0.85","0.74","0.13","0.13","0.0","0.0","13.78","26.4","536.45","268.22","522.67","510.05","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","2613.8","1.19","0.0","0.0","0.84","1.19","1.0","14.51","14.51","0.0","0.0","0.27","26.4","536.45","268.22","536.18","510.05","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","2613.8","1.19","0.0","0.0","0.82","1.19","0.97","15.08","1.24","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","2613.8","1.2","0.0","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","2613.8","1.2","0.0","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","26.4","536.45","268.22","535.69","510.05","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","2613.8","1.19","0.0","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","2613.8","1.18","0.0","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","2613.8","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","26.4","536.45","268.22","535.31","510.05","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","2613.8","1.18","0.0","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","26.4","536.45","268.22","534.21","510.05","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","2613.8","1.17","0.0","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","2613.8","1.19","0.0","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","2613.8","1.19","0.0","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","2613.8","1.19","0.0","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","2613.8","1.19","0.0","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","2613.8","1.17","0.0","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","2613.8","1.17","0.0","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","2613.8","1.18","0.0","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","2613.8","1.18","0.0","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","26.4","536.45","268.22","535.19","510.05","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","2613.8","1.18","0.0","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","26.4","536.45","268.22","534.14","510.05","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","2613.8","1.16","0.0","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","2613.8","1.18","0.0","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","2613.8","1.17","0.0","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","26.4","536.45","268.22","535.09","510.05","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","2613.8","1.18","0.0","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","26.4","536.45","268.22","533.92","510.05","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","2613.8","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","26.4","536.45","268.22","532.35","510.05","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","2613.8","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","26.4","536.45","268.22","531.3","510.05","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","2613.8","1.1","0.0","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","26.4","536.45","268.22","530.31","510.05","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","2613.8","1.16","0.0","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","26.4","536.45","268.22","534.47","510.05","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","2613.8","1.14","0.0","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","26.4","536.45","268.22","531.75","510.05","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","2613.8","1.08","0.0","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","26.4","536.45","268.22","528.93","510.05","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","2613.8","1.01","0.0","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","26.4","536.45","268.22","527.86","510.05","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","2613.8","0.95","0.0","0.0","1.04","0.95","0.98","0.52","0.52","0.0","0.0","9.05","26.4","536.45","268.22","527.39","510.05","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","2613.8","0.87","0.0","0.0","1.49","0.87","1.3","0.0","0.0","0.0","0.0","10.36","26.4","536.45","268.22","526.09","510.05","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","2613.8","0.82","0.0","0.0","1.36","0.82","1.12","0.0","0.0","0.0","0.0","11.48","26.4","536.45","268.22","524.97","510.05","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","2613.8","0.77","0.0","0.0","1.59","0.77","1.23","0.0","0.0","0.0","0.0","12.7","26.4","536.45","268.22","523.75","510.05","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","2613.8","0.72","0.0","0.0","1.92","0.72","1.38","0.0","0.0","0.0","0.0","14.08","26.4","536.45","268.22","522.37","510.05","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","2613.8","0.67","0.0","0.0","2.05","0.67","1.38","0.0","0.0","0.0","0.0","15.47","26.4","536.45","268.22","520.98","510.05","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","2613.8","0.64","0.0","0.0","1.92","0.64","1.23","0.0","0.0","0.0","0.0","16.69","26.4","536.45","268.22","519.75","510.05","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","2613.8","0.61","0.0","0.0","1.88","0.61","1.15","0.0","0.0","0.0","0.0","17.84","26.4","536.45","268.22","518.61","510.05","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","2613.8","0.59","0.0","0.0","1.71","0.59","1.0","0.0","0.0","0.0","0.0","18.84","26.4","536.45","268.22","517.6","510.05","0.0","","","","","","",""
