" Daily soil water balance output for Truck Crops in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Truck Crops in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","1155.12","0.08","0.0","0.0","3.87","0.08","0.31","0.0","0.0","0.0","0.0","21.91","21.6","437.03","218.52","415.12","415.43","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","1155.12","0.08","0.0","0.0","3.07","0.08","0.25","0.46","0.46","0.0","0.0","21.45","21.6","437.03","218.52","415.58","415.43","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","1155.12","0.08","0.0","0.0","2.72","0.08","0.22","0.25","0.25","0.0","0.0","21.42","21.6","437.03","218.52","415.61","415.43","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","1155.12","0.08","0.0","0.0","2.76","0.08","0.22","0.0","0.0","0.0","0.0","21.65","21.6","437.03","218.52","415.38","415.43","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","1155.12","0.08","0.0","0.0","4.23","0.08","0.34","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","1155.12","0.08","0.0","0.0","3.4","0.08","0.27","0.0","0.0","0.0","0.0","21.87","21.6","437.03","218.52","415.16","415.43","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","1155.12","0.08","0.0","0.0","3.1","0.08","0.25","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","1155.12","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","21.82","21.6","437.03","218.52","415.21","415.43","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","1155.12","0.08","0.0","0.0","2.55","0.08","0.21","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","1155.12","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","21.86","21.6","437.03","218.52","415.17","415.43","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","1155.12","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","1155.12","0.08","0.0","0.0","2.18","0.08","0.17","0.0","0.0","0.0","0.0","21.77","21.6","437.03","218.52","415.26","415.43","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","1155.12","0.08","0.0","0.0","2.28","0.08","0.18","0.11","0.11","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","1155.12","0.08","0.0","0.0","4.38","0.08","0.35","0.0","0.0","0.0","0.0","21.95","21.6","437.03","218.52","415.08","415.43","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","1155.12","0.08","0.0","0.0","3.64","0.08","0.29","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","1155.12","0.08","0.0","0.0","3.24","0.08","0.26","0.0","0.0","0.0","0.0","21.86","21.6","437.03","218.52","415.17","415.43","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","1155.12","0.08","0.0","0.0","2.27","0.08","0.18","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","1155.12","1.17","0.0","0.0","1.22","1.17","1.43","13.87","13.87","0.0","0.0","9.16","21.6","437.03","218.52","427.87","415.43","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","1155.12","1.14","0.0","0.0","2.1","1.14","2.39","10.1","10.1","0.0","0.0","1.44","21.6","437.03","218.52","435.59","415.43","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","1155.12","1.12","0.0","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","4.86","21.6","437.03","218.52","432.17","415.43","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","1155.12","1.05","0.0","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","6.68","21.6","437.03","218.52","430.35","415.43","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","1155.12","0.93","0.0","0.0","1.87","0.93","1.75","0.0","0.0","0.0","0.0","8.43","21.6","437.03","218.52","428.6","415.43","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","1155.12","0.86","0.0","0.0","1.66","0.86","1.43","0.0","0.0","0.0","0.0","9.86","21.6","437.03","218.52","427.18","415.43","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","1155.12","0.81","0.0","0.0","1.24","0.81","1.01","0.0","0.0","0.0","0.0","10.86","21.6","437.03","218.52","426.17","415.43","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","1155.12","1.18","0.0","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","7.92","21.6","437.03","218.52","429.11","415.43","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","1155.12","1.17","0.0","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","1.57","21.6","437.03","218.52","435.46","415.43","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","1155.12","1.17","0.0","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","3.01","21.6","437.03","218.52","434.02","415.43","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","1155.12","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","4.65","21.6","437.03","218.52","432.38","415.43","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","1155.12","1.17","0.0","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","6.18","21.6","437.03","218.52","430.86","415.43","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","1155.12","1.09","0.0","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","7.69","21.6","437.03","218.52","429.35","415.43","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","1155.12","1.15","0.0","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","7.74","21.6","437.03","218.52","429.29","415.43","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","1155.12","1.13","0.0","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","8.75","21.6","437.03","218.52","428.28","415.43","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","1155.12","1.13","0.0","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","10.38","21.6","437.03","218.52","426.66","415.43","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","1155.12","1.03","0.0","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","11.72","21.6","437.03","218.52","425.31","415.43","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","1155.12","0.95","0.0","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","12.99","21.6","437.03","218.52","424.04","415.43","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","1155.12","0.87","0.0","0.0","1.57","0.87","1.37","0.0","0.0","0.0","0.0","14.36","21.6","437.03","218.52","422.67","415.43","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","1155.12","0.82","0.0","0.0","1.46","0.82","1.19","0.0","0.0","0.0","0.0","15.55","21.6","437.03","218.52","421.48","415.43","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","1155.12","0.77","0.0","0.0","1.31","0.77","1.01","0.0","0.0","0.0","0.0","16.57","21.6","437.03","218.52","420.46","415.43","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","1155.12","0.74","0.0","0.0","1.44","0.74","1.06","0.0","0.0","0.0","0.0","17.63","21.6","437.03","218.52","419.4","415.43","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","1155.12","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","18.6","21.6","437.03","218.52","418.43","415.43","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","1155.12","1.18","0.0","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","16.39","21.6","437.03","218.52","420.64","415.43","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","1155.12","1.17","0.0","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","18.17","21.6","437.03","218.52","418.86","415.43","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","1155.12","1.16","0.0","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","20.6","21.6","437.03","218.52","416.43","415.43","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","1155.12","1.12","0.0","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","22.36","21.6","437.03","218.52","414.67","415.43","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","1155.12","1.02","0.0","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","1155.12","0.96","0.0","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","22.59","21.6","437.03","218.52","414.45","415.43","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","1155.12","0.89","0.0","0.0","1.25","0.89","1.12","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","1155.12","0.85","0.0","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","22.55","21.6","437.03","218.52","414.48","415.43","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","1155.12","0.8","0.0","0.0","1.3","0.8","1.04","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","1155.12","1.18","0.0","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","18.0","21.6","437.03","218.52","419.03","415.43","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","1155.12","1.18","0.0","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","18.92","21.6","437.03","218.52","418.11","415.43","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","1155.12","1.18","0.0","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","20.51","21.6","437.03","218.52","416.52","415.43","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","1155.12","1.18","0.0","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","21.64","21.6","437.03","218.52","415.39","415.43","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","1155.12","1.18","0.0","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","1155.12","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","22.82","21.6","437.03","218.52","414.21","415.43","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","1155.12","1.17","0.0","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","21.48","21.6","437.03","218.52","415.55","415.43","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","1155.12","1.18","0.0","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","15.63","21.6","437.03","218.52","421.4","415.43","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","1155.12","1.18","0.0","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","16.29","21.6","437.03","218.52","420.74","415.43","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","1155.12","1.18","0.0","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","17.82","21.6","437.03","218.52","419.22","415.43","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","1155.12","1.15","0.0","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","9.95","21.6","437.03","218.52","427.08","415.43","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","1155.12","1.15","0.0","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","12.0","21.6","437.03","218.52","425.03","415.43","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","1155.12","1.16","0.0","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","13.1","21.6","437.03","218.52","423.93","415.43","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","1155.12","1.17","0.0","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","14.29","21.6","437.03","218.52","422.74","415.43","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","1155.12","1.09","0.0","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","15.63","21.6","437.03","218.52","421.4","415.43","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","1155.12","1.19","0.0","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","10.67","21.6","437.03","218.52","426.36","415.43","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","1155.12","1.19","0.0","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","9.42","21.6","437.03","218.52","427.61","415.43","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","1155.12","1.19","0.0","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","7.76","21.6","437.03","218.52","429.28","415.43","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","1155.12","1.17","0.0","0.0","1.22","1.17","1.43","12.24","9.18","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","1155.12","1.17","0.0","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","1.21","21.6","437.03","218.52","435.82","415.43","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","1155.12","1.17","0.0","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","1.76","21.6","437.03","218.52","435.27","415.43","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","1155.12","1.18","0.0","0.0","0.91","1.18","1.08","4.96","2.83","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","1155.12","1.17","0.0","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","1.67","21.6","437.03","218.52","435.37","415.43","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","1155.12","1.18","0.0","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","2.35","21.6","437.03","218.52","434.68","415.43","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","1155.12","1.19","0.0","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","1.69","21.6","437.03","218.52","435.34","415.43","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","1155.12","1.19","0.0","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","2.61","21.6","437.03","218.52","434.42","415.43","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","1155.12","1.19","0.0","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","3.58","21.6","437.03","218.52","433.45","415.43","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","1155.12","1.19","0.0","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","4.76","21.6","437.03","218.52","432.28","415.43","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","1155.12","1.18","0.0","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","6.25","21.6","437.03","218.52","430.79","415.43","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","1155.12","1.18","0.0","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","7.52","21.6","437.03","218.52","429.52","415.43","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","1155.12","1.07","0.0","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","8.76","21.6","437.03","218.52","428.27","415.43","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","1155.12","1.0","0.0","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","9.26","21.6","437.03","218.52","427.78","415.43","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","1155.12","1.18","0.0","0.0","0.92","1.18","1.09","16.91","10.34","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","1155.12","1.19","0.0","0.0","0.84","1.19","1.0","13.14","1.0","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","1155.12","1.2","0.0","0.0","0.62","1.2","0.74","4.52","0.74","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","1155.12","1.19","0.0","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","0.81","21.6","437.03","218.52","436.22","415.43","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","1155.12","1.18","0.0","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","1.08","21.6","437.03","218.52","435.95","415.43","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","1155.12","1.18","0.0","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","1.76","21.6","437.03","218.52","435.28","415.43","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","1155.12","1.18","0.0","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","2.87","21.6","437.03","218.52","434.16","415.43","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","1155.12","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","4.03","21.6","437.03","218.52","433.01","415.43","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","1155.12","1.16","0.0","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","4.43","21.6","437.03","218.52","432.6","415.43","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","1155.12","1.19","0.0","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","3.65","21.6","437.03","218.52","433.38","415.43","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","1155.12","1.18","0.0","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","2.27","21.6","437.03","218.52","434.76","415.43","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","1155.12","1.18","0.0","0.0","0.93","1.18","1.1","5.84","3.37","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","1155.12","1.19","0.0","0.0","0.83","1.19","0.99","1.4","0.99","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","1155.12","1.17","0.0","0.0","1.26","1.17","1.47","34.61","1.47","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","1155.12","1.17","0.0","0.0","1.26","1.17","1.47","6.57","1.47","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","1155.12","1.18","0.0","0.0","1.1","1.18","1.29","15.1","1.29","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","1155.12","1.17","0.0","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","21.6","437.03","218.52","435.76","415.43","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","1155.12","1.17","0.0","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","21.6","437.03","218.52","434.53","415.43","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","1155.12","1.16","0.0","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","1155.12","1.17","0.0","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","21.6","437.03","218.52","436.44","415.43","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","1155.12","1.17","0.0","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","21.6","437.03","218.52","435.24","415.43","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","1155.12","1.17","0.0","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","21.6","437.03","218.52","433.92","415.43","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","1155.12","1.14","0.0","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","21.6","437.03","218.52","432.44","415.43","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","1155.12","1.06","0.0","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","21.6","437.03","218.52","431.45","415.43","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","1155.12","0.99","0.0","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","21.6","437.03","218.52","430.41","415.43","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","1155.12","1.16","0.0","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","21.6","437.03","218.52","434.14","415.43","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","1155.12","1.14","0.0","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","21.6","437.03","218.52","432.2","415.43","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","1155.12","1.08","0.0","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","21.6","437.03","218.52","430.37","415.43","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","1155.12","1.0","0.0","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","21.6","437.03","218.52","429.23","415.43","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","1155.12","0.93","0.0","0.0","1.14","0.93","1.06","0.1","0.1","0.0","0.0","8.77","21.6","437.03","218.52","428.26","415.43","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","1155.12","0.86","0.0","0.0","1.5","0.86","1.3","0.0","0.0","0.0","0.0","10.06","21.6","437.03","218.52","426.97","415.43","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","1155.12","0.81","0.0","0.0","1.43","0.81","1.16","0.0","0.0","0.0","0.0","11.22","21.6","437.03","218.52","425.81","415.43","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","1155.12","0.76","0.0","0.0","1.64","0.76","1.25","0.0","0.0","0.0","0.0","12.47","21.6","437.03","218.52","424.56","415.43","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","1155.12","0.71","0.0","0.0","1.87","0.71","1.33","0.0","0.0","0.0","0.0","13.8","21.6","437.03","218.52","423.23","415.43","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","1155.12","0.67","0.0","0.0","1.98","0.67","1.33","0.0","0.0","0.0","0.0","15.13","21.6","437.03","218.52","421.9","415.43","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","1155.12","0.63","0.0","0.0","1.99","0.63","1.26","0.0","0.0","0.0","0.0","16.39","21.6","437.03","218.52","420.64","415.43","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","1155.12","0.6","0.0","0.0","1.96","0.6","1.18","0.0","0.0","0.0","0.0","17.57","21.6","437.03","218.52","419.46","415.43","0.0","","","","","","",""
