" Daily soil water balance output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","21.35","0.08","0.0","0.0","3.92","0.08","0.32","0.0","0.0","0.0","0.0","23.12","22.8","324.37","162.18","301.25","301.57","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","21.35","0.08","0.0","0.0","3.0","0.08","0.24","1.57","1.57","0.0","0.0","21.55","22.8","324.37","162.18","302.82","301.57","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","21.35","0.08","0.0","0.0","2.58","0.08","0.21","0.14","0.14","0.0","0.0","21.62","22.8","324.37","162.18","302.75","301.57","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","21.35","0.08","0.0","0.0","2.66","0.08","0.21","0.0","0.0","0.0","0.0","21.83","22.8","324.37","162.18","302.54","301.57","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","21.35","0.08","0.0","0.0","4.49","0.08","0.36","0.0","0.0","0.0","0.0","22.19","22.8","324.37","162.18","302.18","301.57","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","21.35","0.08","0.0","0.0","3.54","0.08","0.28","0.0","0.0","0.0","0.0","22.48","22.8","324.37","162.18","301.89","301.57","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","21.35","0.08","0.0","0.0","3.11","0.08","0.25","0.0","0.0","0.0","0.0","22.73","22.8","324.37","162.18","301.64","301.57","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","21.35","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","22.94","22.8","324.37","162.18","301.43","301.57","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","21.35","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","21.35","0.08","0.0","0.0","3.35","0.08","0.27","0.0","0.0","0.0","0.0","23.07","22.8","324.37","162.18","301.3","301.57","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","21.35","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","21.35","0.08","0.0","0.0","2.16","0.08","0.17","0.0","0.0","0.0","0.0","22.97","22.8","324.37","162.18","301.4","301.57","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","21.35","0.08","0.0","0.0","2.21","0.08","0.18","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","21.35","0.08","0.0","0.0","4.42","0.08","0.35","0.0","0.0","0.0","0.0","23.15","22.8","324.37","162.18","301.22","301.57","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","21.35","0.08","0.0","0.0","3.73","0.08","0.3","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","21.35","0.08","0.0","0.0","3.3","0.08","0.26","0.0","0.0","0.0","0.0","23.06","22.8","324.37","162.18","301.31","301.57","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","21.35","0.08","0.0","0.0","2.01","0.08","0.16","0.22","0.22","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","21.35","1.17","0.0","0.0","1.2","1.17","1.41","8.46","8.46","0.0","0.0","15.75","22.8","324.37","162.18","308.62","301.57","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","21.35","1.13","0.0","0.0","2.15","1.13","2.44","9.09","9.09","0.0","0.0","9.09","22.8","324.37","162.18","315.27","301.57","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","21.35","1.12","0.0","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","12.54","22.8","324.37","162.18","311.83","301.57","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","21.35","1.05","0.0","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","14.32","22.8","324.37","162.18","310.05","301.57","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","21.35","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","16.06","22.8","324.37","162.18","308.31","301.57","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","21.35","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","17.47","22.8","324.37","162.18","306.9","301.57","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","21.35","0.81","0.0","0.0","1.19","0.81","0.97","0.01","0.01","0.0","0.0","18.43","22.8","324.37","162.18","305.94","301.57","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","21.35","1.18","0.0","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","15.25","22.8","324.37","162.18","309.12","301.57","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","21.35","1.17","0.0","0.0","1.27","1.17","1.48","8.55","8.55","0.0","0.0","8.19","22.8","324.37","162.18","316.18","301.57","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","21.35","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","9.6","22.8","324.37","162.18","314.77","301.57","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","21.35","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","11.21","22.8","324.37","162.18","313.15","301.57","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","21.35","1.17","0.0","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","12.77","22.8","324.37","162.18","311.6","301.57","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","21.35","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","14.24","22.8","324.37","162.18","310.13","301.57","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","21.35","0.97","0.0","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","15.16","22.8","324.37","162.18","309.21","301.57","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","21.35","1.11","0.0","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","14.73","22.8","324.37","162.18","309.63","301.57","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","21.35","1.14","0.0","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","16.37","22.8","324.37","162.18","308.0","301.57","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","21.35","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","17.88","22.8","324.37","162.18","306.49","301.57","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","21.35","1.07","0.0","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","19.31","22.8","324.37","162.18","305.06","301.57","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","21.35","0.97","0.0","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","20.86","22.8","324.37","162.18","303.51","301.57","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","21.35","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","22.16","22.8","324.37","162.18","302.21","301.57","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","21.35","0.84","0.0","0.0","1.29","0.84","1.08","0.0","0.0","0.0","0.0","23.24","22.8","324.37","162.18","301.12","301.57","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","21.35","0.79","0.0","0.0","1.46","0.79","1.15","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","21.35","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","23.83","22.8","324.37","162.18","300.54","301.57","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","21.35","1.18","0.0","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","21.77","22.8","324.37","162.18","302.6","301.57","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","21.35","1.17","0.0","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","23.71","22.8","324.37","162.18","300.65","301.57","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","21.35","1.15","0.0","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","21.35","1.08","0.0","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","24.57","22.8","324.37","162.18","299.8","301.57","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","21.35","0.99","0.0","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","21.35","0.93","0.0","0.0","1.01","0.93","0.94","0.0","0.0","0.0","0.0","23.74","22.8","324.37","162.18","300.63","301.57","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","21.35","0.88","0.0","0.0","1.2","0.88","1.05","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","21.35","0.83","0.0","0.0","1.11","0.83","0.92","0.0","0.0","0.0","0.0","23.72","22.8","324.37","162.18","300.64","301.57","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","21.35","0.79","0.0","0.0","1.16","0.79","0.92","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","21.35","1.18","0.0","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","16.26","22.8","324.37","162.18","308.11","301.57","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","21.35","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","17.16","22.8","324.37","162.18","307.21","301.57","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","21.35","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","18.61","22.8","324.37","162.18","305.75","301.57","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","21.35","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","19.7","22.8","324.37","162.18","304.67","301.57","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","21.35","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","20.37","22.8","324.37","162.18","303.99","301.57","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","21.35","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","21.51","22.8","324.37","162.18","302.86","301.57","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","21.35","1.09","0.0","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","22.1","22.8","324.37","162.18","302.26","301.57","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","21.35","1.18","0.0","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","16.13","22.8","324.37","162.18","308.24","301.57","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","21.35","1.18","0.0","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","16.66","22.8","324.37","162.18","307.71","301.57","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","21.35","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","18.17","22.8","324.37","162.18","306.2","301.57","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","21.35","1.16","0.0","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","9.66","22.8","324.37","162.18","314.71","301.57","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","21.35","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","11.9","22.8","324.37","162.18","312.47","301.57","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","21.35","1.16","0.0","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","12.93","22.8","324.37","162.18","311.44","301.57","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","21.35","1.17","0.0","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","14.06","22.8","324.37","162.18","310.31","301.57","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","21.35","1.1","0.0","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","15.34","22.8","324.37","162.18","309.03","301.57","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","21.35","1.19","0.0","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","8.76","22.8","324.37","162.18","315.61","301.57","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","21.35","1.2","0.0","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","8.42","22.8","324.37","162.18","315.95","301.57","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","21.35","1.2","0.0","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","4.66","22.8","324.37","162.18","319.71","301.57","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","21.35","1.17","0.0","0.0","1.15","1.17","1.35","8.62","6.01","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","21.35","1.17","0.0","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","1.63","22.8","324.37","162.18","322.74","301.57","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","21.35","1.17","0.0","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","2.62","22.8","324.37","162.18","321.75","301.57","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","21.35","1.19","0.0","0.0","0.87","1.19","1.03","4.18","3.65","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","21.35","1.17","0.0","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","1.76","22.8","324.37","162.18","322.61","301.57","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","21.35","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","2.44","22.8","324.37","162.18","321.92","301.57","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","21.35","1.19","0.0","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","2.28","22.8","324.37","162.18","322.09","301.57","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","21.35","1.19","0.0","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","3.15","22.8","324.37","162.18","321.22","301.57","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","21.35","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","4.07","22.8","324.37","162.18","320.3","301.57","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","21.35","1.19","0.0","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","5.3","22.8","324.37","162.18","319.06","301.57","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","21.35","1.18","0.0","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","6.92","22.8","324.37","162.18","317.45","301.57","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","21.35","1.15","0.0","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","8.27","22.8","324.37","162.18","316.1","301.57","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","21.35","1.05","0.0","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","9.52","22.8","324.37","162.18","314.85","301.57","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","21.35","0.99","0.0","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","9.78","22.8","324.37","162.18","314.58","301.57","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","21.35","1.18","0.0","0.0","0.88","1.18","1.04","15.0","10.83","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","21.35","1.19","0.0","0.0","0.83","1.19","0.99","15.19","0.99","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","21.35","1.2","0.0","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","21.35","1.19","0.0","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","22.8","324.37","162.18","323.58","301.57","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","21.35","1.19","0.0","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","22.8","324.37","162.18","324.18","301.57","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","21.35","1.18","0.0","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","22.8","324.37","162.18","324.34","301.57","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","21.35","1.18","0.0","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","22.8","324.37","162.18","323.2","301.57","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","21.35","1.18","0.0","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","22.8","324.37","162.18","322.25","301.57","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","21.35","1.17","0.0","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","22.8","324.37","162.18","322.68","301.57","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","21.35","1.19","0.0","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","21.35","1.19","0.0","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","21.35","1.19","0.0","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","21.35","1.19","0.0","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","21.35","1.17","0.0","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","21.35","1.17","0.0","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","21.35","1.18","0.0","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","21.35","1.18","0.0","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","22.8","324.37","162.18","323.15","301.57","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","21.35","1.18","0.0","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","22.8","324.37","162.18","322.2","301.57","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","21.35","1.16","0.0","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","21.35","1.17","0.0","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","22.8","324.37","162.18","324.11","301.57","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","21.35","1.17","0.0","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","22.8","324.37","162.18","322.81","301.57","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","21.35","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","22.8","324.37","162.18","321.59","301.57","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","21.35","1.14","0.0","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","22.8","324.37","162.18","320.05","301.57","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","21.35","1.06","0.0","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","22.8","324.37","162.18","319.07","301.57","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","21.35","0.99","0.0","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","22.8","324.37","162.18","318.51","301.57","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","21.35","1.16","0.0","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","22.8","324.37","162.18","323.73","301.57","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","21.35","1.14","0.0","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","22.8","324.37","162.18","321.6","301.57","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","21.35","1.08","0.0","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","22.8","324.37","162.18","318.74","301.57","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","21.35","1.0","0.0","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","22.8","324.37","162.18","317.66","301.57","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","21.35","0.94","0.0","0.0","1.07","0.94","1.01","0.4","0.4","0.0","0.0","7.32","22.8","324.37","162.18","317.05","301.57","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","21.35","0.87","0.0","0.0","1.51","0.87","1.31","0.0","0.0","0.0","0.0","8.63","22.8","324.37","162.18","315.74","301.57","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","21.35","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","9.77","22.8","324.37","162.18","314.6","301.57","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","21.35","0.77","0.0","0.0","1.63","0.77","1.25","0.0","0.0","0.0","0.0","11.02","22.8","324.37","162.18","313.35","301.57","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","21.35","0.72","0.0","0.0","1.9","0.72","1.36","0.0","0.0","0.0","0.0","12.38","22.8","324.37","162.18","311.99","301.57","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","21.35","0.67","0.0","0.0","2.02","0.67","1.36","0.0","0.0","0.0","0.0","13.74","22.8","324.37","162.18","310.63","301.57","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","21.35","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","14.98","22.8","324.37","162.18","309.38","301.57","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","21.35","0.61","0.0","0.0","1.92","0.61","1.17","0.0","0.0","0.0","0.0","16.15","22.8","324.37","162.18","308.22","301.57","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","21.35","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","17.18","22.8","324.37","162.18","307.19","301.57","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","21.35","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","22.8","324.37","162.18","306.15","301.57","0.0","","","","","","",""
