" Daily soil water balance output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","3117.75","0.08","0.0","0.0","3.93","0.08","0.32","0.0","0.0","0.0","0.0","25.07","24.75","514.57","257.29","489.51","489.82","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","3117.75","0.08","0.0","0.0","2.96","0.08","0.24","2.76","2.76","0.0","0.0","22.31","24.75","514.57","257.29","492.27","489.82","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","3117.75","0.08","0.0","0.0","2.48","0.08","0.2","0.11","0.11","0.0","0.0","22.39","24.75","514.57","257.29","492.18","489.82","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","3117.75","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","22.61","24.75","514.57","257.29","491.97","489.82","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","3117.75","0.08","0.0","0.0","4.68","0.08","0.37","0.0","0.0","0.0","0.0","22.98","24.75","514.57","257.29","491.59","489.82","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","3117.75","0.08","0.0","0.0","3.66","0.08","0.29","0.0","0.0","0.0","0.0","23.27","24.75","514.57","257.29","491.3","489.82","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","3117.75","0.08","0.0","0.0","3.17","0.08","0.25","0.0","0.0","0.0","0.0","23.53","24.75","514.57","257.29","491.05","489.82","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","3117.75","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","23.73","24.75","514.57","257.29","490.84","489.82","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","3117.75","0.08","0.0","0.0","2.57","0.08","0.2","0.0","0.0","0.0","0.0","23.94","24.75","514.57","257.29","490.63","489.82","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","3117.75","0.08","0.0","0.0","3.42","0.08","0.27","0.0","0.0","0.0","0.0","24.21","24.75","514.57","257.29","490.36","489.82","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","3117.75","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","24.41","24.75","514.57","257.29","490.16","489.82","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","3117.75","0.08","0.0","0.0","2.19","0.08","0.17","0.0","0.0","0.0","0.0","24.58","24.75","514.57","257.29","489.99","489.82","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","3117.75","0.08","0.0","0.0","2.2","0.08","0.17","0.0","0.0","0.0","0.0","24.76","24.75","514.57","257.29","489.81","489.82","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","3117.75","0.08","0.0","0.0","4.44","0.08","0.35","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","3117.75","0.08","0.0","0.0","3.82","0.08","0.3","0.0","0.0","0.0","0.0","25.05","24.75","514.57","257.29","489.52","489.82","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","3117.75","0.08","0.0","0.0","3.38","0.08","0.27","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","3117.75","0.08","0.0","0.0","1.79","0.08","0.14","0.0","0.0","0.0","0.0","24.89","24.75","514.57","257.29","489.68","489.82","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","3117.75","1.17","0.0","0.0","1.2","1.17","1.41","9.97","9.97","0.0","0.0","14.92","24.75","514.57","257.29","499.65","489.82","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","3117.75","1.13","0.0","0.0","2.18","1.13","2.47","7.72","7.72","0.0","0.0","9.67","24.75","514.57","257.29","504.9","489.82","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","3117.75","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","13.1","24.75","514.57","257.29","501.47","489.82","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","3117.75","1.05","0.0","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","14.86","24.75","514.57","257.29","499.71","489.82","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","3117.75","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","16.6","24.75","514.57","257.29","497.97","489.82","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","3117.75","0.86","0.0","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","18.02","24.75","514.57","257.29","496.55","489.82","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","3117.75","0.82","0.0","0.0","1.14","0.82","0.93","0.0","0.0","0.0","0.0","18.95","24.75","514.57","257.29","495.62","489.82","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","3117.75","1.18","0.0","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","15.67","24.75","514.57","257.29","498.9","489.82","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","3117.75","1.17","0.0","0.0","1.29","1.17","1.51","10.75","10.75","0.0","0.0","6.43","24.75","514.57","257.29","508.15","489.82","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","3117.75","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","7.84","24.75","514.57","257.29","506.73","489.82","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","3117.75","1.17","0.0","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","9.44","24.75","514.57","257.29","505.13","489.82","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","3117.75","1.17","0.0","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","10.98","24.75","514.57","257.29","503.59","489.82","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","3117.75","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","12.46","24.75","514.57","257.29","502.12","489.82","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","3117.75","1.15","0.0","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","12.46","24.75","514.57","257.29","502.12","489.82","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","3117.75","1.12","0.0","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","11.93","24.75","514.57","257.29","502.64","489.82","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","3117.75","1.14","0.0","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","13.56","24.75","514.57","257.29","501.02","489.82","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","3117.75","1.15","0.0","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","15.05","24.75","514.57","257.29","499.52","489.82","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","3117.75","1.08","0.0","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","16.47","24.75","514.57","257.29","498.1","489.82","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","3117.75","0.97","0.0","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","18.07","24.75","514.57","257.29","496.5","489.82","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","3117.75","0.89","0.0","0.0","1.48","0.89","1.32","0.0","0.0","0.0","0.0","19.39","24.75","514.57","257.29","495.18","489.82","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","3117.75","0.84","0.0","0.0","1.31","0.84","1.1","0.0","0.0","0.0","0.0","20.49","24.75","514.57","257.29","494.08","489.82","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","3117.75","0.79","0.0","0.0","1.51","0.79","1.19","0.0","0.0","0.0","0.0","21.68","24.75","514.57","257.29","492.89","489.82","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","3117.75","0.75","0.0","0.0","1.36","0.75","1.02","0.0","0.0","0.0","0.0","22.7","24.75","514.57","257.29","491.87","489.82","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","3117.75","0.72","0.0","0.0","1.02","0.72","0.74","1.19","1.19","0.0","0.0","22.25","24.75","514.57","257.29","492.32","489.82","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","3117.75","0.68","0.0","0.0","1.78","0.68","1.22","0.0","0.0","0.0","0.0","23.47","24.75","514.57","257.29","491.1","489.82","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","3117.75","0.64","0.0","0.0","2.51","0.64","1.6","0.0","0.0","0.0","0.0","25.07","24.75","514.57","257.29","489.5","489.82","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","3117.75","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","3117.75","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","25.56","24.75","514.57","257.29","489.01","489.82","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","3117.75","0.58","0.0","0.0","1.02","0.58","0.59","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","3117.75","0.57","0.0","0.0","1.17","0.57","0.66","0.0","0.0","0.0","0.0","25.41","24.75","514.57","257.29","489.16","489.82","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","3117.75","0.55","0.0","0.0","1.11","0.55","0.61","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","3117.75","0.54","0.0","0.0","1.12","0.54","0.61","0.0","0.0","0.0","0.0","25.36","24.75","514.57","257.29","489.22","489.82","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","3117.75","1.18","0.0","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","17.82","24.75","514.57","257.29","496.76","489.82","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","3117.75","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","18.72","24.75","514.57","257.29","495.86","489.82","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","3117.75","1.18","0.0","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","20.1","24.75","514.57","257.29","494.47","489.82","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","3117.75","1.18","0.0","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","21.12","24.75","514.57","257.29","493.45","489.82","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","3117.75","1.18","0.0","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","21.78","24.75","514.57","257.29","492.8","489.82","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","3117.75","1.18","0.0","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","22.84","24.75","514.57","257.29","491.73","489.82","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","3117.75","1.17","0.0","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","22.71","24.75","514.57","257.29","491.86","489.82","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","3117.75","1.18","0.0","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","20.57","24.75","514.57","257.29","494.0","489.82","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","3117.75","1.18","0.0","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","21.5","24.75","514.57","257.29","493.07","489.82","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","3117.75","1.18","0.0","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","22.96","24.75","514.57","257.29","491.61","489.82","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","3117.75","1.16","0.0","0.0","1.53","1.16","1.77","10.75","10.75","0.0","0.0","13.99","24.75","514.57","257.29","500.58","489.82","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","3117.75","1.15","0.0","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","16.32","24.75","514.57","257.29","498.25","489.82","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","3117.75","1.16","0.0","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","17.31","24.75","514.57","257.29","497.27","489.82","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","3117.75","1.17","0.0","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","18.41","24.75","514.57","257.29","496.16","489.82","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","3117.75","1.1","0.0","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","19.69","24.75","514.57","257.29","494.88","489.82","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","3117.75","1.19","0.0","0.0","0.67","1.19","0.8","9.68","9.68","0.0","0.0","10.81","24.75","514.57","257.29","503.76","489.82","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","3117.75","1.2","0.0","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","11.04","24.75","514.57","257.29","503.53","489.82","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","3117.75","1.2","0.0","0.0","0.58","1.2","0.69","5.03","5.03","0.0","0.0","6.7","24.75","514.57","257.29","507.87","489.82","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","3117.75","1.18","0.0","0.0","1.08","1.18","1.27","4.97","4.97","0.0","0.0","3.0","24.75","514.57","257.29","511.57","489.82","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","3117.75","1.17","0.0","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","4.49","24.75","514.57","257.29","510.08","489.82","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","3117.75","1.18","0.0","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","5.57","24.75","514.57","257.29","509.0","489.82","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","3117.75","1.18","0.0","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","5.55","24.75","514.57","257.29","509.02","489.82","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","3117.75","1.17","0.0","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","7.38","24.75","514.57","257.29","507.19","489.82","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","3117.75","1.12","0.0","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","8.03","24.75","514.57","257.29","506.54","489.82","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","3117.75","1.06","0.0","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","8.22","24.75","514.57","257.29","506.35","489.82","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","3117.75","1.0","0.0","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","9.16","24.75","514.57","257.29","505.42","489.82","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","3117.75","0.95","0.0","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","9.9","24.75","514.57","257.29","504.67","489.82","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","3117.75","0.9","0.0","0.0","1.09","0.9","0.98","0.0","0.0","0.0","0.0","10.88","24.75","514.57","257.29","503.69","489.82","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","3117.75","0.84","0.0","0.0","1.45","0.84","1.22","0.0","0.0","0.0","0.0","12.09","24.75","514.57","257.29","502.48","489.82","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","3117.75","0.8","0.0","0.0","1.22","0.8","0.97","0.0","0.0","0.0","0.0","13.07","24.75","514.57","257.29","501.51","489.82","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","3117.75","0.76","0.0","0.0","1.21","0.76","0.92","0.0","0.0","0.0","0.0","13.99","24.75","514.57","257.29","500.59","489.82","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","3117.75","0.74","0.0","0.0","0.87","0.74","0.64","0.17","0.17","0.0","0.0","14.46","24.75","514.57","257.29","500.11","489.82","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","3117.75","1.19","0.0","0.0","0.85","1.19","1.01","18.14","15.47","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","3117.75","1.19","0.0","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","3117.75","1.2","0.0","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","3117.75","1.2","0.0","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","24.75","514.57","257.29","513.91","489.82","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","3117.75","1.19","0.0","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","3117.75","1.18","0.0","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","3117.75","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","24.75","514.57","257.29","513.41","489.82","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","3117.75","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","24.75","514.57","257.29","512.24","489.82","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","3117.75","1.17","0.0","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","3117.75","1.19","0.0","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","3117.75","1.19","0.0","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","3117.75","1.19","0.0","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","3117.75","1.19","0.0","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","3117.75","1.17","0.0","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","3117.75","1.17","0.0","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","3117.75","1.18","0.0","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","3117.75","1.18","0.0","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","24.75","514.57","257.29","513.25","489.82","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","3117.75","1.18","0.0","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","24.75","514.57","257.29","512.94","489.82","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","3117.75","1.16","0.0","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","3117.75","1.18","0.0","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","3117.75","1.17","0.0","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","24.75","514.57","257.29","513.55","489.82","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","3117.75","1.18","0.0","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","24.75","514.57","257.29","512.36","489.82","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","3117.75","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","24.75","514.57","257.29","510.72","489.82","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","3117.75","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","24.75","514.57","257.29","509.68","489.82","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","3117.75","1.1","0.0","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","24.75","514.57","257.29","508.84","489.82","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","3117.75","1.16","0.0","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","24.75","514.57","257.29","513.07","489.82","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","3117.75","1.14","0.0","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","24.75","514.57","257.29","510.3","489.82","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","3117.75","1.08","0.0","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","24.75","514.57","257.29","507.51","489.82","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","3117.75","1.01","0.0","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","24.75","514.57","257.29","506.43","489.82","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","3117.75","0.95","0.0","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","24.75","514.57","257.29","506.28","489.82","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","3117.75","0.88","0.0","0.0","1.53","0.88","1.34","0.02","0.02","0.0","0.0","9.61","24.75","514.57","257.29","504.96","489.82","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","3117.75","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","10.75","24.75","514.57","257.29","503.82","489.82","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","3117.75","0.77","0.0","0.0","1.63","0.77","1.26","0.0","0.0","0.0","0.0","12.01","24.75","514.57","257.29","502.57","489.82","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","3117.75","0.72","0.0","0.0","1.96","0.72","1.41","0.0","0.0","0.0","0.0","13.41","24.75","514.57","257.29","501.16","489.82","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","3117.75","0.67","0.0","0.0","2.08","0.67","1.4","0.0","0.0","0.0","0.0","14.81","24.75","514.57","257.29","499.76","489.82","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","3117.75","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","16.06","24.75","514.57","257.29","498.51","489.82","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","3117.75","0.61","0.0","0.0","1.91","0.61","1.16","0.0","0.0","0.0","0.0","17.22","24.75","514.57","257.29","497.35","489.82","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","3117.75","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","18.25","24.75","514.57","257.29","496.32","489.82","0.0","","","","","","",""
