" Daily soil water balance output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","8087.82","0.08","0.95","0.0","3.93","0.95","3.73","0.0","0.0","0.0","0.0","3.73","47.43","201.17","100.58","197.43","153.74","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","8087.82","0.08","0.95","0.0","2.96","0.95","2.81","2.76","2.76","0.0","0.0","3.79","47.43","201.17","100.58","197.38","153.74","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","8087.82","0.08","0.95","0.0","2.48","0.95","2.36","0.11","0.11","0.0","0.0","6.03","47.43","201.17","100.58","195.14","153.74","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","8087.82","0.08","0.95","0.0","2.63","0.95","2.5","0.0","0.0","0.0","0.0","8.53","47.43","201.17","100.58","192.64","153.74","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","8087.82","0.08","0.95","0.0","4.68","0.95","4.45","0.0","0.0","0.0","0.0","12.98","47.43","201.17","100.58","188.19","153.74","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","8087.82","0.08","0.95","0.0","3.66","0.95","3.48","0.0","0.0","0.0","0.0","16.45","47.43","201.17","100.58","184.72","153.74","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","8087.82","0.08","0.95","0.0","3.17","0.95","3.01","0.0","0.0","0.0","0.0","19.46","47.43","201.17","100.58","181.7","153.74","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","8087.82","0.08","0.95","0.0","2.61","0.95","2.48","0.0","0.0","0.0","0.0","21.94","47.43","201.17","100.58","179.22","153.74","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","8087.82","0.08","0.95","0.0","2.57","0.95","2.44","0.0","0.0","0.0","0.0","24.39","47.43","201.17","100.58","176.78","153.74","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","8087.82","0.08","0.95","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","27.63","47.43","201.17","100.58","173.53","153.74","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","8087.82","0.08","0.95","0.0","2.51","0.95","2.38","0.0","0.0","0.0","0.0","30.02","47.43","201.17","100.58","171.15","153.74","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","8087.82","0.08","0.95","0.0","2.19","0.95","2.08","0.0","0.0","0.0","0.0","32.1","47.43","201.17","100.58","169.07","153.74","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","8087.82","0.08","0.95","0.0","2.2","0.95","2.09","0.0","0.0","0.0","0.0","34.19","47.43","201.17","100.58","166.98","153.74","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","8087.82","0.08","0.95","0.0","4.44","0.95","4.22","0.0","0.0","0.0","0.0","38.41","47.43","201.17","100.58","162.76","153.74","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","8087.82","0.08","0.95","0.0","3.82","0.95","3.63","0.0","0.0","0.0","0.0","42.04","47.43","201.17","100.58","159.13","153.74","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","8087.82","0.08","0.95","0.0","3.38","0.95","3.21","0.0","0.0","0.0","0.0","45.25","47.43","201.17","100.58","155.92","153.74","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","8087.82","0.08","0.95","0.0","1.79","0.95","1.7","0.0","0.0","0.0","0.0","46.95","47.43","201.17","100.58","154.22","153.74","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","8087.82","1.17","0.95","0.0","1.2","1.17","1.41","9.97","9.97","0.0","0.0","38.38","47.43","201.17","100.58","162.78","153.74","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","8087.82","1.13","0.95","0.0","2.18","1.13","2.47","7.72","7.72","0.0","0.0","33.13","47.43","201.17","100.58","168.03","153.74","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","8087.82","1.11","0.95","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","36.57","47.43","201.17","100.58","164.6","153.74","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","8087.82","1.05","0.95","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","38.33","47.43","201.17","100.58","162.84","153.74","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","8087.82","0.93","0.95","0.0","1.86","0.95","1.77","0.0","0.0","0.0","0.0","40.1","47.43","201.17","100.58","161.07","153.74","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","8087.82","0.86","0.95","0.0","1.66","0.95","1.58","0.0","0.0","0.0","0.0","41.67","47.43","201.17","100.58","159.5","153.74","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","8087.82","0.82","0.95","0.0","1.14","0.95","1.08","0.0","0.0","0.0","0.0","42.76","47.43","201.17","100.58","158.41","153.74","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","8087.82","1.18","0.95","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","39.47","47.43","201.17","100.58","161.7","153.74","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","8087.82","1.17","0.95","0.0","1.29","1.17","1.51","10.75","10.75","0.0","0.0","30.23","47.43","201.17","100.58","170.94","153.74","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","8087.82","1.17","0.95","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","31.64","47.43","201.17","100.58","169.52","153.74","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","8087.82","1.17","0.95","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","33.24","47.43","201.17","100.58","167.92","153.74","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","8087.82","1.17","0.95","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","34.79","47.43","201.17","100.58","166.38","153.74","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","8087.82","1.1","0.95","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","36.26","47.43","201.17","100.58","164.91","153.74","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","8087.82","1.15","0.95","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","36.26","47.43","201.17","100.58","164.91","153.74","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","8087.82","1.12","0.95","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","35.73","47.43","201.17","100.58","165.44","153.74","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","8087.82","1.14","0.95","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","37.36","47.43","201.17","100.58","163.81","153.74","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","8087.82","1.15","0.95","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","38.85","47.43","201.17","100.58","162.31","153.74","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","8087.82","1.08","0.95","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","40.27","47.43","201.17","100.58","160.89","153.74","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","8087.82","0.97","0.95","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","41.87","47.43","201.17","100.58","159.29","153.74","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","8087.82","0.89","0.95","0.0","1.48","0.95","1.41","0.0","0.0","0.0","0.0","43.28","47.43","201.17","100.58","157.89","153.74","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","8087.82","0.84","0.95","0.0","1.31","0.95","1.24","0.0","0.0","0.0","0.0","44.52","47.43","201.17","100.58","156.64","153.74","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","8087.82","0.79","0.95","0.0","1.51","0.95","1.43","0.0","0.0","0.0","0.0","45.96","47.43","201.17","100.58","155.21","153.74","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","8087.82","0.75","0.95","0.0","1.36","0.95","1.29","0.0","0.0","0.0","0.0","47.25","47.43","201.17","100.58","153.92","153.74","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","8087.82","0.72","0.95","0.0","1.02","0.95","0.97","1.19","1.19","0.0","0.0","47.03","47.43","201.17","100.58","154.14","153.74","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","8087.82","0.68","0.95","0.0","1.78","0.95","1.69","0.0","0.0","0.0","0.0","0.0","47.43","201.17","100.58","201.17","153.74","48.72","","","","","","",""
"2015.0","11.0","27.0","331.0","8087.82","0.64","0.95","0.0","2.51","0.95","2.38","0.0","0.0","0.0","0.0","2.38","47.43","201.17","100.58","198.78","153.74","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","8087.82","0.61","0.95","0.0","1.67","0.95","1.59","0.0","0.0","0.0","0.0","3.97","47.43","201.17","100.58","197.2","153.74","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","8087.82","0.59","0.95","0.0","1.37","0.95","1.3","0.0","0.0","0.0","0.0","5.27","47.43","201.17","100.58","195.9","153.74","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","8087.82","0.58","0.95","0.0","1.02","0.95","0.97","0.0","0.0","0.0","0.0","6.24","47.43","201.17","100.58","194.93","153.74","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","8087.82","0.57","0.95","0.0","1.17","0.95","1.11","0.0","0.0","0.0","0.0","7.35","47.43","201.17","100.58","193.82","153.74","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","8087.82","0.55","0.95","0.0","1.11","0.95","1.05","0.0","0.0","0.0","0.0","8.41","47.43","201.17","100.58","192.76","153.74","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","8087.82","0.54","0.95","0.0","1.12","0.95","1.06","0.0","0.0","0.0","0.0","9.47","47.43","201.17","100.58","191.7","153.74","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","8087.82","1.18","0.95","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","3.12","47.43","201.17","100.58","198.05","153.74","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","8087.82","1.18","0.95","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","4.02","47.43","201.17","100.58","197.14","153.74","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","8087.82","1.18","0.95","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","5.41","47.43","201.17","100.58","195.76","153.74","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","8087.82","1.18","0.95","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","6.43","47.43","201.17","100.58","194.74","153.74","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","8087.82","1.18","0.95","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","7.08","47.43","201.17","100.58","194.09","153.74","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","8087.82","1.18","0.95","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","8.15","47.43","201.17","100.58","193.02","153.74","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","8087.82","1.17","0.95","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","8.01","47.43","201.17","100.58","193.15","153.74","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","8087.82","1.18","0.95","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","5.88","47.43","201.17","100.58","195.29","153.74","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","8087.82","1.18","0.95","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","6.81","47.43","201.17","100.58","194.36","153.74","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","8087.82","1.18","0.95","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","8.27","47.43","201.17","100.58","192.9","153.74","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","8087.82","1.16","0.95","0.0","1.53","1.16","1.77","10.75","10.04","0.0","0.0","0.0","47.43","201.17","100.58","201.17","153.74","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","8087.82","1.15","0.95","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","2.33","47.43","201.17","100.58","198.84","153.74","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","8087.82","1.16","0.95","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","3.32","47.43","201.17","100.58","197.85","153.74","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","8087.82","1.17","0.95","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","4.43","47.43","201.17","100.58","196.74","153.74","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","8087.82","1.1","0.95","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","5.7","47.43","201.17","100.58","195.46","153.74","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","8087.82","1.19","0.95","0.0","0.67","1.19","0.8","9.68","6.5","0.0","0.0","0.0","47.43","201.17","100.58","201.17","153.74","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","8087.82","1.2","0.95","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","0.23","47.43","201.17","100.58","200.94","153.74","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","8087.82","1.2","0.95","0.0","0.58","1.2","0.69","5.03","0.92","0.0","0.0","0.0","47.43","201.17","100.58","201.17","153.74","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","8087.82","1.18","0.95","0.0","1.08","1.18","1.27","4.97","1.27","0.0","0.0","0.0","47.43","201.17","100.58","201.17","153.74","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","8087.82","1.17","0.95","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","1.49","47.43","201.17","100.58","199.68","153.74","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","8087.82","1.18","0.95","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","2.57","47.43","201.17","100.58","198.6","153.74","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","8087.82","1.18","0.95","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","2.55","47.43","201.17","100.58","198.62","153.74","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","8087.82","1.17","0.95","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","4.38","47.43","201.17","100.58","196.79","153.74","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","8087.82","1.12","0.95","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","5.03","47.43","201.17","100.58","196.14","153.74","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","8087.82","1.06","0.95","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","5.21","47.43","201.17","100.58","195.96","153.74","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","8087.82","1.0","0.95","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","6.15","47.43","201.17","100.58","195.02","153.74","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","8087.82","0.95","0.95","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","6.89","47.43","201.17","100.58","194.27","153.74","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","8087.82","0.9","0.95","0.0","1.09","0.95","1.04","0.0","0.0","0.0","0.0","7.93","47.43","201.17","100.58","193.24","153.74","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","8087.82","0.84","0.95","0.0","1.45","0.95","1.38","0.0","0.0","0.0","0.0","9.31","48.22","201.17","100.58","191.86","152.95","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","8087.82","0.8","0.95","0.0","1.22","0.95","1.16","0.0","0.0","0.0","0.0","10.47","48.22","201.17","100.58","190.7","152.95","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","8087.82","0.76","0.95","0.0","1.21","0.95","1.15","0.0","0.0","0.0","0.0","11.62","48.22","201.17","100.58","189.55","152.95","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","8087.82","0.74","0.95","0.0","0.87","0.95","0.83","0.17","0.17","0.0","0.0","12.27","48.22","201.17","100.58","188.9","152.95","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","8087.82","1.19","0.95","0.0","0.85","1.19","1.01","18.14","13.28","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","8087.82","1.19","0.95","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","8087.82","1.2","0.95","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","8087.82","1.2","0.95","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","48.22","201.17","100.58","200.5","152.95","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","8087.82","1.19","0.95","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","8087.82","1.18","0.95","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","8087.82","1.18","0.95","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","48.22","201.17","100.58","200.01","152.95","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","8087.82","1.18","0.95","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","48.22","201.17","100.58","198.84","152.95","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","8087.82","1.17","0.95","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","8087.82","1.19","0.95","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","8087.82","1.19","0.95","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","8087.82","1.19","0.95","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","8087.82","1.19","0.95","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","8087.82","1.17","0.95","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","8087.82","1.17","0.95","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","8087.82","1.18","0.95","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","8087.82","1.18","0.95","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","48.22","201.17","100.58","199.85","152.95","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","8087.82","1.18","0.95","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","48.22","201.17","100.58","199.54","152.95","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","8087.82","1.16","0.95","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","8087.82","1.18","0.95","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","8087.82","1.17","0.95","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","48.22","201.17","100.58","200.15","152.95","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","8087.82","1.18","0.95","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","48.22","201.17","100.58","198.96","152.95","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","8087.82","1.17","0.95","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","48.22","201.17","100.58","197.32","152.95","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","8087.82","1.18","0.95","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","48.22","201.17","100.58","196.27","152.95","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","8087.82","1.1","0.95","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","48.22","201.17","100.58","195.43","152.95","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","8087.82","1.16","0.95","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","48.22","201.17","100.58","199.66","152.95","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","8087.82","1.14","0.95","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","48.22","201.17","100.58","196.9","152.95","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","8087.82","1.08","0.95","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","48.22","201.17","100.58","194.1","152.95","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","8087.82","1.01","0.95","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","48.22","201.17","100.58","193.03","152.95","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","8087.82","0.95","0.95","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","48.22","201.17","100.58","192.88","152.95","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","8087.82","0.88","0.95","0.0","1.53","0.95","1.45","0.02","0.02","0.0","0.0","9.72","48.22","201.17","100.58","191.45","152.95","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","8087.82","0.82","0.95","0.0","1.39","0.95","1.32","0.0","0.0","0.0","0.0","11.04","48.22","201.17","100.58","190.13","152.95","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","8087.82","0.77","0.95","0.0","1.63","0.95","1.55","0.0","0.0","0.0","0.0","12.59","48.22","201.17","100.58","188.58","152.95","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","8087.82","0.72","0.95","0.0","1.96","0.95","1.86","0.0","0.0","0.0","0.0","14.45","48.22","201.17","100.58","186.72","152.95","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","8087.82","0.67","0.95","0.0","2.08","0.95","1.98","0.0","0.0","0.0","0.0","16.43","48.22","201.17","100.58","184.74","152.95","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","8087.82","0.64","0.95","0.0","1.96","0.95","1.86","0.0","0.0","0.0","0.0","18.29","48.22","201.17","100.58","182.88","152.95","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","8087.82","0.61","0.95","0.0","1.91","0.95","1.81","0.0","0.0","0.0","0.0","20.1","48.22","201.17","100.58","181.06","152.95","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","8087.82","0.58","0.95","0.0","1.76","0.95","1.67","0.0","0.0","0.0","0.0","21.78","48.22","201.17","100.58","179.39","152.95","0.0","","","","","","",""
