" Daily soil water balance output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","7693.29","0.08","0.8","0.0","3.92","0.8","3.14","0.0","0.0","0.0","0.0","25.74","27.23","112.0","56.0","86.26","84.77","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","7693.29","0.08","0.8","0.0","2.85","0.8","2.28","5.05","5.05","0.0","0.0","22.97","27.23","112.0","56.0","89.03","84.77","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","7693.29","0.08","0.8","0.0","2.5","0.8","2.0","0.37","0.37","0.0","0.0","24.6","27.23","112.0","56.0","87.4","84.77","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","7693.29","0.08","0.8","0.0","2.61","0.8","2.09","0.0","0.0","0.0","0.0","26.68","27.23","112.0","56.0","85.32","84.77","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","7693.29","0.08","0.8","0.0","4.72","0.8","3.78","0.0","0.0","0.0","0.0","0.0","27.23","112.0","56.0","112.0","84.77","30.46","","","","","","",""
"2015.0","10.0","21.0","294.0","7693.29","0.08","0.8","0.0","3.68","0.8","2.94","0.0","0.0","0.0","0.0","2.94","27.23","112.0","56.0","109.06","84.77","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","7693.29","0.08","0.8","0.0","3.2","0.8","2.56","0.0","0.0","0.0","0.0","5.5","27.23","112.0","56.0","106.5","84.77","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","7693.29","0.08","0.8","0.0","2.62","0.8","2.1","0.0","0.0","0.0","0.0","7.6","27.23","112.0","56.0","104.4","84.77","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","7693.29","0.08","0.8","0.0","2.61","0.8","2.09","0.0","0.0","0.0","0.0","9.69","27.23","112.0","56.0","102.31","84.77","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","7693.29","0.08","0.8","0.0","3.46","0.8","2.77","0.0","0.0","0.0","0.0","12.46","27.23","112.0","56.0","99.54","84.77","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","7693.29","0.08","0.8","0.0","2.53","0.8","2.02","0.0","0.0","0.0","0.0","14.48","27.23","112.0","56.0","97.52","84.77","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","7693.29","0.08","0.8","0.0","2.23","0.8","1.78","0.0","0.0","0.0","0.0","16.26","27.23","112.0","56.0","95.74","84.77","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","7693.29","0.08","0.8","0.0","2.18","0.8","1.74","0.0","0.0","0.0","0.0","18.01","27.23","112.0","56.0","93.99","84.77","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","7693.29","0.08","0.8","0.0","4.41","0.8","3.53","0.0","0.0","0.0","0.0","21.54","27.23","112.0","56.0","90.46","84.77","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","7693.29","0.08","0.8","0.0","3.84","0.8","3.07","0.0","0.0","0.0","0.0","24.61","27.23","112.0","56.0","87.39","84.77","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","7693.29","0.08","0.8","0.0","3.42","0.8","2.74","0.0","0.0","0.0","0.0","0.0","27.23","112.0","56.0","112.0","84.77","27.34","","","","","","",""
"2015.0","11.0","1.0","305.0","7693.29","0.08","0.8","0.0","1.7","0.8","1.36","0.0","0.0","0.0","0.0","1.36","27.23","112.0","56.0","110.64","84.77","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","7693.29","1.17","0.8","0.0","1.15","1.17","1.35","10.84","2.71","0.0","0.0","0.0","27.23","112.0","56.0","112.0","84.77","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","7693.29","1.13","0.8","0.0","2.17","1.13","2.46","6.03","2.46","0.0","0.0","0.0","27.23","112.0","56.0","112.0","84.77","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","7693.29","1.12","0.8","0.0","3.06","1.12","3.41","0.0","0.0","0.0","0.0","3.41","27.23","112.0","56.0","108.59","84.77","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","7693.29","1.05","0.8","0.0","1.69","1.05","1.77","0.0","0.0","0.0","0.0","5.19","27.23","112.0","56.0","106.81","84.77","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","7693.29","0.93","0.8","0.0","1.86","0.93","1.74","0.0","0.0","0.0","0.0","6.92","27.23","112.0","56.0","105.08","84.77","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","7693.29","0.86","0.8","0.0","1.67","0.86","1.43","0.0","0.0","0.0","0.0","8.36","27.23","112.0","56.0","103.64","84.77","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","7693.29","0.82","0.8","0.0","1.14","0.82","0.93","0.0","0.0","0.0","0.0","9.29","27.23","112.0","56.0","102.71","84.77","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","7693.29","1.18","0.8","0.0","0.95","1.18","1.12","5.71","5.71","0.0","0.0","4.7","27.23","112.0","56.0","107.3","84.77","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","7693.29","1.17","0.8","0.0","1.28","1.17","1.5","11.04","6.2","0.0","0.0","0.0","27.23","112.0","56.0","112.0","84.77","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","7693.29","1.17","0.8","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","1.42","27.23","112.0","56.0","110.58","84.77","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","7693.29","1.17","0.8","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","3.02","27.23","112.0","56.0","108.98","84.77","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","7693.29","1.17","0.8","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","4.56","27.23","112.0","56.0","107.44","84.77","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","7693.29","1.1","0.8","0.0","1.35","1.1","1.48","0.0","0.0","0.0","0.0","6.04","27.23","112.0","56.0","105.96","84.77","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","7693.29","1.15","0.8","0.0","1.65","1.15","1.9","2.75","2.75","0.0","0.0","5.2","27.23","112.0","56.0","106.8","84.77","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","7693.29","1.12","0.8","0.0","2.56","1.12","2.86","3.71","3.71","0.0","0.0","4.35","27.23","112.0","56.0","107.65","84.77","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","7693.29","1.14","0.8","0.0","1.42","1.14","1.62","0.0","0.0","0.0","0.0","5.97","27.23","112.0","56.0","106.03","84.77","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","7693.29","1.15","0.8","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","7.45","27.23","112.0","56.0","104.55","84.77","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","7693.29","1.09","0.8","0.0","1.31","1.09","1.43","0.0","0.0","0.0","0.0","8.88","27.23","112.0","56.0","103.12","84.77","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","7693.29","0.97","0.8","0.0","1.66","0.97","1.62","0.0","0.0","0.0","0.0","10.49","27.23","112.0","56.0","101.51","84.77","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","7693.29","0.9","0.8","0.0","1.49","0.9","1.33","0.0","0.0","0.0","0.0","11.83","27.23","112.0","56.0","100.17","84.77","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","7693.29","0.84","0.8","0.0","1.33","0.84","1.12","0.0","0.0","0.0","0.0","12.95","27.23","112.0","56.0","99.05","84.77","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","7693.29","0.79","0.8","0.0","1.53","0.8","1.22","0.0","0.0","0.0","0.0","14.17","27.23","112.0","56.0","97.83","84.77","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","7693.29","0.75","0.8","0.0","1.35","0.8","1.08","0.0","0.0","0.0","0.0","15.25","27.23","112.0","56.0","96.75","84.77","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","7693.29","0.72","0.8","0.0","1.01","0.8","0.81","1.34","1.34","0.0","0.0","14.72","27.23","112.0","56.0","97.28","84.77","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","7693.29","0.68","0.8","0.0","1.79","0.8","1.43","0.0","0.0","0.0","0.0","16.15","27.23","112.0","56.0","95.85","84.77","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","7693.29","0.64","0.8","0.0","2.54","0.8","2.03","0.0","0.0","0.0","0.0","18.18","27.23","112.0","56.0","93.82","84.77","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","7693.29","0.61","0.8","0.0","1.68","0.8","1.34","0.0","0.0","0.0","0.0","19.53","27.23","112.0","56.0","92.47","84.77","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","7693.29","0.59","0.8","0.0","1.39","0.8","1.11","0.0","0.0","0.0","0.0","20.64","27.23","112.0","56.0","91.36","84.77","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","7693.29","0.58","0.8","0.0","1.03","0.8","0.82","0.0","0.0","0.0","0.0","21.46","27.23","112.0","56.0","90.54","84.77","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","7693.29","0.56","0.8","0.0","1.16","0.8","0.93","0.0","0.0","0.0","0.0","22.39","27.23","112.0","56.0","89.61","84.77","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","7693.29","0.55","0.8","0.0","1.1","0.8","0.88","0.0","0.0","0.0","0.0","23.27","27.23","112.0","56.0","88.73","84.77","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","7693.29","0.54","0.8","0.0","1.16","0.8","0.93","0.0","0.0","0.0","0.0","24.2","27.23","112.0","56.0","87.8","84.77","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","7693.29","1.18","0.8","0.0","1.02","1.18","1.2","7.97","7.97","0.0","0.0","17.43","28.0","112.0","56.0","94.57","84.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","7693.29","1.18","0.8","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","18.35","28.0","112.0","56.0","93.65","84.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","7693.29","1.18","0.8","0.0","1.19","1.18","1.4","0.1","0.1","0.0","0.0","19.66","28.0","112.0","56.0","92.34","84.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","7693.29","1.18","0.8","0.0","0.91","1.18","1.07","0.2","0.2","0.0","0.0","20.53","28.0","112.0","56.0","91.47","84.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","7693.29","1.18","0.8","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","21.18","28.0","112.0","56.0","90.82","84.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","7693.29","1.18","0.8","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","22.25","28.0","112.0","56.0","89.75","84.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","7693.29","1.16","0.8","0.0","1.38","1.16","1.61","1.67","1.67","0.0","0.0","22.19","28.0","112.0","56.0","89.81","84.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","7693.29","1.18","0.8","0.0","1.03","1.18","1.21","2.92","2.92","0.0","0.0","20.48","28.0","112.0","56.0","91.52","84.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","7693.29","1.18","0.8","0.0","0.8","1.18","0.95","0.02","0.02","0.0","0.0","21.41","28.0","112.0","56.0","90.59","84.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","7693.29","1.18","0.8","0.0","1.21","1.18","1.43","0.0","0.0","0.0","0.0","22.84","28.0","112.0","56.0","89.16","84.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","7693.29","1.16","0.8","0.0","1.5","1.16","1.74","10.93","10.93","0.0","0.0","13.65","28.0","112.0","56.0","98.35","84.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","7693.29","1.15","0.8","0.0","2.04","1.15","2.34","0.0","0.0","0.0","0.0","15.99","28.0","112.0","56.0","96.01","84.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","7693.29","1.16","0.8","0.0","0.84","1.16","0.98","0.0","0.0","0.0","0.0","16.97","28.0","112.0","56.0","95.03","84.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","7693.29","1.17","0.8","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","18.09","28.0","112.0","56.0","93.91","84.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","7693.29","1.1","0.8","0.0","1.2","1.1","1.32","0.0","0.0","0.0","0.0","19.4","28.0","112.0","56.0","92.6","84.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","7693.29","1.19","0.8","0.0","0.65","1.19","0.78","11.42","11.42","0.0","0.0","8.76","28.0","112.0","56.0","103.24","84.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","7693.29","1.2","0.8","0.0","0.57","1.2","0.68","0.52","0.52","0.0","0.0","8.92","28.0","112.0","56.0","103.08","84.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","7693.29","1.2","0.8","0.0","0.57","1.2","0.68","4.37","4.37","0.0","0.0","5.23","28.0","112.0","56.0","106.77","84.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","7693.29","1.18","0.8","0.0","1.04","1.18","1.23","5.01","5.01","0.0","0.0","1.45","28.0","112.0","56.0","110.55","84.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","7693.29","1.18","0.8","0.0","1.21","1.18","1.42","0.0","0.0","0.0","0.0","2.87","28.0","112.0","56.0","109.13","84.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","7693.29","1.18","0.8","0.0","0.98","1.18","1.15","0.06","0.06","0.0","0.0","3.96","28.0","112.0","56.0","108.04","84.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","7693.29","1.18","0.8","0.0","0.84","1.18","0.99","0.63","0.63","0.0","0.0","4.33","28.0","112.0","56.0","107.67","84.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","7693.29","1.17","0.8","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","6.16","28.0","112.0","56.0","105.84","84.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","7693.29","1.13","0.8","0.0","0.59","1.13","0.67","0.0","0.0","0.0","0.0","6.83","28.0","112.0","56.0","105.17","84.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","7693.29","1.07","0.8","0.0","0.74","1.07","0.79","0.72","0.72","0.0","0.0","6.9","28.0","112.0","56.0","105.1","84.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","7693.29","1.01","0.8","0.0","0.94","1.01","0.94","0.0","0.0","0.0","0.0","7.84","28.0","112.0","56.0","104.16","84.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","7693.29","0.96","0.8","0.0","0.8","0.96","0.77","0.0","0.0","0.0","0.0","8.61","28.0","112.0","56.0","103.39","84.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","7693.29","0.9","0.8","0.0","1.11","0.9","1.0","0.0","0.0","0.0","0.0","9.61","28.0","112.0","56.0","102.39","84.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","7693.29","0.84","0.8","0.0","1.47","0.84","1.24","0.0","0.0","0.0","0.0","10.85","28.0","112.0","56.0","101.15","84.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","7693.29","0.8","0.8","0.0","1.23","0.8","0.98","0.0","0.0","0.0","0.0","11.83","27.29","112.0","56.0","100.17","84.71","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","7693.29","0.76","0.8","0.0","1.22","0.8","0.98","0.03","0.03","0.0","0.0","12.78","27.29","112.0","56.0","99.22","84.71","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","7693.29","0.74","0.8","0.0","0.87","0.8","0.7","0.11","0.11","0.0","0.0","13.36","27.29","112.0","56.0","98.64","84.71","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","7693.29","1.19","0.8","0.0","0.85","1.19","1.01","20.45","14.37","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","7693.29","1.19","0.8","0.0","0.81","1.19","0.96","14.56","0.96","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","7693.29","1.2","0.8","0.0","0.59","1.2","0.71","15.11","0.71","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","7693.29","1.2","0.8","0.0","0.63","1.2","0.75","0.35","0.35","0.0","0.0","0.4","27.29","112.0","56.0","111.6","84.71","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","7693.29","1.19","0.8","0.0","0.78","1.19","0.93","2.17","1.33","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","7693.29","1.18","0.8","0.0","0.91","1.18","1.08","1.16","1.08","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","7693.29","1.18","0.8","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","1.17","27.29","112.0","56.0","110.83","84.71","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","7693.29","1.18","0.8","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.36","27.29","112.0","56.0","109.64","84.71","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","7693.29","1.16","0.8","0.0","1.38","1.16","1.61","5.08","3.97","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","7693.29","1.19","0.8","0.0","0.66","1.19","0.79","3.03","0.79","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","7693.29","1.19","0.8","0.0","0.76","1.19","0.9","2.65","0.9","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","7693.29","1.19","0.8","0.0","0.79","1.19","0.94","6.67","0.94","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","7693.29","1.19","0.8","0.0","0.85","1.19","1.01","0.82","0.82","0.0","0.0","0.19","27.29","112.0","56.0","111.81","84.71","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","7693.29","1.17","0.8","0.0","1.19","1.17","1.4","27.69","1.58","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","7693.29","1.17","0.8","0.0","1.32","1.17","1.54","4.86","1.54","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","7693.29","1.18","0.8","0.0","1.02","1.18","1.2","17.56","1.2","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","7693.29","1.18","0.8","0.0","1.15","1.18","1.35","0.0","0.0","0.0","0.0","1.35","27.29","112.0","56.0","110.65","84.71","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","7693.29","1.17","0.8","0.0","1.19","1.17","1.4","1.27","1.27","0.0","0.0","1.48","27.29","112.0","56.0","110.52","84.71","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","7693.29","1.16","0.8","0.0","1.42","1.16","1.65","11.25","3.13","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","7693.29","1.18","0.8","0.0","1.06","1.18","1.25","1.61","1.25","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","7693.29","1.17","0.8","0.0","1.24","1.17","1.46","0.53","0.53","0.0","0.0","0.93","27.29","112.0","56.0","111.07","84.71","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","7693.29","1.18","0.8","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.11","27.29","112.0","56.0","109.89","84.71","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","7693.29","1.17","0.8","0.0","1.43","1.17","1.68","0.0","0.0","0.0","0.0","3.79","27.29","112.0","56.0","108.21","84.71","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","7693.29","1.17","0.8","0.0","0.9","1.17","1.06","0.0","0.0","0.0","0.0","4.85","27.29","112.0","56.0","107.15","84.71","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","7693.29","1.09","0.8","0.0","1.04","1.09","1.13","0.41","0.41","0.0","0.0","5.57","27.29","112.0","56.0","106.43","84.71","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","7693.29","1.16","0.8","0.0","1.48","1.16","1.72","6.32","6.32","0.0","0.0","0.97","27.29","112.0","56.0","111.03","84.71","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","7693.29","1.14","0.8","0.0","2.4","1.14","2.74","0.0","0.0","0.0","0.0","3.71","27.29","112.0","56.0","108.29","84.71","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","7693.29","1.09","0.8","0.0","2.55","1.09","2.78","0.0","0.0","0.0","0.0","6.5","27.29","112.0","56.0","105.5","84.71","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","7693.29","1.02","0.8","0.0","1.04","1.02","1.06","0.0","0.0","0.0","0.0","7.56","27.29","112.0","56.0","104.44","84.71","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","7693.29","0.96","0.8","0.0","1.02","0.96","0.98","1.19","1.19","0.0","0.0","7.34","27.29","112.0","56.0","104.66","84.71","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","7693.29","0.88","0.8","0.0","1.55","0.88","1.37","0.0","0.0","0.0","0.0","8.71","27.29","112.0","56.0","103.29","84.71","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","7693.29","0.83","0.8","0.0","1.4","0.83","1.16","0.0","0.0","0.0","0.0","9.86","27.29","112.0","56.0","102.14","84.71","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","7693.29","0.77","0.8","0.0","1.66","0.8","1.33","0.0","0.0","0.0","0.0","11.19","27.29","112.0","56.0","100.81","84.71","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","7693.29","0.72","0.8","0.0","2.01","0.8","1.61","0.0","0.0","0.0","0.0","12.8","27.29","112.0","56.0","99.2","84.71","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","7693.29","0.67","0.8","0.0","2.12","0.8","1.7","0.0","0.0","0.0","0.0","14.5","27.29","112.0","56.0","97.5","84.71","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","7693.29","0.64","0.8","0.0","1.99","0.8","1.59","0.0","0.0","0.0","0.0","16.09","27.29","112.0","56.0","95.91","84.71","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","7693.29","0.61","0.8","0.0","1.95","0.8","1.56","0.0","0.0","0.0","0.0","17.65","27.29","112.0","56.0","94.35","84.71","0.0","","","","","","",""
