" Daily soil water balance output for Citrus in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Citrus in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","3.11","0.08","0.7","0.0","3.77","0.7","2.64","0.0","0.0","0.0","0.0","40.84","85.15","373.08","186.54","332.24","287.92","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","3.11","0.08","0.7","0.0","3.05","0.7","2.14","0.14","0.14","0.0","0.0","42.83","85.15","373.08","186.54","330.24","287.92","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","3.11","0.08","0.7","0.0","2.6","0.7","1.82","0.0","0.0","0.0","0.0","44.65","85.15","373.08","186.54","328.42","287.92","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","3.11","0.08","0.7","0.0","2.7","0.7","1.89","0.0","0.0","0.0","0.0","46.54","85.15","373.08","186.54","326.53","287.92","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","3.11","0.08","0.7","0.0","4.17","0.7","2.92","0.0","0.0","0.0","0.0","49.46","85.15","373.08","186.54","323.62","287.92","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","3.11","0.08","0.7","0.0","3.41","0.7","2.39","0.0","0.0","0.0","0.0","51.85","93.27","373.08","186.54","321.23","279.81","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","3.11","0.08","0.7","0.0","2.98","0.7","2.09","0.0","0.0","0.0","0.0","53.93","93.27","373.08","186.54","319.14","279.81","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","3.11","0.08","0.7","0.0","2.63","0.7","1.84","0.0","0.0","0.0","0.0","55.77","93.27","373.08","186.54","317.3","279.81","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","3.11","0.08","0.7","0.0","2.48","0.7","1.74","0.0","0.0","0.0","0.0","57.51","93.27","373.08","186.54","315.57","279.81","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","3.11","0.08","0.7","0.0","3.16","0.7","2.21","0.0","0.0","0.0","0.0","59.72","93.27","373.08","186.54","313.35","279.81","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","3.11","0.08","0.7","0.0","2.48","0.7","1.74","0.0","0.0","0.0","0.0","61.46","93.27","373.08","186.54","311.62","279.81","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","3.11","0.08","0.7","0.0","2.07","0.7","1.45","0.0","0.0","0.0","0.0","62.91","93.27","373.08","186.54","310.17","279.81","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","3.11","0.08","0.7","0.0","2.25","0.7","1.58","0.0","0.0","0.0","0.0","64.48","93.27","373.08","186.54","308.59","279.81","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","3.11","0.08","0.7","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","67.46","93.27","373.08","186.54","305.61","279.81","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","3.11","0.08","0.7","0.0","3.56","0.7","2.49","0.0","0.0","0.0","0.0","69.96","93.27","373.08","186.54","303.12","279.81","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","3.11","0.08","0.7","0.0","3.17","0.7","2.22","0.0","0.0","0.0","0.0","72.18","93.27","373.08","186.54","300.9","279.81","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","3.11","0.08","0.7","0.0","2.2","0.7","1.54","1.35","1.35","0.0","0.0","72.37","93.27","373.08","186.54","300.71","279.81","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","3.11","1.17","0.7","0.0","1.25","1.17","1.46","16.49","16.49","0.0","0.0","57.34","93.27","373.08","186.54","315.74","279.81","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","3.11","1.13","0.7","0.0","2.17","1.13","2.46","8.53","8.53","0.0","0.0","51.27","93.27","373.08","186.54","321.81","279.81","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","3.11","1.12","0.7","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","54.66","93.27","373.08","186.54","318.42","279.81","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","3.11","1.05","0.7","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","56.45","93.27","373.08","186.54","316.62","279.81","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","3.11","0.93","0.7","0.0","1.89","0.93","1.76","0.0","0.0","0.0","0.0","58.21","93.27","373.08","186.54","314.86","279.81","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","3.11","0.86","0.7","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","59.63","93.27","373.08","186.54","313.45","279.81","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","3.11","0.81","0.7","0.0","1.2","0.81","0.98","0.07","0.07","0.0","0.0","60.54","93.27","373.08","186.54","312.54","279.81","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","3.11","1.18","0.7","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","56.4","93.27","373.08","186.54","316.67","279.81","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","3.11","1.17","0.7","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","52.68","93.27","373.08","186.54","320.4","279.81","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","3.11","1.17","0.7","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","54.11","93.27","373.08","186.54","318.97","279.81","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","3.11","1.17","0.7","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","55.74","93.27","373.08","186.54","317.33","279.81","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","3.11","1.17","0.7","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","57.32","93.27","373.08","186.54","315.76","279.81","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","3.11","1.1","0.7","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","58.79","93.27","373.08","186.54","314.29","279.81","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","3.11","1.14","0.7","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","58.99","93.27","373.08","186.54","314.09","279.81","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","3.11","1.13","0.7","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","60.61","93.27","373.08","186.54","312.47","279.81","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","3.11","1.13","0.7","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","62.24","93.27","373.08","186.54","310.83","279.81","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","3.11","1.03","0.7","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","63.58","93.27","373.08","186.54","309.49","279.81","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","3.11","0.95","0.7","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","64.84","93.27","373.08","186.54","308.23","279.81","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","3.11","0.87","0.7","0.0","1.59","0.87","1.38","0.0","0.0","0.0","0.0","66.22","93.27","373.08","186.54","306.85","279.81","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","3.11","0.81","0.7","0.0","1.47","0.81","1.2","0.0","0.0","0.0","0.0","67.42","93.27","373.08","186.54","305.65","279.81","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","3.11","0.77","0.7","0.0","1.3","0.77","1.01","0.0","0.0","0.0","0.0","68.43","93.27","373.08","186.54","304.65","279.81","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","3.11","0.74","0.7","0.0","1.35","0.74","0.99","0.0","0.0","0.0","0.0","69.42","93.27","373.08","186.54","303.65","279.81","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","3.11","0.7","0.7","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","70.39","93.27","373.08","186.54","302.68","279.81","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","3.11","1.18","0.7","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","69.27","93.27","373.08","186.54","303.81","279.81","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","3.11","1.17","0.7","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","71.14","93.27","373.08","186.54","301.94","279.81","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","3.11","1.16","0.7","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","73.66","93.27","373.08","186.54","299.42","279.81","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","3.11","1.1","0.7","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","75.44","93.27","373.08","186.54","297.64","279.81","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","3.11","1.0","0.7","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","76.8","93.27","373.08","186.54","296.28","279.81","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","3.11","0.94","0.7","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","77.74","93.27","373.08","186.54","295.33","279.81","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","3.11","0.88","0.7","0.0","1.24","0.88","1.1","0.0","0.0","0.0","0.0","78.84","93.27","373.08","186.54","294.24","279.81","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","3.11","0.84","0.7","0.0","1.15","0.84","0.96","0.0","0.0","0.0","0.0","79.8","93.27","373.08","186.54","293.28","279.81","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","3.11","0.8","0.7","0.0","1.15","0.8","0.92","0.0","0.0","0.0","0.0","80.72","93.27","373.08","186.54","292.36","279.81","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","3.11","1.18","0.7","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","77.9","93.27","373.08","186.54","295.18","279.81","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","3.11","1.19","0.7","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","78.76","93.27","373.08","186.54","294.31","279.81","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","3.11","1.18","0.7","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","80.22","93.27","373.08","186.54","292.86","279.81","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","3.11","1.18","0.7","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","81.3","93.27","373.08","186.54","291.77","279.81","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","3.11","1.18","0.7","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","82.01","93.27","373.08","186.54","291.06","279.81","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","3.11","1.18","0.7","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","83.18","93.27","373.08","186.54","289.89","279.81","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","3.11","1.17","0.7","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","83.16","93.27","373.08","186.54","289.92","279.81","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","3.11","1.18","0.7","0.0","1.12","1.18","1.32","8.07","8.07","0.0","0.0","76.41","93.27","373.08","186.54","296.67","279.81","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","3.11","1.18","0.7","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","77.28","93.27","373.08","186.54","295.8","279.81","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","3.11","1.18","0.7","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","78.85","93.27","373.08","186.54","294.22","279.81","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","3.11","1.15","0.7","0.0","1.64","1.15","1.89","10.97","10.97","0.0","0.0","69.77","93.27","373.08","186.54","303.3","279.81","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","3.11","1.15","0.7","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","71.89","93.27","373.08","186.54","301.18","279.81","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","3.11","1.16","0.7","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","72.97","93.27","373.08","186.54","300.1","279.81","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","3.11","1.17","0.7","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","74.09","93.27","373.08","186.54","298.99","279.81","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","3.11","1.1","0.7","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","75.34","93.27","373.08","186.54","297.74","279.81","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","3.11","1.19","0.7","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","71.66","93.27","373.08","186.54","301.42","279.81","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","3.11","1.2","0.7","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","70.76","93.27","373.08","186.54","302.31","279.81","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","3.11","1.19","0.7","0.0","0.65","1.19","0.78","2.49","2.49","0.0","0.0","69.05","93.27","373.08","186.54","304.03","279.81","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","3.11","1.17","0.7","0.0","1.22","1.17","1.43","12.67","12.67","0.0","0.0","57.81","93.27","373.08","186.54","315.27","279.81","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","3.11","1.17","0.7","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","59.12","93.27","373.08","186.54","313.96","279.81","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","3.11","1.17","0.7","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","59.75","93.27","373.08","186.54","313.32","279.81","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","3.11","1.18","0.7","0.0","0.91","1.18","1.08","4.58","4.58","0.0","0.0","56.25","93.27","373.08","186.54","316.83","279.81","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","3.11","1.17","0.7","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","57.95","93.27","373.08","186.54","315.13","279.81","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","3.11","1.18","0.7","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","58.63","93.27","373.08","186.54","314.44","279.81","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","3.11","1.19","0.7","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","57.67","93.27","373.08","186.54","315.4","279.81","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","3.11","1.19","0.7","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","58.78","93.27","373.08","186.54","314.3","279.81","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","3.11","1.19","0.7","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","59.69","93.27","373.08","186.54","313.39","279.81","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","3.11","1.19","0.7","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","60.89","93.27","373.08","186.54","312.19","279.81","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","3.11","1.18","0.7","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","62.41","93.27","373.08","186.54","310.66","279.81","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","3.11","1.17","0.7","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","63.73","83.76","373.08","186.54","309.34","289.32","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","3.11","1.07","0.7","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","64.96","83.76","373.08","186.54","308.11","289.32","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","3.11","1.18","0.7","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","62.02","83.76","373.08","186.54","311.05","289.32","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","3.11","1.19","0.7","0.0","0.87","1.19","1.03","14.96","14.96","0.0","0.0","48.09","83.76","373.08","186.54","324.98","289.32","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","3.11","1.19","0.7","0.0","0.83","1.19","0.99","12.99","12.99","0.0","0.0","36.09","83.76","373.08","186.54","336.99","289.32","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","3.11","1.19","0.7","0.0","0.63","1.19","0.75","8.15","8.15","0.0","0.0","28.69","83.76","373.08","186.54","344.38","289.32","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","3.11","1.19","0.7","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","29.52","83.76","373.08","186.54","343.56","289.32","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","3.11","1.19","0.7","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","29.98","83.76","373.08","186.54","343.1","289.32","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","3.11","1.18","0.7","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","30.0","83.76","373.08","186.54","343.07","289.32","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","3.11","1.18","0.7","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","30.94","83.76","373.08","186.54","342.14","289.32","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","3.11","1.18","0.7","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","30.85","83.76","373.08","186.54","342.23","289.32","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","3.11","1.17","0.7","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","30.96","83.76","373.08","186.54","342.12","289.32","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","3.11","1.19","0.7","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","29.88","83.76","373.08","186.54","343.2","289.32","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","3.11","1.18","0.7","0.0","0.95","1.18","1.12","3.95","3.95","0.0","0.0","27.05","83.76","373.08","186.54","346.03","289.32","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","3.11","1.18","0.7","0.0","0.88","1.18","1.04","6.37","6.37","0.0","0.0","21.72","83.76","373.08","186.54","351.35","289.32","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","3.11","1.19","0.7","0.0","0.77","1.19","0.92","9.38","9.38","0.0","0.0","13.26","83.76","373.08","186.54","359.82","289.32","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","3.11","1.17","0.7","0.0","1.17","1.17","1.37","28.89","14.63","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","3.11","1.17","0.7","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","3.11","1.18","0.7","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","3.11","1.18","0.7","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","83.76","373.08","186.54","372.51","289.32","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","3.11","1.18","0.7","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","3.11","1.16","0.7","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","3.11","1.17","0.7","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","83.76","373.08","186.54","372.64","289.32","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","3.11","1.17","0.7","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","83.76","373.08","186.54","371.39","289.32","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","3.11","1.17","0.7","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","83.76","373.08","186.54","370.11","289.32","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","3.11","1.15","0.7","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","83.76","373.08","186.54","368.62","289.32","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","3.11","1.07","0.7","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","83.76","373.08","186.54","367.64","289.32","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","3.11","1.18","0.7","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","83.76","373.08","186.54","368.35","289.32","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","3.11","1.16","0.7","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","83.76","373.08","186.54","370.26","289.32","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","3.11","1.13","0.7","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","83.76","373.08","186.54","370.55","289.32","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","3.11","1.12","0.7","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","83.76","373.08","186.54","367.94","289.32","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","3.11","1.12","0.7","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","83.76","373.08","186.54","366.86","289.32","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","3.11","1.04","0.7","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","83.76","373.08","186.54","365.75","289.32","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","3.11","0.95","0.7","0.0","1.47","0.95","1.39","0.0","0.0","0.0","0.0","8.72","83.76","373.08","186.54","364.36","289.32","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","3.11","0.88","0.7","0.0","1.4","0.88","1.23","0.0","0.0","0.0","0.0","9.95","83.76","373.08","186.54","363.13","289.32","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","3.11","0.82","0.7","0.0","1.6","0.82","1.31","0.0","0.0","0.0","0.0","11.26","83.76","373.08","186.54","361.82","289.32","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","3.11","0.76","0.7","0.0","1.88","0.76","1.42","0.0","0.0","0.0","0.0","12.68","83.76","373.08","186.54","360.39","289.32","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","3.11","0.71","0.7","0.0","2.02","0.71","1.43","0.0","0.0","0.0","0.0","14.11","83.76","373.08","186.54","358.97","289.32","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","3.11","0.67","0.7","0.0","1.96","0.7","1.37","0.0","0.0","0.0","0.0","15.48","83.76","373.08","186.54","357.59","289.32","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","3.11","0.63","0.7","0.0","1.92","0.7","1.34","0.0","0.0","0.0","0.0","16.83","83.76","373.08","186.54","356.25","289.32","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","3.11","0.61","0.7","0.0","1.75","0.7","1.23","0.0","0.0","0.0","0.0","18.05","83.76","373.08","186.54","355.02","289.32","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","3.11","0.58","0.7","0.0","1.85","0.7","1.3","0.0","0.0","0.0","0.0","19.35","83.76","373.08","186.54","353.73","289.32","0.0","","","","","","",""
