" Daily soil water balance output for Native Vegetation in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Native Vegetation in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","15.0","288.0","15629.440671","0.08","0.4","0.0","3.69","0.4","1.476","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","16.0","289.0","15629.440671","0.08","0.41","0.0","3.81","0.41","1.5621","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","15629.440671","0.08","0.42","0.0","3.02","0.42","1.2684","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","15629.440671","0.08","0.42","0.0","2.6","0.42","1.092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","15629.440671","0.08","0.43","0.0","2.62","0.43","1.1266","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","15629.440671","0.08","0.44","0.0","4.48","0.44","1.9712","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","15629.440671","0.08","0.45","0.0","3.59","0.45","1.6155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","15629.440671","0.08","0.45","0.0","3.02","0.45","1.359","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","15629.440671","0.08","0.46","0.0","2.58","0.46","1.1868","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","15629.440671","0.08","0.47","0.0","2.47","0.47","1.1609","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","15629.440671","0.08","0.48","0.0","3.25","0.48","1.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","15629.440671","0.08","0.48","0.0","2.45","0.48","1.176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","15629.440671","0.08","0.49","0.0","2.05","0.49","1.0045","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","15629.440671","0.08","0.5","0.0","2.23","0.5","1.115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","15629.440671","0.08","0.51","0.0","4.33","0.51","2.2083","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","15629.440671","0.08","0.52","0.0","3.67","0.52","1.9084","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","15629.440671","0.08","0.52","0.0","3.24","0.52","1.6848","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","15629.440671","0.08","0.53","0.0","1.91","0.53","1.0123","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","15629.440671","1.17","0.54","0.0","1.25","1.17","1.4625","8.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","15629.440671","1.13","0.55","0.0","2.24","1.13","2.5312","11.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","15629.440671","1.11","0.55","0.0","3.05","1.11","3.3855","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","15629.440671","1.05","0.56","0.0","1.67","1.05","1.7535","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","15629.440671","0.93","0.57","0.0","1.87","0.93","1.7391","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","15629.440671","0.86","0.58","0.0","1.64","0.86","1.4104","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","15629.440671","0.81","0.58","0.0","1.15","0.81","0.9315","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","15629.440671","1.18","0.59","0.0","1.01","1.18","1.1918","2.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","15629.440671","1.17","0.6","0.0","1.31","1.17","1.5327","9.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","15629.440671","1.17","0.61","0.0","1.2","1.17","1.404","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","15629.440671","1.17","0.62","0.0","1.38","1.17","1.6146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","15629.440671","1.17","0.62","0.0","1.32","1.17","1.5444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","15629.440671","1.1","0.63","0.0","1.32","1.1","1.452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","15629.440671","0.97","0.64","0.0","1.84","0.97","1.7848","0.79","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","15629.440671","1.11","0.65","0.0","2.63","1.11","2.9193","3.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","15629.440671","1.14","0.65","0.0","1.46","1.14","1.6644","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","15629.440671","1.15","0.66","0.0","1.31","1.15","1.5065","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","15629.440671","1.08","0.67","0.0","1.32","1.08","1.4256","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","15629.440671","0.97","0.68","0.0","1.63","0.97","1.5811","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","15629.440671","0.89","0.68","0.0","1.45","0.89","1.2905","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","15629.440671","0.84","0.69","0.0","1.28","0.84","1.0752","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","15629.440671","0.79","0.7","0.0","1.39","0.79","1.0981","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","15629.440671","0.75","0.71","0.0","1.37","0.75","1.0275","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","15629.440671","0.72","0.72","0.0","1.07","0.72","0.7704","1.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","15629.440671","0.68","0.72","0.0","1.78","0.72","1.2816","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","15629.440671","0.64","0.73","0.0","2.45","0.73","1.7885","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","15629.440671","0.61","0.74","0.0","1.67","0.74","1.2358","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","15629.440671","0.59","0.75","0.0","1.37","0.75","1.0275","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","15629.440671","0.58","0.75","0.0","0.98","0.75","0.735","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","15629.440671","0.57","0.76","0.0","1.18","0.76","0.8968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","15629.440671","0.55","0.77","0.0","1.13","0.77","0.8701","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","15629.440671","0.54","0.78","0.0","1.01","0.78","0.7878","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","15629.440671","1.18","0.78","0.0","0.97","1.18","1.1446","6.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","15629.440671","1.19","0.79","0.0","0.71","1.19","0.8449","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","15629.440671","1.18","0.8","0.0","1.1","1.18","1.298","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","15629.440671","1.18","0.81","0.0","0.87","1.18","1.0266","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","15629.440671","1.19","0.82","0.0","0.55","1.19","0.6545","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","15629.440671","1.19","0.82","0.0","0.88","1.19","1.0472","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","15629.440671","1.17","0.83","0.0","1.37","1.17","1.6029","2.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","15629.440671","1.18","0.84","0.0","1.08","1.18","1.2744","5.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","15629.440671","1.18","0.85","0.0","0.82","1.18","0.9676","0.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","15629.440671","1.18","0.85","0.0","1.29","1.18","1.5222","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","15629.440671","1.16","0.86","0.0","1.55","1.16","1.798","11.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","15629.440671","1.15","0.87","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","15629.440671","1.16","0.88","0.0","0.86","1.16","0.9976","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","15629.440671","1.17","0.88","0.0","0.9","1.17","1.053","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","15629.440671","1.11","0.89","0.0","1.06","1.11","1.1766","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","15629.440671","1.19","0.9","0.0","0.73","1.19","0.8687","6.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","15629.440671","1.2","0.91","0.0","0.54","1.2","0.648","0.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","15629.440671","1.2","0.92","0.0","0.58","1.2","0.696","7.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","15629.440671","1.17","0.92","0.0","1.14","1.17","1.3338","7.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","15629.440671","1.17","0.93","0.0","1.37","1.17","1.6029","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","15629.440671","1.17","0.94","0.0","1.03","1.17","1.2051","0.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","15629.440671","1.19","0.95","0.0","0.87","1.19","1.0353","2.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","15629.440671","1.17","0.95","0.0","1.52","1.17","1.7784","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","15629.440671","1.18","0.96","0.0","0.57","1.18","0.6726","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","15629.440671","1.18","0.97","0.0","0.72","1.18","0.8496","0.85","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","15629.440671","1.18","0.98","0.0","0.95","1.18","1.121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","15629.440671","1.18","0.98","0.0","0.72","1.18","0.8496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","15629.440671","1.12","0.99","0.0","1.05","1.12","1.176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","15629.440671","1.01","1.0","0.0","1.4","1.01","1.414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","15629.440671","0.94","1.0","0.0","1.21","1.0","1.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","15629.440671","0.88","1.0","0.0","1.17","1.0","1.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","15629.440671","0.85","1.0","0.0","0.85","1.0","0.85","0.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","15629.440671","1.19","1.0","0.0","0.82","1.19","0.9758","14.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","15629.440671","1.19","1.0","0.0","0.81","1.19","0.9639","15.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","15629.440671","1.2","1.0","0.0","0.61","1.2","0.732","16.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","15629.440671","1.2","1.0","0.0","0.63","1.2","0.756","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","15629.440671","1.19","1.0","0.0","0.79","1.19","0.9401","2.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","15629.440671","1.18","1.0","0.0","0.9","1.18","1.062","1.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","15629.440671","1.18","1.0","0.0","0.95","1.18","1.121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","15629.440671","1.18","1.0","0.0","0.92","1.18","1.0856","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","15629.440671","1.17","1.0","0.0","1.26","1.17","1.4742","4.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","15629.440671","1.19","1.0","0.0","0.65","1.19","0.7735","1.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","15629.440671","1.19","1.0","0.0","0.82","1.19","0.9758","3.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","15629.440671","1.19","1.0","0.0","0.8","1.19","0.952","7.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","15629.440671","1.19","1.0","0.0","0.76","1.19","0.9044","2.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","15629.440671","1.17","1.0","0.0","1.1","1.17","1.287","28.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","15629.440671","1.17","1.0","0.0","1.27","1.17","1.4859","5.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","15629.440671","1.18","1.0","0.0","1.02","1.18","1.2036","17.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","15629.440671","1.18","1.0","0.0","1.04","1.18","1.2272","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","15629.440671","1.18","1.0","0.0","1.07","1.18","1.2626","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","15629.440671","1.16","1.0","0.0","1.41","1.16","1.6356","10.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","15629.440671","1.18","1.0","0.0","1.13","1.18","1.3334","1.79","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","15629.440671","1.17","1.0","0.0","1.15","1.17","1.3455","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","15629.440671","1.18","1.0","0.0","1.01","1.18","1.1918","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","15629.440671","1.17","1.0","0.0","1.33","1.17","1.5561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","15629.440671","1.18","1.0","0.0","0.89","1.18","1.0502","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","15629.440671","1.1","1.0","0.0","0.98","1.1","1.078","0.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","15629.440671","1.16","1.0","0.0","1.54","1.16","1.7864","5.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","15629.440671","1.14","1.0","0.0","2.41","1.14","2.7474","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","15629.440671","1.08","1.0","0.0","2.58","1.08","2.7864","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","15629.440671","1.01","1.0","0.0","1.07","1.01","1.0807","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","15629.440671","0.95","1.0","0.0","1.03","1.0","1.03","0.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","15629.440671","0.87","1.0","0.0","1.47","1.0","1.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","15629.440671","0.82","1.0","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","15629.440671","0.77","1.0","0.0","1.58","1.0","1.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","15629.440671","0.72","1.0","0.0","1.91","1.0","1.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","15629.440671","0.67","1.0","0.0","2.06","1.0","2.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
