" Daily soil water balance output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","11336.56","0.08","0.95","0.0","3.92","0.95","3.72","0.0","0.0","0.0","0.0","30.55","60.44","254.81","127.41","224.26","194.37","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","11336.56","0.08","0.95","0.0","3.0","0.95","2.85","1.57","1.57","0.0","0.0","31.83","60.44","254.81","127.41","222.98","194.37","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","11336.56","0.08","0.95","0.0","2.58","0.95","2.45","0.14","0.14","0.0","0.0","34.14","60.44","254.81","127.41","220.67","194.37","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","11336.56","0.08","0.95","0.0","2.66","0.95","2.53","0.0","0.0","0.0","0.0","36.67","60.44","254.81","127.41","218.14","194.37","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","11336.56","0.08","0.95","0.0","4.49","0.95","4.27","0.0","0.0","0.0","0.0","40.94","60.44","254.81","127.41","213.88","194.37","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","11336.56","0.08","0.95","0.0","3.54","0.95","3.36","0.0","0.0","0.0","0.0","44.3","60.44","254.81","127.41","210.51","194.37","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","11336.56","0.08","0.95","0.0","3.11","0.95","2.95","0.0","0.0","0.0","0.0","47.25","60.44","254.81","127.41","207.56","194.37","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","11336.56","0.08","0.95","0.0","2.63","0.95","2.5","0.0","0.0","0.0","0.0","49.75","60.44","254.81","127.41","205.06","194.37","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","11336.56","0.08","0.95","0.0","2.53","0.95","2.4","0.0","0.0","0.0","0.0","52.16","60.44","254.81","127.41","202.66","194.37","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","11336.56","0.08","0.95","0.0","3.35","0.95","3.18","0.0","0.0","0.0","0.0","55.34","60.44","254.81","127.41","199.48","194.37","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","11336.56","0.08","0.95","0.0","2.51","0.95","2.38","0.0","0.0","0.0","0.0","57.72","60.44","254.81","127.41","197.09","194.37","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","11336.56","0.08","0.95","0.0","2.16","0.95","2.05","0.0","0.0","0.0","0.0","59.77","60.44","254.81","127.41","195.04","194.37","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","11336.56","0.08","0.95","0.0","2.21","0.95","2.1","0.0","0.0","0.0","0.0","0.0","60.44","254.81","127.41","254.81","194.37","61.87","","","","","","",""
"2015.0","10.0","29.0","302.0","11336.56","0.08","0.95","0.0","4.42","0.95","4.2","0.0","0.0","0.0","0.0","4.2","60.44","254.81","127.41","250.61","194.37","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","11336.56","0.08","0.95","0.0","3.73","0.95","3.54","0.0","0.0","0.0","0.0","7.74","60.44","254.81","127.41","247.07","194.37","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","11336.56","0.08","0.95","0.0","3.3","0.95","3.14","0.0","0.0","0.0","0.0","10.88","60.44","254.81","127.41","243.94","194.37","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","11336.56","0.08","0.95","0.0","2.01","0.95","1.91","0.22","0.22","0.0","0.0","12.57","60.44","254.81","127.41","242.25","194.37","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","11336.56","1.17","0.95","0.0","1.2","1.17","1.41","8.46","8.46","0.0","0.0","5.51","60.44","254.81","127.41","249.3","194.37","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","11336.56","1.13","0.95","0.0","2.15","1.13","2.44","9.09","7.95","0.0","0.0","0.0","60.44","254.81","127.41","254.81","194.37","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","11336.56","1.12","0.95","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","3.45","60.44","254.81","127.41","251.37","194.37","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","11336.56","1.05","0.95","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","5.23","60.44","254.81","127.41","249.59","194.37","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","11336.56","0.93","0.95","0.0","1.86","0.95","1.77","0.0","0.0","0.0","0.0","6.99","60.44","254.81","127.41","247.82","194.37","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","11336.56","0.86","0.95","0.0","1.65","0.95","1.57","0.0","0.0","0.0","0.0","8.56","60.44","254.81","127.41","246.25","194.37","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","11336.56","0.81","0.95","0.0","1.19","0.95","1.13","0.01","0.01","0.0","0.0","9.68","60.44","254.81","127.41","245.13","194.37","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","11336.56","1.18","0.95","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","6.5","60.44","254.81","127.41","248.31","194.37","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","11336.56","1.17","0.95","0.0","1.27","1.17","1.48","8.55","7.99","0.0","0.0","0.0","60.44","254.81","127.41","254.81","194.37","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","11336.56","1.17","0.95","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","1.42","60.44","254.81","127.41","253.4","194.37","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","11336.56","1.17","0.95","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","3.03","60.44","254.81","127.41","251.78","194.37","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","11336.56","1.17","0.95","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","4.58","60.44","254.81","127.41","250.23","194.37","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","11336.56","1.1","0.95","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","6.06","60.44","254.81","127.41","248.76","194.37","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","11336.56","0.97","0.95","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","6.98","60.44","254.81","127.41","247.84","194.37","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","11336.56","1.11","0.95","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","6.55","60.44","254.81","127.41","248.26","194.37","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","11336.56","1.14","0.95","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","8.19","60.44","254.81","127.41","246.63","194.37","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","11336.56","1.15","0.95","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","9.69","60.44","254.81","127.41","245.12","194.37","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","11336.56","1.07","0.95","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","11.12","60.44","254.81","127.41","243.69","194.37","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","11336.56","0.97","0.95","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","12.67","60.44","254.81","127.41","242.14","194.37","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","11336.56","0.89","0.95","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","14.06","60.44","254.81","127.41","240.75","194.37","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","11336.56","0.84","0.95","0.0","1.29","0.95","1.23","0.0","0.0","0.0","0.0","15.29","60.44","254.81","127.41","239.53","194.37","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","11336.56","0.79","0.95","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","16.67","60.44","254.81","127.41","238.14","194.37","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","11336.56","0.75","0.95","0.0","1.37","0.95","1.3","0.0","0.0","0.0","0.0","17.98","60.44","254.81","127.41","236.84","194.37","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","11336.56","1.18","0.95","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","17.13","60.44","254.81","127.41","237.68","194.37","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","11336.56","1.17","0.95","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","19.08","60.44","254.81","127.41","235.74","194.37","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","11336.56","1.15","0.95","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","21.79","60.44","254.81","127.41","233.03","194.37","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","11336.56","1.08","0.95","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","23.56","60.44","254.81","127.41","231.26","194.37","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","11336.56","0.99","0.95","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","24.89","60.44","254.81","127.41","229.93","194.37","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","11336.56","0.93","0.95","0.0","1.01","0.95","0.96","0.0","0.0","0.0","0.0","25.85","60.44","254.81","127.41","228.97","194.37","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","11336.56","0.88","0.95","0.0","1.2","0.95","1.14","0.0","0.0","0.0","0.0","26.99","60.44","254.81","127.41","227.83","194.37","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","11336.56","0.83","0.95","0.0","1.11","0.95","1.05","0.0","0.0","0.0","0.0","28.04","60.44","254.81","127.41","226.77","194.37","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","11336.56","0.79","0.95","0.0","1.16","0.95","1.1","0.0","0.0","0.0","0.0","29.14","60.44","254.81","127.41","225.67","194.37","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","11336.56","1.18","0.95","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","22.6","60.44","254.81","127.41","232.21","194.37","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","11336.56","1.18","0.95","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","23.5","60.44","254.81","127.41","231.31","194.37","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","11336.56","1.18","0.95","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","24.96","60.44","254.81","127.41","229.86","194.37","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","11336.56","1.18","0.95","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","26.04","60.44","254.81","127.41","228.77","194.37","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","11336.56","1.18","0.95","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","26.72","60.44","254.81","127.41","228.1","194.37","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","11336.56","1.18","0.95","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","27.85","60.44","254.81","127.41","226.96","194.37","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","11336.56","1.09","0.95","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","28.45","60.44","254.81","127.41","226.37","194.37","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","11336.56","1.18","0.95","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","22.47","60.44","254.81","127.41","232.34","194.37","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","11336.56","1.18","0.95","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","23.0","60.44","254.81","127.41","231.81","194.37","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","11336.56","1.18","0.95","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","24.51","60.44","254.81","127.41","230.3","194.37","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","11336.56","1.16","0.95","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","16.0","60.44","254.81","127.41","238.81","194.37","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","11336.56","1.15","0.95","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","18.24","60.44","254.81","127.41","236.57","194.37","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","11336.56","1.16","0.95","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","19.27","60.44","254.81","127.41","235.54","194.37","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","11336.56","1.17","0.95","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","20.4","60.44","254.81","127.41","234.41","194.37","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","11336.56","1.1","0.95","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","21.69","60.44","254.81","127.41","233.13","194.37","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","11336.56","1.19","0.95","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","15.1","60.44","254.81","127.41","239.71","194.37","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","11336.56","1.2","0.95","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","14.76","60.44","254.81","127.41","240.05","194.37","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","11336.56","1.2","0.95","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","11.0","60.44","254.81","127.41","243.81","194.37","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","11336.56","1.17","0.95","0.0","1.15","1.17","1.35","8.62","8.62","0.0","0.0","3.73","60.44","254.81","127.41","251.08","194.37","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","11336.56","1.17","0.95","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","5.36","60.44","254.81","127.41","249.46","194.37","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","11336.56","1.17","0.95","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","6.35","60.44","254.81","127.41","248.46","194.37","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","11336.56","1.19","0.95","0.0","0.87","1.19","1.03","4.18","4.18","0.0","0.0","3.2","60.44","254.81","127.41","251.61","194.37","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","11336.56","1.17","0.95","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","4.96","60.44","254.81","127.41","249.85","194.37","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","11336.56","1.18","0.95","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","5.64","60.44","254.81","127.41","249.17","194.37","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","11336.56","1.19","0.95","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","5.48","60.44","254.81","127.41","249.33","194.37","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","11336.56","1.19","0.95","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","6.34","60.44","254.81","127.41","248.47","194.37","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","11336.56","1.19","0.95","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","7.27","60.44","254.81","127.41","247.54","194.37","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","11336.56","1.19","0.95","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","8.5","60.44","254.81","127.41","246.31","194.37","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","11336.56","1.18","0.95","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","10.12","59.69","254.81","127.41","244.69","195.13","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","11336.56","1.15","0.95","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","11.47","59.69","254.81","127.41","243.34","195.13","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","11336.56","1.05","0.95","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","12.72","59.69","254.81","127.41","242.09","195.13","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","11336.56","0.99","0.95","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","12.98","59.69","254.81","127.41","241.83","195.13","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","11336.56","1.18","0.95","0.0","0.88","1.18","1.04","15.0","14.03","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","11336.56","1.19","0.95","0.0","0.83","1.19","0.99","15.19","0.99","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","11336.56","1.2","0.95","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","11336.56","1.19","0.95","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","59.69","254.81","127.41","254.02","195.13","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","11336.56","1.19","0.95","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","59.69","254.81","127.41","254.62","195.13","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","11336.56","1.18","0.95","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","59.69","254.81","127.41","254.79","195.13","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","11336.56","1.18","0.95","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","59.69","254.81","127.41","253.65","195.13","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","11336.56","1.18","0.95","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","59.69","254.81","127.41","252.69","195.13","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","11336.56","1.17","0.95","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","59.69","254.81","127.41","253.13","195.13","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","11336.56","1.19","0.95","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","11336.56","1.19","0.95","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","11336.56","1.19","0.95","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","11336.56","1.19","0.95","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","11336.56","1.17","0.95","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","11336.56","1.17","0.95","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","11336.56","1.18","0.95","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","11336.56","1.18","0.95","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","59.69","254.81","127.41","253.59","195.13","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","11336.56","1.18","0.95","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","59.69","254.81","127.41","252.64","195.13","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","11336.56","1.16","0.95","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","11336.56","1.17","0.95","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","59.69","254.81","127.41","254.55","195.13","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","11336.56","1.17","0.95","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","59.69","254.81","127.41","253.25","195.13","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","11336.56","1.17","0.95","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","59.69","254.81","127.41","252.03","195.13","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","11336.56","1.14","0.95","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","59.69","254.81","127.41","250.49","195.13","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","11336.56","1.06","0.95","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","59.69","254.81","127.41","249.52","195.13","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","11336.56","0.99","0.95","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","59.69","254.81","127.41","248.95","195.13","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","11336.56","1.16","0.95","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","59.69","254.81","127.41","254.18","195.13","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","11336.56","1.14","0.95","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","59.69","254.81","127.41","252.04","195.13","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","11336.56","1.08","0.95","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","59.69","254.81","127.41","249.19","195.13","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","11336.56","1.0","0.95","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","59.69","254.81","127.41","248.1","195.13","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","11336.56","0.94","0.95","0.0","1.07","0.95","1.02","0.4","0.4","0.0","0.0","7.33","59.69","254.81","127.41","247.49","195.13","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","11336.56","0.87","0.95","0.0","1.51","0.95","1.43","0.0","0.0","0.0","0.0","8.76","59.69","254.81","127.41","246.05","195.13","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","11336.56","0.82","0.95","0.0","1.39","0.95","1.32","0.0","0.0","0.0","0.0","10.08","59.69","254.81","127.41","244.73","195.13","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","11336.56","0.77","0.95","0.0","1.63","0.95","1.55","0.0","0.0","0.0","0.0","11.63","59.69","254.81","127.41","243.18","195.13","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","11336.56","0.72","0.95","0.0","1.9","0.95","1.81","0.0","0.0","0.0","0.0","13.43","59.69","254.81","127.41","241.38","195.13","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","11336.56","0.67","0.95","0.0","2.02","0.95","1.92","0.0","0.0","0.0","0.0","15.35","59.69","254.81","127.41","239.46","195.13","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","11336.56","0.64","0.95","0.0","1.96","0.95","1.86","0.0","0.0","0.0","0.0","17.22","59.69","254.81","127.41","237.6","195.13","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","11336.56","0.61","0.95","0.0","1.92","0.95","1.82","0.0","0.0","0.0","0.0","19.04","59.69","254.81","127.41","235.77","195.13","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","11336.56","0.58","0.95","0.0","1.76","0.95","1.67","0.0","0.0","0.0","0.0","20.71","59.69","254.81","127.41","234.1","195.13","0.0","","","","","","",""
