" Daily soil water balance output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","401.64","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","401.64","0.08","0.0","0.0","3.05","0.08","0.25","0.14","0.14","0.0","0.0","20.51","20.4","290.17","145.08","269.66","269.77","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","401.64","0.08","0.0","0.0","2.6","0.08","0.22","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","401.64","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","20.62","20.4","290.17","145.08","269.55","269.77","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","401.64","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","401.64","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","20.68","20.4","290.17","145.08","269.49","269.77","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","401.64","0.08","0.0","0.0","2.98","0.08","0.25","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","401.64","0.08","0.0","0.0","2.63","0.08","0.22","0.0","0.0","0.0","0.0","20.62","20.4","290.17","145.08","269.55","269.77","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","401.64","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","401.64","0.08","0.0","0.0","3.16","0.08","0.26","0.0","0.0","0.0","0.0","20.66","20.4","290.17","145.08","269.51","269.77","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","401.64","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","401.64","0.08","0.0","0.0","2.07","0.08","0.17","0.0","0.0","0.0","0.0","20.57","20.4","290.17","145.08","269.6","269.77","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","401.64","0.08","0.0","0.0","2.25","0.08","0.18","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","401.64","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","20.75","20.4","290.17","145.08","269.42","269.77","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","401.64","0.08","0.0","0.0","3.56","0.08","0.29","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","401.64","0.08","0.0","0.0","3.17","0.08","0.26","0.0","0.0","0.0","0.0","20.66","20.4","290.17","145.08","269.51","269.77","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","401.64","0.08","0.0","0.0","2.2","0.08","0.18","1.35","1.35","0.0","0.0","19.31","20.4","290.17","145.08","270.86","269.77","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","401.64","1.17","0.0","0.0","1.25","1.17","1.46","16.49","16.49","0.0","0.0","4.28","20.4","290.17","145.08","285.89","269.77","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","401.64","1.13","0.0","0.0","2.17","1.13","2.46","8.53","6.74","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","401.64","1.12","0.0","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","3.39","20.4","290.17","145.08","286.78","269.77","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","401.64","1.05","0.0","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","5.19","20.4","290.17","145.08","284.98","269.77","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","401.64","0.93","0.0","0.0","1.89","0.93","1.76","0.0","0.0","0.0","0.0","6.95","20.4","290.17","145.08","283.22","269.77","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","401.64","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","8.36","20.4","290.17","145.08","281.81","269.77","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","401.64","0.81","0.0","0.0","1.2","0.81","0.98","0.07","0.07","0.0","0.0","9.27","20.4","290.17","145.08","280.9","269.77","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","401.64","1.18","0.0","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","5.14","20.4","290.17","145.08","285.03","269.77","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","401.64","1.17","0.0","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","1.41","20.4","290.17","145.08","288.76","269.77","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","401.64","1.17","0.0","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","2.84","20.4","290.17","145.08","287.33","269.77","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","401.64","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","4.48","20.4","290.17","145.08","285.69","269.77","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","401.64","1.17","0.0","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","6.05","20.4","290.17","145.08","284.12","269.77","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","401.64","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","7.52","20.4","290.17","145.08","282.65","269.77","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","401.64","1.14","0.0","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","7.72","20.4","290.17","145.08","282.45","269.77","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","401.64","1.13","0.0","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","9.34","20.4","290.17","145.08","280.83","269.77","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","401.64","1.13","0.0","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","10.97","20.4","290.17","145.08","279.2","269.77","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","401.64","1.03","0.0","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","12.32","20.4","290.17","145.08","277.85","269.77","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","401.64","0.95","0.0","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","13.58","20.4","290.17","145.08","276.59","269.77","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","401.64","0.87","0.0","0.0","1.59","0.87","1.38","0.0","0.0","0.0","0.0","14.96","20.4","290.17","145.08","275.21","269.77","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","401.64","0.81","0.0","0.0","1.47","0.81","1.2","0.0","0.0","0.0","0.0","16.15","20.4","290.17","145.08","274.01","269.77","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","401.64","0.77","0.0","0.0","1.3","0.77","1.01","0.0","0.0","0.0","0.0","17.16","20.4","290.17","145.08","273.01","269.77","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","401.64","0.74","0.0","0.0","1.35","0.74","0.99","0.0","0.0","0.0","0.0","18.15","20.4","290.17","145.08","272.02","269.77","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","401.64","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","19.13","20.4","290.17","145.08","271.04","269.77","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","401.64","1.18","0.0","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","18.0","20.4","290.17","145.08","272.17","269.77","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","401.64","1.17","0.0","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","19.87","20.4","290.17","145.08","270.3","269.77","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","401.64","1.16","0.0","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","22.39","20.4","290.17","145.08","267.78","269.77","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","401.64","1.1","0.0","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","401.64","1.0","0.0","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","21.76","20.4","290.17","145.08","268.41","269.77","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","401.64","0.94","0.0","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","401.64","0.88","0.0","0.0","1.24","0.88","1.1","0.0","0.0","0.0","0.0","21.5","20.4","290.17","145.08","268.67","269.77","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","401.64","0.84","0.0","0.0","1.15","0.84","0.96","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","401.64","0.8","0.0","0.0","1.15","0.8","0.92","0.0","0.0","0.0","0.0","21.32","20.4","290.17","145.08","268.85","269.77","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","401.64","1.18","0.0","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","17.32","20.4","290.17","145.08","272.85","269.77","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","401.64","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","18.18","20.4","290.17","145.08","271.99","269.77","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","401.64","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","19.64","20.4","290.17","145.08","270.53","269.77","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","401.64","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","20.72","20.4","290.17","145.08","269.45","269.77","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","401.64","1.18","0.0","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","401.64","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","21.57","20.4","290.17","145.08","268.6","269.77","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","401.64","1.17","0.0","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","20.06","20.4","290.17","145.08","270.11","269.77","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","401.64","1.18","0.0","0.0","1.12","1.18","1.32","8.07","8.07","0.0","0.0","13.31","20.4","290.17","145.08","276.86","269.77","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","401.64","1.18","0.0","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","14.18","20.4","290.17","145.08","275.99","269.77","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","401.64","1.18","0.0","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","15.75","20.4","290.17","145.08","274.42","269.77","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","401.64","1.15","0.0","0.0","1.64","1.15","1.89","10.97","10.97","0.0","0.0","6.68","20.4","290.17","145.08","283.49","269.77","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","401.64","1.15","0.0","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","8.79","20.4","290.17","145.08","281.38","269.77","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","401.64","1.16","0.0","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","9.87","20.4","290.17","145.08","280.3","269.77","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","401.64","1.17","0.0","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","10.99","20.4","290.17","145.08","279.18","269.77","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","401.64","1.1","0.0","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","12.24","20.4","290.17","145.08","277.93","269.77","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","401.64","1.19","0.0","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","8.56","20.4","290.17","145.08","281.61","269.77","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","401.64","1.2","0.0","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","7.67","20.4","290.17","145.08","282.5","269.77","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","401.64","1.19","0.0","0.0","0.65","1.19","0.78","2.49","2.49","0.0","0.0","5.95","20.4","290.17","145.08","284.22","269.77","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","401.64","1.17","0.0","0.0","1.22","1.17","1.43","12.67","7.38","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","401.64","1.17","0.0","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","1.31","20.4","290.17","145.08","288.86","269.77","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","401.64","1.17","0.0","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","1.94","20.4","290.17","145.08","288.23","269.77","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","401.64","1.18","0.0","0.0","0.91","1.18","1.08","4.58","3.02","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","401.64","1.17","0.0","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","1.7","20.4","290.17","145.08","288.47","269.77","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","401.64","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","2.39","20.4","290.17","145.08","287.78","269.77","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","401.64","1.19","0.0","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","1.42","20.4","290.17","145.08","288.75","269.77","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","401.64","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","2.53","20.4","290.17","145.08","287.64","269.77","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","401.64","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","3.44","20.4","290.17","145.08","286.73","269.77","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","401.64","1.19","0.0","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","4.64","20.4","290.17","145.08","285.53","269.77","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","401.64","1.18","0.0","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","6.16","20.4","290.17","145.08","284.01","269.77","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","401.64","1.17","0.0","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","7.48","20.4","290.17","145.08","282.69","269.77","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","401.64","1.07","0.0","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","8.71","20.4","290.17","145.08","281.46","269.77","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","401.64","1.18","0.0","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","5.77","20.4","290.17","145.08","284.39","269.77","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","401.64","1.19","0.0","0.0","0.87","1.19","1.03","14.96","6.81","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","401.64","1.19","0.0","0.0","0.83","1.19","0.99","12.99","0.99","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","401.64","1.19","0.0","0.0","0.63","1.19","0.75","8.15","0.75","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","401.64","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","20.4","290.17","145.08","289.35","269.77","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","401.64","1.19","0.0","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","1.28","20.4","290.17","145.08","288.88","269.77","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","401.64","1.18","0.0","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","1.31","20.4","290.17","145.08","288.86","269.77","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","401.64","1.18","0.0","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","2.25","20.4","290.17","145.08","287.92","269.77","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","401.64","1.18","0.0","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","2.15","20.4","290.17","145.08","288.01","269.77","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","401.64","1.17","0.0","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","2.27","20.4","290.17","145.08","287.9","269.77","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","401.64","1.19","0.0","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","1.18","20.4","290.17","145.08","288.99","269.77","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","401.64","1.18","0.0","0.0","0.95","1.18","1.12","3.95","2.31","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","401.64","1.18","0.0","0.0","0.88","1.18","1.04","6.37","1.04","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","401.64","1.19","0.0","0.0","0.77","1.19","0.92","9.38","0.92","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","401.64","1.17","0.0","0.0","1.17","1.17","1.37","28.89","1.37","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","401.64","1.17","0.0","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","401.64","1.18","0.0","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","401.64","1.18","0.0","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","20.4","290.17","145.08","289.61","269.77","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","401.64","1.18","0.0","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","401.64","1.16","0.0","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","401.64","1.17","0.0","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","20.4","290.17","145.08","289.73","269.77","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","401.64","1.17","0.0","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","20.4","290.17","145.08","288.48","269.77","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","401.64","1.17","0.0","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","20.4","290.17","145.08","287.2","269.77","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","401.64","1.15","0.0","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","20.4","290.17","145.08","285.72","269.77","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","401.64","1.07","0.0","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","20.4","290.17","145.08","284.73","269.77","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","401.64","1.18","0.0","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","20.4","290.17","145.08","285.45","269.77","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","401.64","1.16","0.0","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","20.4","290.17","145.08","287.36","269.77","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","401.64","1.13","0.0","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","20.4","290.17","145.08","287.64","269.77","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","401.64","1.12","0.0","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","20.4","290.17","145.08","285.03","269.77","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","401.64","1.12","0.0","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","20.4","290.17","145.08","283.95","269.77","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","401.64","1.04","0.0","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","20.4","290.17","145.08","282.84","269.77","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","401.64","0.95","0.0","0.0","1.47","0.95","1.39","0.0","0.0","0.0","0.0","8.72","20.4","290.17","145.08","281.45","269.77","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","401.64","0.88","0.0","0.0","1.4","0.88","1.23","0.0","0.0","0.0","0.0","9.95","20.4","290.17","145.08","280.22","269.77","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","401.64","0.82","0.0","0.0","1.6","0.82","1.31","0.0","0.0","0.0","0.0","11.26","20.4","290.17","145.08","278.91","269.77","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","401.64","0.76","0.0","0.0","1.88","0.76","1.42","0.0","0.0","0.0","0.0","12.68","20.4","290.17","145.08","277.49","269.77","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","401.64","0.71","0.0","0.0","2.02","0.71","1.43","0.0","0.0","0.0","0.0","14.11","20.4","290.17","145.08","276.06","269.77","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","401.64","0.67","0.0","0.0","1.96","0.67","1.3","0.0","0.0","0.0","0.0","15.41","20.4","290.17","145.08","274.76","269.77","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","401.64","0.63","0.0","0.0","1.92","0.63","1.21","0.0","0.0","0.0","0.0","16.63","20.4","290.17","145.08","273.54","269.77","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","401.64","0.61","0.0","0.0","1.75","0.61","1.06","0.0","0.0","0.0","0.0","17.69","20.4","290.17","145.08","272.48","269.77","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","401.64","0.58","0.0","0.0","1.85","0.58","1.07","0.0","0.0","0.0","0.0","18.76","20.4","290.17","145.08","271.41","269.77","0.0","","","","","","",""
