" Daily soil water balance output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","34035.48","0.08","0.8","0.0","3.87","0.8","3.1","0.0","0.0","0.0","0.0","22.35","31.02","128.0","64.0","105.65","96.98","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","34035.48","0.08","0.8","0.0","3.11","0.8","2.49","0.19","0.19","0.0","0.0","24.65","31.02","128.0","64.0","103.35","96.98","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","34035.48","0.08","0.8","0.0","2.76","0.8","2.21","0.22","0.22","0.0","0.0","26.64","31.02","128.0","64.0","101.36","96.98","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","34035.48","0.08","0.8","0.0","2.77","0.8","2.22","0.0","0.0","0.0","0.0","28.85","31.02","128.0","64.0","99.15","96.98","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","34035.48","0.08","0.8","0.0","4.18","0.8","3.34","0.0","0.0","0.0","0.0","0.0","31.02","128.0","64.0","128.0","96.98","32.2","","","","","","",""
"2015.0","10.0","21.0","294.0","34035.48","0.08","0.8","0.0","3.36","0.8","2.69","0.0","0.0","0.0","0.0","2.69","31.02","128.0","64.0","125.31","96.98","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","34035.48","0.08","0.8","0.0","3.11","0.8","2.49","0.0","0.0","0.0","0.0","5.18","31.02","128.0","64.0","122.82","96.98","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","34035.48","0.08","0.8","0.0","2.73","0.8","2.18","0.0","0.0","0.0","0.0","7.36","31.02","128.0","64.0","120.64","96.98","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","34035.48","0.08","0.8","0.0","2.58","0.8","2.06","0.0","0.0","0.0","0.0","9.42","31.02","128.0","64.0","118.58","96.98","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","34035.48","0.08","0.8","0.0","3.27","0.8","2.62","0.0","0.0","0.0","0.0","12.04","31.02","128.0","64.0","115.96","96.98","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","34035.48","0.08","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","14.1","31.02","128.0","64.0","113.9","96.98","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","34035.48","0.08","0.8","0.0","2.21","0.8","1.77","0.0","0.0","0.0","0.0","15.86","31.02","128.0","64.0","112.14","96.98","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","34035.48","0.08","0.8","0.0","2.28","0.8","1.82","0.12","0.12","0.0","0.0","17.57","31.02","128.0","64.0","110.43","96.98","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","34035.48","0.08","0.8","0.0","4.37","0.8","3.5","0.0","0.0","0.0","0.0","21.06","31.02","128.0","64.0","106.94","96.98","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","34035.48","0.08","0.8","0.0","3.63","0.8","2.9","0.0","0.0","0.0","0.0","23.97","31.02","128.0","64.0","104.03","96.98","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","34035.48","0.08","0.8","0.0","3.23","0.8","2.58","0.0","0.0","0.0","0.0","26.55","31.02","128.0","64.0","101.45","96.98","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","34035.48","0.08","0.8","0.0","2.32","0.8","1.86","0.0","0.0","0.0","0.0","28.41","31.02","128.0","64.0","99.59","96.98","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","34035.48","1.17","0.8","0.0","1.22","1.17","1.43","16.35","16.35","0.0","0.0","13.49","31.02","128.0","64.0","114.51","96.98","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","34035.48","1.14","0.8","0.0","2.07","1.14","2.35","10.04","10.04","0.0","0.0","5.8","31.02","128.0","64.0","122.2","96.98","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","34035.48","1.12","0.8","0.0","3.04","1.12","3.4","0.0","0.0","0.0","0.0","9.2","31.02","128.0","64.0","118.8","96.98","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","34035.48","1.06","0.8","0.0","1.74","1.06","1.84","0.0","0.0","0.0","0.0","11.04","31.02","128.0","64.0","116.96","96.98","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","34035.48","0.94","0.8","0.0","1.87","0.94","1.75","0.0","0.0","0.0","0.0","12.79","31.02","128.0","64.0","115.21","96.98","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","34035.48","0.86","0.8","0.0","1.66","0.86","1.43","0.0","0.0","0.0","0.0","14.22","31.02","128.0","64.0","113.78","96.98","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","34035.48","0.81","0.8","0.0","1.27","0.81","1.03","0.0","0.0","0.0","0.0","15.25","31.02","128.0","64.0","112.75","96.98","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","34035.48","1.18","0.8","0.0","1.05","1.18","1.24","3.99","3.99","0.0","0.0","12.5","31.02","128.0","64.0","115.5","96.98","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","34035.48","1.17","0.8","0.0","1.21","1.17","1.42","7.59","7.59","0.0","0.0","6.32","31.02","128.0","64.0","121.68","96.98","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","34035.48","1.17","0.8","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","7.77","31.02","128.0","64.0","120.23","96.98","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","34035.48","1.17","0.8","0.0","1.41","1.17","1.65","0.0","0.0","0.0","0.0","9.41","31.02","128.0","64.0","118.59","96.98","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","34035.48","1.17","0.8","0.0","1.37","1.17","1.6","0.18","0.18","0.0","0.0","10.83","31.02","128.0","64.0","117.17","96.98","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","34035.48","1.09","0.8","0.0","1.4","1.09","1.53","0.0","0.0","0.0","0.0","12.36","31.02","128.0","64.0","115.64","96.98","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","34035.48","1.15","0.8","0.0","1.82","1.15","2.09","2.48","2.48","0.0","0.0","11.97","31.02","128.0","64.0","116.03","96.98","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","34035.48","1.13","0.8","0.0","2.76","1.13","3.11","1.34","1.34","0.0","0.0","13.74","31.02","128.0","64.0","114.26","96.98","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","34035.48","1.13","0.8","0.0","1.43","1.13","1.62","0.0","0.0","0.0","0.0","15.36","31.02","128.0","64.0","112.64","96.98","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","34035.48","1.03","0.8","0.0","1.32","1.03","1.36","0.0","0.0","0.0","0.0","16.72","31.02","128.0","64.0","111.28","96.98","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","34035.48","0.95","0.8","0.0","1.35","0.95","1.28","0.0","0.0","0.0","0.0","18.0","31.02","128.0","64.0","110.0","96.98","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","34035.48","0.87","0.8","0.0","1.56","0.87","1.36","0.0","0.0","0.0","0.0","19.36","31.02","128.0","64.0","108.64","96.98","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","34035.48","0.82","0.8","0.0","1.46","0.82","1.19","0.0","0.0","0.0","0.0","20.55","31.02","128.0","64.0","107.45","96.98","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","34035.48","0.77","0.8","0.0","1.32","0.8","1.06","0.0","0.0","0.0","0.0","21.61","31.02","128.0","64.0","106.39","96.98","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","34035.48","0.73","0.8","0.0","1.45","0.8","1.16","0.0","0.0","0.0","0.0","22.77","31.02","128.0","64.0","105.23","96.98","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","34035.48","0.7","0.8","0.0","1.39","0.8","1.11","0.0","0.0","0.0","0.0","23.88","31.02","128.0","64.0","104.12","96.98","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","34035.48","1.18","0.8","0.0","1.01","1.18","1.19","3.34","3.34","0.0","0.0","21.73","31.02","128.0","64.0","106.27","96.98","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","34035.48","1.17","0.8","0.0","1.47","1.17","1.72","0.0","0.0","0.0","0.0","23.45","31.02","128.0","64.0","104.55","96.98","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","34035.48","1.16","0.8","0.0","2.04","1.16","2.37","0.0","0.0","0.0","0.0","25.82","31.02","128.0","64.0","102.18","96.98","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","34035.48","1.14","0.8","0.0","1.55","1.14","1.76","0.0","0.0","0.0","0.0","27.58","31.02","128.0","64.0","100.42","96.98","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","34035.48","1.03","0.8","0.0","1.33","1.03","1.37","0.0","0.0","0.0","0.0","28.95","31.02","128.0","64.0","99.05","96.98","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","34035.48","0.97","0.8","0.0","1.03","0.97","1.0","0.0","0.0","0.0","0.0","29.94","31.02","128.0","64.0","98.06","96.98","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","34035.48","0.9","0.8","0.0","1.26","0.9","1.14","0.0","0.0","0.0","0.0","0.0","31.02","128.0","64.0","128.0","96.98","31.08","","","","","","",""
"2015.0","12.0","2.0","336.0","34035.48","0.85","0.8","0.0","1.12","0.85","0.96","0.0","0.0","0.0","0.0","0.96","31.02","128.0","64.0","127.04","96.98","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","34035.48","0.8","0.8","0.0","1.36","0.8","1.09","0.0","0.0","0.0","0.0","2.05","32.0","128.0","64.0","125.95","96.0","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","34035.48","1.18","0.8","0.0","1.07","1.18","1.26","3.44","3.31","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","34035.48","1.18","0.8","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","0.95","32.0","128.0","64.0","127.05","96.0","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","34035.48","1.18","0.8","0.0","1.38","1.18","1.62","0.0","0.0","0.0","0.0","2.57","32.0","128.0","64.0","125.43","96.0","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","34035.48","1.18","0.8","0.0","0.98","1.18","1.15","0.0","0.0","0.0","0.0","3.72","32.0","128.0","64.0","124.28","96.0","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","34035.48","1.18","0.8","0.0","0.65","1.18","0.77","0.0","0.0","0.0","0.0","4.49","32.0","128.0","64.0","123.51","96.0","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","34035.48","1.16","0.8","0.0","1.06","1.16","1.23","0.0","0.0","0.0","0.0","5.72","32.0","128.0","64.0","122.28","96.0","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","34035.48","1.17","0.8","0.0","1.17","1.17","1.37","1.42","1.42","0.0","0.0","5.67","32.0","128.0","64.0","122.33","96.0","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","34035.48","1.18","0.8","0.0","1.1","1.18","1.29","6.81","6.81","0.0","0.0","0.16","32.0","128.0","64.0","127.84","96.0","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","34035.48","1.18","0.8","0.0","0.92","1.18","1.09","0.35","0.35","0.0","0.0","0.89","32.0","128.0","64.0","127.11","96.0","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","34035.48","1.18","0.8","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","2.42","32.0","128.0","64.0","125.58","96.0","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","34035.48","1.15","0.8","0.0","1.68","1.15","1.94","9.24","4.36","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","34035.48","1.15","0.8","0.0","1.73","1.15","1.99","0.0","0.0","0.0","0.0","1.99","32.0","128.0","64.0","126.01","96.0","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","34035.48","1.16","0.8","0.0","0.96","1.16","1.12","0.0","0.0","0.0","0.0","3.11","32.0","128.0","64.0","124.89","96.0","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","34035.48","1.17","0.8","0.0","1.04","1.17","1.21","0.0","0.0","0.0","0.0","4.32","32.0","128.0","64.0","123.68","96.0","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","34035.48","1.09","0.8","0.0","1.26","1.09","1.37","0.0","0.0","0.0","0.0","5.69","32.0","128.0","64.0","122.31","96.0","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","34035.48","1.19","0.8","0.0","0.78","1.19","0.93","5.38","5.38","0.0","0.0","1.24","32.0","128.0","64.0","126.76","96.0","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","34035.48","1.19","0.8","0.0","0.65","1.19","0.78","2.22","2.01","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","34035.48","1.19","0.8","0.0","0.71","1.19","0.85","2.19","0.85","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","34035.48","1.17","0.8","0.0","1.23","1.17","1.44","12.56","1.44","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","34035.48","1.16","0.8","0.0","1.54","1.16","1.79","0.61","0.61","0.0","0.0","1.18","32.0","128.0","64.0","126.82","96.0","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","34035.48","1.17","0.8","0.0","0.96","1.17","1.12","0.75","0.75","0.0","0.0","1.56","32.0","128.0","64.0","126.44","96.0","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","34035.48","1.18","0.8","0.0","0.92","1.18","1.09","4.55","2.65","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","34035.48","1.17","0.8","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","1.64","32.0","128.0","64.0","126.36","96.0","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","34035.48","1.18","0.8","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","2.33","32.0","128.0","64.0","125.67","96.0","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","34035.48","1.19","0.8","0.0","0.71","1.19","0.85","1.42","1.42","0.0","0.0","1.75","32.0","128.0","64.0","126.25","96.0","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","34035.48","1.19","0.8","0.0","0.91","1.19","1.08","0.09","0.09","0.0","0.0","2.74","32.0","128.0","64.0","125.26","96.0","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","34035.48","1.19","0.8","0.0","0.83","1.19","0.99","0.0","0.0","0.0","0.0","3.73","32.0","128.0","64.0","124.27","96.0","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","34035.48","1.19","0.8","0.0","0.98","1.19","1.16","0.0","0.0","0.0","0.0","4.89","32.0","128.0","64.0","123.11","96.0","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","34035.48","1.18","0.8","0.0","1.24","1.18","1.47","0.0","0.0","0.0","0.0","6.36","32.0","128.0","64.0","121.64","96.0","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","34035.48","1.18","0.8","0.0","1.05","1.18","1.24","0.0","0.0","0.0","0.0","7.6","30.61","128.0","64.0","120.4","97.39","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","34035.48","1.08","0.8","0.0","1.15","1.08","1.24","0.0","0.0","0.0","0.0","8.84","30.61","128.0","64.0","119.16","97.39","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","34035.48","1.01","0.8","0.0","1.0","1.01","1.01","0.48","0.48","0.0","0.0","9.37","30.61","128.0","64.0","118.63","97.39","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","34035.48","1.18","0.8","0.0","0.94","1.18","1.11","17.04","10.48","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","34035.48","1.19","0.8","0.0","0.84","1.19","1.0","12.02","1.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","34035.48","1.19","0.8","0.0","0.63","1.19","0.75","3.07","0.75","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","34035.48","1.19","0.8","0.0","0.72","1.19","0.86","0.03","0.03","0.0","0.0","0.83","30.61","128.0","64.0","127.17","97.39","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","34035.48","1.19","0.8","0.0","0.98","1.19","1.17","0.69","0.69","0.0","0.0","1.3","30.61","128.0","64.0","126.7","97.39","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","34035.48","1.19","0.8","0.0","0.9","1.19","1.07","0.11","0.11","0.0","0.0","2.26","30.61","128.0","64.0","125.74","97.39","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","34035.48","1.19","0.8","0.0","1.01","1.19","1.2","0.07","0.07","0.0","0.0","3.39","30.61","128.0","64.0","124.61","97.39","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","34035.48","1.19","0.8","0.0","1.0","1.19","1.19","0.0","0.0","0.0","0.0","4.58","30.61","128.0","64.0","123.42","97.39","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","34035.48","1.16","0.8","0.0","1.49","1.16","1.73","1.11","1.11","0.0","0.0","5.2","30.61","128.0","64.0","122.8","97.39","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","34035.48","1.18","0.8","0.0","0.76","1.18","0.89","0.94","0.94","0.0","0.0","5.15","30.61","128.0","64.0","122.85","97.39","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","34035.48","1.18","0.8","0.0","1.0","1.18","1.18","2.22","2.22","0.0","0.0","4.11","30.61","128.0","64.0","123.89","97.39","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","34035.48","1.18","0.8","0.0","0.95","1.18","1.12","5.86","5.23","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","34035.48","1.18","0.8","0.0","0.85","1.18","1.01","0.65","0.65","0.0","0.0","0.36","30.61","128.0","64.0","127.64","97.39","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","34035.48","1.17","0.8","0.0","1.28","1.17","1.5","31.35","1.85","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","34035.48","1.17","0.8","0.0","1.25","1.17","1.46","6.76","1.46","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","34035.48","1.18","0.8","0.0","1.11","1.18","1.3","11.56","1.3","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","34035.48","1.17","0.8","0.0","1.19","1.17","1.4","0.14","0.14","0.0","0.0","1.26","30.61","128.0","64.0","126.74","97.39","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","34035.48","1.17","0.8","0.0","1.18","1.17","1.38","0.14","0.14","0.0","0.0","2.5","30.61","128.0","64.0","125.5","97.39","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","34035.48","1.16","0.8","0.0","1.4","1.16","1.63","10.02","4.13","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","34035.48","1.17","0.8","0.0","1.16","1.17","1.36","0.54","0.54","0.0","0.0","0.82","30.61","128.0","64.0","127.18","97.39","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","34035.48","1.17","0.8","0.0","1.1","1.17","1.29","0.19","0.19","0.0","0.0","1.91","30.61","128.0","64.0","126.09","97.39","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","34035.48","1.17","0.8","0.0","1.14","1.17","1.34","0.0","0.0","0.0","0.0","3.25","30.61","128.0","64.0","124.75","97.39","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","34035.48","1.14","0.8","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.73","30.61","128.0","64.0","123.27","97.39","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","34035.48","1.06","0.8","0.0","0.95","1.06","1.01","0.0","0.0","0.0","0.0","5.74","30.61","128.0","64.0","122.26","97.39","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","34035.48","0.98","0.8","0.0","1.13","0.98","1.11","0.01","0.01","0.0","0.0","6.84","30.61","128.0","64.0","121.16","97.39","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","34035.48","1.16","0.8","0.0","1.57","1.16","1.82","5.01","5.01","0.0","0.0","3.65","30.61","128.0","64.0","124.35","97.39","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","34035.48","1.14","0.8","0.0","2.26","1.14","2.58","0.63","0.63","0.0","0.0","5.6","30.61","128.0","64.0","122.4","97.39","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","34035.48","1.08","0.8","0.0","2.74","1.08","2.96","1.38","1.38","0.0","0.0","7.18","30.61","128.0","64.0","120.82","97.39","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","34035.48","1.0","0.8","0.0","1.21","1.0","1.21","0.08","0.08","0.0","0.0","8.31","30.61","128.0","64.0","119.69","97.39","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","34035.48","0.93","0.8","0.0","1.16","0.93","1.08","0.1","0.1","0.0","0.0","9.29","30.61","128.0","64.0","118.71","97.39","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","34035.48","0.86","0.8","0.0","1.5","0.86","1.29","0.0","0.0","0.0","0.0","10.58","30.61","128.0","64.0","117.42","97.39","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","34035.48","0.81","0.8","0.0","1.44","0.81","1.17","0.0","0.0","0.0","0.0","11.75","30.61","128.0","64.0","116.25","97.39","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","34035.48","0.76","0.8","0.0","1.65","0.8","1.32","0.0","0.0","0.0","0.0","13.07","30.61","128.0","64.0","114.93","97.39","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","34035.48","0.71","0.8","0.0","1.87","0.8","1.5","0.0","0.0","0.0","0.0","14.56","30.61","128.0","64.0","113.44","97.39","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","34035.48","0.67","0.8","0.0","1.98","0.8","1.58","0.0","0.0","0.0","0.0","16.15","30.61","128.0","64.0","111.85","97.39","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","34035.48","0.63","0.8","0.0","2.0","0.8","1.6","0.0","0.0","0.0","0.0","17.75","30.61","128.0","64.0","110.25","97.39","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","34035.48","0.6","0.8","0.0","1.98","0.8","1.58","0.0","0.0","0.0","0.0","19.33","30.61","128.0","64.0","108.67","97.39","0.0","","","","","","",""
