" Daily soil water balance output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","1704.65","0.08","0.85","0.0","3.87","0.85","3.29","0.0","0.0","0.0","0.0","23.72","56.62","241.4","120.7","217.68","184.79","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","1704.65","0.08","0.85","0.0","3.07","0.85","2.61","0.46","0.46","0.0","0.0","25.87","56.62","241.4","120.7","215.53","184.79","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","1704.65","0.08","0.85","0.0","2.72","0.85","2.31","0.25","0.25","0.0","0.0","27.94","56.62","241.4","120.7","213.47","184.79","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","1704.65","0.08","0.85","0.0","2.76","0.85","2.35","0.0","0.0","0.0","0.0","30.28","56.62","241.4","120.7","211.12","184.79","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","1704.65","0.08","0.85","0.0","4.23","0.85","3.6","0.0","0.0","0.0","0.0","33.88","56.62","241.4","120.7","207.53","184.79","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","1704.65","0.08","0.85","0.0","3.4","0.85","2.89","0.0","0.0","0.0","0.0","36.77","56.62","241.4","120.7","204.64","184.79","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","1704.65","0.08","0.85","0.0","3.1","0.85","2.64","0.0","0.0","0.0","0.0","39.4","56.62","241.4","120.7","202.0","184.79","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","1704.65","0.08","0.85","0.0","2.7","0.85","2.3","0.0","0.0","0.0","0.0","41.7","56.62","241.4","120.7","199.71","184.79","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","1704.65","0.08","0.85","0.0","2.55","0.85","2.17","0.0","0.0","0.0","0.0","43.86","56.62","241.4","120.7","197.54","184.79","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","1704.65","0.08","0.85","0.0","3.28","0.85","2.79","0.0","0.0","0.0","0.0","46.65","56.62","241.4","120.7","194.75","184.79","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","1704.65","0.08","0.85","0.0","2.56","0.85","2.18","0.0","0.0","0.0","0.0","48.83","56.62","241.4","120.7","192.57","184.79","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","1704.65","0.08","0.85","0.0","2.18","0.85","1.85","0.0","0.0","0.0","0.0","50.68","56.62","241.4","120.7","190.72","184.79","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","1704.65","0.08","0.85","0.0","2.28","0.85","1.94","0.11","0.11","0.0","0.0","52.51","56.62","241.4","120.7","188.89","184.79","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","1704.65","0.08","0.85","0.0","4.38","0.85","3.72","0.0","0.0","0.0","0.0","56.23","56.62","241.4","120.7","185.17","184.79","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","1704.65","0.08","0.85","0.0","3.64","0.85","3.09","0.0","0.0","0.0","0.0","0.0","56.62","241.4","120.7","241.4","184.79","59.33","","","","","","",""
"2015.0","10.0","31.0","304.0","1704.65","0.08","0.85","0.0","3.24","0.85","2.75","0.0","0.0","0.0","0.0","2.75","56.62","241.4","120.7","238.65","184.79","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","1704.65","0.08","0.85","0.0","2.27","0.85","1.93","0.0","0.0","0.0","0.0","4.68","56.62","241.4","120.7","236.72","184.79","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","1704.65","1.17","0.85","0.0","1.22","1.17","1.43","13.87","6.11","0.0","0.0","0.0","56.62","241.4","120.7","241.4","184.79","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","1704.65","1.14","0.85","0.0","2.1","1.14","2.39","10.1","2.39","0.0","0.0","0.0","56.62","241.4","120.7","241.4","184.79","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","1704.65","1.12","0.85","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","3.42","56.62","241.4","120.7","237.98","184.79","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","1704.65","1.05","0.85","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","5.24","56.62","241.4","120.7","236.16","184.79","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","1704.65","0.93","0.85","0.0","1.87","0.93","1.75","0.0","0.0","0.0","0.0","6.99","56.62","241.4","120.7","234.42","184.79","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","1704.65","0.86","0.85","0.0","1.66","0.86","1.43","0.0","0.0","0.0","0.0","8.41","56.62","241.4","120.7","232.99","184.79","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","1704.65","0.81","0.85","0.0","1.24","0.85","1.05","0.0","0.0","0.0","0.0","9.47","56.62","241.4","120.7","231.94","184.79","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","1704.65","1.18","0.85","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","6.52","56.62","241.4","120.7","234.88","184.79","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","1704.65","1.17","0.85","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","0.17","56.62","241.4","120.7","241.23","184.79","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","1704.65","1.17","0.85","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","1.61","56.62","241.4","120.7","239.79","184.79","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","1704.65","1.17","0.85","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.25","56.62","241.4","120.7","238.15","184.79","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","1704.65","1.17","0.85","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","4.78","56.62","241.4","120.7","236.63","184.79","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","1704.65","1.09","0.85","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","6.29","56.62","241.4","120.7","235.12","184.79","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","1704.65","1.15","0.85","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","6.34","56.62","241.4","120.7","235.06","184.79","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","1704.65","1.13","0.85","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","7.35","56.62","241.4","120.7","234.05","184.79","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","1704.65","1.13","0.85","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","8.98","56.62","241.4","120.7","232.43","184.79","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","1704.65","1.03","0.85","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","10.32","56.62","241.4","120.7","231.08","184.79","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","1704.65","0.95","0.85","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","11.59","56.62","241.4","120.7","229.81","184.79","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","1704.65","0.87","0.85","0.0","1.57","0.87","1.37","0.0","0.0","0.0","0.0","12.96","56.62","241.4","120.7","228.44","184.79","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","1704.65","0.82","0.85","0.0","1.46","0.85","1.24","0.0","0.0","0.0","0.0","14.2","56.62","241.4","120.7","227.2","184.79","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","1704.65","0.77","0.85","0.0","1.31","0.85","1.11","0.0","0.0","0.0","0.0","15.32","56.62","241.4","120.7","226.09","184.79","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","1704.65","0.74","0.85","0.0","1.44","0.85","1.22","0.0","0.0","0.0","0.0","16.54","56.62","241.4","120.7","224.86","184.79","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","1704.65","0.7","0.85","0.0","1.38","0.85","1.17","0.0","0.0","0.0","0.0","17.71","56.62","241.4","120.7","223.69","184.79","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","1704.65","1.18","0.85","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","15.51","56.62","241.4","120.7","225.9","184.79","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","1704.65","1.17","0.85","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","17.28","56.62","241.4","120.7","224.12","184.79","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","1704.65","1.16","0.85","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","19.72","56.62","241.4","120.7","221.69","184.79","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","1704.65","1.12","0.85","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","21.48","56.62","241.4","120.7","219.92","184.79","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","1704.65","1.02","0.85","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","22.84","56.62","241.4","120.7","218.56","184.79","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","1704.65","0.96","0.85","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","23.83","56.62","241.4","120.7","217.57","184.79","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","1704.65","0.89","0.85","0.0","1.25","0.89","1.12","0.0","0.0","0.0","0.0","24.95","56.62","241.4","120.7","216.45","184.79","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","1704.65","0.85","0.85","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","25.9","56.62","241.4","120.7","215.5","184.79","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","1704.65","0.8","0.85","0.0","1.3","0.85","1.11","0.0","0.0","0.0","0.0","27.0","56.62","241.4","120.7","214.4","184.79","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","1704.65","1.18","0.85","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","23.4","56.62","241.4","120.7","218.0","184.79","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","1704.65","1.18","0.85","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","24.32","56.62","241.4","120.7","217.08","184.79","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","1704.65","1.18","0.85","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","25.91","56.62","241.4","120.7","215.49","184.79","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","1704.65","1.18","0.85","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","27.05","56.62","241.4","120.7","214.36","184.79","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","1704.65","1.18","0.85","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","27.79","56.62","241.4","120.7","213.61","184.79","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","1704.65","1.17","0.85","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","29.01","56.62","241.4","120.7","212.39","184.79","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","1704.65","1.17","0.85","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","29.08","56.62","241.4","120.7","212.33","184.79","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","1704.65","1.18","0.85","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","23.23","56.62","241.4","120.7","218.17","184.79","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","1704.65","1.18","0.85","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","23.88","56.62","241.4","120.7","217.52","184.79","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","1704.65","1.18","0.85","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","25.41","56.62","241.4","120.7","215.99","184.79","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","1704.65","1.15","0.85","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","17.55","56.62","241.4","120.7","223.85","184.79","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","1704.65","1.15","0.85","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","19.6","56.62","241.4","120.7","221.81","184.79","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","1704.65","1.16","0.85","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","20.7","56.62","241.4","120.7","220.7","184.79","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","1704.65","1.17","0.85","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","21.89","56.62","241.4","120.7","219.51","184.79","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","1704.65","1.09","0.85","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","23.23","56.62","241.4","120.7","218.17","184.79","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","1704.65","1.19","0.85","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","18.27","56.62","241.4","120.7","223.14","184.79","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","1704.65","1.19","0.85","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","17.02","56.62","241.4","120.7","224.38","184.79","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","1704.65","1.19","0.85","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","15.35","56.62","241.4","120.7","226.05","184.79","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","1704.65","1.17","0.85","0.0","1.22","1.17","1.43","12.24","12.24","0.0","0.0","4.54","56.62","241.4","120.7","236.86","184.79","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","1704.65","1.17","0.85","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","5.75","56.62","241.4","120.7","235.65","184.79","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","1704.65","1.17","0.85","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","6.3","56.62","241.4","120.7","235.1","184.79","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","1704.65","1.18","0.85","0.0","0.91","1.18","1.08","4.96","4.96","0.0","0.0","2.42","56.62","241.4","120.7","238.99","184.79","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","1704.65","1.17","0.85","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","4.08","56.62","241.4","120.7","237.32","184.79","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","1704.65","1.18","0.85","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","4.77","56.62","241.4","120.7","236.63","184.79","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","1704.65","1.19","0.85","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","4.1","56.62","241.4","120.7","237.3","184.79","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","1704.65","1.19","0.85","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","5.02","56.62","241.4","120.7","236.38","184.79","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","1704.65","1.19","0.85","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","6.0","56.62","241.4","120.7","235.4","184.79","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","1704.65","1.19","0.85","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","7.17","56.62","241.4","120.7","234.23","184.79","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","1704.65","1.18","0.85","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","8.66","56.99","241.4","120.7","232.74","184.42","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","1704.65","1.18","0.85","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","9.93","56.99","241.4","120.7","231.47","184.42","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","1704.65","1.07","0.85","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","11.18","56.99","241.4","120.7","230.23","184.42","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","1704.65","1.0","0.85","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","11.67","56.99","241.4","120.7","229.73","184.42","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","1704.65","1.18","0.85","0.0","0.92","1.18","1.09","16.91","12.76","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","1704.65","1.19","0.85","0.0","0.84","1.19","1.0","13.14","1.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","1704.65","1.2","0.85","0.0","0.62","1.2","0.74","4.52","0.74","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","1704.65","1.19","0.85","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","0.81","56.99","241.4","120.7","240.59","184.42","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","1704.65","1.18","0.85","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","1.08","56.99","241.4","120.7","240.32","184.42","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","1704.65","1.18","0.85","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","1.76","56.99","241.4","120.7","239.65","184.42","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","1704.65","1.18","0.85","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","2.87","56.99","241.4","120.7","238.53","184.42","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","1704.65","1.18","0.85","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","4.03","56.99","241.4","120.7","237.38","184.42","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","1704.65","1.16","0.85","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","4.43","56.99","241.4","120.7","236.97","184.42","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","1704.65","1.19","0.85","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","3.65","56.99","241.4","120.7","237.75","184.42","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","1704.65","1.18","0.85","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","2.27","56.99","241.4","120.7","239.13","184.42","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","1704.65","1.18","0.85","0.0","0.93","1.18","1.1","5.84","3.37","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","1704.65","1.19","0.85","0.0","0.83","1.19","0.99","1.4","0.99","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","1704.65","1.17","0.85","0.0","1.26","1.17","1.47","34.61","1.47","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","1704.65","1.17","0.85","0.0","1.26","1.17","1.47","6.57","1.47","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","1704.65","1.18","0.85","0.0","1.1","1.18","1.29","15.1","1.29","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","1704.65","1.17","0.85","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","56.99","241.4","120.7","240.13","184.42","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","1704.65","1.17","0.85","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","56.99","241.4","120.7","238.91","184.42","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","1704.65","1.16","0.85","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","1704.65","1.17","0.85","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","56.99","241.4","120.7","240.81","184.42","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","1704.65","1.17","0.85","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","56.99","241.4","120.7","239.61","184.42","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","1704.65","1.17","0.85","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","56.99","241.4","120.7","238.29","184.42","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","1704.65","1.14","0.85","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","56.99","241.4","120.7","236.81","184.42","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","1704.65","1.06","0.85","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","56.99","241.4","120.7","235.82","184.42","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","1704.65","0.99","0.85","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","56.99","241.4","120.7","234.78","184.42","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","1704.65","1.16","0.85","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","56.99","241.4","120.7","238.51","184.42","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","1704.65","1.14","0.85","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","56.99","241.4","120.7","236.57","184.42","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","1704.65","1.08","0.85","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","56.99","241.4","120.7","234.74","184.42","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","1704.65","1.0","0.85","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","56.99","241.4","120.7","233.6","184.42","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","1704.65","0.93","0.85","0.0","1.14","0.93","1.06","0.1","0.1","0.0","0.0","8.77","56.99","241.4","120.7","232.63","184.42","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","1704.65","0.86","0.85","0.0","1.5","0.86","1.3","0.0","0.0","0.0","0.0","10.06","56.99","241.4","120.7","231.34","184.42","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","1704.65","0.81","0.85","0.0","1.43","0.85","1.22","0.0","0.0","0.0","0.0","11.28","56.99","241.4","120.7","230.12","184.42","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","1704.65","0.76","0.85","0.0","1.64","0.85","1.39","0.0","0.0","0.0","0.0","12.67","56.99","241.4","120.7","228.73","184.42","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","1704.65","0.71","0.85","0.0","1.87","0.85","1.59","0.0","0.0","0.0","0.0","14.26","56.99","241.4","120.7","227.14","184.42","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","1704.65","0.67","0.85","0.0","1.98","0.85","1.68","0.0","0.0","0.0","0.0","15.95","56.99","241.4","120.7","225.45","184.42","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","1704.65","0.63","0.85","0.0","1.99","0.85","1.69","0.0","0.0","0.0","0.0","17.64","56.99","241.4","120.7","223.76","184.42","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","1704.65","0.6","0.85","0.0","1.96","0.85","1.67","0.0","0.0","0.0","0.0","19.3","56.99","241.4","120.7","222.1","184.42","0.0","","","","","","",""
