" Daily soil water balance output for Alfalfa in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Alfalfa in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","39402.3","0.08","0.9","0.0","3.87","0.9","3.48","0.0","0.0","0.0","0.0","94.22","123.69","600.92","300.46","506.7","477.23","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","39402.3","0.08","0.9","0.0","3.07","0.9","2.76","0.46","0.46","0.0","0.0","96.53","123.69","600.92","300.46","504.39","477.23","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","39402.3","0.08","0.9","0.0","2.72","0.9","2.45","0.25","0.25","0.0","0.0","98.72","123.69","600.92","300.46","502.19","477.23","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","39402.3","0.08","0.9","0.0","2.76","0.9","2.48","0.0","0.0","0.0","0.0","101.21","123.69","600.92","300.46","499.71","477.23","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","39402.3","0.08","0.9","0.0","4.23","0.9","3.81","0.0","0.0","0.0","0.0","105.02","123.69","600.92","300.46","495.9","477.23","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","39402.3","0.08","0.9","0.0","3.4","0.9","3.06","0.0","0.0","0.0","0.0","108.08","123.69","600.92","300.46","492.84","477.23","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","39402.3","0.08","0.9","0.0","3.1","0.9","2.79","0.0","0.0","0.0","0.0","110.87","123.69","600.92","300.46","490.05","477.23","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","39402.3","0.08","0.9","0.0","2.7","0.9","2.43","0.0","0.0","0.0","0.0","113.3","123.69","600.92","300.46","487.62","477.23","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","39402.3","0.08","0.9","0.0","2.55","0.9","2.3","0.0","0.0","0.0","0.0","115.59","123.69","600.92","300.46","485.33","477.23","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","39402.3","0.08","0.9","0.0","3.28","0.9","2.95","0.0","0.0","0.0","0.0","118.54","123.69","600.92","300.46","482.38","477.23","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","39402.3","0.08","0.9","0.0","2.56","0.9","2.3","0.0","0.0","0.0","0.0","120.85","123.69","600.92","300.46","480.07","477.23","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","39402.3","0.08","0.9","0.0","2.18","0.9","1.96","0.0","0.0","0.0","0.0","122.81","123.69","600.92","300.46","478.11","477.23","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","39402.3","0.08","0.9","0.0","2.28","0.9","2.05","0.11","0.11","0.0","0.0","0.0","123.69","600.92","300.46","600.92","477.23","124.75","","","","","","",""
"2015.0","10.0","29.0","302.0","39402.3","0.08","0.9","0.0","4.38","0.9","3.94","0.0","0.0","0.0","0.0","3.94","123.69","600.92","300.46","596.98","477.23","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","39402.3","0.08","0.9","0.0","3.64","0.9","3.28","0.0","0.0","0.0","0.0","7.22","123.69","600.92","300.46","593.7","477.23","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","39402.3","0.08","0.9","0.0","3.24","0.9","2.92","0.0","0.0","0.0","0.0","10.13","123.69","600.92","300.46","590.78","477.23","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","39402.3","0.08","0.9","0.0","2.27","0.9","2.04","0.0","0.0","0.0","0.0","12.18","123.69","600.92","300.46","588.74","477.23","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","39402.3","1.17","0.9","0.0","1.22","1.17","1.43","13.87","13.61","0.0","0.0","0.0","123.69","600.92","300.46","600.92","477.23","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","39402.3","1.14","0.9","0.0","2.1","1.14","2.39","10.1","2.39","0.0","0.0","0.0","123.69","600.92","300.46","600.92","477.23","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","39402.3","1.12","0.9","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","3.42","123.69","600.92","300.46","597.5","477.23","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","39402.3","1.05","0.9","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","5.24","123.69","600.92","300.46","595.68","477.23","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","39402.3","0.93","0.9","0.0","1.87","0.93","1.75","0.0","0.0","0.0","0.0","6.99","123.69","600.92","300.46","593.93","477.23","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","39402.3","0.86","0.9","0.0","1.66","0.9","1.49","0.0","0.0","0.0","0.0","8.48","123.69","600.92","300.46","592.44","477.23","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","39402.3","0.81","0.9","0.0","1.24","0.9","1.12","0.0","0.0","0.0","0.0","9.6","123.69","600.92","300.46","591.32","477.23","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","39402.3","1.18","0.9","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","6.65","123.69","600.92","300.46","594.27","477.23","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","39402.3","1.17","0.9","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","0.3","123.69","600.92","300.46","600.62","477.23","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","39402.3","1.17","0.9","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","1.74","123.69","600.92","300.46","599.18","477.23","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","39402.3","1.17","0.9","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.38","123.69","600.92","300.46","597.54","477.23","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","39402.3","1.17","0.9","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","4.91","123.69","600.92","300.46","596.01","477.23","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","39402.3","1.09","0.9","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","6.42","123.69","600.92","300.46","594.5","477.23","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","39402.3","1.15","0.9","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","6.47","123.69","600.92","300.46","594.44","477.23","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","39402.3","1.13","0.9","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","7.48","123.69","600.92","300.46","593.44","477.23","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","39402.3","1.13","0.9","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","9.11","123.69","600.92","300.46","591.81","477.23","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","39402.3","1.03","0.9","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","10.45","123.69","600.92","300.46","590.46","477.23","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","39402.3","0.95","0.9","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","11.72","123.69","600.92","300.46","589.19","477.23","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","39402.3","0.87","0.9","0.0","1.57","0.9","1.41","0.0","0.0","0.0","0.0","13.14","123.69","600.92","300.46","587.78","477.23","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","39402.3","0.82","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","14.45","123.69","600.92","300.46","586.47","477.23","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","39402.3","0.77","0.9","0.0","1.31","0.9","1.18","0.0","0.0","0.0","0.0","15.63","123.69","600.92","300.46","585.29","477.23","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","39402.3","0.74","0.9","0.0","1.44","0.9","1.3","0.0","0.0","0.0","0.0","16.93","123.69","600.92","300.46","583.99","477.23","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","39402.3","0.7","0.9","0.0","1.38","0.9","1.24","0.0","0.0","0.0","0.0","18.17","123.69","600.92","300.46","582.75","477.23","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","39402.3","1.18","0.9","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","15.96","123.69","600.92","300.46","584.96","477.23","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","39402.3","1.17","0.9","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","17.74","123.69","600.92","300.46","583.18","477.23","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","39402.3","1.16","0.9","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","20.17","123.69","600.92","300.46","580.75","477.23","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","39402.3","1.12","0.9","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","21.93","123.69","600.92","300.46","578.99","477.23","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","39402.3","1.02","0.9","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","23.3","123.69","600.92","300.46","577.62","477.23","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","39402.3","0.96","0.9","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","24.28","123.69","600.92","300.46","576.63","477.23","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","39402.3","0.89","0.9","0.0","1.25","0.9","1.13","0.0","0.0","0.0","0.0","25.41","123.69","600.92","300.46","575.51","477.23","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","39402.3","0.85","0.9","0.0","1.12","0.9","1.01","0.0","0.0","0.0","0.0","26.42","123.69","600.92","300.46","574.5","477.23","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","39402.3","0.8","0.9","0.0","1.3","0.9","1.17","0.0","0.0","0.0","0.0","27.59","123.69","600.92","300.46","573.33","477.23","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","39402.3","1.18","0.9","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","23.98","123.69","600.92","300.46","576.93","477.23","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","39402.3","1.18","0.9","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","24.91","123.69","600.92","300.46","576.01","477.23","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","39402.3","1.18","0.9","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","26.5","123.69","600.92","300.46","574.42","477.23","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","39402.3","1.18","0.9","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","27.63","123.69","600.92","300.46","573.29","477.23","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","39402.3","1.18","0.9","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","28.37","123.69","600.92","300.46","572.55","477.23","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","39402.3","1.17","0.9","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","29.59","123.69","600.92","300.46","571.33","477.23","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","39402.3","1.17","0.9","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","29.66","123.69","600.92","300.46","571.26","477.23","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","39402.3","1.18","0.9","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","23.81","123.69","600.92","300.46","577.11","477.23","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","39402.3","1.18","0.9","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","24.46","123.69","600.92","300.46","576.45","477.23","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","39402.3","1.18","0.9","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","25.99","123.69","600.92","300.46","574.92","477.23","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","39402.3","1.15","0.9","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","18.13","123.69","600.92","300.46","582.79","477.23","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","39402.3","1.15","0.9","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","20.18","123.69","600.92","300.46","580.74","477.23","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","39402.3","1.16","0.9","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","21.28","123.69","600.92","300.46","579.64","477.23","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","39402.3","1.17","0.9","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","22.47","123.69","600.92","300.46","578.45","477.23","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","39402.3","1.09","0.9","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","23.81","123.69","600.92","300.46","577.11","477.23","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","39402.3","1.19","0.9","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","18.85","123.69","600.92","300.46","582.07","477.23","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","39402.3","1.19","0.9","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","17.6","123.69","600.92","300.46","583.32","477.23","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","39402.3","1.19","0.9","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","15.93","123.69","600.92","300.46","584.98","477.23","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","39402.3","1.17","0.9","0.0","1.22","1.17","1.43","12.24","12.24","0.0","0.0","5.12","123.69","600.92","300.46","595.79","477.23","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","39402.3","1.17","0.9","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","6.33","123.69","600.92","300.46","594.58","477.23","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","39402.3","1.17","0.9","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","6.88","123.69","600.92","300.46","594.04","477.23","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","39402.3","1.18","0.9","0.0","0.91","1.18","1.08","4.96","4.96","0.0","0.0","3.0","123.69","600.92","300.46","597.92","477.23","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","39402.3","1.17","0.9","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","4.66","123.69","600.92","300.46","596.25","477.23","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","39402.3","1.18","0.9","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","5.35","123.69","600.92","300.46","595.57","477.23","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","39402.3","1.19","0.9","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","4.68","123.69","600.92","300.46","596.23","477.23","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","39402.3","1.19","0.9","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","5.61","123.69","600.92","300.46","595.31","477.23","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","39402.3","1.19","0.9","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","6.58","123.69","600.92","300.46","594.34","477.23","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","39402.3","1.19","0.9","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","7.75","123.69","600.92","300.46","593.17","477.23","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","39402.3","1.18","0.9","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","9.24","123.86","600.92","300.46","591.68","477.06","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","39402.3","1.18","0.9","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","10.51","123.86","600.92","300.46","590.4","477.06","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","39402.3","1.07","0.9","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","11.76","123.86","600.92","300.46","589.16","477.06","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","39402.3","1.0","0.9","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","12.25","123.86","600.92","300.46","588.67","477.06","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","39402.3","1.18","0.9","0.0","0.92","1.18","1.09","16.91","13.34","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","39402.3","1.19","0.9","0.0","0.84","1.19","1.0","13.14","1.0","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","39402.3","1.2","0.9","0.0","0.62","1.2","0.74","4.52","0.74","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","39402.3","1.19","0.9","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","0.81","123.86","600.92","300.46","600.11","477.06","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","39402.3","1.18","0.9","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","1.08","123.86","600.92","300.46","599.84","477.06","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","39402.3","1.18","0.9","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","1.76","123.86","600.92","300.46","599.16","477.06","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","39402.3","1.18","0.9","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","2.87","123.86","600.92","300.46","598.05","477.06","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","39402.3","1.18","0.9","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","4.03","123.86","600.92","300.46","596.89","477.06","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","39402.3","1.16","0.9","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","4.43","123.86","600.92","300.46","596.49","477.06","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","39402.3","1.19","0.9","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","3.65","123.86","600.92","300.46","597.27","477.06","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","39402.3","1.18","0.9","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","2.27","123.86","600.92","300.46","598.65","477.06","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","39402.3","1.18","0.9","0.0","0.93","1.18","1.1","5.84","3.37","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","39402.3","1.19","0.9","0.0","0.83","1.19","0.99","1.4","0.99","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","39402.3","1.17","0.9","0.0","1.26","1.17","1.47","34.61","1.47","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","39402.3","1.17","0.9","0.0","1.26","1.17","1.47","6.57","1.47","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","39402.3","1.18","0.9","0.0","1.1","1.18","1.29","15.1","1.29","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","39402.3","1.17","0.9","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","123.86","600.92","300.46","599.64","477.06","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","39402.3","1.17","0.9","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","123.86","600.92","300.46","598.42","477.06","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","39402.3","1.16","0.9","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","123.86","600.92","300.46","600.92","477.06","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","39402.3","1.17","0.9","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","123.86","600.92","300.46","600.32","477.06","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","39402.3","1.17","0.9","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","123.86","600.92","300.46","599.12","477.06","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","39402.3","1.17","0.9","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","123.86","600.92","300.46","597.81","477.06","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","39402.3","1.14","0.9","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","123.86","600.92","300.46","596.33","477.06","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","39402.3","1.06","0.9","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","123.86","600.92","300.46","595.34","477.06","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","39402.3","0.99","0.9","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","123.86","600.92","300.46","594.29","477.06","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","39402.3","1.16","0.9","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","123.86","600.92","300.46","598.02","477.06","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","39402.3","1.14","0.9","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","123.86","600.92","300.46","596.09","477.06","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","39402.3","1.08","0.9","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","123.86","600.92","300.46","594.26","477.06","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","39402.3","1.0","0.9","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","123.86","600.92","300.46","593.11","477.06","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","39402.3","0.93","0.9","0.0","1.14","0.93","1.06","0.1","0.1","0.0","0.0","8.77","123.86","600.92","300.46","592.15","477.06","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","39402.3","0.86","0.9","0.0","1.5","0.9","1.35","0.0","0.0","0.0","0.0","10.12","123.86","600.92","300.46","590.8","477.06","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","39402.3","0.81","0.9","0.0","1.43","0.9","1.29","0.0","0.0","0.0","0.0","11.41","123.86","600.92","300.46","589.51","477.06","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","39402.3","0.76","0.9","0.0","1.64","0.9","1.48","0.0","0.0","0.0","0.0","12.88","123.86","600.92","300.46","588.04","477.06","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","39402.3","0.71","0.9","0.0","1.87","0.9","1.68","0.0","0.0","0.0","0.0","14.56","123.86","600.92","300.46","586.35","477.06","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","39402.3","0.67","0.9","0.0","1.98","0.9","1.78","0.0","0.0","0.0","0.0","16.35","123.86","600.92","300.46","584.57","477.06","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","39402.3","0.63","0.9","0.0","1.99","0.9","1.79","0.0","0.0","0.0","0.0","18.14","123.86","600.92","300.46","582.78","477.06","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","39402.3","0.6","0.9","0.0","1.96","0.9","1.76","0.0","0.0","0.0","0.0","19.9","123.86","600.92","300.46","581.02","477.06","0.0","","","","","","",""
