" Daily soil water balance output for Corn in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","704.1","0.08","0.0","0.0","3.93","0.08","0.32","0.0","0.0","0.0","0.0","27.32","27.0","384.05","192.02","356.73","357.05","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","704.1","0.08","0.0","0.0","2.96","0.08","0.24","2.76","2.76","0.0","0.0","24.56","27.0","384.05","192.02","359.49","357.05","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","704.1","0.08","0.0","0.0","2.48","0.08","0.2","0.11","0.11","0.0","0.0","24.64","27.0","384.05","192.02","359.4","357.05","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","704.1","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","24.86","27.0","384.05","192.02","359.19","357.05","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","704.1","0.08","0.0","0.0","4.68","0.08","0.37","0.0","0.0","0.0","0.0","25.23","27.0","384.05","192.02","358.82","357.05","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","704.1","0.08","0.0","0.0","3.66","0.08","0.29","0.0","0.0","0.0","0.0","25.52","27.0","384.05","192.02","358.53","357.05","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","704.1","0.08","0.0","0.0","3.17","0.08","0.25","0.0","0.0","0.0","0.0","25.78","27.0","384.05","192.02","358.27","357.05","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","704.1","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","25.98","27.0","384.05","192.02","358.06","357.05","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","704.1","0.08","0.0","0.0","2.57","0.08","0.2","0.0","0.0","0.0","0.0","26.19","27.0","384.05","192.02","357.86","357.05","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","704.1","0.08","0.0","0.0","3.42","0.08","0.27","0.0","0.0","0.0","0.0","26.46","27.0","384.05","192.02","357.59","357.05","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","704.1","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","26.66","27.0","384.05","192.02","357.39","357.05","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","704.1","0.08","0.0","0.0","2.19","0.08","0.17","0.0","0.0","0.0","0.0","26.83","27.0","384.05","192.02","357.21","357.05","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","704.1","0.08","0.0","0.0","2.2","0.08","0.17","0.0","0.0","0.0","0.0","27.01","27.0","384.05","192.02","357.04","357.05","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","704.1","0.08","0.0","0.0","4.44","0.08","0.35","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","704.1","0.08","0.0","0.0","3.82","0.08","0.3","0.0","0.0","0.0","0.0","27.3","27.0","384.05","192.02","356.75","357.05","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","704.1","0.08","0.0","0.0","3.38","0.08","0.27","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","704.1","0.08","0.0","0.0","1.79","0.08","0.14","0.0","0.0","0.0","0.0","27.14","27.0","384.05","192.02","356.91","357.05","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","704.1","1.17","0.0","0.0","1.2","1.17","1.41","9.97","9.97","0.0","0.0","17.17","27.0","384.05","192.02","366.88","357.05","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","704.1","1.13","0.0","0.0","2.18","1.13","2.47","7.72","7.72","0.0","0.0","11.92","27.0","384.05","192.02","372.13","357.05","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","704.1","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","15.35","27.0","384.05","192.02","368.69","357.05","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","704.1","1.05","0.0","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","17.11","27.0","384.05","192.02","366.93","357.05","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","704.1","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","18.85","27.0","384.05","192.02","365.2","357.05","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","704.1","0.86","0.0","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","20.27","27.0","384.05","192.02","363.78","357.05","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","704.1","0.82","0.0","0.0","1.14","0.82","0.93","0.0","0.0","0.0","0.0","21.2","27.0","384.05","192.02","362.85","357.05","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","704.1","1.18","0.0","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","17.92","27.0","384.05","192.02","366.13","357.05","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","704.1","1.17","0.0","0.0","1.29","1.17","1.51","10.75","10.75","0.0","0.0","8.68","27.0","384.05","192.02","375.37","357.05","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","704.1","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","10.09","27.0","384.05","192.02","373.96","357.05","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","704.1","1.17","0.0","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","11.69","27.0","384.05","192.02","372.36","357.05","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","704.1","1.17","0.0","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","13.23","27.0","384.05","192.02","370.81","357.05","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","704.1","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","14.71","27.0","384.05","192.02","369.34","357.05","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","704.1","1.15","0.0","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","14.71","27.0","384.05","192.02","369.34","357.05","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","704.1","1.12","0.0","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","14.18","27.0","384.05","192.02","369.87","357.05","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","704.1","1.14","0.0","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","15.81","27.0","384.05","192.02","368.24","357.05","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","704.1","1.15","0.0","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","17.3","27.0","384.05","192.02","366.75","357.05","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","704.1","1.08","0.0","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","18.72","27.0","384.05","192.02","365.33","357.05","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","704.1","0.97","0.0","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","20.32","27.0","384.05","192.02","363.73","357.05","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","704.1","0.89","0.0","0.0","1.48","0.89","1.32","0.0","0.0","0.0","0.0","21.64","27.0","384.05","192.02","362.4","357.05","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","704.1","0.84","0.0","0.0","1.31","0.84","1.1","0.0","0.0","0.0","0.0","22.74","27.0","384.05","192.02","361.3","357.05","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","704.1","0.79","0.0","0.0","1.51","0.79","1.19","0.0","0.0","0.0","0.0","23.93","27.0","384.05","192.02","360.11","357.05","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","704.1","0.75","0.0","0.0","1.36","0.75","1.02","0.0","0.0","0.0","0.0","24.95","27.0","384.05","192.02","359.09","357.05","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","704.1","0.72","0.0","0.0","1.02","0.72","0.74","1.19","1.19","0.0","0.0","24.5","27.0","384.05","192.02","359.55","357.05","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","704.1","0.68","0.0","0.0","1.78","0.68","1.22","0.0","0.0","0.0","0.0","25.72","27.0","384.05","192.02","358.33","357.05","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","704.1","0.64","0.0","0.0","2.51","0.64","1.6","0.0","0.0","0.0","0.0","27.32","27.0","384.05","192.02","356.73","357.05","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","704.1","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","704.1","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","27.81","27.0","384.05","192.02","356.24","357.05","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","704.1","0.58","0.0","0.0","1.02","0.58","0.59","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","704.1","0.57","0.0","0.0","1.17","0.57","0.66","0.0","0.0","0.0","0.0","27.66","27.0","384.05","192.02","356.39","357.05","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","704.1","0.55","0.0","0.0","1.11","0.55","0.61","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","704.1","0.54","0.0","0.0","1.12","0.54","0.61","0.0","0.0","0.0","0.0","27.61","27.0","384.05","192.02","356.44","357.05","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","704.1","1.18","0.0","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","20.07","27.0","384.05","192.02","363.98","357.05","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","704.1","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","20.97","27.0","384.05","192.02","363.08","357.05","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","704.1","1.18","0.0","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","22.35","27.0","384.05","192.02","361.7","357.05","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","704.1","1.18","0.0","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","23.37","27.0","384.05","192.02","360.67","357.05","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","704.1","1.18","0.0","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","24.03","27.0","384.05","192.02","360.02","357.05","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","704.1","1.18","0.0","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","25.09","27.0","384.05","192.02","358.96","357.05","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","704.1","1.17","0.0","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","24.96","27.0","384.05","192.02","359.09","357.05","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","704.1","1.18","0.0","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","22.82","27.0","384.05","192.02","361.22","357.05","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","704.1","1.18","0.0","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","23.75","27.0","384.05","192.02","360.3","357.05","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","704.1","1.18","0.0","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","25.21","27.0","384.05","192.02","358.83","357.05","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","704.1","1.16","0.0","0.0","1.53","1.16","1.77","10.75","10.75","0.0","0.0","16.24","27.0","384.05","192.02","367.81","357.05","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","704.1","1.15","0.0","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","18.57","27.0","384.05","192.02","365.48","357.05","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","704.1","1.16","0.0","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","19.56","27.0","384.05","192.02","364.49","357.05","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","704.1","1.17","0.0","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","20.66","27.0","384.05","192.02","363.38","357.05","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","704.1","1.1","0.0","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","21.94","27.0","384.05","192.02","362.11","357.05","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","704.1","1.19","0.0","0.0","0.67","1.19","0.8","9.68","9.68","0.0","0.0","13.06","27.0","384.05","192.02","370.99","357.05","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","704.1","1.2","0.0","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","13.29","27.0","384.05","192.02","370.76","357.05","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","704.1","1.2","0.0","0.0","0.58","1.2","0.69","5.03","5.03","0.0","0.0","8.95","27.0","384.05","192.02","375.09","357.05","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","704.1","1.18","0.0","0.0","1.08","1.18","1.27","4.97","4.97","0.0","0.0","5.25","27.0","384.05","192.02","378.79","357.05","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","704.1","1.17","0.0","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","6.74","27.0","384.05","192.02","377.3","357.05","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","704.1","1.18","0.0","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","7.82","27.0","384.05","192.02","376.23","357.05","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","704.1","1.18","0.0","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","7.8","27.0","384.05","192.02","376.25","357.05","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","704.1","1.17","0.0","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","9.63","27.0","384.05","192.02","374.42","357.05","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","704.1","1.12","0.0","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","10.28","27.0","384.05","192.02","373.77","357.05","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","704.1","1.06","0.0","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","10.47","27.0","384.05","192.02","373.58","357.05","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","704.1","1.0","0.0","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","11.41","27.0","384.05","192.02","372.64","357.05","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","704.1","0.95","0.0","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","12.15","27.0","384.05","192.02","371.9","357.05","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","704.1","0.9","0.0","0.0","1.09","0.9","0.98","0.0","0.0","0.0","0.0","13.13","27.0","384.05","192.02","370.92","357.05","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","704.1","0.84","0.0","0.0","1.45","0.84","1.22","0.0","0.0","0.0","0.0","14.34","27.0","384.05","192.02","369.7","357.05","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","704.1","0.8","0.0","0.0","1.22","0.8","0.97","0.0","0.0","0.0","0.0","15.32","27.0","384.05","192.02","368.73","357.05","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","704.1","0.76","0.0","0.0","1.21","0.76","0.92","0.0","0.0","0.0","0.0","16.24","27.0","384.05","192.02","367.81","357.05","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","704.1","0.74","0.0","0.0","0.87","0.74","0.64","0.17","0.17","0.0","0.0","16.71","27.0","384.05","192.02","367.34","357.05","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","704.1","1.19","0.0","0.0","0.85","1.19","1.01","18.14","17.72","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","704.1","1.19","0.0","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","704.1","1.2","0.0","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","704.1","1.2","0.0","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","27.0","384.05","192.02","383.38","357.05","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","704.1","1.19","0.0","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","704.1","1.18","0.0","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","704.1","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","27.0","384.05","192.02","382.89","357.05","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","704.1","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","27.0","384.05","192.02","381.72","357.05","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","704.1","1.17","0.0","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","704.1","1.19","0.0","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","704.1","1.19","0.0","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","704.1","1.19","0.0","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","704.1","1.19","0.0","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","704.1","1.17","0.0","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","704.1","1.17","0.0","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","704.1","1.18","0.0","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","704.1","1.18","0.0","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","27.0","384.05","192.02","382.73","357.05","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","704.1","1.18","0.0","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","27.0","384.05","192.02","382.42","357.05","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","704.1","1.16","0.0","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","704.1","1.18","0.0","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","27.0","384.05","192.02","384.05","357.05","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","704.1","1.17","0.0","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","27.0","384.05","192.02","383.03","357.05","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","704.1","1.18","0.0","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","27.0","384.05","192.02","381.84","357.05","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","704.1","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","27.0","384.05","192.02","380.2","357.05","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","704.1","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","27.0","384.05","192.02","379.15","357.05","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","704.1","1.1","0.0","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","27.0","384.05","192.02","378.31","357.05","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","704.1","1.16","0.0","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","27.0","384.05","192.02","382.54","357.05","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","704.1","1.14","0.0","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","27.0","384.05","192.02","379.78","357.05","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","704.1","1.08","0.0","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","27.0","384.05","192.02","376.98","357.05","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","704.1","1.01","0.0","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","27.0","384.05","192.02","375.91","357.05","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","704.1","0.95","0.0","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","27.0","384.05","192.02","375.76","357.05","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","704.1","0.88","0.0","0.0","1.53","0.88","1.34","0.02","0.02","0.0","0.0","9.61","27.0","384.05","192.02","374.44","357.05","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","704.1","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","10.75","27.0","384.05","192.02","373.3","357.05","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","704.1","0.77","0.0","0.0","1.63","0.77","1.26","0.0","0.0","0.0","0.0","12.01","27.0","384.05","192.02","372.04","357.05","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","704.1","0.72","0.0","0.0","1.96","0.72","1.41","0.0","0.0","0.0","0.0","13.41","27.0","384.05","192.02","370.63","357.05","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","704.1","0.67","0.0","0.0","2.08","0.67","1.4","0.0","0.0","0.0","0.0","14.81","27.0","384.05","192.02","369.23","357.05","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","704.1","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","16.06","27.0","384.05","192.02","367.99","357.05","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","704.1","0.61","0.0","0.0","1.91","0.61","1.16","0.0","0.0","0.0","0.0","17.22","27.0","384.05","192.02","366.83","357.05","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","704.1","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","18.25","27.0","384.05","192.02","365.8","357.05","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","704.1","0.56","0.0","0.0","1.83","0.56","1.03","0.0","0.0","0.0","0.0","19.28","27.0","384.05","192.02","364.77","357.05","0.0","","","","","","",""
