" Daily soil water balance output for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","8811.94","0.08","0.9","0.0","3.92","0.9","3.53","0.0","0.0","0.0","0.0","91.39","124.14","601.67","300.83","510.28","477.53","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","8811.94","0.08","0.9","0.0","3.0","0.9","2.7","1.57","1.57","0.0","0.0","92.52","124.14","601.67","300.83","509.15","477.53","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","8811.94","0.08","0.9","0.0","2.58","0.9","2.32","0.14","0.14","0.0","0.0","94.7","124.14","601.67","300.83","506.97","477.53","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","8811.94","0.08","0.9","0.0","2.66","0.9","2.39","0.0","0.0","0.0","0.0","97.1","124.14","601.67","300.83","504.57","477.53","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","8811.94","0.08","0.9","0.0","4.49","0.9","4.04","0.0","0.0","0.0","0.0","101.14","124.14","601.67","300.83","500.53","477.53","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","8811.94","0.08","0.9","0.0","3.54","0.9","3.19","0.0","0.0","0.0","0.0","104.32","124.14","601.67","300.83","497.35","477.53","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","8811.94","0.08","0.9","0.0","3.11","0.9","2.8","0.0","0.0","0.0","0.0","107.12","124.14","601.67","300.83","494.55","477.53","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","8811.94","0.08","0.9","0.0","2.63","0.9","2.37","0.0","0.0","0.0","0.0","109.49","124.14","601.67","300.83","492.18","477.53","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","8811.94","0.08","0.9","0.0","2.53","0.9","2.28","0.0","0.0","0.0","0.0","111.77","124.14","601.67","300.83","489.9","477.53","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","8811.94","0.08","0.9","0.0","3.35","0.9","3.02","0.0","0.0","0.0","0.0","114.78","124.14","601.67","300.83","486.89","477.53","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","8811.94","0.08","0.9","0.0","2.51","0.9","2.26","0.0","0.0","0.0","0.0","117.04","124.14","601.67","300.83","484.63","477.53","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","8811.94","0.08","0.9","0.0","2.16","0.9","1.94","0.0","0.0","0.0","0.0","118.99","124.14","601.67","300.83","482.68","477.53","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","8811.94","0.08","0.9","0.0","2.21","0.9","1.99","0.0","0.0","0.0","0.0","120.97","124.14","601.67","300.83","480.7","477.53","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","8811.94","0.08","0.9","0.0","4.42","0.9","3.98","0.0","0.0","0.0","0.0","0.0","124.14","601.67","300.83","601.67","477.53","124.95","","","","","","",""
"2015.0","10.0","30.0","303.0","8811.94","0.08","0.9","0.0","3.73","0.9","3.36","0.0","0.0","0.0","0.0","3.36","124.14","601.67","300.83","598.31","477.53","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","8811.94","0.08","0.9","0.0","3.3","0.9","2.97","0.0","0.0","0.0","0.0","6.33","124.14","601.67","300.83","595.34","477.53","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","8811.94","0.08","0.9","0.0","2.01","0.9","1.81","0.22","0.22","0.0","0.0","7.92","124.14","601.67","300.83","593.75","477.53","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","8811.94","1.17","0.9","0.0","1.2","1.17","1.41","8.46","8.46","0.0","0.0","0.86","124.14","601.67","300.83","600.81","477.53","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","8811.94","1.13","0.9","0.0","2.15","1.13","2.44","9.09","3.3","0.0","0.0","0.0","124.14","601.67","300.83","601.67","477.53","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","8811.94","1.12","0.9","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","3.45","124.14","601.67","300.83","598.22","477.53","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","8811.94","1.05","0.9","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","5.23","124.14","601.67","300.83","596.44","477.53","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","8811.94","0.93","0.9","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","6.96","124.14","601.67","300.83","594.71","477.53","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","8811.94","0.86","0.9","0.0","1.65","0.9","1.49","0.0","0.0","0.0","0.0","8.45","124.14","601.67","300.83","593.22","477.53","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","8811.94","0.81","0.9","0.0","1.19","0.9","1.07","0.01","0.01","0.0","0.0","9.51","124.14","601.67","300.83","592.16","477.53","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","8811.94","1.18","0.9","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","6.33","124.14","601.67","300.83","595.34","477.53","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","8811.94","1.17","0.9","0.0","1.27","1.17","1.48","8.55","7.81","0.0","0.0","0.0","124.14","601.67","300.83","601.67","477.53","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","8811.94","1.17","0.9","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","1.42","124.14","601.67","300.83","600.25","477.53","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","8811.94","1.17","0.9","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","3.03","124.14","601.67","300.83","598.64","477.53","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","8811.94","1.17","0.9","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","4.58","124.14","601.67","300.83","597.09","477.53","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","8811.94","1.1","0.9","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","6.06","124.14","601.67","300.83","595.61","477.53","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","8811.94","0.97","0.9","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","6.98","124.14","601.67","300.83","594.69","477.53","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","8811.94","1.11","0.9","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","6.55","124.14","601.67","300.83","595.12","477.53","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","8811.94","1.14","0.9","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","8.19","124.14","601.67","300.83","593.48","477.53","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","8811.94","1.15","0.9","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","9.69","124.14","601.67","300.83","591.98","477.53","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","8811.94","1.07","0.9","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","11.12","124.14","601.67","300.83","590.55","477.53","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","8811.94","0.97","0.9","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","12.67","124.14","601.67","300.83","588.99","477.53","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","8811.94","0.89","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","13.99","124.14","601.67","300.83","587.68","477.53","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","8811.94","0.84","0.9","0.0","1.29","0.9","1.16","0.0","0.0","0.0","0.0","15.15","124.14","601.67","300.83","586.52","477.53","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","8811.94","0.79","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","16.46","124.14","601.67","300.83","585.21","477.53","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","8811.94","0.75","0.9","0.0","1.37","0.9","1.23","0.0","0.0","0.0","0.0","17.7","124.14","601.67","300.83","583.97","477.53","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","8811.94","1.18","0.9","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","16.85","124.14","601.67","300.83","584.82","477.53","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","8811.94","1.17","0.9","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","18.8","124.14","601.67","300.83","582.87","477.53","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","8811.94","1.15","0.9","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","21.51","124.14","601.67","300.83","580.16","477.53","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","8811.94","1.08","0.9","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","23.28","124.14","601.67","300.83","578.39","477.53","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","8811.94","0.99","0.9","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","24.61","124.14","601.67","300.83","577.06","477.53","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","8811.94","0.93","0.9","0.0","1.01","0.93","0.94","0.0","0.0","0.0","0.0","25.55","124.14","601.67","300.83","576.12","477.53","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","8811.94","0.88","0.9","0.0","1.2","0.9","1.08","0.0","0.0","0.0","0.0","26.63","124.14","601.67","300.83","575.04","477.53","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","8811.94","0.83","0.9","0.0","1.11","0.9","1.0","0.0","0.0","0.0","0.0","27.63","124.14","601.67","300.83","574.04","477.53","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","8811.94","0.79","0.9","0.0","1.16","0.9","1.04","0.0","0.0","0.0","0.0","28.67","124.14","601.67","300.83","573.0","477.53","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","8811.94","1.18","0.9","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","22.13","124.14","601.67","300.83","579.54","477.53","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","8811.94","1.18","0.9","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","23.03","124.14","601.67","300.83","578.64","477.53","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","8811.94","1.18","0.9","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","24.48","124.14","601.67","300.83","577.19","477.53","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","8811.94","1.18","0.9","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","25.57","124.14","601.67","300.83","576.1","477.53","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","8811.94","1.18","0.9","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","26.25","124.14","601.67","300.83","575.42","477.53","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","8811.94","1.18","0.9","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","27.38","124.14","601.67","300.83","574.29","477.53","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","8811.94","1.09","0.9","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","27.98","124.14","601.67","300.83","573.69","477.53","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","8811.94","1.18","0.9","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","22.0","124.14","601.67","300.83","579.67","477.53","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","8811.94","1.18","0.9","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","22.53","124.14","601.67","300.83","579.14","477.53","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","8811.94","1.18","0.9","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","24.04","124.14","601.67","300.83","577.63","477.53","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","8811.94","1.16","0.9","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","15.53","124.14","601.67","300.83","586.14","477.53","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","8811.94","1.15","0.9","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","17.77","124.14","601.67","300.83","583.9","477.53","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","8811.94","1.16","0.9","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","18.8","124.14","601.67","300.83","582.87","477.53","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","8811.94","1.17","0.9","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","19.93","124.14","601.67","300.83","581.74","477.53","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","8811.94","1.1","0.9","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","21.21","124.14","601.67","300.83","580.46","477.53","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","8811.94","1.19","0.9","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","14.63","124.14","601.67","300.83","587.04","477.53","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","8811.94","1.2","0.9","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","14.29","124.14","601.67","300.83","587.38","477.53","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","8811.94","1.2","0.9","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","10.53","124.14","601.67","300.83","591.14","477.53","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","8811.94","1.17","0.9","0.0","1.15","1.17","1.35","8.62","8.62","0.0","0.0","3.26","124.14","601.67","300.83","598.41","477.53","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","8811.94","1.17","0.9","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","4.88","124.14","601.67","300.83","596.79","477.53","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","8811.94","1.17","0.9","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","5.88","124.14","601.67","300.83","595.79","477.53","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","8811.94","1.19","0.9","0.0","0.87","1.19","1.03","4.18","4.18","0.0","0.0","2.73","124.14","601.67","300.83","598.94","477.53","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","8811.94","1.17","0.9","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","4.49","124.14","601.67","300.83","597.18","477.53","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","8811.94","1.18","0.9","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","5.17","124.14","601.67","300.83","596.5","477.53","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","8811.94","1.19","0.9","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","5.01","124.14","601.67","300.83","596.66","477.53","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","8811.94","1.19","0.9","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","5.87","124.14","601.67","300.83","595.8","477.53","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","8811.94","1.19","0.9","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","6.8","124.14","601.67","300.83","594.87","477.53","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","8811.94","1.19","0.9","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","8.03","124.14","601.67","300.83","593.64","477.53","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","8811.94","1.18","0.9","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","9.65","123.52","601.67","300.83","592.02","478.15","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","8811.94","1.15","0.9","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","11.0","123.52","601.67","300.83","590.67","478.15","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","8811.94","1.05","0.9","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","12.25","123.52","601.67","300.83","589.42","478.15","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","8811.94","0.99","0.9","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","12.51","123.52","601.67","300.83","589.16","478.15","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","8811.94","1.18","0.9","0.0","0.88","1.18","1.04","15.0","13.55","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","8811.94","1.19","0.9","0.0","0.83","1.19","0.99","15.19","0.99","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","8811.94","1.2","0.9","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","8811.94","1.19","0.9","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","123.52","601.67","300.83","600.88","478.15","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","8811.94","1.19","0.9","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","123.52","601.67","300.83","601.48","478.15","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","8811.94","1.18","0.9","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","123.52","601.67","300.83","601.65","478.15","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","8811.94","1.18","0.9","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","123.52","601.67","300.83","600.51","478.15","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","8811.94","1.18","0.9","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","123.52","601.67","300.83","599.55","478.15","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","8811.94","1.17","0.9","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","123.52","601.67","300.83","599.98","478.15","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","8811.94","1.19","0.9","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","8811.94","1.19","0.9","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","8811.94","1.19","0.9","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","8811.94","1.19","0.9","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","8811.94","1.17","0.9","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","8811.94","1.17","0.9","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","8811.94","1.18","0.9","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","8811.94","1.18","0.9","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","123.52","601.67","300.83","600.45","478.15","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","8811.94","1.18","0.9","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","123.52","601.67","300.83","599.5","478.15","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","8811.94","1.16","0.9","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","8811.94","1.17","0.9","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","123.52","601.67","300.83","601.41","478.15","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","8811.94","1.17","0.9","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","123.52","601.67","300.83","600.11","478.15","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","8811.94","1.17","0.9","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","123.52","601.67","300.83","598.89","478.15","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","8811.94","1.14","0.9","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","123.52","601.67","300.83","597.35","478.15","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","8811.94","1.06","0.9","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","123.52","601.67","300.83","596.37","478.15","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","8811.94","0.99","0.9","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","123.52","601.67","300.83","595.81","478.15","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","8811.94","1.16","0.9","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","123.52","601.67","300.83","601.03","478.15","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","8811.94","1.14","0.9","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","123.52","601.67","300.83","598.9","478.15","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","8811.94","1.08","0.9","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","123.52","601.67","300.83","596.04","478.15","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","8811.94","1.0","0.9","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","123.52","601.67","300.83","594.96","478.15","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","8811.94","0.94","0.9","0.0","1.07","0.94","1.01","0.4","0.4","0.0","0.0","7.32","123.52","601.67","300.83","594.35","478.15","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","8811.94","0.87","0.9","0.0","1.51","0.9","1.36","0.0","0.0","0.0","0.0","8.68","123.52","601.67","300.83","592.99","478.15","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","8811.94","0.82","0.9","0.0","1.39","0.9","1.25","0.0","0.0","0.0","0.0","9.93","123.52","601.67","300.83","591.74","478.15","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","8811.94","0.77","0.9","0.0","1.63","0.9","1.47","0.0","0.0","0.0","0.0","11.39","123.52","601.67","300.83","590.27","478.15","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","8811.94","0.72","0.9","0.0","1.9","0.9","1.71","0.0","0.0","0.0","0.0","13.1","123.52","601.67","300.83","588.56","478.15","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","8811.94","0.67","0.9","0.0","2.02","0.9","1.82","0.0","0.0","0.0","0.0","14.92","123.52","601.67","300.83","586.75","478.15","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","8811.94","0.64","0.9","0.0","1.96","0.9","1.76","0.0","0.0","0.0","0.0","16.69","123.52","601.67","300.83","584.98","478.15","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","8811.94","0.61","0.9","0.0","1.92","0.9","1.73","0.0","0.0","0.0","0.0","18.41","123.52","601.67","300.83","583.25","478.15","0.0","","","","","","",""
