" Daily soil water balance output for Other Deciduous in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Other Deciduous at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","3.78","0.09","0.8","0.0","3.67","0.8","2.94","0.0","0.0","0.0","0.0","68.59","76.81","307.24","153.62","238.65","230.43","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","3.78","0.09","0.8","0.0","3.08","0.8","2.46","0.0","0.0","0.0","0.0","71.05","76.81","307.24","153.62","236.19","230.43","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","3.78","0.09","0.8","0.0","2.82","0.8","2.26","0.0","0.0","0.0","0.0","73.31","76.81","307.24","153.62","233.93","230.43","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","3.78","0.09","0.8","0.0","2.69","0.8","2.15","0.0","0.0","0.0","0.0","75.46","76.81","307.24","153.62","231.78","230.43","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","3.78","0.09","0.8","0.0","3.98","0.8","3.18","0.0","0.0","0.0","0.0","0.0","76.81","307.24","153.62","307.24","230.43","78.64","","","","","","",""
"2015.0","10.0","21.0","294.0","3.78","0.09","0.8","0.0","3.34","0.8","2.67","0.0","0.0","0.0","0.0","2.67","76.81","307.24","153.62","304.57","230.43","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","3.78","0.09","0.8","0.0","2.96","0.8","2.37","0.0","0.0","0.0","0.0","5.04","76.81","307.24","153.62","302.2","230.43","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","3.78","0.09","0.8","0.0","2.7","0.8","2.16","0.0","0.0","0.0","0.0","7.2","76.81","307.24","153.62","300.04","230.43","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","3.78","0.09","0.8","0.0","2.54","0.8","2.03","0.0","0.0","0.0","0.0","9.23","76.81","307.24","153.62","298.01","230.43","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","3.78","0.09","0.8","0.0","3.11","0.8","2.49","0.0","0.0","0.0","0.0","11.72","76.81","307.24","153.62","295.52","230.43","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","3.78","0.09","0.8","0.0","2.52","0.8","2.02","0.0","0.0","0.0","0.0","13.74","76.81","307.24","153.62","293.5","230.43","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","3.78","0.09","0.8","0.0","2.07","0.8","1.66","0.0","0.0","0.0","0.0","15.39","76.81","307.24","153.62","291.85","230.43","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","3.78","0.09","0.8","0.0","2.26","0.8","1.81","0.0","0.0","0.0","0.0","17.2","76.81","307.24","153.62","290.04","230.43","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","3.78","0.09","0.8","0.0","4.17","0.8","3.34","0.0","0.0","0.0","0.0","20.54","76.81","307.24","153.62","286.7","230.43","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","3.78","0.09","0.8","0.0","3.49","0.8","2.79","0.0","0.0","0.0","0.0","23.33","76.81","307.24","153.62","283.91","230.43","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","3.78","0.09","0.8","0.0","3.14","0.8","2.51","0.0","0.0","0.0","0.0","25.84","76.81","307.24","153.62","281.4","230.43","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","3.78","0.09","0.8","0.0","2.32","0.8","1.86","0.0","0.0","0.0","0.0","27.7","76.81","307.24","153.62","279.54","230.43","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","3.78","1.17","0.0","0.0","1.32","1.17","1.54","18.6","18.6","0.0","0.0","9.1","21.6","307.24","153.62","298.14","285.64","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","3.78","1.13","0.0","0.0","2.14","1.13","2.43","15.24","11.52","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","3.78","1.12","0.0","0.0","2.99","1.12","3.34","0.0","0.0","0.0","0.0","3.34","21.6","307.24","153.62","303.9","285.64","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","3.78","1.06","0.0","0.0","1.72","1.06","1.82","0.0","0.0","0.0","0.0","5.16","21.6","307.24","153.62","302.08","285.64","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","3.78","0.93","0.0","0.0","1.91","0.93","1.79","0.0","0.0","0.0","0.0","6.94","21.6","307.24","153.62","300.3","285.64","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","3.78","0.86","0.0","0.0","1.67","0.86","1.43","0.0","0.0","0.0","0.0","8.38","21.6","307.24","153.62","298.86","285.64","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","3.78","0.81","0.0","0.0","1.23","0.81","1.0","0.0","0.0","0.0","0.0","9.38","21.6","307.24","153.62","297.86","285.64","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","3.78","1.18","0.0","0.0","1.09","1.18","1.28","2.21","2.21","0.0","0.0","8.45","21.6","307.24","153.62","298.79","285.64","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","3.78","1.17","0.0","0.0","1.23","1.17","1.44","6.76","6.76","0.0","0.0","3.13","21.6","307.24","153.62","304.11","285.64","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","3.78","1.17","0.0","0.0","1.24","1.17","1.45","0.0","0.0","0.0","0.0","4.58","21.6","307.24","153.62","302.66","285.64","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","3.78","1.17","0.0","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","6.25","21.6","307.24","153.62","300.99","285.64","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","3.78","1.17","0.0","0.0","1.39","1.17","1.62","0.0","0.0","0.0","0.0","7.87","21.6","307.24","153.62","299.37","285.64","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","3.78","1.09","0.0","0.0","1.39","1.09","1.51","0.0","0.0","0.0","0.0","9.38","21.6","307.24","153.62","297.86","285.64","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","3.78","1.14","0.0","0.0","1.93","1.14","2.21","1.66","1.66","0.0","0.0","9.93","21.6","307.24","153.62","297.31","285.64","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","3.78","1.13","0.0","0.0","2.73","1.13","3.08","2.02","2.02","0.0","0.0","10.98","21.6","307.24","153.62","296.25","285.64","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","3.78","1.12","0.0","0.0","1.45","1.12","1.63","0.0","0.0","0.0","0.0","12.61","21.6","307.24","153.62","294.63","285.64","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","3.78","1.02","0.0","0.0","1.32","1.02","1.35","0.0","0.0","0.0","0.0","13.96","21.6","307.24","153.62","293.28","285.64","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","3.78","0.94","0.0","0.0","1.34","0.94","1.26","0.0","0.0","0.0","0.0","15.22","21.6","307.24","153.62","292.02","285.64","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","3.78","0.87","0.0","0.0","1.57","0.87","1.36","0.0","0.0","0.0","0.0","16.58","21.6","307.24","153.62","290.66","285.64","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","3.78","0.81","0.0","0.0","1.49","0.81","1.21","0.0","0.0","0.0","0.0","17.79","21.6","307.24","153.62","289.45","285.64","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","3.78","0.77","0.0","0.0","1.34","0.77","1.03","0.0","0.0","0.0","0.0","18.82","21.6","307.24","153.62","288.41","285.64","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","3.78","0.73","0.0","0.0","1.32","0.73","0.97","0.0","0.0","0.0","0.0","19.79","21.6","307.24","153.62","287.45","285.64","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","3.78","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","20.76","21.6","307.24","153.62","286.48","285.64","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","3.78","1.18","0.0","0.0","1.05","1.18","1.24","3.55","3.55","0.0","0.0","18.45","21.6","307.24","153.62","288.79","285.64","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","3.78","1.17","0.0","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","20.22","21.6","307.24","153.62","287.01","285.64","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","3.78","1.16","0.0","0.0","2.02","1.16","2.34","0.0","0.0","0.0","0.0","22.57","21.6","307.24","153.62","284.67","285.64","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","3.78","1.12","0.0","0.0","1.6","1.12","1.8","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","3.78","1.02","0.0","0.0","1.37","1.02","1.39","0.0","0.0","0.0","0.0","22.99","21.6","307.24","153.62","284.24","285.64","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","3.78","0.96","0.0","0.0","1.01","0.96","0.97","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","3.78","0.89","0.0","0.0","1.29","0.89","1.15","0.0","0.0","0.0","0.0","22.75","21.6","307.24","153.62","284.49","285.64","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","3.78","0.85","0.0","0.0","1.16","0.85","0.98","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","3.78","0.8","0.0","0.0","1.23","0.8","0.99","0.0","0.0","0.0","0.0","22.59","21.6","307.24","153.62","284.65","285.64","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","3.78","1.18","0.0","0.0","1.03","1.18","1.21","2.99","2.99","0.0","0.0","19.6","21.6","307.24","153.62","287.64","285.64","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","3.78","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","20.5","21.6","307.24","153.62","286.74","285.64","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","3.78","1.18","0.0","0.0","1.29","1.18","1.52","0.0","0.0","0.0","0.0","22.02","21.6","307.24","153.62","285.22","285.64","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","3.78","1.18","0.0","0.0","0.95","1.18","1.12","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","3.78","1.18","0.0","0.0","0.65","1.18","0.77","0.0","0.0","0.0","0.0","22.37","21.6","307.24","153.62","284.87","285.64","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","3.78","1.18","0.0","0.0","1.04","1.18","1.23","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","3.78","1.07","0.0","0.0","1.22","1.07","1.31","0.02","0.02","0.0","0.0","22.89","21.6","307.24","153.62","284.35","285.64","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","3.78","1.17","0.0","0.0","1.14","1.17","1.34","9.01","9.01","0.0","0.0","13.88","21.6","307.24","153.62","293.36","285.64","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","3.78","1.18","0.0","0.0","0.93","1.18","1.1","0.23","0.23","0.0","0.0","14.74","21.6","307.24","153.62","292.49","285.64","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","3.78","1.17","0.0","0.0","1.35","1.17","1.59","0.0","0.0","0.0","0.0","16.33","21.6","307.24","153.62","290.91","285.64","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","3.78","1.15","0.0","0.0","1.66","1.15","1.91","9.32","9.32","0.0","0.0","8.92","21.6","307.24","153.62","298.31","285.64","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","3.78","1.15","0.0","0.0","1.73","1.15","1.99","0.0","0.0","0.0","0.0","10.92","21.6","307.24","153.62","296.32","285.64","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","3.78","1.16","0.0","0.0","0.97","1.16","1.13","0.0","0.0","0.0","0.0","12.04","21.6","307.24","153.62","295.19","285.64","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","3.78","1.17","0.0","0.0","0.99","1.17","1.15","0.0","0.0","0.0","0.0","13.2","21.6","307.24","153.62","294.04","285.64","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","3.78","1.1","0.0","0.0","1.17","1.1","1.29","0.0","0.0","0.0","0.0","14.49","21.6","307.24","153.62","292.75","285.64","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","3.78","1.19","0.0","0.0","0.83","1.19","0.99","3.17","3.17","0.0","0.0","12.3","21.6","307.24","153.62","294.94","285.64","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","3.78","1.19","0.0","0.0","0.63","1.19","0.75","1.4","1.4","0.0","0.0","11.66","21.6","307.24","153.62","295.58","285.64","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","3.78","1.19","0.0","0.0","0.7","1.19","0.83","2.38","2.38","0.0","0.0","10.11","21.6","307.24","153.62","297.13","285.64","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","3.78","1.17","0.0","0.0","1.24","1.17","1.45","14.27","11.56","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","3.78","1.16","0.0","0.0","1.56","1.16","1.81","2.56","1.81","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","3.78","1.17","0.0","0.0","1.0","1.17","1.17","0.03","0.03","0.0","0.0","1.14","21.6","307.24","153.62","306.1","285.64","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","3.78","1.18","0.0","0.0","0.94","1.18","1.11","4.28","2.25","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","3.78","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","1.64","21.6","307.24","153.62","305.6","285.64","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","3.78","1.18","0.0","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","2.35","21.6","307.24","153.62","304.89","285.64","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","3.78","1.19","0.0","0.0","0.72","1.19","0.86","2.01","2.01","0.0","0.0","1.2","21.6","307.24","153.62","306.04","285.64","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","3.78","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","2.3","21.6","307.24","153.62","304.94","285.64","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","3.78","1.19","0.0","0.0","0.8","1.19","0.95","0.0","0.0","0.0","0.0","3.25","21.6","307.24","153.62","303.99","285.64","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","3.78","1.19","0.0","0.0","1.0","1.19","1.19","0.0","0.0","0.0","0.0","4.44","21.6","307.24","153.62","302.8","285.64","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","3.78","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","5.89","21.6","307.24","153.62","301.35","285.64","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","3.78","1.18","0.0","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","7.16","21.6","307.24","153.62","300.07","285.64","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","3.78","1.08","0.0","0.0","1.14","1.08","1.23","0.0","0.0","0.0","0.0","8.39","21.6","307.24","153.62","298.85","285.64","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","3.78","1.18","0.0","0.0","0.99","1.18","1.17","1.78","1.78","0.0","0.0","7.78","21.6","307.24","153.62","299.46","285.64","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","3.78","1.18","0.0","0.0","0.89","1.18","1.05","11.4","8.83","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","3.78","1.19","0.0","0.0","0.83","1.19","0.99","11.28","0.99","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","3.78","1.19","0.0","0.0","0.65","1.19","0.78","5.87","0.78","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","3.78","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","0.86","21.6","307.24","153.62","306.38","285.64","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","3.78","1.19","0.0","0.0","0.94","1.19","1.12","0.49","0.49","0.0","0.0","1.49","21.6","307.24","153.62","305.75","285.64","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","3.78","1.19","0.0","0.0","0.89","1.19","1.06","0.59","0.59","0.0","0.0","1.95","21.6","307.24","153.62","305.28","285.64","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","3.78","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.1","21.6","307.24","153.62","304.13","285.64","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","3.78","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","4.21","21.6","307.24","153.62","303.03","285.64","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","3.78","1.17","0.0","0.0","1.36","1.17","1.59","1.62","1.62","0.0","0.0","4.17","21.6","307.24","153.62","303.07","285.64","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","3.78","1.19","0.0","0.0","0.75","1.19","0.89","1.14","1.14","0.0","0.0","3.93","21.6","307.24","153.62","303.31","285.64","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","3.78","1.18","0.0","0.0","1.02","1.18","1.2","2.68","2.68","0.0","0.0","2.45","21.6","307.24","153.62","304.79","285.64","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","3.78","1.18","0.0","0.0","0.9","1.18","1.07","7.78","3.51","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","3.78","1.19","0.0","0.0","0.78","1.19","0.93","2.89","0.93","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","3.78","1.17","0.0","0.0","1.2","1.17","1.41","28.9","1.41","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","3.78","1.17","0.0","0.0","1.25","1.17","1.46","8.8","1.46","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","3.78","1.18","0.0","0.0","1.1","1.18","1.29","10.62","1.29","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","3.78","1.18","0.0","0.0","1.1","1.18","1.29","0.0","0.0","0.0","0.0","1.29","21.6","307.24","153.62","305.94","285.64","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","3.78","1.18","0.0","0.0","1.11","1.18","1.31","1.09","1.09","0.0","0.0","1.51","21.6","307.24","153.62","305.73","285.64","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","3.78","1.17","0.0","0.0","1.37","1.17","1.6","8.71","3.11","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","3.78","1.17","0.0","0.0","1.17","1.17","1.37","1.12","1.12","0.0","0.0","0.25","21.6","307.24","153.62","306.99","285.64","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","3.78","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","1.47","21.6","307.24","153.62","305.77","285.64","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","3.78","1.17","0.0","0.0","1.13","1.17","1.33","0.0","0.0","0.0","0.0","2.79","21.6","307.24","153.62","304.45","285.64","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","3.78","1.15","0.0","0.0","1.28","1.15","1.47","0.0","0.0","0.0","0.0","4.26","21.6","307.24","153.62","302.97","285.64","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","3.78","1.07","0.0","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.25","21.6","307.24","153.62","301.99","285.64","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","3.78","1.0","0.0","0.0","1.08","1.0","1.08","0.0","0.0","0.0","0.0","6.33","21.6","307.24","153.62","300.91","285.64","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","3.78","1.16","0.0","0.0","1.59","1.16","1.84","2.9","2.9","0.0","0.0","5.27","21.6","307.24","153.62","301.97","285.64","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","3.78","1.14","0.0","0.0","2.22","1.14","2.54","1.0","1.0","0.0","0.0","6.8","21.6","307.24","153.62","300.43","285.64","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","3.78","1.09","0.0","0.0","2.68","1.09","2.91","1.55","1.55","0.0","0.0","8.17","21.6","307.24","153.62","299.07","285.64","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","3.78","1.0","0.0","0.0","1.2","1.0","1.2","0.27","0.27","0.0","0.0","9.1","21.6","307.24","153.62","298.14","285.64","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","3.78","0.94","0.0","0.0","1.14","0.94","1.07","0.31","0.31","0.0","0.0","9.86","21.6","307.24","153.62","297.38","285.64","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","3.78","0.87","0.0","0.0","1.44","0.87","1.25","0.0","0.0","0.0","0.0","11.11","21.6","307.24","153.62","296.13","285.64","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","3.78","0.82","0.0","0.0","1.42","0.82","1.16","0.0","0.0","0.0","0.0","12.27","21.6","307.24","153.62","294.97","285.64","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","3.78","0.77","0.0","0.0","1.6","0.77","1.23","0.0","0.0","0.0","0.0","13.5","21.6","307.24","153.62","293.74","285.64","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","3.78","0.72","0.0","0.0","1.89","0.72","1.35","0.0","0.0","0.0","0.0","14.85","21.6","307.24","153.62","292.39","285.64","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","3.78","0.67","0.0","0.0","2.03","0.67","1.37","0.0","0.0","0.0","0.0","16.22","21.6","307.24","153.62","291.02","285.64","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","3.78","0.64","0.0","0.0","2.01","0.64","1.28","0.0","0.0","0.0","0.0","17.5","21.6","307.24","153.62","289.74","285.64","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","3.78","0.61","0.0","0.0","1.97","0.61","1.19","0.0","0.0","0.0","0.0","18.69","21.6","307.24","153.62","288.55","285.64","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","3.78","0.58","0.0","0.0","1.79","0.58","1.04","0.0","0.0","0.0","0.0","19.73","21.6","307.24","153.62","287.51","285.64","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","3.78","0.56","0.0","0.0","1.83","0.56","1.02","0.0","0.0","0.0","0.0","20.75","21.6","307.24","153.62","286.49","285.64","0.0","","","","","","",""
