" Daily soil water balance output for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","11232.92","0.08","0.59","0.0","3.93","0.59","2.34","0.0","0.0","0.0","0.0","33.06","128.64","514.57","257.29","481.52","385.93","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","11232.92","0.08","0.59","0.0","2.96","0.59","1.74","2.76","2.76","0.0","0.0","32.03","128.64","514.57","257.29","482.54","385.93","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","11232.92","0.08","0.58","0.0","2.48","0.58","1.44","0.11","0.11","0.0","0.0","33.36","128.64","514.57","257.29","481.21","385.93","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","11232.92","0.08","0.57","0.0","2.63","0.57","1.5","0.0","0.0","0.0","0.0","34.86","128.64","514.57","257.29","479.71","385.93","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","11232.92","0.08","0.56","0.0","4.68","0.56","2.64","0.0","0.0","0.0","0.0","37.5","128.64","514.57","257.29","477.07","385.93","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","11232.92","0.08","0.56","0.0","3.66","0.56","2.03","0.0","0.0","0.0","0.0","39.53","128.64","514.57","257.29","475.04","385.93","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","11232.92","0.08","0.55","0.0","3.17","0.55","1.74","0.0","0.0","0.0","0.0","41.26","128.64","514.57","257.29","473.31","385.93","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","11232.92","0.08","0.54","0.0","2.61","0.54","1.41","0.0","0.0","0.0","0.0","42.67","128.64","514.57","257.29","471.9","385.93","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","11232.92","0.08","0.53","0.0","2.57","0.53","1.37","0.0","0.0","0.0","0.0","44.04","128.64","514.57","257.29","470.53","385.93","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","11232.92","0.08","0.52","0.0","3.42","0.52","1.79","0.0","0.0","0.0","0.0","45.83","128.64","514.57","257.29","468.74","385.93","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","11232.92","0.08","0.52","0.0","2.51","0.52","1.29","0.0","0.0","0.0","0.0","47.12","128.64","514.57","257.29","467.45","385.93","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","11232.92","0.08","0.51","0.0","2.19","0.51","1.11","0.0","0.0","0.0","0.0","48.24","128.64","514.57","257.29","466.34","385.93","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","11232.92","0.08","0.5","0.0","2.2","0.5","1.1","0.0","0.0","0.0","0.0","49.34","128.64","514.57","257.29","465.24","385.93","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","11232.92","0.08","0.49","0.0","4.44","0.49","2.18","0.0","0.0","0.0","0.0","51.52","128.64","514.57","257.29","463.05","385.93","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","11232.92","0.08","0.48","0.0","3.82","0.48","1.85","0.0","0.0","0.0","0.0","53.37","128.64","514.57","257.29","461.2","385.93","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","11232.92","0.08","0.48","0.0","3.38","0.48","1.61","0.0","0.0","0.0","0.0","54.98","128.64","514.57","257.29","459.59","385.93","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","11232.92","0.08","0.47","0.0","1.79","0.47","0.84","0.0","0.0","0.0","0.0","55.82","128.64","514.57","257.29","458.75","385.93","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","11232.92","1.17","0.46","0.0","1.2","1.17","1.41","9.97","9.97","0.0","0.0","47.26","128.64","514.57","257.29","467.32","385.93","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","11232.92","1.13","0.45","0.0","2.18","1.13","2.47","7.72","7.72","0.0","0.0","42.01","128.64","514.57","257.29","472.57","385.93","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","11232.92","1.11","0.44","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","45.44","128.64","514.57","257.29","469.13","385.93","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","11232.92","1.05","0.44","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","47.2","128.64","514.57","257.29","467.37","385.93","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","11232.92","0.93","0.43","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","48.93","128.64","514.57","257.29","465.64","385.93","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","11232.92","0.86","0.42","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","50.36","128.64","514.57","257.29","464.22","385.93","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","11232.92","0.82","0.41","0.0","1.14","0.82","0.93","0.0","0.0","0.0","0.0","51.29","128.64","514.57","257.29","463.28","385.93","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","11232.92","1.18","0.41","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","48.0","128.64","514.57","257.29","466.57","385.93","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","11232.92","1.17","0.4","0.0","1.29","1.17","1.51","10.75","10.75","0.0","0.0","38.76","128.64","514.57","257.29","475.81","385.93","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","11232.92","1.17","0.39","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","40.18","128.64","514.57","257.29","474.4","385.93","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","11232.92","1.17","0.38","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","41.78","128.64","514.57","257.29","472.8","385.93","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","11232.92","1.17","0.37","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","43.32","128.64","514.57","257.29","471.25","385.93","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","11232.92","1.1","0.37","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","44.79","128.64","514.57","257.29","469.78","385.93","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","11232.92","1.15","0.36","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","44.79","128.64","514.57","257.29","469.78","385.93","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","11232.92","1.12","0.35","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","44.26","128.64","514.57","257.29","470.31","385.93","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","11232.92","1.14","0.0","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","11232.92","1.15","0.0","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","26.24","24.75","514.57","257.29","488.33","489.82","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","11232.92","1.08","0.0","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","11232.92","0.97","0.0","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","26.35","24.75","514.57","257.29","488.22","489.82","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","11232.92","0.89","0.0","0.0","1.48","0.89","1.32","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","11232.92","0.84","0.0","0.0","1.31","0.84","1.1","0.0","0.0","0.0","0.0","25.85","24.75","514.57","257.29","488.72","489.82","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","11232.92","0.79","0.0","0.0","1.51","0.79","1.19","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","11232.92","0.75","0.0","0.0","1.36","0.75","1.02","0.0","0.0","0.0","0.0","25.77","24.75","514.57","257.29","488.8","489.82","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","11232.92","0.72","0.0","0.0","1.02","0.72","0.74","1.19","1.19","0.0","0.0","24.58","24.75","514.57","257.29","489.99","489.82","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","11232.92","0.68","0.0","0.0","1.78","0.68","1.22","0.0","0.0","0.0","0.0","25.8","24.75","514.57","257.29","488.78","489.82","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","11232.92","0.64","0.0","0.0","2.51","0.64","1.6","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","11232.92","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","25.77","24.75","514.57","257.29","488.8","489.82","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","11232.92","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","11232.92","0.58","0.0","0.0","1.02","0.58","0.59","0.0","0.0","0.0","0.0","25.34","24.75","514.57","257.29","489.23","489.82","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","11232.92","0.57","0.0","0.0","1.17","0.57","0.66","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","11232.92","0.55","0.0","0.0","1.11","0.55","0.61","0.0","0.0","0.0","0.0","25.36","24.75","514.57","257.29","489.21","489.82","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","11232.92","0.54","0.0","0.0","1.12","0.54","0.61","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","11232.92","1.18","0.0","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","18.4","24.75","514.57","257.29","496.17","489.82","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","11232.92","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","19.3","24.75","514.57","257.29","495.27","489.82","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","11232.92","1.18","0.0","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","20.68","24.75","514.57","257.29","493.89","489.82","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","11232.92","1.18","0.0","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","21.71","24.75","514.57","257.29","492.86","489.82","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","11232.92","1.18","0.0","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","22.36","24.75","514.57","257.29","492.21","489.82","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","11232.92","1.18","0.0","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","23.43","24.75","514.57","257.29","491.15","489.82","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","11232.92","1.17","0.0","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","23.29","24.75","514.57","257.29","491.28","489.82","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","11232.92","1.18","0.0","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","21.16","24.75","514.57","257.29","493.41","489.82","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","11232.92","1.18","0.0","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","22.09","24.75","514.57","257.29","492.48","489.82","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","11232.92","1.18","0.0","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","23.55","24.75","514.57","257.29","491.02","489.82","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","11232.92","1.16","0.0","0.0","1.53","1.16","1.77","10.75","10.75","0.0","0.0","14.57","24.75","514.57","257.29","500.0","489.82","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","11232.92","1.15","0.0","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","16.9","24.75","514.57","257.29","497.67","489.82","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","11232.92","1.16","0.0","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","17.89","24.75","514.57","257.29","496.68","489.82","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","11232.92","1.17","0.0","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","19.0","24.75","514.57","257.29","495.57","489.82","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","11232.92","1.1","0.0","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","20.28","24.75","514.57","257.29","494.3","489.82","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","11232.92","1.19","0.0","0.0","0.67","1.19","0.8","9.68","9.68","0.0","0.0","11.39","24.75","514.57","257.29","503.18","489.82","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","11232.92","1.2","0.0","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","11.62","24.75","514.57","257.29","502.95","489.82","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","11232.92","1.2","0.0","0.0","0.58","1.2","0.69","5.03","5.03","0.0","0.0","7.29","24.75","514.57","257.29","507.28","489.82","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","11232.92","1.18","0.0","0.0","1.08","1.18","1.27","4.97","4.97","0.0","0.0","3.59","24.75","514.57","257.29","510.98","489.82","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","11232.92","1.17","0.0","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","5.08","24.75","514.57","257.29","509.49","489.82","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","11232.92","1.18","0.0","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","6.15","24.75","514.57","257.29","508.42","489.82","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","11232.92","1.18","0.0","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","6.14","24.75","514.57","257.29","508.44","489.82","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","11232.92","1.17","0.0","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","7.97","24.75","514.57","257.29","506.61","489.82","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","11232.92","1.12","0.0","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","8.62","24.75","514.57","257.29","505.96","489.82","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","11232.92","1.06","0.0","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","8.8","24.75","514.57","257.29","505.77","489.82","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","11232.92","1.0","0.0","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","9.74","24.75","514.57","257.29","504.83","489.82","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","11232.92","0.95","0.0","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","10.48","24.75","514.57","257.29","504.09","489.82","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","11232.92","0.9","0.0","0.0","1.09","0.9","0.98","0.0","0.0","0.0","0.0","11.46","24.75","514.57","257.29","503.11","489.82","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","11232.92","0.84","0.0","0.0","1.45","0.84","1.22","0.0","0.0","0.0","0.0","12.68","24.75","514.57","257.29","501.89","489.82","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","11232.92","0.8","0.0","0.0","1.22","0.8","0.97","0.0","0.0","0.0","0.0","13.65","24.75","514.57","257.29","500.92","489.82","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","11232.92","0.76","0.0","0.0","1.21","0.76","0.92","0.0","0.0","0.0","0.0","14.57","24.75","514.57","257.29","500.0","489.82","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","11232.92","0.74","0.0","0.0","0.87","0.74","0.64","0.17","0.17","0.0","0.0","15.04","24.75","514.57","257.29","499.53","489.82","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","11232.92","1.19","0.0","0.0","0.85","1.19","1.01","18.14","16.05","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","11232.92","1.19","0.0","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","11232.92","1.2","0.0","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","11232.92","1.2","0.0","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","24.75","514.57","257.29","513.91","489.82","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","11232.92","1.19","0.0","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","11232.92","1.18","0.0","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","11232.92","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","24.75","514.57","257.29","513.41","489.82","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","11232.92","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","24.75","514.57","257.29","512.24","489.82","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","11232.92","1.17","0.0","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","11232.92","1.19","0.0","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","11232.92","1.19","0.0","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","11232.92","1.19","0.0","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","11232.92","1.19","0.0","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","11232.92","1.17","0.0","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","11232.92","1.17","0.0","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","11232.92","1.18","0.0","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","11232.92","1.18","0.0","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","24.75","514.57","257.29","513.25","489.82","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","11232.92","1.18","0.0","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","24.75","514.57","257.29","512.94","489.82","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","11232.92","1.16","0.0","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","11232.92","1.18","0.0","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","11232.92","1.17","0.0","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","24.75","514.57","257.29","513.55","489.82","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","11232.92","1.18","0.0","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","24.75","514.57","257.29","512.36","489.82","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","11232.92","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","24.75","514.57","257.29","510.72","489.82","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","11232.92","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","24.75","514.57","257.29","509.68","489.82","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","11232.92","1.1","0.0","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","24.75","514.57","257.29","508.84","489.82","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","11232.92","1.16","0.0","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","24.75","514.57","257.29","513.07","489.82","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","11232.92","1.14","0.0","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","24.75","514.57","257.29","510.3","489.82","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","11232.92","1.08","0.0","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","24.75","514.57","257.29","507.51","489.82","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","11232.92","1.01","0.0","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","24.75","514.57","257.29","506.43","489.82","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","11232.92","0.95","0.0","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","24.75","514.57","257.29","506.28","489.82","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","11232.92","0.88","0.0","0.0","1.53","0.88","1.34","0.02","0.02","0.0","0.0","9.61","24.75","514.57","257.29","504.96","489.82","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","11232.92","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","10.75","24.75","514.57","257.29","503.82","489.82","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","11232.92","0.77","0.0","0.0","1.63","0.77","1.26","0.0","0.0","0.0","0.0","12.01","24.75","514.57","257.29","502.57","489.82","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","11232.92","0.72","0.0","0.0","1.96","0.72","1.41","0.0","0.0","0.0","0.0","13.41","24.75","514.57","257.29","501.16","489.82","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","11232.92","0.67","0.0","0.0","2.08","0.67","1.4","0.0","0.0","0.0","0.0","14.81","24.75","514.57","257.29","499.76","489.82","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","11232.92","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","16.06","24.75","514.57","257.29","498.51","489.82","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","11232.92","0.61","0.0","0.0","1.91","0.61","1.16","0.0","0.0","0.0","0.0","17.22","24.75","514.57","257.29","497.35","489.82","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","11232.92","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","18.25","24.75","514.57","257.29","496.32","489.82","0.0","","","","","","",""
