" Daily soil water balance output for Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly outputfor Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","15888.31","0.08","0.95","0.0","3.87","0.95","3.68","0.0","0.0","0.0","0.0","11.28","52.36","214.58","107.29","203.3","162.22","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","15888.31","0.08","0.95","0.0","3.06","0.95","2.91","0.41","0.41","0.0","0.0","13.77","52.36","214.58","107.29","200.81","162.22","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","15888.31","0.08","0.95","0.0","2.56","0.95","2.43","0.0","0.0","0.0","0.0","16.21","52.36","214.58","107.29","198.37","162.22","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","15888.31","0.08","0.95","0.0","2.6","0.95","2.47","0.0","0.0","0.0","0.0","18.68","52.36","214.58","107.29","195.9","162.22","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","15888.31","0.08","0.95","0.0","4.55","0.95","4.32","0.0","0.0","0.0","0.0","23.0","52.36","214.58","107.29","191.58","162.22","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","15888.31","0.08","0.95","0.0","3.61","0.95","3.43","0.0","0.0","0.0","0.0","26.43","52.36","214.58","107.29","188.15","162.22","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","15888.31","0.08","0.95","0.0","3.07","0.95","2.92","0.0","0.0","0.0","0.0","29.34","52.36","214.58","107.29","185.24","162.22","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","15888.31","0.08","0.95","0.0","2.59","0.95","2.46","0.0","0.0","0.0","0.0","31.8","52.36","214.58","107.29","182.77","162.22","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","15888.31","0.08","0.95","0.0","2.49","0.95","2.37","0.0","0.0","0.0","0.0","34.17","52.36","214.58","107.29","180.41","162.22","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","15888.31","0.08","0.95","0.0","3.31","0.95","3.14","0.0","0.0","0.0","0.0","37.31","52.36","214.58","107.29","177.26","162.22","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","15888.31","0.08","0.95","0.0","2.47","0.95","2.35","0.0","0.0","0.0","0.0","39.66","52.36","214.58","107.29","174.92","162.22","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","15888.31","0.08","0.95","0.0","2.1","0.95","2.0","0.0","0.0","0.0","0.0","41.66","52.36","214.58","107.29","172.92","162.22","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","15888.31","0.08","0.95","0.0","2.22","0.95","2.11","0.0","0.0","0.0","0.0","43.77","52.36","214.58","107.29","170.81","162.22","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","15888.31","0.08","0.95","0.0","4.4","0.95","4.18","0.0","0.0","0.0","0.0","47.95","52.36","214.58","107.29","166.63","162.22","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","15888.31","0.08","0.95","0.0","3.72","0.95","3.53","0.0","0.0","0.0","0.0","51.48","52.36","214.58","107.29","163.1","162.22","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","15888.31","0.08","0.95","0.0","3.28","0.95","3.12","0.0","0.0","0.0","0.0","0.0","52.36","214.58","107.29","214.58","162.22","54.6","","","","","","",""
"2015.0","11.0","1.0","305.0","15888.31","0.08","0.95","0.0","1.91","0.95","1.81","0.01","0.01","0.0","0.0","1.8","52.36","214.58","107.29","212.77","162.22","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","15888.31","1.17","0.95","0.0","1.25","1.17","1.46","7.83","3.27","0.0","0.0","0.0","52.36","214.58","107.29","214.58","162.22","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","15888.31","1.13","0.95","0.0","2.22","1.13","2.51","10.9","2.51","0.0","0.0","0.0","52.36","214.58","107.29","214.58","162.22","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","15888.31","1.11","0.95","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","3.43","52.36","214.58","107.29","211.15","162.22","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","15888.31","1.05","0.95","0.0","1.67","1.05","1.75","0.0","0.0","0.0","0.0","5.18","52.36","214.58","107.29","209.4","162.22","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","15888.31","0.93","0.95","0.0","1.87","0.95","1.78","0.0","0.0","0.0","0.0","6.95","52.36","214.58","107.29","207.63","162.22","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","15888.31","0.86","0.95","0.0","1.64","0.95","1.56","0.0","0.0","0.0","0.0","8.51","52.36","214.58","107.29","206.07","162.22","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","15888.31","0.81","0.95","0.0","1.15","0.95","1.09","0.0","0.0","0.0","0.0","9.6","52.36","214.58","107.29","204.98","162.22","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","15888.31","1.18","0.95","0.0","0.99","1.18","1.17","2.78","2.78","0.0","0.0","7.99","52.36","214.58","107.29","206.59","162.22","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","15888.31","1.17","0.95","0.0","1.3","1.17","1.52","10.25","9.51","0.0","0.0","0.0","52.36","214.58","107.29","214.58","162.22","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","15888.31","1.17","0.95","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","1.4","52.36","214.58","107.29","213.18","162.22","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","15888.31","1.17","0.95","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","3.02","52.36","214.58","107.29","211.56","162.22","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","15888.31","1.17","0.95","0.0","1.31","1.17","1.53","0.0","0.0","0.0","0.0","4.55","52.36","214.58","107.29","210.03","162.22","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","15888.31","1.1","0.95","0.0","1.33","1.1","1.46","0.0","0.0","0.0","0.0","6.01","52.36","214.58","107.29","208.57","162.22","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","15888.31","0.97","0.95","0.0","1.81","0.97","1.76","0.53","0.53","0.0","0.0","7.24","52.36","214.58","107.29","207.34","162.22","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","15888.31","1.11","0.95","0.0","2.65","1.11","2.95","3.49","3.49","0.0","0.0","6.7","52.36","214.58","107.29","207.88","162.22","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","15888.31","1.14","0.95","0.0","1.45","1.14","1.65","0.0","0.0","0.0","0.0","8.35","52.36","214.58","107.29","206.23","162.22","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","15888.31","1.15","0.95","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","9.86","52.36","214.58","107.29","204.72","162.22","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","15888.31","1.08","0.95","0.0","1.32","1.08","1.42","0.0","0.0","0.0","0.0","11.28","52.36","214.58","107.29","203.3","162.22","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","15888.31","0.97","0.95","0.0","1.63","0.97","1.57","0.0","0.0","0.0","0.0","12.85","52.36","214.58","107.29","201.73","162.22","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","15888.31","0.89","0.95","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","14.24","52.36","214.58","107.29","200.34","162.22","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","15888.31","0.84","0.95","0.0","1.28","0.95","1.22","0.0","0.0","0.0","0.0","15.45","52.36","214.58","107.29","199.13","162.22","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","15888.31","0.79","0.95","0.0","1.43","0.95","1.36","0.0","0.0","0.0","0.0","16.81","52.36","214.58","107.29","197.77","162.22","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","15888.31","0.75","0.95","0.0","1.37","0.95","1.3","0.0","0.0","0.0","0.0","18.11","52.36","214.58","107.29","196.47","162.22","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","15888.31","0.72","0.95","0.0","1.05","0.95","1.0","1.29","1.29","0.0","0.0","17.82","52.36","214.58","107.29","196.76","162.22","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","15888.31","0.68","0.95","0.0","1.77","0.95","1.68","0.0","0.0","0.0","0.0","19.5","52.36","214.58","107.29","195.08","162.22","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","15888.31","0.64","0.95","0.0","2.45","0.95","2.33","0.0","0.0","0.0","0.0","21.83","52.36","214.58","107.29","192.75","162.22","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","15888.31","0.61","0.95","0.0","1.67","0.95","1.59","0.0","0.0","0.0","0.0","23.42","52.36","214.58","107.29","191.16","162.22","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","15888.31","0.59","0.95","0.0","1.37","0.95","1.3","0.0","0.0","0.0","0.0","24.72","52.36","214.58","107.29","189.86","162.22","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","15888.31","0.58","0.95","0.0","0.99","0.95","0.94","0.0","0.0","0.0","0.0","25.66","52.36","214.58","107.29","188.92","162.22","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","15888.31","0.57","0.95","0.0","1.18","0.95","1.12","0.0","0.0","0.0","0.0","26.78","52.36","214.58","107.29","187.8","162.22","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","15888.31","0.55","0.95","0.0","1.12","0.95","1.06","0.0","0.0","0.0","0.0","27.84","52.36","214.58","107.29","186.74","162.22","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","15888.31","0.54","0.95","0.0","1.06","0.95","1.01","0.0","0.0","0.0","0.0","28.85","52.36","214.58","107.29","185.73","162.22","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","15888.31","1.18","0.95","0.0","0.99","1.18","1.17","7.03","7.03","0.0","0.0","22.99","52.36","214.58","107.29","191.59","162.22","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","15888.31","1.19","0.95","0.0","0.72","1.19","0.85","0.0","0.0","0.0","0.0","23.84","52.36","214.58","107.29","190.74","162.22","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","15888.31","1.18","0.95","0.0","1.14","1.18","1.35","0.0","0.0","0.0","0.0","25.19","52.36","214.58","107.29","189.39","162.22","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","15888.31","1.18","0.95","0.0","0.88","1.18","1.04","0.02","0.02","0.0","0.0","26.21","52.36","214.58","107.29","188.37","162.22","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","15888.31","1.19","0.95","0.0","0.55","1.19","0.65","0.0","0.0","0.0","0.0","26.86","52.36","214.58","107.29","187.72","162.22","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","15888.31","1.19","0.95","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","27.93","52.36","214.58","107.29","186.65","162.22","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","15888.31","1.17","0.95","0.0","1.36","1.17","1.59","1.85","1.85","0.0","0.0","27.66","52.36","214.58","107.29","186.91","162.22","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","15888.31","1.18","0.95","0.0","1.08","1.18","1.27","5.24","5.24","0.0","0.0","23.7","52.36","214.58","107.29","190.88","162.22","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","15888.31","1.18","0.95","0.0","0.83","1.18","0.98","0.23","0.23","0.0","0.0","24.45","52.36","214.58","107.29","190.13","162.22","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","15888.31","1.18","0.95","0.0","1.28","1.18","1.51","0.14","0.14","0.0","0.0","25.81","52.36","214.58","107.29","188.77","162.22","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","15888.31","1.16","0.95","0.0","1.56","1.16","1.81","10.81","10.81","0.0","0.0","16.81","52.36","214.58","107.29","197.77","162.22","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","15888.31","1.15","0.95","0.0","2.0","1.15","2.3","0.0","0.0","0.0","0.0","19.11","52.36","214.58","107.29","195.47","162.22","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","15888.31","1.16","0.95","0.0","0.86","1.16","1.0","0.0","0.0","0.0","0.0","20.11","52.36","214.58","107.29","194.47","162.22","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","15888.31","1.17","0.95","0.0","0.93","1.17","1.08","0.0","0.0","0.0","0.0","21.19","52.36","214.58","107.29","193.39","162.22","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","15888.31","1.11","0.95","0.0","1.1","1.11","1.22","0.0","0.0","0.0","0.0","22.41","52.36","214.58","107.29","192.17","162.22","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","15888.31","1.19","0.95","0.0","0.72","1.19","0.86","7.33","7.33","0.0","0.0","15.94","52.36","214.58","107.29","198.64","162.22","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","15888.31","1.2","0.95","0.0","0.55","1.2","0.66","0.69","0.69","0.0","0.0","15.9","52.36","214.58","107.29","198.67","162.22","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","15888.31","1.2","0.95","0.0","0.59","1.2","0.71","5.75","5.75","0.0","0.0","10.86","52.36","214.58","107.29","203.72","162.22","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","15888.31","1.17","0.95","0.0","1.13","1.17","1.33","6.74","6.74","0.0","0.0","5.45","52.36","214.58","107.29","209.13","162.22","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","15888.31","1.17","0.95","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","7.04","52.36","214.58","107.29","207.54","162.22","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","15888.31","1.17","0.95","0.0","1.02","1.17","1.2","0.31","0.31","0.0","0.0","7.93","52.36","214.58","107.29","206.65","162.22","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","15888.31","1.19","0.95","0.0","0.87","1.19","1.03","2.59","2.59","0.0","0.0","6.37","52.36","214.58","107.29","208.21","162.22","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","15888.31","1.17","0.95","0.0","1.53","1.17","1.79","0.0","0.0","0.0","0.0","8.16","52.36","214.58","107.29","206.42","162.22","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","15888.31","1.18","0.95","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","8.83","52.36","214.58","107.29","205.75","162.22","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","15888.31","1.18","0.95","0.0","0.73","1.18","0.86","0.82","0.82","0.0","0.0","8.88","52.36","214.58","107.29","205.7","162.22","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","15888.31","1.18","0.95","0.0","0.94","1.18","1.11","0.03","0.03","0.0","0.0","9.96","52.36","214.58","107.29","204.62","162.22","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","15888.31","1.18","0.95","0.0","0.74","1.18","0.88","0.0","0.0","0.0","0.0","10.83","52.36","214.58","107.29","203.74","162.22","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","15888.31","1.11","0.95","0.0","1.06","1.11","1.18","0.0","0.0","0.0","0.0","12.02","52.36","214.58","107.29","202.56","162.22","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","15888.31","1.01","0.95","0.0","1.41","1.01","1.42","0.0","0.0","0.0","0.0","13.44","51.35","214.58","107.29","201.14","163.22","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","15888.31","0.94","0.95","0.0","1.21","0.95","1.15","0.0","0.0","0.0","0.0","14.59","51.35","214.58","107.29","199.99","163.22","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","15888.31","0.88","0.95","0.0","1.19","0.95","1.13","0.0","0.0","0.0","0.0","15.72","51.35","214.58","107.29","198.86","163.22","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","15888.31","0.85","0.95","0.0","0.87","0.95","0.83","0.13","0.13","0.0","0.0","16.41","51.35","214.58","107.29","198.16","163.22","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","15888.31","1.19","0.95","0.0","0.84","1.19","1.0","14.51","14.51","0.0","0.0","2.9","51.35","214.58","107.29","211.68","163.22","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","15888.31","1.19","0.95","0.0","0.82","1.19","0.97","15.08","3.87","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","15888.31","1.2","0.95","0.0","0.6","1.2","0.72","15.82","0.72","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","15888.31","1.2","0.95","0.0","0.63","1.2","0.75","0.0","0.0","0.0","0.0","0.75","51.35","214.58","107.29","213.83","163.22","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","15888.31","1.19","0.95","0.0","0.81","1.19","0.96","2.11","1.72","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","15888.31","1.18","0.95","0.0","0.9","1.18","1.07","1.36","1.07","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","15888.31","1.18","0.95","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","1.14","51.35","214.58","107.29","213.44","163.22","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","15888.31","1.18","0.95","0.0","0.94","1.18","1.11","0.01","0.01","0.0","0.0","2.24","51.35","214.58","107.29","212.34","163.22","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","15888.31","1.17","0.95","0.0","1.3","1.17","1.52","4.02","3.76","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","15888.31","1.19","0.95","0.0","0.66","1.19","0.79","2.04","0.79","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","15888.31","1.19","0.95","0.0","0.81","1.19","0.96","3.1","0.96","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","15888.31","1.19","0.95","0.0","0.81","1.19","0.96","6.85","0.96","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","15888.31","1.19","0.95","0.0","0.78","1.19","0.93","2.21","0.93","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","15888.31","1.17","0.95","0.0","1.14","1.17","1.34","29.61","1.34","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","15888.31","1.17","0.95","0.0","1.28","1.17","1.5","4.31","1.5","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","15888.31","1.18","0.95","0.0","1.02","1.18","1.2","19.0","1.2","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","15888.31","1.18","0.95","0.0","1.07","1.18","1.26","0.0","0.0","0.0","0.0","1.26","51.35","214.58","107.29","213.32","163.22","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","15888.31","1.18","0.95","0.0","1.1","1.18","1.3","0.25","0.25","0.0","0.0","2.31","51.35","214.58","107.29","212.27","163.22","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","15888.31","1.16","0.95","0.0","1.42","1.16","1.65","10.54","3.96","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","15888.31","1.18","0.95","0.0","1.12","1.18","1.32","1.7","1.32","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","15888.31","1.17","0.95","0.0","1.17","1.17","1.37","0.02","0.02","0.0","0.0","1.35","51.35","214.58","107.29","213.23","163.22","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","15888.31","1.18","0.95","0.0","1.0","1.18","1.18","0.0","0.0","0.0","0.0","2.53","51.35","214.58","107.29","212.05","163.22","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","15888.31","1.17","0.95","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","4.1","51.35","214.58","107.29","210.48","163.22","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","15888.31","1.18","0.95","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","5.15","51.35","214.58","107.29","209.43","163.22","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","15888.31","1.1","0.95","0.0","1.0","1.1","1.1","0.12","0.12","0.0","0.0","6.13","51.35","214.58","107.29","208.45","163.22","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","15888.31","1.16","0.95","0.0","1.54","1.16","1.78","5.94","5.94","0.0","0.0","1.98","51.35","214.58","107.29","212.6","163.22","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","15888.31","1.14","0.95","0.0","2.43","1.14","2.77","0.05","0.05","0.0","0.0","4.7","51.35","214.58","107.29","209.88","163.22","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","15888.31","1.08","0.95","0.0","2.61","1.08","2.81","0.0","0.0","0.0","0.0","7.51","51.35","214.58","107.29","207.06","163.22","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","15888.31","1.01","0.95","0.0","1.07","1.01","1.08","0.0","0.0","0.0","0.0","8.59","51.35","214.58","107.29","205.99","163.22","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","15888.31","0.95","0.95","0.0","1.04","0.95","0.99","0.52","0.52","0.0","0.0","9.06","51.35","214.58","107.29","205.52","163.22","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","15888.31","0.87","0.95","0.0","1.49","0.95","1.42","0.0","0.0","0.0","0.0","10.47","51.35","214.58","107.29","204.11","163.22","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","15888.31","0.82","0.95","0.0","1.36","0.95","1.29","0.0","0.0","0.0","0.0","11.77","51.35","214.58","107.29","202.81","163.22","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","15888.31","0.77","0.95","0.0","1.59","0.95","1.51","0.0","0.0","0.0","0.0","13.28","51.35","214.58","107.29","201.3","163.22","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","15888.31","0.72","0.95","0.0","1.92","0.95","1.82","0.0","0.0","0.0","0.0","15.1","51.35","214.58","107.29","199.48","163.22","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","15888.31","0.67","0.95","0.0","2.05","0.95","1.95","0.0","0.0","0.0","0.0","17.05","51.35","214.58","107.29","197.53","163.22","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","15888.31","0.64","0.95","0.0","1.92","0.95","1.82","0.0","0.0","0.0","0.0","18.87","51.35","214.58","107.29","195.71","163.22","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","15888.31","0.61","0.95","0.0","1.88","0.95","1.79","0.0","0.0","0.0","0.0","20.66","51.35","214.58","107.29","193.92","163.22","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","15888.31","0.59","0.95","0.0","1.71","0.95","1.62","0.0","0.0","0.0","0.0","22.28","51.35","214.58","107.29","192.3","163.22","0.0","","","","","","",""
