" Daily soil water balance output for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","11119.95","0.08","0.65","0.0","3.87","0.65","2.52","0.0","0.0","0.0","0.0","110.99","148.36","593.45","296.72","482.46","445.08","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","11119.95","0.08","0.0","0.0","3.07","0.08","0.25","0.46","0.46","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","11119.95","0.08","0.0","0.0","2.72","0.08","0.22","0.25","0.25","0.0","0.0","29.67","29.7","593.45","296.72","563.78","563.75","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","11119.95","0.08","0.0","0.0","2.76","0.08","0.22","0.0","0.0","0.0","0.0","29.89","29.7","593.45","296.72","563.55","563.75","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","11119.95","0.08","0.0","0.0","4.23","0.08","0.34","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","11119.95","0.08","0.0","0.0","3.4","0.08","0.27","0.0","0.0","0.0","0.0","29.97","29.7","593.45","296.72","563.47","563.75","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","11119.95","0.08","0.0","0.0","3.1","0.08","0.25","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","11119.95","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","29.92","29.7","593.45","296.72","563.53","563.75","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","11119.95","0.08","0.0","0.0","2.55","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","11119.95","0.08","0.0","0.0","3.28","0.08","0.26","0.0","0.0","0.0","0.0","29.96","29.7","593.45","296.72","563.48","563.75","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","11119.95","0.08","0.0","0.0","2.56","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","11119.95","0.08","0.0","0.0","2.18","0.08","0.17","0.0","0.0","0.0","0.0","29.87","29.7","593.45","296.72","563.57","563.75","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","11119.95","0.08","0.0","0.0","2.28","0.08","0.18","0.11","0.11","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","11119.95","0.08","0.0","0.0","4.38","0.08","0.35","0.0","0.0","0.0","0.0","30.05","29.7","593.45","296.72","563.4","563.75","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","11119.95","0.08","0.0","0.0","3.64","0.08","0.29","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","11119.95","0.08","0.0","0.0","3.24","0.08","0.26","0.0","0.0","0.0","0.0","29.96","29.7","593.45","296.72","563.49","563.75","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","11119.95","0.08","0.0","0.0","2.27","0.08","0.18","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","11119.95","1.17","0.0","0.0","1.22","1.17","1.43","13.87","13.87","0.0","0.0","17.26","29.7","593.45","296.72","576.19","563.75","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","11119.95","1.14","0.0","0.0","2.1","1.14","2.39","10.1","10.1","0.0","0.0","9.54","29.7","593.45","296.72","583.9","563.75","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","11119.95","1.12","0.0","0.0","3.06","1.12","3.42","0.0","0.0","0.0","0.0","12.96","29.7","593.45","296.72","580.48","563.75","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","11119.95","1.05","0.0","0.0","1.73","1.05","1.82","0.0","0.0","0.0","0.0","14.78","29.7","593.45","296.72","578.66","563.75","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","11119.95","0.93","0.0","0.0","1.87","0.93","1.75","0.0","0.0","0.0","0.0","16.53","29.7","593.45","296.72","576.92","563.75","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","11119.95","0.86","0.0","0.0","1.66","0.86","1.43","0.0","0.0","0.0","0.0","17.96","29.7","593.45","296.72","575.49","563.75","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","11119.95","0.81","0.0","0.0","1.24","0.81","1.01","0.0","0.0","0.0","0.0","18.96","29.7","593.45","296.72","574.48","563.75","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","11119.95","1.18","0.0","0.0","1.05","1.18","1.24","4.18","4.18","0.0","0.0","16.02","29.7","593.45","296.72","577.42","563.75","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","11119.95","1.17","0.0","0.0","1.22","1.17","1.43","7.78","7.78","0.0","0.0","9.67","29.7","593.45","296.72","583.78","563.75","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","11119.95","1.17","0.0","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","11.11","29.7","593.45","296.72","582.33","563.75","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","11119.95","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","12.75","29.7","593.45","296.72","580.7","563.75","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","11119.95","1.17","0.0","0.0","1.36","1.17","1.59","0.06","0.06","0.0","0.0","14.28","29.7","593.45","296.72","579.17","563.75","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","11119.95","1.09","0.0","0.0","1.38","1.09","1.51","0.0","0.0","0.0","0.0","15.79","29.7","593.45","296.72","577.66","563.75","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","11119.95","1.15","0.0","0.0","1.83","1.15","2.1","2.04","2.04","0.0","0.0","15.84","29.7","593.45","296.72","577.6","563.75","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","11119.95","1.13","0.0","0.0","2.75","1.13","3.1","2.1","2.1","0.0","0.0","16.85","29.7","593.45","296.72","576.6","563.75","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","11119.95","1.13","0.0","0.0","1.44","1.13","1.63","0.0","0.0","0.0","0.0","18.48","29.7","593.45","296.72","574.97","563.75","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","11119.95","1.03","0.0","0.0","1.31","1.03","1.35","0.0","0.0","0.0","0.0","19.82","29.7","593.45","296.72","573.62","563.75","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","11119.95","0.95","0.0","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","21.09","29.7","593.45","296.72","572.35","563.75","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","11119.95","0.87","0.0","0.0","1.57","0.87","1.37","0.0","0.0","0.0","0.0","22.46","29.7","593.45","296.72","570.98","563.75","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","11119.95","0.82","0.0","0.0","1.46","0.82","1.19","0.0","0.0","0.0","0.0","23.65","29.7","593.45","296.72","569.79","563.75","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","11119.95","0.77","0.0","0.0","1.31","0.77","1.01","0.0","0.0","0.0","0.0","24.67","29.7","593.45","296.72","568.78","563.75","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","11119.95","0.74","0.0","0.0","1.44","0.74","1.06","0.0","0.0","0.0","0.0","25.73","29.7","593.45","296.72","567.72","563.75","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","11119.95","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","26.7","29.7","593.45","296.72","566.75","563.75","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","11119.95","1.18","0.0","0.0","1.02","1.18","1.2","3.41","3.41","0.0","0.0","24.49","29.7","593.45","296.72","568.96","563.75","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","11119.95","1.17","0.0","0.0","1.52","1.17","1.78","0.0","0.0","0.0","0.0","26.27","29.7","593.45","296.72","567.18","563.75","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","11119.95","1.16","0.0","0.0","2.1","1.16","2.43","0.0","0.0","0.0","0.0","28.7","29.7","593.45","296.72","564.75","563.75","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","11119.95","1.12","0.0","0.0","1.57","1.12","1.76","0.0","0.0","0.0","0.0","30.46","29.7","593.45","296.72","562.98","563.75","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","11119.95","1.02","0.0","0.0","1.34","1.02","1.37","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","11119.95","0.96","0.0","0.0","1.03","0.96","0.99","0.0","0.0","0.0","0.0","30.69","29.7","593.45","296.72","562.76","563.75","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","11119.95","0.89","0.0","0.0","1.25","0.89","1.12","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","11119.95","0.85","0.0","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","30.65","29.7","593.45","296.72","562.8","563.75","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","11119.95","0.8","0.0","0.0","1.3","0.8","1.04","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","11119.95","1.18","0.0","0.0","1.05","1.18","1.24","4.84","4.84","0.0","0.0","26.1","29.7","593.45","296.72","567.35","563.75","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","11119.95","1.18","0.0","0.0","0.78","1.18","0.92","0.0","0.0","0.0","0.0","27.02","29.7","593.45","296.72","566.43","563.75","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","11119.95","1.18","0.0","0.0","1.35","1.18","1.59","0.0","0.0","0.0","0.0","28.61","29.7","593.45","296.72","564.84","563.75","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","11119.95","1.18","0.0","0.0","0.96","1.18","1.13","0.0","0.0","0.0","0.0","29.74","29.7","593.45","296.72","563.7","563.75","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","11119.95","1.18","0.0","0.0","0.63","1.18","0.74","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","11119.95","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","30.92","29.7","593.45","296.72","562.53","563.75","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","11119.95","1.17","0.0","0.0","1.2","1.17","1.41","1.34","1.34","0.0","0.0","29.58","29.7","593.45","296.72","563.87","563.75","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","11119.95","1.18","0.0","0.0","1.1","1.18","1.29","7.14","7.14","0.0","0.0","23.73","29.7","593.45","296.72","569.71","563.75","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","11119.95","1.18","0.0","0.0","0.91","1.18","1.07","0.42","0.42","0.0","0.0","24.39","29.7","593.45","296.72","569.06","563.75","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","11119.95","1.18","0.0","0.0","1.3","1.18","1.53","0.0","0.0","0.0","0.0","25.92","29.7","593.45","296.72","567.53","563.75","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","11119.95","1.15","0.0","0.0","1.67","1.15","1.93","9.79","9.79","0.0","0.0","18.05","29.7","593.45","296.72","575.39","563.75","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","11119.95","1.15","0.0","0.0","1.78","1.15","2.05","0.0","0.0","0.0","0.0","20.1","29.7","593.45","296.72","573.35","563.75","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","11119.95","1.16","0.0","0.0","0.95","1.16","1.1","0.0","0.0","0.0","0.0","21.2","29.7","593.45","296.72","572.24","563.75","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","11119.95","1.17","0.0","0.0","1.02","1.17","1.19","0.0","0.0","0.0","0.0","22.39","29.7","593.45","296.72","571.05","563.75","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","11119.95","1.09","0.0","0.0","1.23","1.09","1.34","0.0","0.0","0.0","0.0","23.73","29.7","593.45","296.72","569.71","563.75","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","11119.95","1.19","0.0","0.0","0.78","1.19","0.93","5.89","5.89","0.0","0.0","18.77","29.7","593.45","296.72","574.68","563.75","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","11119.95","1.19","0.0","0.0","0.64","1.19","0.76","2.01","2.01","0.0","0.0","17.52","29.7","593.45","296.72","575.92","563.75","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","11119.95","1.19","0.0","0.0","0.69","1.19","0.82","2.49","2.49","0.0","0.0","15.86","29.7","593.45","296.72","577.59","563.75","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","11119.95","1.17","0.0","0.0","1.22","1.17","1.43","12.24","12.24","0.0","0.0","5.04","29.7","593.45","296.72","588.4","563.75","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","11119.95","1.17","0.0","0.0","1.52","1.17","1.77","0.56","0.56","0.0","0.0","6.26","29.7","593.45","296.72","587.19","563.75","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","11119.95","1.17","0.0","0.0","0.97","1.17","1.14","0.59","0.59","0.0","0.0","6.8","29.7","593.45","296.72","586.64","563.75","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","11119.95","1.18","0.0","0.0","0.91","1.18","1.08","4.96","4.96","0.0","0.0","2.92","29.7","593.45","296.72","590.53","563.75","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","11119.95","1.17","0.0","0.0","1.42","1.17","1.67","0.0","0.0","0.0","0.0","4.58","29.7","593.45","296.72","588.86","563.75","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","11119.95","1.18","0.0","0.0","0.58","1.18","0.69","0.0","0.0","0.0","0.0","5.27","29.7","593.45","296.72","588.18","563.75","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","11119.95","1.19","0.0","0.0","0.71","1.19","0.85","1.51","1.51","0.0","0.0","4.61","29.7","593.45","296.72","588.84","563.75","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","11119.95","1.19","0.0","0.0","0.91","1.19","1.08","0.16","0.16","0.0","0.0","5.53","29.7","593.45","296.72","587.92","563.75","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","11119.95","1.19","0.0","0.0","0.82","1.19","0.97","0.0","0.0","0.0","0.0","6.5","29.7","593.45","296.72","586.95","563.75","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","11119.95","1.19","0.0","0.0","0.99","1.19","1.17","0.0","0.0","0.0","0.0","7.67","29.7","593.45","296.72","585.77","563.75","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","11119.95","1.18","0.0","0.0","1.26","1.18","1.49","0.0","0.0","0.0","0.0","9.16","29.7","593.45","296.72","584.28","563.75","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","11119.95","1.18","0.0","0.0","1.08","1.18","1.27","0.0","0.0","0.0","0.0","10.43","29.7","593.45","296.72","583.01","563.75","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","11119.95","1.07","0.0","0.0","1.16","1.07","1.24","0.0","0.0","0.0","0.0","11.68","29.7","593.45","296.72","581.77","563.75","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","11119.95","1.0","0.0","0.0","0.98","1.0","0.98","0.49","0.49","0.0","0.0","12.17","29.7","593.45","296.72","581.27","563.75","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","11119.95","1.18","0.0","0.0","0.92","1.18","1.09","16.91","13.26","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","11119.95","1.19","0.0","0.0","0.84","1.19","1.0","13.14","1.0","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","11119.95","1.2","0.0","0.0","0.62","1.2","0.74","4.52","0.74","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","11119.95","1.19","0.0","0.0","0.71","1.19","0.85","0.04","0.04","0.0","0.0","0.81","29.7","593.45","296.72","592.64","563.75","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","11119.95","1.18","0.0","0.0","0.96","1.18","1.13","0.86","0.86","0.0","0.0","1.08","29.7","593.45","296.72","592.36","563.75","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","11119.95","1.18","0.0","0.0","0.9","1.18","1.06","0.39","0.39","0.0","0.0","1.76","29.7","593.45","296.72","591.69","563.75","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","11119.95","1.18","0.0","0.0","1.0","1.18","1.18","0.07","0.07","0.0","0.0","2.87","29.7","593.45","296.72","590.58","563.75","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","11119.95","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","4.03","29.7","593.45","296.72","589.42","563.75","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","11119.95","1.16","0.0","0.0","1.46","1.16","1.7","1.29","1.29","0.0","0.0","4.43","29.7","593.45","296.72","589.01","563.75","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","11119.95","1.19","0.0","0.0","0.74","1.19","0.88","1.66","1.66","0.0","0.0","3.65","29.7","593.45","296.72","589.79","563.75","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","11119.95","1.18","0.0","0.0","0.98","1.18","1.16","2.54","2.54","0.0","0.0","2.27","29.7","593.45","296.72","591.18","563.75","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","11119.95","1.18","0.0","0.0","0.93","1.18","1.1","5.84","3.37","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","11119.95","1.19","0.0","0.0","0.83","1.19","0.99","1.4","0.99","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","11119.95","1.17","0.0","0.0","1.26","1.17","1.47","34.61","1.47","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","11119.95","1.17","0.0","0.0","1.26","1.17","1.47","6.57","1.47","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","11119.95","1.18","0.0","0.0","1.1","1.18","1.29","15.1","1.29","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","11119.95","1.17","0.0","0.0","1.17","1.17","1.37","0.1","0.1","0.0","0.0","1.27","29.7","593.45","296.72","592.17","563.75","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","11119.95","1.17","0.0","0.0","1.16","1.17","1.36","0.14","0.14","0.0","0.0","2.5","29.7","593.45","296.72","590.95","563.75","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","11119.95","1.16","0.0","0.0","1.4","1.16","1.63","10.69","4.13","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","11119.95","1.17","0.0","0.0","1.16","1.17","1.36","0.76","0.76","0.0","0.0","0.6","29.7","593.45","296.72","592.85","563.75","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","11119.95","1.17","0.0","0.0","1.11","1.17","1.3","0.1","0.1","0.0","0.0","1.8","29.7","593.45","296.72","591.65","563.75","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","11119.95","1.17","0.0","0.0","1.12","1.17","1.31","0.0","0.0","0.0","0.0","3.11","29.7","593.45","296.72","590.34","563.75","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","11119.95","1.14","0.0","0.0","1.3","1.14","1.48","0.0","0.0","0.0","0.0","4.59","29.7","593.45","296.72","588.85","563.75","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","11119.95","1.06","0.0","0.0","0.93","1.06","0.99","0.0","0.0","0.0","0.0","5.58","29.7","593.45","296.72","587.87","563.75","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","11119.95","0.99","0.0","0.0","1.11","0.99","1.1","0.05","0.05","0.0","0.0","6.63","29.7","593.45","296.72","586.82","563.75","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","11119.95","1.16","0.0","0.0","1.58","1.16","1.83","5.56","5.56","0.0","0.0","2.89","29.7","593.45","296.72","590.55","563.75","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","11119.95","1.14","0.0","0.0","2.29","1.14","2.62","0.68","0.68","0.0","0.0","4.83","29.7","593.45","296.72","588.62","563.75","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","11119.95","1.08","0.0","0.0","2.73","1.08","2.94","1.11","1.11","0.0","0.0","6.66","29.7","593.45","296.72","586.79","563.75","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","11119.95","1.0","0.0","0.0","1.18","1.0","1.18","0.03","0.03","0.0","0.0","7.81","29.7","593.45","296.72","585.64","563.75","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","11119.95","0.93","0.0","0.0","1.14","0.93","1.06","0.1","0.1","0.0","0.0","8.77","29.7","593.45","296.72","584.68","563.75","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","11119.95","0.86","0.0","0.0","1.5","0.86","1.3","0.0","0.0","0.0","0.0","10.06","29.7","593.45","296.72","583.38","563.75","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","11119.95","0.81","0.0","0.0","1.43","0.81","1.16","0.0","0.0","0.0","0.0","11.22","29.7","593.45","296.72","582.22","563.75","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","11119.95","0.76","0.0","0.0","1.64","0.76","1.25","0.0","0.0","0.0","0.0","12.47","29.7","593.45","296.72","580.98","563.75","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","11119.95","0.71","0.0","0.0","1.87","0.71","1.33","0.0","0.0","0.0","0.0","13.8","29.7","593.45","296.72","579.64","563.75","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","11119.95","0.67","0.0","0.0","1.98","0.67","1.33","0.0","0.0","0.0","0.0","15.13","29.7","593.45","296.72","578.32","563.75","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","11119.95","0.63","0.0","0.0","1.99","0.63","1.26","0.0","0.0","0.0","0.0","16.39","29.7","593.45","296.72","577.06","563.75","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","11119.95","0.6","0.0","0.0","1.96","0.6","1.18","0.0","0.0","0.0","0.0","17.57","29.7","593.45","296.72","575.87","563.75","0.0","","","","","","",""
