" Daily soil water balance output for Citrus in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Citrus in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","1.56","0.08","0.7","0.0","3.92","0.7","2.74","0.0","0.0","0.0","0.0","81.37","95.55","416.97","208.48","335.6","321.42","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","1.56","0.08","0.7","0.0","3.0","0.7","2.1","1.57","1.57","0.0","0.0","81.9","104.24","416.97","208.48","335.07","312.72","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","1.56","0.08","0.7","0.0","2.58","0.7","1.81","0.14","0.14","0.0","0.0","83.57","104.24","416.97","208.48","333.4","312.72","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","1.56","0.08","0.7","0.0","2.66","0.7","1.86","0.0","0.0","0.0","0.0","85.43","104.24","416.97","208.48","331.54","312.72","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","1.56","0.08","0.7","0.0","4.49","0.7","3.14","0.0","0.0","0.0","0.0","88.57","104.24","416.97","208.48","328.4","312.72","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","1.56","0.08","0.7","0.0","3.54","0.7","2.48","0.0","0.0","0.0","0.0","91.05","104.24","416.97","208.48","325.92","312.72","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","1.56","0.08","0.7","0.0","3.11","0.7","2.18","0.0","0.0","0.0","0.0","93.23","104.24","416.97","208.48","323.74","312.72","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","1.56","0.08","0.7","0.0","2.63","0.7","1.84","0.0","0.0","0.0","0.0","95.07","104.24","416.97","208.48","321.9","312.72","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","1.56","0.08","0.7","0.0","2.53","0.7","1.77","0.0","0.0","0.0","0.0","96.84","104.24","416.97","208.48","320.13","312.72","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","1.56","0.08","0.7","0.0","3.35","0.7","2.35","0.0","0.0","0.0","0.0","99.18","104.24","416.97","208.48","317.78","312.72","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","1.56","0.08","0.7","0.0","2.51","0.7","1.76","0.0","0.0","0.0","0.0","100.94","104.24","416.97","208.48","316.03","312.72","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","1.56","0.08","0.7","0.0","2.16","0.7","1.51","0.0","0.0","0.0","0.0","102.45","104.24","416.97","208.48","314.51","312.72","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","1.56","0.08","0.7","0.0","2.21","0.7","1.55","0.0","0.0","0.0","0.0","104.0","104.24","416.97","208.48","312.97","312.72","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","1.56","0.08","0.7","0.0","4.42","0.7","3.09","0.0","0.0","0.0","0.0","0.0","104.24","416.97","208.48","416.97","312.72","107.09","","","","","","",""
"2015.0","10.0","30.0","303.0","1.56","0.08","0.7","0.0","3.73","0.7","2.61","0.0","0.0","0.0","0.0","2.61","104.24","416.97","208.48","414.36","312.72","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","1.56","0.08","0.7","0.0","3.3","0.7","2.31","0.0","0.0","0.0","0.0","4.92","104.24","416.97","208.48","412.05","312.72","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","1.56","0.08","0.7","0.0","2.01","0.7","1.41","0.22","0.22","0.0","0.0","6.11","104.24","416.97","208.48","410.86","312.72","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","1.56","1.17","0.7","0.0","1.2","1.17","1.41","8.46","7.51","0.0","0.0","0.0","104.24","416.97","208.48","416.97","312.72","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","1.56","1.13","0.7","0.0","2.15","1.13","2.44","9.09","2.44","0.0","0.0","0.0","104.24","416.97","208.48","416.97","312.72","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","1.56","1.12","0.7","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","3.45","104.24","416.97","208.48","413.52","312.72","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","1.56","1.05","0.7","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","5.23","104.24","416.97","208.48","411.74","312.72","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","1.56","0.93","0.7","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","6.96","104.24","416.97","208.48","410.0","312.72","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","1.56","0.86","0.7","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","8.38","104.24","416.97","208.48","408.59","312.72","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","1.56","0.81","0.7","0.0","1.19","0.81","0.97","0.01","0.01","0.0","0.0","9.34","104.24","416.97","208.48","407.63","312.72","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","1.56","1.18","0.7","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","6.16","104.24","416.97","208.48","410.81","312.72","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","1.56","1.17","0.7","0.0","1.27","1.17","1.48","8.55","7.64","0.0","0.0","0.0","104.24","416.97","208.48","416.97","312.72","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","1.56","1.17","0.7","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","1.42","104.24","416.97","208.48","415.55","312.72","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","1.56","1.17","0.7","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","3.03","104.24","416.97","208.48","413.94","312.72","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","1.56","1.17","0.7","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","4.58","104.24","416.97","208.48","412.38","312.72","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","1.56","1.1","0.7","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","6.06","104.24","416.97","208.48","410.91","312.72","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","1.56","0.97","0.7","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","6.98","104.24","416.97","208.48","409.99","312.72","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","1.56","1.11","0.7","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","6.55","104.24","416.97","208.48","410.42","312.72","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","1.56","1.14","0.7","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","8.19","104.24","416.97","208.48","408.78","312.72","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","1.56","1.15","0.7","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","9.69","104.24","416.97","208.48","407.28","312.72","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","1.56","1.07","0.7","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","11.12","104.24","416.97","208.48","405.85","312.72","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","1.56","0.97","0.7","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","12.67","104.24","416.97","208.48","404.29","312.72","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","1.56","0.89","0.7","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","13.98","104.24","416.97","208.48","402.99","312.72","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","1.56","0.84","0.7","0.0","1.29","0.84","1.08","0.0","0.0","0.0","0.0","15.06","104.24","416.97","208.48","401.91","312.72","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","1.56","0.79","0.7","0.0","1.46","0.79","1.15","0.0","0.0","0.0","0.0","16.21","104.24","416.97","208.48","400.76","312.72","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","1.56","0.75","0.7","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","17.24","104.24","416.97","208.48","399.73","312.72","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","1.56","1.18","0.7","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","16.39","104.24","416.97","208.48","400.58","312.72","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","1.56","1.17","0.7","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","18.34","104.24","416.97","208.48","398.63","312.72","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","1.56","1.15","0.7","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","21.05","104.24","416.97","208.48","395.92","312.72","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","1.56","1.08","0.7","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","22.82","104.24","416.97","208.48","394.15","312.72","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","1.56","0.99","0.7","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","24.15","104.24","416.97","208.48","392.82","312.72","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","1.56","0.93","0.7","0.0","1.01","0.93","0.94","0.0","0.0","0.0","0.0","25.09","104.24","416.97","208.48","391.88","312.72","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","1.56","0.88","0.7","0.0","1.2","0.88","1.05","0.0","0.0","0.0","0.0","26.14","104.24","416.97","208.48","390.83","312.72","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","1.56","0.83","0.7","0.0","1.11","0.83","0.92","0.0","0.0","0.0","0.0","27.06","104.24","416.97","208.48","389.9","312.72","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","1.56","0.79","0.7","0.0","1.16","0.79","0.92","0.0","0.0","0.0","0.0","27.98","104.24","416.97","208.48","388.99","312.72","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","1.56","1.18","0.7","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","21.44","104.24","416.97","208.48","395.52","312.72","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","1.56","1.18","0.7","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","22.34","104.24","416.97","208.48","394.62","312.72","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","1.56","1.18","0.7","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","23.79","104.24","416.97","208.48","393.17","312.72","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","1.56","1.18","0.7","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","24.88","104.24","416.97","208.48","392.09","312.72","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","1.56","1.18","0.7","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","25.56","104.24","416.97","208.48","391.41","312.72","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","1.56","1.18","0.7","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","26.69","104.24","416.97","208.48","390.27","312.72","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","1.56","1.09","0.7","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","27.29","104.24","416.97","208.48","389.68","312.72","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","1.56","1.18","0.7","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","21.31","104.24","416.97","208.48","395.66","312.72","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","1.56","1.18","0.7","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","21.84","104.24","416.97","208.48","395.13","312.72","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","1.56","1.18","0.7","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","23.35","104.24","416.97","208.48","393.62","312.72","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","1.56","1.16","0.7","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","14.84","104.24","416.97","208.48","402.13","312.72","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","1.56","1.15","0.7","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","17.08","104.24","416.97","208.48","399.89","312.72","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","1.56","1.16","0.7","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","18.11","104.24","416.97","208.48","398.86","312.72","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","1.56","1.17","0.7","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","19.24","104.24","416.97","208.48","397.72","312.72","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","1.56","1.1","0.7","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","20.52","104.24","416.97","208.48","396.44","312.72","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","1.56","1.19","0.7","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","13.94","104.24","416.97","208.48","403.02","312.72","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","1.56","1.2","0.7","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","13.6","104.24","416.97","208.48","403.37","312.72","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","1.56","1.2","0.7","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","9.84","104.24","416.97","208.48","407.13","312.72","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","1.56","1.17","0.7","0.0","1.15","1.17","1.35","8.62","8.62","0.0","0.0","2.57","104.24","416.97","208.48","414.4","312.72","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","1.56","1.17","0.7","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","4.19","104.24","416.97","208.48","412.77","312.72","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","1.56","1.17","0.7","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","5.19","104.24","416.97","208.48","411.78","312.72","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","1.56","1.19","0.7","0.0","0.87","1.19","1.03","4.18","4.18","0.0","0.0","2.04","104.24","416.97","208.48","414.93","312.72","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","1.56","1.17","0.7","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","3.8","104.24","416.97","208.48","413.17","312.72","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","1.56","1.18","0.7","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","4.48","104.24","416.97","208.48","412.49","312.72","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","1.56","1.19","0.7","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","4.32","104.24","416.97","208.48","412.65","312.72","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","1.56","1.19","0.7","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","5.18","104.24","416.97","208.48","411.78","312.72","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","1.56","1.19","0.7","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","6.11","104.24","416.97","208.48","410.86","312.72","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","1.56","1.19","0.7","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","7.34","104.24","416.97","208.48","409.62","312.72","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","1.56","1.18","0.7","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","8.96","104.24","416.97","208.48","408.01","312.72","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","1.56","1.15","0.7","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","10.31","94.35","416.97","208.48","406.66","322.61","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","1.56","1.05","0.7","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","11.56","94.35","416.97","208.48","405.41","322.61","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","1.56","0.99","0.7","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","11.82","94.35","416.97","208.48","405.14","322.61","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","1.56","1.18","0.7","0.0","0.88","1.18","1.04","15.0","12.86","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","1.56","1.19","0.7","0.0","0.83","1.19","0.99","15.19","0.99","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","1.56","1.2","0.7","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","1.56","1.19","0.7","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","94.35","416.97","208.48","416.18","322.61","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","1.56","1.19","0.7","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","94.35","416.97","208.48","416.78","322.61","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","1.56","1.18","0.7","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","94.35","416.97","208.48","416.94","322.61","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","1.56","1.18","0.7","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","94.35","416.97","208.48","415.8","322.61","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","1.56","1.18","0.7","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","94.35","416.97","208.48","414.85","322.61","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","1.56","1.17","0.7","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","94.35","416.97","208.48","415.28","322.61","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","1.56","1.19","0.7","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","1.56","1.19","0.7","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","1.56","1.19","0.7","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","1.56","1.19","0.7","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","1.56","1.17","0.7","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","1.56","1.17","0.7","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","1.56","1.18","0.7","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","1.56","1.18","0.7","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","94.35","416.97","208.48","415.75","322.61","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","1.56","1.18","0.7","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","94.35","416.97","208.48","414.8","322.61","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","1.56","1.16","0.7","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","94.35","416.97","208.48","416.97","322.61","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","1.56","1.17","0.7","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","94.35","416.97","208.48","416.71","322.61","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","1.56","1.17","0.7","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","94.35","416.97","208.48","415.41","322.61","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","1.56","1.17","0.7","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","94.35","416.97","208.48","414.19","322.61","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","1.56","1.14","0.7","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","94.35","416.97","208.48","412.65","322.61","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","1.56","1.06","0.7","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","94.35","416.97","208.48","411.67","322.61","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","1.56","0.99","0.7","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","94.35","416.97","208.48","411.11","322.61","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","1.56","1.16","0.7","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","94.35","416.97","208.48","416.33","322.61","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","1.56","1.14","0.7","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","94.35","416.97","208.48","414.2","322.61","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","1.56","1.08","0.7","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","94.35","416.97","208.48","411.34","322.61","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","1.56","1.0","0.7","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","94.35","416.97","208.48","410.26","322.61","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","1.56","0.94","0.7","0.0","1.07","0.94","1.01","0.4","0.4","0.0","0.0","7.32","94.35","416.97","208.48","409.65","322.61","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","1.56","0.87","0.7","0.0","1.51","0.87","1.31","0.0","0.0","0.0","0.0","8.63","94.35","416.97","208.48","408.33","322.61","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","1.56","0.82","0.7","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","9.77","94.35","416.97","208.48","407.2","322.61","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","1.56","0.77","0.7","0.0","1.63","0.77","1.25","0.0","0.0","0.0","0.0","11.02","94.35","416.97","208.48","405.95","322.61","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","1.56","0.72","0.7","0.0","1.9","0.72","1.36","0.0","0.0","0.0","0.0","12.38","94.35","416.97","208.48","404.59","322.61","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","1.56","0.67","0.7","0.0","2.02","0.7","1.41","0.0","0.0","0.0","0.0","13.79","94.35","416.97","208.48","403.17","322.61","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","1.56","0.64","0.7","0.0","1.96","0.7","1.37","0.0","0.0","0.0","0.0","15.16","94.35","416.97","208.48","401.8","322.61","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","1.56","0.61","0.7","0.0","1.92","0.7","1.34","0.0","0.0","0.0","0.0","16.51","94.35","416.97","208.48","400.46","322.61","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","1.56","0.58","0.7","0.0","1.76","0.7","1.23","0.0","0.0","0.0","0.0","17.74","94.35","416.97","208.48","399.23","322.61","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","1.56","0.56","0.7","0.0","1.85","0.7","1.3","0.0","0.0","0.0","0.0","19.04","94.35","416.97","208.48","397.93","322.61","0.0","","","","","","",""
