" Daily soil water balance output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","14927.12","0.08","0.0","0.0","3.92","0.08","0.32","0.0","0.0","0.0","0.0","26.24","34.2","486.46","243.23","460.22","452.26","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","14927.12","0.08","0.0","0.0","3.0","0.08","0.24","1.57","1.57","0.0","0.0","24.91","34.2","486.46","243.23","461.55","452.26","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","14927.12","0.08","0.0","0.0","2.58","0.08","0.21","0.14","0.14","0.0","0.0","24.98","34.2","486.46","243.23","461.48","452.26","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","14927.12","0.08","0.0","0.0","2.66","0.08","0.21","0.0","0.0","0.0","0.0","25.19","34.2","486.46","243.23","461.27","452.26","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","14927.12","0.08","0.0","0.0","4.49","0.08","0.36","0.0","0.0","0.0","0.0","25.55","34.2","486.46","243.23","460.91","452.26","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","14927.12","0.08","0.0","0.0","3.54","0.08","0.28","0.0","0.0","0.0","0.0","25.84","34.2","486.46","243.23","460.62","452.26","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","14927.12","0.08","0.0","0.0","3.11","0.08","0.25","0.0","0.0","0.0","0.0","26.09","34.2","486.46","243.23","460.37","452.26","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","14927.12","0.08","0.0","0.0","2.63","0.08","0.21","0.0","0.0","0.0","0.0","26.3","34.2","486.46","243.23","460.16","452.26","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","14927.12","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","26.5","34.2","486.46","243.23","459.96","452.26","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","14927.12","0.08","0.0","0.0","3.35","0.08","0.27","0.0","0.0","0.0","0.0","26.77","34.2","486.46","243.23","459.69","452.26","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","14927.12","0.08","0.0","0.0","2.51","0.08","0.2","0.0","0.0","0.0","0.0","26.97","34.2","486.46","243.23","459.49","452.26","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","14927.12","0.08","0.0","0.0","2.16","0.08","0.17","0.0","0.0","0.0","0.0","27.15","34.2","486.46","243.23","459.32","452.26","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","14927.12","0.08","0.0","0.0","2.21","0.08","0.18","0.0","0.0","0.0","0.0","27.32","34.2","486.46","243.23","459.14","452.26","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","14927.12","0.08","0.0","0.0","4.42","0.08","0.35","0.0","0.0","0.0","0.0","27.67","34.2","486.46","243.23","458.79","452.26","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","14927.12","0.08","0.0","0.0","3.73","0.08","0.3","0.0","0.0","0.0","0.0","27.97","34.2","486.46","243.23","458.49","452.26","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","14927.12","0.08","0.0","0.0","3.3","0.08","0.26","0.0","0.0","0.0","0.0","28.23","34.2","486.46","243.23","458.23","452.26","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","14927.12","0.08","0.0","0.0","2.01","0.08","0.16","0.22","0.22","0.0","0.0","28.17","34.2","486.46","243.23","458.29","452.26","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","14927.12","1.17","0.0","0.0","1.2","1.17","1.41","8.46","8.46","0.0","0.0","21.12","34.2","486.46","243.23","465.34","452.26","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","14927.12","1.13","0.0","0.0","2.15","1.13","2.44","9.09","9.09","0.0","0.0","14.47","34.2","486.46","243.23","471.99","452.26","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","14927.12","1.12","0.0","0.0","3.09","1.12","3.45","0.0","0.0","0.0","0.0","17.91","34.2","486.46","243.23","468.55","452.26","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","14927.12","1.05","0.0","0.0","1.7","1.05","1.78","0.0","0.0","0.0","0.0","19.7","34.2","486.46","243.23","466.77","452.26","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","14927.12","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","21.43","34.2","486.46","243.23","465.03","452.26","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","14927.12","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","22.84","34.2","486.46","243.23","463.62","452.26","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","14927.12","0.81","0.0","0.0","1.19","0.81","0.97","0.01","0.01","0.0","0.0","23.8","34.2","486.46","243.23","462.66","452.26","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","14927.12","1.18","0.0","0.0","1.0","1.18","1.18","4.36","4.36","0.0","0.0","20.62","34.2","486.46","243.23","465.84","452.26","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","14927.12","1.17","0.0","0.0","1.27","1.17","1.48","8.55","8.55","0.0","0.0","13.56","34.2","486.46","243.23","472.9","452.26","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","14927.12","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","14.98","34.2","486.46","243.23","471.49","452.26","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","14927.12","1.17","0.0","0.0","1.38","1.17","1.61","0.0","0.0","0.0","0.0","16.59","34.2","486.46","243.23","469.87","452.26","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","14927.12","1.17","0.0","0.0","1.33","1.17","1.55","0.0","0.0","0.0","0.0","18.14","34.2","486.46","243.23","468.32","452.26","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","14927.12","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","19.61","34.2","486.46","243.23","466.85","452.26","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","14927.12","0.97","0.0","0.0","1.79","0.97","1.74","0.82","0.82","0.0","0.0","20.54","34.2","486.46","243.23","465.93","452.26","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","14927.12","1.11","0.0","0.0","2.67","1.11","2.97","3.4","3.4","0.0","0.0","20.11","34.2","486.46","243.23","466.35","452.26","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","14927.12","1.14","0.0","0.0","1.44","1.14","1.64","0.0","0.0","0.0","0.0","21.75","34.2","486.46","243.23","464.71","452.26","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","14927.12","1.15","0.0","0.0","1.31","1.15","1.5","0.0","0.0","0.0","0.0","23.25","34.2","486.46","243.23","463.21","452.26","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","14927.12","1.07","0.0","0.0","1.33","1.07","1.43","0.0","0.0","0.0","0.0","24.68","34.2","486.46","243.23","461.78","452.26","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","14927.12","0.97","0.0","0.0","1.61","0.97","1.55","0.0","0.0","0.0","0.0","26.23","34.2","486.46","243.23","460.23","452.26","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","14927.12","0.89","0.0","0.0","1.46","0.89","1.3","0.0","0.0","0.0","0.0","27.54","34.2","486.46","243.23","458.93","452.26","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","14927.12","0.84","0.0","0.0","1.29","0.84","1.08","0.0","0.0","0.0","0.0","28.62","34.2","486.46","243.23","457.84","452.26","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","14927.12","0.79","0.0","0.0","1.46","0.79","1.15","0.0","0.0","0.0","0.0","29.77","34.2","486.46","243.23","456.69","452.26","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","14927.12","0.75","0.0","0.0","1.37","0.75","1.03","0.0","0.0","0.0","0.0","30.8","34.2","486.46","243.23","455.67","452.26","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","14927.12","1.18","0.0","0.0","1.03","1.18","1.21","2.06","2.06","0.0","0.0","29.95","34.2","486.46","243.23","456.51","452.26","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","14927.12","1.17","0.0","0.0","1.67","1.17","1.95","0.0","0.0","0.0","0.0","31.9","34.2","486.46","243.23","454.56","452.26","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","14927.12","1.15","0.0","0.0","2.35","1.15","2.71","0.0","0.0","0.0","0.0","34.61","34.2","486.46","243.23","451.86","452.26","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","14927.12","1.08","0.0","0.0","1.64","1.08","1.77","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","14927.12","0.99","0.0","0.0","1.35","0.99","1.33","0.0","0.0","0.0","0.0","35.53","34.2","486.46","243.23","450.93","452.26","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","14927.12","0.93","0.0","0.0","1.01","0.93","0.94","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","14927.12","0.88","0.0","0.0","1.2","0.88","1.05","0.0","0.0","0.0","0.0","35.25","34.2","486.46","243.23","451.21","452.26","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","14927.12","0.83","0.0","0.0","1.11","0.83","0.92","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","14927.12","0.79","0.0","0.0","1.16","0.79","0.92","0.0","0.0","0.0","0.0","35.12","34.2","486.46","243.23","451.34","452.26","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","14927.12","1.18","0.0","0.0","1.01","1.18","1.19","7.73","7.73","0.0","0.0","27.39","34.2","486.46","243.23","459.07","452.26","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","14927.12","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","28.29","34.2","486.46","243.23","458.17","452.26","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","14927.12","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","29.74","34.2","486.46","243.23","456.72","452.26","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","14927.12","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","30.83","34.2","486.46","243.23","455.63","452.26","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","14927.12","1.18","0.0","0.0","0.57","1.18","0.67","0.0","0.0","0.0","0.0","31.5","34.2","486.46","243.23","454.96","452.26","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","14927.12","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","32.64","34.2","486.46","243.23","453.82","452.26","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","14927.12","1.09","0.0","0.0","1.31","1.09","1.42","0.83","0.83","0.0","0.0","33.23","34.2","486.46","243.23","453.23","452.26","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","14927.12","1.18","0.0","0.0","1.08","1.18","1.27","7.25","7.25","0.0","0.0","27.25","34.2","486.46","243.23","459.21","452.26","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","14927.12","1.18","0.0","0.0","0.85","1.18","1.0","0.47","0.47","0.0","0.0","27.79","34.2","486.46","243.23","458.67","452.26","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","14927.12","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","29.29","34.2","486.46","243.23","457.17","452.26","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","14927.12","1.16","0.0","0.0","1.59","1.16","1.84","10.35","10.35","0.0","0.0","20.78","34.2","486.46","243.23","465.68","452.26","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","14927.12","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","23.02","34.2","486.46","243.23","463.44","452.26","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","14927.12","1.16","0.0","0.0","0.89","1.16","1.03","0.0","0.0","0.0","0.0","24.06","34.2","486.46","243.23","462.4","452.26","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","14927.12","1.17","0.0","0.0","0.97","1.17","1.13","0.0","0.0","0.0","0.0","25.19","34.2","486.46","243.23","461.27","452.26","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","14927.12","1.1","0.0","0.0","1.17","1.1","1.28","0.0","0.0","0.0","0.0","26.47","34.2","486.46","243.23","459.99","452.26","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","14927.12","1.19","0.0","0.0","0.73","1.19","0.87","7.45","7.45","0.0","0.0","19.89","34.2","486.46","243.23","466.57","452.26","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","14927.12","1.2","0.0","0.0","0.59","1.2","0.71","1.05","1.05","0.0","0.0","19.55","34.2","486.46","243.23","466.91","452.26","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","14927.12","1.2","0.0","0.0","0.61","1.2","0.73","4.49","4.49","0.0","0.0","15.79","34.2","486.46","243.23","470.68","452.26","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","14927.12","1.17","0.0","0.0","1.15","1.17","1.35","8.62","8.62","0.0","0.0","8.52","34.2","486.46","243.23","477.95","452.26","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","14927.12","1.17","0.0","0.0","1.39","1.17","1.63","0.0","0.0","0.0","0.0","10.14","34.2","486.46","243.23","476.32","452.26","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","14927.12","1.17","0.0","0.0","1.0","1.17","1.17","0.18","0.18","0.0","0.0","11.13","34.2","486.46","243.23","475.33","452.26","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","14927.12","1.19","0.0","0.0","0.87","1.19","1.03","4.18","4.18","0.0","0.0","7.98","34.2","486.46","243.23","478.48","452.26","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","14927.12","1.17","0.0","0.0","1.5","1.17","1.76","0.0","0.0","0.0","0.0","9.74","34.2","486.46","243.23","476.72","452.26","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","14927.12","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","10.43","34.2","486.46","243.23","476.03","452.26","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","14927.12","1.19","0.0","0.0","0.72","1.19","0.86","1.02","1.02","0.0","0.0","10.27","34.2","486.46","243.23","476.19","452.26","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","14927.12","1.19","0.0","0.0","0.93","1.19","1.1","0.24","0.24","0.0","0.0","11.13","34.2","486.46","243.23","475.33","452.26","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","14927.12","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","12.06","34.2","486.46","243.23","474.4","452.26","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","14927.12","1.19","0.0","0.0","1.04","1.19","1.23","0.0","0.0","0.0","0.0","13.29","34.2","486.46","243.23","473.17","452.26","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","14927.12","1.18","0.0","0.0","1.37","1.18","1.62","0.0","0.0","0.0","0.0","14.91","34.2","486.46","243.23","471.55","452.26","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","14927.12","1.15","0.0","0.0","1.17","1.15","1.35","0.0","0.0","0.0","0.0","16.26","34.2","486.46","243.23","470.21","452.26","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","14927.12","1.05","0.0","0.0","1.19","1.05","1.25","0.0","0.0","0.0","0.0","17.51","34.2","486.46","243.23","468.95","452.26","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","14927.12","0.99","0.0","0.0","0.92","0.99","0.91","0.65","0.65","0.0","0.0","17.77","34.2","486.46","243.23","468.69","452.26","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","14927.12","1.18","0.0","0.0","0.88","1.18","1.04","15.0","15.0","0.0","0.0","3.81","34.2","486.46","243.23","482.65","452.26","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","14927.12","1.19","0.0","0.0","0.83","1.19","0.99","15.19","4.8","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","14927.12","1.2","0.0","0.0","0.6","1.2","0.72","9.25","0.72","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","14927.12","1.19","0.0","0.0","0.66","1.19","0.79","0.0","0.0","0.0","0.0","0.79","34.2","486.46","243.23","485.67","452.26","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","14927.12","1.19","0.0","0.0","0.86","1.19","1.02","1.62","1.62","0.0","0.0","0.19","34.2","486.46","243.23","486.27","452.26","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","14927.12","1.18","0.0","0.0","0.9","1.18","1.07","1.23","1.23","0.0","0.0","0.02","34.2","486.46","243.23","486.44","452.26","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","14927.12","1.18","0.0","0.0","0.99","1.18","1.17","0.03","0.03","0.0","0.0","1.16","34.2","486.46","243.23","485.3","452.26","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","14927.12","1.18","0.0","0.0","0.97","1.18","1.15","0.19","0.19","0.0","0.0","2.12","34.2","486.46","243.23","484.34","452.26","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","14927.12","1.17","0.0","0.0","1.37","1.17","1.6","2.03","2.03","0.0","0.0","1.69","34.2","486.46","243.23","484.77","452.26","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","14927.12","1.19","0.0","0.0","0.69","1.19","0.82","2.53","2.51","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","14927.12","1.19","0.0","0.0","0.86","1.19","1.02","2.97","1.02","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","14927.12","1.19","0.0","0.0","0.85","1.19","1.01","6.19","1.01","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","14927.12","1.19","0.0","0.0","0.82","1.19","0.97","3.09","0.97","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","14927.12","1.17","0.0","0.0","1.19","1.17","1.4","34.75","1.4","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","14927.12","1.17","0.0","0.0","1.28","1.17","1.5","4.28","1.5","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","14927.12","1.18","0.0","0.0","1.05","1.18","1.24","18.92","1.24","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","14927.12","1.18","0.0","0.0","1.13","1.18","1.33","0.11","0.11","0.0","0.0","1.22","34.2","486.46","243.23","485.24","452.26","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","14927.12","1.18","0.0","0.0","1.15","1.18","1.35","0.4","0.4","0.0","0.0","2.17","34.2","486.46","243.23","484.29","452.26","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","14927.12","1.16","0.0","0.0","1.41","1.16","1.64","11.43","3.81","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","14927.12","1.17","0.0","0.0","1.13","1.17","1.32","1.06","1.06","0.0","0.0","0.26","34.2","486.46","243.23","486.2","452.26","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","14927.12","1.17","0.0","0.0","1.16","1.17","1.36","0.06","0.06","0.0","0.0","1.56","34.2","486.46","243.23","484.9","452.26","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","14927.12","1.17","0.0","0.0","1.04","1.17","1.22","0.0","0.0","0.0","0.0","2.78","34.2","486.46","243.23","483.68","452.26","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","14927.12","1.14","0.0","0.0","1.35","1.14","1.54","0.0","0.0","0.0","0.0","4.32","34.2","486.46","243.23","482.14","452.26","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","14927.12","1.06","0.0","0.0","0.92","1.06","0.98","0.0","0.0","0.0","0.0","5.3","34.2","486.46","243.23","481.16","452.26","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","14927.12","0.99","0.0","0.0","1.04","0.99","1.03","0.47","0.47","0.0","0.0","5.86","34.2","486.46","243.23","480.6","452.26","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","14927.12","1.16","0.0","0.0","1.56","1.16","1.81","7.03","7.03","0.0","0.0","0.64","34.2","486.46","243.23","485.83","452.26","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","14927.12","1.14","0.0","0.0","2.38","1.14","2.72","0.58","0.58","0.0","0.0","2.77","34.2","486.46","243.23","483.69","452.26","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","14927.12","1.08","0.0","0.0","2.65","1.08","2.86","0.0","0.0","0.0","0.0","5.63","34.2","486.46","243.23","480.83","452.26","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","14927.12","1.0","0.0","0.0","1.1","1.0","1.1","0.02","0.02","0.0","0.0","6.71","34.2","486.46","243.23","479.75","452.26","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","14927.12","0.94","0.0","0.0","1.07","0.94","1.01","0.4","0.4","0.0","0.0","7.32","34.2","486.46","243.23","479.14","452.26","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","14927.12","0.87","0.0","0.0","1.51","0.87","1.31","0.0","0.0","0.0","0.0","8.63","34.2","486.46","243.23","477.83","452.26","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","14927.12","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","9.77","34.2","486.46","243.23","476.69","452.26","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","14927.12","0.77","0.0","0.0","1.63","0.77","1.25","0.0","0.0","0.0","0.0","11.02","34.2","486.46","243.23","475.44","452.26","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","14927.12","0.72","0.0","0.0","1.9","0.72","1.36","0.0","0.0","0.0","0.0","12.38","34.2","486.46","243.23","474.08","452.26","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","14927.12","0.67","0.0","0.0","2.02","0.67","1.36","0.0","0.0","0.0","0.0","13.74","34.2","486.46","243.23","472.72","452.26","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","14927.12","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","14.98","34.2","486.46","243.23","471.48","452.26","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","14927.12","0.61","0.0","0.0","1.92","0.61","1.17","0.0","0.0","0.0","0.0","16.15","34.2","486.46","243.23","470.31","452.26","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","14927.12","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","17.18","34.2","486.46","243.23","469.28","452.26","0.0","","","","","","",""
