" Daily soil water balance output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","398.09","0.08","0.85","0.0","3.93","0.85","3.34","0.0","0.0","0.0","0.0","20.15","47.31","201.17","100.58","181.01","153.86","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","398.09","0.08","0.85","0.0","2.96","0.85","2.52","2.76","2.76","0.0","0.0","19.91","47.31","201.17","100.58","181.26","153.86","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","398.09","0.08","0.85","0.0","2.48","0.85","2.11","0.11","0.11","0.0","0.0","21.91","47.31","201.17","100.58","179.26","153.86","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","398.09","0.08","0.85","0.0","2.63","0.85","2.24","0.0","0.0","0.0","0.0","24.14","47.31","201.17","100.58","177.03","153.86","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","398.09","0.08","0.85","0.0","4.68","0.85","3.98","0.0","0.0","0.0","0.0","28.12","47.31","201.17","100.58","173.05","153.86","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","398.09","0.08","0.85","0.0","3.66","0.85","3.11","0.0","0.0","0.0","0.0","31.23","47.31","201.17","100.58","169.94","153.86","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","398.09","0.08","0.85","0.0","3.17","0.85","2.69","0.0","0.0","0.0","0.0","33.93","47.31","201.17","100.58","167.24","153.86","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","398.09","0.08","0.85","0.0","2.61","0.85","2.22","0.0","0.0","0.0","0.0","36.15","47.31","201.17","100.58","165.02","153.86","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","398.09","0.08","0.85","0.0","2.57","0.85","2.18","0.0","0.0","0.0","0.0","38.33","47.31","201.17","100.58","162.84","153.86","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","398.09","0.08","0.85","0.0","3.42","0.85","2.91","0.0","0.0","0.0","0.0","41.24","47.31","201.17","100.58","159.93","153.86","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","398.09","0.08","0.85","0.0","2.51","0.85","2.13","0.0","0.0","0.0","0.0","43.37","47.31","201.17","100.58","157.8","153.86","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","398.09","0.08","0.85","0.0","2.19","0.85","1.86","0.0","0.0","0.0","0.0","45.23","47.31","201.17","100.58","155.94","153.86","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","398.09","0.08","0.85","0.0","2.2","0.85","1.87","0.0","0.0","0.0","0.0","47.1","47.31","201.17","100.58","154.07","153.86","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","398.09","0.08","0.85","0.0","4.44","0.85","3.77","0.0","0.0","0.0","0.0","0.0","47.31","201.17","100.58","201.17","153.86","50.88","","","","","","",""
"2015.0","10.0","30.0","303.0","398.09","0.08","0.85","0.0","3.82","0.85","3.25","0.0","0.0","0.0","0.0","3.25","47.31","201.17","100.58","197.92","153.86","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","398.09","0.08","0.85","0.0","3.38","0.85","2.87","0.0","0.0","0.0","0.0","6.12","47.31","201.17","100.58","195.05","153.86","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","398.09","0.08","0.85","0.0","1.79","0.85","1.52","0.0","0.0","0.0","0.0","7.64","47.31","201.17","100.58","193.53","153.86","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","398.09","1.17","0.85","0.0","1.2","1.17","1.41","9.97","9.05","0.0","0.0","0.0","47.31","201.17","100.58","201.17","153.86","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","398.09","1.13","0.85","0.0","2.18","1.13","2.47","7.72","2.47","0.0","0.0","0.0","47.31","201.17","100.58","201.17","153.86","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","398.09","1.11","0.85","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","3.43","47.31","201.17","100.58","197.73","153.86","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","398.09","1.05","0.85","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","5.19","47.31","201.17","100.58","195.97","153.86","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","398.09","0.93","0.85","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","6.93","47.31","201.17","100.58","194.24","153.86","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","398.09","0.86","0.85","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","8.35","47.31","201.17","100.58","192.82","153.86","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","398.09","0.82","0.85","0.0","1.14","0.85","0.97","0.0","0.0","0.0","0.0","9.32","47.31","201.17","100.58","191.85","153.86","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","398.09","1.18","0.85","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","6.04","47.31","201.17","100.58","195.13","153.86","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","398.09","1.17","0.85","0.0","1.29","1.17","1.51","10.75","7.54","0.0","0.0","0.0","47.31","201.17","100.58","201.17","153.86","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","398.09","1.17","0.85","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","1.42","47.31","201.17","100.58","199.75","153.86","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","398.09","1.17","0.85","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","3.02","47.31","201.17","100.58","198.15","153.86","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","398.09","1.17","0.85","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","4.56","47.31","201.17","100.58","196.61","153.86","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","398.09","1.1","0.85","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","6.03","47.31","201.17","100.58","195.14","153.86","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","398.09","1.15","0.85","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","6.03","47.31","201.17","100.58","195.14","153.86","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","398.09","1.12","0.85","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","5.5","47.31","201.17","100.58","195.67","153.86","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","398.09","1.14","0.85","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","7.13","50.29","201.17","100.58","194.04","150.88","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","398.09","1.15","0.85","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","8.63","50.29","201.17","100.58","192.54","150.88","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","398.09","1.08","0.85","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","10.05","50.29","201.17","100.58","191.12","150.88","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","398.09","0.97","0.85","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","11.65","50.29","201.17","100.58","189.52","150.88","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","398.09","0.89","0.85","0.0","1.48","0.89","1.32","0.0","0.0","0.0","0.0","12.97","50.29","201.17","100.58","188.2","150.88","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","398.09","0.84","0.85","0.0","1.31","0.85","1.11","0.0","0.0","0.0","0.0","14.08","50.29","201.17","100.58","187.09","150.88","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","398.09","0.79","0.85","0.0","1.51","0.85","1.28","0.0","0.0","0.0","0.0","15.37","50.29","201.17","100.58","185.8","150.88","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","398.09","0.75","0.85","0.0","1.36","0.85","1.16","0.0","0.0","0.0","0.0","16.52","50.29","201.17","100.58","184.65","150.88","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","398.09","0.72","0.85","0.0","1.02","0.85","0.87","1.19","1.19","0.0","0.0","16.2","50.29","201.17","100.58","184.97","150.88","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","398.09","0.68","0.85","0.0","1.78","0.85","1.51","0.0","0.0","0.0","0.0","17.71","50.29","201.17","100.58","183.46","150.88","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","398.09","0.64","0.85","0.0","2.51","0.85","2.13","0.0","0.0","0.0","0.0","19.84","50.29","201.17","100.58","181.32","150.88","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","398.09","0.61","0.85","0.0","1.67","0.85","1.42","0.0","0.0","0.0","0.0","21.26","50.29","201.17","100.58","179.9","150.88","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","398.09","0.59","0.85","0.0","1.37","0.85","1.16","0.0","0.0","0.0","0.0","22.43","50.29","201.17","100.58","178.74","150.88","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","398.09","0.58","0.85","0.0","1.02","0.85","0.87","0.0","0.0","0.0","0.0","23.3","50.29","201.17","100.58","177.87","150.88","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","398.09","0.57","0.85","0.0","1.17","0.85","0.99","0.0","0.0","0.0","0.0","24.29","50.29","201.17","100.58","176.88","150.88","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","398.09","0.55","0.85","0.0","1.11","0.85","0.94","0.0","0.0","0.0","0.0","25.23","50.29","201.17","100.58","175.93","150.88","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","398.09","0.54","0.85","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","26.19","50.29","201.17","100.58","174.98","150.88","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","398.09","1.18","0.85","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","19.84","50.29","201.17","100.58","181.33","150.88","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","398.09","1.18","0.85","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","20.74","50.29","201.17","100.58","180.43","150.88","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","398.09","1.18","0.85","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","22.12","50.29","201.17","100.58","179.05","150.88","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","398.09","1.18","0.85","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","23.14","50.29","201.17","100.58","178.02","150.88","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","398.09","1.18","0.85","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","23.8","50.29","201.17","100.58","177.37","150.88","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","398.09","1.18","0.85","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","24.86","50.29","201.17","100.58","176.31","150.88","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","398.09","1.17","0.85","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","24.73","50.29","201.17","100.58","176.44","150.88","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","398.09","1.18","0.85","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","22.6","50.29","201.17","100.58","178.57","150.88","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","398.09","1.18","0.85","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","23.52","50.29","201.17","100.58","177.64","150.88","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","398.09","1.18","0.85","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","24.98","50.29","201.17","100.58","176.18","150.88","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","398.09","1.16","0.85","0.0","1.53","1.16","1.77","10.75","10.75","0.0","0.0","16.01","50.29","201.17","100.58","185.16","150.88","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","398.09","1.15","0.85","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","18.34","50.29","201.17","100.58","182.83","150.88","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","398.09","1.16","0.85","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","19.33","50.29","201.17","100.58","181.84","150.88","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","398.09","1.17","0.85","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","20.43","50.29","201.17","100.58","180.73","150.88","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","398.09","1.1","0.85","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","21.71","50.29","201.17","100.58","179.46","150.88","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","398.09","1.19","0.85","0.0","0.67","1.19","0.8","9.68","9.68","0.0","0.0","12.83","50.29","201.17","100.58","188.34","150.88","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","398.09","1.2","0.85","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","13.06","50.29","201.17","100.58","188.11","150.88","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","398.09","1.2","0.85","0.0","0.58","1.2","0.69","5.03","5.03","0.0","0.0","8.72","50.29","201.17","100.58","192.44","150.88","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","398.09","1.18","0.85","0.0","1.08","1.18","1.27","4.97","4.97","0.0","0.0","5.03","50.29","201.17","100.58","196.14","150.88","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","398.09","1.17","0.85","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","6.52","50.29","201.17","100.58","194.65","150.88","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","398.09","1.18","0.85","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","7.59","50.29","201.17","100.58","193.58","150.88","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","398.09","1.18","0.85","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","7.57","50.29","201.17","100.58","193.6","150.88","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","398.09","1.17","0.85","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","9.4","50.29","201.17","100.58","191.77","150.88","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","398.09","1.12","0.85","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","10.05","50.29","201.17","100.58","191.12","150.88","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","398.09","1.06","0.85","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","10.24","50.29","201.17","100.58","190.93","150.88","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","398.09","1.0","0.85","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","11.18","50.29","201.17","100.58","189.99","150.88","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","398.09","0.95","0.85","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","11.92","50.29","201.17","100.58","189.25","150.88","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","398.09","0.9","0.85","0.0","1.09","0.9","0.98","0.0","0.0","0.0","0.0","12.9","50.29","201.17","100.58","188.27","150.88","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","398.09","0.84","0.85","0.0","1.45","0.85","1.23","0.0","0.0","0.0","0.0","14.13","50.29","201.17","100.58","187.04","150.88","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","398.09","0.8","0.85","0.0","1.22","0.85","1.04","0.0","0.0","0.0","0.0","15.17","48.25","201.17","100.58","186.0","152.91","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","398.09","0.76","0.85","0.0","1.21","0.85","1.03","0.0","0.0","0.0","0.0","16.2","48.25","201.17","100.58","184.97","152.91","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","398.09","0.74","0.85","0.0","0.87","0.85","0.74","0.17","0.17","0.0","0.0","16.77","48.25","201.17","100.58","184.4","152.91","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","398.09","1.19","0.85","0.0","0.85","1.19","1.01","18.14","17.77","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","398.09","1.19","0.85","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","398.09","1.2","0.85","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","398.09","1.2","0.85","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","48.25","201.17","100.58","200.5","152.91","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","398.09","1.19","0.85","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","398.09","1.18","0.85","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","398.09","1.18","0.85","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","48.25","201.17","100.58","200.01","152.91","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","398.09","1.18","0.85","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","48.25","201.17","100.58","198.84","152.91","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","398.09","1.17","0.85","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","398.09","1.19","0.85","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","398.09","1.19","0.85","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","398.09","1.19","0.85","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","398.09","1.19","0.85","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","398.09","1.17","0.85","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","398.09","1.17","0.85","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","398.09","1.18","0.85","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","398.09","1.18","0.85","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","48.25","201.17","100.58","199.85","152.91","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","398.09","1.18","0.85","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","48.25","201.17","100.58","199.54","152.91","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","398.09","1.16","0.85","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","398.09","1.18","0.85","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","48.25","201.17","100.58","201.17","152.91","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","398.09","1.17","0.85","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","48.25","201.17","100.58","200.15","152.91","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","398.09","1.18","0.85","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","48.25","201.17","100.58","198.96","152.91","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","398.09","1.17","0.85","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","48.25","201.17","100.58","197.32","152.91","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","398.09","1.18","0.85","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","48.25","201.17","100.58","196.27","152.91","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","398.09","1.1","0.85","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","48.25","201.17","100.58","195.43","152.91","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","398.09","1.16","0.85","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","48.25","201.17","100.58","199.66","152.91","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","398.09","1.14","0.85","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","48.25","201.17","100.58","196.9","152.91","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","398.09","1.08","0.85","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","48.25","201.17","100.58","194.1","152.91","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","398.09","1.01","0.85","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","48.25","201.17","100.58","193.03","152.91","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","398.09","0.95","0.85","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","48.25","201.17","100.58","192.88","152.91","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","398.09","0.88","0.85","0.0","1.53","0.88","1.34","0.02","0.02","0.0","0.0","9.61","48.25","201.17","100.58","191.56","152.91","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","398.09","0.82","0.85","0.0","1.39","0.85","1.18","0.0","0.0","0.0","0.0","10.79","48.25","201.17","100.58","190.38","152.91","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","398.09","0.77","0.85","0.0","1.63","0.85","1.39","0.0","0.0","0.0","0.0","12.18","48.25","201.17","100.58","188.99","152.91","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","398.09","0.72","0.85","0.0","1.96","0.85","1.67","0.0","0.0","0.0","0.0","13.84","48.25","201.17","100.58","187.33","152.91","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","398.09","0.67","0.85","0.0","2.08","0.85","1.77","0.0","0.0","0.0","0.0","15.61","48.25","201.17","100.58","185.56","152.91","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","398.09","0.64","0.85","0.0","1.96","0.85","1.67","0.0","0.0","0.0","0.0","17.28","48.25","201.17","100.58","183.89","152.91","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","398.09","0.61","0.85","0.0","1.91","0.85","1.62","0.0","0.0","0.0","0.0","18.9","48.25","201.17","100.58","182.27","152.91","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","398.09","0.58","0.85","0.0","1.76","0.85","1.5","0.0","0.0","0.0","0.0","20.4","48.25","201.17","100.58","180.77","152.91","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","398.09","0.56","0.85","0.0","1.83","0.85","1.56","0.0","0.0","0.0","0.0","21.95","48.25","201.17","100.58","179.22","152.91","0.0","","","","","","",""
