" Daily soil water balance output for Pistachios in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pistachios in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","46.26","0.08","0.7","0.0","3.77","0.7","2.63","0.0","0.0","0.0","0.0","75.24","140.12","560.48","280.24","485.24","420.36","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","46.26","0.08","0.69","0.0","3.05","0.69","2.11","0.14","0.14","0.0","0.0","77.21","140.12","560.48","280.24","483.27","420.36","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","46.26","0.08","0.69","0.0","2.6","0.69","1.78","0.0","0.0","0.0","0.0","78.99","140.12","560.48","280.24","481.49","420.36","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","46.26","0.08","0.68","0.0","2.7","0.68","1.83","0.0","0.0","0.0","0.0","80.83","140.12","560.48","280.24","479.65","420.36","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","46.26","0.08","0.67","0.0","4.17","0.67","2.81","0.0","0.0","0.0","0.0","83.63","140.12","560.48","280.24","476.84","420.36","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","46.26","0.08","0.67","0.0","3.41","0.67","2.28","0.0","0.0","0.0","0.0","85.91","140.12","560.48","280.24","474.57","420.36","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","46.26","0.08","0.66","0.0","2.98","0.66","1.97","0.0","0.0","0.0","0.0","87.88","140.12","560.48","280.24","472.6","420.36","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","46.26","0.08","0.66","0.0","2.63","0.66","1.72","0.0","0.0","0.0","0.0","89.6","140.12","560.48","280.24","470.87","420.36","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","46.26","0.08","0.65","0.0","2.48","0.65","1.61","0.0","0.0","0.0","0.0","91.21","140.12","560.48","280.24","469.26","420.36","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","46.26","0.08","0.64","0.0","3.16","0.64","2.03","0.0","0.0","0.0","0.0","93.24","140.12","560.48","280.24","467.23","420.36","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","46.26","0.08","0.64","0.0","2.48","0.64","1.58","0.0","0.0","0.0","0.0","94.82","140.12","560.48","280.24","465.65","420.36","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","46.26","0.08","0.63","0.0","2.07","0.63","1.31","0.0","0.0","0.0","0.0","96.13","140.12","560.48","280.24","464.35","420.36","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","46.26","0.08","0.62","0.0","2.25","0.62","1.41","0.0","0.0","0.0","0.0","97.53","140.12","560.48","280.24","462.94","420.36","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","46.26","0.08","0.62","0.0","4.26","0.62","2.63","0.0","0.0","0.0","0.0","100.17","140.12","560.48","280.24","460.31","420.36","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","46.26","0.08","0.61","0.0","3.56","0.61","2.18","0.0","0.0","0.0","0.0","102.35","140.12","560.48","280.24","458.13","420.36","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","46.26","0.08","0.61","0.0","3.17","0.61","1.92","0.0","0.0","0.0","0.0","104.27","140.12","560.48","280.24","456.21","420.36","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","46.26","0.08","0.6","0.0","2.2","0.6","1.32","1.35","1.35","0.0","0.0","104.24","140.12","560.48","280.24","456.24","420.36","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","46.26","1.17","0.0","0.0","1.25","1.17","1.46","16.49","16.49","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","46.26","1.13","0.0","0.0","2.17","1.13","2.46","8.53","8.53","0.0","0.0","21.98","28.05","560.48","280.24","538.5","532.43","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","46.26","1.12","0.0","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","25.37","28.05","560.48","280.24","535.11","532.43","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","46.26","1.05","0.0","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","27.17","28.05","560.48","280.24","533.31","532.43","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","46.26","0.93","0.0","0.0","1.89","0.93","1.76","0.0","0.0","0.0","0.0","28.93","28.05","560.48","280.24","531.55","532.43","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","46.26","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","46.26","0.81","0.0","0.0","1.2","0.81","0.98","0.07","0.07","0.0","0.0","28.96","28.05","560.48","280.24","531.52","532.43","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","46.26","1.18","0.0","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","23.57","28.05","560.48","280.24","536.91","532.43","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","46.26","1.17","0.0","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","19.84","28.05","560.48","280.24","540.63","532.43","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","46.26","1.17","0.0","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","21.27","28.05","560.48","280.24","539.21","532.43","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","46.26","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","22.9","28.05","560.48","280.24","537.57","532.43","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","46.26","1.17","0.0","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","24.48","28.05","560.48","280.24","536.0","532.43","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","46.26","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","25.95","28.05","560.48","280.24","534.53","532.43","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","46.26","1.14","0.0","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","26.15","28.05","560.48","280.24","534.32","532.43","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","46.26","1.13","0.0","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","27.77","28.05","560.48","280.24","532.71","532.43","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","46.26","1.13","0.0","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","29.4","28.05","560.48","280.24","531.07","532.43","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","46.26","1.03","0.0","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","46.26","0.95","0.0","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","29.31","28.05","560.48","280.24","531.17","532.43","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","46.26","0.87","0.0","0.0","1.59","0.87","1.38","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","46.26","0.81","0.0","0.0","1.47","0.81","1.2","0.0","0.0","0.0","0.0","29.25","28.05","560.48","280.24","531.23","532.43","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","46.26","0.77","0.0","0.0","1.3","0.77","1.01","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","46.26","0.74","0.0","0.0","1.35","0.74","0.99","0.0","0.0","0.0","0.0","29.04","28.05","560.48","280.24","531.43","532.43","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","46.26","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","46.26","1.18","0.0","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","26.93","28.05","560.48","280.24","533.55","532.43","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","46.26","1.17","0.0","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","28.8","28.05","560.48","280.24","531.68","532.43","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","46.26","1.16","0.0","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","46.26","1.1","0.0","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","29.83","28.05","560.48","280.24","530.65","532.43","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","46.26","1.0","0.0","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","46.26","0.94","0.0","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","28.99","28.05","560.48","280.24","531.48","532.43","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","46.26","0.88","0.0","0.0","1.24","0.88","1.1","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","46.26","0.84","0.0","0.0","1.15","0.84","0.96","0.0","0.0","0.0","0.0","29.01","28.05","560.48","280.24","531.46","532.43","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","46.26","0.8","0.0","0.0","1.15","0.8","0.92","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","46.26","1.18","0.0","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","25.23","28.05","560.48","280.24","535.25","532.43","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","46.26","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","26.1","28.05","560.48","280.24","534.38","532.43","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","46.26","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","27.55","28.05","560.48","280.24","532.93","532.43","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","46.26","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","28.63","28.05","560.48","280.24","531.84","532.43","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","46.26","1.18","0.0","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","46.26","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","29.22","28.05","560.48","280.24","531.25","532.43","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","46.26","1.17","0.0","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","27.71","28.05","560.48","280.24","532.76","532.43","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","46.26","1.18","0.0","0.0","1.12","1.18","1.32","8.07","8.07","0.0","0.0","20.96","28.05","560.48","280.24","539.52","532.43","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","46.26","1.18","0.0","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","21.83","28.05","560.48","280.24","538.65","532.43","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","46.26","1.18","0.0","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","23.4","28.05","560.48","280.24","537.07","532.43","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","46.26","1.15","0.0","0.0","1.64","1.15","1.89","10.97","10.97","0.0","0.0","14.33","28.05","560.48","280.24","546.15","532.43","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","46.26","1.15","0.0","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","16.44","28.05","560.48","280.24","544.03","532.43","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","46.26","1.16","0.0","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","17.52","28.05","560.48","280.24","542.95","532.43","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","46.26","1.17","0.0","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","18.64","28.05","560.48","280.24","541.83","532.43","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","46.26","1.1","0.0","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","19.89","28.05","560.48","280.24","540.59","532.43","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","46.26","1.19","0.0","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","16.21","28.05","560.48","280.24","544.27","532.43","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","46.26","1.2","0.0","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","15.32","28.05","560.48","280.24","545.16","532.43","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","46.26","1.19","0.0","0.0","0.65","1.19","0.78","2.49","2.49","0.0","0.0","13.6","28.05","560.48","280.24","546.87","532.43","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","46.26","1.17","0.0","0.0","1.22","1.17","1.43","12.67","12.67","0.0","0.0","2.36","28.05","560.48","280.24","558.12","532.43","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","46.26","1.17","0.0","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","3.67","28.05","560.48","280.24","556.81","532.43","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","46.26","1.17","0.0","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","4.3","28.05","560.48","280.24","556.17","532.43","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","46.26","1.18","0.0","0.0","0.91","1.18","1.08","4.58","4.58","0.0","0.0","0.8","28.05","560.48","280.24","559.68","532.43","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","46.26","1.17","0.0","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","2.5","28.05","560.48","280.24","557.97","532.43","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","46.26","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","3.19","28.05","560.48","280.24","557.29","532.43","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","46.26","1.19","0.0","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","2.22","28.05","560.48","280.24","558.25","532.43","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","46.26","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.33","28.05","560.48","280.24","557.15","532.43","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","46.26","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","4.24","28.05","560.48","280.24","556.23","532.43","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","46.26","1.19","0.0","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","5.44","28.05","560.48","280.24","555.04","532.43","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","46.26","1.18","0.0","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","6.97","28.05","560.48","280.24","553.51","532.43","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","46.26","1.17","0.0","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","8.29","28.05","560.48","280.24","552.19","532.43","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","46.26","1.07","0.0","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","9.51","28.05","560.48","280.24","550.96","532.43","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","46.26","1.18","0.0","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","6.58","28.05","560.48","280.24","553.9","532.43","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","46.26","1.19","0.0","0.0","0.87","1.19","1.03","14.96","7.61","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","46.26","1.19","0.0","0.0","0.83","1.19","0.99","12.99","0.99","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","46.26","1.19","0.0","0.0","0.63","1.19","0.75","8.15","0.75","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","46.26","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","28.05","560.48","280.24","559.65","532.43","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","46.26","1.19","0.0","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","1.28","28.05","560.48","280.24","559.19","532.43","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","46.26","1.18","0.0","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","1.31","28.05","560.48","280.24","559.17","532.43","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","46.26","1.18","0.0","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","2.25","28.05","560.48","280.24","558.23","532.43","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","46.26","1.18","0.0","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","2.15","28.05","560.48","280.24","558.32","532.43","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","46.26","1.17","0.0","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","2.27","28.05","560.48","280.24","558.21","532.43","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","46.26","1.19","0.0","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","1.18","28.05","560.48","280.24","559.29","532.43","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","46.26","1.18","0.0","0.0","0.95","1.18","1.12","3.95","2.31","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","46.26","1.18","0.0","0.0","0.88","1.18","1.04","6.37","1.04","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","46.26","1.19","0.0","0.0","0.77","1.19","0.92","9.38","0.92","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","46.26","1.17","0.0","0.0","1.17","1.17","1.37","28.89","1.37","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","46.26","1.17","0.0","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","46.26","1.18","0.0","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","46.26","1.18","0.0","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","28.05","560.48","280.24","559.92","532.43","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","46.26","1.18","0.0","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","46.26","1.16","0.0","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","46.26","1.17","0.0","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","28.05","560.48","280.24","560.04","532.43","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","46.26","1.17","0.0","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","28.05","560.48","280.24","558.79","532.43","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","46.26","1.17","0.0","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","28.05","560.48","280.24","557.51","532.43","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","46.26","1.15","0.0","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","28.05","560.48","280.24","556.03","532.43","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","46.26","1.07","0.0","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","28.05","560.48","280.24","555.04","532.43","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","46.26","1.18","0.0","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","28.05","560.48","280.24","555.75","532.43","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","46.26","1.16","0.0","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","28.05","560.48","280.24","557.67","532.43","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","46.26","1.13","0.0","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","28.05","560.48","280.24","557.95","532.43","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","46.26","1.12","0.0","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","28.05","560.48","280.24","555.34","532.43","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","46.26","1.12","0.0","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","28.05","560.48","280.24","554.26","532.43","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","46.26","1.04","0.0","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","28.05","560.48","280.24","553.15","532.43","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","46.26","0.95","0.0","0.0","1.47","0.95","1.39","0.0","0.0","0.0","0.0","8.72","28.05","560.48","280.24","551.76","532.43","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","46.26","0.88","0.0","0.0","1.4","0.88","1.23","0.0","0.0","0.0","0.0","9.95","28.05","560.48","280.24","550.53","532.43","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","46.26","0.82","0.0","0.0","1.6","0.82","1.31","0.0","0.0","0.0","0.0","11.26","28.05","560.48","280.24","549.22","532.43","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","46.26","0.76","0.0","0.0","1.88","0.76","1.42","0.0","0.0","0.0","0.0","12.68","28.05","560.48","280.24","547.79","532.43","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","46.26","0.71","0.0","0.0","2.02","0.71","1.43","0.0","0.0","0.0","0.0","14.11","28.05","560.48","280.24","546.37","532.43","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","46.26","0.67","0.0","0.0","1.96","0.67","1.3","0.0","0.0","0.0","0.0","15.41","28.05","560.48","280.24","545.06","532.43","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","46.26","0.63","0.0","0.0","1.92","0.63","1.21","0.0","0.0","0.0","0.0","16.63","28.05","560.48","280.24","543.85","532.43","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","46.26","0.61","0.0","0.0","1.75","0.61","1.06","0.0","0.0","0.0","0.0","17.69","28.05","560.48","280.24","542.79","532.43","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","46.26","0.58","0.0","0.0","1.85","0.58","1.07","0.0","0.0","0.0","0.0","18.76","28.05","560.48","280.24","541.72","532.43","0.0","","","","","","",""
