" Daily soil water balance output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","11162.2","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","11162.2","0.08","0.0","0.0","3.05","0.08","0.25","0.14","0.14","0.0","0.0","30.71","30.6","435.25","217.63","404.54","404.65","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","11162.2","0.08","0.0","0.0","2.6","0.08","0.22","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","11162.2","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","30.82","30.6","435.25","217.63","404.43","404.65","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","11162.2","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","11162.2","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","30.88","30.6","435.25","217.63","404.37","404.65","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","11162.2","0.08","0.0","0.0","2.98","0.08","0.25","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","11162.2","0.08","0.0","0.0","2.63","0.08","0.22","0.0","0.0","0.0","0.0","30.82","30.6","435.25","217.63","404.44","404.65","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","11162.2","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","11162.2","0.08","0.0","0.0","3.16","0.08","0.26","0.0","0.0","0.0","0.0","30.86","30.6","435.25","217.63","404.39","404.65","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","11162.2","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","11162.2","0.08","0.0","0.0","2.07","0.08","0.17","0.0","0.0","0.0","0.0","30.77","30.6","435.25","217.63","404.48","404.65","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","11162.2","0.08","0.0","0.0","2.25","0.08","0.18","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","11162.2","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","30.95","30.6","435.25","217.63","404.31","404.65","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","11162.2","0.08","0.0","0.0","3.56","0.08","0.29","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","11162.2","0.08","0.0","0.0","3.17","0.08","0.26","0.0","0.0","0.0","0.0","30.86","30.6","435.25","217.63","404.4","404.65","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","11162.2","0.08","0.0","0.0","2.2","0.08","0.18","1.35","1.35","0.0","0.0","29.51","30.6","435.25","217.63","405.75","404.65","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","11162.2","1.17","0.0","0.0","1.25","1.17","1.46","16.49","16.49","0.0","0.0","14.48","30.6","435.25","217.63","420.77","404.65","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","11162.2","1.13","0.0","0.0","2.17","1.13","2.46","8.53","8.53","0.0","0.0","8.41","30.6","435.25","217.63","426.84","404.65","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","11162.2","1.12","0.0","0.0","3.04","1.12","3.39","0.0","0.0","0.0","0.0","11.8","30.6","435.25","217.63","423.45","404.65","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","11162.2","1.05","0.0","0.0","1.71","1.05","1.79","0.0","0.0","0.0","0.0","13.6","30.6","435.25","217.63","421.66","404.65","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","11162.2","0.93","0.0","0.0","1.89","0.93","1.76","0.0","0.0","0.0","0.0","15.36","30.6","435.25","217.63","419.9","404.65","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","11162.2","0.86","0.0","0.0","1.65","0.86","1.41","0.0","0.0","0.0","0.0","16.77","30.6","435.25","217.63","418.48","404.65","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","11162.2","0.81","0.0","0.0","1.2","0.81","0.98","0.07","0.07","0.0","0.0","17.68","30.6","435.25","217.63","417.58","404.65","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","11162.2","1.18","0.0","0.0","1.07","1.18","1.26","5.39","5.39","0.0","0.0","13.55","30.6","435.25","217.63","421.71","404.65","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","11162.2","1.17","0.0","0.0","1.27","1.17","1.48","5.21","5.21","0.0","0.0","9.82","30.6","435.25","217.63","425.43","404.65","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","11162.2","1.17","0.0","0.0","1.22","1.17","1.43","0.0","0.0","0.0","0.0","11.25","30.6","435.25","217.63","424.0","404.65","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","11162.2","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","12.89","30.6","435.25","217.63","422.37","404.65","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","11162.2","1.17","0.0","0.0","1.35","1.17","1.58","0.0","0.0","0.0","0.0","14.46","30.6","435.25","217.63","420.79","404.65","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","11162.2","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","15.93","30.6","435.25","217.63","419.32","404.65","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","11162.2","1.14","0.0","0.0","1.9","1.14","2.17","1.97","1.97","0.0","0.0","16.13","30.6","435.25","217.63","419.12","404.65","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","11162.2","1.13","0.0","0.0","2.71","1.13","3.06","1.44","1.44","0.0","0.0","17.75","30.6","435.25","217.63","417.5","404.65","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","11162.2","1.13","0.0","0.0","1.45","1.13","1.63","0.0","0.0","0.0","0.0","19.38","30.6","435.25","217.63","415.87","404.65","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","11162.2","1.03","0.0","0.0","1.31","1.03","1.34","0.0","0.0","0.0","0.0","20.73","30.6","435.25","217.63","414.53","404.65","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","11162.2","0.95","0.0","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","21.99","30.6","435.25","217.63","413.27","404.65","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","11162.2","0.87","0.0","0.0","1.59","0.87","1.38","0.0","0.0","0.0","0.0","23.37","30.6","435.25","217.63","411.89","404.65","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","11162.2","0.81","0.0","0.0","1.47","0.81","1.2","0.0","0.0","0.0","0.0","24.56","30.6","435.25","217.63","410.69","404.65","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","11162.2","0.77","0.0","0.0","1.3","0.77","1.01","0.0","0.0","0.0","0.0","25.57","30.6","435.25","217.63","409.68","404.65","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","11162.2","0.74","0.0","0.0","1.35","0.74","0.99","0.0","0.0","0.0","0.0","26.56","30.6","435.25","217.63","408.69","404.65","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","11162.2","0.7","0.0","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","27.54","30.6","435.25","217.63","407.72","404.65","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","11162.2","1.18","0.0","0.0","1.06","1.18","1.25","2.37","2.37","0.0","0.0","26.41","30.6","435.25","217.63","408.84","404.65","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","11162.2","1.17","0.0","0.0","1.6","1.17","1.87","0.0","0.0","0.0","0.0","28.28","30.6","435.25","217.63","406.97","404.65","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","11162.2","1.16","0.0","0.0","2.18","1.16","2.52","0.0","0.0","0.0","0.0","30.8","30.6","435.25","217.63","404.46","404.65","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","11162.2","1.1","0.0","0.0","1.62","1.1","1.78","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","11162.2","1.0","0.0","0.0","1.36","1.0","1.36","0.0","0.0","0.0","0.0","31.96","30.6","435.25","217.63","403.29","404.65","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","11162.2","0.94","0.0","0.0","1.0","0.94","0.94","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","11162.2","0.88","0.0","0.0","1.24","0.88","1.1","0.0","0.0","0.0","0.0","31.7","30.6","435.25","217.63","403.56","404.65","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","11162.2","0.84","0.0","0.0","1.15","0.84","0.96","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","11162.2","0.8","0.0","0.0","1.15","0.8","0.92","0.0","0.0","0.0","0.0","31.52","30.6","435.25","217.63","403.74","404.65","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","11162.2","1.18","0.0","0.0","1.0","1.18","1.18","4.0","4.0","0.0","0.0","27.52","30.6","435.25","217.63","407.74","404.65","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","11162.2","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","28.38","30.6","435.25","217.63","406.87","404.65","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","11162.2","1.18","0.0","0.0","1.23","1.18","1.45","0.0","0.0","0.0","0.0","29.84","30.6","435.25","217.63","405.42","404.65","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","11162.2","1.18","0.0","0.0","0.92","1.18","1.09","0.0","0.0","0.0","0.0","30.92","30.6","435.25","217.63","404.33","404.65","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","11162.2","1.18","0.0","0.0","0.6","1.18","0.71","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","11162.2","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","31.77","30.6","435.25","217.63","403.48","404.65","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","11162.2","1.17","0.0","0.0","1.27","1.17","1.48","1.51","1.51","0.0","0.0","30.26","30.6","435.25","217.63","404.99","404.65","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","11162.2","1.18","0.0","0.0","1.12","1.18","1.32","8.07","8.07","0.0","0.0","23.51","30.6","435.25","217.63","411.75","404.65","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","11162.2","1.18","0.0","0.0","0.89","1.18","1.05","0.18","0.18","0.0","0.0","24.38","30.6","435.25","217.63","410.88","404.65","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","11162.2","1.18","0.0","0.0","1.34","1.18","1.57","0.0","0.0","0.0","0.0","25.95","30.6","435.25","217.63","409.3","404.65","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","11162.2","1.15","0.0","0.0","1.64","1.15","1.89","10.97","10.97","0.0","0.0","16.88","30.6","435.25","217.63","418.38","404.65","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","11162.2","1.15","0.0","0.0","1.84","1.15","2.12","0.0","0.0","0.0","0.0","18.99","30.6","435.25","217.63","416.26","404.65","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","11162.2","1.16","0.0","0.0","0.93","1.16","1.08","0.0","0.0","0.0","0.0","20.07","30.6","435.25","217.63","415.18","404.65","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","11162.2","1.17","0.0","0.0","0.96","1.17","1.12","0.0","0.0","0.0","0.0","21.19","30.6","435.25","217.63","414.06","404.65","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","11162.2","1.1","0.0","0.0","1.13","1.1","1.25","0.0","0.0","0.0","0.0","22.44","30.6","435.25","217.63","412.82","404.65","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","11162.2","1.19","0.0","0.0","0.8","1.19","0.95","4.63","4.63","0.0","0.0","18.76","30.6","435.25","217.63","416.5","404.65","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","11162.2","1.2","0.0","0.0","0.6","1.2","0.72","1.61","1.61","0.0","0.0","17.87","30.6","435.25","217.63","417.39","404.65","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","11162.2","1.19","0.0","0.0","0.65","1.19","0.78","2.49","2.49","0.0","0.0","16.15","30.6","435.25","217.63","419.1","404.65","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","11162.2","1.17","0.0","0.0","1.22","1.17","1.43","12.67","12.67","0.0","0.0","4.91","30.6","435.25","217.63","430.34","404.65","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","11162.2","1.17","0.0","0.0","1.51","1.17","1.76","0.45","0.45","0.0","0.0","6.22","30.6","435.25","217.63","429.03","404.65","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","11162.2","1.17","0.0","0.0","1.02","1.17","1.19","0.56","0.56","0.0","0.0","6.85","30.6","435.25","217.63","428.4","404.65","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","11162.2","1.18","0.0","0.0","0.91","1.18","1.08","4.58","4.58","0.0","0.0","3.35","30.6","435.25","217.63","431.9","404.65","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","11162.2","1.17","0.0","0.0","1.45","1.17","1.7","0.0","0.0","0.0","0.0","5.05","30.6","435.25","217.63","430.2","404.65","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","11162.2","1.18","0.0","0.0","0.58","1.18","0.68","0.0","0.0","0.0","0.0","5.74","30.6","435.25","217.63","429.52","404.65","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","11162.2","1.19","0.0","0.0","0.72","1.19","0.86","1.82","1.82","0.0","0.0","4.77","30.6","435.25","217.63","430.48","404.65","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","11162.2","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","5.88","30.6","435.25","217.63","429.38","404.65","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","11162.2","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","6.79","30.6","435.25","217.63","428.46","404.65","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","11162.2","1.19","0.0","0.0","1.01","1.19","1.2","0.0","0.0","0.0","0.0","7.99","30.6","435.25","217.63","427.26","404.65","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","11162.2","1.18","0.0","0.0","1.29","1.18","1.53","0.0","0.0","0.0","0.0","9.52","30.6","435.25","217.63","425.74","404.65","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","11162.2","1.17","0.0","0.0","1.13","1.17","1.32","0.0","0.0","0.0","0.0","10.84","30.6","435.25","217.63","424.42","404.65","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","11162.2","1.07","0.0","0.0","1.15","1.07","1.23","0.0","0.0","0.0","0.0","12.06","30.6","435.25","217.63","423.19","404.65","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","11162.2","1.18","0.0","0.0","0.95","1.18","1.12","4.06","4.06","0.0","0.0","9.13","30.6","435.25","217.63","426.13","404.65","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","11162.2","1.19","0.0","0.0","0.87","1.19","1.03","14.96","10.16","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","11162.2","1.19","0.0","0.0","0.83","1.19","0.99","12.99","0.99","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","11162.2","1.19","0.0","0.0","0.63","1.19","0.75","8.15","0.75","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","11162.2","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","30.6","435.25","217.63","434.43","404.65","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","11162.2","1.19","0.0","0.0","0.9","1.19","1.07","0.61","0.61","0.0","0.0","1.28","30.6","435.25","217.63","433.97","404.65","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","11162.2","1.18","0.0","0.0","0.89","1.18","1.05","1.03","1.03","0.0","0.0","1.31","30.6","435.25","217.63","433.95","404.65","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","11162.2","1.18","0.0","0.0","0.97","1.18","1.15","0.21","0.21","0.0","0.0","2.25","30.6","435.25","217.63","433.01","404.65","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","11162.2","1.18","0.0","0.0","0.92","1.18","1.09","1.18","1.18","0.0","0.0","2.15","30.6","435.25","217.63","433.1","404.65","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","11162.2","1.17","0.0","0.0","1.33","1.17","1.55","1.44","1.44","0.0","0.0","2.27","30.6","435.25","217.63","432.99","404.65","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","11162.2","1.19","0.0","0.0","0.71","1.19","0.85","1.93","1.93","0.0","0.0","1.18","30.6","435.25","217.63","434.07","404.65","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","11162.2","1.18","0.0","0.0","0.95","1.18","1.12","3.95","2.31","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","11162.2","1.18","0.0","0.0","0.88","1.18","1.04","6.37","1.04","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","11162.2","1.19","0.0","0.0","0.77","1.19","0.92","9.38","0.92","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","11162.2","1.17","0.0","0.0","1.17","1.17","1.37","28.89","1.37","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","11162.2","1.17","0.0","0.0","1.25","1.17","1.46","4.53","1.46","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","11162.2","1.18","0.0","0.0","1.07","1.18","1.26","10.57","1.26","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","11162.2","1.18","0.0","0.0","1.08","1.18","1.27","0.71","0.71","0.0","0.0","0.56","30.6","435.25","217.63","434.69","404.65","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","11162.2","1.18","0.0","0.0","1.1","1.18","1.29","2.16","1.85","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","11162.2","1.16","0.0","0.0","1.39","1.16","1.62","8.35","1.62","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","11162.2","1.17","0.0","0.0","1.16","1.17","1.36","0.92","0.92","0.0","0.0","0.44","30.6","435.25","217.63","434.82","404.65","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","11162.2","1.17","0.0","0.0","1.07","1.17","1.25","0.0","0.0","0.0","0.0","1.69","30.6","435.25","217.63","433.56","404.65","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","11162.2","1.17","0.0","0.0","1.09","1.17","1.28","0.0","0.0","0.0","0.0","2.97","30.6","435.25","217.63","432.29","404.65","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","11162.2","1.15","0.0","0.0","1.29","1.15","1.48","0.0","0.0","0.0","0.0","4.45","30.6","435.25","217.63","430.8","404.65","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","11162.2","1.07","0.0","0.0","0.92","1.07","0.99","0.0","0.0","0.0","0.0","5.44","30.6","435.25","217.63","429.82","404.65","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","11162.2","1.18","0.0","0.0","1.05","1.18","1.24","1.95","1.95","0.0","0.0","4.72","30.6","435.25","217.63","430.53","404.65","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","11162.2","1.16","0.0","0.0","1.58","1.16","1.83","3.74","3.74","0.0","0.0","2.81","30.6","435.25","217.63","432.44","404.65","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","11162.2","1.13","0.0","0.0","2.3","1.13","2.59","2.88","2.88","0.0","0.0","2.52","30.6","435.25","217.63","432.73","404.65","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","11162.2","1.12","0.0","0.0","2.67","1.12","2.99","0.38","0.38","0.0","0.0","5.14","30.6","435.25","217.63","430.12","404.65","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","11162.2","1.12","0.0","0.0","1.14","1.12","1.28","0.2","0.2","0.0","0.0","6.22","30.6","435.25","217.63","429.04","404.65","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","11162.2","1.04","0.0","0.0","1.1","1.04","1.14","0.03","0.03","0.0","0.0","7.33","30.6","435.25","217.63","427.93","404.65","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","11162.2","0.95","0.0","0.0","1.47","0.95","1.39","0.0","0.0","0.0","0.0","8.72","30.6","435.25","217.63","426.54","404.65","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","11162.2","0.88","0.0","0.0","1.4","0.88","1.23","0.0","0.0","0.0","0.0","9.95","30.6","435.25","217.63","425.3","404.65","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","11162.2","0.82","0.0","0.0","1.6","0.82","1.31","0.0","0.0","0.0","0.0","11.26","30.6","435.25","217.63","424.0","404.65","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","11162.2","0.76","0.0","0.0","1.88","0.76","1.42","0.0","0.0","0.0","0.0","12.68","30.6","435.25","217.63","422.57","404.65","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","11162.2","0.71","0.0","0.0","2.02","0.71","1.43","0.0","0.0","0.0","0.0","14.11","30.6","435.25","217.63","421.15","404.65","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","11162.2","0.67","0.0","0.0","1.96","0.67","1.3","0.0","0.0","0.0","0.0","15.41","30.6","435.25","217.63","419.84","404.65","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","11162.2","0.63","0.0","0.0","1.92","0.63","1.21","0.0","0.0","0.0","0.0","16.63","30.6","435.25","217.63","418.63","404.65","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","11162.2","0.61","0.0","0.0","1.75","0.61","1.06","0.0","0.0","0.0","0.0","17.69","30.6","435.25","217.63","417.57","404.65","0.0","","","","","","",""
