" Daily soil water balance output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","3987.0","0.08","0.95","0.0","2.77","0.95","2.63","0.0","0.0","0.0","0.0","24.77","58.37","241.4","120.7","216.64","183.03","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","3987.0","0.08","0.95","0.0","2.57","0.95","2.44","0.0","0.0","0.0","0.0","27.21","58.37","241.4","120.7","214.19","183.03","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","3987.0","0.08","0.95","0.0","2.93","0.95","2.78","0.0","0.0","0.0","0.0","29.99","58.37","241.4","120.7","211.41","183.03","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","3987.0","0.08","0.95","0.0","2.95","0.95","2.8","0.0","0.0","0.0","0.0","32.79","58.37","241.4","120.7","208.61","183.03","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","3987.0","0.08","0.95","0.0","2.41","0.95","2.29","0.0","0.0","0.0","0.0","35.08","58.37","241.4","120.7","206.32","183.03","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","3987.0","0.08","0.95","0.0","2.78","0.95","2.64","0.0","0.0","0.0","0.0","37.72","58.37","241.4","120.7","203.68","183.03","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","3987.0","0.08","0.95","0.0","2.61","0.95","2.48","0.0","0.0","0.0","0.0","40.2","58.37","241.4","120.7","201.2","183.03","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","3987.0","0.08","0.95","0.0","2.6","0.95","2.47","0.0","0.0","0.0","0.0","42.67","58.37","241.4","120.7","198.73","183.03","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","3987.0","0.08","0.95","0.0","2.62","0.95","2.49","0.0","0.0","0.0","0.0","45.16","58.37","241.4","120.7","196.24","183.03","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","3987.0","0.08","0.95","0.0","2.22","0.95","2.11","0.03","0.03","0.0","0.0","47.24","58.37","241.4","120.7","194.16","183.03","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","3987.0","0.08","0.95","0.0","2.76","0.95","2.62","0.77","0.77","0.0","0.0","49.09","58.37","241.4","120.7","192.31","183.03","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","3987.0","0.08","0.95","0.0","2.56","0.95","2.43","0.0","0.0","0.0","0.0","51.53","58.37","241.4","120.7","189.88","183.03","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","3987.0","0.08","0.95","0.0","2.42","0.95","2.3","0.0","0.0","0.0","0.0","53.83","58.37","241.4","120.7","187.58","183.03","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","3987.0","0.08","0.95","0.0","2.46","0.95","2.34","0.0","0.0","0.0","0.0","56.16","58.37","241.4","120.7","185.24","183.03","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","3987.0","0.08","0.95","0.0","2.53","0.95","2.4","0.0","0.0","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","58.57","","","","","","",""
"2014.0","10.0","31.0","304.0","3987.0","0.08","0.95","0.0","1.44","0.95","1.37","0.38","0.38","0.0","0.0","0.99","58.37","241.4","120.7","240.41","183.03","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","3987.0","1.15","0.95","0.0","1.78","1.15","2.04","8.7","3.03","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","3987.0","1.14","0.95","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","2.5","58.37","241.4","120.7","238.9","183.03","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","3987.0","1.14","0.95","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","4.54","58.37","241.4","120.7","236.86","183.03","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","3987.0","1.02","0.95","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","6.32","58.37","241.4","120.7","235.08","183.03","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","3987.0","0.91","0.95","0.0","1.91","0.95","1.81","0.0","0.0","0.0","0.0","8.14","58.37","241.4","120.7","233.27","183.03","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","3987.0","0.83","0.95","0.0","1.94","0.95","1.84","0.0","0.0","0.0","0.0","9.98","58.37","241.4","120.7","231.42","183.03","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","3987.0","0.76","0.95","0.0","2.02","0.95","1.92","0.0","0.0","0.0","0.0","11.9","58.37","241.4","120.7","229.5","183.03","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","3987.0","0.71","0.95","0.0","1.86","0.95","1.77","0.0","0.0","0.0","0.0","13.66","58.37","241.4","120.7","227.74","183.03","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","3987.0","0.67","0.95","0.0","1.86","0.95","1.77","0.0","0.0","0.0","0.0","15.43","58.37","241.4","120.7","225.97","183.03","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","3987.0","0.64","0.95","0.0","1.86","0.95","1.77","0.0","0.0","0.0","0.0","17.2","58.37","241.4","120.7","224.2","183.03","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","3987.0","0.62","0.95","0.0","1.5","0.95","1.43","0.0","0.0","0.0","0.0","18.62","58.37","241.4","120.7","222.78","183.03","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","3987.0","0.59","0.95","0.0","1.55","0.95","1.47","0.0","0.0","0.0","0.0","20.1","58.37","241.4","120.7","221.31","183.03","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","3987.0","1.18","0.95","0.0","1.1","1.18","1.29","5.8","5.8","0.0","0.0","15.59","58.37","241.4","120.7","225.81","183.03","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","3987.0","1.16","0.95","0.0","1.42","1.16","1.65","1.33","1.33","0.0","0.0","15.91","58.37","241.4","120.7","225.49","183.03","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","3987.0","1.16","0.95","0.0","1.34","1.16","1.56","0.0","0.0","0.0","0.0","17.47","58.37","241.4","120.7","223.93","183.03","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","3987.0","1.16","0.95","0.0","1.88","1.16","2.18","0.0","0.0","0.0","0.0","19.65","58.37","241.4","120.7","221.75","183.03","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","3987.0","1.11","0.95","0.0","1.72","1.11","1.91","0.0","0.0","0.0","0.0","21.56","58.37","241.4","120.7","219.85","183.03","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","3987.0","1.01","0.95","0.0","1.32","1.01","1.33","0.0","0.0","0.0","0.0","22.89","58.37","241.4","120.7","218.51","183.03","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","3987.0","0.94","0.95","0.0","1.22","0.95","1.16","0.04","0.04","0.0","0.0","24.01","58.37","241.4","120.7","217.39","183.03","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","3987.0","1.19","0.95","0.0","0.65","1.19","0.78","2.17","2.17","0.0","0.0","22.61","58.37","241.4","120.7","218.79","183.03","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","3987.0","1.18","0.95","0.0","0.91","1.18","1.08","3.54","3.54","0.0","0.0","20.15","58.37","241.4","120.7","221.25","183.03","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","3987.0","1.18","0.95","0.0","1.19","1.18","1.4","0.14","0.14","0.0","0.0","21.41","58.37","241.4","120.7","219.99","183.03","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","3987.0","1.16","0.95","0.0","1.55","1.16","1.79","2.92","2.92","0.0","0.0","20.29","58.37","241.4","120.7","221.11","183.03","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","3987.0","1.16","0.95","0.0","1.38","1.16","1.6","0.0","0.0","0.0","0.0","21.89","58.37","241.4","120.7","219.51","183.03","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","3987.0","1.16","0.95","0.0","1.24","1.16","1.44","0.0","0.0","0.0","0.0","23.33","58.37","241.4","120.7","218.07","183.03","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","3987.0","1.17","0.95","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","24.8","58.37","241.4","120.7","216.6","183.03","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","3987.0","1.09","0.95","0.0","1.24","1.09","1.35","0.0","0.0","0.0","0.0","26.15","58.37","241.4","120.7","215.25","183.03","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","3987.0","1.0","0.95","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","27.35","58.37","241.4","120.7","214.05","183.03","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","3987.0","0.95","0.95","0.0","0.81","0.95","0.77","0.93","0.93","0.0","0.0","27.2","58.37","241.4","120.7","214.2","183.03","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","3987.0","1.19","0.95","0.0","0.67","1.19","0.8","1.78","1.78","0.0","0.0","26.22","58.37","241.4","120.7","215.19","183.03","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","3987.0","1.18","0.95","0.0","1.01","1.18","1.19","11.06","11.06","0.0","0.0","16.35","58.37","241.4","120.7","225.05","183.03","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","3987.0","1.2","0.95","0.0","0.62","1.2","0.74","7.1","7.1","0.0","0.0","9.99","58.37","241.4","120.7","231.41","183.03","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","3987.0","1.17","0.95","0.0","1.27","1.17","1.48","28.07","11.47","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","3987.0","1.17","0.95","0.0","1.14","1.17","1.34","8.49","1.34","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","3987.0","1.18","0.95","0.0","0.92","1.18","1.08","0.14","0.14","0.0","0.0","0.94","58.37","241.4","120.7","240.46","183.03","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","3987.0","1.18","0.95","0.0","1.12","1.18","1.32","2.24","2.24","0.0","0.0","0.02","58.37","241.4","120.7","241.38","183.03","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","3987.0","1.18","0.95","0.0","0.75","1.18","0.89","0.28","0.28","0.0","0.0","0.63","58.37","241.4","120.7","240.77","183.03","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","3987.0","1.18","0.95","0.0","0.87","1.18","1.03","0.21","0.21","0.0","0.0","1.45","58.37","241.4","120.7","239.95","183.03","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","3987.0","1.19","0.95","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.27","58.37","241.4","120.7","239.14","183.03","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","3987.0","1.18","0.95","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","3.4","58.37","241.4","120.7","238.0","183.03","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","3987.0","1.17","0.95","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","5.08","58.37","241.4","120.7","236.32","183.03","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","3987.0","1.2","0.95","0.0","0.62","1.2","0.74","63.4","5.82","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","3987.0","1.19","0.95","0.0","0.7","1.19","0.83","1.49","0.83","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","3987.0","1.19","0.95","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","58.37","241.4","120.7","240.47","183.03","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","3987.0","1.18","0.95","0.0","1.03","1.18","1.21","7.42","2.14","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","3987.0","1.17","0.95","0.0","1.27","1.17","1.48","8.63","1.48","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","3987.0","1.18","0.95","0.0","0.95","1.18","1.12","10.65","1.12","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","3987.0","1.18","0.95","0.0","1.01","1.18","1.19","3.76","1.19","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","3987.0","1.18","0.95","0.0","0.86","1.18","1.02","0.0","0.0","0.0","0.0","1.02","58.37","241.4","120.7","240.38","183.03","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","3987.0","1.19","0.95","0.0","0.69","1.19","0.82","8.9","1.84","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","3987.0","1.19","0.95","0.0","0.99","1.19","1.17","0.18","0.18","0.0","0.0","0.99","58.37","241.4","120.7","240.41","183.03","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","3987.0","1.19","0.95","0.0","0.76","1.19","0.9","0.0","0.0","0.0","0.0","1.9","58.37","241.4","120.7","239.5","183.03","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","3987.0","1.19","0.95","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.79","58.37","241.4","120.7","238.61","183.03","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","3987.0","1.19","0.95","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.89","58.37","241.4","120.7","237.51","183.03","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","3987.0","1.14","0.95","0.0","2.0","1.14","2.28","0.99","0.99","0.0","0.0","5.18","58.37","241.4","120.7","236.22","183.03","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","3987.0","1.01","0.95","0.0","1.63","1.01","1.65","0.0","0.0","0.0","0.0","6.84","58.37","241.4","120.7","234.57","183.03","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","3987.0","0.97","0.95","0.0","0.77","0.97","0.74","0.0","0.0","0.0","0.0","7.58","58.37","241.4","120.7","233.82","183.03","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","3987.0","0.93","0.95","0.0","0.77","0.95","0.73","0.0","0.0","0.0","0.0","8.31","58.37","241.4","120.7","233.09","183.03","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","3987.0","0.9","0.95","0.0","0.56","0.95","0.53","0.0","0.0","0.0","0.0","8.84","58.37","241.4","120.7","232.56","183.03","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","3987.0","0.8","0.95","0.0","2.46","0.95","2.34","0.0","0.0","0.0","0.0","11.18","58.37","241.4","120.7","230.22","183.03","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","3987.0","0.73","0.95","0.0","2.55","0.95","2.42","0.0","0.0","0.0","0.0","13.6","58.37","241.4","120.7","227.8","183.03","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","3987.0","0.71","0.95","0.0","0.94","0.95","0.89","0.0","0.0","0.0","0.0","14.5","57.4","241.4","120.7","226.91","184.01","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","3987.0","0.69","0.95","0.0","0.91","0.95","0.86","0.0","0.0","0.0","0.0","15.36","57.4","241.4","120.7","226.04","184.01","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","3987.0","0.67","0.95","0.0","0.91","0.95","0.86","0.0","0.0","0.0","0.0","16.22","57.4","241.4","120.7","225.18","184.01","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","3987.0","0.65","0.95","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","17.17","57.4","241.4","120.7","224.23","184.01","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","3987.0","0.64","0.95","0.0","0.96","0.95","0.91","0.0","0.0","0.0","0.0","18.09","57.4","241.4","120.7","223.32","184.01","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","3987.0","0.62","0.95","0.0","1.22","0.95","1.16","0.0","0.0","0.0","0.0","19.25","57.4","241.4","120.7","222.16","184.01","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","3987.0","0.6","0.95","0.0","1.2","0.95","1.14","0.0","0.0","0.0","0.0","20.39","57.4","241.4","120.7","221.02","184.01","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","3987.0","0.59","0.95","0.0","1.05","0.95","1.0","0.0","0.0","0.0","0.0","21.38","57.4","241.4","120.7","220.02","184.01","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","3987.0","0.58","0.95","0.0","0.9","0.95","0.86","0.0","0.0","0.0","0.0","22.24","57.4","241.4","120.7","219.16","184.01","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","3987.0","0.56","0.95","0.0","1.04","0.95","0.99","0.0","0.0","0.0","0.0","23.23","57.4","241.4","120.7","218.18","184.01","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","3987.0","0.55","0.95","0.0","0.89","0.95","0.85","0.0","0.0","0.0","0.0","24.07","57.4","241.4","120.7","217.33","184.01","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","3987.0","0.54","0.95","0.0","0.99","0.95","0.94","0.0","0.0","0.0","0.0","25.01","57.4","241.4","120.7","216.39","184.01","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","3987.0","0.53","0.95","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","25.96","57.4","241.4","120.7","215.44","184.01","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","3987.0","0.53","0.95","0.0","0.64","0.95","0.61","0.0","0.0","0.0","0.0","26.57","57.4","241.4","120.7","214.83","184.01","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","3987.0","0.52","0.95","0.0","0.67","0.95","0.64","0.0","0.0","0.0","0.0","27.21","57.4","241.4","120.7","214.2","184.01","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","3987.0","0.52","0.95","0.0","0.64","0.95","0.61","0.0","0.0","0.0","0.0","27.81","57.4","241.4","120.7","213.59","184.01","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","3987.0","0.51","0.95","0.0","0.53","0.95","0.5","0.0","0.0","0.0","0.0","28.32","57.4","241.4","120.7","213.08","184.01","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","3987.0","0.51","0.95","0.0","0.61","0.95","0.58","0.0","0.0","0.0","0.0","28.9","57.4","241.4","120.7","212.5","184.01","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","3987.0","0.5","0.95","0.0","0.55","0.95","0.52","0.03","0.03","0.0","0.0","29.39","57.4","241.4","120.7","212.01","184.01","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","3987.0","0.5","0.95","0.0","0.74","0.95","0.7","0.0","0.0","0.0","0.0","30.09","57.4","241.4","120.7","211.31","184.01","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","3987.0","0.49","0.95","0.0","1.03","0.95","0.98","0.0","0.0","0.0","0.0","31.07","57.4","241.4","120.7","210.33","184.01","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","3987.0","0.48","0.95","0.0","0.7","0.95","0.67","0.0","0.0","0.0","0.0","31.74","57.4","241.4","120.7","209.67","184.01","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","3987.0","0.48","0.95","0.0","0.94","0.95","0.89","0.0","0.0","0.0","0.0","32.63","57.4","241.4","120.7","208.77","184.01","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","3987.0","0.47","0.95","0.0","0.86","0.95","0.82","0.0","0.0","0.0","0.0","33.45","57.4","241.4","120.7","207.96","184.01","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","3987.0","0.47","0.95","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","34.4","57.4","241.4","120.7","207.01","184.01","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","3987.0","0.46","0.95","0.0","1.2","0.95","1.14","0.0","0.0","0.0","0.0","35.54","57.4","241.4","120.7","205.87","184.01","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","3987.0","0.45","0.95","0.0","1.17","0.95","1.11","0.0","0.0","0.0","0.0","36.65","57.4","241.4","120.7","204.75","184.01","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","3987.0","0.44","0.95","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","38.03","57.4","241.4","120.7","203.37","184.01","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","3987.0","0.44","0.95","0.0","1.36","0.95","1.29","0.0","0.0","0.0","0.0","39.33","57.4","241.4","120.7","202.07","184.01","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","3987.0","0.43","0.95","0.0","1.73","0.95","1.64","0.0","0.0","0.0","0.0","40.97","57.4","241.4","120.7","200.43","184.01","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","3987.0","0.41","0.95","0.0","2.98","0.95","2.83","0.0","0.0","0.0","0.0","43.8","57.4","241.4","120.7","197.6","184.01","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","3987.0","0.41","0.95","0.0","1.53","0.95","1.45","0.0","0.0","0.0","0.0","45.25","57.4","241.4","120.7","196.15","184.01","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","3987.0","0.4","0.95","0.0","1.54","0.95","1.46","0.0","0.0","0.0","0.0","46.72","57.4","241.4","120.7","194.68","184.01","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","3987.0","0.39","0.95","0.0","1.62","0.95","1.54","0.0","0.0","0.0","0.0","48.26","57.4","241.4","120.7","193.14","184.01","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","3987.0","0.39","0.95","0.0","1.46","0.95","1.39","0.01","0.01","0.0","0.0","49.63","57.4","241.4","120.7","191.77","184.01","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","3987.0","0.38","0.95","0.0","1.06","0.95","1.01","0.0","0.0","0.0","0.0","50.64","57.4","241.4","120.7","190.76","184.01","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","3987.0","0.38","0.95","0.0","2.4","0.95","2.28","0.23","0.23","0.0","0.0","52.69","57.4","241.4","120.7","188.71","184.01","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","3987.0","1.16","0.95","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","41.28","57.4","241.4","120.7","200.12","184.01","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","3987.0","1.16","0.95","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","30.82","57.4","241.4","120.7","210.58","184.01","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","3987.0","1.14","0.95","0.0","2.12","1.14","2.41","13.42","13.42","0.0","0.0","19.81","57.4","241.4","120.7","221.59","184.01","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","3987.0","1.14","0.95","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","21.94","57.4","241.4","120.7","219.46","184.01","0.0","","","","","","",""
