" Daily soil water balance output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","487.0","0.83","0.0","0.0","1.92","0.83","1.59","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","487.0","0.76","0.0","0.0","1.96","0.76","1.5","0.0","0.0","0.0","0.0","25.5","24.0","316.99","158.5","291.5","292.99","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","487.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","487.0","0.67","0.0","0.0","1.84","0.67","1.24","0.0","0.0","0.0","0.0","25.24","24.0","316.99","158.5","291.75","292.99","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","487.0","0.64","0.0","0.0","1.97","0.64","1.26","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","487.0","0.61","0.0","0.0","1.56","0.61","0.96","0.0","0.0","0.0","0.0","24.96","24.0","316.99","158.5","292.03","292.99","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","487.0","0.59","0.0","0.0","1.44","0.59","0.86","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","487.0","1.18","0.0","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","22.2","24.0","316.99","158.5","294.79","292.99","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","487.0","1.17","0.0","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","22.2","24.0","316.99","158.5","294.79","292.99","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","487.0","1.17","0.0","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","23.71","24.0","316.99","158.5","293.29","292.99","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","487.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","26.06","24.0","316.99","158.5","290.94","292.99","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","487.0","1.1","0.0","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","487.0","1.0","0.0","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","25.38","24.0","316.99","158.5","291.61","292.99","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","487.0","0.94","0.0","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","487.0","1.2","0.0","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","21.56","24.0","316.99","158.5","295.43","292.99","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","487.0","1.19","0.0","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","17.76","24.0","316.99","158.5","299.23","292.99","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","487.0","1.18","0.0","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","19.05","24.0","316.99","158.5","297.94","292.99","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","487.0","1.16","0.0","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","18.6","24.0","316.99","158.5","298.4","292.99","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","487.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","20.19","24.0","316.99","158.5","296.8","292.99","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","487.0","1.17","0.0","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","21.6","24.0","316.99","158.5","295.39","292.99","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","487.0","1.17","0.0","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","22.97","24.0","316.99","158.5","294.03","292.99","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","487.0","1.11","0.0","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","24.25","24.0","316.99","158.5","292.74","292.99","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","487.0","1.03","0.0","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","487.0","1.19","0.0","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","22.67","24.0","316.99","158.5","294.32","292.99","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","487.0","1.19","0.0","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","19.1","24.0","316.99","158.5","297.9","292.99","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","487.0","1.18","0.0","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","15.55","24.0","316.99","158.5","301.45","292.99","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","487.0","1.19","0.0","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","15.17","24.0","316.99","158.5","301.82","292.99","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","487.0","1.18","0.0","0.0","1.08","1.18","1.27","42.69","16.44","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","487.0","1.18","0.0","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","487.0","1.18","0.0","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","24.0","316.99","158.5","316.42","292.99","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","487.0","1.18","0.0","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","487.0","1.18","0.0","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","24.0","316.99","158.5","316.66","292.99","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","487.0","1.18","0.0","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","24.0","316.99","158.5","315.71","292.99","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","487.0","1.19","0.0","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","24.0","316.99","158.5","314.93","292.99","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","487.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","24.0","316.99","158.5","313.85","292.99","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","487.0","1.18","0.0","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","24.0","316.99","158.5","312.7","292.99","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","487.0","1.2","0.0","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","487.0","1.19","0.0","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","487.0","1.19","0.0","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","24.0","316.99","158.5","316.15","292.99","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","487.0","1.18","0.0","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","487.0","1.17","0.0","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","487.0","1.18","0.0","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","487.0","1.18","0.0","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","487.0","1.19","0.0","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","24.0","316.99","158.5","316.04","292.99","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","487.0","1.19","0.0","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","487.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","24.0","316.99","158.5","315.84","292.99","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","487.0","1.19","0.0","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","24.0","316.99","158.5","314.9","292.99","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","487.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","24.0","316.99","158.5","314.05","292.99","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","487.0","1.19","0.0","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","24.0","316.99","158.5","312.87","292.99","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","487.0","1.15","0.0","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","24.0","316.99","158.5","311.48","292.99","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","487.0","1.0","0.0","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","24.0","316.99","158.5","309.58","292.99","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","487.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","24.0","316.99","158.5","308.85","292.99","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","487.0","0.92","0.0","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","24.0","316.99","158.5","308.17","292.99","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","487.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","24.0","316.99","158.5","307.67","292.99","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","487.0","0.8","0.0","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.31","24.0","316.99","158.5","305.68","292.99","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","487.0","0.72","0.0","0.0","2.68","0.72","1.94","0.0","0.0","0.0","0.0","13.25","24.0","316.99","158.5","303.74","292.99","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","487.0","0.7","0.0","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","13.87","24.0","316.99","158.5","303.12","292.99","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","487.0","0.69","0.0","0.0","0.86","0.69","0.59","0.0","0.0","0.0","0.0","14.46","24.0","316.99","158.5","302.53","292.99","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","487.0","0.67","0.0","0.0","0.85","0.67","0.57","0.0","0.0","0.0","0.0","15.03","24.0","316.99","158.5","301.96","292.99","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","487.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","24.0","316.99","158.5","301.34","292.99","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","487.0","0.64","0.0","0.0","0.87","0.64","0.55","0.0","0.0","0.0","0.0","16.21","24.0","316.99","158.5","300.78","292.99","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","487.0","0.62","0.0","0.0","1.17","0.62","0.72","0.0","0.0","0.0","0.0","16.93","24.0","316.99","158.5","300.06","292.99","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","487.0","0.6","0.0","0.0","1.17","0.6","0.7","0.0","0.0","0.0","0.0","17.64","24.0","316.99","158.5","299.35","292.99","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","487.0","0.59","0.0","0.0","1.0","0.59","0.59","0.0","0.0","0.0","0.0","18.23","24.0","316.99","158.5","298.76","292.99","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","487.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.73","24.0","316.99","158.5","298.26","292.99","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","487.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.27","24.0","316.99","158.5","297.72","292.99","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","487.0","0.56","0.0","0.0","0.88","0.56","0.49","0.0","0.0","0.0","0.0","19.77","24.0","316.99","158.5","297.23","292.99","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","487.0","0.55","0.0","0.0","1.05","0.55","0.57","0.0","0.0","0.0","0.0","20.34","24.0","316.99","158.5","296.65","292.99","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","487.0","0.53","0.0","0.0","1.18","0.53","0.63","0.0","0.0","0.0","0.0","20.97","24.0","316.99","158.5","296.02","292.99","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","487.0","0.53","0.0","0.0","0.69","0.53","0.36","0.0","0.0","0.0","0.0","21.33","24.0","316.99","158.5","295.66","292.99","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","487.0","0.52","0.0","0.0","0.69","0.52","0.36","0.0","0.0","0.0","0.0","21.69","24.0","316.99","158.5","295.3","292.99","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","487.0","0.52","0.0","0.0","0.57","0.52","0.29","0.0","0.0","0.0","0.0","21.99","24.0","316.99","158.5","295.0","292.99","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","487.0","0.51","0.0","0.0","0.56","0.51","0.29","0.01","0.01","0.0","0.0","22.27","24.0","316.99","158.5","294.73","292.99","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","487.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.58","24.0","316.99","158.5","294.42","292.99","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","487.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","22.93","24.0","316.99","158.5","294.06","292.99","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","487.0","0.5","0.0","0.0","0.79","0.5","0.39","0.0","0.0","0.0","0.0","23.32","24.0","316.99","158.5","293.67","292.99","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","487.0","0.49","0.0","0.0","0.98","0.49","0.48","0.0","0.0","0.0","0.0","23.8","24.0","316.99","158.5","293.19","292.99","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","487.0","0.48","0.0","0.0","0.73","0.48","0.35","0.0","0.0","0.0","0.0","24.15","24.0","316.99","158.5","292.84","292.99","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","487.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","487.0","0.47","0.0","0.0","0.94","0.47","0.44","0.0","0.0","0.0","0.0","24.44","24.0","316.99","158.5","292.55","292.99","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","487.0","0.46","0.0","0.0","1.02","0.46","0.47","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","487.0","0.46","0.0","0.0","1.28","0.46","0.58","0.0","0.0","0.0","0.0","24.58","24.0","316.99","158.5","292.41","292.99","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","487.0","0.45","0.0","0.0","1.12","0.45","0.5","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","487.0","0.44","0.0","0.0","1.53","0.44","0.67","0.0","0.0","0.0","0.0","24.67","24.0","316.99","158.5","292.32","292.99","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","487.0","0.43","0.0","0.0","1.43","0.43","0.62","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","487.0","0.42","0.0","0.0","1.93","0.42","0.82","0.0","0.0","0.0","0.0","24.82","24.0","316.99","158.5","292.17","292.99","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","487.0","0.41","0.0","0.0","3.46","0.41","1.41","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","487.0","0.4","0.0","0.0","1.44","0.4","0.58","0.0","0.0","0.0","0.0","24.58","24.0","316.99","158.5","292.41","292.99","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","487.0","0.4","0.0","0.0","1.46","0.4","0.58","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","487.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","24.59","24.0","316.99","158.5","292.4","292.99","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","487.0","0.38","0.0","0.0","1.4","0.38","0.54","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","487.0","0.38","0.0","0.0","1.08","0.38","0.41","0.0","0.0","0.0","0.0","24.41","24.0","316.99","158.5","292.58","292.99","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","487.0","0.37","0.0","0.0","2.04","0.37","0.76","0.04","0.04","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","487.0","1.16","0.0","0.0","1.42","1.16","1.65","27.21","25.65","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","487.0","1.17","0.0","0.0","1.3","1.17","1.52","4.76","1.52","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
